"party","C"
"documentCount","111"
"","6.0"
"beskattas","1.0"
"kritiserats","1.0"
"bränslena","3.0"
"validering","1.0"
"viljan","1.0"
"klargöra","1.0"
"slutna","1.0"
"styrelsens","1.0"
"varje","14.0"
"benäget","1.0"
"beskattar","1.0"
"sonera","3.0"
"fredsprocess","1.0"
"nedläggningen","1.0"
"betydelse","7.0"
"kreditgivning","1.0"
"enkla","3.0"
"bebyggelsens","1.0"
"kompetensförsörjningen","1.0"
"ökningstakten","1.0"
"stötta","2.0"
"förmedlas","1.0"
"rättvis","1.0"
"fokusarealer","1.0"
"rovdjursbeslut","1.0"
"underhållskostnad","1.0"
"betalade","1.0"
"kosta","5.0"
"surfar","1.0"
"gabriel","1.0"
"bostadsbristen","1.0"
"hälsoaspekt","1.0"
"vården","2.0"
"dalarna","18.0"
"stabil","2.0"
"byggkostnaderna","1.0"
"spekulera","1.0"
"kommersiell","1.0"
"skatteverket","1.0"
"ojämlikare","1.0"
"-","106.0"
"produktionslantbrukare","1.0"
"äldre","4.0"
"tyngdpunkten","1.0"
"1","4.0"
"västmanland","3.0"
"2","2.0"
"3","2.0"
"strandskyddet","23.0"
"4","2.0"
"sträckningar","1.0"
"5","3.0"
"arbetet","12.0"
"6","4.0"
"bereds","1.0"
"bestämda","1.0"
"anhöriga","1.0"
"vattenreglering","1.0"
"bussen","1.0"
"bekämpningsmedel","2.0"
"varit","66.0"
"aviserade","1.0"
"hemsedal","1.0"
"kilometerskatt","9.0"
"samt","3.0"
"tält","1.0"
"motioner","1.0"
"vård-","2.0"
"glada","3.0"
"tvärvillkorskontrollanter","1.0"
"roll","5.0"
"beredd","6.0"
"bereda","1.0"
"hans","8.0"
"anställer","1.0"
"kronoberg","1.0"
"beredskap","1.0"
"frihet","2.0"
"omgångar","2.0"
"nybildade","1.0"
"hand","12.0"
"säkerhet","2.0"
"utanförskap","1.0"
"lades","1.0"
"på:","1.0"
"fördel","2.0"
"i","1143.0"
"hamn","1.0"
"kväveutlakningen","1.0"
"på?","3.0"
"halv","2.0"
"skäligt","1.0"
"finansieras","1.0"
"verkar","8.0"
"kritik","2.0"
"katastrofala","2.0"
"information","4.0"
"grisar","1.0"
"våras","1.0"
"utnyttjas","1.0"
"fördes","1.0"
"integrerat","1.0"
"november","3.0"
"genomfördes","2.0"
"flyttningsbidrag","1.0"
"metaller","1.0"
"rättighet","3.0"
"rekryteringar","1.0"
"1,80 kr","2.0"
"avvattna","1.0"
"söder","2.0"
"handlingskraft","3.0"
"sträckningen","1.0"
"krisartad","1.0"
"tid","21.0"
"ryssland","7.0"
"försatt","1.0"
"blomstrande","1.0"
"känner","11.0"
"sist-in-först-ut","1.0"
"industrisopor","1.0"
"lågt","5.0"
"resterande","1.0"
"tänk","2.0"
"uppbyggt","1.0"
"planeringsprocessen","1.0"
"anser","11.0"
"tio","2.0"
"export","1.0"
"anses","1.0"
"anställda","8.0"
"stomnätet","1.0"
"stefan","3.0"
"bostadsföretag","1.0"
"jordbrukets","1.0"
"ca 300","1.0"
"sant","1.0"
"utmärkta","1.0"
"kanonbra","1.0"
"remisstiden","1.0"
"utföra","1.0"
"ambition;","1.0"
"låga","2.0"
"framgångar","1.0"
"huvud","4.0"
"bakåt","1.0"
"nästkommande","2.0"
"företag?","1.0"
"använts","5.0"
"dalsland","2.0"
"övningen","1.0"
"välfärdsförluster","1.0"
"utlova","1.0"
"skapat","4.0"
"fördelar","1.0"
"ledamot","1.0"
"skapar","10.0"
"kemikalielagstiftningen","1.0"
"broarna","1.0"
"skapas","6.0"
"arbetsförmedlare?","1.0"
"krisartat","1.0"
"attraktiv","1.0"
"handelsgödselskatt","3.0"
"idre","1.0"
"anonyma","1.0"
"trevligt","1.0"
"skiljer","5.0"
"lagförts","1.0"
"samordnande","2.0"
"förstahandskontrakt","1.0"
"kontakt","7.0"
"inledande","1.0"
"jordbrukspolitik","2.0"
"enkel","1.0"
"återintroduceringen","1.0"
"garantera","4.0"
"al-aqsa","1.0"
"engagerad","1.0"
"huvudregel","1.0"
"hälften","2.0"
"samman","1.0"
"lena","1.0"
"avlångt","2.0"
"gör","68.0"
"drivmedel","1.0"
"samstämmigt","1.0"
"regeringars","1.0"
"å","1.0"
"engagerar","2.0"
"inrikta","1.0"
"avlånga","1.0"
"cancerogena","2.0"
"livslängd","1.0"
"närhet","3.0"
"energi","3.0"
"nyfiken","3.0"
"skifta","2.0"
"kollektivtrafik","4.0"
"förbättringar","1.0"
"solidaritetspolitik","1.0"
"verket","2.0"
"samrådsprocessen","1.0"
"handling","4.0"
"nyfiket","1.0"
"frågade","1.0"
"verkliga","1.0"
"ordet","1.0"
"østfold","1.0"
"grunder","2.0"
"grunden","11.0"
"föreslagna","1.0"
"aggressionen","2.0"
"landsbygdsutveckling","1.0"
"butiker","1.0"
"praktiken","2.0"
"jordbruket","1.0"
"vardagsmiljö","1.0"
"gästnätter","1.0"
"uppmärksammades","1.0"
"felaktighet","1.0"
"södra","2.0"
"jordbruksnäring","1.0"
"ardalan","1.0"
"skrida","1.0"
"inflyttning","1.0"
"reformen","3.0"
"orden","4.0"
"vargstam","3.0"
"informationssystem","1.0"
"medeltransportlängd","1.0"
"överenskommelser","1.0"
"lärde","1.0"
"avslutades","1.0"
"marknad","2.0"
"värmlands","3.0"
"intet","2.0"
"uppgradering","1.0"
"byte","1.0"
"tyvärr","16.0"
"övergreppen","1.0"
"oskarshamn","1.0"
"byta","4.0"
"vanligt","5.0"
"gäster","1.0"
"hillevi","3.0"
"rättmätigt","1.0"
"nöjet","1.0"
"nöjer","1.0"
"reform","1.0"
"handlingsförlamning","1.0"
"praxis","2.0"
"kommunala","2.0"
"försämra","1.0"
"löner","1.0"
"anar","2.0"
"rimlig","1.0"
"stängslen","2.0"
"statistiken","1.0"
"2,2","1.0"
"fredagsmorgon","1.0"
"byts","1.0"
"bytt","2.0"
"2,4","4.0"
"varsel","1.0"
"2,5","1.0"
"agerandet","2.0"
"miljöskydd","1.0"
"intentionerna","5.0"
"upprepar","4.0"
"upprepas","1.0"
"besluta","2.0"
"lång","9.0"
"dåtida","1.0"
"grannarna","2.0"
"anda","1.0"
"reella","1.0"
"ortssammanhängande","1.0"
"förutsättningar?","1.0"
"tog","7.0"
"dödsstöten","2.0"
"avta","1.0"
"bestämma","2.0"
"dubbelkönade","2.0"
"ton","6.0"
"inventeringar","1.0"
"tom","2.0"
"lis-områden","2.0"
"miljöanpassade","1.0"
"nederländerna","1.0"
"dagstidningar","1.0"
"låna","1.0"
"gott","5.0"
"strandskyddsfrågan","1.0"
"arbetstillfällen","2.0"
"strategins","1.0"
"vanliga","1.0"
"jämtlands","2.0"
"kaplan","12.0"
"skidåkare","1.0"
"nöjda","1.0"
"oförståndigt","1.0"
"flygplatser","4.0"
"kabel","1.0"
"markera","1.0"
"tappar","7.0"
"reellt","2.0"
"ledningsgator","2.0"
"flygplatsen","1.0"
"trots","15.0"
"kontor","9.0"
"förhand","2.0"
"vattnet","3.0"
"tillväxtmässigt","1.0"
"tobé:","1.0"
"industrier","1.0"
"vattenrättsordning","1.0"
"grannsamverkan","1.0"
"vädjar","1.0"
"liktydigt","2.0"
"satt","5.0"
"löns","1.0"
"jättestort","1.0"
"ordnat","2.0"
"kläder","1.0"
"projekt","4.0"
"förvaltningsjakt","2.0"
"förrförra","1.0"
"iakttagelser","1.0"
"grödor","1.0"
"mjölkbonde","1.0"
"påverkat","1.0"
"djurskyddstillsyn","2.0"
"lett","2.0"
"påskynda","1.0"
"närproducerat","1.0"
"lag","4.0"
"tränar","1.0"
"påverkas","5.0"
"lyser","1.0"
"påverkar","9.0"
"hänger","2.0"
"sammantaget","3.0"
"påverkan","3.0"
"tankemönster","1.0"
"tendensen","1.0"
"agerar","9.0"
"löneskatt","1.0"
"minns","3.0"
"tre","9.0"
"arbetar","4.0"
"arbetat","1.0"
"lador","5.0"
"besvara","1.0"
"170-270","1.0"
"upp-","1.0"
"tro","1.0"
"rörelsemarginalen","3.0"
"200","6.0"
"inrikesminister","1.0"
"landstiget","1.0"
"uttalade","2.0"
"varna","1.0"
"hyresgästen","2.0"
"trygghet","2.0"
"minne","1.0"
"initialt","1.0"
"fossila","1.0"
"hyresgäster","1.0"
"utbilda","1.0"
"university","1.0"
"bakgrunden","9.0"
"mattan","2.0"
"väsentliga","1.0"
"samtalsfrågor","1.0"
"klarare","1.0"
"miljöpolitik","2.0"
"leva","12.0"
"operatörsneutral","1.0"
"totala","3.0"
"ikraftträdande","1.0"
"möjligt","21.0"
"bilden","2.0"
"dagstidningen","1.0"
"löst","1.0"
"gångbara","1.0"
"förändrats","2.0"
"odlas","1.0"
"våren","5.0"
"uppe","7.0"
"varor","1.0"
"systembolaget","1.0"
"lösa","3.0"
"nämligen","22.0"
"kolleger","8.0"
"tredje","4.0"
"entydig","1.0"
"friggebodar","1.0"
"uppemot","1.0"
"föreslogs","1.0"
"totalt","3.0"
"förhandlare?","1.0"
"stöttat","1.0"
"patienter","4.0"
"resonerar","1.0"
"tvingas","5.0"
"nästan","4.0"
"halvårsskiftet","2.0"
"ärendena","1.0"
"ingick","1.0"
"näringsperspektiv","1.0"
"begär","3.0"
"diket","1.0"
"bostadsplanering","1.0"
"avveckla","1.0"
"drivkrafter","1.0"
"egenavgifterna","1.0"
"redan","27.0"
"förverkliga","1.0"
"fortare","1.0"
"tur","4.0"
"karin","1.0"
"gången","2.0"
"låta","5.0"
"partiledardebatten","1.0"
"bostäder","25.0"
"samråd","5.0"
"gånger","10.0"
"landsbygd","10.0"
"arbetsförmedlingens","9.0"
"vattenfalls","7.0"
"dock","18.0"
"återställning","1.0"
"aviserat","1.0"
"betyder","5.0"
"aviserar","4.0"
"skogs-","1.0"
"element","1.0"
"uppmärksamma","5.0"
"nödvändigt","1.0"
"återgå","3.0"
"megahertz","1.0"
"avloppsanläggningar","1.0"
"ärendet","3.0"
"miljöproblemen","2.0"
"trä","1.0"
"huvudstadsområdet","1.0"
"lyfter","12.0"
"svårigheterna","1.0"
"ärenden","1.0"
"möjliga","2.0"
"hyresnivåerna","1.0"
"hållning","3.0"
"motsvarande","1.0"
"kalibreringskurser","1.0"
"bekämpar","1.0"
"nödvändiga","1.0"
"tioårsperiod","1.0"
"producera","1.0"
"förslagen","3.0"
"skrivas","1.0"
"nyligen","4.0"
"tempelberget","1.0"
"fårstängsel","1.0"
"anföranden","1.0"
"rapport","3.0"
"250","2.0"
"ledamotens","1.0"
"bransch","2.0"
"(c)","1.0"
"statsministerns","1.0"
"anförandet","1.0"
"avskrivningstid?","1.0"
"synsättet","1.0"
"utvecklingen","12.0"
"aspergers","1.0"
"tillsyn","4.0"
"förslaget","1.0"
"strandskyddsdelegationen","1.0"
"låtit","2.0"
"situation","9.0"
"ringer","1.0"
"hösten","6.0"
"vinklade","2.0"
"utredningen?","2.0"
"flyg","2.0"
"säsong","1.0"
"tillsynsmyndigheten","1.0"
"servicen","1.0"
"kringgående","1.0"
"fn:s","1.0"
"dagligen","2.0"
"syftet","3.0"
"fattat","2.0"
"besvarades","1.0"
"utrymme","1.0"
"andersson","3.0"
"här","165.0"
"ledningen","4.0"
"kunderna","2.0"
"uttryckt","1.0"
"diskussionen","5.0"
"lämnas","1.0"
"östersjön","7.0"
"lämnar","5.0"
"principle","1.0"
"diskussioner","3.0"
"lyckas","1.0"
"sbab","6.0"
"lämnat","4.0"
"matproduktion","1.0"
"detaljerna","1.0"
"ungdomar","4.0"
"nämnt","1.0"
"typ","1.0"
"avsluta","5.0"
"minska","15.0"
"åkeribranschen","1.0"
"anna","6.0"
"landshövdingarna","1.0"
"leverantörerna?","1.0"
"hår","1.0"
"flyttnetto","2.0"
"pris","3.0"
"nämna","5.0"
"budget","12.0"
"släpper","2.0"
"utvidgade","1.0"
"två","29.0"
"regering","14.0"
"storstockholmsregionen","1.0"
"planläggning","2.0"
"tolkar","1.0"
"mångt","1.0"
"omvandlat","1.0"
"bistånd","4.0"
"ofta","17.0"
"miljöeffekterna","1.0"
"inskränkning","1.0"
"norrland","2.0"
"entreprenörskap","1.0"
"1949","1.0"
"miljökonsekvensbeskrivning","1.0"
"utformningen","1.0"
"till?","3.0"
"full","3.0"
"detsamma","1.0"
"annorlunda","4.0"
"avvecklat","2.0"
"äntligen","2.0"
"propagandakrig","1.0"
"290","2.0"
"närvaron","1.0"
"tills","1.0"
"utgifter","1.0"
"regeringskansliet","1.0"
"it-ministern","11.0"
"skriver","8.0"
"stark","6.0"
"hyror","1.0"
"spannmål","1.0"
"många","108.0"
"sanktioner","2.0"
"effekterna","6.0"
"beaktas","1.0"
"precis","19.0"
"pompa","1.0"
"bifölls","1.0"
"netto","1.0"
"fälla","1.0"
"lönsamhetsbedömningar","1.0"
"folket","1.0"
"folken","1.0"
"2:5","1.0"
"tillämpas","1.0"
"synpunkterna","1.0"
"upprätthålla","3.0"
"kostnadseffektivt","2.0"
"återigen","11.0"
"starta","2.0"
"fallen","1.0"
"analysera","2.0"
"signalerna","1.0"
"al-aqsamoskén","1.0"
"byggtiden","1.0"
"pågående","2.0"
"understiger","1.0"
"flyttning","1.0"
"emigrationen","1.0"
"oroande","2.0"
"fallet","9.0"
"befolkningen","2.0"
"världskriget","1.0"
"1967","1.0"
"undra","1.0"
"faller","2.0"
"miljölagstiftning","1.0"
"slutet","3.0"
"avslutade","1.0"
"hyressättningssystem","2.0"
"landstinget","2.0"
"planera","2.0"
"miljökostnader","1.0"
"komplett","1.0"
"besöksmål","1.0"
"återhållande","1.0"
"kraftigt","3.0"
"värdefullt?","1.0"
"utvinnas","1.0"
"studie","1.0"
"träffa","1.0"
"gångna","3.0"
"regeringsställning","2.0"
"reviren","2.0"
"kraftiga","1.0"
"citera","5.0"
"litar","1.0"
"tydlighet","3.0"
"enlighet","2.0"
"liknande","3.0"
"myndighetens","3.0"
"samordningen","2.0"
"1982","1.0"
"berörda.","1.0"
"socialförvaltning","1.0"
"telestyrelsen","1.0"
"kontexten","1.0"
"införa","5.0"
"miljonerna","1.0"
"skrivit","3.0"
"införsel","5.0"
"korrekt","2.0"
"bredbandskoordinatorer","1.0"
"utredningsdirektiven","3.0"
"infrastrukturplanen","1.0"
"riksintressen","1.0"
"principen","4.0"
"lov","1.0"
"1994","2.0"
"ifrågasatt","1.0"
"1992","1.0"
"klara","15.0"
"motionerat","1.0"
"infört","2.0"
"utförare","1.0"
"prov","1.0"
"röstar","1.0"
"plocka","2.0"
"kompetensförsörjningen?","1.0"
"kommunalråd","1.0"
"diskussion","12.0"
"bosättningar","3.0"
"nuonaffären","1.0"
"bolags","1.0"
"besittningsrätt","1.0"
"uppgifter","5.0"
"byggindustrin","7.0"
"placeras","3.0"
"pipeline","1.0"
"statsmakterna","1.0"
"uppgiften","2.0"
"klart","18.0"
"möjligheten","18.0"
"riktning","2.0"
"beroende","6.0"
"anta","1.0"
"sjöar","3.0"
"möjligheter","13.0"
"mörtarna","1.0"
"hjälper","2.0"
"stockholms","3.0"
"signalerar","1.0"
"hänvisning","1.0"
"godståg","1.0"
"förtäta","3.0"
"användas?","1.0"
"quick","1.0"
"vänta","3.0"
"skälet","3.0"
"fordon","5.0"
"tryggt","1.0"
"dag","70.0"
"markägare","6.0"
"rådrum","2.0"
"dopa","1.0"
"trygga","3.0"
"snarast","2.0"
"allianskolleger","1.0"
"visserligen","1.0"
"storstäder","2.0"
"ögon","3.0"
"liten","5.0"
"minuten","2.0"
"blockerar","1.0"
"litet","7.0"
"snarare","6.0"
"minuter","3.0"
"format","1.0"
"spåret","1.0"
"skatteväxlas","1.0"
"ökända","1.0"
"tonen","1.0"
"monica","2.0"
"överväga","1.0"
"illegal","5.0"
"dispens","2.0"
"närområdet","1.0"
"myndigheters","2.0"
"allmänhet","1.0"
"referensvärde","1.0"
"byggnationer","1.0"
"vattenlevande","1.0"
"förmedlare","2.0"
"underlätta","9.0"
"beröra","1.0"
"berörd","1.0"
"byggnationen","1.0"
"vårdar","1.0"
"kontrollutrustning","1.0"
"pågått","2.0"
"vårdas","1.0"
"signaler","4.0"
"chansen","3.0"
"färg","7.0"
"saken","1.0"
"signalen","1.0"
"chanser","1.0"
"blandar","1.0"
"bevakar","1.0"
"fiskar","1.0"
"part","1.0"
"bohuskusten","2.0"
"saker","9.0"
"exempelvis","4.0"
"berörs","9.0"
"kapaciteten","2.0"
"misstron","1.0"
"helhetsbild","1.0"
"bild","2.0"
"enhetliga","1.0"
"påpekade","1.0"
"höstas","5.0"
"röster","1.0"
"urbanisering","1.0"
"näven","2.0"
"exportindustrin","1.0"
"mikael","6.0"
"lantbruk","4.0"
"innehav","1.0"
"uträkningar","1.0"
"gödselskatten","2.0"
"skydd","3.0"
"komplexa","1.0"
"tillför","1.0"
"suttit","2.0"
"koncentration","3.0"
"tiden","10.0"
"förändrade","1.0"
"adsl-bredbandet","1.0"
"tider","2.0"
"älgstammens","1.0"
"vidare","20.0"
"bryts","1.0"
"syftar","3.0"
"skälig","1.0"
"omfattning","3.0"
"organisationerna","1.0"
"marknaden?","1.0"
"kostnad","4.0"
"detaljerat:","1.0"
"exponering","1.0"
"poängterar","1.0"
"lagstiftningar","1.0"
"del","49.0"
"rimmar","3.0"
"den","440.0"
"dem","34.0"
"ekologisk","1.0"
"töms","2.0"
"består","1.0"
"det","1607.0"
"42 500","2.0"
"innehålla","1.0"
"lokaliseringspolitik","1.0"
"förnybart","3.0"
"fastigheter","1.0"
"intervju","1.0"
"ovilja","1.0"
"säkerställa","7.0"
"fördela","1.0"
"landskapsbilden","1.0"
"bäst.","1.0"
"jordbrukspolitiken?","1.0"
"inför","11.0"
"relativt","3.0"
"gruppen?","1.0"
"produktion","2.0"
"förnybara","4.0"
"arbetsgivaravgift","1.0"
"välkommet","1.0"
"primärvården","3.0"
"sektorn","1.0"
"presenterades","2.0"
"finansplanen","1.0"
"välkommen","3.0"
"möjlig","1.0"
"miljöhänseende","1.0"
"hindret","1.0"
"kontrakt","2.0"
"begränsa","1.0"
"storlek","2.0"
"stolta","1.0"
"exploateringstrycket","3.0"
"jagat","1.0"
"avståndsreglerna","1.0"
"accepterar","1.0"
"förtroendefull","1.0"
"befolkningsutvecklingen","1.0"
"investerarna","1.0"
"delarna","4.0"
"exploatera","1.0"
"allmänhetens","2.0"
"15-20","1.0"
"ändarna","1.0"
"280 000","1.0"
"uppvisas","1.0"
"kollega","4.0"
"sjuka","1.0"
"omställningar","1.0"
"tidigare","60.0"
"oppositionen","3.0"
"vägunderhåll","1.0"
"exportföretag","1.0"
"mörtar","1.0"
"ansamling","1.0"
"överlämna","1.0"
"säger","44.0"
"implementering","1.0"
"inlåsningseffekter","1.0"
"exkluderades","1.0"
"rovdjur","7.0"
"korta","1.0"
"känna","4.0"
"genomgående","1.0"
"propagandaförsök","1.0"
"besökare","1.0"
"tämligen","3.0"
"kommentera","4.0"
"tanken","2.0"
"bygger","12.0"
"importeras","1.0"
"bygget","1.0"
"krigföring","1.0"
"vårdföretagen","2.0"
"känns","8.0"
"transporter","7.0"
"angående","2.0"
"ledsen","4.0"
"närvarande","1.0"
"fattades","2.0"
"tillsynsbesök","1.0"
"åsikter","1.0"
"under","63.0"
"mina","14.0"
"avyttringar","1.0"
"osäkra","2.0"
"accepterad","1.0"
"enbart","5.0"
"bostadens","1.0"
"näringspolitik","1.0"
"mineralgödsel","1.0"
"etableringsrätten","1.0"
"något","40.0"
"tolerant","1.0"
"tolerans","1.0"
"dig","5.0"
"specifikt","2.0"
"användningsområden","1.0"
"mellan","38.0"
"vänner","4.0"
"din","2.0"
"retur","1.0"
"inga","6.0"
"dit","11.0"
"tillväxtområdena","1.0"
"närodlat","1.0"
"norsk-svenskt","1.0"
"beskrivningen","1.0"
"exemplen","1.0"
"företagande","6.0"
"säga:","3.0"
"bygdeföretag","1.0"
"fyllt","1.0"
"hög","6.0"
"någon","39.0"
"specifika","2.0"
"grundförutsättning","1.0"
"slutdestinationen","1.0"
"beteskravet","1.0"
"signal","4.0"
"undersöka","1.0"
"krafter","1.0"
"regeringsledamöter","1.0"
"inrikesministrarna:","1.0"
"strax","1.0"
"utredning","10.0"
"hör","6.0"
"gårdsnivå","1.0"
"förlängda","1.0"
"tänker","22.0"
"kopplad","1.0"
"utbyggnaden","5.0"
"undersökt","3.0"
"förändring","4.0"
"hotat","1.0"
"utländsk","1.0"
"konstens","1.0"
"koldioxid","2.0"
"nyttjar","1.0"
"miljöstyrning","3.0"
"biodrivmedel","7.0"
"innebär","34.0"
"deklaration","1.0"
"sitter","10.0"
"kopplat","2.0"
"vattenkraft","1.0"
"kopplas","1.0"
"kopplar","1.0"
"parti-","1.0"
"äga","1.0"
"arbetsplatser","1.0"
"hindrar","3.0"
"överföra","1.0"
"närodlad","1.0"
"problembeskrivning:","1.0"
"bred","2.0"
"välvillig","1.0"
"hänsynsfullhet","1.0"
"ylva","2.0"
"gjorde","10.0"
"700 000","1.0"
"hjälp","4.0"
"stater","6.0"
"menade","2.0"
"pensionärslägenheter","1.0"
"dispenser","7.0"
"ägs","3.0"
"berodde","1.0"
"släppts","1.0"
"äter","1.0"
"jätteglad","2.0"
"sägas","1.0"
"samhällsinfrastruktur","1.0"
"uppmuntrar","1.0"
"raljerar","1.0"
"dåligt","1.0"
"biståndet","1.0"
"kontroller","3.0"
"sammanvägas","1.0"
"övertygad","4.0"
"inser","2.0"
"gillberga","1.0"
"rovdjursstängsel","3.0"
"översyn","6.0"
"ske?","1.0"
"regelmässigt","1.0"
"lönsamheten","3.0"
"damberg","2.0"
"ugglas","1.0"
"flotta","1.0"
"eriksson","7.0"
"frågor","34.0"
"tomma","3.0"
"eu-länder","2.0"
"grann","5.0"
"majoritet","4.0"
"ersätta","1.0"
"fylla","2.0"
"undan","7.0"
"grant","1.0"
"rekorddyr","1.0"
"pays","1.0"
"antalet","11.0"
"arbetsplats","6.0"
"miljöerna","1.0"
"återföra","1.0"
"anläggningsindustri","1.0"
"kraftig","1.0"
"tillsatte","2.0"
"omfattas","1.0"
"onsala","1.0"
"orter","6.0"
"omfattar","1.0"
"sydöstra","3.0"
"världslåg","1.0"
"folkhälsan","3.0"
"3-4","1.0"
"miljövänligt","1.0"
"interpellationsdebatt","3.0"
"bruttovikt","8.0"
"starkare","2.0"
"alliansregeringen","6.0"
"långsiktigt","8.0"
"frågeställningen","1.0"
"brukande","2.0"
"80-90","1.0"
"näringsministern","1.0"
"vinstintresse","1.0"
"affär","1.0"
"byggstart?","1.0"
"stävjar","1.0"
"etjänsterna?","1.0"
"mitt","21.0"
"brev","3.0"
"utvecklingen?","2.0"
"sker","22.0"
"färger","3.0"
"livsmedelsstrategi","1.0"
"utmärkt","3.0"
"upp","68.0"
"berättade","1.0"
"jordbruksverket","3.0"
"önskades","1.0"
"patrik","2.0"
"jordbruksverk","1.0"
"själv","11.0"
"status","1.0"
"skogspromenader","1.0"
"övergångsbestämmelserna","1.0"
"bedömningsgrunden","1.0"
"hundratals","1.0"
"myggbekämpningen","1.0"
"några","31.0"
"tamdjur","1.0"
"spruta","2.0"
"unionen","5.0"
"efterarbete","1.0"
"långsiktiga","5.0"
"oljan","1.0"
"merkostnader","1.0"
"mal","1.0"
"statlig","4.0"
"man","390.0"
"kontrollen?","1.0"
"besprutningsinsatserna","1.0"
"delaktighet","1.0"
"starkaste","2.0"
"klar","1.0"
"mat","4.0"
"uttalat","5.0"
"motsatt","1.0"
"uttalas","1.0"
"gränsdragning","1.0"
"uttalar","1.0"
"tänkte","6.0"
"månader","6.0"
"recepten?","1.0"
"huvudsakligen","1.0"
"främja","4.0"
"ingå","1.0"
"300","5.0"
"författning","1.0"
"byggstarten","1.0"
"allvaret","1.0"
"vackert","1.0"
"alkohol-","1.0"
"ut?","5.0"
"äganderätten","5.0"
"e-tjänster","3.0"
"införandet","1.0"
"statsråd","4.0"
"gynna","1.0"
"ledningarna","1.0"
"mening","1.0"
"månad","4.0"
"kostnads-","1.0"
"dra","10.0"
"meddela","1.0"
"erbjudas","1.0"
"omsättning","2.0"
"blockets","1.0"
"vända","6.0"
"rabalder","1.0"
"utomordentligt","1.0"
"gällande","2.0"
"likvärdig","5.0"
"kraftledningar","2.0"
"inriktad","1.0"
"40 000","3.0"
"generaldirektör","4.0"
"ute","15.0"
"caroline","1.0"
"inne","6.0"
"hämtat","1.0"
"meddebattörer","1.0"
"landsort","3.0"
"kammaren?","1.0"
"320","3.0"
"regeringsunderlag","1.0"
"lastbilsnäringen","1.0"
"skedet","1.0"
"skit","1.0"
"belagda","1.0"
"trappa","1.0"
"regelförenkla","2.0"
"frågeställningar","1.0"
"teckna","1.0"
"tamdjurshållning","2.0"
"överblicka","1.0"
"ansökan","3.0"
"uppnås","1.0"
"utbyggda","1.0"
"uppnår","2.0"
"från","148.0"
"nossan","2.0"
"nedskrivningar","1.0"
"med","403.0"
"eller","117.0"
"boendet","1.0"
"fanns","9.0"
"låter","2.0"
"nuon","1.0"
"men","176.0"
"titta","14.0"
"mer","57.0"
"förenklingarna","1.0"
"biomassa","1.0"
"statskontoret","3.0"
"djurskydd","4.0"
"klev","1.0"
"beviljades","1.0"
"nivåer","1.0"
"kammarens","3.0"
"investeringar","2.0"
"regeringsbeslut","1.0"
"bemöta","1.0"
"meningsskiljaktigheterna","1.0"
"tankar","3.0"
"statligt","1.0"
"klaga","1.0"
"2012:","1.0"
"föds","1.0"
"banan","1.0"
"är:","10.0"
"miljövänliga","1.0"
"styrda","1.0"
"uppskattar","2.0"
"tackar","12.0"
"vattendirektivet","1.0"
"inom","30.0"
"uppskattas","2.0"
"stundtals","1.0"
"omsättningar","1.0"
"byter","1.0"
"förbifart","2.0"
"djurvälfärdsersättningen","3.0"
"citera:","1.0"
"statliga","19.0"
"princip","3.0"
"dialogen","2.0"
"föranledde","1.0"
"nogsamt","1.0"
"jordanien","1.0"
"skog","5.0"
"berättigande","1.0"
"inse","1.0"
"kronobergs","1.0"
"tillsätter","2.0"
"knappast","3.0"
"teoretiskt","1.0"
"frågan?","2.0"
"betydligt","8.0"
"ambassadör","1.0"
"ledningsgata","1.0"
"350","2.0"
"lösningar?","1.0"
"omkring","3.0"
"språk","1.0"
"uppland","1.0"
"bebyggelsen","1.0"
"allra","8.0"
"acceptans","4.0"
"klarats","1.0"
"mottagande","1.0"
"10","3.0"
"talman","150.0"
"11","1.0"
"13","1.0"
"14","10.0"
"debattartikel","2.0"
"16","2.0"
"hörnstenen","1.0"
"inrikes","1.0"
"inspektioner","1.0"
"17","1.0"
"korrigeringen","1.0"
"landsbygden","45.0"
"samtala","1.0"
"företrädare","5.0"
"grundläggande","1.0"
"tunnelbana","1.0"
"stöder","2.0"
"miljö","5.0"
"bestämt","1.0"
"tillsattes","3.0"
"alkoholpolitiken","2.0"
"förhandlare","1.0"
"resonemang","5.0"
"frågans","1.0"
"20","8.0"
"velat","1.0"
"byggandet","4.0"
"21","2.0"
"23","1.0"
"25","5.0"
"26","1.0"
