"party","FP"
"documentCount","188"
"","22.0"
"giftermål","2.0"
"heltäckande","1.0"
"hybridaspar","1.0"
"oroligheter","1.0"
"validering","4.0"
"qaraqosh","1.0"
"formulera","1.0"
"lo:s","2.0"
"nedläggningen","1.0"
"inomhus","1.0"
"övningar","2.0"
"föreslagen","1.0"
"vrider","3.0"
"kronologiska","1.0"
"upprättad","1.0"
"slussen","1.0"
"stötta","4.0"
"partivänner","2.0"
"kosta","2.0"
"bostadsbristen","3.0"
"ku-diskussionen","1.0"
"-","236.0"
"äldre","18.0"
"1","4.0"
"västmanland","3.0"
"2","2.0"
"3","2.0"
"strandskyddet","2.0"
"4","3.0"
"5","2.0"
"arbetet","25.0"
"6","1.0"
"7","1.0"
"8","2.0"
"9","2.0"
"kilometerskatt","1.0"
"skattesystemet","1.0"
"samt","5.0"
"moget","1.0"
"bankdirektören","2.0"
"nyheten","1.0"
"lögn","1.0"
"glada","1.0"
"roll","19.0"
"nyheter","1.0"
"döden","1.0"
"hann","1.0"
"hadzialic","10.0"
"hans","15.0"
"sanningsvittne","2.0"
"integrerad","1.0"
"opposition","1.0"
"klingar","1.0"
"137,5","1.0"
"maskerade","1.0"
"valfriheten","4.0"
"valberedningar","1.0"
"skolbibliotek","1.0"
"sorters","2.0"
"arbetsförmedlingarna","1.0"
"hand","9.0"
"anför","2.0"
"definierar","1.0"
"saudiska","1.0"
"b","2.0"
"salt","1.0"
"på:","1.0"
"återvända","2.0"
"remissvaren","1.0"
"fördel","1.0"
"exakta","2.0"
"i","1854.0"
"kommunnivå","2.0"
"på?","2.0"
"utnyttjad","1.0"
"spirar","1.0"
"o","1.0"
"the","3.0"
"innovationer?","1.0"
"biträder","1.0"
"twittrande","1.0"
"hypotetisk","1.0"
"s","1.0"
"halv","3.0"
"finansierat","1.0"
"han:","2.0"
"konsumentinriktad","1.0"
"finansierar","1.0"
"högskolebehörighet?","2.0"
"verkar","8.0"
"kritik","12.0"
"information","17.0"
"verkat","1.0"
"motionen","1.0"
"utnyttjar","1.0"
"fördes","3.0"
"degerfors","1.0"
"november","7.0"
"brommas","1.0"
"budgetarna","1.0"
"good","1.0"
"tid","38.0"
"bristyrken","1.0"
"föreslagit","4.0"
"lågt","3.0"
"artikelserie","1.0"
"nedläggningar","1.0"
"tio","20.0"
"hyran","2.0"
"omringad","1.0"
"sant","1.0"
"fördelad","1.0"
"säkerhetsskydd","1.0"
"medlemskap","5.0"
"rekryteringsprocesser","1.0"
"registersystem","1.0"
"låga","2.0"
"framgångar","1.0"
"huvud","13.0"
"branschlärlingar","2.0"
"bakåt","1.0"
