"party","KD"
"documentCount","95"
"","4.0"
"säljer","1.0"
"jobben?","1.0"
"beskattas","1.0"
"heltäckande","1.0"
"validering","8.0"
"viljan","1.0"
"upprättas","1.0"
"formulera","1.0"
"varje","11.0"
"avklarades","1.0"
"fredsprocess","2.0"
"betydelse","9.0"
"övningar","2.0"
"enkla","2.0"
"kompetensförsörjningen","1.0"
"rekryteringsbehov","1.0"
"stötta","1.0"
"rättvis","3.0"
"betalade","1.0"
"kosta","7.0"
"blöt","1.0"
"häktats","1.0"
"stabil","1.0"
"heroiskt","1.0"
"kommersiell","1.0"
"säkerheten","1.0"
"-","84.0"
"rättvisa","1.0"
"1","10.0"
"kulturinstitutioner","1.0"
"2","1.0"
"3","1.0"
"4","2.0"
"5","2.0"
"6","1.0"
"arbetet","7.0"
"7","2.0"
"eleven","1.0"
"anhöriga","1.0"
"bekämpningsmedel","1.0"
"varit","42.0"
"elever","4.0"
"bestämde","2.0"
"skattesystemet","2.0"
"samt","5.0"
"flit","3.0"
"glada","1.0"
"roll","7.0"
"kulturskaparna","1.0"
"beredd","2.0"
"bereda","1.0"
"mördar","1.0"
"båtarna","2.0"
"mördas","1.0"
"hans","11.0"
"krigsuppgift","1.0"
"kronoberg","1.0"
"gymnasieprogram","1.0"
"fiskeransoner","1.0"
"beredskap","1.0"
"kunskapsresultaten","1.0"
"utvecklingssamarbetet","1.0"
"sorters","1.0"
"frihet","4.0"
"utkastförbud","1.0"
"definierar","2.0"
"hand","10.0"
"säkerhet","3.0"
"jordens","1.0"
"a","1.0"
"b","1.0"
"arbete?","1.0"
"återvända","1.0"
"på:","1.0"
"fördel","1.0"
"etiopiens","5.0"
"i","799.0"
"hamn","1.0"
"på?","1.0"
"the","1.0"
"halv","2.0"
"utsorterat","1.0"
"jätteviktig","1.0"
"äldsta","1.0"
"verkar","7.0"
"kritik","3.0"
"information","3.0"
"våras","1.0"
"utnyttjas","1.0"
"utnyttjar","1.0"
"kristdemokraternas","5.0"
"november","3.0"
"nordöstra","1.0"
"grunden.","1.0"
"söder","2.0"
"handlingskraft","1.0"
"viljen","1.0"
"tid","22.0"
"ryssland","3.0"
"hemförhållanden","1.0"
"somalia","5.0"
"linjen?","1.0"
"känner","7.0"
"rikets","3.0"
"medel?","1.0"
"lågt","2.0"
"tänk","2.0"
"anser","14.0"
"utförd","1.0"
"tio","8.0"
"stickmyggsproblem","1.0"
"anställda","2.0"
"anses","3.0"
"födelser","1.0"
"stefan","2.0"
"che","1.0"
"sant","1.0"
"framåt","7.0"
"rekryteringsprocesser","1.0"
