"party","M"
"documentCount","743"
"","52.0"
"finanser?","3.0"
"klarade","3.0"
"bältet","2.0"
"benägen","2.0"
"sjukersättning","1.0"
"abrupt","1.0"
"klättrar","1.0"
"tillåten?","1.0"
"grundbelopp","1.0"
"beskattar","3.0"
"nedläggningen","4.0"
"beskattad","2.0"
"energiöverenskommelsen","3.0"
"stökigt","1.0"
"inkomstbortfallsprincip","2.0"
"fokusarealer","1.0"
"kosta","23.0"
"bostadsbristen","1.0"
"studsade","1.0"
"kalhygge","1.0"
"kl. 11","1.0"
"-","630.0"
"förringade","1.0"
"körskola","1.0"
"äldre","157.0"
"0","1.0"
"1","36.0"
"tunt","2.0"
"skattesystemen","1.0"
"2","23.0"
"motiv?","1.0"
"3","13.0"
"4","30.0"
"strandskyddet","5.0"
"5","8.0"
"6","12.0"
"7","2.0"
"aktern","1.0"
"8","8.0"
"optimisterna","1.0"
"9","3.0"
"förankrade","3.0"
"grundvärdena","1.0"
"bekämpningsmedel","1.0"
"bussen","1.0"
"skattesystemet","24.0"
"attentaten","1.0"
"nyheten","4.0"
"glada","10.0"
"ungdomslönerna","1.0"
"roll","57.0"
"nyheter","3.0"
"1000","2.0"
"170-260","1.0"
"integrerad","2.0"
"trafikslag","3.0"
"skype","1.0"
"kronoberg","1.0"
"klingar","2.0"
"ladda","1.0"
"bostadssubventioner","1.0"
"valfriheten","8.0"
"barnsjukdom","1.0"
"skymma","1.0"
"mogen","1.0"
"karriär","18.0"
"anför","2.0"
"a","4.0"
"misslyckande","4.0"
"lades","2.0"
"b","2.0"
"miljöbränslen","2.0"
"okontroversiellt","1.0"
"fördel","11.0"
"remissvaren","2.0"
"exakta","4.0"
"i","6842.0"
"passare","1.0"
"låg-","2.0"
"1800-talet","1.0"
"handelsavtalet","8.0"
"o","2.0"
"s","19.0"
"hypotetisk","3.0"
"skattelättnad","2.0"
"taiwans","5.0"
"rennäring","1.0"
"stickmyggan","2.0"
"jätteviktig","2.0"
"v","1.0"
"äldsta","3.0"
"högskolebehörighet?","1.0"
"x","2.0"
"skiddestinationerna","1.0"
"information","24.0"
"straffpåföljden","1.0"
"utnyttjas","1.0"
"utnyttjar","4.0"
"fördes","2.0"
"sväljer","1.0"
"bussar","4.0"
"mobilitet","2.0"
"inkomstprincip","1.0"
"brommas","6.0"
"nationalekonomer","3.0"
"budgetarna","1.0"
"läkarutbildning","1.0"
"lågt","12.0"
"vårpropositionen","2.0"
"industrikansler","2.0"
"nedläggningar","1.0"
"replik","1.0"
"löftesbrott","2.0"
"exportintäkter","1.0"
"redigt","2.0"
"chi","1.0"
"nyland","2.0"
"låga","23.0"
"framgångar","1.0"
"huvud","60.0"
"s-styrda","1.0"
"personaltäthet","1.0"
"engelska","2.0"
"dödar","1.0"
"fördelar","10.0"
"fördelas","4.0"
"dödas","1.0"
"förhandlingsbordet","1.0"
"morgon</em>","1.0"
"kontrollfrågan","1.0"
"bolagsskatten","2.0"
"förvirrad","1.0"
"attraktiv","2.0"
"½","1.0"
"arbetskamrater","1.0"
"handelsgödselskatt","1.0"
"reparera","1.0"
"skiljer","11.0"
"eldfängt","1.0"
"förvirrar","1.0"
"gärning","1.0"
"jämnt","2.0"
"bromma?","2.0"
"seminarier","2.0"
"företagsklimatet?","2.0"
"regnér","2.0"
"skabbproblematiken","1.0"
"längden","2.0"
"representation","2.0"
"engagerad","1.0"
"bondförnuft:","1.0"
"utmålar","1.0"
"jämna","1.0"
"estniske","1.0"
"kvinnan","1.0"
"hälften","12.0"
"å","38.0"
"annekteringen","1.0"
"skyll","1.0"
"engagerar","4.0"
"världsbankens","1.0"
"ortsbefolkningen","1.0"
"energi","10.0"
"nyfiken","5.0"
"förbättringar","8.0"
"nationalekonomen","1.0"
"debiteras","1.0"
"stickmyggen","1.0"
"debiterar","1.0"
"nyfiket","1.0"
"frågade","19.0"
"verkliga","4.0"
"utvärdera","24.0"
"ordet","6.0"
"jämnare","1.0"
"grunder","5.0"
"bestrida","1.0"
"grunden","45.0"
"delmål","1.0"
"chaufförerna","4.0"
"automatisk","1.0"
"seniorkraft","1.0"
"7 000","8.0"
"ardalan","16.0"
"bredare?","1.0"
"fördröjningar","1.0"
"reformen","22.0"
"orden","9.0"
"skoltrötta","1.0"
"vikterna","1.0"
"reformer","55.0"
"order","1.0"
"sommararbete","1.0"
"ogiltigförklarade","1.0"
"diagnos","3.0"
"tyvärr","89.0"
"dumma","1.0"
"skattereglerna","4.0"
"förlängd","4.0"
"personligen","9.0"
"lastbils-","1.0"
"kontrollerade","4.0"
"högutbildad","1.0"
"ofarligt","1.0"
"reform","30.0"
"nöjer","4.0"
"synder?","1.0"
"blåser","1.0"
"förlänga","7.0"
"rimlig","9.0"
"votera","1.0"
"avregleringens","1.0"
"varsel","1.0"
"avvakta","2.0"
"avvisade","2.0"
"vaccination","2.0"
"beviset","1.0"
"fenomen","2.0"
"bildar","1.0"
"lång","82.0"
"ekvationen","4.0"
"reella","1.0"
"dödsstöten","1.0"
"politikområden","6.0"
"125 000","1.0"
"problembild","1.0"
"gott","33.0"
"låna","11.0"
"förhastat","1.0"
"rota","1.0"
"nöjda","4.0"
"flygplatser","57.0"
"reellt","4.0"
"flygplatsen","18.0"
"individerna","1.0"
"framsynta","1.0"
"förtjäna","1.0"
"verkligt","2.0"
"frihandelsförhandlingarna","1.0"
"vägledande","2.0"
"grannsamverkan","1.0"
"vädjar","6.0"
"långsökt","1.0"
"apparat","1.0"
"avgifter?","2.0"
"restaurangfacket","1.0"
"vädjan","1.0"
"asiatiska","1.0"
"framhåller","3.0"
"danderyd","3.0"
"rättssäkerhetsgarantier","1.0"
"rosa","1.0"
"flitig","1.0"
"kaxighet","1.0"
"uppståndelse","1.0"
"producerade","1.0"
"färdigutredd","1.0"
"iakttagelser","1.0"
"privatägda","1.0"
"scb:s","1.0"
"bekväm","1.0"
"initiala","3.0"
"likartat","1.0"
"förenkling","1.0"
"grundas","1.0"
"mottagare","1.0"
"grundat","1.0"
"påläst","1.0"
"agerar","14.0"
"agerat","4.0"
"försvarsförpliktelserna","1.0"
"lador","5.0"
"170-270","1.0"
"varsam","1.0"
"trollspö","1.0"
"valmanifest","1.0"
"skelettet","1.0"
"odiskutabel","1.0"
"trygghet","22.0"
"inskrivna","1.0"
"initialt","1.0"
"handlade","30.0"
"svämmar","1.0"
"hyresgäster","1.0"
"skattereduktion","4.0"
"skämtades","1.0"
"plenum","2.0"
"tendenser","1.0"
"grundtrygghetssystem","1.0"
"uppför","1.0"
"pusselbitar","3.0"
"sexuella","1.0"
"bakgrunden","17.0"
"motarbetar","2.0"
"väsentliga","4.0"
"skogsskador","1.0"
"klarare","1.0"
"times","2.0"
"bedömningarna","1.0"
"bilder","3.0"
"kandidat","1.0"
"sexuellt","1.0"
"bilden","16.0"
"vardagsrum","1.0"
"väsentligt","32.0"
"gemen","1.0"
"förbehållslöst","1.0"
"frysa","4.0"
"nationalekonomisk","2.0"
"strandhäll","13.0"
"upphandlingsverksamheten","1.0"
"luften","6.0"
"merförhandla","1.0"
"nämligen","211.0"
"extraglasyren","1.0"
"regeringsduglighet","2.0"
"lansera","1.0"
"entydig","2.0"
"provflyga","1.0"
"ompröva","2.0"
"bemärkelsen","3.0"
"eu-familjen","5.0"
"framhållit","3.0"
"deltider","1.0"
"konsultföretaget","1.0"
"capita","9.0"
"diskussionerna","6.0"
"eu-systemet","1.0"
"förundersökningar","1.0"
"teresa","1.0"
"rådande","3.0"
"dåtid","2.0"
"japan","3.0"
"begär","2.0"
"diket","1.0"
"viset?","1.0"
"avveckla","20.0"
"tätheten","1.0"
"tillåtelse","1.0"
"angår","2.0"
"polisundersökningar","1.0"
"arbetslöshetsmålet","2.0"
"gången","22.0"
"samhällsfunktioner","1.0"
"låta","53.0"
"innerligt","2.0"
"jorden","4.0"
"tidens","3.0"
"bostäder","77.0"
"gånger","65.0"
"dator","1.0"
"ambitionsnivå","1.0"
"gånget","1.0"
"skulden","1.0"
"landsbygd","12.0"
"arbetsförmedlingens","3.0"
"efterlyses","3.0"
"dieselskatten.","1.0"
"efterlyser","6.0"
"element","1.0"
"återgå","6.0"
"ohälsa","9.0"
"begår","4.0"
"begås","5.0"
"oanvändbar","1.0"
"avfärdade","1.0"
"underskotten","7.0"
"avloppet","1.0"
"låst","1.0"
"motsvarande","4.0"
"tiden?","1.0"
"underskottet","1.0"
"sanitära","1.0"
"utryck","1.0"
"forumet","2.0"
"låsa","7.0"
"100-procentig","1.0"
"polisregion","2.0"
"rimligare","1.0"
"utlandsfödda","6.0"
"förmiddagen","1.0"
"tillredning","1.0"
"glatt","1.0"
"nyligen","15.0"
"anföranden","1.0"
"beslagen","1.0"
"övervägt","1.0"
"anförandet","1.0"
"1 311","1.0"
"65-plus","1.0"
"självmotsägelser","2.0"
"10-15","2.0"
"skattenivåer","1.0"
"ödmjukt","2.0"
"besvikelse","2.0"
"flyg","25.0"
"skulder","3.0"
"10-20","2.0"
"remitterat","1.0"
"sprängmedel","1.0"
"laglig","1.0"
"arbetslöshetsprogram","1.0"
"vargjakt","5.0"
"bunden","1.0"
"flyr","1.0"
"dagligen","3.0"
"fn:s","2.0"
"galgen","1.0"
"ödmjuka","1.0"
"fattat","21.0"
"utjämnar","1.0"
"besvarades","1.0"
"fattas","11.0"
"fattar","17.0"
"berördes","1.0"
"ledningen","3.0"
"förstörde","1.0"
"diskussionen","42.0"
"veterligen","3.0"
"kunskapsbedömning","1.0"
"diskussioner","24.0"
"39 000","1.0"
"ungdomar","96.0"
"argumentering","1.0"
"budgetsaneringen","2.0"
"överskådlig","5.0"
"käfta","1.0"
"budget","132.0"
"släpper","4.0"
"irrelevanta","1.0"
"tobaksrökningens","1.0"
"10 000","17.0"
"fördelaktigt","1.0"
"körskolor","11.0"
"brottmål","3.0"
"arbetsmarknadsutbildningar","2.0"
"iver","1.0"
"fallskadorna","3.0"
"föreskrifter","2.0"
"morden","1.0"
"ofta","92.0"
"siktade","1.0"
"till:","2.0"
"fördelaktiga","1.0"
"överklagandeinstans","3.0"
"1980-talet","1.0"
"partivän","1.0"
"uppdelningen?","1.0"
"reformerade","1.0"
"stulna","1.0"
"till?","12.0"
"önskemål","12.0"
"näringslivsklimatet","1.0"
"bevisar","2.0"
"transfereringssystem","1.0"
"start-","1.0"
"omvandlingsfaser","1.0"
"kemikaliespridningen","1.0"
"tillväxthinder","1.0"
"tills","11.0"
"regeringskansliet","20.0"
"fruktlöst","1.0"
"miljöfarliga","1.0"
"slarvig","1.0"
"förverkligas","1.0"
"förverkligat","1.0"
"förverkligar","1.0"
"samarbetande","1.0"
"vattenbombningsplan","1.0"
"traineejobben","18.0"
"effekterna","38.0"
"beaktas","1.0"
"knäcker","1.0"
"beaktat","1.0"
"beställningar","1.0"
"naivitet","1.0"
"frikostig","1.0"
"sagts:","1.0"
"förhandla","11.0"
"flygbolagets","1.0"
"folket","51.0"
"klimatambitioner","1.0"
"rullade","1.0"
"skyndsam","1.0"
"starta","41.0"
"analysera","11.0"
"prioriterades","1.0"
"klimatinvesteringar","1.0"
"befolkningen","30.0"
"arbetsformer","1.0"
"världskriget","9.0"
"finance","1.0"
"pappas","1.0"
"expanderar","2.0"
"riktats","2.0"
"stockholm?","5.0"
"entreprenörerna","4.0"
"elbilar","1.0"
"träffa","12.0"
"skryta","1.0"
"gångna","3.0"
"socialtjänst","3.0"
"annat:","1.0"
"annars","23.0"
"jämsides","1.0"
"tråd","2.0"
"citera","10.0"
"brottsligheten","8.0"
"annat?","1.0"
"praxis?","1.0"
"civilisera","1.0"
"gustavsbergs","1.0"
"berömt","1.0"
"1 miljon","1.0"
"stockholm;","1.0"
"stockholm:","1.0"
"myndighetens","3.0"
"danmark?","3.0"
"patientinflytande","1.0"
"medborgarnas","7.0"
"branschens","7.0"
"östersjöområdet","2.0"
"fördelen","3.0"
"avvisats","1.0"
"övergrepp","4.0"
"danmarks","2.0"
"inlyssnande","1.0"
"kontexten","1.0"
"kvaliteten?","3.0"
"frågestunden","4.0"
"miljonerna","3.0"
"bevarande","1.0"
"beteendeanpassningar","1.0"
"informativt","1.0"
"grävskopor","1.0"
"placerad","1.0"
"kollektivavtalade","1.0"
"belägg","3.0"
"författningsförslag","1.0"
"rut-avdraget","37.0"
"placeras","4.0"
"placerar","2.0"
"rut-avdragen","2.0"
"fallet;","1.0"
"stockholms","49.0"
"styrning","7.0"
"miljöbelastning","1.0"
"koncentrerar","1.0"
"otydlighet","3.0"
"föräldraskap","2.0"
"studenterna","3.0"
"livsmedelsexporten","1.0"
"stryk","1.0"
"dag","414.0"
"likhet","4.0"
"22 000","1.0"
"planeringsskedet","1.0"
"federala","1.0"
"sjukpensioneras","1.0"
"s-tillsatta","1.0"
"sjysta","4.0"
"svartmålning","3.0"
"bibehålla","1.0"
"lojalt","1.0"
"adnan","1.0"
"gäller?","3.0"
"annans","1.0"
"16-årig","1.0"
"överväga","7.0"
"tröskel","2.0"
"närområdet","5.0"
"myndigheters","1.0"
"personens","1.0"
"lövin","1.0"
"11,1","1.0"
"underlätta","23.0"
"beröra","4.0"
"berörd","5.0"
"blandat","1.0"
"företagarföreningar","1.0"
"blandar","1.0"
"blandas","1.0"
"vägslitageskatt","5.0"
"berört","1.0"
"berörs","7.0"
"kapaciteten","7.0"
"skattefinansierat","1.0"
"justering","1.0"
"misstror","2.0"
"klassrummen","1.0"
"oskyldiga","1.0"
"uppstår?","1.0"
"klassrummet","2.0"
"de:","2.0"
"nykterhetskontrollerna","1.0"
"signatur","1.0"
"urbanisering","2.0"
"handlingsrutinerna","1.0"
"ladan","8.0"
"studiebesök","3.0"
"skydd","11.0"
"ansträngt","1.0"
"järnvägssystem","1.0"
"monopolföretag","1.0"
"kolkraften","1.0"
"förborgade","1.0"
"ansträngd","3.0"
"myndigheter:","1.0"
"hypermoderna","1.0"
"bespottades","1.0"
"fördubbla","3.0"
"del","311.0"
"klimatpolitiska","2.0"
"rimmar","1.0"
"den","3227.0"
"dem","338.0"
"svidande","1.0"
"det","10923.0"
"underförstått","1.0"
"exemplar","1.0"
"klimatpolitiskt","5.0"
"fattigdom","4.0"
"stred","2.0"
"säkerställa","37.0"
"stipulerar","1.0"
"trafikpolisen","3.0"
"fördela","5.0"
"trafikpoliser","3.0"
"sjuk-","1.0"
"kämpande","1.0"
"marknadsförts","1.0"
"strukit","1.0"
"arbetsgivaravgift","5.0"
"mötesplatser","1.0"
"moderatledd","1.0"
"kvalitetsuppföljningar","1.0"
"stipulerad","1.0"
"försvarsindustrins","2.0"
"entreprenörskapskommittén","1.0"
"hindren","1.0"
"hindret","1.0"
"maktcentrum","1.0"
"vaccinationer","1.0"
"säkerställt","3.0"
"fallen?","1.0"
"domstolens","1.0"
"kort?","1.0"
"höljt","1.0"
"positionera","1.0"
"välbehövliga","2.0"
"delarna","4.0"
"exploatera","1.0"
"somrarna","1.0"
"tjusig","1.0"
"grundproblemet","1.0"
"(applåder)","2.0"
"verkställighet","2.0"
"självmotsägelse","1.0"
"sjuka","8.0"
"grubbla","1.0"
"arvet","1.0"
"handelssekreterare","1.0"
"underhåll","23.0"
"varorna","2.0"
"finansiärer","1.0"
"csn:s","1.0"
"sjukt","1.0"
"effekt;","1.0"
"korta","11.0"
"illustrera","2.0"
"business","2.0"
"energiöverenskommelse","2.0"
"åtagandet?","1.0"
"gruppens","1.0"
"effekt?","1.0"
"ärvde","5.0"
"etnisk","1.0"
"hälsning","1.0"
"nedkomst","1.0"
"förhandlingspersonens","1.0"
"kuhnke","1.0"
"tjock","1.0"
"publicera","1.0"
"hembiträden","3.0"
"utomordentliga","1.0"
"afghanistan","3.0"
"fattades","3.0"
"holmström","1.0"
"ertappats","1.0"
"osäkra","12.0"
"densamma?","1.0"
"dig","10.0"
"beklämd","3.0"
"krona-för-krona-finansiering","1.0"
"mellan","175.0"
"byggkranar","1.0"
"din","19.0"
"stockaryd","1.0"
"räntetak","1.0"
"oväsentlig","1.0"
"förlustaffär","2.0"
"dit","23.0"
"hölls","3.0"
"interpellationssammanhang","1.0"
"emot?","2.0"
"exemplen","3.0"
"utredningskostnaden","1.0"
"terrorister","1.0"
"företagande","49.0"
"åtstramningspolitik","3.0"
"beteskraven","2.0"
"vägrar","7.0"
"dygnet","3.0"
"exemplet","8.0"
"stram","3.0"
"fylls","2.0"
"fyllt","6.0"
"grundförutsättning","1.0"
"dygnen","1.0"
"sökte","1.0"
"vägran","1.0"
"strax","5.0"
"grävskoporna","2.0"
"omgivande","1.0"
"ifrågasättandet","1.0"
"miljömålsrådet","9.0"
"paneldebatt","1.0"
"samverkansmodell","1.0"
"förhandlingspersonen?","1.0"
"belåningen?","1.0"
"utländsk","7.0"
"spets","1.0"
"flygsträckor","1.0"
"innebär","135.0"
"kvarboendet","2.0"
"traditionell","1.0"
"utbildningspolitik","1.0"
"kurirerna","2.0"
"parti-","1.0"
"hindrar","6.0"
"hindras","2.0"
"ostlänken?","1.0"
"läsundervisning","1.0"
"underligt","3.0"
"stater","7.0"
"gregorianska","1.0"
"beräkningskonventionerna","1.0"
"jätteglad","1.0"
"bakbinds","1.0"
"lågpresterande","3.0"
"173 000","1.0"
"thomas","2.0"
"respektera","4.0"
"tjänstesektorn","3.0"
"stimulera","18.0"
"utlovades","1.0"
"doktor","2.0"
"släppte","2.0"
"översyn","11.0"
"fylld","2.0"
"folkrörelse","1.0"
"tillfredsställelse","2.0"
"konkurrenter","1.0"
"damberg","35.0"
"90-dagarsmålet","1.0"
"eriksson","2.0"
"världshandelsorganisationen","2.0"
"blåsa","1.0"
"privatkörande","1.0"
"underlagsrapporter","2.0"
"eu-länder","5.0"
"underlagsrapporten","2.0"
"superbra","1.0"
"partis","7.0"
"majoritet","36.0"
"fylla","11.0"
"renovering","1.0"
"alkoholpolitiska","2.0"
"värre:","1.0"
"biobränsleanvändning","1.0"
"framtidsministerns?","1.0"
"pekades","1.0"
"begärde","1.0"
"suzanne","6.0"
"landsbygdspolitiken","1.0"
"jättesvårt","1.0"
"vältalig","1.0"
"65-plussarna","1.0"
"vägprojekt","1.0"
"alkoholdebatten","1.0"
"riktade","5.0"
"maskiner","2.0"
"deltidsbrandmännen","2.0"
"ingångslöner","1.0"
"finska","5.0"
"maskineriet?","1.0"
"miljövänligt","3.0"
"osynlig","1.0"
"avhystes","1.0"
"aning","4.0"
"näringsministern","31.0"
"palme","5.0"
"snabbutredning","1.0"
"beräknades","1.0"
"spritskatter","2.0"
"pensionär","4.0"
"rasmus","8.0"
"berättade","12.0"
"landburna","1.0"
"jordbruksverket","3.0"
"åtgärdsplanen","2.0"
"klipp","1.0"
"status","5.0"
"90-dagarsgaranti","3.0"
"deflationsrisker","3.0"
"gärningsmannen","1.0"
"räknade","5.0"
"dom","5.0"
"vännerna","1.0"
"liknande?","2.0"
"brott","66.0"
"rapporterats","1.0"
"portugal","1.0"
"komprimerad","1.0"
"signalvärde","1.0"
"unionen","5.0"
"uppehåll?","1.0"
"bäckström","1.0"
"dörrarna","3.0"
"jämställdhetsministern","1.0"
"statlig","15.0"
"folkhälsoideal","1.0"
"samtyckeslagstiftning","1.0"
"vildstammar","1.0"
"värdegrundsladdade","1.0"
"kvalitetsmåtten","3.0"
"huvudsakligen","2.0"
"uppehålla","2.0"
"initiativrika","1.0"
"investeringen","1.0"
"emellan","3.0"
"deflationsrisken","1.0"
