"party","MP"
"documentCount","262"
"","16.0"
"grundskoleutredningens","1.0"
"heltäckande","2.0"
"don't","1.0"
"formulera","2.0"
"förbättringen","2.0"
"samstämmiga","2.0"
"beskattar","1.0"
"fredsprocess","2.0"
"sonera","7.0"
"nedläggningen","2.0"
"upptagare","1.0"
"utslaget","1.0"
"vallhundar","1.0"
"stötta","4.0"
"miljökonsekvensbeskrivningar","1.0"
"hala","1.0"
"vänsterpartistiska","1.0"
"journalistförbundet","2.0"
"supermiljöbilar","1.0"
"kosta","1.0"
"bostadsbristen","14.0"
"bidragstagande","1.0"
"studsade","1.0"
"stabil","2.0"
"byggkostnaderna","2.0"
"investment","1.0"
"logisk","1.0"
"marknadsanpassad","1.0"
"-","201.0"
"cdm","2.0"
"(mucf)","1.0"
"äldre","10.0"
"kemikaliearbete","1.0"
"arbeten","1.0"
"rådsbeslut","1.0"
"hyrde","1.0"
"1","25.0"
"2","11.0"
"3","6.0"
"biståndsmyndigheten","1.0"
"strandskyddet","27.0"
"4","5.0"
"5","5.0"
"arbetet","70.0"
"6","2.0"
"7","2.0"
"jämställdhetsrelaterade","1.0"
"djungel","1.0"
"förankrade","1.0"
"bekämpningsmedel","2.0"
"skattesystemet","2.0"
"samt","47.0"
"förstatligande","1.0"
"finansierad","5.0"
"glada","1.0"
"roll","26.0"
"nyheter","6.0"
"lärarresursernas","1.0"
"verkningsfulla","4.0"
"våtmarker","2.0"
"hann","4.0"
"sidled","1.0"
"hans","20.0"
"sfären","1.0"
"integrerad","1.0"
"opposition","1.0"
"flickans","1.0"
"delgrupper","1.0"
"valberedningar","1.0"
"kunskapsresultaten","2.0"
"grundades","1.0"
"regeringsuppdrag","2.0"
"sorters","1.0"
"definierat","1.0"
"hand","29.0"
"definierar","2.0"
"a","2.0"
"misslyckande","1.0"
"lades","1.0"
"återvända","1.0"
"remissvaren","5.0"
"exakta","1.0"
"i","2833.0"
"kommunnivå","1.0"
"hamn","1.0"
"1800-talet","1.0"
"o","1.0"
"the","2.0"
"r","1.0"
"motsäger","2.0"
"halv","4.0"
"finansierat","2.0"
"skäligt","1.0"
"stickmyggan","1.0"
"provoceras","1.0"
"jätteviktig","2.0"
"verkan","2.0"
"larmrapporterna","1.0"
"finansierar","1.0"
"datateknik","1.0"
"finansieras","5.0"
"verkar","11.0"
"kritik","7.0"
"information","11.0"
"utnyttjas","4.0"
"integreras","2.0"
"fördes","1.0"
"november","3.0"
"utvecklingsinsatser","1.0"
"rekreationsområdena","1.0"
"kärnkraftsägarna","2.0"
"brommas","2.0"
"tid","86.0"
"strukturförändring","1.0"
"uppgifter:","1.0"
"föreslagit","11.0"
"somalia","1.0"
"lågt","4.0"
"tik","2.0"
"otryggare","1.0"
"serious","1.0"
"tillsynsansvar","1.0"
"orientering","1.0"
"tio","7.0"
"hyran","3.0"
"riazat","16.0"
"tamdjursägare","1.0"
"sant","5.0"
"kapitalpåfyllnad","1.0"
"homofobi","4.0"
"världsbanken;","1.0"
"ledarskap","2.0"
"östasiatiska","1.0"
"rekryteringsprocesser","1.0"
"§","1.0"
"låga","7.0"
"huvud","6.0"
"bakåt","4.0"
"personaltäthet","1.0"
"engelska","1.0"
"militärer","1.0"
"fördelat","4.0"
"ctcn","1.0"
"specialister","1.0"
"miljöproblem","1.0"
"fördelar","2.0"
"arbetsförhållandena","1.0"
"fördelas","5.0"
"kemikalielagstiftningen","2.0"
"skurit","1.0"
"erosion","1.0"
"kunskaperna","2.0"
"skolutvecklingsinsatser","2.0"
"förvirrad","2.0"
"attraktiv","1.0"
"½","1.0"
"utsedda","1.0"
"skiljer","4.0"
"skogspromenad?","1.0"
"regnér","1.0"
"längden","1.0"
"garantera","14.0"
"vattenförvaltningsförordningen","1.0"
"freden","1.0"
"engagerad","3.0"
"miljömålsberedning","1.0"
"resandemöjligheter","1.0"
"nedlagt","1.0"
"huvudregel","1.0"
"förlängs","1.0"
"jämna","1.0"
"hälften","8.0"
"skolsystem","6.0"
"engagerat","1.0"
"klimatrelaterade","1.0"
"ungdoms-","2.0"
"drivmedel","7.0"
"å","4.0"
"engagerar","1.0"
"cancerogena","1.0"
"asien","1.0"
"världsbankens","2.0"
"energi","15.0"
"nyfiken","1.0"
"kollektivtrafik","24.0"
"verket","3.0"
"stickmyggen","1.0"
"samrådsprocessen","1.0"
"frågade","6.0"
"larmutryckningar","1.0"
"ursprung","1.0"
"rimligheten","1.0"
"verkliga","1.0"
"färdigställa","1.0"
"utvärdera","4.0"
"ordet","1.0"
"grunder","3.0"
"kommunalt","7.0"
"grunden","48.0"
"utslagna","2.0"
"jordbruket","1.0"
"funktionsförutsättningar","1.0"
"fördröjningar","1.0"
"skrida","1.0"
"reformen","8.0"
"orden","4.0"
"valtider","1.0"
"lärsituationens","1.0"
"kollektivtrafiksatsningen","1.0"
"reformer","11.0"
"energikällor","1.0"
"lärde","1.0"
"visionerna","1.0"
"diagnos","5.0"
"soneras","1.0"
"tyvärr","21.0"
"förlängd","1.0"
"straffskärpningar","3.0"
"stolthet","2.0"
"hillevi","18.0"
"reform","2.0"
"kommunala","7.0"
"fiskare?","1.0"
"vattenföretag","1.0"
"styrsystemen","2.0"
"grunddragen","1.0"
"förlänga","1.0"
"rimlig","4.0"
"statistiken","1.0"
"slutbetänkandet","1.0"
"avvakta","5.0"
"skolkommission","18.0"
"2,6","1.0"
"styrsystemet","1.0"
"2,9","3.0"
"kontra","2.0"
"women","1.0"
"räntenivåer","1.0"
"beviset","1.0"
"utredningarna","4.0"
"drägligare","2.0"
"specialutställningarna","1.0"
"byggbar","1.0"
"pojken","2.0"
"samhällslivet","1.0"
"bildar","1.0"
"lång","46.0"
"ekvationen","1.0"
"reella","3.0"
"låns","1.0"
"domstolarnas","2.0"
"mogna","1.0"
"straffavgift","2.0"
"tog","46.0"
"onsalaexemplet","1.0"
"avelslinjer","1.0"
"löpa","1.0"
"ton","6.0"
"politikområden","2.0"
"tom","1.0"
"naturmiljön","1.0"
"nederländerna","1.0"
"gott","17.0"
"låna","2.0"
"arbetstillfällen","2.0"
"skyddsgrunds-","1.0"
"uppstädning","1.0"
"flygkapacitet","3.0"
"flygplatser","32.0"
"slavarbetare","1.0"
"reellt","2.0"
"flygplatsen","2.0"
"beröringspunkt","1.0"
"framsynta","1.0"
"förhand","2.0"
"verkligt","1.0"
"lohman","4.0"
"vägledande","2.0"
"förhastad","1.0"
"konton","2.0"
"krister","1.0"
"vädjar","1.0"
"läras","1.0"
"framhåller","1.0"
"satt","13.0"
"tillskrivna","1.0"
"skrivningar","3.0"
"samarbetspartners","1.0"
"ordnat","1.0"
"producerade","1.0"
