"party","S"
"documentCount","1152"
"","74.0"
"beskattas","3.0"
"resemönster?","1.0"
"klarade","6.0"
"benägen","1.0"
"klättrar","1.0"
"upprättas","1.0"
"upprättat","1.0"
"uppklaringsandelen","3.0"
"förbättringen","1.0"
"beskattar","2.0"
"fredsprocess","1.0"
"beskattad","2.0"
"inkomstbortfallsprincip","2.0"
"exportfrågorna","1.0"
"fokusarealer","1.0"
"journalistförbundet","1.0"
"säkerhetsföreskrifter","1.0"
"kosta","7.0"
"bostadsbristen","1.0"
"&","1.0"
"skogsbruksfamilj","1.0"
"-","731.0"
"körskola","2.0"
"äldre","140.0"
"punkter:","1.0"
"1","81.0"
"sjukvårdslagstiftning","1.0"
"tunt","1.0"
"2","43.0"
"3","18.0"
"4","14.0"
"strandskyddet","3.0"
"5","18.0"
"attentatet","2.0"
"6","7.0"
"7","9.0"
"släckmedel","3.0"
"stortinget","1.0"
"8","13.0"
"9","1.0"
"förankrade","2.0"
"skattesystemet","32.0"
"upphandlingsdelarna","1.0"
"attentaten","1.0"
"nyheten","1.0"
"punktlighet","2.0"
"besparingsförslag","1.0"
"glada","10.0"
"roll","128.0"
"nyheter","4.0"
"döden","2.0"
"170-260","2.0"
"integrerad","1.0"
"trafikslag","10.0"
"kronoberg","1.0"
"valfriheten","15.0"
"kunskapsresultaten","1.0"
"förfrågningsunderlaget","2.0"
"bidragskultur","2.0"
"beslutsorgan","2.0"
"klarades","3.0"
"karriär","15.0"
"nybildade","1.0"
"anför","3.0"
"misslyckande","15.0"
"a","1.0"
"lades","9.0"
"b","11.0"
"handelsavtalen","8.0"
"remissvaren","5.0"
"fördel","8.0"
"g","2.0"
"exakta","5.0"
"i","9717.0"
"kommunnivå","1.0"
"huvudförsörjare","1.0"
"herrarna","2.0"
"sammanträffanden","1.0"
"m","1.0"
"handelsavtalet","3.0"
"170-250","2.0"
"o","1.0"
"r","8.0"
"hypotetisk","3.0"
"skattelättnad","3.0"
"s","1.0"
"taiwans","2.0"
"rennäring","2.0"
"jätteviktig","9.0"
"u","3.0"
"äldsta","2.0"
"v","1.0"
"gruppvåldtäktssituationer","1.0"
"x","1.0"
"information","80.0"
"utnyttjat","4.0"
"kärnvapenarsenaler","2.0"
"utnyttjar","11.0"
"integreras","5.0"
"fördes","5.0"
"häktningstid","1.0"
"avlägger","1.0"
"bussar","1.0"
"rekryteringar","2.0"
"brommas","5.0"
"trängselavgift","1.0"
"budgetarna","2.0"
"good","2.0"
"lågt","17.0"
"rikets","1.0"
"vårpropositionen","1.0"
"myriad","1.0"
"tillsynsansvar","1.0"
"resurs","19.0"
"replik","1.0"
"välfärdsinvesteringar","1.0"
"exportintäkter","2.0"
"fördelad","3.0"
"dementera","1.0"
"redigt","1.0"
"vidöppna","1.0"
"värnpliktsorganisationen","1.0"
"rekryteringsprocesser","1.0"
"låga","40.0"
"spotpriset","1.0"
"huvud","64.0"
"bosatta","4.0"
"personaltäthet","6.0"
"könsfördelning","3.0"
"engelska","1.0"
"byggprocessen","4.0"
"taiwan?","1.0"
"dödar","1.0"
"fördelat","24.0"
"mottagandet","4.0"
"fördelar","16.0"
"utbildningssektorn","3.0"
"arbetsförhållandena","1.0"
"fördelas","15.0"
"företagskundssegmentet","1.0"
"bolagsskatter","1.0"
"västbanken","3.0"
"förhandlingsbordet","2.0"
"kunskaperna","3.0"
"förvirrad","1.0"
"attraktiv","3.0"
"handelsgödselskatt","6.0"
"arbetskamrater","2.0"
"reparera","2.0"
"skiljer","20.0"
"bromma;","1.0"
"tuve","13.0"
"jämnt","1.0"
"seminarier","3.0"
"seminariet","1.0"
"regnér","3.0"
"längden","5.0"
"representation","1.0"
"estniskt","1.0"
"arbetsmarknadsministrarna","1.0"
"freden","4.0"
"engagerad","2.0"
"civilförsvaret","1.0"
"förlängs","1.0"
"jämna","2.0"
"kvinnan","14.0"
"hälften","25.0"
"oundvikligt","1.0"
"estniska","5.0"
"engagerat","1.0"
"à","2.0"
"å","18.0"
"annekteringen","1.0"
