"party","SD"
"documentCount","38"
"","2.0"
"mjölkkvoterna","1.0"
"8 miljarder","1.0"
"biologiska","1.0"
"viljan","1.0"
"vårda","1.0"
"formulera","1.0"
"älgkalv","1.0"
"myndighet","1.0"
"klargöra","1.0"
"varje","5.0"
"höra","1.0"
"betydelse","4.0"
"utsläpp","1.0"
"siffror","2.0"
"rättssäkert","1.0"
"stävjades","1.0"
"riskera","1.0"
"stötta","1.0"
"dagen","1.0"
"jobbar","2.0"
"fokusarealer","1.0"
"regelförenklingar","1.0"
"kosta","4.0"
"kallar","1.0"
"spannmålsgårdarna","1.0"
"dalarna","2.0"
"kallas","1.0"
"-","24.0"
"fungera","3.0"
"förhållanden","2.0"
"äldre","1.0"
"journalist","1.0"
"1","2.0"
"migrationsströmmar","1.0"
"2","1.0"
"3","3.0"
"dryg","1.0"
"4","1.0"
"strandskyddet","7.0"
"5","3.0"
"arbetet","2.0"
"koppling","3.0"
"förankrade","1.0"
"otvetydiga","1.0"
"bekämpningsmedel","1.0"
"varit","13.0"
"schacklarna","1.0"
"samt","1.0"
"motioner","1.0"
"skogsbruksnäringen","1.0"
"mjölken","2.0"
"regionen","1.0"
"roll","2.0"
"våtmarker","3.0"
"beredd","2.0"
"ersättningar","1.0"
"ansvar","2.0"
"villkor","2.0"
"hårt","3.0"
"hans","1.0"
"organisationen!","1.0"
"dessa","14.0"
"initiativ","1.0"
"förstärka","1.0"
"omprövas","1.0"
"procent","11.0"
"beslutsorgan","1.0"
"regeringsuppdrag","1.0"
"frihet","1.0"
"hård","2.0"
"hand","7.0"
"säkerhet","3.0"
"förorenaren","1.0"
"hört","3.0"
"veckor","1.0"
"ineffektiva","2.0"
"fördel","1.0"
"sett","6.0"
"i","371.0"
"västsvenska","3.0"
"hamn","2.0"
"lyhörd","1.0"
"på?","1.0"
"glädjande","3.0"
"halv","2.0"
"verkan","1.0"
"finansierar","1.0"
"finansieras","2.0"
"sågar","1.0"
"verkar","11.0"
"kritik","9.0"
"information","1.0"
"regioner","2.0"
"beslut","12.0"
"god","8.0"
"utnyttjas","1.0"
"utnyttjar","1.0"
"dublinförordningen","2.0"
"skyddszoner","3.0"
"agerande","2.0"
"finansen","1.0"
"november","1.0"
"lade","1.0"
"jobben","1.0"
"tid","5.0"
"ryssland","3.0"
"vidta","1.0"
"föreslagit","4.0"
"känner","4.0"
"blogg","3.0"
"'lära","1.0"
"ambition","3.0"
"givetvis","7.0"
"fredstida","1.0"
"frångått","1.0"
"drunknar","2.0"
"anser","24.0"
"regelförenkling","1.0"
"övergripande","1.0"
"lite","17.0"
"ekonomi","2.0"
"export","1.0"
"tamdjursägare","1.0"
"jordbrukets","2.0"
"par","4.0"
"berätta","2.0"
"utmärkta","1.0"
"emot","3.0"
"kombination","1.0"
"prövade","1.0"
"utföra","1.0"
"intrång","1.0"
"§","2.0"
"huvud","2.0"
"oroliga","1.0"
"pay","1.0"
"aktiva","1.0"
"proportionalitet","1.0"
"analyser","2.0"
"rubriken","1.0"
"beskedet","1.0"
"mottagandet","6.0"
"asylsökande","3.0"
"kvarnsten","1.0"
"leansystemet","3.0"
"skapat","1.0"
"väckarklocka","1.0"
"skapar","1.0"
"skapas","2.0"
"flyktingkonventionen","1.0"
"vänster","1.0"
"motstånd","1.0"
"kunskaperna","1.0"
"aktivt","1.0"
"älgkött","1.0"
"asylansökningar","1.0"
"handelsgödselskatt","1.0"
"it-system","1.0"
"anonyma","1.0"
"riksdagens","1.0"
"regional","3.0"
"kontakt","1.0"
"jordbrukspolitik","2.0"
"besöksnäring","2.0"
"bidrag","1.0"
"huvudsakliga","1.0"
"garantera","1.0"
"rysslands","1.0"
"intäkter","2.0"
"strålsäkerhetsmyndighetens","1.0"
"statsrådet","9.0"
"nedlagt","1.0"
"trovärdig","1.0"
"snaror","1.0"
"gotland","2.0"
"hälften","1.0"
"avseende","1.0"
"framkommit","1.0"
"intäkten","1.0"
"inhemska","1.0"
"gör","14.0"
"förutsättningarna","2.0"
"vattenkvaliteten","1.0"
"intresserad","1.0"
"sociala","2.0"
"energi","2.0"
"10 000-20 000","1.0"
"demokratur","1.0"
"kollektivtrafik","1.0"
"förbättringar","2.0"
"service","2.0"
"verket","4.0"
"församlingar","1.0"
"hund-","1.0"
"framförts","1.0"
"alltför","1.0"
"grunder","1.0"
"löften","1.0"
"köper","1.0"
"raderna","1.0"
"föreslagna","5.0"
"krisdrabbade","1.0"
"dagens","2.0"
"jordbruket","5.0"
"praktiken","1.0"
"miljöministerns","3.0"
"miljardbelopp","1.0"
"rättssäkerheten","1.0"
"kollisionskurs","1.0"
"per","8.0"
"vargstam","1.0"
"rättmätiga","1.0"
"ordföranden","1.0"
"period","1.0"
"marknad","3.0"
"vintertid","1.0"
"värmlands","1.0"
"löshundsjakt","1.0"
"oskarshamn","1.0"
"personligen","1.0"
"illegala","1.0"
"samrådsmöten","1.0"
"norge","1.0"
"hänsyn","4.0"
"texten","1.0"
"praxis","2.0"
"nämner","11.0"
"göteborg?","1.0"
"anar","1.0"
"aggressioner","1.0"
"bygder","1.0"
"rådgivning","1.0"
"pratar","2.0"
"förseelser","1.0"
"rimlig","1.0"
"bytt","1.0"
"pratat","1.0"
"agerandet","1.0"
"avvakta","2.0"
"friluftsliv","6.0"
"tyckande","1.0"
"upprepar","1.0"
"lång","2.0"
"grannarna","1.0"
"viltförvaltningsdelegationen","1.0"
"asylutredning","1.0"
"tog","4.0"
"rollspel","1.0"
"bestämma","3.0"
"representanter","1.0"
"politikområden","1.0"
"kommer","48.0"
"utredningsförslag","2.0"
"ökar","2.0"
"lahti","1.0"
"gott","4.0"
"bedriva?","1.0"
"ökat","1.0"
"övningar?","1.0"
"journalistik","1.0"
"lantbruksministern","4.0"
"ledtider","1.0"
"miljöministern:","1.0"
"fritidssysslor","1.0"
"sändlista","1.0"
"trots","11.0"
"faktiskt","5.0"
"ökad","4.0"
"återkrav","1.0"
"partipolitisk","1.0"
"vattnet","3.0"
"undersökta","1.0"
"nämnde","3.0"
"stämmer","1.0"
"minsta","2.0"
"vädjan","3.0"
"län","1.0"
"satt","2.0"
"göteborgs","4.0"
"skrivningar","1.0"
"åkerbönor","2.0"
"grödor","1.0"
"mjölkbonde","1.0"
"motbevisa","1.0"
"djur","1.0"
"tillståndsprövningen","1.0"
"jägarkårens","1.0"
"lag","1.0"
"tortyr","2.0"
"påverkas","2.0"
"påverkar","3.0"
"lyser","1.0"
"hänger","1.0"
"låt","3.0"
"förenkling","1.0"
"jämte","1.0"
"landsbygdsbefolkningens","1.0"
"påverkan","3.0"
"grundat","1.0"
"grundar","1.0"
"skryter","2.0"
"tre","4.0"
"välmåga","1.0"
"arbetar","4.0"
"antingen","1.0"
"centrum?","1.0"
"representativt","1.0"
"tro","4.0"
"hundarna","1.0"
"socialdemokrater","1.0"
"200","2.0"
"uttalade","1.0"
"ekonomin","1.0"
"regleringsdammarna","1.0"
"nej-beslut","1.0"
"trygghet","3.0"
"natomedlemskap","1.0"
"skellefteå","1.0"
"värderingar","1.0"
"tendenser","1.0"
"massa","1.0"
"offentliga","1.0"
"urval","1.0"
"förhålla","1.0"
"argumentationen","1.0"
"arpi","4.0"
"bakgrunden","1.0"
"internationella","2.0"
"21 procent","1.0"
"övergödd","1.0"
"domstol","1.0"
"oklart","1.0"
"havsområden","1.0"
"leva","4.0"
"extra","1.0"
"bedömningarna","1.0"
"områden","8.0"
"leder","3.0"
"land","3.0"
"möjligt","1.0"
"1,2-1,3","4.0"
"löst","1.0"
"200 000-500 000","1.0"
"förändrats","1.0"
"odlas","1.0"
"våren","2.0"
"snön","1.0"
"ange","1.0"
"området","1.0"
"närma","1.0"
"skyldig","2.0"
"inget","3.0"
"luften","1.0"
"lösa","1.0"
"nämligen","4.0"
"släpptes","1.0"
"ingen","7.0"
"tredje","1.0"
"totalt","1.0"
"året","2.0"
"fördjupad","1.0"
"tvingas","2.0"
"nästan","7.0"
"åren","4.0"
"diskussionerna","1.0"
"genereras","1.0"
"pratade","1.0"
"betjänt","1.0"
"aktuellt","1.0"
"bevisa","1.0"
"ytor","1.0"
"genererar","1.0"
"redan","6.0"
"kritiserade","2.0"
"bedriver","3.0"
"landet","9.0"
"gången","3.0"
"verksamheten","3.0"
"managementsystemet","1.0"
"amerikansk","1.0"
"innerligt","1.0"
"framskjuten","1.0"
"jorden","1.0"
"återfanns","1.0"
"gånger","4.0"
"förstärkningar","1.0"
"kvalitet","6.0"
"aktuella","3.0"
"landsbygd","2.0"
"dock","4.0"
"aviseras","1.0"
"press","2.0"
"aviserat","2.0"
"betyder","3.0"
"uppmärksamma","1.0"
"internationellt","1.0"
"hette","1.0"
"återgå","1.0"
"kommuner","3.0"
"nödvändigt","1.0"
"lyfter","6.0"
"avloppen","1.0"
"spåras","1.0"
"kommunen","1.0"
"ärenden","2.0"
"ivar","5.0"
"hållning","1.0"
"rådet","2.0"
"vuxit","1.0"
"input","2.0"
"femtedel","1.0"
"beröva","1.0"
"rekreation","1.0"
"svenskar","1.0"
"nödvändiga","1.0"
"lupiner","1.0"
"lantbruksdjur","1.0"
"ibland","1.0"
"nyligen","3.0"
"6 500-7 000","1.0"
"införstådda","1.0"
"stanna","1.0"
"höstsått","1.0"
"angett","1.0"
"anläggning","1.0"
"närings-","1.0"
"konsekvenser","2.0"
"tillsyn","2.0"
"förslaget","2.0"
"situation","1.0"
"bära","1.0"
"spänner","1.0"
"givet","1.0"
"eu-stöd","1.0"
"besvikelse","1.0"
"varandra","1.0"
"miljarder","12.0"
"flyr","1.0"
"fn:s","2.0"
"fyra","5.0"
"ensidig","1.0"
"syftet","3.0"
"utrymme","1.0"
"fattat","1.0"
"här","44.0"
"fattar","1.0"
"årtiondena","1.0"
"därmed","2.0"
"senaste","2.0"
"uttryckt","1.0"
"treårsperiod","2.0"
"diskussionen","2.0"
"östersjön","1.0"
"lämnar","1.0"
"principle","1.0"
"till","148.0"
"lyckas","1.0"
"förutsättningar","4.0"
"överfallet","1.0"
"lämnat","2.0"
"matproduktion","1.0"
"typ","1.0"
"lyckats","2.0"
"nämns","2.0"
"sam-ansökningar","1.0"
"minska","5.0"
"bedrivit","2.0"
"torde","1.0"
"komplexitet","1.0"
"oansvariga","1.0"
"landshövdingarna","1.0"
"återkommande","1.0"
"jämfört","1.0"
"säkerhetspolitik","1.0"
"han","17.0"
"placerade","1.0"
"har","196.0"
"vore","2.0"
"hav","1.0"
"nämna","3.0"
"fokusarealerna","1.0"
"kraftverken","2.0"
"budget","4.0"
"släpper","1.0"
"utvidgade","1.0"
"regering","1.0"
"två","5.0"
"frågestund","1.0"
"irrelevanta","1.0"
"upplevts","1.0"
"intressanta","1.0"
"fördelaktigt","1.0"
"solidariska","1.0"
"mångfald","1.0"
"menar","1.0"
"stått","1.0"
"samverkansformer","1.0"
"merit","1.0"
"tolkar","1.0"
"integrera","1.0"
"mötas","1.0"
"tolkas","1.0"
"polluters","1.0"
"alltså","13.0"
"ofta","4.0"
"överklagandeinstans","1.0"
"icke-existerande","1.0"
"orimlig","1.0"
"nedrustat","1.0"
"entreprenörskap","1.0"
"oansvarigt","1.0"
"vatten","6.0"
"ylat","1.0"
"full","2.0"
"annorlunda","1.0"
"chans","1.0"
"ramdirektivets","1.0"
"ligga","4.0"
"enda","2.0"
"odlingsföreskrifter","1.0"
"alstras","1.0"
"kommit","2.0"
"råden","1.0"
"tills","1.0"
"oss'","1.0"
"älgjägarna","1.0"
"råder","3.0"
"skriver","4.0"
"stark","1.0"
"journalisten","1.0"
"spannmål","1.0"
"avdragen","1.0"
"många","32.0"
"beräknas","1.0"
"s. 218","1.0"
"veckan","2.0"
"precis","4.0"
"förutom","2.0"
"fungerar","6.0"
"fungerat","2.0"
"folket","2.0"
"sverigedemokraterna","7.0"
"30-50","1.0"
"tillämpas","2.0"
"tillämpat","1.0"
"återigen","4.0"
"starta","1.0"
"fallen","2.0"
"miljontals","3.0"
"värdelöst","1.0"
"kvaliteten","1.0"
"kost","1.0"
"lrf-ordförande","1.0"
"oroande","1.0"
"fallet","5.0"
"djurskyddskrav","2.0"
"befolkningen","2.0"
"faller","1.0"
"daniels","1.0"
"ansökningar","3.0"
"kulturhistoria","1.0"
"veklighet","1.0"
"hel","2.0"
"hem","2.0"
"kraftigt","1.0"
"prata","2.0"
"tvärvillkoren","8.0"
"svårare","3.0"
"motarbeta","1.0"
"annat:","1.0"
"statsråds","1.0"
"annars","2.0"
"frågorna","3.0"
"citera","4.0"
"nedrustade","1.0"
"tydlighet","1.0"
"liknande","1.0"
"livsmedelsstrategier","1.0"
"bidrar","6.0"
"tillfrisknande","1.0"
"sprider","1.0"
"intentioner?","1.0"
"grovt","1.0"
"friluftsorganisationer","1.0"
"januari","1.0"
"parterna","1.0"
"korrekt","3.0"
"bönder","7.0"
"principer","1.0"
"svensk","11.0"
"principen","1.0"
"framkommer","1.0"
"utveckling","5.0"
"orimliga","1.0"
"fusk","1.0"
"kraftproduktionen","1.0"
"karta","1.0"
"vansinnigt","1.0"
"klara","3.0"
"införs","1.0"
"medlemmar","1.0"
"godkänns","1.0"
"kräver","3.0"
"landsbygdsbudget","1.0"
"sammanhanget","4.0"
"naturgödsel","1.0"
"diskussion","3.0"
"hjälpen","1.0"
"regeringens","11.0"
"150 000","2.0"
"uppgifter","1.0"
"stärkas","1.0"
"där","24.0"
"vallodling","1.0"
"motpartens","1.0"
"acceptabel","1.0"
"klart","1.0"
"möjligheten","2.0"
"beroende","3.0"
"anta","1.0"
"verksamhetskrav","1.0"
"bakom","2.0"
"kommun","5.0"
"sjöar","1.0"
"möjligheter","2.0"
"stockholms","1.0"
"hänvisning","1.0"
"namnet","1.0"
"formulerar","1.0"
"ministerns","4.0"
"styrning","4.0"
"skälen","2.0"
"titt","1.0"
"skälet","1.0"
"tryggt","1.0"
"poliska","1.0"
"dag","25.0"
"koncentrerad","1.0"
"likhet","1.0"
"paritet","1.0"
"viltförvaltningsdelegationerna","1.0"
"skjuter","1.0"
"motivera","1.0"
"belastade","2.0"
"praktisk","6.0"
"tillstånd","4.0"
"tandlösa","1.0"
"sammanhang","1.0"
"fantastisk","1.0"
"gjordes","1.0"
"visserligen","3.0"
"ambitionshöjningar","1.0"
"tänka","1.0"
"sektor","1.0"
"punkterna","1.0"
"tack","3.0"
"liten","3.0"
"vattenverksamheter","1.0"
"snarare","13.0"
"straffskatteförslag","1.0"
"enig","1.0"
"formar","1.0"
"påpekar","2.0"
"närområden","1.0"
"närområdet","4.0"
"utnyttja","1.0"
"lämna","1.0"
"tomrum","1.0"
"åtgärdsprogram","2.0"
"medarbetaren","3.0"
"medvetet","1.0"
"chansen","2.0"
"såsom","1.0"
"signaler","2.0"
"saken","2.0"
"exempelvis","7.0"
"saker","4.0"
"medveten","2.0"
"sätta","1.0"
"hänvisat","1.0"
"missförhållandena","1.0"
"länder","4.0"
"eventuellt","1.0"
"bild","3.0"
"höstas","2.0"
"röster","1.0"
"synnerligen","2.0"
"presenterat","1.0"
"begått","1.0"
"bemötande","1.0"
"presenterar","1.0"
"mikael","1.0"
"lantbruk","3.0"
"hekto","1.0"
"resurskrävande","1.0"
"gödselskatten","2.0"
"process","1.0"
"skydd","2.0"
"riskerar","4.0"
"stödsystemet","1.0"
"marginellt?","1.0"
"suttit","1.0"
"koncentration","1.0"
"tiden","2.0"
"odlingen","1.0"
"vidare","3.0"
"komplext","1.0"
"fokuseringen","2.0"
"omfattning","1.0"
"enhetlig","1.0"
"rättsstat","1.0"
"kostnad","3.0"
"dlo-folk","1.0"
"förkastar","1.0"
"del","16.0"
"den","123.0"
"dem","5.0"
"insikter","1.0"
"består","2.0"
"det","508.0"
"miljöarbete","1.0"
"orsakar","1.0"
"länken","1.0"
"noterar","3.0"
"skicka","2.0"
"underhålls-","1.0"
"säkerställa","2.0"
"ståhl","2.0"
"pass","1.0"
"inför","1.0"
"skatter","6.0"
"otrolig","1.0"
"produktion","10.0"
"intervjustudien","1.0"
"strukit","1.0"
"välkommet","1.0"
"säkerställs","1.0"
"förlängningen","1.0"
"provtagning","2.0"
"viltförvaltningsdelegation","1.0"
"delprocess","1.0"
"sverige","33.0"
"småföretagandet","1.0"
"storlek","1.0"
"pålagor","1.0"
"allvarligaste","1.0"
"backaundantaget","1.0"
"organ","3.0"
"fick","7.0"
"annan","4.0"
"bakvänt","1.0"
"hon","9.0"
"moderaternas","1.0"
"delarna","1.0"
"krångliga","1.0"
"345 000","1.0"
"nödvändig","1.0"
"analysarbete","2.0"
"15-20","1.0"
"olyckligt","2.0"
"resultatet","2.0"
"jättesatsning","1.0"
"skär","2.0"
"punkt","3.0"
"delvis","1.0"
"tidigare","9.0"
"skäl","6.0"
"spara","1.0"
"underhåll","1.0"
"annat","9.0"
"säger","13.0"
"generationsväxlingen","1.0"
"implementering","1.0"
"uppmärksammade","2.0"
"också","44.0"
"flyktinglägren","2.0"
"känna","2.0"
"åsikten","1.0"
"kallade","6.0"
"sträva","1.0"
"skrala","1.0"
"avgörande","1.0"
"värde","1.0"
"kommentera","2.0"
