"party","V"
"documentCount","186"
"","9.0"
"klarade","3.0"
"heltäckande","2.0"
"visningar","1.0"
"sjukersättning","6.0"
"järnvägsfrämjandet","1.0"
"övningar","8.0"
"köpare","1.0"
"tel","2.0"
"partivänner","2.0"
"ter","2.0"
"betalade","3.0"
"säkerhetsföreskrifter","1.0"
"anställningsskyddet","5.0"
"kosta","6.0"
"bostadsbristen","4.0"
"investment","1.0"
"logisk","1.0"
"skatteverket","8.0"
"-","175.0"
"äldre","10.0"
"arbeten","4.0"
"hyrde","1.0"
"västmanland","2.0"
"1","10.0"
"2","1.0"
"tiodubblats","1.0"
"3","4.0"
"4","3.0"
"5","3.0"
"arbetet","16.0"
"6","4.0"
"stortinget","1.0"
"7","1.0"
"8","3.0"
"samt","8.0"
"förstatligande","2.0"
"nyheten","1.0"
"finansierad","1.0"
"lögn","1.0"
"glada","2.0"
"roll","28.0"
"nyheter","2.0"
"hann","2.0"
"italiensk","1.0"
"hans","8.0"
"katastrofalt","1.0"
"skype","1.0"
"definieras","1.0"
"hand","21.0"
"definierar","3.0"
"jordens","2.0"
"a","2.0"
"misslyckande","1.0"
"lades","7.0"
"c","2.0"
"återvända","4.0"
"handelsavtalen","2.0"
"yrkesspecialisering","1.0"
"exakta","1.0"
"i","1806.0"
"hamn","2.0"
"på?","2.0"
"1800-talet","1.0"
"utnyttjad","1.0"
"sönderslagna","1.0"
"handelsavtalet","1.0"
"o","1.0"
"the","5.0"
"halv","2.0"
"jätteviktig","5.0"
"verkan","1.0"
"asylprocessen","1.0"
"äldsta","9.0"
"finansieras","1.0"
"verkar","11.0"
"information","9.0"
"kritik","6.0"
"<em>om</em>","1.0"
"utnyttjas","4.0"
"utnyttjar","1.0"
"integreras","1.0"
"fördes","2.0"
"häktningstid","1.0"
"kristdemokraternas","1.0"
"november","2.0"
"tid","34.0"
"somalia","5.0"
"lågt","3.0"
"tio","14.0"
"resurs","1.0"
"hyran","4.0"
"professorer","6.0"
"identifierats","1.0"
"sant","6.0"
"utmärkta","2.0"
"ledarskap","1.0"
"medlemskap","2.0"
"låga","4.0"
"huvud","11.0"
"30-procentig","1.0"
"militären","1.0"
"könsfördelning","1.0"
"militärer","1.0"
"ytan","2.0"
"grekland","2.0"
"magert","1.0"
"fördelar","3.0"
"fördelas","2.0"
"dödas","2.0"
"skurit","1.0"
"västbanken","2.0"
"reparera","1.0"
"anonyma","4.0"
"skiljer","6.0"
"begriper","1.0"
"onsdagen","1.0"
"gärning","1.0"
"praktiskt","1.0"
"seminarier","3.0"
"seminariet","1.0"
"regnér","9.0"
"längden","1.0"
"egendom","2.0"
"representation","3.0"
"garantera","1.0"
"engagerad","1.0"
"freden","2.0"
"kvinnan","1.0"
"häktades","1.0"
"hälften","8.0"
"ungdoms-","1.0"
"kolkraftverk","6.0"
"samstämmigt","1.0"
"rekommenderade","1.0"
"å","6.0"
"frihandelsavtal","6.0"
"livslängd","1.0"
"skiljde","1.0"
"energi","10.0"
"nyfiken","1.0"
"bostadsrättsorganisationen","1.0"
"kollektivtrafik","3.0"
"har?","1.0"
"landstingen","2.0"
"cancer","1.0"
"frågade","5.0"
"ursprung","2.0"
"sekreterare","1.0"
"rebellerna","3.0"
"ordet","2.0"
"utvärdera","4.0"
"diarieför","1.0"
"grunder","5.0"
"kommunalt","1.0"
"grunden","9.0"
"jordbruket","1.0"
"kakabaveh","2.0"
"chaufförerna","1.0"
"uppkomma","1.0"
"7 000","1.0"
"ardalan","1.0"
"marockanska","1.0"
"reformen","1.0"
"förenades","1.0"
"reformer","2.0"
"energikällor","1.0"
"ageranden","1.0"
"diagnos","1.0"
"tyvärr","39.0"
"pensionsgruppens","1.0"
"straffskärpningar","2.0"
"stolthet","2.0"
"norge","4.0"
"hillevi","6.0"
"kommunala","9.0"
"avrättade","1.0"
"ledarskribent","1.0"
"förlänga","1.0"
"betalning","1.0"
"rimlig","6.0"
"statistiken","2.0"
"varsel","4.0"
"eftertankens","1.0"
"homosexuella","1.0"
"agerandet","1.0"
"avvakta","1.0"
"avvisade","2.0"
"kontra","1.0"
"ordnas","1.0"
"beviset","1.0"
"fenomen","3.0"
"ordnar","1.0"
"utredningarna","2.0"
"fattig","1.0"
"bildar","2.0"
"lång","25.0"
"bevisen","2.0"
"protection","1.0"
"tog","21.0"
"ordnad","1.0"
"promenad","2.0"
"ton","1.0"
"politikområden","1.0"
"nederländerna","5.0"
"låna","5.0"
"gott","6.0"
"arbetstillfällen","6.0"
"övningar?","1.0"
"kaplan","2.0"
"rota","1.0"
"missbrukspolitik","5.0"
"nöjda","1.0"
"reellt","1.0"
"oändlighet","1.0"
"spanska","2.0"
"avreglerade","1.0"
"kontor","2.0"
"verkligt","2.0"
"kritan","1.0"
"vädjar","1.0"
"antiklimax","2.0"
"luckan","2.0"
"lavinartat","1.0"
"satt","11.0"
"jämnats","1.0"
"välmående","1.0"
"redogörelsen","1.0"
"malmberget","1.0"
"privatägda","2.0"
"flicka","1.0"
"händelse","1.0"
"tvångsutvisning","1.0"
"lidande","4.0"
"fixering","1.0"
"relaterad","1.0"
"miljödelegation","1.0"
"hänger","8.0"
"sammantaget","1.0"
"tiders","1.0"
"grundar","1.0"
"pinsamt","3.0"
