"Magdalena Andersson","Svar på interpellationer Herr talman! Per Åsling har frågat justitie- och migrationsministern vad som har hänt med initiativet att utreda alkoholsmugglingen.  Arbetet inom regeringen är så fördelat att det är jag som ska svara på interpellationen. Per Åslings fråga är ställd mot bakgrund av en uppgift i nättidningen Webfinanser den 28 augusti förra året om att den rödgröna oppositionen var överens om att efter valet utreda alkoholsmugglingens omfattning och konsekvenser. Låt mig först säga att regeringen ser allvarligt på illegal införsel av alkohol. Det framgår tydligt av de styrsignaler regeringen lämnat bland annat i Tullverkets regleringsbrev. Där anges att myndigheten ska ge hög prioritet åt att bekämpa storskalig eller frekvent illegal införsel av alkohol, och därigenom begränsa den organiserade och storskaliga brottsligheten, samt bidra till att minska antalet kriminella nätverk som ägnar sig åt bland annat alkoholsmuggling. På detta sätt bidrar Tullverket till att minska tillgången på illegalt införd alkohol i Sverige. Vad gäller frågan om en utredning av alkoholsmugglingens omfattning och konsekvenser vill jag lyfta fram att Tullverket ska redovisa beslagsstatistik och en bedömning av hur verket har bidragit till att minska tillgången på illegalt införd alkohol. Jag vill också upplysa om att arbete bedrivs inom ramen för den samlade strategin för alkohol-, narkotika-, dopnings- och tobakspolitiken (ANDT-strategin). Ett av de prioriterade målen i åtgärdsprogrammen är en effektiv brottsbekämpning av illegal handel. Analyser av utvecklingen när det gäller införsel och illegal handel är en viktig del i det arbetet.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Sammanfattningsvis bedrivs ett arbete med att utreda alkoholsmugglingens omfattning och konsekvenser. Just nu ser jag inte någon anledning att ta några ytterligare initiativ, men jag kommer att följa frågan noga.  ","S"
"Per Åsling","Herr talman! Låt mig börja med att tacka finansminister Magdalena Andersson för svaret. Som ministern sa har jag hänvisat till ett uttalande av Morgan Johansson i en webbtidning i höstas, den 28 augusti. Jag måste säga att jag blev glad när Morgan Johansson så tydligt deklarerade avsikten att, om det blev regeringsskifte, tillsätta en utredning. Morgan Johansson hänvisade till sina egna erfarenheter, och man kunde lätt tolka det som att Morgan Johansson, nuvarande justitieministern, med kraft och skyndsamt skulle ta tag i frågan. Han konstaterade att det är en ohållbar situation som vi befinner oss i. Det är av den anledningen, herr talman, som vi från Centerpartiets sida länge har jobbat för att lyfta fram den oorganiserade införseln och vidareförsäljningen av alkoholdrycker som ett allvarligt samhällsproblem som kräver insatser på flera nivåer. Vi har sagt att ett första steg är en noggrann kartläggning av den illegala handelns omfattning och karaktär. Jag tycker att det är värdefullt att ministern deklarerar att regeringen ser väldigt allvarligt på illegal införsel av alkohol. Det är också värdefullt att Tullverket har fått tydliga signaler i regleringsbrevet om att myndigheten med hög prioritet ska bekämpa storskalig eller frekvent illegal införsel av alkohol för att på så sätt begränsa den. Ministern hänvisar också till att Tullverket ska redovisa beslagsstatistik och en bedömning av hur man bidragit till att minska möjligheten till illegal införsel av alkohol. Likaså hänvisas till den strategi som finns när det gäller alkohol-, narkotika-, dopnings- och tobakspolitiken, den så kallade ANDT-strategin. Vad den gäller är i första hand folkhälsoperspektivet. Min utgångspunkt, som jag tror att också Morgan Johansson hade som uppfattning när han gjorde sin deklaration, är att det ska göras en samlad och bredare översyn av denna illegala införsel. Statskontoret gör nu en översyn av ANDT-strategin. Men översynen går inte in på att vidga begreppet, utan den är inriktad på att analysera för det första i vilken utsträckning de statliga insatserna bidrar till att uppnå strategin och för det andra om utformningen av ANDT-strategin och politiken är ändamålsenlig för att uppnå strategins mål. Man ska också utreda om det finns behov av att föreslå förändringar. Min fråga kvarstår. Det som det hänvisas till är värdefullt, men det nödvändiga och mer övergripande anslagsbehovet, att ta ett ordentligt grepp och göra en ordentlig översyn, kvarstår. Varför gör inte regeringen någonting, Magdalena Andersson? ","C"
"Finn Bengtsson","Herr talman! Jag tackar Per Åsling för en mycket viktig interpellation och tackar finansministern för svaret. Detta med organiserad brottslighet är ett intressant kapitel. Organiserad brottslighet har en tendens att söka sig dit där man kan tjäna mycket pengar och har samtidigt ett lågt straffvärde.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Anledningen till att det har växt fram en storskalig och organiserad verksamhet av spritsmuggling till Sverige är att regelverket är i behov av en översyn. Innan dess är det naturligtvis viktigt, som regeringen har sagt, att ha en utredning om problemets storlek. Jag och min riksdagskollega Andreas Norlén tog ett initiativ eftersom man i Östergötland var väldigt framsynta från både polis- och åklagarmyndighet för att i ett projekt som heter Bus Stop försöka stoppa dessa stora illegala transporter som företrädesvis skedde med buss från utlandet. Det ledde fram till att vi i en allmän förslagsframställan till dåvarande justitieminister Beatrice Ask hade ett 22-punktsprogram för hur man skulle kunna attackera den organiserade brottsligheten. På ett antal av punkterna var det ett visst fokus på just den illegala alkoholsmugglingen.  Glädjande nog var justitieminister Beatrice Ask väldigt snabbfotad och tog genast till sig ett av våra förslag, nämligen att ge Tullverket möjlighet att väga bussar som hade en övervikt. Man kunde då redan vid gränsen attackera problemet i stället för att försöka beslå dem längre in i landet, när väl smugglingen var mycket närmare försäljning och brukare eller konsumenter. Jag tycker att frågeställningen, som Per Åsling skärpte i sin nya önskan om att få ett svar av ministern, är intressant. Jag skulle också vilja fråga finansministern något om hur hon ser på vad storskalig och frekvent illegal införsel av alkohol avser. Finns det från regeringen någon ingång i den här diskussionen redan nu? Hur mycket är det vi talar om? Ett problem som åklagarsidan har belyst är nämligen att domstolspraxis i Sverige har utvecklats så att det är lätt att få det att glida i väg när det gäller vilken volym som anses vara acceptabel för egen konsumtion. En annan fråga som inställer sig, som har mer med finansministerns ansvar att göra, är detta när Sverige höjer sina spritskatter och andra närliggande länder sänker sina spritskatter. Tycker finansministern att det kan finnas ett problem i att ta in resurser till statskassan på det sättet om det underlättar för grovt organiserade brottslingar att öka sin alkoholsmuggling, emedan marginalen för vinst naturligtvis ökar? Detta är ett stort problem för de ofta yngre brukarna, det vill säga ungdomar, som kommer i kontakt med olovlig sprit. Det är även ett riskmoment för folkhälsan på sikt. Det är positivt att finansministern tar upp frågan på det sätt hon gör i sitt svar och att man är beredd att komma vidare, men jag skulle också gärna vilja ha svar på de två frågor jag ställde. Samtidigt är det viktigt att finansministern tar del av det 22-punktsprogram för organiserad brottslighet som vi lämnade vidare till nuvarande justitieminister Morgan Johansson så att man över de stuprör som tyvärr ibland finns inom Regeringskansliet kan försöka lösa både det som är finansministerns ansvar för lagstiftning, där mycket handlar om alkoholskatt, och det som är justitieministerns ansvar att få på plats för att tillsammans effektivt kunna bekämpa den illegala spritsmugglingen. ","M"
"Hillevi Larsson","Herr talman! Detta problem är inte så lätt att komma åt eftersom man fullt lagligt får föra in stora volymer inom EU. EU har ett gemensamt regelverk som tillåter införsel av, tror jag, 110 liter öl och 90 liter vin. Det ligger i den storleksklassen. Dessutom kan det göras undantag om man ska ha en stor fest, till exempel ett bröllop. Det är vanligt att man hänvisar till just bröllop när man vill ta in mycket alkohol.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer I ett exempel där tullen lyckades sätta fast den som tog in stora volymer sa mannen att han skulle gifta sig, men när tullen pratade med hans tilltänkta svarade hon att hon inte hade hört något om det. På det sättet kunde man komma åt det, men annars är det svårt. Det har till och med varit lättare att komma åt det genom att slå fast att det inte är trafiksäkert att köra med så tung last snarare än att det är mycket alkohol. Däcken klarar inte tyngden. Det visar att det finns ett problem. På EU-nivå driver den socialdemokratiska gruppen och även andra partigrupper att införselreglerna måste ändras och att gränsen för tillåten mängd borde sänkas. Det blir svårt att komma åt den illegala smugglingen när det är legalt att ta in så stora volymer. Att köra från Sverige till Danmark eller Tyskland fram och tillbaka är inte en jättelång resa. Man kan kosta på sig många sådana resor och få in ännu mer alkohol. Frågan måste angripas utifrån vad vi med nuvarande regelverk kan göra för att få fast dem som smugglar, men vi måste också ändra regelverket på EU-nivå och driva på i den riktningen för att komma åt problemet. Pris och beskattning spelar såklart roll. Vi kommer dock alltid att ha kedjan att norrmännen handlar hos oss för att det är dyrare i Norge, vi handlar hos danskarna för att det är billigare än här och danskarna handlar i Tyskland för att det är billigare i Tyskland. Att reglera priset är därför ingen huvudväg. Det kommer alltid att vara någon som har lägre pris och beskattning. Men visst spelar det roll, så vi kan inte bortse från det helt. Huvudspåret är nog ändå att komma åt det på EU-nivå genom införseln och se till att tullen har resurser så att man kan ta de fall som är uppenbara övertramp. Ministern har redovisat det arbete som pågår. Men jag tror att det är svårt att hitta en lösning på problemet om man inte kommer åt införselreglerna, för då kommer det att fortsätta i stor skala. Man anpassar sig efter regelverket så att vi ändå inte kan sätta dit dem, vilket ju är målet. Jag tror att det är lite lättare att komma åt det i andra ledet. Första ledet är införseln, och andra ledet är försäljningsledet. Det är förbjudet att sälja vidare, till exempel till ungdomar. Det är ett stort problem att ungdomar när som helst på dygnet kan få tag på alkohol. Då urholkas Systembolagets monopol, som vi behöver värna för folkhälsans skull. Det är inte bra att ungdomar via langare kan få tag i sprit hur lätt som helst. Det kan röra sig om riktigt unga personer och stora mängder. Över huvud taget är det inte bra att folk fyller sina källare med sprit. Risken är att de dricker betydligt mycket mer än de annars hade gjort. Vi ska nog komma åt detta på många olika sätt, men vi får inte glömma EU-perspektivet. ","S"
"Magdalena Andersson","Herr talman! Jag tackar för engagemanget i dessa viktiga frågor. Det finns två aspekter på det, precis som ni har tagit upp. Det ena är folkhälsoperspektivet, inte minst faran med att ungdomar kan få tag på billig alkohol. Därför är det viktigt att komma åt smugglingen. Det andra är att begränsa och komma åt den ekonomiska brottsligheten. Smuggling av alkohol är ju en del av den organiserade brottsligheten. Det är viktigt att olika krafter i samhället agerar samfällt mot detta.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Som flera har pekat på måste det utvecklas nya metoder för att arbeta mot smuggling. Precis som Finn Bengtsson påpekade är initiativet Bus Stop ett nytt sätt att arbeta där både Tullverket och polisen samverkar. Det är ett utmärkt exempel på ett positivt initiativ från politiskt håll som visar hur viktigt det är att myndigheter samverkar. Vidare har Tullverket nyligen fått ökade befogenheter att göra punktskattekontroller på de lager där varor omlastas under transporter. Man fick denna befogenhet 2013 och gjorde då 129 sådana kontroller. Det är också ett sätt att från politikens sida uppmuntra myndigheter att utveckla och använda nya metoder. Det tror jag att vi kommer att behöva göra kontinuerligt, för i takt med att politiken utvecklar nya metoder kommer smugglingen att ta nya vägar. Då handlar det om att fortsätta att utveckla metoderna. Det är också viktigt att myndigheter samverkar på olika sätt för att komma till rätta med detta. Det handlar om tullen, polisen och Skatteverket. Det kan också handla om Försäkringskassan och Arbetsförmedlingen.  En annan viktig aspekt som Hillevi Larsson tar upp är att EU:s regler styr hur mycket man får ta in. Från svenskt perspektiv är det ganska generösa regler. Här behöver vi föra en diskussion i EU. Vad är storskalig och frekvent smuggling? Det handlar om definitionsfrågor och gränsdragningar. Att ta med sig den tillåtna mängden är knappast storskalig smuggling. Det finns domar som visar att man fått möjlighet att ta med sig stora mängder när man hänvisat till en stor fest, men man kan inte ha 50-årsfest varje år eller gifta sig flera gånger per år. Tullen måste här vara aktiv och göra beslag och givetvis arbeta med spaningsarbete. Såväl spaningsarbete som slumpmässiga kontroller är viktiga för att komma åt den mer frekventa och storskaliga smugglingen. Låt mig till sist säga något om alkoholskatten. Det fanns en bred enighet i riksdagen om att alkoholskatten skulle höjas, och den har också höjts. Regeringen föreslog det i sin budgetproposition, och det föreslogs också i Alliansen budgetmotion, som antogs av riksdagen. Det är viktigt att vi följer utvecklingen noga mot bakgrund att vi har höjt alkoholskatterna. Å andra sidan påpekar bland annat IOGT-NTO att det inte finns något självklart samband mellan smuggling och alkoholskatter. Höga alkoholskatter har dock många andra positiva aspekter vad gäller till exempel folkhälsan, vilket vi ser om vi tittar runt om i världen. ","S"
"Per Åsling","Herr talman! Jag måste få upprepa min fråga till Magdalena Andersson. Det var positivt när Morgan Johansson i augusti konstaterade att det fanns ett stort behov av att ta tag i denna allvarliga fråga. Han sa att det var viktigt att tillsätta en utredning direkt efter valet om det blev ett regeringsskifte. Vad har i sak förändrats så att det initiativet och den politiska ambitionen inte har fullföljts? Det görs mycket positivt på regeringsnivå. Det kommenterade jag i mitt förra inlägg. Det är bra att Statskontoret ser över ANDT-policyn. Men utgångspunkten är att Statskontoret ska förse regeringen med underlag för nästa periods politik och ställningstaganden mellan 2016 och 2020, och det är en helt annan del av den fråga vi nu diskuterar.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Sedan jag fick interpellationssvaret i går har vi varit i kontakt med ansvariga för utvärderingen, och de bekräftade just det jag säger. Det gör att behovet av att ta ett större grepp kvarstår. Det som görs nu är inte tillräckligt. Det är bra att Tullverkets uppdrag förtydligas, men ett större grepp behöver tas. Frågan är vad som måste göras. Vilka politiska åtgärder ska bli en konklusion av den ökade illegala införseln? Det är svårt, men det får inte innebära att vi inte gör något. Jag är av den bestämda uppfattningen att ett första steg är att göra en ordentlig kartläggning av den illegala införseln och dess omfattning. Hur ser verkligheten ut? Hur ser kartan ut? Jag har själv varit vid gränsorter, till exempel Helsingborg, och sett hur alkohol kommit in. Jag har träffat myndigheter i form av polis, tull och socialförvaltning på plats. Jag har varit med och ordnat ett seminarium här i riksdagen. Det är samstämmigt att det finns stora oklarheter i hur den svenska illegala införseln ser ut. Om vi ska kunna fatta relevanta beslut här i kammaren är det angeläget att en kartläggning kommer till stånd. Myndigheterna deklarerar dessutom att införseln tenderar att öka. Det säger Tullverket och polisen, i alla fall i de siffror jag har tagit del av. Utgångspunkten är att värna om folkhälsan, som i första hand är våra ungdomars hälsa. Som har sagts här från talarstolen under denna diskussion ökar tillgången på alkohol för våra ungdomar. Det är inte bra. Det är heller inte bra att det sker på ett sätt som gör att den svenska alkoholpolitiken med Systembolaget mister sin auktoritet. Jag skulle vilja ha svar på den fråga jag ställde. ","C"
"Finn Bengtsson","Herr talman! Jag är glad att finansministern inser det innovativa i det myndighetsövergripande sättet att arbeta i bland annat Östergötland, där projektet Bus Stop har varit banbrytande. Jag tror att det kommer att kunna vara en hjälp för regeringen att komma med ytterligare hjälpmedel för att underlätta myndighetssamverkan. Man ska även kunna kriminalisera. Ett nyckelbegrepp är herrelös alkohol. Människor som redan har det svårt och kanske är långtidssjukskrivna eller förtidspensionerade lockas tyvärr att åka med bussarna för att sitta och försvara en del av de enorma laster med smuggelsprit som tas in. Den återstående delen som ingen vill kännas vid kallas herrelös alkohol. Man skulle kunna komma åt detta via finansministerns ansvar för att punktbeskatta den herrelösa alkoholen. Tyvärr har det liggande beslutet från dåvarande Regeringsrätten - det som nu är Högsta förvaltningsdomstolen - inte medgivit att man beskattar denna alkohol. Man måste hitta sätt att minska vinstmarginalen. Ett sätt, utöver att tala om alkoholskatterna i Sverige, är att göra det olönsamt för den grova organiserade brottsligheten. Exempelvis bussförarnas ansvar för att frakta godset är något för justitieministern att bita i. Ren alkohol är ganska farligt, eftersom det är både tungt och eldfängt. När man fraktar farligt gods har bussförarna ett ansvar. När det gäller den herrelösa alkoholen kan inte ens bussbolagets ägare kommas åt straffrättsligt i dag. Även på Regeringskansliet måste man se en samverkan när man nu först genomför denna utredning för att sedan komma med konkreta förslag.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag noterar återigen att jag och min kollega Andreas Norlén har givit ett förslag med en hel del vettiga punkter som vi tycker att justitieministern kan titta noga på tillsammans med finansministern. I detta anförande instämde Andreas Norlén (M). ","M"
"Hillevi Larsson","Herr talman! Den här frågan berör egentligen olika saker. En del är den organiserade brottsligheten, som är det allra största problemet. Sedan har vi den lagliga införseln. Det finns en gråzon däremellan som får väldigt negativa konsekvenser. Människor kan försörja sig på att åka fram och tillbaka och fylla en bil eller en buss. Det kan ske fullt lagligt, men det är inte speciellt bra. Det utmanar även Systembolaget, vilket är ett annat problem. Systembolaget är vårt sätt att ha kontroll över konsumtionen så långt det går. Vi har åldersregler. Jag gjorde praktik på Systembolaget för något år sedan och fick då stå i kassan - som tur var fick jag hjälp. Jag upptäckte då att det inte bara är ålder man ska titta på utan även om någon är påverkad. Man får inte sälja till påverkade personer. Det innebär att det blir en skyddande funktion. Systembolaget har speciella öppettider, och man ser till att unga människor och personer som redan är väldigt påverkade inte ska kunna köpa. Privat införsel när man far över gränsen är kanske laglig på papperet. Det är fullt lagligt att köpa 110 liter öl och 90 liter vin till sig själv. Man behöver inte ens ha ett skäl som bröllop eller fest. Men det kan bli olagligt om man säljer det vidare i andra ledet eller om ungdomar tar sprit hemma hos sina föräldrar, vilket kanske inte ens märks på grund av det finns så stora mängder. Detta har alltså många dimensioner. Att se över EU-reglerna, den organiserade brottsligheten och att försvara Systembolaget är väldigt viktigt i sammanhanget. ","S"
"Magdalena Andersson","Herr talman! Jag instämmer med alla som påpekat vikten av att vi har Systembolaget och att det är Systembolaget som står för alkoholförsäljningen i Sverige. De utövar en viktig kontroll både när det gäller ålder och i vilken utsträckning man är påverkad. Som det fungerar i dag ger Systembolaget dessutom en bra service till medborgarna i Sverige, med möjlighet till ett gott utbud i hela landet. Jag ska inte tala för Morgan Johansson, men jag har talat med honom inför denna interpellation. Han har inte bilden att han har utlovat en utredning. Däremot har han och andra socialdemokrater i valrörelsen fört fram behovet av att vi tittar på vilka verktyg och metoder Tullverket har för att arbeta mot storskalig och organiserad smuggling. Det står vi naturligtvis fast vid. Vi har därutöver pekat på behovet av att noga följa smugglingens utveckling när vi höjer alkoholskatten. Det var tydligt före valet att det skulle finnas en bred majoritet i riksdagen för att höja alkoholskatten och att följa smugglingens utveckling noggrant när vi höjer denna skatt.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det pågår ett ständigt arbete i regeringen med att följa utvecklingen, bland annat genom att Tullverket visar sin beslagsstatistik när de lämnar sina årliga resultat till regeringen. ","S"
"Per Åsling","Herr talman! Som flera har sagt tycker jag att det har varit värdefullt att vi har kunnat ha denna diskussion här i dag. Jag tycker också att det är tillfredsställande att det finns en konsensus om att detta är ett problem för folkhälsan och för den svenska alkoholpolitiken och dess trovärdighet. Den här frågan borde inte vara parti- eller blockskiljande. Om vi har som ambition att komma till rätta med en illegal införsel av stora format till Sverige borde vi kunna ta ett gemensamt grepp över partigränserna och se till att vi gör en ordentlig kartläggning så att vi får en gemensam och tydlig bild av hur verkligheten ser ut när det gäller den svenska införseln av illegal alkohol. Därför skulle jag vilja be finansministern och regeringen - jag är beredd att sträcka ut en hand - att sätta sig ned tillsammans med oss och dra upp riktlinjer för hur en sådan översyn skulle kunna se ut. Ministerns ingång i det senaste anförandet om att se över metoder och verktyg tycker jag är positiv. Det skulle kunna vara en grund för ett sådant gemensamt politiskt agerande. Det skulle på ett kraftfullt sätt signalera allvaret i frågan och riksdagens och regeringens samlade ambition om att angripa den, för folkhälsan och för våra ungdomar - vår uppväxande generation. Jag önskar att vi kan skapa en sådan enighet, och jag vill återigen tacka finansministern för diskussionen. ","C"
