"Ylva Johansson","Herr talman! Ali Esbati har frågat mig om jag avser att ta initiativ till att anställningsformen allmän visstid mönstras ut från lagen om anställningsskydd. Christian Holm har frågat mig hur jag ser på anställningsformen allmän visstidsanställning och om jag och regeringen kommer att ge efter för Vänsterpartiets krav på att avskaffa den. Den möjlighet till flexibilitet som visstidsanställningar ger behövs, men jag håller med Ali Esbati om att det är ett stort problem att många fastnar i otrygga anställningar. Regeringen vill stärka skyddet för tidsbegränsat anställda. Arbetstagare i Sverige ska ha trygga villkor, och missbruk av visstidsanställningar ska inte vara möjligt. Regeringen arbetar nu med att lösa problemet med att det i dag går att ha på varandra följande visstidsanställningar under lång tid. Det har vi också fått kritik för från Europeiska kommissionen, som anser att Sverige bryter mot EU:s visstidsdirektiv. Ett arbete har redan påbörjats inom Regeringskansliet med att utreda olika alternativ för hur skyddet för tidsbegränsat anställda kan stärkas. Min målsättning är att så snart som möjligt komma med ett förslag till riksdagen om nya regler som uppfyller Europeiska kommissionens krav på Sverige. Det är viktigt för mig att så långt det är möjligt ha stöd från arbetsmarknadens parter när utformningen av nya regler på arbetsmarknaden diskuteras. Det är bland annat mot den bakgrunden ännu för tidigt för mig att nu säga något exakt om hur reglerna bör se ut, men vi avser att återkomma till riksdagen med konkreta förslag. ","S"
"Ali Esbati","Herr talman! Jag tackar Ylva Johansson för svaret. Jag är tyvärr ganska besviken över det, möjligen mer än vad Moderaternas Christian Holm kommer att vara. Otryggheten på den svenska arbetsmarknaden är ett allvarligt problem för stora grupper. Det är det för de individer som går långa tider med ständig stress utan att få fast mark under fötterna och för samhällsekonomin och den sociala sammanhållningen i stort. Den som går långa perioder utan fast anställning får också svagare anknytning till socialförsäkringssystemet, längre steg till facklig organisering och får det generellt sett svårare att räkna in sig själv i det som vi med rätta med viss stolthet har kallat den svenska modellen. Dessutom är de otrygga anställningarna inte slumpmässigt utspridda på arbetsmarknaden. Det är vanligare med sådana anställningar i LO-grupperna än bland tjänstemän och akademiker. Det är vanligare bland kvinnor än bland män. Det är vanligare bland unga än bland gamla. Och det är vanligare med otrygga anställningar i sektorer som i övrigt präglas av låga löner och lösliga förhållanden, till exempel hotell och restaurang, lokalvården och detaljhandeln. Sett över tid har de tidsbegränsade anställningarna ökat, och det är just anställningsformen allmän visstid som står för ökningen. Vikariat har till exempel minskat, och provanställningar är ungefär lika vanliga som tidigare. Den samlade bilden är att otryggheten i anställningsförhållandet har vuxit, men framför allt har den fördjupats, särskilt inom de sektorer som jag nyss nämnde, det vill säga att de icke-fasta anställningarna har i regel blivit mer otrygga. Vi har behovs- och timanställningar, sms-anställningar, olika typer av utstuderade arrangemang som designas för att arbetsgivaren ska betala exakt för den tid som den anställde jobbar, men i praktiken får man stå till arbetsgivarens förfogande mycket längre. Problemet här är att allmän visstid som anställningsform gör att en del arbetsgivare kan sätta sådant i system och göra det fullt lagligt. Jag noterar att Ylva Johansson i sitt svar tar upp detta med staplingen av visstidsanställningar, och det är jättebra att det äntligen finns ett arbete för att fixa detta. Det är ju pinsamt att Sverige riskerar att dras inför domstol av EU-kommissionen, som inte direkt har stått högst på barrikaderna för att försvara arbetstagares villkor. Det säger väl framför allt en del om den tidigare regeringens aktiva handfallenhet. Men det kan väl inte vara där en socialdemokratiskt ledd regering sätter ribban? Jag ska vara tydlig här. Precis som Ylva Johansson menar också jag och Vänsterpartiet att den flexibilitet som visstidsanställningar ger kan behövas. Därför är det viktigt att det finns möjligheter till vikariat, provanställningar och andra typer av tidsbegränsade anställningar som parterna kan reglera i kollektivavtal. Men allmän visstid som anställningsform är ju en ensidig gåva till arbetsgivarsidan. Det är denna obalans som jag hade hoppats att regeringen var intresserad av att räta upp. Man kan säga att det finns en parallell till andra delar av lagen om anställningsskydd. Arbetsgivare har rätt att säga upp personal, men det ska finnas saklig grund. Om tillsvidareanställning ska vara grundprincip, norm och betyda något borde det på samma sätt vara så att anställning på visstid kan förekomma men ska motiveras på något sätt. Det är detta som jag menar att frågan handlar om. Dagens regelverk sanktionerar godtycke, och det går ut över dem som har det slitigt på arbetsmarknaden till att börja med. Min fråga blir: Är detta någonting som bekymrar regeringen och Ylva Johansson? ","V"
"Christian Holm","Herr talman! Jag vill börja med att tacka arbetsmarknadsministern för svaret på min interpellation om allmän visstidsanställning, om än jag tycker att det inte var så mycket svar och inte ett så tydligt svar. Det finns flera skäl till att jag ställt den här interpellationen. Huvudanledningen är självklart att jag fortsätter att värna arbetslinjen och reformer som sänker trösklar in på arbetsmarknaden, som gör att Sverige fortsätter att ha en ökad sysselsättningsgrad och att fler kommer in på arbetsmarknaden. Att företag vill, kan och vågar anställa är grundläggande för att jobben ska bli fler. Det har kommit lite olika besked från regeringen i den här frågan. Dels är beskeden olika från olika representanter för regeringens olika partier, dels är beskeden ganska otydliga. Det är skillnad mellan den linje man hade före valet och den linje man har nu efter valet.  Lägger man dessutom till detta att Vänsterpartiet, som ju arbetsmarknadsministern och regeringen med den situation vi nu har mer eller mindre sitter i knät på, har en mycket tydlig uppfattning, vilket vi hörde från Ali Esbati, blir situationen än mer talande. Vi såg alldeles nyligen en intervju med Vänsterpartiets partiordförande Jonas Sjöstedt, som dessutom ser frågan om allmän visstidsanställningar som en av Vänsterpartiets tre viktigaste frågor. Då handlar det alltså om att skrota dem. Jag befarar därför att regeringens något otydliga besked i kombination med Vänsterpartiets hårdföra linje riskerar att bli ytterligare ett slag mot jobb och företagande. Lägger man därtill alla de jobbreformsvallöften som gavs före valet, som redan nu har svikits, och alla brister på jobbskapande förslag är min oro för kraftiga försämringar på arbetsmarknaden befogad. Jag beklagar att arbetsmarknadsministern inte kan ge tydligare svar på min ganska enkla fråga: Hur ser ministern på anställningsformen allmän visstidsanställning, och kommer hon och regeringen att ge efter för Vänsterpartiets påtryckningar? ","M"
"Ylva Johansson","Herr talman! Låt mig först svara på Ali Esbatis fråga. Ja, regeringen är bekymrad över att det förekommer missbruk av visstidsanställningar. Och det är mitt intryck, även om jag inte kan belägga det, att en del otrygga anställningar blivit ännu otryggare. Men det är också regeringens uppfattning att det behövs visstidsanställningar. Det är viktigt att vi har en flexibilitet på arbetsmarknaden. Visstidsanställningar kan vara en bra väg in på arbetsmarknaden och ett första steg till en fast anställning. Men visstidsanställningar kan också, om de missbrukas och varar under lång tid, leda till en närmast permanent oerhört svag och otrygg ställning på arbetsmarknaden. I en europeisk kontext talas det ibland om att man skapar ett prekariat. Det här är en balansgång vi måste gå där det behövs en flexibilitet men där vi ska sätta stopp för missbruket. Det är den vägen som regeringen vill gå. Jag noterar att Ali Esbati säger att det stora problemet är att människor fastnar i en lång tid av visstidsanställningar. Det är därför som det är regeringens prioritet att nu ta itu med att uppfylla EU-kommissionens krav på att sätta stopp för att man ska kunna missbruka visstidsanställningar genom att stapla dem på varandra under en orimligt lång tid eller nästan utan tidsgräns. Lagen om allmän visstidsanställning är inte den enda del som påverkar tryggheten på arbetsmarknaden. Jag noterar att LO-förbunden har olika uppfattning om ifall lagen borde ändras eller inte, och jag vet att det beror på att man också ser problem med bemanningsanställningar i en oerhört stor omfattning i andra branscher eller att det finns andra sätt att skapa en otrygghet på arbetsmarknaden. Det här är en balansgång där det är viktigt att det finns en flexibilitet, att det är ordning och reda i de flexibla anställningsformer som måste finnas för att vi ska kunna svara mot den snabbt föränderliga arbetsmarknaden, men också att individen har en trygghet. För regeringens del är vi inte nöjda med situationen. Därför arbetar vi med lagförslag för att kunna förhindra att man missbrukar visstidsanställningar med oändliga staplingar. ","S"
"Ali Esbati","Herr talman! Nu är interpellationsdebatten inte riktad mot Christian Holm, men jag måste ändå konstatera att man från Moderaternas sida fortfarande tycks sitta kvar i idén om att sysselsättningsgraden kan bli hög genom att de som är sysselsatta har det så dåligt som möjligt. Om det hade varit så hade vi till exempel haft en rad u-länder med full sysselsättning, och de nordiska länderna, som har byggt upp ett system med utgångspunkt från en stark men flexibel arbetsrätt, hade haft en mycket låg sysselsättning. Nu är det ju tvärtom. Det är väl möjligt att Christian Holm i likhet med andra alliansföreträdare har hittat någon forskningsrapport från 1935 som stöder motsatt uppfattning, men verkligheten i dag ser annorlunda ut. Låt mig gå till huvudfrågan om allmän visstid som anställningsform. Det är inte något som Vänsterpartiet har hittat på att vara bekymrat över, utan detta är ett särskilt stort problem inom vissa områden på arbetsmarknaden. Det kan förklara varför det finns en del olika synpunkter bland LO-förbunden, men det är inte få LO-förbund som har uttryckt bekymmer över detta. I grund och botten handlar det om principer för hur den svenska arbetsrätten ska se ut. Vi är eniga om att arbetsrätten ska vara flexibel. Det som lagarna bestämmer ska vara ett ramverk. Sedan ska det vara möjligt att inom ramverket, och ibland utanför ramverket, komma överens om flexibla lösningar. Det är den svenska modellens styrka. Vad jag och Vänsterpartiet menar är problemet med allmän visstid är att det är något som staten ger ensidigt till arbetsgivarna. Ska det vara möjligt att anställa i någon annan form än en fast anställning? Ja. Det svaret ger också Vänsterpartiet. Men ska man kunna anställa på visstid, det vill säga gå ifrån normen att anställningen ska vara tills vidare, utan att ge något som helst skäl till det? Där svarar vi nej. Vi gör det med den principiella utgångspunkten att den anställningsformen skapar otrygghet och därför att vi ser vilka effekterna blir. Det är bra om man med hjälp av andra typer av skärpningar av regelverket inte kan stapla anställningar i oändlighet. Vi understryker att det är ett stort problem i dag. Handelsanställdas förbund visade nyligen att mer än var tredje Handelsmedlem har eller har haft en tidsbegränsad anställning i detaljhandeln i mer än fyra år. Det är en permanentad otrygghet. Bara det faktum att det finns en lag om anställningsskydd som ska ge en viss typ av trygghet, komma bort från godtycke, och att man sedan inför en allmän regel som gör att man kan komma runt anställningsskyddet är ett problem i svensk arbetsrätt i dag. Jag skulle önska att regeringen tydligare visar att den är intresserad av att fixa problemet.  Det går alltid att stöta på hinder i riksdagen, men det borde vara möjligt att få ett tydligare besked om problemet från regeringens sida. Det finns många anställda i branscher där anställningsformen allmän visstid används aktivt för att komma runt arbetsrätten som skulle vilja höra vad regeringen har att säga. (forts.) ","V"
"Christian Holm","Svar på interpellationer Herr talman! Jag tog upp en del frågor i mitt förra inlägg, men arbetsmarknadsministern berörde väl egentligen bara Ali Esbatis frågor i sitt efterföljande inlägg. Hur som helst blev det ändå en del klargöranden. De allmänna visstidsanställningarna, som vi pratade om, är ett av de verktyg som har införts för att sänka trösklarna på arbetsmarknaden. Givetvis löser de inte alla utmaningar som finns på arbetsmarknaden, men en del. Det viktiga är att de är jobbskapande. Löftena från regeringen om jobbskapande förslag har varit få. De förslag vi har sett är ännu färre. Många av de löften som gavs före valet den 14 september har man inte bara låtit bli att genomföra; de har också övergivits av regeringen rent åsiktsmässigt. Man har dragit tillbaka dem eller sagt att man inte kommer att genomföra dem. Problemet är också att det saknas nya förslag för fler jobb och företagande från regeringens sida. Att Vänsterpartiet sedan måste med på den rödgröna båten för att det ska bli någonting gör inte heller att jobbförslagen blir fler. Då finns det i stället fog för än mer oro, för då är inte inställningen bara att de jobbskapande förslagen är fel, utan de förslag som kommer är dessutom direkt företags- och jobbhämmande. Det är viktigt att vi får besked om vilka regelverk som ska gälla och att de regelverk som ska gälla är kloka och jobbskapande. Därför är det olyckligt att arbetsmarknadsministern under sin första tid inte lyckats leverera de förslagen, men också att jag inte fick något egentligt svar på frågan vare sig i interpellationssvaret eller i ministerns förra inlägg. Före valet hade Ylva Johansson ett högt tonläge. Det hölls presskonferenser där hon presenterade vilka reformer som hon ansåg skulle genomföras genom propositioner som hon tyckte att den dåvarande arbetsmarknadsministern Elisabeth Svantesson skulle lägga fram. Jag vet att moderata arbetsmarknadsministrar har hög arbetskapacitet. De har levererat mycket och lagt fram många propositioner. Men här gällde det tio hyggligt omfattande frågor, såsom reformerad arbetsmarknadsutbildning och inrättande av olika institutioner. Listan är ganska lång. Det var i det närmaste en total reformering av svensk arbetsmarknadspolitik. Då verkade det vara enkelt och kunna gå snabbt. Nu har arbetsmarknadsministern suttit i nästan ett halvår på sin post. Den fråga jag har ställt rör enbart inställningen i frågan om allmän visstidsanställning. Jag har en undran, möjligtvis kombinerad med viss oro över Vänsterpartiets inflytande i frågan. Det jag har frågat är hur ministern ser på allmän visstidsanställning. Jag har inte efterfrågat att något ska vara genomfört här och nu, utan vill bara ha ett tydligt svar. Det framkom att facken har delade meningar och att LO-förbunden delvis är emot. Det är inte så ovanligt. Vi har haft diskussioner tidigare där vi fått lite bannor för att ha sagt att linjen mellan LO och Socialdemokraterna är i det närmaste obefintlig. Men om det nu är på det sättet kan man inta olika ställningar. Det pratas om att det är så stora samhällsproblem. Jag har försökt få fram statistik till stöd för uppfattningen att det är ett stort samhällsproblem att anställningar staplas ovanpå varandra, men jag har inte hittat någon sådan. Jag har inte heller kunnat få sådan statistik från någon från regeringssidan. Jag skulle i så fall vilja veta var den statistiken finns. Men återigen undrar jag: Vilken är arbetsmarknadsministerns inställning i frågan? Vilket kommer beskedet att bli? ","M"
"Fredrik Schulte","Herr talman! Den som har besökt vårt kära grannland Norge en söndag vet att norsk handel inte är öppen då. Man kan i princip inte gå ut och handla ett klädesplagg eller ens gå på en större livsmedelsbutik. De har en väldigt rigid arbetsmarknad med mycket strikta regler för när under veckan man får arbeta, vilka tider man får arbeta och så vidare. Herr talman! Det var inte jättelänge sedan vi hade en sådan situation i Sverige. Den som är intresserad av att ta del av vår samtida politiska historia och gå tillbaka till hur det såg ut på 80-talet i Sverige kan erfara att vi då hade en ganska tuff debatt om 7-Elevens etablering i Sverige. Vänsterpartiet, Socialdemokraterna och stora delar av fackföreningsrörelsen stretade emot. Det här var en etablering av nya typer av jobb som inte passade ihop med vänsterrörelsens syn på hur arbetsmarknaden skulle fungera i Sverige. Man vill att alla ska ha heltidsanställningar. Helst ska alla jobba 35 timmar, och man ska absolut inte vara visstidsanställd. Den här synen på arbetsmarknaden får två väldigt tydliga effekter. Den första effekten är att det blir färre jobb. Kan man inte anställa människor på deltid med den flexibilitet som vi i dag har kommer många av de här jobben inte att finnas kvar. Det påstås mycket i den här debatten om att visstidsanställningarna skulle öka radikalt och att vi har en arbetsmarknad som håller på att falla sönder. Men för den som är intresserad av faktisk statistik kan jag säga att andelen visstidsanställningar har ökat med ungefär 2,4 promille sedan 2006. Nu rör det sig om ungefär 750 000 personer som i dag är visstidsanställda. Skulle man förbjuda visstidsanställningar, som Vänsterpartiet är ute efter, skulle vi inte omvandla de här 750 000 arbetstillfällena till 750 000 heltidsanställningar, utan det är en massa jobb som skulle försvinna. En annan väldigt negativ effekt av den typen av inriktning på politiken skulle vara att en massa människor som vill ha flexibla anställningar inte skulle ha den möjligheten. Fackföreningsrörelsen, Socialdemokraterna och Vänstern var som sagt väldigt kritiska när 7-Eleven etablerades i Sverige. Då tyckte man att det var illa med arbete sena kvällar fram till klockan tio - vem i hela fridens namn vill arbeta då? Jo, det finns gott om människor som vill ta den typen av arbeten. Inte minst ungdomar som arbetar vid sidan av studierna, kanske har en annan dygnsrytm än en småbarnsförälder och hellre vill vara uppe sena kvällar upplever det inte som ett problem utan snarare som någonting positivt att det finns möjlighet att ta anställningar även under sådana omständigheter. Får vi den inriktning på politiken som Vänsterpartiet är inne på och som Socialdemokraterna fiskar lite efter, som vi kan höra här från statsrådet, kommer vi att få färre jobb och en mindre flexibel arbetsmarknad, där en mängd människor, särskilt ungdomar, inte kommer att få plats. Det här kommer såklart att leda till att vi får mindre pengar till välfärden. Detta perspektiv vill inte Vänstern se, utan man är fast i ett rigitt synsätt. ","M"
"Ylva Johansson","Herr talman! Det finns drygt en halv miljon människor som arbetar under visstidsanställning i dag i Sverige, vilket utgör drygt 12 procent av dem som arbetar. Omfattningen av visstidsanställningarna är alltså ganska stor. Vi behöver visstidsanställningar. Det är ett viktigt sätt att skapa flexibilitet på arbetsmarknaden, och det fungerar många gånger som ett insteg på vägen till en fast anställning. Vi behöver inte missbruk av visstidsanställningar. Regeringen har låtit Statistiska centralbyrån göra en undersökning av hur det ser ut med användning av visstider under mycket lång tid. Det visade sig i den undersökningen att 39 000 personer har varit visstidsanställda hos samma arbetsgivare sammanhängande eller med mycket korta uppehåll under fem års tid. Jag tycker att det är bekymmersamt. Nu ska vi ha klart för oss att det finns avtal som tillåter detta. Allt detta behöver inte vara ett missbruk. Men det säger också att det förekommer att människor fastnar på ett orimligt sätt i långa visstider, precis som Ali Esbati tog upp. Det är regeringens bedömning att det är ett problem att många människor fastnar i orimligt långa visstidsanställningar när man staplar dem på varandra. Det är också regeringens bedömning att det förekommer missbruk av visstidsanställningar. Därför vill regeringen göra ändringar i lagstiftningen. Vår prioritet är att göra de ändringar som krävs för att vi ska leva upp till EU:s visstidsdirektiv och att vi därmed ska leva upp till vad EU-kommissionen kräver av oss. Det är vad vi nu arbetar med. Jag hoppas och räknar med att kunna komma till riksdagen med sådana förslag till lagändring. Det är också regeringens ambition att vi ska kunna genomföra de förändringarna i dialog med och i samförstånd med arbetsmarknadens parter. Det betyder att regeringen för en sådan dialog. Innan vi är klara med det är jag inte beredd att svara på frågor om den exakta utformningen av lagstiftningen. Men syftet med lagstiftningen är att vi ska komma till rätta med stapling och missbruk. Herr talman! Låt mig också vända mig till Christian Holm, som kanske inte riktigt har följt vad vi gör inom Arbetsmarknadsdepartementet och regeringen. Regeringen håller nu på och genomför den mycket stor omläggning, reformering och förändring av arbetsmarknadspolitiken som är grundläggande. Vi avreglerar arbetsmarknadspolitiken. Vi har tagit bort två tredjedelar av regleringarna i regleringsbrevet. Vi kommer att ta bort flera av de tidsgränser som i dag styr insatserna. Vi tar bort mycket av den byråkrati som i dag belastar dem som arbetar inom Arbetsförmedlingen. Vi öppnar för helt andra samarbetsformer mellan Arbetsförmedlingen och arbetsgivarna och mellan Arbetsförmedlingen och kommunerna, till exempel. Det är en stor reformering som pågår. Men som Christian Holm säkert är medveten om är arbetsmarknadspolitiken inte lagstyrd. ","S"
"Ali Esbati","Herr talman! Det är alltid uppfriskande med unga moderater som liksom luftlandsätts från sina trygga förorter in i arbetsmarknadsdebatten. Det var kanske det största självmålet som jag har sett på länge när man tar upp Norge som exempel på varför rigiditet på arbetsmarknaden skulle leda till problem med sysselsättningen. Det är ett land som jag inte bara besökt utan i sju år har bott i. Där har man så nära full sysselsättning som man kan komma. Just förslaget att rubba på förbudet mot söndagsöppet som regeringen som består av Moderaternas systerparti och det främlingsfientliga Fremskrittspartiet har fört fram har precis lett till en generalstrejk, och det kanske inte kommer att lyckas gå igenom i det norska Stortinget. Så kan det bli om man kommer med exempel utan att ha så mycket koll på vad de egentligen ska leda till utan fastnar i sin egen floskelvärld. Det är formen allmän visstid som vi diskuterar här och inte om visstid ska finnas eller inte. Självklart ska det finnas möjlighet för företag att anställa på visstid. Men då ska man kunna motivera det. Det är den poäng som vi har här. Jag vill till sist lägga till en sak som jag inte hann komma in på förutom alla de problem som har kommit upp. Visstider drabbar också dem som är fastanställda på de arbetsplatser där man har många med osäkra anställningar. Detta är också någonting som bland annat Handelsanställdas förbund har pekat på. När företag sätter i system att ta in människor på osäkra anställningar blir det också ökat tryck och ökad stress för dem som är fastanställda som måste jobba hårdare och lära upp dem som hela tiden byts ut. Det är inte rimligt, menar vi i Vänsterpartiet, att man har en möjlighet att lagligt sätta detta i system. Vi kommer att återkomma till den frågan. Jag är övertygad om att många inom fackföreningsrörelsen också kommer att göra det. ","V"
"Christian Holm","Herr talman! Tack för svaren på mina frågor, arbetsmarknadsministern! Regelverket när det gäller tillsvidareanställningar kom upp. Det finns de som har gått på sådana i upp till fem år. Det var ett antal tusen personer. Regelverket är sådant att vi får ha allmän visstidsanställning i upp till två år under en femårsperiod. Då kan man mäta personer i upp till fem år. Men om någon har varit anställd i fem år övergår det till tillsvidareanställning. Sedan går det säkert att hitta enskilda fall där det har förekommit felaktigheter, oegentligheter eller någonting annat. Det ska jag inte säga att det inte finns. Ali Esbati talar om att visstider drabbar personer. Om man tar alla dem som har gått från utanförskap, arbetslöshet eller vad det nu kan vara och har fått en visstidsanställning och ser på det sätt som jag gör att arbete är någonting som är bra, någonting som man är stolt över och någonting vi bör sträva efter drabbas de inte av arbete och anställningar, utan de drabbas av arbetslöshet. Det låter bra här i talarstolen. Även Ali Esbati säger att man är för flexibla lösningar. Arbetsmarknadsministern säger att man vill ha flexibilitet. Vi kommer under kvällen att kunna följa debatten. Vi kommer att diskutera bemanningsföretag, provanställningar och många delar som innebär en flexibel arbetsmarknad. Det finns en röd tråd i detta. Ali Esbati kommer att vara emot vart och ett av alla flexibla förslag. Det finns flera förslag, och alla kommer inte upp i kväll. Det man kan lita på är att Ali Esbati kommer att vara emot. Jag noterar att arbetsmarknadsministern gör många besök runt om i landet. Det är bra. Hon lyssnar in vad det finns för synpunkter, bland annat om traineejobben, som jag tror har gått i graven på något sätt. Hon lyssnar hur man skulle kunna införa dem. Jag uppmanar: Gör inte det. I morgon kommer ministern att ha glädjen att besöka min hemstad Karlstad. Tala gärna med dem i det borgerligt styrda Karlstad. Se vad det finns för förslag. Lyssna in och se vad ni kan få för förslag för att jobben ska bli fler. Vi saknar det från Socialdemokraterna. ","M"
