"Ylva Johansson","Fru talman! Hanif Bali har frågat mig om regeringen fortsatt avser att uppnå målet om lägst arbetslöshet i EU till 2020 och hur det i så fall ska ske. Regeringens övergripande politiska prioritering är att öka sysselsättningen varaktigt och minska arbetslösheten. Det är en helt central uppgift att skapa förutsättningar för fler jobb och att bekämpa arbetslösheten. Detta gäller särskilt den höga ungdomsarbetslösheten och den höga långtidsarbetslösheten samt frågan om att ge möjlighet till att fler utrikes födda kvinnor och män snabbare kommer i arbete. Regeringen har ställt upp ett tydligt mål för sysselsättningspolitiken som ska styra regeringens politik under mandatperioden: Antalet personer som arbetar och antalet arbetade timmar i ekonomin ska öka så att Sverige når lägst arbetslöshet i EU år 2020. Den höga ungdomsarbetslösheten är en av regeringens högst prioriterade arbetsmarknadspolitiska utmaningar. Kampen mot ungdomsarbetslösheten förutsätter bred mobilisering och samverkan mellan bland annat arbetsmarknadens parter, det privata näringslivet och inte minst landets kommuner. Kommunernas kunskap, engagemang och bidrag är en förutsättning i arbetet för att minska ungdomsarbetslösheten. Kommundialogerna, som påbörjades under hösten 2014, fortsätter under våren. Regeringen vill i samtal med kommunerna lära av goda exempel och höra vad kommunerna har för erfarenheter av vad som fungerar bra och mindre bra i syfte att minska arbetslösheten bland unga. Samtal kommer också att inledas med berörda parter på arbetsmarknaden samt med andra betydelsefulla aktörer, såsom organisationer och relevanta myndigheter. Regeringen tillsatte den 18 december 2014 en delegation med uppdrag att verka för att arbetsmarknadspolitiska insatser mot ungdomsarbetslöshet får större genomslag på lokal nivå. Delegationen ska främja statlig och kommunal samverkan och utveckling av nya samverkansformer för att minska ungdomsarbetslösheten. Eftersom riksdagen röstade igenom Alliansens budget kommer de insatser som regeringen avsåg att införa från 2015 att försenas. ","S"
"Hanif Bali","Fru talman! Det mål som Socialdemokraterna har definierat är ganska klurigt. Jag måste säga att man lär sig mycket av socialdemokrater om hur klurig och finurlig man kan vara när man definierar mål. Det är väldigt smart. Man har ett mål som är relativt: arbetslöshetsmålet. Det är ett mål som man kan flexa med riktigt mycket. Om man checkar ut många människor ur arbetskraften blir arbetslösheten automatiskt lägre, utan att man skapat några nya jobb. Något liknande gäller i och för sig med de andra mål som finns, nämligen antalet arbetade timmar och antalet sysselsatta. Det är två parametrar som är absoluta. Så fort vi har en större befolkning kommer såklart automatiskt antalet arbetade timmar och antalet sysselsatta att öka. Smart! Problemet är att det som saknas är sysselsättningsgraden, andelen sysselsatta, och antalet arbetade timmar per sysselsatt. Det är också viktiga mål, så att man inte enkelt kan checka ut folk och egentligen konstruera goda statistiska siffror. Däremot hoppas jag att den här regeringen har lärt sig av Göran Perssons regerings misstag. Göran Persson och hans regering fick helt enkelt skörda frukterna av sitt misstag i och med valet 2006. Jag hoppas att den här regeringen lär sig av det och inser att tricksandet med siffror slår tillbaka. Ännu viktigare är att det visar sig att regeringen enligt sina egna arbetslöshetsprognoser inte kommer att nå sitt mål. Regeringen skriver själv upp arbetslöshetssiffrorna. Tittar man på prognoserna för resterande EU-länder ser det faktiskt ut som att det här målet kommer att sluta i ett fiasko. Detta är inte något nytt. Det har funnits väldigt många fina mål hos tidigare socialdemokratiska ministrar. Ett exempel är 100-dagarsgarantin. Kommer ni ihåg den? Den var jättefin. På 100 dagar skulle man erbjuda alla jobb och sysselsättning. Det slutade med att arbetslösheten ökade och att skillnaden mellan att vara med i det programmet och att inte få några insatser alls blev noll. Nu går regeringen fram med fler åtgärder. Den här gången är det en 90-dagarsgaranti. Det låter nästan som att en moderat spinndoktor har stått och hittat på det här för att prata illa om Socialdemokraterna. Men Socialdemokraterna har faktiskt hittat på det helt själva. De har kapat tio dagar. De lovar att ingen ung människa ska gå sysslolös i mer än 90 dagar. Men de reformer som krävs för att genomföra detta är totalt frånvarande. Man vill samordna fram fler jobb. Man vill träffa kommuner och prata och så vidare, men glömmer det mest grundläggande ekonomiska faktum som finns, nämligen att jobb skapas genom tillväxt och att tillväxt skapas i företag. Det är ett väldigt enkelt faktum som Socialdemokraterna i sin jobbpolitik totalt ignorerar. Min enkla fråga till Ylva Johansson är återigen: Hur ska alla de jobb som krävs för att sänka arbetslösheten skapas? ","M"
"Finn Bengtsson","Fru talman! Jag vill börja med att tacka arbetsmarknadsministern för svaret. Det var ett förutsägbart svar, med tanke på det som interpellanten Hanif Bali tryckte på. Man vill gärna ha en målsättning som man försöker klä i en massa vackra ord. Här ska det göras insatser, och stora sådana! Men syftet är egentligen inte att skapa nya riktiga jobb, utan att minska arbetslösheten. För att understryka vad Hanif Bali just sa om siffertricksande kan man tillåta sig att titta på facit från den senaste socialdemokratiska regeringen före den här regeringen tillsammans med det tillväxtfientliga Miljöpartiet, som inte precis gagnar jobbutvecklingen. Under toppåret, 2002-2003, hade vi den allra sjukaste befolkningen under allra längst tid i Sverige, fast det inte fanns medicinska motiv bakom detta. Det var en flykt in i en sjukförsäkring, och man hade inte någon nämnvärd ambition att folk skulle lämna den för att övergå till arbetsmarknadspolitiska åtgärder och ännu mindre att folk skulle få arbete. Efter transitionen från sjukförsäkringen till Arbetsförmedlingen räknades man nämligen plötsligt som arbetssökande och arbetslös, men så länge man befanns vara i sjukförsäkringen var man undantagen. Därmed var arbetslösheten falskt lägre. Ännu värre var att man dessutom inte hade några kontrollstationer för att se om de långtidssjukskrivna hade någon möjlighet att återgå i arbete. Det fanns inga rehabiliteringsinsatser. Man hade en konstig konstruktion som hette tillfällig förtidspension, som egentligen hade det enda syftet att glömma bort de här individerna och sätta dem i permanent förtidspension. Fru talman! Siffrorna var väldigt tydliga. År 2006, när alliansregeringen tillträdde, var det i Sverige 550 000 människor som hade förtidspension, en siffra som sedan minskade drastiskt. Det är i sig en fantastisk bedrift att lyfta folk ur förtidspension, visserligen tillbaka till arbetslöshet men också mot en arbetsmarknad där många fick arbete. Det var på den tiden så att en femtedel av de arbetsföra var försörjda av sjukförsäkringen. Därmed existerade de inte. Man var nära det mål man syftar mot till 2020. Man ville beskriva att man inte hade någon arbetslöshet. I stället hade man en sjukförsäkring som höll på att ruinera statsfinanserna. Fru talman! Det här är just den typ av politik som man räds när man läser alla vackra ord som skrivs av arbetsmarknadsministern om hur de vill nå målet om lägst arbetslöshet i EU 2020. Om syftet är att åter släppa på tyglarna i sjukförsäkringen, som det sas i regeringsförklaringen, öppnas det för ett överflöde dit. Vi riskerar då att en väldigt viktig socialförsäkring återigen inte kommer att kunna stå på egna ben. Det här är oerhört allvarligt. Jag tycker att de som lyssnar på den här debatten verkligen ska ta detta till sig. Arbetsmarknadsministern avslutar med att lakoniskt konstatera: \"Eftersom riksdagen röstade igenom Alliansens budget kommer de insatser som regeringen avsåg att införa från 2015 att försenas.\" Så kan man naturligtvis se det. Om nu riksdagen, som förhoppningsvis representerar folkmajoriteten, har insett att siffertricksandet från Socialdemokraternas sida tidigare försatte Sverige i en situation där arbetslösheten var falskt låg men där många var i sjukskrivning som inte skulle vara det och i en förtidspension som de definitivt inte skulle vara i kanske det var därför den antog Alliansens budget för att få riktiga åtgärder och skapa riktiga jobb. Om man är missnöjd med det tycker jag att man kan lämna in sin avskedsansökan och låta dem som har lagt fram budgeten styra. ","M"
"Ylva Johansson","Fru talman! Till det sista vill jag säga att det är precis en sådan överenskommelse som har nåtts mellan sex av riksdagens partier; det är den sittande regeringen som ska ha möjlighet att regera och lägga fram sina budgetar. Jag har förstått att Finn Bengtsson inte delar sitt partis uppfattning, men det är en sådan överenskommelse som är träffad. Jag tror att det är en bra överenskommelse som gör det möjligt att styra Sverige. Jag vill också säga till Finn Bengtsson att det är regeringens uppfattning att den som är så sjuk att den inte kan stå på egna ben också ska ha rätt till sjukförsäkring. Sättet att komma till rätta med de problem som regeringen har ärvt från den tidigare regeringen är att sjuktalen nu ökar i snabb takt. De ökar bland unga människor. De måste mötas inte genom åtstramningar i sjukförsäkringen utan genom att människor blir friskare och får hjälp att komma tillbaka till en frisk situation och tillbaka till arbetsmarknaden. Fru talman! Jag ska återkomma till Hanif Balis fråga. Jag delar uppfattningen att sysselsättningsgrad är ett mycket bra och robust mått på hur det går på arbetsmarknaden. Den påverkas delvis av den demografiska sammansättningen. Men jag delar uppfattningen att det är ett av de mest robusta måtten. Regeringen är mycket tydlig med att vi ska nå EU:s lägsta arbetslöshet genom att det blir fler människor i arbete och fler arbetade timmar. Båda de sakerna behöver uppnås. Till skillnad från det mål som den gamla regeringen satte upp, som var ett absolut mål som man enligt Konjunkturinstitutet kunde nå utan några som helst nya insatser utan som drevs fram av sig själv, är det ett mycket ambitiöst mål. Prognoserna för arbetslösheten påverkas självklart av vilken ekonomisk politik som förs. Den nu gällande budgeten är mindre stimulerande och tillväxtskapande än den budget som regeringen hade föreslagit. Det är klart att det påverkar prognosen för arbetslösheten. Regeringen har för avsikt att återkomma med nya budgetförslag som gör att vi därmed förhoppningsvis kan få en annan prognos för arbetslösheten. Låt mig ta väldigt seriöst på kritiken mot 90-dagarsgarantin. Jag vill vara väldigt tydlig med att säga att regeringen inte kommer att införa någonting som innebär att människor sätts i låtsasåtgärder. Jag tror att det är farligt. Om du har varit arbetslös länge och hamnar i en åtgärd som du inte själv tror på och inte andra tror på och som inte leder till arbete är det förödande för människor. Det är precis den dialogen jag just nu har ute med kommunerna och med många andra företrädare som är inblandade i den kraftsamling som jag tror krävs för att vi ska klara ungdomsarbetslösheten. Det är min uppfattning, som jag grundar på min erfarenhet av tidigare arbete i tidigare regeringar, att det är väldigt lockande när man är minister att sitta inne på Regeringskansliet och tänka ut fiffiga reformer. Att sedan få presentera dem på tjusiga presskonferenser är en väldigt rolig upplevelse för ministern. Men de förslag som tänkts ut på det sättet har en tendens att vara som en misslyckad sufflé när de möter verkligheten. Det var tyvärr ett öde som drabbade den gamla regeringen. Man tyckte att man lade fram förslag som man trodde skulle fungera, men när de mötte verkligheten så fungerade de inte eller fungerade väldigt mycket sämre än vad man hade hoppats på. Jag hoppas att jag kan undvika det misstaget genom att innan jag lägger fram det färdiga förslaget diskutera med dem som faktiskt ska genomföra det på riktigt. Ett sådant förslag är traineejobben. De ska innebära en ordnad generationsväxling så att vi har utbildad personal i äldreomsorgen och utbildade undersköterskor också i framtiden. Ska det fungera tror jag att man måste diskutera med dem som ska anställa och utbilda de blivande undersköterskorna innan man utformar exakt hur förslaget ska se ut. ","S"
"Hanif Bali","Fru talman! Det är väldigt glädjande att höra de orden från Ylva Johansson. Äntligen känns det som att man får någon form av feedback på den kritik som funnits mot de mål som varit uppsatta om att de är svårbevisade, självuppfyllande eller att det är svårt att utvärdera dem. Ylva Johansson har en nyfunnen ställning där hon tycker att sysselsättningsgrad är viktig. I och för sig var det viktigt i början av förra mandatperioden. När sedan sysselsättningsgraden ökade under den senare delen av förra mandatperioden när Alliansen kom i kapp och gick om till och med Göran Perssons högt ställda mål för sysselsättningsgrad blev det mindre viktigt. Nu är det återigen viktigt, tycker Ylva Johansson. Det välkomnar jag. Du har helt rätt i att vi har stora problem på den svenska arbetsmarknaden när det gäller till exempel matchningen. Vi ser inte bara en felmatchning i form av kompetens där man får väldigt svårt att tillsätta jobb i de högkvalificerade yrkena. Samtidigt ser vi en extremt stor undanträngning där högutbildade som har pluggat på högskolan tränger undan andra i jobb som endast kräver gymnasiekompetens. Det finns stora utbildningar där mer än 70 procent jobbar inom ett yrkesområde utanför sitt examensområde. Det kan man tycka inte är något problem. Problemet är att 70 procent av detta är arbeten som endast kräver gymnasiekompetens. Erfarenheten av det är så klart att de med endast gymnasiekompetens trängs undan till att ta jobb som endast kräver grundskolekompetens. De nyanlända eller de ungdomar som inte har gått färdigt gymnasiet får helt enkelt inget jobb. Den felmatchningen är någonting som jag tror oroar oss båda. Jag ser fram emot att höra vad Ylva Johansson har för planer för att åtgärda det. Att bara tala om de enstaka traineejobb som finns eller bara tala om ett par samordnande funktioner inom offentlig sektor räcker inte. Vi talar om hundratusentals människor som egentligen jobbar med fel sak men också tränger undan arbetskraft som är i extremt stort behov av de jobben. Jag skulle vilja höra mer om det från Ylva Johansson. Ska man få låg arbetslöshet måste man åtgärda denna missmatchning på arbetsmarknaden. Antingen ser man till att jobben växer fram i en väldigt bred skala så att de som är undanträngda från arbetsmarknaden kan hitta jobb eller så måste man se till att vårt utbildningsväsen mer matchas mot arbetsmarknaden. Några sådana förslag har vi tyvärr inte heller sett. Här kan man vara självkritisk. Här tycker jag att alliansregeringen också gjorde för lite. Men vi befinner oss i den situation vi är i just nu. Vi har ett förändrat omvärldsläge där vi har stora asylgrupper som kommer till Sverige. Det ställer frågan på sin spets. Ska vi få Europas lägsta arbetslöshet måste åtgärderna göras. Vad är regeringens åtgärder? ","M"
"Finn Bengtsson","Fru talman! Vad var det egentligen för åtgärder som röstades bort i och med att Alliansens budget gäller? Det var åtgärderna som syftade till att minska arbetslöshet just genom siffertricksande men inte genom att skapa nya jobb. Här säger arbetsmarknadsministern att det inte handlar om låtsasåtgärder. Men det hon beskriver är egentligen inte riktiga jobb. Hur tror man att det skulle ske genom den politik man själv hade i sin budget som skulle höja skatten för löntagare och minska intresset för att arbeta mer? Man höjer arbetsgivaravgifter framför allt riktat mot de unga så att det blir mindre intressant att våga anställa de yngre. I förlängningen kanske inte heller företag expanderar på det sätt som annars hade varit möjligt. På vilket sätt skapar detta nya jobb? Det är därför målet när man tittar på arbetslösheten är så bedrägligt. För att ytterligare belysa fäblessen för siffertricksande hos Socialdemokraterna säger arbetsmarknadsministern något när jag lyfter fram att vi hade en katastrofal situation med en sjukförsäkring som också hade stora geografiska skillnader 2002-2003. Det betydde att man också såg det som en arbetsmarknadspolitisk åtgärd, för det fanns inga medicinska förklaringar till att det var en skild sjuklighet i Sverige. Däremot var arbetsmarknaden skild i de olika regionerna, så sjukförsäkringen användes alltså som en arbetsmarknadspolitisk åtgärd. Arbetsmarknadsministern säger då: Nu ökar sjuktalen igen. Hon ger något slags förespegling om att det hela är tillbaka till de historiskt höga tal vi hade 2002-2003. Det är inte sant. Vi är bekymrade över en viss ökning av sjukförsäkringen som sker nu. Men om man öppnar upp dammluckorna med det förslag Socialdemokraterna har i regeringsförklaringen om att inte ha några kontrollstationer kan vi snart vara tillbaka på de historiskt höga nivåer vi hade 2002-2003. Och då talar vi om rejäla problem - inte dem vi har i dag. ","M"
"Fredrik Schulte","Fru talman! Politik är att vilja, sa Håkan Juholt - eller det kanske var Olof Palme som sa det. Det ligger givetvis någonting i det. Men framför allt är politik också att kunna. Vi har gång på gång under denna kväll fått höra hur arbetsmarknadsministern och andra socialdemokratiska företrädare har stått här och talat om vilka höga ambitioner man har. Men det räcker inte att ha höga ambitioner och en god vilja; man måste också ha konkreta förslag. Man måste kunna förverkliga visionerna. Från Moderaternas och Alliansens håll har vi haft ingångsvärdet - för att använda ett ord som är populärt nu för tiden - att tillskapandet av nya jobb handlar om att stärka drivkrafterna för arbete, att göra det mer lönsamt att arbeta och att förbättra villkoren för företagen och på så sätt se till att arbetsmarknaden och ekonomin fungerar bättre. På så sätt växer fler jobb fram. Socialdemokraterna har på något sätt det motsatta ingångsvärdet. De börjar sin tid vid regeringsmakten med att lägga fram förslag på skattehöjningar på ungefär 23 miljarder. Detta slår framför allt mot ungdomar - ungdomar vars arbetsgivaravgifter man ska dubblera. Det är knappast någon - definitivt inte finansministern men säkerligen inte heller arbetsmarknadsministern - som påstår att detta skapar fler jobb. Det skapar färre jobb. Men man hävdar att de alternativa förslag som man lägger fram är mer effektiva och ska uppväga de skattehöjningar som enligt s. 57 i budgetpropositionen kommer att drabba sysselsättningen negativt. Då är frågan: Vad är det för olika typer av åtgärder regeringen föreslår? Det är framför allt bidragshöjningar för dem som inte arbetar och olika typer av arbetsmarknadspolitiska åtgärder. Det är på det sättet som Socialdemokraterna föreställer sig att man ska nå målet att ha Europas lägsta arbetslöshet 2020. Problemet är, arbetsmarknadsministern, att det inte finns något stöd för att arbetsmarknadspolitiska åtgärder skulle vara den stora lösningen på att skapa de nya jobben. Det finns inget stöd i forskningen för detta. Det finns inget exempel på något land som varaktigt har kunnat höja sin sysselsättningsgrad och påtagligt skapat fler jobb genom att tricksa med arbetsmarknadspolitiken. Det är klart att arbetsmarknadspolitiken fyller en viktig funktion för att i konjunkturnedgångar när arbetslösheten ökar kunna hjälpa till i en omställningsfas för människor. Det är klart att människor som står långt ifrån arbetsmarknaden med hjälp av arbetsträning kan få bättre förutsättningar för att komma tillbaka. Men det finns inget stöd för att det fungerar att hålla på och tricksa med sådant här - oavsett om ni kallar det för plusjobb, traineejobb eller extrajobb. Kvar är bara förslag om skattehöjningar, om att höja bidragen för dem som inte arbetar och om ineffektiva arbetsmarknadspolitiska åtgärder. Då är frågan: Hur ska ni nå målet med arbetslösheten? Det måste vara alternativet till att skapa nya jobb, nämligen att sopa människor under mattan som ni gjorde under tolv års tid sist ni hade makten. ","M"
"Ylva Johansson","Fru talman! Till Finn Bengtsson vill jag säga att jag anser att arbete som utbildad undersköterska är ett riktigt arbete. Till Fredrik Schulte vill jag säga att arbetsmarknadspolitiken och utbildningspolitiken inte skapar nya jobb; så är det. Men arbetsmarknadspolitiken och utbildningspolitiken kan se till att de lediga jobben med kort varsel kan tillsättas med kompetent personal. Det skapar i sin tur en bättre fungerande arbetsmarknad, som i sin tur gör att företag som kan och vill växa ges goda förutsättningar att göra det. Det är så det fungerar. Man måste ha klart för sig vad som hänger ihop. Jag vill tacka Hanif Bali. Jag tycker att det var ett klokt inlägg, och jag tror inte att vi står så långt från varandra i de här frågorna. Det är viktigt att man hamnar på rätt jobb. Det är just ett av de problem vi har: Många är överkvalificerade för de jobb de har och blir som en propp i systemet. Det rör inte på sig, och man kan inte flyttas och hamna vidare till det rätta jobbet där kompetensen kan användas på bästa sätt. Det är naturligtvis ett slöseri med resurser, men det gör det också svårt för andra som ska träda in på arbetsmarknaden och som kanske har en lägre kompetens än den som de andra som sitter på jobben har. För att komma till rätta med det här är det viktigt att man kan göra stora reformer av hela arbetsmarknadspolitiken, inte minst av Arbetsförmedlingens funktionssätt. Det gamla - att man bara skulle fokusera på dem som står allra längst från arbetsmarknaden - hade förödande konsekvenser som gjorde att man fick en allt sämre funktion på arbetsmarknaden. Vi har haft en politik där det har varit så att den som har ett jobb inte har kunnat räkna med någon som helst hjälp med att byta till ett annat jobb, där man kanske passar bättre. Då blir det dålig cirkulation och dålig rörlighet på arbetsmarknaden i ett läge där vi skulle behöva alltmer och större rörlighet på arbetsmarknaden. Den vision jag och regeringen har om att göra Arbetsförmedlingen till matchningsspecialist som arbetar för och ger stöd till alla som behöver röra sig och vill ha stöd för det på arbetsmarknaden kräver ett mycket nära samarbete med arbetsgivarna om det ska fungera. Det kräver att man kan bygga upp ett förtroende som i dag inte finns, eller som i alla fall är alldeles för svagt för att det ska fungera. Det krävs också en utbildningspolitik som bättre svarar mot arbetsmarknadens behov och som är mer flexibel i förhållande till detta. Jag inser att detta är lite visionärt i förhållande till det läge vi har. Arbetsförmedlingen har betydande svårigheter i dag. Det finns stora problem inom Arbetsförmedlingen, och förtroendet är mycket lågt både bland dem som är arbetssökande och bland arbetsgivarna. Det finns alltså mycket stora utmaningar i detta. Men trots att det finns stora utmaningar menar jag att det är i den riktningen man måste gå. Regeringen har nu påbörjat ett arbete om förändring av både arbetsmarknadspolitiken och Arbetsförmedlingen. Jag menar att detta är en helt nödvändig förändring. Det läge vi har, med ett starkt förändringstryck på arbetsmarknaden, ställer stora krav men ger också stora möjligheter. Min bedömning är att detta förändringstryck på arbetsmarknaden kommer att öka. Min bedömning är att det är bra. Vi behöver en arbetsmarknad som har ännu större rörlighet och som är ännu bättre och snabbare på att ställa om till nya marknader, nya metoder, nya tekniker och nya sätt att producera. Men det ställer också stora krav på utbildningspolitiken och arbetsmarknadspolitiken. En av dessa saker handlar om att kunna utbilda till många av de yrken där vi i dag har brist och som inte kräver högskolekompetens. Det handlar om gymnasiala yrkesutbildningar. Vi har brist på vvs-montörer, vi har brist på plåtslagare, vi har brist på byggnadsarbetare, vi har jättestor brist på undersköterskor, vi har brist på montörer och vi har brist på fordonsmekaniker. Detta är yrken som inte kräver en jättelång utbildning för att man ska nå kompetensen, men det handlar om många utbildningar som i dag inte ens existerar. Den budget som gick igenom i december innebär att platserna inom yrkesvux sjunker från ungefär 14 000 platser 2014 till ungefär 4 000 platser under innevarande år. Det underlättar inte. ","S"
"Hanif Bali","Fru talman! Jag vill tacka Ylva Johansson för svaret. Det berättas här att Arbetsförmedlingen är en kugge i detta maskineri som inte fungerar, och jag kan hålla med till stora delar. Men en sak som jag är rädd för och som Ylva Johansson inte fångar upp är att den kompetensbrist som vi pratar om, det underskott på kvalificerade kunskaper som finns på svensk arbetsmarknad, handlar till stor del om just högskoleutbildade. Vi har stor brist på vissa ingenjörer, inte alla ingenjörer, på tekniskt kunnig personal och på it-personal. Sådana utbildningar, fyra- eller femåriga ingenjörsprogram, går det inte att låta Arbetsförmedlingen ta hand om, hur mycket vi än skulle önska. Det är en ganska svunnen tid då man med en svetskurs på några månader kunde lära någon, och sedan var personen fit for fight på arbetsmarknaden. Nu ser vi en arbetsmarknad som blir alltmer kunskapsintensiv. Jag är rädd för att Ylva Johansson, trots att hon har helt rätt när det gäller plåtslagare, plattsättare och så vidare, missar den stora gruppen. Det handlar inte om de marginellt små grupperna där det saknas personal utan om den stora gruppen människor som är fullt kapabla att gå en högskoleutbildning men som går en utbildning till ett yrke som det på arbetsmarknaden inte finns någon som helst efterfrågan på. Hur mycket Arbetsförmedlingen än trollar och samordnar kan de inte fixa fram arbeten inom det yrket och kan samtidigt inte heller skicka personen till en femårig ingenjörsutbildning. Att fixa felutbildningen och felmatchningen på arbetsmarknaden är nyckeln till lägre arbetslöshet. Och det är där jag saknar svar från Ylva Johansson. ","M"
"Fredrik Schulte","Fru talman! Vi har nästan fått bevittna ett paradigmskifte i socialdemokratisk arbetsmarknadspolitik här. Ylva Johansson står och säger att arbetsmarknadspolitiken inte skapar nya jobb. Så har det inte direkt låtit tidigare. Så har det inte låtit under valrörelsen. Det vore fantastiskt om vi kunde komma överens om att det inte är traineejobben, inte extrajobben, inte plusjobben eller vad ni än väljer att kalla dem som är den stora lösningen för att öka sysselsättningen och skapa nya jobb. Men det här är ett jättepositivt steg framåt och i rätt riktning. Det är inte riktigt det budskapet som Ylva Johanssons kolleger och framför allt finansminister Magdalena Andersson har haft i ett antal interpellationsdebatter som vi har haft under hösten. Men det är väldigt positivt att Ylva Johansson företräder en linje som ligger väsentligt närmare Alliansens.  Det måste dock i någon mening också betraktas som ett svek från Socialdemokraterna som har stått och lovat dyrt och heligt att de här åtgärderna ska skapa nya jobb när man nu erkänner att de inte gör det.  Frågan är då vad i er budget och i er politik som står för jobbskapande, Ylva Johansson. Ni har 23 miljarder i skattehöjningar, särskilt riktat mot dem som står längst från arbetsmarknaden - ungdomar och människor med utländsk bakgrund. Nu har ni haft åtta år i opposition, och ni har inga konkreta förslag. Du står här i talarstolen och säger att du ska testa och prata med arbetsmarknadens parter och kommunerna om det här med traineejobb fungerar eller inte. Ni har alltså väntat i åtta år och har en politik som inte ens ni själva vet om den fungerar. Så illa förberedd är socialdemokratin för att styra det här landet. ","M"
