"Mehmet Kaplan","Svar på interpellationer Fru talman! Jessica Rosencrantz har frågat infrastrukturministern och Jan Björklund har frågat statsministern om regeringen avser att återkalla beslutet att tillsätta en statlig samordnare för Bromma flygplats. Jessica Rosencrantz har också frågat infrastrukturministern om hon har gjort ställningstagandet att beslutet att utse en samordnare är korrekt hanterat. Arbetet inom regeringen är så fördelat att det är jag som ska svara på interpellationerna. Eftersom interpellationerna delvis behandlar samma fråga besvarar jag dem i ett sammanhang. Frågan om hur regeringen ska behandla riksdagens tillkännagivande bereds för närvarande inom Regeringskansliet. Jag noterar också att frågan om regeringens hantering av beslutet att tillsätta en samordnare är föremål för konstitutionsutskottets granskning. Jag kommer att bidra till utskottets arbete i den omfattning utskottet önskar och har inte för avsikt att förekomma den kommande granskningen. ","MP"
"Jan Björklund","Fru talman! Det är uppenbart att regeringen i sitt beslut den 18 december avvek från det beslut som riksdagen tog samma dag i fråga om att tillsätta en utredare för att förbereda en nedläggning av Bromma flygplats. Regeringen har hävdat att man tog beslutet några timmar tidigare, men det spelar ingen roll i sammanhanget eftersom det var känt sedan i november att det fanns en majoritet i kammaren för att fatta detta beslut. Det var känt ända sedan utskottsbehandlingen. Alla regeringar har säkert segdragit på tillkännagivanden som är lite luddiga. Men jag har inte tidigare upplevt att en regering har brutit mot ett sådant tydligt och skarpt tillkännagivande som att regeringen inte fick tillsätta en utredare för att påbörja arbetet med att förhandla om en nedläggning av Bromma flygplats - och dessutom samma dag. Enligt min mening är det som regeringen har gjort på förslag av föredragande statsrådet Mehmet Kaplan både provocerande och upprörande. Precis som statsrådet säger i sitt interpellationssvar är detta föremål för konstitutionsutskottets granskning. Jag tror att statsrådet Kaplan måste förbereda sig på att konstitutionsutskottet kan komma att betrakta detta med yttersta stränghet. Det är några månader tills det behandlas, så det finns möjlighet för statsrådet att dra tillbaka beslutet.  Det regeringen har gjort är mycket allvarligt. Jag kan inte tala för någon annan än mitt eget parti, men jag noterar att det finns en majoritet i kammaren för att bevara Bromma flygplats. Det går inte att utesluta att kammaren kommer att se ytterst strängt på regeringens agerande när det väl kommer upp för prövning. Ytterst handlar detta om flygtrafiken i Sverige. Problemet är att regeringen och Miljöpartiet ser Bromma flygplats som enbart en Stockholmsfråga. Men även om man ser det som en Stockholmsfråga är det angeläget att ha kvar flygplatsen. Den skapar mycket jobb i regionen och är en förutsättning för många företag här. Men jag skulle säga att Bromma flygplats är ännu viktigare för många orter ute i Sverige. För många orter är det den enda dagliga trafiklänken till huvudstadsregionen. Stockholms Handelskammare har gjort en sammanställning som visar att fem sex sju flygplatser i Sverige kan få lägga ned om Bromma avvecklas och att lika många till hotas av ganska omfattande neddragningar i flygtrafiken. Det sägs att man kan flytta över flygtrafiken till Arlanda. På natten är Arlanda tomt, och då finns det flygkapacitet. Men den dagliga pendlingen av affärsresenärer och andra, som är en förutsättning för att företagsamheten ska fungera, äger rum under några timmar på morgonen och eftermiddagen. Då flyger även riksdagens ledamöter till och från Stockholm. Det är då efterfrågan på inrikes flygtrafik finns, och då är det fullt på Arlanda. Det är problemet. Ska verksamheten flyttas till Arlanda får man alltså flyga på natten eller mitt på dagen, men då är efterfrågan mycket liten. Detta är ett hot mot företagen runt om i Sverige. Min uppmaning till regeringen är att sluta betrakta Bromma flygplats som enbart en Stockholmsfråga. Det är en fråga för hela Sverige. Hela Sverige ska leva - och Sverige, Mehmet Kaplan, är större än Södermalm. (Applåder) ","FP"
"Jessica Rosencrantz","Fru talman! Jag beklagar att statsrådet inte besvarade de viktiga frågor som jag och Jan Björklund har ställt. Att utse en samordnare är inte bara fel i sak utan också i form eftersom det står i uppenbar strid med riksdagens beslut i denna kammare. Det här är bara en utredning, har vi bland annat hört infrastrukturministern säga i några sammanhang. Men i en situation där ett av två regeringspartier har som krav att stänga Bromma flygplats och där samma två partier lokalt i Stockholm till och med har en handlingsplan för hur stängningen ska gå till är det inte många som kan se med ro på den utredning som enligt regeringen ska göras. Detta skapar betydande osäkerhet för Swedavia vad gäller investeringsbeslut för deras flygplatser, för företag och regioner runt om i Sverige och för alla de människor som är beroende av fungerande flygförbindelser till och från Stockholm. Fru talman! Flera orter riskerar att stängas av från Stockholm och omvärlden om detta blir verklighet, och 24 000 jobb riskerar att gå förlorade. Stockholmsregionen toppar många internationella rankningar. På ett område hamnar den dock alltid efter, och det gäller tillgängligheten på flygförbindelser till omvärlden. I takt med regionens tillväxt och tilltagande globalisering blir det allt viktigare för vårt nordliga land att ha fungerande flygförbindelser. EU pekar ut Arlanda som en flaskhals i det europeiska transportnätet. Swedavia investerar redan 13 miljarder i Arlanda för att möta interkontinentaltrafiken. Med regeringens nuvarande politik riskerar alla våra utrikesförbindelser att få stryka på foten om all inrikestrafik ska flyttas till Arlanda. Fru talman! Häromveckan fick vi den slutliga notan på vad stoppet av Förbifart Stockholm kostade skattebetalarna. 170 miljoner kronor nedgrävda i marken blev priset för att Miljöpartiet skulle få en trofé att vifta med. Vad kostnaden blir för all den osäkerhet som skapas kring Bromma kommer vi nog aldrig att få veta. Men osäkerhet kostar, och det är inte ansvarsfull politik att begrava viktiga frågor i utredningar och stopp för att regeringen inte kan komma överens internt. Den 18 december tog vi beslut i denna kammare att vi var emot en utredning om att avveckla Bromma. Trots det valde regeringen att samma dag tillsätta just en sådan utredning - eller som man kallar det på nyspråk: en samordnare. Det är en uppenbar obstruktion mot riksdagens beslut. Statsrådet hänvisar till att frågan prövas i konstitutionsutskottet. Det är jättebra. Det välkomnar jag, men jag förväntar mig att en regering med ett underlag på 38 procent är lyhörd för beslut av riksdagens majoritet. Fru talman! Här handlar det om att göra om och göra rätt. Bromma behövs för jobb och utveckling. Swedavia och Trafikverket är extremt tydliga med att det inte går att lägga ned Bromma flygplats. En riksdagsmajoritet har sagt nej till en utredning. Jag ställer därför frågan igen: När tänker regeringen leva upp till sin demokratiska skyldighet och dra tillbaka beslutet om en samordnare? (Applåder) ","M"
"Robert Halef","Fru talman! Efter valet kom hoten från regeringen om att stoppa bygget av Förbifart Stockholm och stänga Bromma flygplats. Socialdemokraternas partiledare Stefan Löfven, som före valet lovade väljarna att varken Förbifarten eller Bromma flygplats skulle drabbas, har gett vika för Miljöpartiet och svikit sina löften. En majoritet i riksdagen har på initiativ av Kristdemokraterna och Alliansen beslutat att sätta igång byggandet av Förbifarten den 1 januari. Det är ett beslut som välkomnats av näringslivet och medborgarna. Regeringens frysning av Förbifarten under några månader har kostat skattebetalarna 170 miljoner kronor. Fru talman! Den rödgröna majoriteten i Stockholms stad vill stänga Bromma flygplats senast år 2022, och den rödgröna regeringen har utsett en förhandlingsperson för att bereda processen. Att stänga Bromma flygplats kommer att innebära stora samhällsekonomiska förluster och försvåra livet för många som bor och verkar i andra kommuner som är beroende av lokalt flyg till huvudstaden. För att hela landet ska kunna leva är det viktigt med en fungerande praktisk infrastruktur. En citynära flygplats som är navet i inrikesflyget till landets tillväxtregion är nödvändig och viktig för jobb och utveckling i hela landet. En stängning skulle försämra tillgängligheten för stora delar av Sverige. Tusentals arbetstillfällen kommer att försvinna enligt Stockholms handelskammare, och ledande kommunpolitiker runt om i landet instämmer i detta. Det är en näringsfientlig politik för Stockholm och Sverige som kommer att påverka tillväxten och jobben negativt. Fru talman! Under december månad har trafikutskottet och riksdagen beslutat att bevara Bromma flygplats samt att regeringen inte ska utse en förhandlingsperson. Detta till trots har regeringen utsett en tidigare S-minister till utredare med uppdrag att undersöka möjligheten att bygga bostäder på Bromma flygplats och flytta flygtrafiken till Arlanda flygplats. Det har regeringen gjort trots majoritetsbeslut i trafikutskottet och i riksdagen, trots att näringslivet varnar för de negativa ekonomiska konsekvenserna för regionen och för landet, trots att berörda kommuner varnar för de negativa ekonomiska konsekvenserna - de kommer att förlora jobb och tillväxt på orten, och dessutom kommer fler invånare att lämna orten - och trots att det statligt ägda bolaget Swedavia, som driver båda flygplatserna och åtta andra flygplatser i landet, kraftigt har avvisat förslaget om nedläggning. Enligt ledningen för Swedavia har Arlanda varken möjlighet eller plats att inrymma flyget från Bromma, och de varnar för att det inte är genomförbart. Fru talman! Alla berörda, till och med boende i närområdet i Bromma, är emot en nedläggning. Ändå väljer den rödgröna regeringen att gå vidare med sina planer på att stänga Bromma flygplats - en citynära flygplats som fyller många samhällsfunktioner och är viktig för hela Sveriges utveckling. Kristdemokraterna kommer att motverka alla försök att stänga Bromma flygplats och kommer att verka för att säkra jobb och tillväxt i hela Sverige. Fru talman! Min fråga till ministern är: Varför vill regeringen stänga Bromma flygplats och struntar i majoritetens beslut i riksdagen och i trafikutskottet, som har beslutat att inte utse en förhandlingsperson och inte stänga Bromma flygplats? ","KD"
"Helene Petersson i Stockaryd","Fru talman! Detta är spännande interpellationer i sak men framför allt i form. Efter tolv år som ledamot i konstitutionsutskottet tycker jag att just formfrågorna är väldigt spännande. Eftersom en del av frågan är uppe i konstitutionsutskottet för granskning nu hade jag inte kunnat gå upp i talarstolen om jag fortfarande hade suttit i konstitutionsutskottet. Men nu gör jag inte det, och jag kan därför plocka upp den delen. Just ett tillkännagivande är en ganska spännande företeelse. Jag läste i interpellationerna att man har avvikit från riksdagens beslut. Men ett tillkännagivande är ju inget beslut. Det är en viljeyttring - riksdagen meddelar sin åsikt. En av interpellanterna använder ord som upprörande och provocerande. Jag har själv varit med om att få en av mina motioner godkänd med ett tillkännagivande här i riksdagen, men sedan resulterade den i princip inte i någonting. Den handlade om mediekoncentration, och kulturministern lade in tio tolv rader i budgetpropositionen och avfärdade hela tillkännagivandet. Det blev ingenting med det. Regeringen har rätt att utreda - den har ett utredningsinstrument. Vi kräver många gånger och regeringsformen kräver också att regeringen ska bereda ärenden väl. En del i detta är en utredning. Man har rätt att tillsätta utredningar, och man har rätt att avsluta dem. När det gäller tillkännagivanden ska regeringen tillgodose riksdagens tillkännagivanden på något sätt. Men om regeringen inte delar riksdagens mening i en fråga och inte har för avsikt att tillgodose riksdagens önskemål måste den underrätta riksdagen om detta och redovisa varför den inte tillgodoser tillkännagivandet. Vi har därför skrivelse 75, som kommer en gång om året. Men regeringen kan också, som i mitt fall, lägga in några rader i budgeten och förklara varför den inte har tillgodosett tillkännagivandet. Jag läste en intressant artikel av en filosofie doktor i statsvetenskap. Han påpekade att tillkännagivanden inte regleras i vare sig regeringsformen eller riksdagsordningen utan är en konstitutionell praxis. Man hade detta uppe i 2008 års grundlagsutredning och aktade sig då noga för att föreslå att tillkännagivanden skulle regleras, därför att det är en praxis som har fungerat bra. Riksdagen har möjlighet att säga sin mening, och regeringen måste respondera på något sätt. Men de är alltså inte rättsligt bindande. Artikeln avslutas med: \"Men sluta låtsas att vi har en annan konstitution än den vi har.\" Jag tycker att det är ganska viktigt att vi har den reglering vi har. Det andra är praxis. ","S"
"Fredrik Malm","Fru talman! Detta är en fråga som rör såväl form och process som innehåll. Jag tänkte fokusera mest på det innehållsliga. Det är inte så att vi i Sverige och Europa är bortskämda med en särskilt hög tillväxt i dag och att det skapas alldeles för många nya jobb. Det är precis tvärtom. Vi lever i en tillvaro där vi måste vässa vår konkurrenskraft, där vi behöver öka vår tillväxt, där vi behöver skapa nya jobb, där vi behöver nya innovationer. Då är det inte särskilt klokt att börja lägga ned flygplatser. Jag har inom politiken träffat en rad olika företag genom åren. Men jag har aldrig mött ett företag som säger: Det viktigaste för oss är att man lägger ned flygplatser i Sverige och att vi har mindre flygtrafik. Vad de som skapar jobb, innovationer och annat efterfrågar är precis det motsatta. De vill ha bättre kommunikationer, en mer utvecklad infrastruktur, större möjligheter att snabbt kunna kalla till möten, ta sig från olika platser, kunna skicka sina produkter och så vidare. Bromma flygplats, fru talman, är en ganska fiffig lösning, så till vida att det är en relativt liten flygplats. Den ligger mycket nära Stockholm, närmare än Arlanda. I och med att det är en liten flygplats går det ganska snabbt. Det är inte så långa väntetider. Det går snabbt vid incheckning, säkerhetskontroller och annat. Det gör att Bromma flygplats är perfekt för affärsresenären. Det är ingen slump att ungefär 90 procent av alla resor till och från Bromma flygplats är arbetsrelaterade. Därmed blir en nedläggning av Bromma flygplats - som Miljöpartiet anser är en särskilt angelägen fråga och med oerhörd entusiasm har gett sig in i som avvecklingsprojekt - ett fullständigt dråpslag mot tillväxt och jobb inte bara i Stockholmsregionen utan, precis som vi har hört, för hela Sverige. Vi har andra flygplatser i det nationella basutbud av flygplatser vi har i Sverige: Malmö, Göteborg, Visby, Umeå, Åre, Östersund, Ronneby, Kalmar och så vidare. Alla de flygplatserna drabbas också om man lägger ned Bromma flygplats, i och med att en stor del av deras resor går till Bromma. Det kan man ersätta genom att ha lite mer landningar på Arlanda, påstås det då. Men det kan man inte. Problemet är att Arlanda är mycket nära sitt kapacitetstak, i alla fall under de tider på dygnet när affärsresenärerna reser, vilket är tidigt på morgonen och lite senare på kvällen. Det gör att det kommer att vara omöjligt för Arlanda att absorbera den trafik som skulle behöva flytta om Bromma flygplats läggs ned. Detta är ett mindre klokt beslut eller rättare sagt ett mycket dumt beslut. Dock är det förstås samtidigt så, fru talman, att flygbranschens utsläpp är ett reellt dilemma. Det får man inte heller bortse från. Det är viktigt att forskningen ökar kring fossilfritt flygbränsle, och det är viktigt att flygtrafiken inkluderas i de olika systemen för handel med utsläppsrätter och annat runt om i världen. I Europeiska unionens system ETS är det med. De miljöaspekterna är oerhört viktiga. Men de står inte i motsättning till att vi kan ha en bra flygtrafik till Stockholm, i det land i Europeiska unionen som har de allra längsta avstånden mellan de sydligaste och de nordligaste delarna. ","FP"
"Lars Tysklind","Fru talman! Det har sagts mycket om Bromma flygplats nu. Vi kan konstatera att Bromma flygplats naturligtvis handlar om flyget till Sverige men kanske framför allt handlar om jobb och tillväxt i hela landet, vilket har nämnts av många här. Det gäller många perifera orter som Trollhättan och Ängelholm med omgivande regioner. Deras flygtrafik är naturligtvis oerhört viktig för utvecklingen av de bygderna. Men för att hålla oss till riksdagsbeslutet från den 18 december: Där hade vi ett solklart tillkännagivande till regeringen om att <em>inte </em>tillsätta en förhandlingsperson för avveckling av citynära flygplatser, som det hette. Men det var också solklart att det i grunden handlade om Bromma flygplats. Det är därför debatten handlar om Bromma. Det beslutet togs naturligtvis utifrån en värdering av de argument som fanns för och emot en nedläggning av Bromma flygplats. Det var inte bara ett ad hoc-beslut. När riksdagen tar ett sådant tydligt ställningstagande känns det ganska märkligt att regeringen tycker att det är ekonomiskt försvarbart att starta ett utredningsarbete med ett syfte. Jag vet inte om uppfattningen delas av hela regeringen. Jag känner ju att det finns en klar motsättning mellan Socialdemokraterna och Miljöpartiet. Men icke förty är det tydliga syftet att lägga ned Bromma flygplats. Det handlar inte bara om ekonomin kring utredningsarbetet. Det kan vi kanske leva med. Men det är en mycket tydlig politisk signal, inte minst till näringslivet ute i landet. Då handlar det återigen inte bara om Stockholmsregionen. När man gör opinionsundersökningar brukar man fråga stockholmarna. Men de kanske har lättare att leva utan Bromma flygplats än vi andra. Helene Petersson gav en bra resumé om ramarna kring tillkännagivanden. Men när regeringen samma dag som riksdagen fattade sitt beslut ändå beslutade att tillsätta en samordnare, utredningsperson eller hur det uttrycktes kan vi uppleva det som en ren provokation. I grunden handlar det om en principfråga, hur regeringen värderar tillkännagivanden från riksdagen. Just detta tillkännagivande är mycket tydligt - det finns inte så stort utrymme för att sitta och tolka det någon längre tid. Då återstår egentligen den tydliga fråga som har ställts av några tidigare: Kan ministern tydligt säga att man inte kommer att återkalla beslutet och att riksdagen här i dag kan få beskedet att regeringen tänker strunta i riksdagens beslut? Det vore oerhört olyckligt och lite häpnadsväckande. Den enda rimliga slutsatsen av både riksdagsbeslutet i december och debatten i riksdagen är att återkalla beslutet. Jag önskar lite mer besked och lite mer fördjupning i frågan. Det svar som vi har fått var väl formellt riktigt. Men i sak var det närmast ett icke-svar. ","FP"
"Finn Bengtsson","Fru talman! Jag tänkte ägna mig lite grann åt formfrågan, för jag tycker att mycket klokt har sagts i sakfrågan. Socialdemokraterna tillsammans med Miljöpartiet gör anspråk på att kalla sig en samarbetsregering. Det framstår nu alltmer - vilket inte minst exemplet med Bromma flygplats innebär - som att man snarast är en konfliktregering. Det må så vara att elefanten i rummet visar att man har en konflikt inne i sig själv. Det må man ha. Men jag tvivlar på att Socialdemokraterna har ett väldigt starkt majoritetsstöd för att lägga ned Bromma flygplats. Icke desto mindre gör man anspråk på detta i någon form av samarbetsregeringsklimat, att vilja föra fram en sådan åsikt. Men det viktiga är när man blir en konfliktregering mot den här riksdagen, denna kammare, som uppenbarligen har gjort ett tydligt ställningstagande, inte minst i trafikutskottet men även på andra sätt, som i interpellationsdebatter, som har gett uttryck för att svenska folket inte har något intresse av att se en välståndsutveckling som hämmas, en tillväxtfientlig politik med bland annat nedläggning av ett av flygnaven i Sverige, nämligen Bromma flygplats - det flaggas ju för att man vill försöka lägga ned den, trots att det inte finns något egentligt sådant majoritetsstöd i denna riksdag. Den här typen av konflikt i formfrågan syns väldigt tydligt. Vi har även haft uttalanden som tankeförbud mot kärnkraft från socialdemokratiska ministrar och vinststopp i välfärdens kärna av socialdemokrater. Jag vill knappast tro att detta är annat än sådant som är föranlett av påtryckningar på Miljöpartiet och även till regeringens samarbetande vänsterparti. Detta, fru talman, blir väldigt allvarligt om det fortsätter. Helene Petersson i Stockaryd nämner att tillkännagivande inte är ett beslut. Jo, visst är det ett beslut. Det är ett majoritetsbeslut taget i utskottet. Det är en tydlig viljeyttring, och regeringen måste komma tillbaka när man inte har för avsikt att följa den eller har en annan åsikt än vad en majoritet i riksdagen har. Om detta fortsätter, med en väldigt svag vänsterregering, föreställer jag mig att skrivelse 75, som Helene Petersson hänvisar till, blir väldigt omfångsrik - kanske så omfångsrik att det noteras av konstitutionsutskottet att allt fler ärenden från denna svaga regering behöver granskas, när man så uppenbart både obstruerar och trotsar en riksdagsmajoritet på många olika politikområden. Jag noterar i svaret från ministern att det kommer att bli en granskning i konstitutionsutskottet. Vi läser i dagens Svenska Dagbladet att man från statsvetenskapligt håll funderar över om inte konstitutionsutskottet har blivit väldigt politiserat under den svaga vänsterregeringen. Det är kanske precis det som måste till när regeringen på område efter område så uppenbart visar ett trots mot en riksdagsmajoritet, en riksdagsmajoritet som strävar efter välfärdsutveckling och inte minst tillväxtutveckling.  Det blir då naturligtvis en enorm paradox om Socialdemokraterna gör anspråk på att vara tillväxtvänliga men samarbetar i en regering med ett parti som på många områden visar sig inte värna tillväxten utan snarare har en tillväxtfientlig politik.  När det gäller sakfrågan är vi i mitt hemlän Östergötland bekymrade över att Åsa Romson har utpekat även en annan flygplats, som inte är beroende av Bromma, för en potentiell nedläggning men som på samma sätt kommer att hämma tillväxten i vår region, nämligen Linköping City Airport. Detta är någonting som skulle drabba inte bara vårt universitet och vårt näringsliv utan faktiskt också vårt försvar i och med att det är där som man tillverkar JAS Gripen. Jag hoppas att regeringen tar sitt förnuft till fånga.  ","M"
"Mehmet Kaplan","Fru talman! Regeringen har tagit ett beslut, och en del av diskussionen här handlar om just detta regeringsbeslut. En del av det som framför allt de som inte är interpellanter tar upp kanske inte direkt berör regeringsbeslutet utan bara indirekt. Beslutet är att en samordnare ska tillsättas. Mitt uppdrag och mitt ansvar som statsråd är att verkställa regeringens beslut.  För närvarande finns det en anmälan till KU mot regeringen i denna fråga, vilket jag också sade i mitt svar. Vi fick även höra Helene Petersson redovisa hur KU jobbar för er som kanske inte har suttit i detta utskott.  När det gäller KU:s uppgift att kontrollera regeringens och statsrådens arbete är det en uppgift som KU alltid, oavsett politisk majoritet i riksdagen, tar mycket allvarligt på. Det händer att en majoritet i riksdagen faktiskt kan bli prickad i KU. Detta är någonting som är mycket allvarligt. Jag tycker att interpellanten Björklund tog upp det på ett mycket bra sätt.  Utöver att det är en viktig uppgift är det också någonting som vi som statsråd måste vänta in. Det är en eventuell granskning på gång. Jag vet inte hur långt den har kommit eftersom vi inte har fått någon fråga till departementet.  Det är också viktigt att notera att regeringen kommer att följa de regler och den praxis som finns för hantering av tillkännagivanden från riksdagen. Regeringens hantering av tillkännagivanden kommer att redovisas till riksdagen varje år. Det är helt enligt sedvanlig praxis.  ","MP"
"Jan Björklund","Fru talman! Frågan sönderfaller i den formella hanteringen och i fråga om Bromma flygplats som är det som den ytterst handlar om.  Jag är förvånad över att de rödgröna företrädarna inte med ett ord nämner frågan om flygplatsens existens och vikt för Sverige. När Helene Petersson från Småland gick upp i debatten tänkte jag att hon skulle argumentera kraftfullt för varför Växjö flygplats behöver Bromma flygplats och varför det skulle vara en katastrof för Växjö om Bromma läggs ned. Men det gjorde hon inte, utan hon gick upp och hade en konstitutionell föreläsning. Det får hon gärna göra. Men det handlar ju om Växjös tillväxt och om andra städer i Sverige och deras tillväxt och jobb. Det är detta som det ytterst handlar om.  Mehmet Kaplan sade inte ett ord om detta. I valrörelsen drev han tillsammans med sitt parti frågan om att lägga ned Bromma flygplats. Det skulle skapas 200 000 nya jobb, sade Mehmet Kaplan, om Bromma flygplats läggs ned. Det är en otrolig matematik. Lägg ned Arlanda så blir det 400 000 jobb, antar jag.  Nu talas det om samordnare, och man vägrar tala om sakfrågan. Men det är klart att detta hänger ihop. Den upprördhet som finns över processen har att göra med att det handlar om att lägga ned en av Sveriges viktigaste flygplatser. Då kan ni inte gå runt den frågan. Visa gärna den oro som också regeringen känner över detta. Eller visa att ni inte är ett dugg oroade och att det bara är att lägga ned flygplatsen. Det har inga negativa effekter utan bara positiva effekter. Berätta det då. Men delge er syn om varför det är så viktigt att få fram en samordnare som ska lägga ned Bromma flygplats. Varför är det viktigt?  Stefan Löfven lovade i valrörelsen att Bromma flygplats inte ska läggas ned, men nu är en samordnare tillsatt.  Stefan Löfven sa i valrörelsen att jobben kommer att ha företräde framför varje annan fråga i en rödgrön regering. Han sa: Jag ska fråga varje statsråd inför varje regeringsbeslut hur just detta beslut påverkar jobben.  När Mehmet Kaplan fick frågan hur detta beslut om att lägga ned Bromma påverkar jobben, vad svarade han då? Stockholms Handelskammare säger att det blir minus 36 000 jobb. Det går förmodligen inte att räkna ut exakt. Men var och en förstår att om flygplatser stängs ned runt omkring på orter i Sverige har det mycket negativa konsekvenser för sysselsättning och tillväxt på dessa orter. Det är negativt för Stockholm också. Stockholm klarar sig sannolikt ändå, men för dessa andra orter kan det ofta vara en fråga om framgång eller nedgång.  När det gäller själva processen och besluten har Helene Petersson rätt i att ett tillkännagivande inte är rättsligt bindande, vad nu det innebär i sammanhanget. Det är inte en lagstiftning. Men om en majoritet i riksdagen tycker så här bör en klok regering ta hänsyn till det. Man kan välja att strunta i det, men då får regeringen i nästa steg naturligtvis bära konsekvenserna av det och det ansvarsutkrävande som riksdagen kan använda sig av enligt samma konstitution som Helene Petersson nu hänvisar till.  Granskning i konstitutionsutskottet kommer nu att ske. Min bedömning är att det finns en stor gruppering i KU, kanske en majoritet, som kommer att se mycket strängt på detta. Vi begär inte att Mehmet Kaplan ska säga att de drar tillbaka beslutet den 3 mars eller någonting annat, men jag uppmanar Mehmet Kaplan att han innan detta kommer upp i KU tar chansen att backa från dessa beslut och drar tillbaka dem. Jag tror nämligen att det är uppenbart för honom hur majoriteten i denna kammare ser på dessa beslut och hur de är fattade.  ","FP"
