"Magdalena Andersson"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Fredrik Schulte har frågat mig vad jag och regeringen har för avsikter med posten \"beräkningsteknisk överföring till hushållen\" i budgetpropositionen för 2015 och om det är så att posten i själva verket är en, som han uttrycker det, buffert för att hantera en ökning av utanförskapet för att dölja arbetslösheten. För att återgå till överskott i de offentliga finanserna bör den nya politik som föreslås och aviseras för 2015 och för de kommande åren vara fullt finansierad. I budgetpropositionen för 2015 är budgeteffekten av de förslag och aviseringar som förstärker de offentliga finanserna större från och med 2016 än budgeteffekten av de förslag som försvagar finanserna. Det betyder att finansieringen överstiger kostnaderna för reformerna. Från och med 2016 handlar det om ungefär 7 miljarder kronor per år. Avsikten med dessa medel är att de ska användas för finansiering av framtida reformer. Till dess redovisas de i budgetpropositionen som en beräkningsteknisk överföring till hushållssektorn. Genom att den beräkningstekniska överföringen inkluderas i budgetredovisningen uppnås en mer rättvisande prognos än om posten inte hade ingått i redovisningen. En reform som den beräkningstekniska överföringen kan finansiera är avskaffandet av den bortre gränsen i sjukförsäkringen. Det är alltså ingen slump att denna reform används som exempel i budgetpropositionen, precis som Fredrik Schulte nämner. Den preliminära budgeteffekten av reformen utgör dock en mycket begränsad del av den beräkningstekniska överföringen, vilket framgår tydligt av den tabell som Schulte refererar till. ","S"
"Fredrik Schulte","Herr talman! Anledningen till att jag skrev interpellationen är att vi när vi öppnade regeringens budget i höstas möttes av ett begrepp som mig veterligen aldrig tidigare har förekommit i svensk politisk debatt, nämligen just beräkningsteknisk överföring till hushållen. Som vi har varit inne på tidigare i dag lade Magdalena Andersson och Socialdemokraterna fram en budget som höjde statens utgifter med 120 miljarder kronor under de kommande fyra åren. Av dessa 120 miljarder kronor är det nästan en fjärdedel - nästan 30 miljarder kronor - som man inte har redovisat vad de handlar om. Om vi bläddrar igenom statsbudgeten, som är nästan lika tjock som Bibeln, ser vi att de beräkningstekniska överföringarna bara är nämnda lite kort i några få meningar. Vad regeringen gör är alltså att man höjer skatten med 120 miljarder, och sedan berättar man inte vad man ska använda 30 miljarder till. Det som är ännu märkligare är att även om det inte har nämnts i budgeten har det inte heller nämnts i den allmänpolitiska debatten. Vi vet inte, och vi har aldrig fått veta, vad det är för typ av prioriteringar som regeringen tänker göra med detta. Det är problematiskt utifrån många perspektiv, inte minst ett demokratiskt perspektiv, att väljarna inte har fått en tydlig chans att ta ställning till vad det här faktiskt handlar om. Jag är orolig för att pengarna ska användas som en buffert för att hantera ett ökat utanförskap till följd av regeringens föreslagna politik som går ut på att bygga ut bidragssystemen. Hela den politiska debatten under de senaste 10 eller kanske till och med 15 åren har handlat om hur den tidigare socialdemokratiska regeringen under Göran Persson, som Magdalena Andersson var en del av som statssekreterare, systematiskt försökte slussa ut människor från arbetsmarknaden in i förtidspension och sjukskrivning.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Alliansregeringen jobbade idogt med att få tillbaka de människorna till arbetsmarknaden så att de kunde få en ny chans. Nu har den socialdemokratiskt ledda regeringen lagt fram ett antal förslag som med stor sannolikhet kommer att bidra till ökat utanförskap. Det handlar om höjd a-kassa, som innebär att det för många inkomstgrupper inte lönar sig att arbeta, och inte minst om att den bortre tidsgränsen i sjukförsäkringen tas bort. I budgeten står det att det kommer att kosta hundra miljoner det första året. Men eftersom det nämns som den enda förklaringen till de beräkningstekniska överföringarna är det tydligt att finansministern ser framför sig att fler och fler kommer att hamna i långtidssjukskrivning och passera den bortre gränsen. Då är vi alltså tillbaka på ruta ett. Det är en medveten politisk inriktning att slussa ut människor från arbetsmarknaden in i sjukskrivningen. Det är det man tar höjd för. ","M"
"Magdalena Andersson","Herr talman! Fredrik Schulte har livlig fantasi. Det är oerhört positivt; det blir spännande debatter då. Jag vill vara mycket tydlig: Vi kommer att precisera vad vi kommer att använda resurserna från den beräkningstekniska överföringen till, senast i samband med budgetpropositionen för 2016. Inriktningen för regeringens politik är tydlig. Det handlar om att fler ska jobba, inte minst att fler ungdomar ska jobba och plugga i stället för att gå långtidsarbetslösa. Det handlar om reformer för att stärka rättvisan och minska klyftorna i landet. Och det handlar om viktiga framtidsinvesteringar för att modernisera Sverige, till exempel investeringar i infrastruktur eller grön klimatomställning. Fredrik Schulte säger att han inte känner till att beräkningsteknisk överföring har förekommit som begrepp tidigare. Det har det. I början av 2000-talet använde den dåvarande socialdemokratiska regeringen beräkningsteknisk överföring i budgetpropositionerna vid flera tillfällen. Det är alltså ingen nyhet. Det handlar om att vi har större inkomster än vi har preciserat reformer för i budgeten. Då är det bättre att redovisa för riksdagen att vi avser att använda resurserna till reformer än att redovisa det som att regeringen inte avser att använda dem. Vi kommer att använda dem eftersom vi ser stora behov av att investera i Sverige. Vi behöver komma till rätta med arbetslösheten, komma till rätta med klimatomställningen, se till att vi får fungerande infrastruktur och se till att fler ungdomar får möjlighet till högre utbildning, för att nämna några viktiga reformer. ","S"
"Fredrik Schulte","Herr talman! Jag anklagades för att ha livlig fantasi, eller det kanske till och med var en komplimang. Jag tycker dock inte att just den slutsatsen kräver särskilt livlig fantasi. Det var nämligen precis så här ni gjorde under slutet av 90-talet och början av 2000-talet, Magdalena Andersson. Ni slussade systematiskt ut människor från arbetsmarknaden. Eller förnekar du det? Förnekar du att Göran Perssons regering, som du själv arbetade i, fattade ett inriktningsbeslut för Arbetsförmedlingen som innebar att man efter ett år i utanförskap, i arbetslöshet eller sjukskrivning, automatiskt skulle prövas för förtidspension? Förnekar du att 150 000 människor förtidspensionerades under er tid vid makten, under slutet av 90-talet fram till 2006? Förnekar du att Sverige då, liksom nu, hade världens friskaste folk men fick samtidigt världens mest sjukskrivna folk?   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Uppenbarligen berodde det på att man förde en medveten och systematisk politik för att slussa ut människor från arbetsmarknaden. Vi talade tidigare om arbetslösheten och att den ökade under Alliansens tid vid makten. Det berodde framför allt på att vi kämpade för att få tillbaka de människorna till arbetsmarknaden. 150 000 personer kom också tillbaka till arbetsmarknaden. Det är klart att det är tufft för många av dem att, efter mångårigt utanförskap, få en ny chans och få ett jobb. Om jag nu har sådan livlig fantasi, undrar jag om du menar att det inte har hänt? Gjorde ni inte så under er tid vid makten? Och tar ni inte tydliga steg i samma riktning nu när ni säger att man ska ta bort det regelverk som vi har infört och som har säkerställt att sjukfrånvaron inte har skenat? Resultatet av er politik när ni styrde var en massiv ökning både av personlig kostnad för alla människor som fastnade i utanförskap och bidragsberoende och en enorm statsfinansiell konsekvens för Sverige. Vi hade tidigare hundratals miljarder mer i kostnader för förtidspensioner och sjukskrivningar. Och när regeringen nu vill anslå en inriktning för att gå tillbaka till delar av det gamla regelverket är det också naturligt att fler människor, precis som tidigare, kommer att fastna i långvarig sjukskrivning och få det ännu tuffare att ta sig tillbaka till arbetsmarknaden. Det krävs alltså inte särskilt livlig fantasi för att se detta framför sig. Ni har samtidigt satt ett ambitiöst mål om att Sverige ska ha den lägsta arbetslösheten i Europa år 2020, utan att presentera en enda konkret åtgärd för att det ska bli fler jobb i den privata sektorn. Ni måste hantera det på något sätt, och det ligger i farans riktning att det helt enkelt blir genom att ändra om i statistiken och dölja arbetslösheten i form av sjukskrivningar. En annan intressant fråga som vi debatterade för bara tio minuter sedan och som det kan vara värt att reflektera över är om vi skulle kunna klara överskottsmålet. Ja, här har vi ett förslag! Kan vi inte försöka använda de beräkningstekniska överföringarna till att minska underskotten? ","M"
"Niklas Wykman","Herr talman! Det var länge sedan Sverige hade en finansminister och en statsminister som gjorde olika offentliga bedömningar av läget för svensk ekonomi och läget i de offentliga finanserna. Det var inte riktigt lika länge sedan vi hade en regering som lade stor prestige i att tricksa så mycket som möjligt med statistiken. Den förevarande socialdemokratiska regeringen lyckades nämligen inte med någon jobbtillväxt. Men genom att omdefiniera begrepp och hur människor skulle klassificeras i olika system lyckades de pressa ned arbetslösheten under korta perioder, till priset av ett växande utanförskap som bet sig fast. Överföringar till hushållen på teknisk grund är ingen nyhet, vilket Magdalena Andersson meddelar. Det är väl det som är själva problemet, att det inte är någon nyhet. Den här typen av politik, där man öppnar spärrarna i systemen och gör det enklare att försörja sig på olika former av transfereringar och bidrag och svårare att etablera sig på arbetsmarknaden, har prövats tidigare. Och resultaten känner vi väl till.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det var den här typen av åtgärder som användes när Magdalena Andersson var med och designade systemen. De byggde på att förbättra fernissan i statistiken offentligt men att inte strukturellt se till att Sverige fick fler arbetstillfällen. Nu ser vi igen att man ska omklassificera människor i stället för att skapa reformer som gör att jobben kan växa till och bli fler. Då handlar det om att få bättre statistik utan att arbetstillfällena blir fler. Det får man genom att kalla människor i sysselsättning för något annat än vad de är eller genom att se till att människor lämnar arbetskraften. Herr talman! Det är ingen slump att Socialdemokraterna i sin retorik så mycket som möjligt värjer sig mot att använda internationellt gångbara begrepp för att mäta hur ett samhälle mår. Man försöker att prata så lite som möjligt om arbetskraftsdeltagande, om sysselsättning och om sysselsättningskrav. I stället försöker man att tala så mycket som möjligt om arbetslöshet, därför att arbetslöshet är ett begrepp som är enklare att manipulera med politiska styrmedel, hur hög den siffran än är. Det är därför som Magdalena Andersson och Socialdemokraterna alltid vill prata om arbetslöshet och mer sällan om sysselsättningskrav eller arbetskraftsdeltagande. Det är givetvis därför som Magdalena Andersson och regeringen har dragit tillbaka uppdraget till SCB om att det ska finnas ett sysselsättningsmål. I stället har man relativa mål för arbetslöshet och jämför dem med andra länders mål i stället för att ha egna självständiga uppfattningar som gäller för Sverige. Då kan man pressa upp utanförskapet, vilket är det underliggande målet i den socialdemokratiska politiken, att göra fler beroende av de offentliga försörjningssystemen och samtidigt prata om en lägre arbetslöshet, trots att det de facto inte är fler människor som arbetar. Det är en cynisk politik därför att den drabbar människor och i förlängningen drabbar den ekonomi, tillväxt och möjligheterna att finansiera en stark välfärd. Men i politiska tal kan man givetvis framstå som framgångsrik. Man sätter upp ett mål som man vet att man kan nå genom manipulation i stället för genom riktiga åtgärder. Det sättet är ohederligt. Magdalena Andersson meddelade detta, och det är ingen nyhet, och det är det som är själva problemet. Det var genom den här typen av politik som Magdalena Andersson var med och byggde upp ett rekordhögt utanförskap i Sverige som växte i stället för att krympa i goda tider. Alliansregeringen pressade ned detta utanförskap med ungefär 200 000 personer. Nu ser vi att det ökar igen. Dessutom ser vi att ni lägger fram förslag på kammarens bord som kommer att bidra till att detta utanförskap ökar. Det är en mycket olycklig inriktning för Sverige som långsiktigt kommer att försvaga våra möjligheter att finansiera en stark välfärd och bereda alla människor möjlighet att delta på arbetsmarknaden.  ","M"
"Monica Green","Herr talman! Här har vi hört två moderater. Den ene har ingen aning om att denna budgetpost har använts tidigare. Den andre säger att det är så fruktansvärt eftersom den har använts tidigare. Det här är två moderater som har helt olika syn på den tidigare budgettekniken.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag är glad över att människor såg igenom den kalla, cyniska borgerliga politiken. Men jag beklagar att Moderaterna, Sverigedemokraterna, Centern, Folkpartiet och Kristdemokraterna tillsammans röstade ned vår budget med en expansiv politik där allting var finansierat krona för krona. Budgeten innehöll investeringar och underhåll av järnväg, bostadsbyggande, införande av en 90-dagarsgaranti och en satsning på att få ned ungdomsarbetslösheten.  Det är cyniskt och kallt att vi har borgerliga ledamöter i den här kammaren som inte vill pressa ned arbetslösheten. I stället påstår de att det är bättre att sänka skatterna än att göra investeringar till exempel i välfärden och underhåll till ensamstående föräldrar så att de kan få näsan ovanför vattenytan. Det är cyniskt och kallt att man vill ha en fortsatt barnfattigdom i det här landet. Jag beklagar det verkligen. Vi socialdemokrater vill se till att vi återigen kan pressa ned arbetslösheten. Men vi ska genomföra det på ett sådant sätt att människor har möjlighet att komma tillbaka till arbetet eller ta de nya jobb som kommer till. Då behövs det satsningar på arbetsmarknadsutbildningar och andra tydliga investeringar. Men det har den tidigare borgerliga regeringen, borgerliga ledamöter och sverigedemokrater röstat ned. Att borgerliga ledamöter så tydligt är emot ett trygghetssystem kanske inte är så konstigt. Den borgerliga politiken går ju ut på att hungriga vargar jagar bäst. Man ska inte ha någon hjälp över huvud taget. Det är bara de starkaste som överlever, och sedan skiter man i de andra. Det är den synen som man som borgerlig politiker har, men det leder till stora skillnader i landet och till ökad arbetslöshet. Det som inträffade när jobbstoppet infördes 2008 berodde inte bara på en internationell lågkonjunktur utan det berodde också på att den dåvarande borgerliga regeringen hade förstört tryggheten för människor. Människor var oerhört rädda. Rädda människor vågar mindre. Trygga människor vågar mer. Men ersättningen halverades när man tvingades till arbetslöshet - arbetslöshet är ju ingenting som man väljer, som de borgerliga politikerna försöker påstå. Om inte taket i a-kassan höjs kan det leda till halverad ersättning vid arbetslöshet.  Det är någonting som de borgerliga politikerna inte verkar ha en aning om. De känner inte någon som är arbetslös. De känner ingen ensamstående förälder som har det jättetufft ekonomiskt. De känner inte heller någon som är svårt sjuk och som drabbas av stupstocken. Jag beklagar att det finns så cyniska och kalla borgerliga politiker. Jag hoppas att det blir som väljarna ville, nämligen att vi ska kunna styra med vår politik så att vår budget så småningom går igenom. Då kan vi satsa på en offensiv politik med trygghet, vi kan satsa på kommunerna, satsa på välfärden och stå upp för de svaga människorna igen. På det sättet kan man också pressa ned arbetslösheten. ","S"
"Hanif Bali","Herr talman! Någon gång får det vara slut på floskelbiblioteket, Monica Green. Det är faktiskt inte acceptabelt att fara med så stor osanning som du gör.  Egentligen borde jag tacka dig för bilden som du målar upp av att vi borgare är onda gubbar i hatt och monokel som vill förstöra Sverige och välfärden. Det är ju fullständigt barockt.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Så länge som du fortsätter med denna svartmålning av oss kommer väljarna att inse att du är helt ute och cyklar.  Vi har styrt Sverige i åtta år, och man har fortfarande en allmänt finansierad sjukvård, en allmänt finansierad skola. Nästan allting i det här landet är allmänt finansierat. Ändå vill du måla upp bilden av att vi är tillbaka till ett 1700-talssamhälle. Det är fullständigt verklighetsfrämmande. Jag förstår inte vad du vinner på att svartmåla på det sättet. Är det vad er samarbetsregering handlar om? Ni vill samarbeta med oss genom att kalla oss cyniska, hårda, kalla, elaka och onda. Är det vad samarbetet går ut på? Då är det inte en utsträckt hand, utan då är det ett långfinger. Är det det som Socialdemokraterna menar? Någon ordning och reda får det väl vara, Monica Green. ","M"
"Magdalena Andersson","Herr talman! Jag vill bara stilla notera att Hanif Bali använde väldigt många adjektiv som Monica Green inte använde. Niklas Wykman talade om att omklassificera människor. Då vill jag börja med att säga - och det har jag sagt tidigare - att jag tycker att det stora antalet personer som förtidspensionerades under den tidigare socialdemokratiska regeringen var ett av de stora misslyckandena för den regeringen. Är det någonting som vi socialdemokrater har lärt oss är det att det inte var ett bra sätt att arbeta på. Det är också därför som vi har satt upp vårt arbetslöshetsmål på ett helt annat sätt jämfört med hur det var formulerat på den tiden. Nu har vi ett tydligt mål för arbetslösheten, och samtidigt säger vi att vi måste följa både sysselsättningsgrad och antalet arbetade timmar. Man måste titta på alla tre faktorer. Problemet med den tidigare borgerliga regeringens sysselsättningsmål var att man fokuserade bara på sysselsättningen. Man ville inte fokusera på arbetslösheten och antalet arbetade timmar. Då blev det som vi nu ser, att man får en väldigt hög arbetslöshet och att man hade inte tillräckligt fokus på långtidsarbetslösheten. Det är därför som vi har så många långtidsarbetslösa människor, inte minst när det gäller unga. Vi har så stor ungdomsarbetslöshet att vi till och med får krisstöd från EU. Det är lätt att nå ett sysselsättningsmål genom att till exempel bara dela på jobben utan att det ger någon ytterligare arbetad timme. Därför är det viktigt att ha fokus på alla tre frågorna, och det är på så sätt som vi kommer att följa arbetsmarknaden framöver. Omklassificera människor kan man göra på andra sätt, till exempel genom att utförsäkra dem. Man kanske ska vara lite försiktig med att använda det begreppet när man är moderat, för det är precis det ni gör, utförsäkrar människor från sjukförsäkringen och omklassificerar dem på så sätt. En del dyker upp igen hos Arbetsförmedlingen, eller så dyker de åter upp i sjukförsäkringen, medan andra tappas bort på vägen och står då helt utan försäkring. Därmed är de borta ur statistiken. På så sätt kan man minska utanförskapet. När jag lyssnar på Fredrik Schulte och hans oro för sjukförsäkringen de kommande åren vill jag bara stilla påminna om hur utvecklingen för sjukskrivningarna varit under den borgerliga regeringen. I början sjönk de, vilket var positivt. Det var en fortsättning på den trend som hade varit under de sista åren med den socialdemokratiska regeringen, före 2006. Sedan vände det 2010, och därefter ökade sjukskrivningarna 2010, 2011, 2012, 2013 och 2014. Det är facit av den borgerliga regeringens sjukförsäkringspolitik.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fredrik Schulte, Niklas Wykman och Hanif Bali kan vara alldeles trygga. Vi kommer att använda den beräkningstekniska överföringen på offensiva satsningar. Vi kommer att använda pengarna på att ungdomar - de ungdomar som sitter på läktaren och lyssnar - ska få möjlighet till arbete, kunna flytta hemifrån, ta sig till jobbet med fungerande kollektivtrafik. Flera kanske vill gå en högre utbildning. Vi vill att fler ungdomar ska gå en högre utbildning än de som får möjlighet i dag. När det gäller utbildning på högskola stoppades tyvärr vår budget vad gällde den nivå som vi ville ha. Vi ser behov av viktiga klimatinvesteringar för att ställa om Sverige. Vi ser också behov av viktiga investeringar för att göra Sverige till ett mer rättvist samhälle där vi minskar klyftorna och tar hand om varandra. Det är till det vi kommer att använda resurserna i den beräkningstekniska överföringen. Exakt hur de fördelas kommer vi att berätta senast i samband med budgetpropositionen. ","S"
"Fredrik Schulte","Herr talman! Som vi varit inne på finns det två sätt att minska arbetslösheten. Det ena sättet är att skapa fler jobb, alltså ingenting konstigt. Om vi tittar på de senaste 30 åren, sedan 1984, ser vi att en halv miljon nya jobb har skapats. Av den halva miljonen nya jobb har ungefär 340 000 tillkommit under de senaste åtta åren då Alliansen styrt. Det är värt att tänka på. Det andra sättet att minska arbetslösheten är att dölja den. I stället för att människor går arbetslösa gör vi om dem till förtidspensionärer eller till sjukskrivna. Det var precis det som Göran Persson gjorde. Man trollade med siffrorna och flyttade människor från att vara arbetslösa till att vara förtidspensionerade och sjukskrivna. Det var så man gjorde. Magdalena Andersson anklagade mig för att ha livlig fantasi när jag ställde frågan till henne; jag fick inget svar. Det var precis så man gjorde, och nu pekar allting på att man går längs samma väg igen. De absolut största satsningar som Socialdemokraterna föreslår i sin budget handlar om att höja bidragen för dem som inte jobbar. Den arbetslöse börsmäklaren kommer att få 5 000 kronor mer i månaden i bidrag, så mycket mer att han nu kommer att tjäna mer på att inte jobba än vad den 19-åriga servitrisen får i lön för att slita 40 timmar i veckan. Man tar bort den bortre gränsen i sjukskrivningen, vilket gör att fler och fler människor kommer att fastna i långtidssjukskrivningar. Sedan har man en stor budgetpost som man inte berättar vad den ska användas till. Jo, de pengarna ska användas till att betala ut bidragen till alla de människor som kommer att fasta i bidragsberoende. ","M"
"Niklas Wykman"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Lika lite som jag tycker att det hedrar finansministern och regeringen att man från finansministerns och statsministerns håll ger olika beskrivningar av läget i svensk ekonomi och läget i de offentliga finanserna lika mycket tycker jag att det hedrar finansministern att hon erkänner de stora politiska snedsteg man gjorde fram till 2006, då Magdalena Andersson tillsammans med Göran Persson och andra var ansvariga för politiken och byggde upp det som blev en av vår tids största samhällsutmaningar, nämligen det mycket stora utanförskapet. Socialdemokraterna lämnade efter sig ett rekordstort utanförskap. Människor ville och kunde arbeta, men på grund av politiska strukturer och regler tilläts de inte att etablera sig på arbetsmarknaden. Det ledde givetvis till att vi hade mycket svårt att klara av de åtaganden som ligger inom välfärden, att finansiera skolan och att finansiera sjukvården. Det gjorde att många människor kände att de inte kom till sin rätt, inte fick vara med i samhällsbygget och inte fick det bra liv som de ville ha, detta på grund av den politik som Magdalena Andersson var med och byggde upp. Det tråkiga är dock, nu när erkännandet har kommit, att man väljer att åter slå in på samma väg. Nu ska spärrarna i systemet öppnas upp, nu ska dammluckorna öppnas och möjligheten att åter fastna i de långa utanförskapscyklerna återinföras i politiken. Varför ska du göra det, Magdalena Andersson, när du erkänner att det var ett misslyckande att inte ha spärrar i systemen? Nu säger du att man ska ta bort spärrarna i systemen igen. Ifall spärrarna sedan med nödvändighet leder till förtidspensionering eller andra typer av utanförskap är det fortfarande lika illa. Dessutom tror jag att det är vilseledande - det är i viss mån den debatt vi ska ha här senare under eftermiddagen - att kalla någonting för en beräkningsteknisk överföring till hushållen och samtidigt stå här och berätta att den kan innehålla såväl miljösatsningar som satsningar på infrastruktur. Det blir mycket förvirrande, tror jag, för den allmänhet som försöker ta del av vad du egentligen tänker göra av med pengarna på. Det mest troliga är trots allt att de går till mer utanförskap. ","M"
"Monica Green","Herr talman! Jag får väl säga var så god till den som ville ha tydliga skillnader i debatten.  Jag ska förtydliga det jag sa. Jag sa aldrig att ni inom Alliansen var elaka. Jag tror nämligen att ni vill väl. Ni tror på er modell, så att säga. Jag ska inte förminska det. Ni tror att det fungerar att göra det sämre för sjuka och arbetslösa. Ni tror på den modellen. Jag tror er när ni säger att ni vill människorna väl. Problemet är bara att ni har misslyckats. Både sjukskrivningarna och antalet arbetslösa ökar. Alltså är det ett bevis på att er modell inte fungerar. Trots att ni har goda ambitioner, vilket jag faktiskt tror att ni har, har ni fel recept för att lösa det hela, och det är problemet. Det jag menar är cyniskt och kallt är att när människor som är sjuka får ersättning från en sjukförsäkring kallar ni det för bidrag, och när människor drabbas av arbetslöshet och får arbetslöshetsersättning kallar ni det för bidrag. Allt det säger ni svepande och talar om dammluckorna som öppnas. Det är cyniskt och kallt.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Därmed har jag förtydligat mig i den frågan, och jag hoppas att åtminstone några har velat förstå det. Sedan gällde det jobben. Vi ska ha klart för oss en sak, nämligen att 2006 tillkom 187 000 nya jobb. År 2007 tillkom hälften så många, det vill säga 80 000 nya jobb. Vad hände 2008? Enligt Anders Borg var det då den borgerliga politiken började gälla, och det var också då som jobbstoppen kom. ","S"
