"Gustav Fridolin"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Finn Bengtsson har frågat mig vilket besked jag har att lämna till elever, medarbetare, företagare och företagsfinansiärer inför den ovisshet och oro som dessa måste känna inför det förslag om bemanningskrav som ska läggas 2016. Interpellanten undrar även om jag inte ser några problem med en tidshorisont på minst två år innan klara besked kan ges. Frågan är ställd med anledning av den överenskommelse som vi regeringspartier har träffat med Vänsterpartiet om synen på vinster i välfärden. Regeringen avser att tillsätta en utredning som bland annat ska överväga bemanningskrav som reglerar att privata aktörer inte kan dra ned på personaltäthet eller personalkostnader. En sådan reglering kan enligt regeringens uppfattning komma att begränsa möjligheterna att göra vinst inom välfärden. På så sätt säkerställs att skattemedel som är avsedda för skolan faktiskt används i verksamheten för att bibehålla och öka kvaliteten i stället för att generera vinst till ägare av skolföretag. Inom Friskolekommittén var vi överens med allianspartierna om att Skolinspektionen i sin tillsyn särskilt ska analysera lärarresursen, om det finns återkommande brister som på ett påtagligt sätt påverkar förutsättningarna för eleverna att nå kunskapsmålen. Om bristerna kan kopplas till tillgången på lärare eller hur de används i undervisningen bör Skolinspektionen i ett föreläggande ange hur bristerna kan åtgärdas inklusive förändringar i lärarresursernas storlek eller disposition. Att den nya utredning vi har aviserat även ska överväga bemanningskrav för att minska risken för att privata utförare inom välfärden håller nere på kvaliteten genom besparingar på personal ligger i linje med sexpartiöverenskommelsen inom Friskolekommittén. ","MP"
"Finn Bengtsson","Fru talman! Låt mig först gratulera Gustav Fridolin till utnämningen till utbildningsminister och även tacka honom för det svar han just har avgivit. En av mina frågor rörde om ministern inte ser några problem med den ovisshet och den oro som alla berörda i skolvärlden måste hysa för en ny utredning som verkar dra frågan i långbänk över flera år när det nu redan sedan 2012 finns en av alliansregeringen tillsatt så kallad ägarprövningsutredning, som kommer att landa fortare och som också belyser den frågeställning som den nya utredningen skulle titta på men utan att knyta den till vinsten i första hand utan till kvaliteten, vilket är ledordet för dagen. Denna oro berör Gustav Fridolin inte med ett enda ord i sitt interpellationssvar, vilket jag tycker är ytterst märkligt när nu han och Miljöpartiet för första gången har tagit steget in i regeringen och, förmodar jag, vill att svenska folket ska känna att de har ett starkt engagemang för sådant. Som minister måste man förstå denna oro och visa medkänsla, men jag tycker inte att Gustav Fridolin gör det genom det uteblivna svaret. I den nyliga överenskommelsen mellan regeringen och Vänsterpartiet, som kallas Välfärd utan vinstintresse, står det bland annat att läsa följande: \"Ett bemanningskrav som reglerar att privata aktörer inte kan dra ned på personaltäthet eller personalkostnader kommer att starkt begränsa möjligheten att göra vinst i välfärden.\" Man kan ställa detta mot vad till exempel en av världens ledande forskare, Stanfordforskaren Eric Hanushek, har beräknat. Han beräknade år 2010 att elever som har en lärare som tillhör den dugligaste fjärdedelen på en skola lär sig tre gånger så mycket på samma tid som elever som har en lärare som tillhör den mindre dugliga fjärdedelen.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Sann valfrihet kräver en mångfald av aktörer som i sin tur tävlar om att uppnå högsta kvaliteten för att vinna både elevers och föräldrars gunst. Då kan olika nya och innovativa sätt att organisera arbetet, bland annat beroende på den lärarstab man anställer, för att skapa bättre kvalitet till lägre kostnad uppstå.  Om nu ett skolföretag förbjuds att fungera på något annat sätt än kommunalt drivna enheter faller själva grunden för att etablera och utveckla verksamheten, oavsett om vinst genereras eller inte.  Kravet på bemanning i lag förutsätter jag måste komma att inrikta sig på en numerär och inte en faktisk förmåga som exempelvis de enskilda anställda lärarna har för något sådant. Det förefaller då egentligen omöjligt att reglera det i en lagstiftning. Om nu ett företag bedriver kvalitetsmässigt bra utbildningsverksamhet mot bakgrund av de forskningsresultat om lärares ofta olika förmåga att undervisa som jag nyss nämnde, är det då inte detta som är det viktiga för eleverna och föräldrarna? Om sådana företag inte förmår men i lag ska tvingas utöka sina lönekostnader för att tillfredsställa lagen och då kanske måste avveckla sin verksamhet, hur möter utbildningsministern ett sådant företag, dess anställda, elever och elevernas föräldrar? Det var min fråga. Att hänvisa till att detta ska utredas några år framåt i tiden med osäkert och kanske hotfullt resultat duger inte för att stilla den oro och ovisshet som råder för över 55 000 personer på nästan 500 fristående förskolor och skolor i Sverige i dag dit över 300 000 barn och elever går varje dag. Det duger helt enkelt inte att utbildningsministern inte ens kommenterar den oro som jag tror att dessa individer känner. ","M"
"Hillevi Larsson","Fru talman! Jag tror att det även finns en annan oro, som kanske egentligen är större, och det är oron för barnens skola. Det finns ett tydligt samband mellan personaltäthet och kvalitet i undervisningen. Därför har vi gått fram med att vi snarare vill öka personaltätheten. Det handlar inte bara om att ta bort övervinsterna i välfärden, utan det handlar även om att i den vanliga, offentliga skolan ta bort de jättestora klasserna där man inte ser barnen och kan hjälpa barn med särskilda behov. Det ena utesluter heller inte det andra. Man kan ha både bra lärare och hög personaltäthet. Det är inget som står i motsatsställning till varandra utan snarare tvärtom. Det är också ett sätt att ta vara på de bra lärarna, så att de inte blir utbrända. Det är många som har blivit det under dessa år av nedskärningar. Jag ser alltså ingen motsatsställning där. De vinster som har gjorts är inga småpengar. Det är miljardvinster, och det är våra skattepengar som går till dessa vinster. Då är det framför allt personalkostnader som man kan göra vinst på. Genom att minska personalstyrkan blir det mindre kostnader. Därför är detta ett sätt att också effektivt komma åt övervinsterna och de riskkapitalbolag som har gett sig in i välfärden för att tjäna pengar. Det finns en målsättning att de ska stängas ute. Syftet måste huvudsakligen vara att bedriva en bra skola, inte att tjäna snabba pengar.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer JB, John Bauer-koncernen, hade en lägre personaltäthet än vanliga offentliga skolor och gjorde stora vinster. Helt plötsligt stod sedan barnen utan undervisning när man gick i konkurs. Det drabbade också lärarna, som fick söka efter andra jobb. Det fanns också mycket klagomål på undervisningen och att den var för dålig på grund av nedskärningarna på personalstyrkan. Jag tror alltså tvärtom att det här är ett sätt att komma åt de problem vi har haft. Det är inte fel om den här utredningen tar ett tag. Det är ju väldigt viktigt att vi gör det här på ett sätt så att vi verkligen kommer åt problemet och att man inte hittar kryphål i systemet och andra vägar. Men målsättningen är tydlig, och det har tydligt gått ut till elever, lärare och alla som bedriver skolor vad målsättningen och inriktningen är. Sedan får vi se till att det blir ordentligt gjort, så att vi kan få det förverkligat så småningom. Jag tror att den oro som framställs är minst lika stor bland lärare, elever och föräldrar. Det finns en allmän oro i samhället över skolresultaten, som bara har gått ned. Sverige har utmärkt sig på ett negativt sätt. I OECD kan vi se att våra resultat har fallit snabbast.  Detta är inte bara ett sätt att se till att våra skattepengar används på rätt sätt, det vill säga till skolundervisning, utan också faktiskt ett sätt att öka kvaliteten och därmed vända den negativa utveckling vi har sett på senare tid. ","S"
"Sotiris Delis","Fru talman! Detta är mina första ord i Sveriges riksdag, och jag vill gripa tag i möjligheten att påpeka ett antal saker. Jag har gedigen företagserfarenhet när det gäller hur man driver företag och hur man presterar. Där handlar det inte om antalet anställda. Till sist handlar det om vad man levererar, i det här fallet kvalitet i utbildningen. 300 000 elever och deras familjer kan inte ha fel när de utnyttjar möjligheten att välja. För egen del kan jag konstatera att det finns en hel del myter om övervinster i denna sektor. De flesta av skolorna ägs av småföretag, och de flesta av skolorna avkastar ungefär 5-8 procent. Det vore felaktigt att framföra till allmänheten en uppfattning att det finns folk som dels beter sig oärligt i den sektorn, dels faktiskt missbrukar skattepengar. Det är det ena. Det andra är att jag återkommer till den punkten där vi måste fokusera oss och låta bli den politiska klåfingrighet som regeringen ämnar ta till. Det handlar om att styra och skapa en så kallad shadow management, det vill säga att man kommer in och styr, som företagsledare, den verksamhet som pågår i de fria skolorna. Det är en situation som kan kosta väldigt mycket. Dessutom vill jag lyfta upp en intressant aspekt som inte framfördes i detta resonemang, nämligen att ägare till de fria skolorna riskerar en hel del. De går in i verksamheten och finansierar den med hjälp av egna pengar, det vill säga riskkapital. Om de misslyckas leder det till konkurs med oanade och tragiska följder för dem som åtar sig den rollen.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag ska avsluta med att ödmjukt framföra en protest mot den bild som framförs av vissa. Det finns en del personer, individer, företagare som beter sig oärligt. Man utmålar en hel bransch på basis av vissa felaktigheter som har begåtts tidigare av väldigt få. Samtidigt konstaterar man att statens långa arm ska ingripa för att rädda situationen. ","M"
"Gustav Fridolin","Fru talman! Tack, Finn Bengtsson, för gratulationerna till uppdraget! Tack, Hillevi Larsson och Sotiris Delis, för deltagandet i debatten! Särskilt tack till Sotiris Delis för de första orden i den här kammaren och för att du bestämt dig för att dela med dig av dina erfarenheter som företagare också genom ett uppdrag i Sveriges riksdag! Mycket av diskussionen handlar om oro. Jag delar bilden av att det finns en oro. Det finns en stor oro bland föräldrar och elever, såklart. Det är en oro som handlar om att vi inte alltid har gett vårt viktigaste välfärdsuppdrag, att ge våra barn och unga en bra skolgång och en bra start i livet, på basis av att personer och företag har en passion för bildningsuppdraget. Det har uppenbarligen funnits exempel på företag som fått detta förtroendeuppdrag, vårt gemensamma förtroendeuppdrag, från välfärden med syfte att gå in i verksamheten för att tjäna pengar. Vi har sett exempel på företag, utifrån vilka avsevärda belopp har lämnats, där en konkurs lett till att elever och lärare har stått utan vetskap om vad de ska göra efter sommaren. Det finns en oro som handlar om att skattemedel landar i det som de inte var avsedda för. Och det finns en oro som handlar om att om man väljer fel skola leder det till att man får gå på en skola med färre lärare eller sämre betalda lärare, med resultatet att lärarkontinuiteten försämrar kvaliteten. Eller det kan, för den delen, vara en skola med sämre förutsättningar för elevhälsa och annat som skapar kvalitet för eleverna på skolan. Denna oro leder i sin tur till en oro bland de många seriösa och viktiga friskoleaktörer som är med och skapar en mångfald och kvalitet i det svenska skolväsendet. De allra flesta friskolor som drivs i Sverige drivs av passion för bildningsuppdraget. Jag vill gärna använda den här debatten till att tacka alla de friskolor som sliter hårt för att deras elever ska få de bästa förutsättningarna och möjligheterna i livet. Men föräldrarnas oro för vad som hänt med skolväsendet och hur vissa friskoleföretag har betett sig drabbar också dessa friskolor. Det är just därför vi gemensamt måste ta ansvaret att garantera ett grundläggande system som bygger på att alla skolor är bra skolor och att de som får välfärdsuppdraget att driva en skola faktiskt kan visa att de gör detta just av passion för bildningsuppdraget och inte i första hand för att tjäna pengar. För att undanröja den onödiga oron, som man som seriös friskoleföretagare inte ska behöva känna, måste vi kunna garantera föräldrarna att skolvalet inte är en tombola med vinst- och nitlotter utan ett val mellan olika pedagogiska inriktningar, där alla skolor man kan välja är bra skolor. Det är grunden i det arbete som vi har gjort gemensamt i Friskolekommittén och som regeringspartierna har fört vidare med Vänsterpartiet när det handlar om just frågan om vinst i välfärden.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Interpellanten talar om behovet av dugliga lärare. Det leder till frågan: Hur blir man en duglig lärare? Jag skulle vilja säga att det som gör en till en duglig lärare är förutsättningar att ha tid för sitt uppdrag och möjligheten att få jobba länge på en skola och arbeta med ett kollegialt lärande på den skolan. Just det drabbas om vi ger möjligheter för några att tjäna pengar på att ha färre lärare bland eleverna eller sänka lärarnas löner så att kontinuiteten drabbas. Det är bakgrunden till att vi har lagt fram det här förslaget och nu utarbetar förslag om hur vi ska reglera frågorna om bemanning också i förhållande till skolan. Vi är för en mångfald av pedagogiska alternativ, men vi vill garantera att skattepengarna landar i det som de är avsedda för. ","MP"
"Finn Bengtsson","Fru talman! Tack, utbildningsministern, för ytterligare ett inlägg! Jag betvivlar inte alls att Gustav Fridolin vill uppnå bra resultat med skattepengarna i välfärden. Nu är det så att jag vidgar skolans välfärd till att inte bara vara själva innehållet i skolan. Det handlar faktiskt även om när skolor byggs, när man tar fram skolmateriel som vi köper för skattemedel och när vi har skolmaten, inte minst, ersatt av skattemedel. Det handlar om skolskjutsar med mera. Allt detta tillhör välfärdssystemen. Hur skulle det då vara om man till exempel har en kartell när man bygger en skola som inte använder skattebetalarnas pengar på bästa sätt? Jag undrar om man då skulle dra slutsatsen att, som ministern sade, vi har sett exempel på detta, och då måste vi omedelbart lagstifta om hur en skola ska byggas. Det är lite grann i den andan som detta med att lagstifta om bemanning blir ett problem. Det handlar om när politiker, som nämndes här i debatten, är klåfingriga och ska ge sig in och styra verksamheten med lag i stället för med tillsyn och inspektion av kvalitetsmåtten. Det är det som allt detta handlar om. De nya direktiven syftar till att ta fram, i princip, en reglering av bemanningen. Det kan vara så att Gustav Fridolin tycker att det låter rimligt att man får bättre kvalitet om man har fler lärare. Jag säger inte alls emot Gustav Fridolin - så kan det ofta vara. Men man kan titta på forskningen. Det råkar vara så att det inte finns något strikt samband, att det när lärartätheten ökar omedelbart skulle leda till en bättre kvalitet. Det finns faktiskt exempel på tillfällen när det kan vara tvärtom. Detta bygger på de, så att säga, affärsidéer som man har när man startar verksamheter. Man kan även vilja laborera med bemanningen på ett nytt sätt, ett annat sätt än vad kommunalt drivna verksamheter gör. Att det då ska bedömas utifrån kvalitetsutfallet måste vara oändligt mycket viktigare än att komma med lagstiftningsvapnet och tvinga in ytterligare anställningar som kanske inte passar i just den modellen. Lärarna kan kanske komma att jobba på helt nya sätt - vad vet jag? Men detta är det som verksamheten är bäst på att prioritera. Politikerna verkar i de här direktiven gå för långt. Man kan då fundera lite grann. Vi har Ägarprövningsutredningen, som har suttit sedan 2012 och som förhoppningsvis levererar resultat redan nästa år, med tilläggsdirektiv. Ska man ta i beaktande vad den kommer fram till? Jag ställde också en fråga som Gustav Fridolin inte har svarat på. Hur kommer man att hantera svaret från den utredningen? Eller vill man ha den här strikta nya uppdelningen? Bemanningen ska då möjligen komma att lagregleras. Vad kommer konsekvenserna att bli av detta?  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag är säker på att väldigt många kommer att välja att avveckla sin verksamhet om de tvingas till ett bemanningskrav som de inte själva bedömer är realistiskt utifrån den verksamhet som de vill etablera - men de vill ändå leva upp till kvalitetsmåtten, förstås. Ofrånkomligen kommer då mångfalden i valet av skolor att minska. Det finns, som jag sade, 500 företag i dag som arbetar med detta. Majoriteten av dem tar ut förvånansvärt låga egna vinster. De återinvesterar det mesta i sin egen verksamhet. Måste man då komma tillsammans med Vänsterpartiet, som vill utrota detta och monopolisera det tillbaka till offentligdriven verksamhet, med ett krav på att de inte heller ska få ta ut vinst de gånger de behöver det för att kanske etablera en investering och ge en investering ett rimligt utfall, sett ur ett fem- eller tioårsperspektiv? Jag tycker att man har ställt sig inför väldigt tveksamma frågeställningar. Miljöpartiet var ju från början ett parti som var för mångfald och ville ha en bredare möjlighet att etablera ny verksamhet. Nu går man in, som jag tycker, i en väldigt tråkig och ohelig allians med Vänsterpartiet, som har ett helt annat syfte, nämligen att i princip kväsa all denna mångfald. Det är lite synd att utbildningsministern, som jag tror skulle kunna ha väldigt goda chanser att komma fram med en bra politik, bakbinds av att behöva fjäska för Vänsterpartiet. ","M"
"Hillevi Larsson","Fru talman! Det handlar både om personaltäthet och om lärarnas löner. Det har ju varit en stor diskussion om att läraryrket måste upplevas som attraktivt med tanke på hur viktigt jobbet är, och man kan se att läraryrkets status har fallit jämfört med tidigare. Det handlar alltså både om personaltäthet och om personalkostnader. Har man bra lärare och då drar ned på personalkostnaderna drabbar det ju dessa bra lärare, och därför är både personaltäthet och personalkostnader viktigt: Se till att det är tillräckligt många lärare, och se till att de har någorlunda bra betalt för sitt uppdrag. Därför kan jag inte förstå hur man ska kunna bedriva en verksamhet med väldigt få bra lärare när man drar ned så mycket på kostnaderna. Vill man ha bra undervisning kostar det också. Det är ju inte så att det här slår mot all skolverksamhet som inte är helt offentligt driven, för det finns ju väldigt många alternativ där huvudsyftet ändå är en bra utbildning. Men i de riskkapitalbolag vi har sett har huvudsyftet varit snabba vinster där man till och med kanske planerar att sälja verksamheten inom en ganska kort tid och hoppas kunna tjäna ännu mer pengar vid försäljningen. Det är inget långsiktigt bra intresse. Det här handlar om våra skattepengar, och då måste man kunna ställa krav. Kravet är att den privata verksamheten ska vara lika bra som den offentliga. När vi då säger att vi har höga krav på det offentliga när det gäller kvalitet och bemanning ska det såklart gälla även de privata aktörerna så att eleverna där inte får en sämre undervisning. Det här är något som är bra för all skolverksamhet, och jag tror att det framför allt är riskkapitalbolagen som är rädda i den här situationen. ","S"
"Sotiris Delis"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Den här debatten är hårt knuten till aktörernas politiska övertygelse. Vi vill naturligtvis framföra vikten av att inte låta verksamheten styras av politisk klåfingrighet. Vi vill även framföra uppfattningen att den bild som ges av en hel bransch och av väldigt många hårt arbetande i de fria skolorna är felaktigt vinklad och kanske når sitt mål genom att på sikt avveckla just den möjligheten och slå direkt mot medborgarnas fria val. Återigen: Man tar faktiskt en risk genom att gå in och genom lagstiftning styra verksamheten exakt. Man blir en osynlig verkställande direktör i dessa verksamheter, vilket faktiskt inte är riktigt. Däremot har staten en viktig roll att spela genom att minutiöst och noggrant kontrollera kvaliteten man får för dessa pengar. Dessutom kommer det att visa sig att de aktörer som inte presterar strax kommer att vara utan viktig roll i dessa sammanhang med tanke på att både elever och föräldrar kommer att avstå att anlita dessa skolor. Det finns därför en naturlig utveckling i saken. Återigen: Det är felaktigt att gå in så långt och med politisk klåfingrighet styra verksamheterna. ","M"
"Gustav Fridolin","Fru talman! Jag måste erkänna att jag har lite svårt att förstå debatten, för jag upplever att det finns några inkonsekvenser i argumentationen. För det första säger man att det är ett problem att de som driver förskolor känner en oro för sin verksamhet. Men den oron kommer ju av att så många föräldrar och elever känner sig oroliga för vilka skolor de egentligen kan välja och vara trygga med. Vi har ju sett också seriösa friskolor som har drabbats av den bild som några aktörer har lyckats dra ned många friskolor till. När vi nu vill göra någonting åt den oron genom att skapa gemensamma regler som kan ge en trygghet till varje elev och förälder att den skola de väljer faktiskt använder skattepengarna som går in till att ge den bästa möjliga utbildningen till eleverna säger ni att det inte är vettigt att stifta regler. Jag har svårt att förstå det. Vill vi få bort oron för friskoleaktörerna måste vi få bort oron bland föräldrar och elever, och då måste vi ha ett bra regelverk som garanterar att det är seriösa aktörer som driver skolor. För det andra sägs det vara en felaktig bild att tala om att det finns, eller har funnits, aktörer bland friskolorna som inte har betett sig seriöst. Det borde vi inte upprepa. Men om det nu vore en felaktig bild är det väl inget problem att ha regler som garanterar att skattepengarna går till det de är avsedda för. Om alla aktörer i friskolevärlden nu är seriösa kommer de inte att ha några problem att följa dessa regler. För det tredje var det inte så länge sedan vi avslutade arbetet med Friskolekommittén. I den var vi överens - allianspartierna, Socialdemokraterna och Miljöpartiet - om att bemanning är <em>en</em> viktig faktor för att studera kvalitet. Det var ju grunden till att vi lade fram förslag om hur man ska arbeta med just bemanningen när man ser att en skola brister i kvalitet. När vi nu vill föra dessa förslag vidare och låta en utredning i ett större sammanhang fortsätta titta på bemanning är det plötsligt ett stort problem. Jag har svårt att förstå hur det vi kunde vara överens om i Friskolekommittén nu är någonting som vore fullständigt fel att göra.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer De här tre inkonsekvenserna i argumentationen gör att jag har lite svårt att förstå diskussionen, men jag vill tydliggöra en sak och även svara på en fråga. Fru talman! Jag vill tydliggöra att jag och regeringen menar att det inte är en fungerande argumentation att säga att vi kan lita till att vi bara får bra skolor genom att elever väljer bort dåliga skolor. När man väljer skola ska man vara trygg med att man bara väljer mellan skolor som håller bra kvalitet. Det ska inte vara så att man upptäcker i åttonde eller nionde klass att oj, jag har gått på en skola där jag inte fick den tid jag behövde, och nu börjar jag närma mig slutet och kommer inte att ha möjlighet att gå vidare till gymnasiet. Att välja skola är inte som att välja tandkräm. Väljer jag fel tandkräm kan jag välja en ny tandkräm i morgon, men när jag väljer skola gör jag det dels med begränsad information, dels med mycket stora svårigheter att välja något nytt i morgon. Därför måste varje skolvalssystem bygga på att de skolor man väljer mellan gärna har olika pedagogiska inriktningar och gärna står för en mångfald men är bra skolor som garanterar att eleverna får med sig det de behöver i livet. Slutligen, fru talman, kommer självklart den här utredningen att ta vid och studera Ägarprövningsutredningens lämnade förslag. ","MP"
"Finn Bengtsson","Fru talman! Det var ju glädjande att utbildningsministern åtminstone vill lyssna till Ägarprövningsutredningen när den nu landar i någorlunda närtid jämfört med den andra överenskommelsens utredning. Jag tror att Gustav Fridolin och Miljöpartiet möjligtvis blandar ihop två frågeställningar. Den ena är om fler lärare ska anställas. I den frågan tycker jag att vi kan vara överens om att det ska anställas fler lärare. Så kommer den andra frågan: Hur ska lärarna arbeta? Hur ska deras arbetssätt vara? Det är där man med direktiven nu styr en möjlig bemanningsnumerär i stället för att kanske låta arbetssättet variera antalet lärare. Om man tittar lite djupare i PISA-undersökningen framgår där att det inte föreligger någon större anmärkningsvärd lärartäthetsbrist, som ett diskussionsunderlag för de möjligen sämre svenska skolresultaten och prestationerna. De bygger mer på tidigare skolpolitik, gissar jag. Det är också viktigt att i det här läget fokusera på politikens uppgift. Om man vill ha en mångfald med hög kvalitet, precis som Gustav Fridolin sade, med olika pedagogiska inriktningar måste detta komma från dem som arbetar i verksamheten, det vill säga deras sätt att styra arbetet. Sedan ska det finnas en tillsynsorganisation som tittar på kvalitetsmåtten. Gustav Fridolin, eller om det var Hillevi Larsson, sade att de privata alternativen måste vara lika bra som de offentliga. Hur var det med kvaliteten före friskolereformen, när det i princip enbart fanns offentligdriven verksamhet? Hur mycket granskades kvaliteten? Fanns det inte då skolor som kom till korta?  Om det enbart finns en norm och det sedan finns lite olika utfall av den, och det inte finns en tillräcklig tillsyn, kan det under lång tid ha funnits en undermålig offentligdriven verksamhet. Det är den som behöver matchas med en mångfald av andra entreprenörer inom skolverksamheten. ","M"
