"Ylva Johansson","Herr talman! Lars Püss har frågat mig hur jag ser på bemanningsföretagens roll på svensk arbetsmarknad i framtiden och vilka förändringar jag avser att göra.  Jag anser att bemanningsföretag fyller en viktig roll på en flexibel arbetsmarknad som ett komplement vid till exempel vakanser och arbetstoppar. Även i omställnings- och rekryteringssituationer fyller de ett behov.  Jag tycker att det är bra att bransch- och arbetsgivarorganisationen Bemanningsföretagen själv har tagit ansvar för självsanering mot oseriösa företag i branschen genom att införa en auktorisation. Det är dessutom en mycket hög grad av kollektivavtalstäckning bland arbetsgivarna i bemanningsbranschen, vilket innebär en trygghet för de anställda.  Arbetsmarknadens parter har i stor utsträckning reglerat frågor om inhyrning av personal från bemanningsföretag i olika situationer i sina kollektivavtal. Man har till exempel infört bestämmelser om kollektivavtalad förstärkt företrädesrätt och förstärkt facklig förhandlingsrätt med skiljenämnd. Jag ser mycket positivt på det, också för att det visar hur framgångsrik partsmodellen är när det gäller att snabbt hitta nya lösningar på en förändrad arbetsmarknad.  Som jag har förstått det tycker parterna att dessa kollektivavtalslösningar i stort sett fungerar bra. Om arbetsgivare ändå använder bemanningsföretag för att kringgå företrädesrätten till återanställning är det en inskränkning av anställningstryggheten som jag ser mycket allvarligt på. Regeringen fortsätter därför att noga följa utvecklingen och är beredd att i framtiden vidta åtgärder om det skulle visa sig nödvändigt. ","S"
"Lars Püss","Herr talman! Först vill jag tacka statsrådet för hennes svar. Det är positivt att vi verkar ha en samsyn när det gäller att bemanningsföretagen fyller en viktig roll på den svenska arbetsmarknaden.  Men bemanningsföretagen fyller inte bara en viktig roll när det gäller vakanser och arbetstoppar. De är också en viktig inkörsport för unga och utrikes födda, vilka är viktiga grupper för oss att fokusera på. Därför tycker vi att det är viktigt att branschen får klara besked om vad som gäller, en bransch som i dag har 70 000 årsanställda och 135 000 sysselsatta. Det är 70 000 heltidstjänster som jag tycker att vi ska vara mycket rädda om. Det handlar om att ge dessa företag rimliga förutsättningar att verka och utvecklas, så att dessa jobb finns kvar även i framtiden. Det är nämligen mycket tydligt att om bemanningsföretagen skulle försvinna skulle det inte innebära att dessa arbetstillfällen skapas i kundföretagen. Enligt en färsk undersökning skulle endast vart femte företag välja att fastanställa. Det skulle innebära att 56 000 heltidstjänster försvinner. Det är betydligt fler arbetstillfällen än vad som finns i hela min hemkommun Halmstad. De rödgröna talar ofta om formerna på arbetsmarknaden men sällan om hur jobben ska växa till. Vi tycker att det är viktigt att tala om både och. Det som är mest oroande är att man på vänsterkanten uppenbarligen inte alls är överens, förutom om en sak, nämligen att inte ha någon politik för hur jobben ska växa till. Det mesta av er politik verkar snarare handla om hur man ska göra det svårare att skapa jobb och dessutom ta bort jobb som redan finns. RUT-avdraget ska försämras och arbetsgivaravgiften för unga ska höjas, för att nämna några. Det är insatser som har lett till att människor som står långt från arbetsmarknaden får en chans att ta sig in på den. I opposition var Socialdemokraterna gång på gång tydliga med att det krävs lagändringar som reglerar hur och när bemanningsföretag får anlitas. Nu meddelade statsministern i den senaste partiledardebatten att det inte behövs några regleringar om inte parterna vill ha det. Vilken är den stora förändring som skett sedan valet som motiverar Socialdemokraternas omsvängning? Vad har vi att vänta av den nya regeringen på området egentligen?  Det är därför jag blir förvånad över det faktum att statsrådet ändå är så positiv som hon är i dag. Tyvärr väljer hon fortsatt att inte ge ett tydligt besked när det gäller min fråga. Det borde vara självklart att försöka utveckla branscher genom att ge dem tydliga spelregler. Osäkerhet bidrar inte till att det skapas fler jobb. Att inte ge besked om framtiden för de 135 000 människor som totalt är sysselsatta i branschen tycker inte jag är en speciellt ansvarsfull politik. ","M"
"Ylva Johansson","Herr talman! Lars Püss slåss lite mot väderkvarnar här, tror jag. Jag har inga som helst planer på att förbjuda bemanningsföretag eller ge mig på bemanningsbranschen. Bemanningsföretagen spelar en viktig roll på svensk arbetsmarknad. Det är min bedömning att de kommer att fortsätta att göra det. Jag tror också att den rollen kommer att växa. Jag tycker att de spelar en viktig roll för att vi ska kunna klara en flexibilitet på arbetsmarknaden. Regeringen har inga planer på att förbjuda bemanningsföretag. Detta är faktiskt att slåss mot väderkvarnar. Regeringen tycker dock att det är viktigt att spelreglerna på arbetsmarknaden upprätthålls. En sådan viktig spelregel är företrädesrätten vid återanställning. Jag antar att Lars Püss delar uppfattningen att det är en viktig spelregel, som ju också regleras i LAS, att man har rätt till företräde vid återanställning under förutsättning, förstås, att man har rätt kompetens för jobbet. En utredning har undersökt hur vanligt det är att man kringgår detta med hjälp av bemanningsföretag och kommit fram till att det inte är vanligt förekommande. Det är glädjande. Många har reglerat detta i avtal. Men det är inte bara sol. Det finns fackliga organisationer som säger att det i deras bransch förekommer att man kringgår företrädesrätten vid återanställning. Journalistförbundet är ett förbund som har pekat på detta problem. Naturvetarna är ett annat. Transportarbetareförbundet är ett tredje. Regeringens huvudinriktning är att det är bra när saker och ting kan regleras av arbetsmarknadens parter, vilket också statsministern gav uttryck för här i kammaren. Det är därför jag också i mitt svar säger att det är vår huvudinriktning. Men det är klart att vi följer frågan. Vi vill nämligen inte se ett missbruk där man kringgår företrädesrätten vid återanställning.  Vi ser också bedömningen att det i dag, enligt den utredning som är gjord, inte är något stort problem. Men vi följer frågan noga. ","S"
"Lars Püss","Herr talman! Jag tycker att det är fantastiskt positivt att få ett så klart besked. Men det gör mig ändå lite orolig. Den senaste budgetpropositionen hade väldigt tydliga spår av Vänsterpartiets politik. Den politik som Vänsterpartiet förespråkar i de här sammanhangen är att vi ska förbjuda bemanningsföretag. Det är därför jag känner en viss oro när jag hör det här svaret. Är det verkligen så? Det var samma sak under valrörelsen. Det kom saker i budgetpropositionen som ni inte gick till val på, som inte var er politik men som var tydlig vänsterpolitik. Är det här också ett sådant område som ni är beredda att förhandla om? Ska ni då helt plötsligt föra Vänsterpartiets politik i stället för er egen? Vi har pratat om arbete i dag och om hur vi skapar riktiga arbeten. Vi har pratat om integration. Vi har pratat om unga. Det är just det som bland annat den här branschen ordnar åt oss på ett mycket föredömligt sätt. Det är 66 procent fler utrikes födda i bemanningsföretagen än i övriga branscher i landet. Jag tycker att det är jätteviktigt att lyfta fram det. ","M"
"Fredrik Schulte","Herr talman! Jag skulle som föregående talare vilja säga att det är väldigt positivt att arbetsmarknadsministern är tydlig i sitt försvar av bemanningsbranschen. Som Lars Püss påpekade är det ju en bransch som Vänsterpartiet vill förbjuda. Det är en bransch som är väldigt viktig. Det är ungefär 70 000 personer som jobbar i bemanningsbranschen. Mer än 60 procent är under 24 år. Det här är ett väldigt bra sätt för unga människor att komma in på arbetsmarknaden, inte minst som alternativ till den problembeskrivning som vi fick höra tidigare i kväll från arbetsmarknadsministern med flera - problemet med visstidsanställningar som missbrukas. Däremot är det som det engelska ordspråket säger: Everything before the but is bull. Det är lite symtomatiskt hur arbetsmarknadsministern och Socialdemokraterna i första ansatsen kan säga: Jo, bemanningsbranschen fyller en viktig funktion, men... Sedan kommer man med olika typer av påståenden om hur det funkar och inte funkar. Precis som arbetsmarknadsministern var inne på har det gjorts en offentlig utredning som har kommit fram till att det är ett icke-existerande problem att företag friställer personal för att kunna plocka in bemanningsföretag. Ändå väljer Socialdemokraterna att, så att säga, försöka skapa en konflikt kring detta genom att försöka påstå att det på något sätt skulle vara möjligt att agera på det här sättet. Bemanningsdirektivet säger mycket tydligt att det inte är tillåtet att kringgå företrädesrätten. Det finns ett antal fackförbund som menar på att det sker. IF Metall har till exempel klagat på SCA, tror jag att det är, som enligt deras mening skulle ha agerat på ett felaktigt sätt. Då har de hanterat det på det enda rimliga sättet, det vill säga de har dragit SCA - om det nu var det företaget, vilket jag inte är beredd att ta gift på - inför Arbetsdomstolen. De debatter vi för här måste handla om vad det är för typ av lagändringar som, så att säga, politiken ska stå för. Om Socialdemokraterna på något sätt vill gå fram med någon form av lagändring och strama åt för den här branschen och gå Vänsterpartiet till mötes tycker jag att det är dags för tydlighet från arbetsmarknadsministern. Ni står här från Socialdemokraternas sida och har väldigt högt ställda mål - Sverige ska ha Europas lägsta arbetslöshet 2020. Men i er faktiska politik ger ni er på nästan varenda del av ekonomin och varenda del av den privata sektorn. Ni ska nagga RUT och ROT i kanten. Ni ska höja skatterna för dem som arbetar. Ni ska höja skatterna för företag som ska anställa unga. Ni ska komma åt problemen med visstiden, och nu kommer det lite lösa formuleringar här om att man kanske också måste strama åt bemanningsbranschen. Finns det någon del av ekonomin som ni inte vill ställa till det för? Och ni har inga egna förslag om hur jobben ska växa fram. Det här är ganska oroväckande. Med tanke på, vilket Lars Püss var inne på, hur stort inflytande Vänsterpartiet ändå fick på budgeten finns det viss oro inför framtiden. ","M"
"Christian Holm","Herr talman! Jag kan instämma i mycket av det som min partikollega Fredrik Schulte just sa. Det är glädjande att arbetsmarknadsministern ger ett tydligt besked om att det uppenbarligen inte ska göras tydliga åtstramningar. Så lät det inte alltid när man reste runt i Sverige under valrörelsen och debatterade med andra socialdemokrater än Ylva Johansson. Då lät det väldigt lika mellan Socialdemokraterna och Vänsterpartiet, och det är inte Vänsterpartiet som har ändrat uppfattning, så att säga. Det var en åtstramningspolitik. Tyvärr var det ingen åtstramningspolitik av ekonomisk karaktär för att värna överskottsmål och ha en återhållsam budget, utan det var en åtstramningspolitik som gällde flexibiliteten på arbetsmarknaden på det här området och ungefär alla andra områden som vi har debatterat hittills i kväll. Arbetsmarknadsministern tog upp att jag tog upp ett antal andra frågor tidigare i debatten. Det gjorde jag utifrån tanken att man säger nej till alla de interpellationer och frågor som vi ställer här men ändå är inne och stramar åt lite här och där. I en sådan här interpellationsdebatt borde man utan att frångå ämnet för mycket ändå kunna leverera någon liten idé och säga: Det här är jobbskapande. Det här är bra för företagande. Det här begränsar inte. Det här ramar inte in. Det minskar inte flexibiliteten. Finns det några förslag som ökar flexibiliteten och jobblinjen och som på något sätt gör det enklare, bättre och mer attraktivt att vara företagare i Ylva Johanssons Sverige? Jag kan inte se det, men finns det skulle jag jättegärna vilja höra om dessa. ","M"
"Patrik Björck","Herr talman! Jag måste börja med att be om ursäkt i den här kammaren. Jag har tidigare, i inledningen av den här mandatperioden, uttryckt en viss tillfredsställelse över att Moderaterna har hamnat i opposition. Det är nämligen så att Moderaterna är usla i regeringsställning. Det är ett känt faktum, och det har svenska folket under åtta år fått tugga i sig. I en tidigare interpellationsdebatt uttryckte jag en viss tillfredsställelse över att de är tillbaka i opposition, för normalt sett brukar Moderaterna vara goda oppositionspolitiker. Men den närmast bisarra eller surrealistiska debatt som vi har här i dag får mig att ta tillbaka påståendet. Moderaterna, herr talman, är lika usla i opposition som de är i regeringsställning. Här har vi nu en debatt om en interpellation som en moderat ledamot ställt till arbetsmarknadsministern om bemanningsföretag, och interpellanten får ett svar som enkelt redogör för regeringens inställning till bemanningsföretag. Då borde interpellanten normalt sett ha tackat för svaret, och med det skulle debatten ha varit slut. Men då fortsätter interpellanten att debattera vad ett annat parti, som inte ens sitter i regeringen, eventuellt tycker i frågan och ställer frågor relaterade till det andra partiet till arbetsmarknadsministern. Det här har egentligen ingenting alls med en interpellationsdebatt att göra. Ett välfungerande oppositionsparti, herr talman, använder redskapet interpellationer för att ställa frågor till ministrarna om sådant som rör ministrarnas ansvarsområden för att få svar, kunna föra debatten vidare och få information som gör att man kan utveckla politiken. Men på det här sättet närmast missbrukar man talartiden i talarstolen genom att börja prata om helt bisarra saker och hitta på. Det blir ännu lustigare när Fredrik Schulte säger att Socialdemokraterna försöker skapa en konflikt i den här frågan. Ministern var lite anspråkslös när hon sa att det är som att slåss mot väderkvarnar. Jag skulle kunna säga, för att använda en annan liknelse, att det är som att koka soppa på en spik men i så fall på en väldigt liten spik, på sin höjd en knappnål. Menar man som oppositionspolitiker allvar med att använda interpellationsinstrumentet, herr talman, då måste man göra det seriöst. Den här debatten är helt oseriös. Det finns inget förslag från den socialdemokratiska och miljöpartistiska regeringen om att förbjuda bemanningsföretag över huvud taget. Att det här kommer upp tre stycken moderater och ställer frågor om någonting som regeringen aldrig har föreslagit är bisarrt. Det är att missbruka den här kammaren, tycker jag. ","S"
"Hanif Bali","Herr talman! Jag tycker att Patrik Björck borde ta det lite lugnt. Jag tror att Socialdemokraterna efter sina åtta år i opposition inte är rätt parti att komma med recensioner av hur interpellationsverktyget används. Om vi ska börja mäta varandra enligt samma måttstock har Patrik Björcks parti en viss skuld att ta igen. En annan faktor är att det inte är Moderaternas högsta önskan att bli recenserade av Patrik Björck för hur vi bedriver vårt oppositionsarbete. Det är från väljarna vi får den recensionen. Men som vanligt i den socialdemokratiska tankevärlden cirkulerar världen, universum och allt kring det socialdemokratiska partiet, och Socialdemokraterna är den allsmäktiga recensenten av allting. Det är fullt rimligt att använda interpellationsverktyget till att ställa frågor till ett statsråd som är gravt beroende av ett öppet samarbete med ett parti som vill förbjuda bemanningsbolagen. Det är inte orimligt. Det är inte att gravt överutnyttja de verktyg som vi parlamentariker har. Patrik Björck kanske borde recensera sitt eget parti och sitt eget partis beteende innan han börjar recensera vårt. ","M"
"Katarina Brännström","Herr talman! Jag hade inte alls tänkt gå upp i den här debatten, men jag gör det när Patrik Björck, sin vana trogen, som siste man går upp för att recensera interpellationsdebatten och drar en salva som heter duga. Jag känner igen det här. Så här har det låtit under de fyra år som jag har suttit i arbetsmarknadsutskottet. Tala om att vi ska få höra från Patrik Björck hur vi missbrukar talartiden och använder starka ord! Sedan står han och recenserar oss moderater. Jag ska ge allt beröm till arbetsmarknadsministern, som har förklarat regeringens politik och svarat klart och redigt. Men att förlänga debatten på detta sätt genom att gå upp och tala om vad vi har gjort för fel är faktiskt magstarkt. De salvor som Björck själv har uttalat från den här talarstolen är episka, herr talman. Interpellationsverktyget har inte bara använts mot alliansregeringen tidigare utan också mot enskilda ledamöter. Man har fått gå tillbaka till protokollet dagen efter för att läsa: Sa Patrik Björck verkligen detta? Jodå, det sa han visst. Interpellationsverktyget har börjat användas som ett föremål för att angripa enskilda personer. Vi har en regering som är helt beroende av Vänsterpartiet. Vänsterpartiet har varit mycket tydligt med att man helst inte vill se någon bemanningsbransch över huvud taget på svensk arbetsmarknad. Vi har haft socialdemokrater som likt Patrik Björck har stått i denna talarstol och uttalat mycket kritiska omdömen om bemanningsföretagen när de var i opposition. Då är det inte konstigt vare sig att vi ställer en interpellation eller att flera moderater går upp och är frågande till att arbetsmarknadsministern plötsligt blir nästan översvallande när det gäller hur bra det är att ha bemanningsbranschen på svensk arbetsmarknad. Det är väl jättebra att en regering kan ändra sig, att politiken kan utvecklas. Det välkomnar vi, och vi är glada för det. Men vi blir något förvånade när vi vet att regeringen är beroende av Vänsterpartiets politik och känner till deras inställning och den inställning som socialdemokrater har uttalat mycket tydligt här. Det gör att man blir lite konfunderad. Men, Patrik Björck, sluta recensera folk i den här talarstolen! Börja med att föregå med gott exempel. Använd ett trevligt språk och en hövlig ton, så lovar jag att det fortsatt kommer att bli trevligt här. Vi använder vår oppositionsroll till att granska regeringen, inte till att kritisera enskilda ledamöter i utskotten. ","M"
"Ylva Johansson","Herr talman! Jag känner mig alltmer perifer i den här debatten, måste jag säga. Jag har noterat att en lång rad moderater har gått upp i talarstolen och tackat för att jag har svarat klart, redigt och tydligt på interpellationen. Jag fick en fråga om flexibiliteten på arbetsmarknaden. Bemanningsföretagen är en viktig del för att kunna ha en flexibel arbetsmarknad. Andra viktiga delar där vi i dag har brister gäller kompetensförsörjning, kompetensutveckling och matchning. Där behövs satsningar och reformer. Till sist vill jag säga att jag företräder regeringen. Vänsterpartiet har vältaliga företrädare, dessvärre inte företrädda i kammaren just nu, som kan tala för sig själva. ","S"
