"Anna Johansson","Herr talman! Lars Tysklind har frågat mig hur jag kommer agera för att säkerställa att bygget av Förbifarten återupptas den 1 januari 2015 samt om jag har gjort ställningstagandet att regeringen inte behöver följa ett tillkännagivande som riksdagen beslutat om. Edward Riedl har frågat mig om några infrastrukturprojekt i Västerbotten riskerar att påverkas av regeringens hantering av Förbifart Stockholm.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer I oktober förra året beslutade regeringen att frysa produktionen i projekt E4 Förbifart Stockholm fram till den 1 maj i år. Syftet var att ge tid till förhandlingar om eventuella omfördelningar av resurser från den del av överskottet från trängselskatten i Stockholm som ska tilldelas projekt E4 Förbifart Stockholm. En förutsättning för att förhandlingar skulle komma till stånd var att både Stockholms kommun och Stockholms läns landsting hemställer till regeringen om sådana förhandlingar. Företrädare för Stockholms läns landsting tydliggjorde dock på ett möte med mig och andra företrädare för Regeringskansliet den 15 december förra året att landstinget inte hade för avsikt att hemställa om eller delta i förhandlingar. Förutsättningarna för regeringsbeslutet från oktober hade därmed förändrats. Därför beslutade regeringen den 18 december förra året att avbryta frysningen och gav Trafikverket i uppdrag att från den 1 januari 2015 återuppta produktionen av Förbifart Stockholm. Regeringen kommer också att ge Trafikverket i uppdrag att utreda förutsättningarna för att förbättra för kollektivtrafik på Förbifart Stockholm samt att utreda förutsättningarna för att ytterligare reducera de närmiljöproblem i form av exempelvis buller och lokala luftföroreningar som förväntas bli följden vid anslutningspunkterna till Förbifart Stockholm. Samtidigt ska tidplanen för bygget hållas. När det gäller frågan om jag gjort ställningstagandet att regeringen inte behöver följa ett tillkännagivande som riksdagen beslutar om kan jag i detta fall konstatera att regeringens beslut ligger i linje med vad riksdagen också valde att tillkännage för regeringen. Regeringen hade dock fattat sitt beslut redan innan riksdagen tillkännagav sin mening om projektets återupptagande. När det gäller kostnaden för frysningen har Trafikverket uppskattat att en frysning fram till den 1 maj 2015 skulle uppgå till 170-260 miljoner kronor totalt - alltså inte de 700 miljoner kronor som Edward Riedl hävdar. Trafikverket ser nu över vad kostnaden för frysningen i slutändan har uppgått till. Jag vill också påminna om att när alliansregeringen tillträdde 2006 valde man att stoppa projektet Citybanan för att senare återuppta det. Precis som Förbifart Stockholm är Citybanan en nationell angelägenhet för hela landet. På frågan om några infrastrukturprojekt i Västerbotten riskerar att påverkas är svaret nej. ","S"
"Lars Tysklind","Herr talman! Jag får tacka infrastrukturministern för svaret. Det har blivit en tidsförskjutning, så frågan och svaret har tillkommit i lite olika kontexter. Jag kan ändå konstatera att byggstoppet av Förbifart Stockholm för mig och för Folkpartiet fortfarande känns obegripligt - speciellt med tanke på att ledande socialdemokrater under hela processen uttalade att det aldrig har varit aktuellt att stoppa bygget. Hur som helst är det positivt att regeringen fattade det enda rimliga beslutet: att återuppta byggandet av Förbifart Stockholm till den 1 januari 2015. Vi kan ändå inte komma ifrån att frysningen av bygget har inneburit att skattemedel har gått åt i onödan. I princip har man fyllt igen hål som man redan hade grävt, så det handlar naturligtvis om slöseri med skattemedel.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer I mina frågor utgick jag ifrån att regeringen trots allt skulle följa det tillkännagivande som riksdagen fattade beslut om den 18 på eftermiddagen. Regeringen fattade sitt beslut på förmiddagen, så det handlade om ett antal timmar däremellan. Frågan gällde hur som helst vilka åtgärder som skulle vidtas och om statsrådet kunde säkerställa att detta verkligen kommer igång. Jag vet inte hur det är i dagsläget. Är bygget på gång? Det kanske statsrådet känner till. Min andra fråga är av mer principiell natur. Den handlar om ett uttalande. Måhända har Svenska Dagbladet inte uppfattat ministern rätt, men i så fall får ministern säga det. Jag och många andra tolkade det som att ministern uttryckte att tillkännagivandet egentligen inte hade särskilt stor betydelse och inte var något som man behövde följa. Det blev en konstig diskussion. På frågan \"Betyder inte det att man måste häva frysningen?\" svarar statsrådet: \"Nej, det är en hypotetisk fråga, eftersom beslut i riksdagen om förbifarten inte är fattat än. Om man tittar på hur Alliansen tidigare har hanterat tillkännagivanden så innebär det inte att hävningen måste frysas.\" Jag kan bara konstatera att det är en svepande argumentation. Frågan är om statsrådet anser att regeringen fritt kan välja och vraka mellan vilka tillkännagivanden som kan beaktas. Jag utgår från att så inte är fallet. Om man drar en parallell till ett tillkännagivande som kom vid samma tillfälle, gällande Bromma flygplats, kan man se att regeringen valde att göra i princip tvärtom där. Regeringen mer eller mindre obstruerar det tillkännagivandet genom att tillsätta en samordnare innan riksdagsbeslutet fattades om att det här är en helt onödig åtgärd. Den principiella frågan kvarstår. Hur ser regeringen och statsrådet på värdet av och statusen på tillkännagivanden från riksdagen? ","FP"
"Edward Riedl","Herr talman! Först vill jag tacka ministern för svaret. Det var faktiskt ett bra och tydligt svar den här gången. Det vill jag särskilt tacka för även om jag kommer att följa upp att jag har förstått det rätt. När den socialdemokratiska och miljöpartistiska regeringen tillträdde beslutade de helt enkelt att frysa ett stort vägprojekt här i Stockholm, Förbifart Stockholm. Att Socialdemokraterna har velat hålla miljöpartister på gott humör har kostat skattebetalarna ungefär 4 miljoner kronor varje dag. Man kan tycka att det är en rätt dyr prislapp för det. Tanken var att bygget skulle stå fram till den 1 maj. Kostnaden beräknades till någonstans mellan 700 miljoner och 1 miljard. Nu när man har hävt stoppet blir det förhoppningsvis betydligt mindre än så.  När skattepengar kastas i sjön på det sättet blir det givetvis mindre pengar till infrastruktur. Det säger sig självt att om man kastar bort pengar för att saker ska stå på plats - bygget var alltså i gång - men man väljer att bara låta det stå och kosta pengar utan att bygga någon väg, blir det mindre pengar till infrastruktur på något annat ställe. Då händer det som vi i Alliansen har varnat för, det vill säga det blir mindre pengar till infrastruktur i resten av landet. Då försenas projekt eller försvinner.  Utifrån det och de diskussioner som har förts hemma i min valkrets har jag givetvis varit orolig för om det kommer att innebära att en massa projekt i Västerbotten försvinner eftersom man kastar bort pengarna här. Det var mot den bakgrunden jag ställde interpellationen.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Utifrån det svar jag har fått från ministern undrar jag om jag har förstått infrastrukturministern helt rätt. Kan hon lova mig att inga infrastrukturprojekt i Västerbotten försenas eller försvinner när pengarna har förslösats på Förbifart Stockholm, eftersom det har blivit dyrare i och med stoppet? Det är det väldigt tydliga svaret jag skulle vilja ha av ministern så att jag i så fall kan ta det med mig hem. ","M"
"Margareta Cederfelt","Herr talman! Jag har läst den interpellation som Lars Tysklind har ställt till statsrådet. Jag har också följt debatten och i riksdagen när det gäller Förbifart Stockholm. Det är glädjande att regeringen har beslutat sig för att följa det beslut som riksdagen har tagit och även har fattat ett eget beslut. Men jag vill förvissa mig om att det beslut som är taget också blir reell handling och att det inte blir så att Förbifarten aldrig kommer att komma i gång i verkligheten. Jag vill förvissa mig om att arbetet inte stannar vid utredning och vid att se över olika lösningar som faller statsrådet Anna Johansson mer i smaken. Det är viktigt att Förbifarten återupptas.  Förbifart Stockholm är en nationell angelägenhet, precis som statsrådet har sagt, och har också debatterats länge. När jag flyttade till Stockholm på tidigt 80-tal var Förbifarten en het och aktuell fråga som debatterades. Det är den fortfarande. Därför är det väldigt glädjande, inte bara för Stockholm utan för hela Sverige, att det finns ett beslut om att Förbifarten ska byggas. Därför är det angeläget att bygget återupptas skyndsamt och inte fördröjs av utredningar utan blir reell handling. Jag skulle gärna vilja höra statsrådets kommentarer till det. ","M"
"Leif Pettersson","Herr talman! Jag hade egentligen inte tänkt gå upp i den här debatten. Men när Lars Tysklind började tala om tillkännagivandena kunde jag inte låta bli.  Det är just nu väldigt hög svansföring från de borgerliga ledamöterna i kammaren när det gäller den frågan. Det var inte fullt lika hög svansföring under förra mandatperioden när tillkännagivande efter tillkännagivande mot de borgerligas vilja kom från trafikutskottet. Hur många svar fick vi från den regeringen? Ja, inte var det speciellt många. I stället dribblade de bort svaren och hittade på något annat, förvanskade många av de tillkännagivanden som hade gjorts, tolkade dem på sitt eget lilla sätt och kom tillbaka med svar som inte alls hade med tillkännagivandet att göra.  Jag vet inte om det är ett bättre sätt att behandla tillkännagivanden från riksdagen på, eller vad tycker Lars Tysklind om förfarandet som den förra regeringen hade när det gäller det här? Ett statsråd i den regeringen var till och med på väg att prickas av riksdagen eftersom han talade om väldigt tydligt att han inte tänkte följa det tillkännagivande som hade gjorts. Han blev inte prickad, och nu har han dessutom fått mer framträdande uppdrag från Moderata samlingspartiet. Men det kanske är historia nu. Det som är viktigt att konstatera är att tillkännagivandet som har gjorts när det gäller Förbifart Stockholm är fullföljt. Det fullföljdes till och med innan tillkännagivandet gjordes. Visst är det några timmar emellan, men det är ändå på det sättet. Det betyder att mycket av den debatt som vi hade den 18 december kan kännas lite överflödig, men det får de som förde den debatten ta på sitt konto.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det är i alla fall viktigt att komma ihåg att regeringen ska rätta sig efter och följa de tillkännagivanden som vi gör här i riksdagen. Det gäller alla regeringar. Vi har också gjort några tillkännagivanden nu under hösten. Och jag ser fram emot och vet att regeringen jobbar med de frågor som vi har tillkännagivit. Jag hoppas även att vi, inom en ganska snar framtid nu när det inte blev något extra val, kan få svar även på de frågorna. ","S"
"Anna Johansson","Herr talman! Låt mig börja med att säga att både jag i min roll som statsråd och regeringen har den allra största respekt för den här församlingen, Sveriges riksdag, som är direktvald av svenska folket för att föra dess vilja till politiska beslut. Man ska dock vara medveten om att det finns en rollfördelning mellan riksdag och regering. Regeringen har uppdraget att styra riket och rikets myndigheter, till exempel att ge myndigheter uppdrag av olika slag. Men det kan vi diskutera en annan gång. Det jag sa i den intervju som det refererades till var att när vi får ett tillkännagivande från riksdagen tar vi emot det, och sedan bereds det i vanlig ordning. Däremot kan man konstatera att den tidigare regeringen inte alltid tog tillkännagivanden från riksdagen på så där jättestort allvar. Det var vad jag sa. Jag sa inte att vi inte skulle ta tillkännagivanden från riksdagen på allvar. När det gäller bygget kan jag glädja både interpellanterna och andra med att det är påbörjat. Som jag sa i mitt svar - och som jag hela tiden har sagt i den här frågan - har vi varit väldigt tydliga med att påpeka att eventuella förändringar av projektet inte får innebära en fördyring eller fördröjning, utan projektet ska slutföras inom den tidsram som finns. Projektet finansieras till stor del med trängselskatteintäkter från Stockholm. Någon gång skulle det vara intressant att få veta vad siffran 4 miljoner per dag kommer ifrån. Den siffra som jag har fått från Trafikverket är den siffra som jag utgår ifrån vid diskussioner här i kammaren. Trafikverket är den myndighet som har ansvar för dessa frågor, och därifrån har man lämnat siffran 170-250 miljoner för hela perioden.  Sannolikt blir kostnaden något lägre med tanke på att frysningen hävdes från den 1 januari. Hela den summan motsvarar ungefär knappt en och en halv månads extra uttag av trängselskatt. Så jag skulle vilja säga att risken för att detta kommer att drabba andra projekt är obefintlig. Man får alltså hantera kostnaderna inom projektets ram. När det blir fördyringar i den här typen av väldigt stora projekt finns det också en förberedelse att hantera dem inom projektramen. Som exempel kan nämnas Norra länken som färdigställdes ganska nyligen. Det projektet blev både snabbare färdigställt och dessutom billigare än beräknat. Det finns alltid möjlighet till förändringar inom projektets ram. Men projektbygget är uppstartat. Var utredningsrädslan kommer ifrån har jag lite svårt att förstå. Jag har aldrig hört att det har varit tal om att man skulle sätta igång en utredning. Det som regeringen har fattat beslut om är att Trafikverket har fått ett uppdrag att sätta igång projektet den 1 januari, men att det ska göras lite bättre från kollektivtrafiksynpunkt och miljösynpunkt. Och det hoppas jag att ingen har något emot. ","S"
"Lars Tysklind"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Jag får tacka för de positiva signalerna om att man har kommit igång med detta. Naturligtvis figurerar det olika siffror i den här diskussionen, men jag instämmer i att man får hålla sig till Trafikverkets siffror. Men hur man än vrider och vänder har ju projektet kostat någonstans, även om man kan hantera kostnaden inom ramen. Någonstans har stoppet kostat, och det känns fortfarande som att det var oerhört onödigt. Vid en jämförelse med Citybanan var det en helt annan sits. Den gången fattades det uppåt 5 miljarder i finansieringen. Men det projektet var ju inte ifrågasatt, inte ens av regeringen själv och i alla fall inte av ledande socialdemokrater.  När det gäller Citybanan var man tvungen att se till att det fanns full finansiering. Det var ett fullt finansierat projekt som hade planerats i många år och som var uppstartat. Jag kan tycka att stoppet var ett rent slöseri. Någonstans måste ju pengarna tas ifrån. Om man kan hantera kostnaderna inom ramen är det naturligtvis väldigt bra. Men om det hade blivit pengar över från detta projekt hade de kunnat användas någon annanstans. Kopplingen är kanske något långsökt, men nyligen drog stormen Egon in över västkusten. På många banor stoppades tågtrafiken på grund av bristande trädsäkring. I det sammanhanget skulle 10 miljoner ha varit ganska mycket pengar. Någonstans i systemet faller ju pengarna ut. När det gäller hur beslut fattas hade Stockholms läns landstings beslut väldigt stor betydelse, och det förstår jag. Det var ju ologiskt att frysa projektet.  Jag förstår också att det finns vissa interna problem inom regeringen. Ni hade lite olika synpunkter på byggets vara eller icke vara. Det fanns vissa i regeringen som tyckte att bygget skulle stoppas, men jag kan inte säga att statsrådet någon gång har uttryckt det. Tvärtom har hon sagt att bygget inte ska stoppas. Sedan har jag en liten kommentar till Leif Pettersson. Det blev en fortsättning på de lite svepande formuleringarna. Vi behandlade en hel del tillkännagivanden i trafikutskottet. Jag satt där tillsammans med bland annat Leif Pettersson. Det gick ju de facto ren inflation i tillkännagivanden. Det spelade liksom ingen roll hur mycket regeringen jobbade med frågan, utan det gjordes ännu fler tillkännagivanden. Så det där kan vi ta med en nypa salt. De propositioner som vi har behandlat i år har ju lagts fram av den förra regeringen som har utarbetat dem på grundval av tillkännagivanden från trafikutskottet. Det är klart att vissa tillkännagivanden tar längre tid än andra, men jag har inte alls bilden av att det skulle vara satt i system. Det tycker jag inte heller att statsrådet uttryckte, så det kan vi väl lämna därhän. ","FP"
"Edward Riedl","Herr talman! Jag vill börja med att tacka ministern för ett väldigt tydligt besked. Jag tolkar det hon säger som att det inte blir några förseningar och inga projekt i Västerbotten som dras in till följd av pengar har kastats bort här i Stockholm.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag säger inte att mina siffror är bättre än dina, än Trafikverkets eller att Stockholms Handelskammare har mer rätt. Jag väntar lika intresserad som alla andra på de beräkningar som kommer. Men det är stor skillnad mellan 170 miljoner, 260 miljoner och 700 miljoner. Det är fortfarande, precis som tidigare talare sa, oändligt mycket pengar som hade kunnat användas till något mycket bättre än att kastas i sjön. Det är ju precis vad den här regeringen har gjort. Man har kastat pengarna i sjön till ingen nytta. Man har låtit grävskopor och byggkranar stå längs vägarna och kosta en massa pengar till ingen nytta. Pengarna hade kunnat användas till något mycket bättre än just detta. Det här beskedet gör västerbottningarna väldigt glada, så det är kul att komma hem och lämna det. Jag är inte lika säker på att stockholmarna är glada, för de ska ju betala kalaset, om jag förstår ministern rätt. Det är också trevligt att Leif Pettersson deltar i den här debatten. Det är alltid kul. Min fråga till Leif Pettersson är hur han, när han kommer hem till Norrland, tänker förklara att det var bättre att kasta pengarna i sjön, att låta grävskoporna stå här och kosta pengar när det inte byggdes vägar. Det är nästan lika mycket pengar som första etappen av Norrbotniabanan skulle ha kostat. Innan valet hade ni lovat väljarna att börja bygga direkt. De pengar som ni kastat i sjön här nere hade ni kunnat använda till att bygga hela den första etappen. Jag tycker inte att det skulle kännas bra att komma hem med den typen av besked. Prislappen för att hålla miljöpartisterna glada tycker jag är alldeles för hög. ","M"
"Margareta Cederfelt","Herr talman! Det gläder mig att höra att statsrådet säger att tidsplanen kommer att följas när det gäller Förbifarten. Det kommer inte att bli någon fördröjning av planerna, att Förbifarten ska vara färdigställd. Min fråga kvarstår ändå: Vad innebär det att arbetet har återupptagits? Räknas det som att uppdraget är en del i arbetet med att bygga Förbifarten? Eller är det så att det reella arbetet med att bygga har återupptagits, inte bara ett uppdrag att se över, utreda och utveckla kollektivtrafiken? Det som jag efterfrågar är om det har skett en reell handling och det är detta som jag vill ha statsrådet kommentar till.  ","M"
"Leif Pettersson","Herr talman! Det är alltid roligt att kunna glädja Edward Riedl med ens deltagande i debatten. Jag är helt övertygad om att det fanns frågor också på den förra regeringens bord som de olika partierna inte var helt överens om, frågor som på olika sätt fick hanteras mellan de partierna. De kanske inte var av samma publika dignitet som Förbifart Stockholm, men de fanns. Man måste alltid göra kompromisser mellan partierna. Resultatet av just den här kompromissen, när vi ser det så här i efterhand, blev kanske inte det bästa man hade hoppats, men att det är bra att Förbifarten nu börjar byggas är vi väl alla här överens om. Sedan måste vi komma ihåg att finansieringen till stor del sker i form av trängselskatt. Det innebär att de ytterligare pengar som Förbifarten kostar inte kan användas till någonting annat. De kommer inte att kunna användas till andra projekt. Trängselskatten ska gå tillbaka till Stockholm. Möjligen kan man säga att stockholmarna får mindre tillbaka än vad de annars skulle ha fått av den trängselskatt som de betalar.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det var många olika projekt som tryckte på och sa sig behöva pengar. Jag kan konstatera att 1,24 miljarder till järnvägsunderhåll, som fanns i vårt budgetförslag, hade varit väldigt välkommet för trädsäkring och olika andra projekt. De propositioner som på grund av våra tillkännagivanden kom från den förra regeringen kom under galgen - eller ska vi säga under valrörelsen. ","S"
