"Mehmet Kaplan","Fru talman! Nina Lundström har frågat mig vilka åtgärder jag avser att vidta så att utbudet av bostäder ökar och lyfter särskilt fram bostadssituationen för utsatta kvinnor. Inledningsvis vill jag säga att Nina Lundström tar upp en mycket viktig fråga. Bostadsbristen berör många, och särskilt svårt är det för utsatta personer som snabbt behöver en bostad. Bristen på bostäder påverkar möjligheten för kvinnor och barn som till exempel lever i skyddat boende att återgå till ett vanligt liv. Den sekundära bostadsmarknaden växer, och socialtjänstens förutsättningar att stötta personer som är i behov av en bostad begränsas. En viktig del av lösningen är att åstadkomma ett ökat bostadsbyggande och ett byggande av bostäder som personer med vanliga inkomster har råd att efterfråga. Ett ökat utbud av bostäder underlättar situationen både för enskilda och för kommunernas socialtjänst. Som jag tidigare anfört avser regeringen att skapa incitament för ett ökat bostadsbyggande. Att förebygga och motverka våld och andra former av övergrepp mot kvinnor har hög prioritet i regeringens jämställdhetsarbete. Det är viktigt att det civila samhällets organisationer får stöd för att utföra sin verksamhet. De ideella kvinnojourerna utför ett betydelsefullt arbete med stöd och skydd till kvinnor som har utsatts för våld. Regeringen avsatte i budgeten för 2015 ytterligare 100 miljoner kronor per år för att stärka de ideella kvinnojourernas arbete och bidra till ökad långsiktighet och bättre planeringsförutsättningar. Det är ytterst beklagligt att förslagen inte kan genomföras, eftersom budgeten röstades ned. "
"Nina Lundström","Fru talman! Jag har ställt denna interpellation till statsrådet för att belysa hur utsattheten i samhället drabbar de absolut mest utsatta. När bostadsmarknaden inte fungerar tillräckligt väl är det just dessa personer som drabbas. Jag noterar att Aftonbladet i dag har en beskrivning av hur läget ser ut för dem som drabbas av våldet. Under 2000-talet dödades 237 kvinnor. Varje år dödas 16-17 kvinnor. Det är helt förfärligt. Inriktningen på mina frågeställningar i dag handlar om bostadssituationen. I förlängningen är det en fråga om att försöka förebygga och hitta åtgärder för de mest drabbade.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Låt mig börja med att säga följande: Det är helt förfärligt att det är brottsoffret som måste byta bostad. Egentligen borde det vara förövaren som förlorar sitt hyreskontrakt eller besittningsskyddet till sin ägda bostad, inte den som är brottsoffer. Johan Pehrson tog i en tidigare debatt i dag upp andra aspekter på våldet. Jag kommer nu att fokusera helt och hållet på bostadsfrågan. Det är otroligt viktigt att försöka hitta alternativa bostäder till dem som måste flytta från sina hem. Det är orimligt att de som försöker hitta ett alternativt boende ibland återvänder till förövaren därför att man inte har kunnat lösa bostadssituationen. Tyvärr måste de drabbade brottsoffren ibland inte bara flytta inom sin kommun utan också utanför sin kommun. Det kan påverka möjligheterna till inkomst och därigenom möjligheten att bli godkänd som hyresgäst och få ett kontrakt. Om bostadsmarknaden hade fler tillgängliga bostäder generellt sett skulle också de mest utsattas situation förbättrats betydligt när det gäller den möjligheten. Jag vill uppmärksamma på att alliansregeringen lämnade en propositionen till riksdagen som handlade om besittningsskyddet. Vi hade en situation där brottsoffer ibland blev vräkta på grund av att de hade en förövare som förstörde bostaden. Denna proposition, 2013/14:195, antogs av en enig riksdag. Där förstärktes brottsoffrets ställning genom lagstiftning, vilket var <em>en</em> viktig åtgärd. Men det finns naturligtvis många andra viktiga åtgärder. Det handlar exempelvis om hur myndigheter agerar om man bor i en ägd bostad och det handlar om ett vräkningsförfarande. Hur kan vi snabba på processen så att brottsoffret skyddas i största möjliga mån? Jag har följdfrågor till bostadsministern vad gäller möjligheter att vidta åtgärder för att förbättra situationen. Jag har fyra kommentarer som jag vill lämna till statsrådet för att höra om det finns en framkomlig väg för att titta på ytterligare åtgärder. Den första är nyproduktionen. Där delar jag statsrådets uppfattning att vi behöver fler bostäder generellt sett på bostadsmarknaden. Den andra är frågan om ägarlägenheter. Skulle det kunna vara en möjlighet för att öka utflödet av bostäder? Den tredje är inkomstkraven på hyresgästerna. Kan dessa ses över? Den fjärde är vräkningsförfarandet när man bor i en ägd bostad. Hur kan vi skynda på processen så att vi skyddar brottsoffret? Detta är några viktiga åtgärder som skulle kunna prövas i syfte att skydda brottsoffret. "
"Hillevi Larsson","Fru talman! Detta är en väldigt viktig fråga. Vi har bostadsbrist generellt, men det här slår extra hårt mot våldsutsatta. Det finns våldsutsatta män också, men det är en överväldigande majoritet kvinnor och barn som berörs. Tyvärr har vi de senaste åtta åren kunnat se att situationen har förvärrats. Det har lett till en stor kris för de utsatta kvinnorna och för kvinnojourerna. Det har varit kvinnojourer som har slagit larm om att de tyvärr inte kan ta emot nya skyddsbehövande kvinnor eftersom det inte finns bostäder till dem som redan är där. Den genomströmning som är tanken när det gäller kvinnojourerna har alltså inte fungerat. Många har i stället bott i månader eller kanske till och med i år på kvinnojour, vilket är ett akutboende och ingen långsiktig lösning.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Även barn kan bo på kvinnojour, och eftersom det finns speciella regler som gör att man inte får ta emot besökare innebär det att barnen inte kan ta med kompisar \"hem\" till kvinnojouren. Det ställer alltså till det för de berörda familjerna, och det ställer till det ännu mer för de kvinnor som försöker komma in på en kvinnojour men nekas plats för att det är fullt. Vart ska de bli av? Risken är att man hamnar i en ännu mer utsatt situation och att man kanske får gå tillbaka till sitt våldsamma förhållande eller sova på en soffa någonstans, flytta runt och ha en väldigt osäker situation. Därför är det jätteviktigt att vi löser det här. Det fanns ett bra initiativ, där vi hade enighet i riksdagen, som handlade om att man skulle försvåra vräkningar av våldsutsatta kvinnor. Det är nämligen så att den man som antingen bor med kvinnan i lägenheten eller kommer på besök kan komma mitt i natten och stå och skrika utanför hennes fönster, vilket räknas som en störning - och det är kvinnan som blir ansvarig för störningen. Till och med i de fall då mannen inte bor tillsammans med henne i lägenheten blir hon ansvarig för störningen, vilket i förlängningen kan leda till att hon blir vräkt från sin bostad. Det är fruktansvärt, och det är därför ett viktigt initiativ. Nu gäller det att det också följs - vi får följa upp hur det fungerar i praktiken - men det är viktigt. Sedan måste det till nya bostäder. Det som behövs är framför allt hyresrätter med rimliga hyror. Många av kvinnorna har nämligen ingen stark ekonomi. Det är dock stor skillnad bland våldsutsatta kvinnor, och vi har alltifrån låginkomsttagare till höginkomsttagare. Men även om de har en stark ekonomi från början brukar det tyvärr sluta med att kvinnan har en låg inkomst. Det är väldigt vanligt att kvinnor som blir misshandlade blir sjukskrivna, och tyvärr är intresset från arbetsgivaren för att behålla kvinnan i många fall inte så stort.  Blir hon dessutom utförsäkrad - vi har ju hårda sjukskrivningsregler - blir hennes ekonomi ännu mer försämrad. Många hyresvärdar kräver att man har en ganska hög inkomst, och det ska helst vara en fast inkomst. Risken är alltså att även den kvinna som hade det från början i den här processen förlorar sitt jobb och står utan försörjning. Därför måste vi se till att det kommunala ansvaret fungerar - ytterst finns det nämligen ett kommunalt ansvar för både försörjning och bostad - men sedan måste det till nya bostäder. Bostadsministern har i dag faktiskt aviserat en lång rad konkreta åtgärder, bland annat att staten ska ta ett större ansvar och hjälpa kommunerna med bostadsförsörjningsansvaret. Det tror jag är ett viktigt steg. "
"Nooshi Dadgostar","Fru talman! Jag vill tacka Hillevi Larsson, som sa typ allt jag hade tänkt säga. Jag instämmer helt och hållet.  Jag vill betona det Hillevi sa om förstärkningen av lagstiftningen, där vi också ska följa upp att kvinnor får behålla sitt hyreskontrakt och inte belastas för den störning som hennes partner, expartner eller vem det nu kan vara som utsätter henne för våld utgör. Det ska belasta honom och inte den som har hyreskontraktet. Vi ska se över den lagstiftningen, som har varit mycket efterlängtad och väldigt bra för de utsatta kvinnorna.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Sveriges Kvinno- och Tjejjourers Riksförbund mätte för några år sedan hur många som blev avvisade från kvinnojourerna på grund av platsbrist. Det var ca 2 000 personer som blev det 2012, vilket är 65 procent av dem som söker sig till kvinnojourerna. Det är en väldigt stor andel, och det är en ökande andel. Vi vet att antalet personer som blir avvisade ökar för varje år som går, så det sker ingen förbättring.  Det som är verkligt oroande är att dessa boenden är akutboenden, och vi behöver slussa ut kvinnorna till lättillgängliga boendeformer någonstans där de kan bosätta sig. Hur funkar jourerna? Jo, man får sina vardagsrutiner ställda på ända. Man missar ofta jobb, skola och förskola, och man lever i ett slags undantagstillstånd. Det är inte ett bra sätt att leva på långsiktigt. Jag beklagar därför att Nina Lundström, som ändå har ställt en väldigt viktig fråga, och Folkpartiet röstade ned det budgetförslag vi lade fram förra året. Det hade gett en stor förstärkning till kvinnojourerna för att till exempel öka antalet platser.  Det är dock även riktigt att säga att det är en ansvarslös bostadspolitik som har lett till att vi i dag har alldeles för få hyresrätter att slussa ut de här kvinnorna till. Som Nina Lundström säger är det också mycket riktigt så att möjligheten har försvårats av de höga kraven från hyresvärdarna. Det ställs krav på fast anställning, inga betalningsanmärkningar och löner som ska ligga på tre eller fyra gånger hyran. Många av dessa kvinnor har på grund av sin utsatta situation svårt att leva upp till de här kraven och har inte råd att betala hyrorna. En ofta bortglömd del av det våld män riktar mot kvinnor är det ekonomiska våldet. Många kvinnor har inte ens ett konto, och man har inga pengar att röra sig med. Det är i stället någonting mannen i relationen har tagit hand om. Många är sjukskrivna och arbetslösa, och många har till exempel betalningsanmärkningar och skulder efter att ha utnyttjats och lurats av sin partner.  Skyddade personuppgifter är ytterligare ett hinder, och jag tycker att det kan vara någonting bostadsministern ska titta på.  En person som kommer från en våldsam relation kan även dömas av nya hyresvärdar utifrån sin tidigare familjesituation. Man belastas för de problem och det obehag man tidigare kanske har ställt till med gentemot grannar och hyresvärdar, som alltså har skapats på grund av tidigare bostadssituationer.  Vänsterpartiet har ett flertal gånger tagit upp frågan om höga krav på hyresgäster, och vi har motionerat om den. Både regeringspartierna och Folkpartiet har tyvärr röstat emot det. Det handlar om förlegade krav jag verkligen tycker att vi borde ändra på.  Åtta av tio kommuner har enligt Unison uppgett att bostadssituationen är ett hinder för kvinnofridsarbetet. De vanligaste svårigheterna som identifierats är bristen på hyresrätter, avsaknaden av förturssystem, avsaknad av kommunal bostadsförmedling och bristande samverkan mellan kommunerna. "
"Mehmet Kaplan","Fru talman! Jag tackar Nina Lundström för frågan och Hillevi Larsson och Nooshi Dadgostar för att de deltar i debatten. Det är en väldigt viktig debatt. Det handlar i grunden om den grupp människor som är mest utsatt - den grupp människor i vårt samhälle som hela tiden, genom intresseorganisationer och nära och kära, ber om uppmärksamhet från de folkvalda och regeringen.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det här är någonting som egentligen inte går att skilja ut från bostadspolitiken, socialpolitiken eller justitiepolitiken, utan frågorna går in i varandra. Därför är jag väldigt glad att frågan lyfts upp även på mitt bord, för det synliggör. Detta är ett av de svåra problemen och en av de svåra utmaningarna vi står inför. Som ett av världens mest jämställda länder har vi en situation där mäns våld mot kvinnor firar nya triumfer varje år, och det är någonting som bör tas på största allvar. Jag ska försöka besvara ett antal av de frågor Nina Lundström ställde. En handlade om inkomstkravet, och vi tittar för närvarande på hur vi ska hantera situationen. Grundproblematiken är nämligen att det byggs för lite, och framför allt byggs det alldeles för lite små hyresrätter med rimliga hyror. Det är någonting vi har en politik för och som jag inom den närmaste framtiden kommer att återkomma om med exakta siffror. I grunden innebär dock den övergripande problematiken att det inte finns så många nya, små bostäder att den här gruppen blir extra utsatt. Dessutom kommer, ovanpå det, fastighetsägarnas olika typer av hyreskrav på ibland upp till tre gånger månadslönen. Det är någonting vi därför har tagit in i arbetet, och vi jobbar med det.  När det gäller vräkningsförfarandet är det ytterligare en problematik. Det ligger mellan mig och Justitiedepartementet, för det är en fråga som inte direkt är mitt område. Detsamma gäller egentligen det som Nooshi Dadgostar tog upp, det vill säga frågan om skyddade personuppgifter. Det ligger emellan oss, och jag kommer att lyfta upp frågan så att det arbete som bedrivs där skyndas på. När det gäller grundfrågan som Hillevi Larsson tog upp, nämligen tillkännagivandet från 2013, där det uttalas att regeringen ska återkomma med ett förslag för att stärka våldsutsatta hyresgästers besittningsskydd, vet vi att det numera blir en rättslig prövning av en uppsägning som ska beakta om en försummelse har sin grund i att en närstående har utsatt hyresgästen för våld, lite det som Nina Lundström talade om. Problematiken som finns är att dessa regler vid arbetet med propositionen <em>Stärkt besittningsskydd för utsatta hyresgäster</em> i allt väsentligt ansågs vara tillräckliga då de antogs. Men vi ser att så inte är fallet, och därför tar jag detta på allvar. Hillevi Larssons inlägg var också i samma riktning, att detta måste vi jobba mer med. Jag kan inte låta bli att lyfta upp det som både Hillevi Larsson och Nooshi Dadgostar tog upp, nämligen problematiken med att Nina Lundström var med och röstade emot budgeten som innehöll viktiga pengar till kvinnojourerna. Det var en liten del av hela budgeten, men faktum kvarstår att det var viktiga pengar. Även om det var små pengar hade 100 miljoner kronor betytt att det hade varit lite enklare att jobba med och bedriva det här viktiga arbetet hos kvinnojourerna. "
"Nina Lundström"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Det här är inte en budgetdebatt, men till protokollet vill jag ändå konstatera att i budgeten lade allianspartierna 137,5 miljoner kronor, varav 60 miljoner kronor skulle gå till länsstyrelserna för att just öka samordningen av det preventiva arbetet för att minska riskerna och öka tryggheten för våldsutsatta kvinnor. Mot det hedersrelaterade våldet var det 5 miljoner kronor rakt av. Det finns alltså väldigt många insatser som är gjorda. Jag kan med stolthet säga att jag tillhör ett parti där statsråden Nyamko Sabuni och Maria Arnholm envetet har arbetat med dessa frågor för att förbättra de utsatta kvinnornas ställning i samhället och öka deras trygghet. Det gäller även Johan Pehrson i justitieutskottet. Nu övergår jag till bostadsdebatten, där jag vill påtala några möjligheter. Det är bra att statsrådet säger att man följer upp lagen som började gälla den 1 juli 2014 och som syftar till att öka tryggheten för de kvinnor som bor i en hyreslägenhet och riskerar att bli vräkta. Syftet i den eniga riksdagen var ju att utsatta kvinnor, brottsoffer, skulle tryggas i sitt boende. Är det så att lagstiftningen inte har träffat rätt fullt ut är det rimligt att man ser över den. Nooshi Dadgostar tar upp frågan om inkomstkrav på hyresgäster. Det finns verktyg för detta. Alliansregeringen genomförde hyresgarantier, men alla kommuner använder sig tyvärr inte av dem. Det finns alltså en möjlighet att använda sig av hyresgarantier som minskar den risk som det innebär att ta sig an en hyresgäst som kanske inte kan betala men i och med detta ändå kan sluta ett hyresavtal. Vi tycker också att man skulle ha möjlighet till depositioner, om det nu är inkomstrisken som man bedömer, vilket är förfärligt i ett sammanhang där vi pratar om väldigt utsatta personer. Statsrådet svarar inte på frågan om en ny upplåtelseform - ägarlägenheter. Det skulle ge kommunerna möjlighet att sprida ut lägenheterna i beståndet så att inte alla finns i stora hyresfastigheter på ett och samma ställe. Hur ser statsrådet på möjligheten att omvandla hyreslägenheter i befintlig stock till ägarlägenheter? Det har statsrådet inte kommenterat. Jag vill också påtala det här med att just brottsutsatta kvinnor skulle hyra små lägenheter. 206 minderåriga barn är drabbade och har förlorat sin mamma. Det innebär att det är barnfamiljer som drabbas av våldet, och därför måste vi se till möjligheten att inrätta ett boende som räcker till också för familjer och inte bara enskilda brottsoffer. Det tror jag är oerhört viktigt, och jag skulle gärna vilja ha en kommentar från statsrådet angående de här frågeställningarna. Nyproduktion är något som är väldigt viktigt, och därför konstaterar jag med stor förvåning att vi fortfarande inte får svar på frågan om ett av de verktyg som statsrådet har för att få fram bostäder - att göra någonting åt bullerförordningen. Varför är ett beslut inte på väg? Det är ju ett konkret hinder för att öka bostadsbyggandet, liksom många andra frågor som vi har tagit upp tidigare. Jag tror att det krävs mycket snabba åtgärder. Jag tror inte att investeringsstödet som statsrådet anför så många gånger kommer att bistå i det här fallet. Det handlar om väldigt långa tider för att kunna få igenom det i riksdagen, om man vill inrätta ett sådant stöd, och nu krävs det snabba åtgärder. Jag skulle väldigt gärna vilja ha en kommentar på de frågor jag har ställt, för det skulle kunna göra skillnad väldigt snabbt. "
"Hillevi Larsson"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Det är många olika frågor som har tagits upp i den här debatten. En sak som jag skulle vilja lägga till gäller de kvinnor och flickor, för det kan även vara unga flickor, som är så utsatta att de behöver byta kommun. Där har vi ytterligare ett dilemma. I dag kan vi se att många kommuner inte ens klarar av att ta hand om sina egna medborgare, och tyvärr skjuter de då ifrån sig ansvaret när det gäller att ta emot någon från en annan kommun. Vi har exemplet Maria Barin som mördades i sin egen lägenhet i Landskrona. Hon hade bönat och bett om att få bo i en annan kommun eftersom hotsituationen helt enkelt var så stark. Det är många kvinnor och även barn som är i den situationen, och de har ett dubbelt dilemma. Om de kommer till en annan kommun kan oviljan där vara stark att ordna ett boende, därför att man helt enkelt tar den egna kommunens invånare i första hand. Här krävs bättre samverkan mellan kommunerna och att vi helt enkelt ställer krav: Är någon hotad till livet så måste kommunerna ställa upp. Jag tror också att en förstärkning av kvinnojourerna skulle vara positiv på det sättet att fler platser skapas så att de slipper tacka nej. Men detta är en kortsiktig lösning, om än väldigt viktig. Nästa steg måste också till. Det måste komma till fler lägenheter där kvinnorna kan bo permanent. Målet kan ju inte vara att bo på kvinnojour under en lång tid. Det handlar om att bygga billiga hyresrätter med rimliga hyror. Där finns en rad åtgärder som ministern har tagit initiativ till. Det handlar också om att se till att de hyresrätter som finns inte ombildas. Vi har ju sett väldigt många ombildningar, men vi måste ha ett större antal hyresrätter, och kommunerna måste kunna köpa upp dem till utsatta kvinnor. "
"Nooshi Dadgostar","Fru talman! Möjligheten till en trygg boendesituation är central i arbetet mot våld mot kvinnor. I dag ser vi också att kommunerna tvingas erbjuda ofta extremt dyra och tillfälliga nödlösningar på vandrarhem och hotell. Vi ser att kvinnor ofta tvingas återvända till en våldsam partner eller att de stannar kvar i relationen, eftersom de upplever bristen på bostad som alldeles för närvarande. Man ska också ha med sig att det inte är lätt att lämna en våldsam situation. Plötsligt kanske ett tillfälle öppnar sig, och då ställer man överlevnadsinstinkten tillfälligt främst och tar med sig barn och en ihoprafsad väska och ger sig iväg från lägenheten. Om samhället då inte reagerar direkt är risken ofta väldigt stor att en utsatt kvinna tvingas återvända till en våldsam man. Allt detta sammantaget måste vi ta i beaktande. Vad vi gör här och nu är extremt viktigt och spelar en väldigt stor roll för dessa kvinnor. I dessa situationer är det extra viktigt att man agerar väldigt snabbt och har ett väldigt inlyssnande förhållningssätt från både kommun och socialtjänst och självklart från jourerna som känner att de blir helt överbelamrade av kvinnor som de inte kan ta emot. Även representanter för kvinnojoursrörelsen tycker att vi ska ha ett investeringsstöd för byggandet av billiga hyresrätter. De tycker att det är viktigt att vi politiskt tar tag i frågan om att öka antalet hyresrätter och självklart inte ombilda hyresrätter, som Hillevi Larsson var inne på.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Marknadens vinstmaximering är hjärtlös i dessa situationer. Den bryr sig inte. Det är därför politiken måste gå in och faktiskt se till att hyresrätter byggs. Finansieringsfrågan är central i det sammanhanget. "
"Mehmet Kaplan","Fru talman! Tack Nina Lundström, Nooshi Dadgostar och Hillevi Larsson för denna viktiga debatt! Jag vill lyfta upp två saker som Nina Lundström frågade om. Den ena handlar om att omvandla befintligt bestånd till ägarlägenheter. Det är en fråga som man bör titta närmare på än vad som har skett under de senaste åtta åren. Jag vet inte vad Nina Lundströms regering gjorde i frågan. Det är möjligt att hon kan redovisa något förslag eller en utredning som tillsatts som har kommit fram till olika typer av konkreta åtgärder för att ta itu med den fråga som Nina Lundström har lyft upp. Jag kommer sedan i samråd med Nina Lundström att föreslå olika åtgärder som skulle kunna vara intressanta för området. Vi får se vad åtta års arbete på området har gjort. Den andra saken är frågan om små lägenheter eller inte. Min problemformulering var att det byggs för få bostäder, i synnerhet mindre lägenheter - hyresrätter. Det är ett svar på det stora problemet med bostadsbristen, och det är självklart också ett svar på det problem som Nina Lundström lyfter upp. Det kommer alltid att finnas behov av större lägenheter och bostäder. Att ta mig på orden på det sättet var lite mer dramatiskt än vad jag hade tänkt mig.  I grunden åstadkommer vi inte några svar och lösningar på bristen på bostäder i en handvändning. Det är fråga om ett långsiktigt arbete. Jag vill ta upp en annan viktig fråga, nämligen hur ansvarsfördelningen är när det gäller mäns våld mot kvinnor och bostadsförsörjningsplikten. Vi vet att socialtjänsten i kommuner har ansvar för att ge stöd och hjälp till brottsoffer. Där finns också kortsiktiga och långsiktiga insatser utifrån en individuell bedömning. Men de kan inte leva upp till sina åtaganden om det generellt sett inte finns en aktiv bostadspolitik. Under de senaste åtta åren har man i princip helt och hållet lämnat över ansvaret för bostadspolitiken, som då inte kan kallas politik, till att marknaden ensam ska sköta detta - precis som Nooshi Dadgostar så förtjänstfullt tog upp. Marknaden har inte den typen av mekanismer så att den hanterar till exempel mäns våld mot kvinnor. Den ser inte till den typen av sociala aspekter som också måste finnas med i bostadspolitiken. Därför är jag glad över att vi nu har en regering som tycker att frågorna är så pass viktiga att vi är beredda att satsa mycket mer pengar än vad Nina Lundström själv räknade upp, som också finns i den antagna budgeten. Det är ett socialt och strukturellt problem. Problemet fanns under den föregående mandatperioden och kommer att finnas, tyvärr, framöver också. Därför behövs en aktiv bostadspolitik.  Jag har tidigare i interpellationsdebatter redogjort för hur vi avser att jobba med frågan. Grunden för vad vi ska åstadkomma med den lag som trädde i kraft förra året ska självklart följas upp. Jag tar på mig det uppdraget. Här handlar det om något som vi brett, sju partier, i riksdagen är överens om. "
"Nina Lundström"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Det är välkommet att statsrådet tar upp frågan om samarbete mellan kommunerna. Det är viktigt att det också sker ett sådant samarbete. Jag skulle ändå vilja ge ett varningens tecken när det gäller tron att investeringsstödet kommer att lösa utmaningarna. Det receptet är prövat. Under mycket lång tid fanns investeringsstöd. Jag kunde då notera att investeringsstödet, exempelvis där riksdagen ligger, i Stockholms län, inte kunde användas. De fick skickas ut i landet eftersom det stöd som fanns inte användes för byggande. Det är mycket vanskligt att utlova att bostadssituationen ska lösas med den typen av investeringsstöd. De har inte löst problemen. Tvärtom har de varit en del av problemen. När det gäller ägarlägenheterna vill jag påminna statsrådet om att alliansregeringen genomförde den första delen i reformen, det vill säga införde lagstiftningen för nyproduktion. Det fanns ingen sådan lagstiftning. Miljöpartiet var också motståndare till att den skulle införas. Nu finns det möjlighet att bygga ägarlägenheter i nyproduktion, men det går inte att omvandla i befintlig stock. Den utredningen har levererats och ligger på statsrådets bord. Därför skulle jag välkomna ett intresse att titta på den möjligheten. Det skulle skapa nya möjligheter att inrätta boenden, inte minst för socialt utsatta kvinnor, i ett vanligt bostadsbestånd. Fru talman! Jag vill också påtala att det finns hyresvärdar, även privata, som tar ett stort socialt ansvar. De ser det som en viktig del av bostadspolitiken att erbjuda bostäder till de mest utsatta. Det är viktigt att framhålla. Det är fortfarande många kvinnor som drabbas, och det är förfärande att 237 kvinnor har mördats under 00-talet - och 16-17 kvinnor fortsätter att mördas per år. Vi måste hjälpas åt för att göra någonting åt detta. "
