"Anna Johansson","Svar på interpellationer Herr talman! Jonas Sjöstedt har frågat mig om jag avser att ställa mig bakom en ansökan till EU om medfinansiering av projektet, vilka delar av banan som bör byggas först samt när byggandet av banan kan påbörjas respektive avslutas.  Låt mig börja med att säga att regeringen anser att Norrbotniabanan är en strategiskt viktig infrastruktursatsning. Norrbotniabanan och andra järnvägsinvesteringar bidrar till regeringens mål om såväl högre sysselsättning som nyindustrialisering och minskad klimat- och miljöpåverkan.  Regeringen avser därför att inom ramen för nästkommande nationella transportplan genomföra byggstart av Norrbotniabanan mellan Umeå och Luleå. Under 2016 avser regeringen att återkomma till riksdagen med förslag om de ekonomiska ramarna för infrastrukturområdet under åren 2018-2029. I arbetet med nästa nationella transportplan avser regeringen att precisera finansieringen och byggstarten av Norrbotniabanan. Trafikverket har i dagsläget genomfört och fattat beslut om järnvägsutredningarna för alla etapper av Norrbotniabanan. Nästa steg är att ta fram järnvägsplaner för sträckningarna. Beslut om vilken etapp som först ska byggstartas måste fattas utifrån en sammanvägd bedömning. För detta krävs ett underlag som färdigställs i det kommande mer detaljerade planeringsarbetet.  Nu pågår processen med att ta fram ansökningar om medel från EU:s fond för ett sammanlänkat Europa, och alla aktörer är välkomna att inkomma med ansökningar till Trafikverket, som samordnar arbetet. Regeringen kommer att ta slutlig ställning till ansökningarna i februari 2015. Ansökningar som berör Norrbotniabanan kommer att hanteras i detta sammanhang. ","S"
"Jonas Sjöstedt","Herr talman! Jag vill tacka ministern för svaret. Jag tycker att det är ett positivt svar. Jag åker själv ofta tåg mellan Stockholm och Umeå. Jag har min valkrets i Västerbotten. Nu går det att åka tåg till Umeå. Det går riktigt fort och bra att åka efter det att vi byggde Botniabanan. Tågen är ofta fulla, och man får sätta in extratrafik. Järnvägen har blivit en stor framgång. Men när man kommer till Umeå händer något. Då går det inget tåg längs kusten längre, utan då får man åka på en järnväg som är byggd och planerad på 1800-talet, i inlandet, där det tyvärr är väldigt få människor som bor i dag. Det tar väldigt lång tid att åka till Luleå. Till Skellefteå och Piteå kan man inte åka alls. En kustjärnväg i övre Norrland är en helt avgörande investering. Det är inte bara för att vi saknar de moderna kommunikationer med tåg som är självklara i södra Sverige. Väldigt mycket av svensk basindustri och svenskt exportvärde finns i den här delen av Sverige, den norra tredjedelen av landet. Här finns pappers, massa- och trävaruindustri. Här finns gruvorna. Här finns metallindustrin. Här rullar tågen ständigt söderut med Sveriges rikedomar. Men de rullar på en enkelspårig järnväg som vid första bästa högkonjunktur kan slå i kapacitetstaket. Sedan är det fullt för industrin i övre Norrland. Då tvekar man att investera. Då kan man inte komma ut med sina varor som man vill längre. Vi vet också att den här järnvägen är väldigt känslig för störningar. Det händer titt som tätt att den inte fungerar. Den är helt enkelt inte byggd för vår tid.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det finns också mycket stora miljövinster att göra på Norrbotniabanan. Vi kan ersätta mycket tung lastbilstrafik, och vi kan också få fungerande snabb persontrafik som är konkurrenskraftig. I den budget som vi i Vänsterpartiet förhandlade fram tillsammans med regeringen och som snart kommer på riksdagens bord kommer ett besked som jag tycker är mycket glädjande, nämligen att Norrbotniabanan ska byggas. Det utlovas en byggstart, och det handlar om hela banan mellan Umeå och Luleå. Banan ska in i den infrastrukturplan, trafikplan, där den inte finns i dag och som tillkom under den borgerliga regeringen. Nu talar man också om finansiering i svaret på min interpellation. Det är viktiga och bra steg framåt. Frågan hänger dock fortfarande lite i luften: När kommer den att byggas? När kommer starten att kunna ske? Hur kommer den att värderas mot andra projekt? Det är ju ett samhällsekonomiskt mycket lönsamt projekt att bygga Norrbotniabanan.  Det finns ett starkt argument som talar för att skynda på, och det är att just den här bansträckningen har möjlighet att få medfinansiering av Europeiska unionen: 50 procent för planering och 30 procent för byggande. Det är ganska många miljarder i skatteåterbäring som finns att hämta i Bryssel om man följer tidsplanen. Ska detta ske krävs dock i praktiken att regeringen ställer sig bakom ansökan till Europeiska unionen. Gör man inte det är risken att man går miste om medfinansieringen.  Det finns också ett slutdatum för de projekt som ska ha stöd, och det är 2030. Det kan tyckas vara väldigt långt borta, 15 år, men om man ska bygga en lång järnväg genom en stor del av Sverige är 15 år inte oändligt med tid. Ska man vara färdig till 2030? Ska tågen rulla då, så att jag kan åka vidare på kustjärnvägen till Luleå, måste man börja ganska snart. Därför väntar nu många, faktiskt hela regionen övre Norrland, på regeringens besked. Kommer man inte bara att bygga banan, som man har lovat och som man också kommer att göra, utan kommer det också att ske till 2030? Den första indikationen på det får vi när beslutet kommer från regeringen om att ställa sig bakom en ansökan till EU. Jag hade hoppats att få det svaret i dag. Det skulle vara ett budskap till EU att vi vill ha del av dessa pengar. Det är nu dags att sätta i gång med detaljplaneringen av järnvägen, och byggandet skulle kunna starta under denna mandatperiod. Det beskedet kanske inte kommer i dag, även om jag skulle vara glad om det kom. Men jag hoppas att få det ganska snart från regeringen. ","V"
"Helena Lindahl","Herr talman! Jag måste säga att det är intressant att Jonas Sjöstedt i dag ställer frågor om Norrbotniabanan med tanke på att han för två veckor sedan gick ut i medierna med pompa och ståt och sade att nu hade Vänsterpartiet ordnat så att Norrbotniabanan skulle byggas: Det var tack vare Vänsterpartiet som den nu skulle komma till, för det hade man kommit överens om med regeringen.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Döm därför om min förvåning när samme Jonas Sjöstedt två veckor senare står här i talarstolen och ställer frågor till sin kollega infrastrukturministern om just Norrbotniabanan. Jag trodde att ni var överens. Det verkade så på den presskonferens som Jonas Sjöstedt så stolt höll på tågcentralen. Då undrar jag: Vad är det ni är överens om egentligen? Jag pratade med en representant för Norrbotniabanegruppen i går. Man har nu skickat in en ansökan, en första delansökan, till Trafikverket om planeringspengar. Det är väldigt viktigt. Regionen i Västerbotten kommer att stå för 100 miljoner i medfinansiering. Nu hoppas man också på 100 miljoner från EU. Det är väldigt viktigt att regeringen ställer sig bakom det. Det beslutet kommer regeringen att ta i februari. Men det är inte nog med det. Ställer man sig bakom beslutet om att stödja medfinansiering från EU när det gäller planering är det också jätteviktigt att man stöder en långsiktig finansiering. Det är nämligen så att 2015, på hösten, finns det också möjlighet att söka medfinansiering för själva byggnationen. Gör man inte det hösten 2015 kommer man att få vänta, för inriktningen på infrastruktursatsningar när det gäller just den här typen av pengar kommer då att fokuseras på bredband och annat. Därför är det av allra största vikt att regeringen tar vara på den möjligheten. Stambanan är, precis som Jonas Sjöstedt påpekade, 200 år gammal. Redan i dag upplever man en trafikinfarkt på banan. Trafikverket har gjort en prognos om att man 2030 skulle ha en viss trafikkapacitet. Den trafikkapaciteten har man uppnått redan i dag. Där finns det alltså ett väldigt stort problem. Jag hoppas verkligen - jag vänder mig till infrastrukturministern - att Socialdemokraternas satsning är mer än det ni lovade i valrörelsen. Där pratade ni om att en byggstart av Norrbotniabanan gällde Umeå och Dåvamyrans industriområde. Det är alltså ett industrispår på nio kilometer som man skulle göra Norrbotniabanestandard på. För mig är det ingen Norrbotniabana, mina vänner. Där kommer varken gods- eller persontrafik att gå, utan där går bara industrisopor. Det viktiga är att den första sträckan mellan Umeå och Skellefteå verkligen får ta fart. Jag har en fråga till både Jonas Sjöstedt och infrastrukturministern: Vad är det de facto som ni har kommit överens om när det gäller Norrbotniabanan? Det vore väldigt intressant att få veta det. ","C"
"Leif Pettersson","Herr talman! Under många långa diskussioner i valrörelsen sade jag en sak - det sade många av mina partikamrater också: Det behövs en ny regering om det ska bli någon fart på Norrbotniabanan. Nu visar det sig att det var sant. Det behövdes en ny regering för att det skulle bli någon fart på detta projekt. Den förra regeringen och, i och för sig, den nuvarande oppositionen pekar i sin budgetmotion på att det, om det ska byggas en järnväg i norra Sverige, måste in en massa medfinansiering från näringsliv, regioner och Gud vet vilka. Men när de i samma motion pratar om järnvägar söderut finns det inte ett ord om medfinansiering. Nej, där ska det byggas, och där ska staten stå för allting. Men så är det inte i norra Sverige. Nej, där ska näringslivet med. Där ska någon annan med. Där finns det alltid en hållhake på infrastrukturinvesteringar.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det är precis som det har varit hela tiden. Det är som att dra katten baklänges. Det blir ingen Norrbotniabana med Centerpartiet, Moderaterna, Folkpartiet eller Kristdemokraterna i regeringsställning. Därför är det intressant att märka att Helena Lindahl nästan är bitter över att detta nu kommer till stånd. Jag tycker att hon borde vara glad. Hon har ju i många sammanhang själv uttryckt ett önskemål om att Norrbotniabanan ska byggas. Det trodde jag var ärligt menat. Helena Lindahl borde vara en av de gladaste centerpartisterna i kammaren i dag, men jag tyckte inte att jag märkte det i hennes inlägg. Helena! År 1814 fanns det ingen järnväg i Sverige. Stambanan genom norra Sverige är alltså inte 200 år, men den är lite drygt 100 år. Den delen av stambanan byggdes faktiskt till en lägre standard. Pengarna räckte inte riktigt när man kom så långt norrut. Då byggde man till en lägre standard. Det är kurvigare, backigare, sämre räls, sämre banvall och så vidare. Man var tvungen att spara även på den tiden. Det innebar att vi fick en lite sämre bana där uppe. Det är den vi nu har använt i över 100 år för att frakta järn från SSAB i Luleå ned till SSAB i Borlänge, där det valsas vidare till tunnplåt och skickas ut i världen på export. Så ser verkligheten ut för oss i norra Sverige. Vi måste naturligtvis vara väldigt glada en sådan här dag när vi äntligen kan se att det händer någonting med det här projektet. Jag är inte ett dugg bekymrad över det besked vi gav i valrörelsen, att vi vill börja bygga söderifrån. Den första lilla etappen är fram till Dåvamyran. Vi är ju tvungna att börja bygga någonstans. Den förra regeringen ville inte börja bygga någonstans. Det är klart att det då kan förefalla lite märkligt att man i alla fall vill börja någonstans. Om man planerar för en järnväg hela vägen, precis som Anna Johansson sade, och man nu tar fram järnvägsplaner hela vägen är det naturligtvis i akt och mening för att bygga en bana. Detta gör man inte bara för ros skull eller för att man har några kronor över som man vill satsa i en planeringsprocess. Så är det inte. Naturligtvis kommer banan nu att komma till stånd. Vi från norra Sverige och vi från Norrbotten hälsar detta besked med tillfredsställelse. ","S"
"Katarina Köhler","Herr talman! Jag känner att jag nu, när jag får tillfälle, måste säga några ord om Norrbotniabanan. Det är en tågsträckning som är viktig för oss i norra Sverige. Den är viktig i Sverige och i Europa, för att inte tala om när vi långt in i framtiden bygger ut den mot Asien. Det här är en viktig fråga på många sätt. Det handlar om arbetstillfällen. Det handlar om ett miljöarbete som är oerhört viktigt. Och det handlar om människorna uppe i Norr- och Västerbotten. Att kunna bo kvar i Skellefteå och jobba i Luleå eller plugga på universitetet i Umeå är fantastiskt bra. Det handlar om att kunna bo kvar hemma i sin stad eller i någon annan ort i närheten. Vi kommer att kunna prata om en arbetsmarknadsregion som är värd namnet. Vi kommer bara att ha vinnare när Norrbotniabanan byggs. För att vara tydlig vill jag beskriva de senaste årens arbete, eller icke-arbete, med Norrbotniabanan. Jag vill påminna om att den moderatledda regeringen hela tiden har sagt nej till en bana. För några år sedan klappade man ihop hela organisationen. Man monterade ned allt arbete som gjordes inom Norrbotniabanegruppens arbetsområde. Man sade upp personal. Man slutade med allt jobb. Allt det som man hade jobbat med i många år tog tvärt slut när Moderaterna fick igenom sin vilja. De ansåg att det inte behövdes någon Norrbotniabana.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer När delar av den moderatledda regeringen ändå försökte göra sin stämma lite hörd, åtminstone uppe i Västerbotten, som jag kommer ifrån, var de väldigt glada över en Norrbotniabana. Men när de kom ned till riksdagen och kammaren och skulle fatta beslut gjorde de precis som deras partier sade. Det var ingen som gjorde någonting reellt för Norrbotniabanan från den borgerliga Alliansen. När vi började konkretisera vårt arbete med Norrbotniabanan hånade man Socialdemokraterna och sade att vi skulle bygga en tågsnutt till en soptipp. Jag undrar vad Dåvamyrans industriområde och folk tycker om det. En förnuftig människa inser att man inte i ett projekt som Norrbotniabanan börjar med att bygga nio kilometer och sedan slutar där. Detta är viktigt att veta. Det är viktigt för er som kommer från andra delar av landet att sätta er in i och få kunskap om vad Norrbotniabanan faktiskt kommer att betyda för både Sverige och resten av Europa. Jag är väldigt glad, och jag känner mig väldigt trygg med att vi nu har börjat Norrbotniabanebygget igen. Det ska planeras en del, och en ny organisation ska sättas ihop. Men jag menar nog att nu är vi igång. Den rödgröna regeringen med Vänstern ska fixa en Norrbotniabana för Sverige och Europa. Tack för det! ","S"
"Birger Lahti","Herr talman! Tack, Jonas Sjöstedt, för interpellationen! Det här väcker en debatt som är hälsosam för övriga Sverige att ta del av. Nu försvann Helena Lindahl ut, men jag hoppas att hon hör i alla fall. Hon och jag satt på samma debatt i Almedalen i somras, och hon var jätteentusiastisk över Norrbotniabanan och jätteglad över att man tillsatt en utredningsman eller något sådant. Det räckte för henne. Vi var glada för det, men vad som förvånar mig är givetvis att Helena Lindahl är bitter nu när Vänsterpartiet har förhandlat fram att Norrbotniabanan finns med i budgettexten. Helena Lindahl är bitter över detta och frågar sig vad vi är överens om. Tack, Leif Pettersson och Katarina Köhler, för jättebra inlägg! Ni har den där biten så nära att ni kan den, och det känns tryggt att ha vänner. Vad jag vill komma fram till är att jag hoppas att Helena Lindahl, hennes partivänner och övriga allianspartier också driver på frågan. Känslan jag fick i Almedalen var ju att ni vill driva på frågan, men nu när det finns i text i en budgetproposition som vi har förhandlat fram känns det plötsligt inte bra. Det är märkligt. Det som Jonas Sjöstedt tryckte på gällande hur vi lättast får valuta för vårt medlemskap i EU är mycket viktigt. Det är viktigt att regeringen ser till att vi söker pengarna och får gehör för våra krav. Detta är ju en angelägenhet för hela Europa.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Leif Pettersson och Katarina Köhler har berört vinsterna med Norrbotniabanan. Den kan inte jämföras med någonting annat. Om ni tänker efter vad som händer nu i debatten om förnybar energi - var finns flaskhalsarna? Svenska kraftnät borde bygga ut så att vi får en kapacitet även på de bitarna. Det är mycket som händer i norra Sverige. Det finns mycket som talar för att det är där vi kan bygga ut det förnybara. Vi har skogen som en jätteresurs som ska användas för att komma bort från fossilt bränsle. Allt detta gör att vi behöver ett miljövänligt transportsystem till norra Sverige. I ett sådant ingår givetvis Norrbotniabanan. Jag tänker inte säga mer än så, men jag är mycket förvånad över Centerpartiets inställning i frågan. Tack till övriga som stöttar Norrbotniabanan! ","V"
"Anna Johansson","Herr talman! Behoven och problemen på det här området har Jonas Sjöstedt, Katarina Köhler och Leif Pettersson redan förtjänstfullt redogjort för, så det tänker jag inte fördjupa mig i. Jag bara konstaterar att den tidigare, borgerliga regeringen inte ens har velat ta med minsta meter av Norrbotniabanan i den nationella planen. Det den här regeringen nu gör är alltså ett ganska stort fall framåt. Då ska man komma ihåg att Trafikverket, när man har utrett frågan, har pekat på stora positiva effekter av Norrbotniabanan, både för miljön och för näringslivet. Man säger: Sammantaget innebär Norrbotniabanan enligt Trafikverket väsentligt förbättrade möjligheter för näringslivets godstransporter och en utökad regional arbetspendling. Detta skapar förutsättningar för en hållbar samhällsutveckling, ökad konkurrenskraft för näringslivet och positiv regional utveckling som gagnar hela landet. Det är vad Trafikverket säger. Men trots detta har den tidigare, borgerliga regeringen varit helt avvisande till att ta med Norrbotniabanan. Nu har den rödgröna samarbetsregeringen med vårt mål om EU:s lägsta arbetslöshet 2020 och höga ambition på miljöområdet valt att i budgetpropositionen för 2015 slå fast att Norrbotniabanan ska påbörjas under nästa mandatperiod. Det är detta som vi är överens med Vänsterpartiet om: Under nästa mandatperiod ska Norrbotniabanan påbörjas. Regeringens ambition är också att ställa sig bakom en ansökan till EU om finansiering, men i vilka delar och i vilken omfattning har vi ännu inte tagit ställning till. Självklart behöver detta projekt vägas mot andra angelägna infrastruktursatsningar. Vi kommer att ha stora investeringsbehov, framför allt på järnväg men också på andra områden, under åren som kommer. Självklart kommer man även i en rödgrön infrastrukturproposition och nationell plan så småningom att behöva göra prioriteringar mellan angelägna projekt. Nu är Norrbotniabanans första etapp med i budgetpropositionen. Vi har slagit fast att det här är en viktig och angelägen satsning för norra Sverige men också för hela Sverige. Det är ju inte bara Norrbotten som lever av malmen. ","S"
"Jonas Sjöstedt","Herr talman! Tack, statsrådet, för svaret! Här kom ett tydligt besked att regeringen ska ställa sig bakom en ansökan om medfinansiering till Europeiska unionen. Det är ett väldigt viktigt budskap, därför att i det budskapet ligger också en tidtabell för att saker måste göras och att det här projektet kommer att komma igång under vissa år som vi har framför oss.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag tycker att det är viktigt att man söker medfinansiering för hela banan. Då har man nämligen också ett besked om att banan ska vara färdig 2030, och det är ett väldigt viktigt besked för Norrbotten och Västerbotten. Det är också just den här bansträckningen som har pekats ut som möjlig för att få den ganska generösa medfinansieringen, skatteåterbäringen, från EU. Helena Lindahl frågade vad vi har kommit överens om i budgeten. Det står uttryckligen i budgeten, så det kan man läsa där. När vi började förhandla fanns det ingenting om Norrbotniabanan. Men Vänsterpartiet tog initiativet till att det skulle föras in, och det var någonting som Socialdemokraterna och Miljöpartiet höll med om. Det var alltså ingen svår fråga att lösa i budgetförhandlingarna, men för oss var det viktigt att få svart på vitt att Norrbotniabanan ska byggas. Det står också i överenskommelsen att det ska vara en byggstart. Det handlar om hela bansträckningen mellan Umeå och Luleå. Det är hela Norrbotniabanan som ska byggas, och det ska in i planen. Det som nu är frågan är i vilket tempo banan ska byggas och om man ska söka stöd från EU för hela banan, vilket jag menar att man ska göra. Då har vi nämligen en garanti att den kommer att byggas så snart som det är möjligt. Skillnaden mot den borgerliga regeringen är slående. Där fanns ingenting av detta. Det fanns inget beslut om att banan skulle byggas. Banan fanns inte i planen. Faktum är att det har varit ett antal förlorade år på grund av att vi har haft en borgerlig regering. Skulle olyckan ha varit framme så att vi hade fått en borgerlig regering igen, ja, då hade vi inte haft någon bana nu heller. Om du, Helena Lindahl, menar allvar med att du vill ha Norrbotniabanan ska du rösta på regeringens och Vänsterpartiets budget. Då får du Norrbotniabanan. Röstar du på er egen budget får du ingen Norrbotniabana. Upp till bevis här i kammaren om några veckor! Vill du rösta för att den byggs i praktiken också, enligt beslut i statsbudgeten? Jag tycker att det är viktigt att se den långsiktiga betydelsen av den här typen av infrastrukturinvesteringar. Jag skulle vilja peka ut tre områden där detta är avgörande. Det första är klimat- och miljöfrågorna, som man ofta glömmer bort när man talar om infrastruktur. Men den här banan ger möjlighet att långsiktigt föra över mycket stora godsvolymer från landsväg och tunga lastbilstransporter till järnvägstransporter. Stora investeringar är på gång, till exempel i Norrbotten inom gruvnäringen, och då behövs verkligen den här järnvägen. Ska vi klara klimatutsläppen, som ökar mest inom de tunga transporterna på landsväg, behövs precis den här typen av investeringar. Det här är att ta klimatansvar för kommande generationer. Det handlar också om svensk industris konkurrenskraft. Jag tycker att mycket av diskussionen om arbetslöshet och arbete i valrörelsen var lite ytlig. Man pratade om restaurangmoms, RUT-bidrag och sådant, när det är den här typen av investeringar som långsiktigt bygger upp svensk internationell konkurrenskraft - att vi har transporter som är moderna, som är att lita på och som gör att man vågar investera i hela landet.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Sist men inte minst är den här investeringen ett budskap om att med en politik som inte är borgerlig finns det en chans även för andra delar av Sverige att få del av investeringar. Det är inte bara Förbifart Stockholm, utan det är investeringar som hela Sverige har nytta av. Det finns en tydlig skillnad mellan när Vänsterpartiet är med och förhandlar och när vi inte är med och förhandlar när det gäller var pengarna hamnar någonstans. Banan är också viktig för att bygga ihop vårt järnvägsnät med det internationella järnvägsnätet. ","V"
"Helena Lindahl","Herr talman! Det var intressant att Jonas Sjöstedt nämnde Förbifart Stockholm. Om man inte hade frusit satsningen - vilket kommer att kosta skattebetalarna 1 miljard - hade man kunnat gå vidare med projektet. Men det är klart att jag tycker att det är rätt stötande att 1 miljard går till ingenting. Dessa pengar hade till exempel kunnat gå till Norrbotniabanan, Jonas Sjöstedt. Om jag röstar på en helhetsbudget, Jonas Sjöstedt, innebär det att jag inte kan lyfta ut enskilda delar. Den praxisen känner Jonas Sjöstedt mycket väl till. Jag kommer inte att rösta ja till höjda arbetsgivaravgifter för unga, höjd kilometerskatt, som kommer att straffbeskatta Norrland, eller minskade transportbidrag till norra Sverige. Det var någon som nämnde Almedalen. Jag var jätteglad i Almedalen, för mitt och Centerpartiets arbete med att försöka få fram en förhandlingsperson hade gått igenom. Det har varit många nätter och många timmar av förhandlingar och mycket arbete för att få fram en förhandlingsperson som till exempel ska titta på infrastruktursatsningen i norra Sverige, däribland Norrbotniabanan. Jag tänker fortsätta att vara glad för det. Om Norrbotniabanan byggs reellt kommer jag att bli jätteglad. Ni hänvisar till att jag skulle vara bitter av en viss anledning. Jag kommer nog att bli lite bitter om byggstarten på Norrbotniabanan kommer att ske i Umeå och Dåva industriområde, för jag tycker inte att det är en Norrbotniabana i praktiken. Jag vill återigen ställa min fråga, för jag tycker egentligen inte att jag har fått något klart svar när det gäller Norrbotniabanan. I budgeten läser man att regeringen avser att inom ramen för nästkommande infrastrukturplan genomföra byggstart av Norrbotniabanan mellan Umeå och Luleå. Vad innebär de facto en byggstart? Med tanke på att Jonas Sjöstedt ställer samma fråga till infrastrukturministern har man kanske all anledning att vara lite orolig. ","C"
"Leif Pettersson","Herr talman! Om inte olyckan hade varit framme 2006 hade Norrbotniabanan börjat byggas 2010. Det är så det är. Då hade vi visserligen inte börjat bygga från Umeå, utan mellan Piteå och Skellefteå. Det är kanske den del som är tydligast när det gäller nyttan av Norrbotniabanan på kort sikt. Rönnskärs smältverk finns utanför Skellefteå, och de frakter som kommer från Aitikgruvan utanför Gällivare ned till Rönnskärs smältverk skulle må bra av en Norrbotniabana. Men nu är det inte så, utan nu ska vi i stället börja söderifrån. Nu ska vi börja från Umeå och sakta men säkert bygga oss uppåt. Det går inte fort att bygga infrastruktur i det här landet; det vet ni.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag måste säga att jag också tänkte om den förhandlingsman som utsågs att det ju i alla fall var någonting. Men sedan intervjuade man H G Wessberg och bad honom berätta vad hans uppdrag var, och då fanns inte Norrbotniabanan med längre. Då talade han allmänt om infrastruktur i norra Sverige, att det kanske skulle kunna bli någonting och så vidare. Men egentligen var det tunnelbana han skulle förhandla om. Så mycket för den förhandlingsmannen, säger jag. Det skulle inte ha blivit något med H G Wessberg som förhandlingsman heller. Kom ihåg att vad som kommer att hända under ett antal år framåt är att någonstans runt 450 miljarder kommer att investeras i Arktis. En hel del av de transporter som ska gå därifrån och nedåt Europa måste gå genom Norrbotten och efter Norrbotniabanan. Men det är i ett lite längre perspektiv. Det är jätteviktigt att banan kommer till stånd. ","S"
