"Mehmet Kaplan","Herr talman! Carl-Oskar Bohlin har frågat klimat- och miljöministern vilka åtgärder hon avser att vidta för att det ska bli enklare att bygga i sjönära lägen där exploateringstrycket i dag är mycket lågt. Interpellationen har överlämnats till mig.  Jag vill inledningsvis framhålla att det enligt plan- och bygglagen är en kommunal angelägenhet att planlägga användningen av mark och vatten. Vid prövning av en ansökan om bygglov ska kommunen bland annat se till att ny bebyggelse lokaliseras till mark som är lämpad för ändamålet med hänsyn till möjligheterna att ordna trafik, energi- och vattenförsörjning, avlopp och elektronisk kommunikation. Kommunen ska också ta hänsyn till behovet av ny bostadsbebyggelse. Natur- och kulturvärden ska beaktas liksom miljö- och klimataspekter. De sistnämnda aspekterna är särskilt viktiga vid prövning av ny bebyggelse i strandnära lägen eftersom risken för översvämning och ras kan vara stor i närheten till sjöar och vattendrag. Vid prövningen av bygglov ska kommunen inte bara ta hänsyn till allmänna intressen utan också beakta olika enskilda intressen.  Som grund för prövningen ska kommunen ha en aktuell översiktsplan som anger grunddragen i fråga om den avsedda användningen av mark- och vattenområden. I översiktsplanen ska kommunen bland annat redovisa områden för landsbygdsutveckling i strandnära lägen.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det ankommer på kommunen att göra de ofta svåra avvägningarna i ett bygglovsärende. Min erfarenhet är att byggnadsnämnden i regel har en positiv inställning till ansökningar om bygglov inom sådana områden som Carl-Oskar Bohlins fråga gäller, det vill säga inom landsbygds- och glesbygdsområden där exploateringstrycket är mycket lågt.  I fråga om byggande i strandnära läge ska kommunen även tillämpa miljöbalkens bestämmelser om strandskydd som ligger nära den frågeställning som Carl-Oskar Bohlin tar upp. Jag vill framhålla att jag anser att strandskyddet fyller en oerhört viktig funktion genom att det skapar unika förutsättningar för allmänheten att ha tillgång till naturupplevelser och för bevarandet av en biologisk mångfald.   Flera nya bestämmelser om strandskydd trädde i kraft så sent som 2009 och 2010. De ändringar som då ägde rum syftade bland annat till att utveckla ett ändamålsenligt strandskydd som beaktar behovet av utveckling i hela Sverige, särskilt i många landsbygder, samtidigt som ett långvarigt skydd av strändernas natur- och friluftsvärden inte äventyras. Ändringarna syftade också till att öka det lokala och regionala inflytandet över strandskyddet.  Kommunerna har numera huvudansvaret för att pröva frågan om undantag från strandskyddet. Vid den prövningen ska hänsyn tas till olika allmänna och enskilda intressen med utgångspunkt från kriterier i miljöbalken. De ändringar som genomfördes innebar vidare att särskilda regler för landsbygdsutvecklingsområden i strandnära lägen utformades. Sådana områden ska som nämnts redovisas i kommunens översiktsplan. Genom dessa regler har det skapats nya möjligheter att göra vissa undantag från strandskyddet.  En särskild delegation, Strandskyddsdelegationen, arbetar nu med kompetensutveckling när det gäller tillämpningen av strandskyddsreglerna. Syftet är bland annat att effektivisera tillämpningen av de nya reglerna i samhällsplanerings- och byggprocesserna. Delegationen ska slutredovisa sitt uppdrag i december i år. ","MP"
"Carl-Oskar Bohlin","Herr talman! Jag noterar att jag av bostadsministern precis fick en redogörelse för gällande rätt. Men jag fick över huvud taget inte svar på min fråga om vilka åtgärder bostadsministern tänker vidta för att det ska kunna bli lättare att bygga i sjönära läge där exploateringstrycket är lågt. Jag ska villigt erkänna att det var en retorisk fråga. Jag tror nämligen inte att bostadsministern avser att göra ett enda dugg för att det ska bli enklare att bygga i sjönära läge. Jag tror snarare det rakt motsatta. Bostadsministern refererar nämligen till de förändringar som gjordes 2009 och 2010 för att göra det enklare att få möjlighet att bygga i sjönära läge. Men den propositionen var bostadsministern emot. Socialdemokraterna reserverade sig här i kammaren. Och bostadsministern var då själv riksdagsledamot och satt och röstade emot. Jag menar att detta hämmar utvecklingen på landsbygden. Vi har i dag 42 000 mil strand i det här landet. Det räcker tio varv runt jorden. Och bostadsministern menar att ingen människa ska kunna bo och bygga ett hus vid stranden. Jag menar att det är fel.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Ska vi förstå det som bostadsministern säger som att den enda platsen i Sverige där det är lämpligt att bygga bostäder är där det redan i dag finns väl fungerande flygplatser? ","M"
"Ola Johansson","Herr talman! Intentionerna med strandskyddslagen från 2009 var att det ska vara möjligt att bygga i strandnära lägen i syfte att göra boende på landsbygden mer tillgängligt och attraktivt. På så sätt ska man åstadkomma landsbygdsutveckling, med bättre offentlig kommersiell service, arbetstillfällen, nya växande företag och stigande fastighetsvärden. Samtidigt ska högexploaterade kuster även fortsättningsvis ha ett starkt skydd. Ministerns svar, i den mån det tillför något, är närmast att betrakta som en halvdan kunskapssammanfattning.  Jobb, företagande och service i hela landet är viktigt för Centerpartiet. Därför har vi från allra första början varit pådrivande för att underlätta strandnära byggande. Det ska vara möjligt att förverkliga bodrömmar på landsbygden och i små samhällen intill sjöar och vattendrag. Världens mest attraktiva och moderna landsbygd finns i Sverige, mycket tack vare vår natur men också den spridda bebyggelsen. När ministern får frågor om hur han ska komma till rätta med bostadsbristen i storstäderna borde han ta chansen att ta krafttag mot urbaniseringen genom att tillåta fler bostäder på landsbygden. Låga fastighetsvärden är det starkaste skälet till att vi ännu inte har fått fart på byggandet i många av landets inlandskommuner. Det är inte möjligt att få banklån eftersom marknadsvärdet understiger byggkostnaden. Och många vittnar om att bebyggelsens placering invid en strand skulle kunna bidra till att det blir lättare att få banklån för att bygga ett hus än för att köpa en ny snöskoter. Därför är möjligheten att inrätta LIS-områden i översiktsplanerna viktiga för kommunerna. Det är viktigt för att kunna attrahera inflyttning, stärka skattekraften, få underlag till skolor och utbyggd kollektivtrafik, stärka civilsamhället och kulturutbudet eller kanske få ihop ungdomar till det lokala fotbollslaget. Ministern lyfter i någon mån fram den möjligheten i sitt svar. Problemet är att det finns på en del håll men inte överallt. Mitt hemlän, till exempel, hör till de mest restriktiva. Jag vill påstå att man i Halland bryter mot lagen när man bara släpper på det utvidgade strandskyddet vid 4 av de 35 vattendragen där det finns ansökningar. På den Sverigekarta som jag nu visar för kammarens ledamöter kan man se vilka länsstyrelser som beviljar dispenser och vilka som har som huvudregel att inte göra det. Länen i rött är mer tillåtande, och länen i gult är mer restriktiva. Den särskilda delegation, Strandskyddsdelegationen, som tillsattes av alliansregeringen för att komma åt problemen, och som också beskrivs i Carl-Oskar Bohlins interpellation, har haft till uppgift att arbeta med kompetensutveckling, inte minst hos länsstyrelserna. Just nu ägs frågan om tillämpningen helt och hållet av domstolarna medan förtvivlade markägare tappar tron på oss politiker, på tjänstemän och på myndigheter. De upplever att de tas ifrån rätten att göra bruk av och bebygga den mark som de har köpt eller kanske till och med ärvt av sina föräldrar eller tidigare generationer.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Så jag upprepar Carl-Oskar Bohlins fråga: Vad har ministern och hans kolleger i regeringen för avsikter när det gäller att reda ut det osäkra rättsläget och den stora skillnaden i tillämpningen av strandskyddsbestämmelserna i landets olika länsstyrelser? Det gäller de gula länen som inte följer lagen. ","C"
"Fredrik Christensson","Herr talman! Tack, interpellanten, för en väldigt viktig fråga att diskutera! Tack, statsrådet, för att du är här! Jag hade en interpellationsdebatt här i kammaren för ett par veckor sedan med din kollega Åsa Romson om just strandskyddet. Jag lyfte då fram den problematik som man ser runt om i landet. Under det senaste året, 2014, var det många länsstyrelser som arbetade med det utökade strandskyddet och bearbetade dessa förslag.  Det har skapats mycket starka känslor eftersom intentionerna i lagstiftningen inte lyser igenom i det arbete som görs. Intentionerna, som de tidigare talarna har varit inne på, var att möjliggöra utbyggnad på landsbygden där exploateringstrycket är lågt, men också att minska exploateringstrycket där det är högt, till exempel på Bohuskusten där jag kommer ifrån. Den tydliga intentionen i lagstiftningen var att det skulle tas lokal hänsyn. Det var också det som fanns med i de riktlinjer som skickades över till länsstyrelserna. Så har inte skett. Det finns en avsaknad av samråd på många håll runt om i landet. Just nu har många överklaganden hamnat på regeringens bord som ni kommer att ha att hantera under våren, både från kommuner och från enskilda markägare. Det finns områden där man inte har tagit hänsyn till landsbygdsperspektivet. Det kan handla om så enkla saker som förtätningar i redan befintliga områden för att möjliggöra för fler människor att bosätta sig där - detta för att man ska få ett underlag för skola, vård, omsorg, butiker och så vidare. Det är det stora problemet. Sedan är det också ett stort problem med hanteringen. Hanteringen har varit olika beroende på var i landet man bor. Beroende på berörd länsstyrelse har det förts en bra eller mindre bra dialog där man som kommun eller enskild markägare har fått eller inte har fått gehör för sina synpunkter. Det är oerhört viktigt att föra frågan vidare. Vi ser med oro på att länsstyrelserna har tagit till sig så få förslag från kommunerna där det har tagits hänsyn till det lokala perspektivet. Detta är en viktig fråga för regeringen. Min följdfråga till statsrådet är: Funderar regeringen på att återkomma med förslag till förändringar i direktiven eller av lagstiftningen för att tillämpningen ska ske enligt den intention som finns i lagstiftningen, att det ska tas lokal hänsyn, så att det blir möjligt att utveckla, bo och bygga i hela landet? ","C"
"Hillevi Larsson","Herr talman! Det här är ju ingen lätt fråga eftersom det ser så olika ut i olika delar av landet. Det är det som är en del av problemet. Det finns områden som är nästan helt obebyggda där det kan tyckas att det borde vara tillåtet med fler undantag. Men sedan finns det också hårt exploaterade områden, framför allt Stockholmsområdet och Göteborgsområdet.    STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Problemet är att få till en lagstiftning som ska gälla för hela landet. Det är det som är dilemmat här. Går man för långt åt ena hållet kan det få negativa konsekvenser. Släpps det fritt är risken att exploateringen ökar ytterligare i redan högexploaterade områden. Även i storstadsområdena finns det ett intresse av att befolkningen ska ha tillgång till friluftsliv, och det berör väldigt många människor, till exempel i Stockholmsregionen. Det kan handla om turister som är på besök både från andra delar av Sverige och från andra länder. Dessutom måste man självklart ta hänsyn till den biologiska mångfalden. Att få till en lagstiftning som fungerar i hela landet är svårt. Därför kan man inte hur lättvindigt som helst ändra reglerna eftersom det kan få långtgående negativa konsekvenser. Men när det gäller de ändringar som har gjorts finns det en ambition att fler undantag ska kunna tillåtas i glesbygden. Det är också ett sätt att minska avfolkningen i Sverige där det förekommer mycket utflyttning från glesbygd till städerna. Det som den förra regeringen gjorde var att man började titta på undantag för till exempel mindre sjöar och mindre vattendrag. Där skulle det vara lättare att göra undantag i glesbygden. Kommunerna skulle få hjälp med att se vilka områden som kan vara aktuella. Det krävs ju att det ska finnas med i detaljplanen för att det ska vara möjligt att göra undantag. Kommunerna skulle helt enkelt få stöd i det arbetet.  Det finns säkert mycket mer som kan göras, men jag tror inte att man kan förvänta sig en total omstöpning av lagen. Då kan konsekvensen bli att värden som aldrig går att återskapa förloras. Har det väl byggts strandnära blir det väldigt svårt att riva den bebyggelsen. Har det byggts för mycket i högexploaterade områden, då är det risk för att friluftslivet försämras för de boende, och det gäller även den biologiska mångfalden. Här får man nog gå försiktigt fram. Tillämpningen av lagen är ju inte vårt huvudansvar. Men jag tror att det ligger mycket i att medge undantag och se till att det tillämpas på ett bra sätt ute i glesbygden, och där har kommunerna fått ett större inflytande. Problemet är dock det omvända i framför allt storstadsområdena. Vi vill ju inte se att all kust bebyggs. Allemansrätten är något väldigt unikt för Sverige som ger tillgång till inte minst gratis badstränder. Många i andra länder är förundrade över att vi har den möjligheten. Där kan det vara bebyggt överallt, och där kan det kosta pengar att bada i havet. Det är alltså väldigt viktigt för Sveriges befolkning att allemansrätten gäller fullt ut även vid stränderna. Det är också väldigt viktigt för turistindustrin att vi kan locka med vackra stränder. Sedan borde man kunna göra fler undantag i glesbygden eftersom det där finns så många stränder. ","S"
"Mehmet Kaplan","Herr talman! Tack så mycket, interpellanten och debattörerna! Det här är en angelägen fråga, inte minst för att det rör sig om värden som långsiktigt handlar om synen på vårt land bland våra medborgare och på vilket sätt som vi avser att använda den natur som vi har.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det generella strandskyddet i Sverige är unikt. Det kan bland annat ses som en del av vår allemansrätt. Stränderna har vi till låns, och vi är skyldiga att bevara dem för våra barn och barnbarn, för kommande generationer. Anledningen till att jag tar upp detta som är grundläggande är att det ibland bortses från dessa värden. Jag tycker att Hillevi Larsson tog upp det på ett föredömligt sätt. Om man bara ser det som ett boende och byggande har man ideologiska skygglappar. Här finns också stora värden. Utöver kommande generationer handlar det om växande värden för friluftslivet och turismen.  Det finns få länder i Europa, om ens något, som kan erbjuda så riklig tillgång till orörda stränder som Sverige. Bevarandet av stränderna har därmed betydelse för internationell turism. Dessutom har detta en potential för det som jag tror mig veta att Centerpartiet brinner för, nämligen en levande landsbygd som också kan leva på andra saker än de traditionella näringarna. Låt mig ta upp de frågor som Carl-Oskar Bohlin berörde. Han försöker kleta fast på regeringen uttalandet att ingen människa ska kunna bo strandnära. Så är det naturligtvis inte. Det finns en lagstiftning, som dessutom hanterades av den regering för vilken Carl-Oskar Bohlin utgjorde riksdagsunderlag under föregående mandatperiod.  Låt oss titta på vad de nya reglerna faktiskt hanterar. Frågan om strandskyddet kan upphävas är numera ytterligare detaljreglerad. Det går. Bland annat kan strandskyddet upphävas om det gäller en liten sjö eller ett litet vattendrag och områdets betydelse för att tillgodose strandskyddet som sådant och dess syften är litet. Det är en helt ny bestämmelse som trädde i kraft så sent som den 1 september förra året. Den möjlighet som har skapats ska kunna medföra vissa lättnader i strandskyddet i vissa områden.  Här finns dock ett skydd medtaget i lagstiftningen, nämligen att det krävs en inventerings- och beslutsprocess för att klara ut när, var och hur sådana upphävanden ska kunna ske. Hur denna nya bestämmelse ska komma att tillämpas blir viktigt och intressant att följa. Att ge sig in på ett sådant område efter knappt ett halvår utan att se på hur tillämpningen har gått till är något som den här regeringen inte avser att göra. Vi har inte en ändring av strandskyddsbestämmelserna på agendan. Lagen måste få verka, och vi måste se vilka följdverkningar lagen har fått. Ola Johansson tog upp frågan om att motarbeta urbanisering genom att tillåta byggande i strandnära lägen. Jag återkommer till frågan i mitt nästa inlägg. ","MP"
"Carl-Oskar Bohlin","Herr talman! Jag finner det underligt hur bostadsministern gång efter annan slår sig för bröstet och refererar till en gällande lagstiftning som han själv har varit motståndare till. Hans parti röstade mot förändringarna i strandskyddslagen, som syftade till att göra det enklare att bygga i sjönära lägen. Hillevi Larsson har rätt i en sak, nämligen att det inte är vi i denna kammare som tillämpar lagen, men det är likväl vår skyldighet att förhålla oss till det faktum att lagstiftningen inte tillämpas så som våra intentioner med lagstiftningen var. Intentionerna var att i större utsträckning än vad som var fallet kunna beakta lokala förutsättningar för att få ett jämnare exploateringstryck och för att kunna utnyttja de komparativa fördelarna med att bo på landsbygden.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag nämnde tidigare att det finns 42 000 mil strand i landet. I mitt eget hemlän Dalarna finns 3 000 mil. Det innebär att om så varenda mas och kulla vill bosätta sig vid en strand skulle det bli en halv kilometer strand till varje familj. Det säger något om hur mycket av den typen av mark som finns i landet. Likväl har man vid varje tillfälle Miljöpartiet har fått chansen att säga sitt i frågan försökt strama åt och skärpa regelverket just därför att människor i mindre utsträckning, inte i större utsträckning, ska få möjlighet att bosätta sig i strandnära och natursköna lägen. Jag menar att detta på sikt är ett problem för landsbygden, och jag skulle vilja att bostadsministern svarar på vad som är hans egentliga intention. Är det att gå fram med de åtstramningar ni röstade för när ni befann er i opposition, eller är det att försöka bejaka de intentioner som fanns när lagstiftningen kom på plats 2009-2010? Vår intention var att det skulle bli lättare att bygga i strandnära lägen. I er reservation till den proposition som röstades igenom framgick det att om det finns en konflikt mellan landsbygdsutveckling och strandskydd ska strandskyddet äga företräde. Ministerns uttalande i talarstolen om att värna landsbygdsutveckling är bara en chimär eftersom han inte förespråkar det i praktiken. Jag skulle vilja fråga bostadsministern vad han tycker om den skrivelse som kom in till regeringen från Sveriges Kommuner och Landsting i november. Man oroar sig för en rättsosäker utveckling. SKL ser hur länsstyrelser runt om i Sverige, precis som Ola Johansson manifesterade genom att visa upp kartan tidigare, på ett rättsosäkert sätt snarare än att göra det enklare att få dispens för byggnation i sjönära läge förstärker strandskyddet. Skyddet utökas till 300 meter i stället för 100 meter utan att över huvud taget redovisa några skäl för det. Det går helt stick i stäv med intentionerna för den i dag fyra år gamla lagstiftningen. Vad avser ministern att göra åt detta, eller välkomnar ministern utvecklingen? I detta anförande instämde Erik Ottoson (M) och Ola Johansson (C). ","M"
"Ola Johansson","Herr talman! Dessvärre kommer jag inte att kunna bemöta Mehmet Kaplans tal om urbanisering, men sannolikt kommer han att nämna Bromma i sitt anförande. Herr talman! Jag har visat hur landet är uppdelat i utvecklingsinriktade länsstyrelser som ser möjligheterna till dispenser och sådana som väljer att lägga en död hand över utvecklingen på landsbygden. Jag noterar att Hillevi Larsson tar upp möjligheterna som finns i att landet ser olika ut medan ministern, som tillhör samma regeringsunderlag, talar om värdet av det generella strandskyddet. Det är två helt skilda uppfattningar, enligt mitt sätt att se. Det är säkert något som ni har anledning att diskutera i regeringskretsen. Jag vill under återstoden av mina två minuter beskriva ärendet Dannebacka 1:6 i Kungsbacka. Kungsbacka är en kustkommun. Men i det här fallet handlar det inte om vår vackra klippkust i norr eller våra vita sandstränder i söder utan om ett grävt dike - den raka linjen på kartan jag visar här i talarstolen - mitt på Onsalahalvön.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Sökanden beviljades våren 2014 dispens från strandskyddet av kommunen, som länsstyrelsen sedan upphävde. Beslutet överklagades sedan till mark- och miljödomstolen, som i november upphävde både länsstyrelsens och kommunens beslut. Domstolen menade att diket som grävdes på 1860-talet för att avvattna åkrarna i det fattiga Onsala så att de vattensjuka markerna skulle kunna odlas upp och därmed hejda emigrationen till Amerika inte omfattas av strandskyddet och därför inte heller är i behov av dispens. Det är ett bevis på att regeringen måste styra upp lagen eftersom länsstyrelserna inte vet vad som gäller i lagen.  Det är min uppfattning att man på många länsstyrelser, bland annat i Halland och i en del kommuner, inte tolkar lagen rätt. De politiska signalerna är därför betydelsefulla. I avvaktan på ett avgörande i Mark- och miljööverdomstolen vill jag vädja till landsbygdsminister Bucht och till Romson och Kaplan att peka ut riktningen. ","C"
"Fredrik Christensson","Herr talman! Jag vill fortsätta diskussionen med den inriktning jag hade från början. Många andra har pratat om dispenserna och att det finns länsstyrelser som är bättre eller sämre på att ge dispenser, beroende på vilken syn man har på dispenser i strandskyddet. Det problem vi kan se växa är de beslut som har fattats av länsstyrelser runt om i landet som kommer att hamna på regeringens bord på grund av överklaganden från kommuner och enskilda markägare som har fått strandskydd ålagda. Det generella strandskyddet i lagstiftningen var 100 meter med en möjlighet att utöka skyddet till 200 meter eller 300 meter om så önskades, men det skulle vara i det enskilda fallet, och det skulle motiveras tydligt. Så har inte skett, och därför är många människor upprörda. Det blir en stor och kraftig begränsning i äganderätten. Hela frågan kring strandskyddet är ju en avvägningsfråga mellan äganderätten och allemansrätten, mellan utveckling och skydd. Den avvägningen har tyvärr saknats på många håll, och det är därför denna fråga väcker så otroligt mycket känslor. Mina frågor till Kaplan är återigen: Vad ämnar regeringen göra för att tillämpningen mer ska gå mot den intention som finns i lagstiftningen? Har regeringen för avsikt att göra några förändringar? Hur ser regeringen på alla de överklaganden som nu kommer att hanteras? På vilket sätt kommer regeringen att hantera dem? För den enskilde gäller det att de prövas på ett rättssäkert sätt. ","C"
"Hillevi Larsson","Herr talman! Det finns två stora problem i detta. Det ena är det som jag har varit inne på tidigare: Vi ska ha en lagstiftning som gäller för hela landet trots att det ser väldigt olika ut. Man borde kanske minska det strandnära byggandet i tätbefolkade områden och öka det i glesbygdsområden. Det blir väldigt svårt att hitta en enhetlig lagstiftning som passar överallt. Det är ett dilemma. Vi kan inte låta pendeln svänga för långt åt det ena hållet, för då kommer det att drabba den andra sidan. Tillåter vi stora avsteg från strandskyddet i glesbygdsområden kan vi kanske se till att det gäller även i tätbebyggda områden, och tvärtom. Det är det som är problemet. Man måste hitta en balans och så långt som möjligt kunna göra undantag i båda riktningarna.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Sedan gäller det tillämpningen. Vi kan bara följa hur tillämpningen sker. Vi kan möjligtvis förändra lagstiftningen genom att försöka förbättra tillämpningen, men det ligger ändå ytterst på kommunerna och länsstyrelserna med flera att tillämpa detta. Vi ska inte glömma att det finns en omvänd kritik, och den gäller att man har lyckats få dispens och kommit runt strandskyddet i tätbebyggda områden. Det är också ett problem. I glesbygden upplever man att det är för svårt att bygga i strandnära lägen, och i tätbebyggda områden lyckas man på olika sätt få dessa undantag som man kanske egentligen inte borde ha fått. Vi har i förlängningen ett scenario där allemansrätten inskränks i tätbebyggda områden, och det berör många människor som bor där. Det berör också turistindustrin, då många turister reser till Stockholmsområdet. Det är alltså ett intresse för oss alla. Det är en svår balansgång och avvägning, men vi får väl först och främst se hur reglerna tillämpas. ","S"
