"Magdalena Andersson","Herr ålderspresident! Niklas Wykman har frågat mig om vilka åtgärder regeringen avser att vidta för att underlätta för yngre och äldre på arbetsmarknaden med hänsyn till den demografiska utvecklingen. Även Jan Ericson har frågat mig hur fler ska komma i arbete, men också vilka reformer som regeringen avser att vidta för att öka produktiviteten. Jag ger ett gemensamt svar på dessa båda interpellationer. Regeringens politik vägleds av målet att antalet personer som arbetar och antalet arbetade timmar i ekonomin ska öka så mycket att Sverige 2020 har lägst arbetslöshet i EU. En utgångspunkt för regeringens politik är att alla människors kompetens och vilja att arbeta ska tas till vara. Det finns många tecken som tyder på att så inte sker i dag. Många unga står i dag utan arbete, och många klarar inte att jobba till 65 års ålder. Mer än 100 000 personer är långtidsarbetslösa. Samtidigt har företagen i vissa fall svårt att få tag i den kompetens de efterfrågar. Sedan 2006 har betydande skattesänkningar genomförts. Denna politik har inte fått de avsedda effekterna på sysselsättningen. För att stärka sysselsättningen och minska arbetslösheten krävs en ny politik där vi prioriterar investeringar i jobb, klimat och skola före skattesänkningar. För att långsiktigt stärka den svenska konkurrenskraften och skapa förutsättningar för nya jobb krävs ökade investeringar i utbildning. Utbildningssystemet måste utformas på ett sätt som rustar människor för arbetsmarknadens behov. Fler unga behöver slutföra sin gymnasieutbildning, vilket kräver både tidiga insatser för att alla ska lyckas ta sig till gymnasiet och ett utbildningskontrakt så att alla unga ska klara gymnasiet. Dessutom har regeringen i budgetpropositionen 2015 föreslagit en utbyggnad av antalet platser i högskolan, yrkeshögskolan och vuxenutbildningen. Målsättningen är att både stärka arbetskraftens kompetens och underlätta matchningen på arbetsmarknaden. Förutom investeringar i utbildning vill regeringen öka produktiviteten genom satsningar på infrastruktur, miljö och klimat samt genom att bedriva en aktiv näringspolitik. Genom produktivitetshöjande investeringar läggs grunden för framväxt av nya företag och arbetstillfällen. För att se till att arbetslösa ungdomar kommer i jobb har regeringen i budgetpropositionen 2015 föreslagit flera åtgärder som rustar arbetslösa ungdomar för arbetsmarknadens behov. Inom ramen för traineejobben ges ungdomar utbildning och erfarenhet som efterfrågas på arbetsmarknaden. För att få fler äldre att arbeta längre vill regeringen genomföra satsningar som förbättrar arbetsmiljön. Regeringen föreslog i budgetpropositionen 2015 till exempel förstärkta resurser till Arbetsmiljöverket för att se till att arbetsgivarna tar ansvar för en arbetsmiljö som möjliggör ett långt arbetsliv. Ökade resurser till välfärden minskar dessutom belastningen för dem som arbetar inom till exempel äldreomsorgen, så att de orkar jobba längre. Många arbetar deltid eller inte alls för att kunna vårda en äldre anhörig. En väl fungerande välfärd bidrar också till att minska anhörigas ansvar för omsorgen och gör det möjligt för dem att arbeta mer. Sammantaget är regeringens bedömning att satsningar på att höja utbildningsnivån, förbättra matchningen och möjliggöra ett långt arbetsliv kommer att bidra till en hög sysselsättning och en god och uthållig produktivitetstillväxt. "
"Niklas Wykman","Herr ålderspresident! Tack för svaret, finansministern! Det var nog många, särskilt de över 65 år, som höjde på ögonbrynen när beskedet från finansministern och finansmarknadsministern kom att man totalt sett skulle höja skattetrycket på dem över 65 år i ekonomin. I valrörelsen hade man talat sig varm för att man skulle sänka skatten för pensionärer. På totalen blev det i stället en höjning av skatten för pensionärer. Det som sedan hände var ett första tecken på den förlorade kontrollen över offentliga finanser som finansministern sedan dess har uppvisat. Nu är det underskott under alla år i mandatperioden. Från att ha varit mycket kritisk till Alliansen som stimulerade ekonomin under den värsta ekonomiska tiden sedan depressionen har nu finansministern i ett mer normaliserat läge lagt fram en prognos som pekar på underskott i alla fyra år då hon ska vara finansminister. Detta sker i en tid då Sverige står inför svåra utmaningar. Den internationella konkurrensen tilltar, och vår egen befolkning åldras. Samtidigt har vi stora behov av att med ny teknik, nya mediciner och nya behandlingar utveckla vår gemensamma välfärd. Om det ska fungera behöver givetvis fler människor delta i arbetskraften. Vi behöver börja jobba tidigare, vi behöver stanna kvar längre och de arbetade timmarna behöver öka. Detta har finansministern på en teoretisk nivå insikter om eftersom det ligger i det arbetslöshetsmål som regeringen har. Men i praktiken däremot föreslår den en politik som går i motsatt riktning. Det har regeringen till och med själv skrivit i sin budgetproposition. Man kan misstänka att när det nu ska komma nya ekonomiska propositioner under våren kanske regeringen kommer att politisera texterna något och inte kommer att ha med sådana sanningsenliga beskrivningar av vad som hände med politiken. Men i sin första budget hade den missat detta, även om Socialdemokraterna i förra interpellationsdebatten jag hade med finansministern kallade Finansdepartementet för ett partikansli. Alliansen lämnade Sverige i ett starkt skick för att möta de utmaningar vi står inför. Trots ekonomisk kris hade vi god tillväxt. Vi hade högst sysselsättningsgrad i EU, och jobben blev 350 000 fler under alliansåren. Vi fick 40-70 miljarder kronor mer, lite beroende på hur man räknar, till den gemensamma välfärden. Det var en god grund för att skapa fler jobb i Sverige. Nu har denna goda grund förbytts mot en ökad instabilitet och ökad oro. Vi får motstridiga besked från regeringen. Vi har en framtidsminister som har sagt att vi behöver lägre skatter på arbete. Samtidigt har vi en finansminister som går fram och höjer skatten på arbete. Det är klart att det skapar stor osäkerhet för Sverige framöver. Vad är det som gäller som besked? Är det finansministerns besked om höjda skatter? Är det framtidsministerns besked om att vi behöver lägre skatter i Sverige? Vi får väl tro att det är finansministerns besked som gäller. Vi har en mycket instabil situation i Sverige som ett exportberoende land. Där var det tydligen i går möte med näringslivet. Finansministern var förvisso inte med. Men näringslivet deklarerade att det känner stor oro för den situation som är. Hur ska jobben då bli fler? Vi vet också att vi har den politik som nu ligger framför oss med höjda skatter på att bland annat anställa äldre. Det gör att sysselsättningen kommer att dämpas och minskas, så som regeringen själv skriver. Särskilt riktar sig olika skattehöjningar och försämringar mot svaga grupper på arbetsmarknaden. Med Alliansen såg vi den motsatta utvecklingen med högst sysselsättningsgrad i EU och 100 000 fler äldre som arbetade. Det var faktiskt så att sysselsättningen bland äldre i Sverige ökade fyra gånger så snabbt som EU-genomsnittet. Det beskriver finansministern som ett misslyckande. Det som hedrar finansministern är att hon här tidigare i dag har berömt det förstärkta jobbskatteavdraget för att det ger starka drivkrafter för äldre att arbeta och höjer sysselsättningen. Jag tror att det var första gången jag hörde Socialdemokraterna och finansministern tala om jobbskatteavdragets positiva effekter för sysselsättningen. "
"Jan Ericson","Herr ålderspresident! Jag vill tacka finansministern även för detta svar. Men tyvärr känns svaret mer som vackra ord med ganska lite konkret innehåll. Jag påpekade i mitt förra anförande att det gick ganska bra för Sverige under Alliansen. Niklas Wykman har också beskrivit detta i sitt anförande. Att man har lyckats så bra att få fler i arbete, öka skatteintäkterna och ge mer pengar till välfärden gynnar sysselsättningen och samhällsekonomin. Om inte detta är en framgångsrik politik, hur ska man då kategorisera en framgångsrik politik? Att tycka att vi har gjort att bra jobb innebär inte att vi är nöjda. Det innebär att vi tycker att vi har gjort ett bra jobb. Det är två olika saker. Det finns mycket kvar att göra för att värna arbetslinjen och ta vara på människors kompetens. Det gäller inte minst de människor som i dag står längst ifrån arbetsmarknaden. Det gäller nyanlända, förtidspensionerade, långtidssjukskrivna och människor med låg eller ofullständig utbildning. För att Sverige ska kunna vara konkurrenskraftigt gentemot omvärlden krävs det att ett antal reformer genomförs. Alliansregeringen genomförde bland annat 400 regelförenklingar för företagen 2008-2010 som fokuserade på att göra det enklare att driva företag. Vi gjorde rekordstora satsningar på både infrastruktur och forskning och storsatsade på utbildning. Andelen vuxna i utbildning ökade under Alliansens regeringstid jämfört med 2006. Allt detta lyckades Alliansen genomföra mitt under den djupaste globala lågkonjunkturen i modern tid. Alliansens reformer och satsningar bidrar till högre produktivitetsutveckling med fler växande företag, ökad konkurrens och mer effektiva metoder i produktionen. Tyvärr verkar den nya regeringens politik snarare vara inriktad på att höja skatter som riskerar att driva företag från Sverige och som samtidigt försämrar företagsklimatet och försvårar för nya arbetstillfällen att växa fram. Finansministern säger i sitt svar att regeringen vill satsa på utbildning, företagande och en aktiv näringspolitik. Det låter vackert. Men sanningen är att totalt höjer Socialdemokraterna och Miljöpartiet skatten omkring 40 gånger så mycket på arbete och tillväxt som de föreslår som satsningar på företagande. Det går inte att säga att det viktiga är hur man använder pengar, som Magdalena Andersson gör, när man faktiskt vet att man drar bort pengar från företagande och arbete och satsar dem på annat. Det är så verkligheten ser ut. Under tidigare socialdemokratiska regeringar valde man att minska den öppna arbetslösheten och öka produktiviteten bland annat genom att förtidspensionera bort lågpresterande arbetskraft. Året före Alliansens regeringstillträde 2006 förtidspensionerades 140 personer bort per dag. Man kan inte låta bli att känna oro för att regeringen återigen ska välja den lösningen för att få en snygg statistik där den kan visa produktivitetstillväxt per sysselsatt i arbetskraften och få en snygg statistik över arbetslösheten. Att dölja verkligheten bara genom att flytta människor mellan olika kolumner i statistiken löser inga samhällsproblem. Det döljer bara verkligheten. Jag vill här och nu fråga finansministern om hon kan garantera att regeringen inte kommer att öka takten i förtidspensioneringarna för att dölja arbetslöshet och visa en högre produktivitet. "
"Leif Jakobsson","Herr ålderspresident! När jag lyssnar till Niklas Wykman är det inte utan att jag känner mig lite manad att kommentera lite grann. Jag måste först av allt säga att när vi diskuterar hur många jobb som tillkommit under de åtta åren med borgerlig regering måste vi ändå ha med i bilden att befolkningen samtidigt har ökat med 500 000. Med en växande befolkning måste man inse att jobben av naturliga skäl hänger med. Det blir en väldigt konstigt verklighetsbeskrivning för alla de människor som sitter fast i fas 3 och alla de många människor som inte har fått utbildning och i dag går arbetslösa. Man målar upp en bild av att det var ett paradis på jorden som lämnades över i september 2014. På sista raden tillträdde alliansregeringen med en arbetslöshet med 6 procent och lämnade Sverige med en arbetslöshet på 8 procent. Det är på det den ska bedömas. Niklas Wykman var väldigt glad att finansministern talade om drivkrafter när det gällde de dubbla jobbskatteavdragen för pensionärer. Finansministern har all rätt att göra det, och Niklas Wykman är en välkommen ledamot i skatteutskottet. Under förra perioden lade vi ned ganska mycket energi på att borra i frågan för att se vilka effekter jobbskatteavdragen har. Om vi tittar tillbaka i de redovisningar som finns från de hearingar där olika forskare och olika aktörer har beskrivit hur de har sett på det ser vi att slutsatsen är att det enda område där man kunde se en positiv effekt av jobbskatteavdragen var just för dem över 65. För resten av jobbskatteavdragen kunde man över huvud inte se någon sådan effekt. Det blev också slutsatsen av hearingen om jobbskatteavdragen. Detta handlar, liksom delvis den förra interpellationen, om hur den äldre ska kunna finnas kvar i arbetskraften. Det var hovsamt av finansministern att i förra debatten endast hänvisa till de satsningar som regeringen vill göra och som blev nedröstade. Det gäller satsningar på arbetslivsforskning, på arbetsmiljö och en lång rad andra områden. Jag skulle särskilt vilja lyfta fram en satsning på vården och att se till att vi får fler anställda där. Det tror jag skulle vara det allra viktigaste för att många kvinnor ska orka till pensionen. De skulle behöva avlastas från de stressiga jobb de har i dag. Vad jag menar med det hovsamma är att finansministern också kunde ha påmint om att alliansregeringen på alla dessa områden har dragit ned, förstört och sparat in. Det gäller inte minst företagshälsovård och sådana delar som vi alla vet har så stor betydelse för den andra delen av Sverige, som kanske inte alltid är de som är jättepigga och jobbar vidare. De behöver det här stödet för att kunna jobba åtminstone fram till pensionsåldern. Det perspektivet skulle vara klädsamt om även Moderaterna hade i den här debatten. "
"Magdalena Andersson","Herr ålderspresident! Jan Ericson påstår att det var lite konkret innehåll i mitt svar. Då undrar jag vad det var han inte hörde. Det här är några konkreta punkter: Utbildningskontrakt är en konkret åtgärd. Fler utbildningsplatser på högskolan är väldigt konkret. Fler utbildningsplatser i yrkeshögskolan låter ganska konkret för mig. Fler utbildningsplatser i vuxenutbildningen, som i komvux och yrkesvux, är väldigt konkreta platser. Fler investeringar i infrastruktur är ytterligare en konkret åtgärd. Traineejobb för ungdomar är också konkret, och ytterligare resurser till Arbetsmiljöverket likaså. Detta var några av de ytterst konkreta åtgärder som jag hade med i mitt interpellationssvar. Jan Ericson säger att vi tar bort från företagande och arbete och satsar på annat. Då glömmer Jan Ericson att vi är ett samhälle och att samhället hänger ihop. När han säger att vi satsar på annat satsar vi till exempel på skolan och på att ungarna ska lära sig det de behöver där. Det kallar han för annat, men det är högst centralt för att ett företag ska kunna starta och rekrytera kompetent arbetskraft. Satsa på annat, säger du när vi vill bygga ut yrkeshögskolan och låta fler människor gå på komvux och yrkesvux. Men det är ju oerhört centrala åtgärder för att företag ska kunna anställa eftersom det är ett stort problem att hitta rätt kompetens på arbetskraften efter åtta år med borgerlig regering trots att vi har skyhög arbetslöshet. Satsa på annat, säger Jan Ericson när vi satsar på äldreomsorgen, som gör det möjligt för medelålders anhöriga till äldre i äldreomsorgen att jobba heltid och känna sig trygga med vården i stället för att gå ned i arbetstid. Det underlättar dessutom arbetet för de - i huvudsak - kvinnor som sliter hårt i äldreomsorgen. Allt detta kallar Jan Ericson för att satsa på annat. Vi har en annan syn på samhället. "
"Niklas Wykman","Herr ålderspresident! Jag tackar finansministern så mycket för debattinläggen. Vi befinner oss i en ny tid för svensk politik. Från att ha varit ett av världens mest stabila och pålitliga länder, beskrivet som the Nordic light och andra positiva omdömen, har vi gått till att numera befinna oss i stor osäkerhet på väg mot instabilitet och internationell oro. Vi har en regering i detta som är fylld av interna konflikter. Vi har en finansminister som har beskrivit den budget som läggs fram som stram. Vi har en arbetsmarknadsminister som beskrev samma budget som oerhört expansiv. Finansministern och arbetsmarknadsministern gör alltså helt olika bedömningar av vad som görs i budgeten. Vi har en finansmarknadsminister som har sagt att vi behöver åtstramningar på ränteavdragen. Vi har en finansminister som har sagt att det inte alls behövs. Vi har en finansminister som har sagt att vi behöver höja skatterna. Vi har en framtidsminister som säger att vi behöver sänka skatterna. Vi har en statsminister som har sagt att Sveriges ekonomi och offentliga finanser är välskötta. Vi har en finansminister som har beskrivit dem som misskötta. Vi har Tomas Eneroth, socialdemokratisk riksdagsledamot i ledande ställning, som har sagt att den politik som finansministern föreslår för att äldre trots allt ska kunna jobba kvar längre eller gå i den riktningen är provocerande. På det sättet har han alltså beskrivit den inriktningen. Nu har vi Leif Jakobsson som säger att jobbskatteavdraget inte skapar några arbetstillfällen trots att finansministerns eget departement bedömer att det skapar ungefär 120 000-130 000 arbeten. Det är i storleksordningen samma bedömning som till exempel Konjunkturinstitutet och Ekonomistyrningsverket gör. Även LO gör ungefär den här bedömningen på lite knappt 100 000 jobb. Vi har alltså en regering som nu skapar mycket större osäkerhet kring den ekonomiska politiken. Vi har också en regering som är mycket slapphänt när det gäller offentliga finanser. Vi ser nu en gradvis återgång till fullt resursutnyttjande i ekonomin. Då ska man överge överskottsmålet. Finansministern lägger fram budgetar där vi ligger på underskott i fyra år, det vill säga där vi inte tar det ansvar som krävs. Detta är viktigt när vi talar om svaga grupper på arbetsmarknaden och dem som står längst ifrån. Om vi inte har skyddsvallar i ekonomin vet vi att det är de som blir av med jobben när nästa kris kommer. Om vi inte har skyddsvallar och trygga villkor för ekonomin vågar inte företag investera, expandera och anställa. Då blir det också svårast för dem som står längst från arbetsmarknaden. Detta har också Arbetsförmedlingen påtalat och sagt att de som står längst från arbetsmarknaden nu har fått försämrade jobbchanser. Vi har inget bra facit, helt enkelt, för den regering som nu sitter. I stället ser vi påkommande och hela tiden återkommande siffertricksande. Vi har en finansminister som vill jämföra oss med Japan och krisutvecklingen där, trots att Sverige när vi gick in i krisen hade ungefär 50 procent utrikeshandel och Japan 19 procent. Vi har en finansminister som vill jämföra bnp per capita med Tyskland trots att Tyskland har en konstant befolkning mellan 25 och 64 år och Sverige har en minskande befolkning. Det hela är alltså fyllt av interna konflikten, motstridiga budskap och jämförelser som är irrelevanta och inte ger en korrekt bild. Sverige borde förtjäna bättre än detta. Vi förtjänar att ha skyddsvallar i ekonomin, vi förtjänar att ha en stark ekonomi, vi förtjänar att ha en regering som tar sitt konstitutionella ansvar och talar med en röst och vi förtjänar att ha en rättvisande beskrivning från finansministern. Vad jag kan minnas har hon även blivit KU-anmäld för sina beskrivningar av svensk ekonomi. Vi behöver detta, för vi ska nå full sysselsättning i Sverige. Alla människor som vill och kan arbeta ska också ha ett jobb att gå till. Men det kräver en regering som tar ansvar för offentliga finanser så att jobben kan växa till. "
"Jan Ericson","Herr ålderspresident! Magdalena Andersson berömmer sig för att man satsar på utbildning och skola. Jag vill bara påpeka en sak: Alliansen ökade antalet utbildningsplatser på nästan alla områden under sin regeringstid samtidigt som vi sänkte skatterna på arbete och företagande. I den budget som gäller i dag, som är Alliansens budget, satsar vi mer på skolan än vad Socialdemokraterna gjorde i sitt budgetförslag. Och det gör vi utan att höja skatterna på arbete. Det finns inget som säger att man måste försämra för företagande och göra det mindre lönsamt att arbeta för att man ska kunna satsa på andra saker om man prioriterar vettigt. Finansministern har de senaste månaderna gjort stor affär av att produktiviteten har minskat räknat per förvärvsarbetande person. I sak är det korrekt, men det är också viktigt att se varför det ser ut på det sättet. Som jag nämnde tidigare ökade Socialdemokraterna produktiviteten fram till 2006 genom att förtidspensionera bort en stor del av den lågproduktiva arbetskraften. Det gällde äldre, långtidsarbetslösa, långtidssjukskrivna och tyvärr även en del funktionshindrade. Genom att förtidspensionera bort dessa människor från arbetskraften, ibland mot personernas vilja, blev andelen högproduktiv arbetskraft större, och den samlade produktiviteten ökade. Statistiken blev fin, med lägre arbetslöshet och färre långtidssjukskrivna. Baksidan var skenande kostnader för samhället och att människor sorterades bort från arbetsmarknaden för gott. Alliansen valde en annan väg. Vi ville ta vara på de friska och se arbetsförmågan hos varje människa. Vi lyckades med långt ifrån alla. Men förtidspensioneringarna minskade dramatiskt under Alliansen, och samma sak gällde sjuktalen. En hel del långtidssjukskrivna kom tillbaka i någon form av arbete, inte alltid på heltid, kanske inte ens på halvtid, men på deltid. Samma sak gäller många äldre. I dag är det som sagt ungefär 100 000 fler äldre som arbetar i någon omfattning. Alliansens politik sänkte samhällets kostnader dramatiskt. Vi gav fler chansen att arbeta och öka sin inkomst. Framför allt minskade vi den definitiva utslagningen av många lågpresterande från arbetsmarknaden. Dessa reformer stod jag stolt och försvarade i riksdagen 2007 och 2008. Och jag anser att bland andra sjukförsäkringsreformen och skattesänkningarna är bland det mest humana och viktiga som vi har gjort för Sverige under vår regeringstid. Men visst, när man får in fler lågpresterande på arbetsmarknaden, som arbetar i den omfattning som man klarar av, minskar också produktiviteten per anställd. Min fråga till Magdalena Andersson är återigen hur hon ska kunna öka produktiviteten per anställd utan att samtidigt gallra bort de lågproduktiva från arbetsmarknaden. Det är tyvärr den vägen som Socialdemokraterna har valt tidigare. Enligt min åsikt borde hon välja den andra vägen. Hon borde försöka få in ännu fler människor på arbetsmarknaden som inte är perfekta, som inte är perfekt arbetskraft som presterar 100 procent. Men de kan bidra och med sina insatser göra Sverige starkare, även om det leder till att produktiviteten minskar. Den vägen är bättre för den enskilda människan, och den är bättre för den samlade samhällsekonomin. Slutligen måste jag också påpeka en sak för Leif Jakobsson som raljerar över att vi har högre arbetslöshet i dag än 2006. Jag vet inte om Leif Jakobsson har uppmärksammat att Europa har gått igenom en ganska djup finanskris. Jag vet inte heller om Leif Jakobsson har uppmärksammat att den tidigare socialdemokratiska regeringen gömde de arbetslösa genom att helt enkelt flytta dem från arbetslöshetskolumnen till en annan kolumn, till exempel förtidspensionerade. Det var jättelätt att få bort arbetslösheten i statistiken. Men hur såg det ut i verkligheten? Leif Jakobsson säger också att alla de nya jobben beror på att Sverige har fått en större befolkning. Den 22 januari visade finansminister Magdalena Andersson en bild vid en föredragning i finansutskottet, som jag nu visar för kammarens ledamöter. Hon förklarade att arbetslösheten förväntas sjunka långsammare än tidigare prognoser visat, på grund av att befolkningen har ökat. En snabbare tillväxt av arbetskraften på grund av snabbare befolkningsökning gör att arbetslösheten inte minskar i samma takt. Vem har rätt? Är det Leif Jakobsson eller Magdalena Andersson? "
"Leif Jakobsson","Herr ålderspresident! Jag måste säga till Niklas Wykman att skatteutskottet lade ganska mycket energi på att försöka reda ut effekterna av jobbskatteavdragen eftersom de var en oerhört stor del av de ofinansierade skattesänkningarna under den borgerliga perioden. Jag refererade till de forskare som var inbjudna och som gav sin syn. Och det är klart att de hade olika uppfattningar. Men jag tror att Niklas Wykman blandar ihop de direkta drivkrafterna för att arbeta. Inte minst finansministern ändrade på slutet argumentationen om jobbskatteavdragen. Från början skulle de göra så att fler människor i teorin skulle läsa skattetabellen på morgonen och komma på att \"Oj, det lönar sig mer att jobba. Så nu går jag till Arbetsförmedlingen.\" Det senaste jobbskatteavdraget motiverades framför allt med att det var en konsumtionsstimulans. Och det är en helt annan sak. Det är klart att det blir en konsumtionsstimulans om människor får mycket pengar i sin plånbok. Och det påverkar sysselsättningen av den anledningen. Men det som vi kritiserade och undrade över var varför landets pensionärer inte skulle få vara med i den konsumtionssatsningen. Motivet för jobbskatteavdragen var inte längre drivkraft för att söka arbete utan för att möta konjunkturen. Där är ni fortfarande svaret skyldiga. Vi hade tänkt reparera en del av denna orättvisa i samband med den budget som lades fram. Den röstades tyvärr ned av Alliansen och Sverigedemokraterna. Därför får landets pensionärer vänta på att vara med i konsumtionsstimulans. "
"Fredrik Schulte","Herr ålderspresident! I den politiska debatten blir beskrivningen av verkligheten ofta en central del. Det är ibland häpnadsväckande att se hur vissa socialdemokratiska riksdagsledamöter, särskilt Leif Jakobsson, är beredda att vinkla den beskrivningen så till den grad att det blir klart anmärkningsvärt. Det görs för att man vill framhäva sina politiska åsikter. Om man tittar på de år då alliansregeringen satt vid makten kan man se att Sverige hade OECD:s näst starkaste sysselsättningsökning. Om man tittar på hur många nya jobb som skapades per tusen invånare i arbetsför ålder kan man se att vi var i särklass bäst. För varje person som befolkningen i åldern 16-65 ökade med tillkom nio nya jobb. Tyskland var näst bäst med fem nya jobb. Och om man tittar historiskt kan man se att det under de senaste 30 åren har skapats en halv miljon nya jobb. Och av den halva miljonen, nettomässigt, nya jobb har 360 000 tillkommit de senaste åtta åren. Det är alltså svårt att hävda något annat än att de senaste åtta åren av alliansstyre har varit väldigt framgångsrika. Vi kan också konstatera att Sverige har tredje lägst långtidsarbetslöshet i hela OECD. Om man tittar på de äldre, som vi delvis diskuterar nu, kan vi konstatera att sysselsättningen, så länge man har mätt den, har legat på någonstans runt 70 000-80 000 för personer över 65 år som har arbetat. Nu har den siffran överstigit 150 000. Den har alltså dubblerats under Alliansens tid vid makten. De utvärderingar som har gjorts just vad gäller de äldre visar att det är mycket tydligt kopplat till det förstärkta jobbskatteavdraget. Och jobbskatteavdraget är väl kanske den ekonomiska reform som forskare har utvärderat mest under efterkrigstiden. Herr ålderspresident! Det är väldigt svårt att föra en debatt när finansministern går och pratar med presidiet och också går runt i kammaren och pratar. (ÅLDERSPRESIDENTEN: Vi fortsätter.) Jobbskatteavdraget är en av de mest utvärderade ekonomiska reformerna. Och just sysselsättningen hos de äldre är en tydlig indikator på att jobbskatteavdragsreformen har varit framgångsrik. Det är anmärkningsvärt att Leif Jakobsson påstår att vi skulle ha satsat mindre på sjukvården. Om man tar hänsyn till inflationen, som de senaste åtta åren har varit 10,5 procent, och till befolkningen, som har ökat med 5,8 procent, har resurserna till sjukvården, utgiftspost nr 9, ökat från 41 miljarder till 62 miljarder om man inflationsuppräknar. Den här debatten blir alltså närmast bisarr i den bemärkelsen att jag undrar hur mycket Leif Jakobsson och Magdalena Andersson är beredda att beskriva verkligheten bara på ett sätt som gynnar den egna saken. Det är anmärkningsvärt att de socialdemokratiska representanterna i kammaren kan vara så oprofessionella. "
"Ingela Nylund Watz","Herr ålderspresident! Jag kunde inte låta bli att anmäla mig till den här debatten. Jag hade tänkt avstå, men jag måste säga att det är en aning utmanande att höra de moderata företrädarna här i debatten beskriva verkligheten. Som Fredrik Schulte var inne på: Vilken verklighetsbeskrivning är det som gäller? Det är ju så att fakta talar väldigt tydligt för sig själv. Det är precis som Leif Jakobsson sa: Vi hade 6 procents arbetslöshet när den borgerliga regeringen tillträdde för åtta år sedan. När de lämnade i höstas var slutresultatet en arbetslöshet på 8 procent. Det är mycket enkelt att räkna ut att bakom dessa siffror finns oerhört stora mänskliga problem som den borgerliga regeringen helt enkelt misslyckades med att adressera. Varför var det så? Låt mig försöka knyta an till den här interpellationen som i grunden är en bra och relevant frågeställning. Svaret är att man bara hade ett verktyg. Man arbetade med samma enkla verktyg under hela perioden på åtta år, nämligen skattesänkningar. Om man år efter år i åtta år misslyckas med att vända trenderna på arbetsmarknaden och i stället får fler arbetslösa än innan man satt sina skattesänkningar i verket, då är funderingen varför man inte under något enda år under denna period har funderat på slagkraften i de politiska verktyg man har? Jag tror helt enkelt att det beror på att man inte har velat pröva andra vägar. När det moderata ledarskapet nu funderar på framtiden och vilka verktyg man ska ta till, då har man, bortsett från en kort stund av insiktsfullhet hos Anders Borg för något halvår sedan då han sa att det nog är slut med skattesänkningarna nu, återigen landat vid att det Sverige nu behöver är mer skattesänkningar för att vi ska få fart på arbetsmarknaden. Herr ålderspresident! Tillåt mig tvivla! Det som inte har fungerat på åtta år och som gjorde paus i en glimt av insiktsfullhet hos Anders Borg är nu tillbaka i samma läge. Jag tror, herr ålderspresident, att det vore väldigt klädsamt om de moderata företrädarna i den här debatten slog an det som är den verkliga frågeställningen i interpellationen i stället för att försöka göra något slags allmänpolitisk slagträdebatt av det hela. Vilka verktyg ska vi använda för att få upp produktiviteten i ekonomin och få fler arbetade timmar i ekonomin? Då måste man kanske fundera på om det inte är viktigt att pröva andra vägar än den enda väg man har prövat i åtta år och så kapitalt misslyckats med. "
