"Magdalena Andersson","Fru talman! Jessica Polfjärd har frågat mig vilka risker jag ser med att den särskilda löneskatten blir en straffskatt för äldre. Jan Ericson har i sin tur frågat mig vilka sysselsättningseffekter jag bedömer att den särskilda löneskatten för personer över 65 år medför. Efter den förra regeringens mandatperioder ser vi stora underskott i statens finanser och en hög arbetslöshet. De stora skattesänkningar som den borgerliga regeringen genomfört i syfte att öka sysselsättningen och sänka arbetslösheten har helt enkelt inte fått avsedd effekt. Regeringen tror på andra jobbskapande åtgärder än bara sänkta skatter. För att genomföra angelägna satsningar som syftar till att öka sysselsättningen och minska arbetslösheten krävs att vi höjer skatten.  Det är missvisande att bedöma politiken enbart genom att se till enskilda finansieringsåtgärder. Man måste även se till vad pengarna kommer att användas till. En utgångspunkt för regeringens politik är att alla människors kompetens ska tas till vara så länge de vill och kan arbeta. För att få fler äldre att arbeta längre måste arbetsmiljön förbättras, och den arbetsrelaterade ohälsan måste förebyggas. De satsningar regeringen gör på exempelvis högre kvalitet och ökad bemanning inom äldreomsorgen, tillsammans med satsningar på att förbättra arbetsmiljön och att stärka arbetslivsforskningen, kommer att leda till att fler orkar och vill stanna kvar längre i arbete.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer De ekonomiska drivkrafterna för att fortsätta att arbeta efter 65 år är dessutom starka till följd av pensionssystemets utformning och det förhöjda jobbskatteavdraget för äldre. Utvärderingar visar att generella sänkningar av socialavgifterna är mycket ineffektivt som jobbskapande åtgärd. Det är svårt att se någon grund för Jessica Polfjärds påstående att den föreslagna särskilda löneskatten för äldre är en straffskatt eftersom arbetande äldre även efter förslaget är mycket skattemässigt gynnade, både på arbetsgivarsidan och på inkomstskattesidan.  Då Jessica Polfjärd, som framställt en av interpellationerna, hade anmält att hon var förhindrad att närvara vid sammanträdet medgav tredje vice talmannen att Jan Ericson fick ta emot båda interpellationssvaren. ","S"
"Jan Ericson","Fru talman! Svaren från finansministern i dagens interpellationsdebatter är precis lika svartmålande av läget i Sverige som dem vi hörde häromveckan när vi debatterade andra frågor. Enligt färska siffror från SCB när det gäller tillväxt har Sverige haft en överraskande stark tillväxt under tredje kvartalet, och det är den inhemska konsumtionen som drar upp siffran. Skattesänkningar är kanske inte så dumt, finansministern, om de ökar köpkraften och förbättrar tillväxten. Finansministern säger också att sysselsättningen i Sverige har minskat, men hon verkar ha missat att det är 340 000 fler människor som arbetar i dag än 2006. Det är 90 000 fler äldre som har valt att arbeta efter pensionen sedan 2006. Sverige har högst sysselsättningsgrad i hela EU. Vi har högre sysselsättningsgrad än 2006 i alla åldersgrupper, inklusive bland äldre, men också sammantaget. Sanningen är faktiskt att Alliansens jobbpolitik har haft en mycket god effekt. Den har bidragit till att skapa fler jobb för såväl unga som medelålders och äldre. Finansministern upprepar givetvis också att Alliansen har skapat underskott i statens finanser. Men hon vet ju från våra tidigare debatter att Sverige är det enda landet i hela EU som väntas minska sin statsskuld i andel av bnp mellan åren 2006 och 2014 och att vi ligger bland de bästa i EU när det gäller starka statsfinanser. Förra veckan hade jag flera debatter med finansministern om regeringens ointresse att analysera politiska förslag och se om de leder till fler eller färre jobb. Jag påminner återigen om vad Socialdemokraterna sa före valet. Då hette det att man inför varje beslut skulle kräva besked av varje statsråd och varje myndighetschef om ett beslut innebär fler jobb eller inte. Redan i regeringsförklaringen var det storstilade löftet borta. Inte heller har regeringen gjort några analyser av jobbeffekterna av de förslag man lagt fram i sin budgetproposition.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer De tidigare debatterna handlade om jobbeffekterna av att höja skatterna på företagande och arbete och att höja arbetsgivaravgifterna för den som anställer unga. I dag gäller interpellationerna regeringens förslag att göra det betydligt dyrare att anställa äldre. I takt med att människor lever allt längre är det för många naturligt att jobba högre upp i åldrarna, såväl för lönen som för att man trivs på sin arbetsplats. Det är också en bra möjlighet för en person med lång och gedigen erfarenhet att sprida sin kunskap till yngre kolleger. Att fler är kvar på arbetsmarknaden bidrar också till högre tillväxt och till att finansiera välfärden. I samhällsdebatten diskuteras höjd pensionsålder, men alliansregeringen valde en annan väg. Vi ville med morötter locka fler äldre att arbeta längre. Sedan 2006 är det alltså 90 000 fler personer över 65 år som arbetar. Att fler arbetar är resultatet av bland annat Alliansens jobbpolitik. Vi gjorde det billigare att anställa personer över 65 år, och glädjande nog berömmer finansministern det förstärkta jobbskatteavdraget för äldre. Det har också ökat drivkraften att jobba länge. Nyföretagarcentrum rapporterar om en kraftig ökning i antalet nystartade företag bland äldre. I genomsnitt startar fyra pensionärer om dagen ett eget företag. Det är mycket glädjande. Trots alla dessa goda effekter av skatteförändringarna har finansministern nu lagt fram en budgetproposition med förslaget att den som vill anställa personer som passerat 65 år kommer att behöva betala en särskild löneskatt. Förslaget gör det dyrare att anställa äldre och mindre gynnsamt för egenföretagare att fortsätta arbeta efter 65 år. Jag vill börja med att fråga finansministern om hon verkligen tror att den särskilda löneskatten kommer att medföra att fler äldre stannar kvar längre tid på arbetsmarknaden. ","M"
"Lars-Arne Staxäng","Fru talman! Jag vill börja med säga att jag har förståelse för hur svårt det i praktiken kan vara att minska utgifter. Antingen man styr i en kommun, ett landsting eller staten är det ofta lätt i teorin, men när man väl kommer till praktiken blir det konsekvenser. Det är svårt. Jag har förståelse för att det är svårt att minska utgifterna. Nu har den nya regeringen lagt fram förslag till att införa löneskatt för äldre, personer över 65 år, men det har jag ingen förståelse för. Anledningen är att det är en skatt som är kontraproduktiv genom att den går emot jobblinjen - jobblinjen som kommer att bli allt viktigare i framtiden, och det är därför som jag har gått upp i talarstolen i dag. Om vi ska få bärkraftiga pensioner som ökar, som går att leva på i framtiden, finns det egentligen bara en riktigt bra linje, nämligen fler arbetade timmar i ett land, så även i Sverige. Vi måste se till att fler ungdomar, fler äldre och framför allt de som hamnat utanför systemet kommer i arbete. Det är det som ger bärkraftiga pensioner. Därför är jag förvånad över att man tar till ett sådant här förslag, för det blir kontraproduktivt. Precis som Jan Ericson förde fram är utvecklingen nu väldigt positiv. Den ska vi försöka göda på olika sätt så att fler äldre arbetar förbi 65 år och längre upp i åldrarna. Vi behöver dem i framtiden. Vi behöver deras kompetens på olika sätt. Det är inget motsatsförhållande till att ungdomar kommer in på arbetsmarknaden. Så kanske det var en gång, men så är det inte i dag. Vi behöver alla på arbetsmarknaden.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Dessutom är nuvarande och kommande pensionärer stora förlorare om förslaget går igenom. Systemet är till stor del uppbyggt på avgifter, och om det blir färre arbetade timmar och pensionsavgifterna till systemet minskar får vi bromseffekter och minskningar av pensionerna. Pensionssystemets viktigaste del för stabila och högre pensioner är fler arbetade timmar i Sverige, och det måste vi förmedla ut i samhället. Därför har jag med tillfredsställelse av olika undersökningar sett - jag vet att andra framfört annat - att det från 2006 till 2014 blivit en sysselsättningsökning. Det har blivit nära 350 000 nya sysselsättningstillfällen, vilket varit jätteviktigt för pensionssystemet. Om vi inte hade fått till dessa sysselsättningstillfällen skulle det ha blivit som på 90-talet. Då fanns både borgerliga och socialdemokratiska regeringar. Pensionerna gick ned mycket kraftigt från 1995 till 2001. Det har vi glömt i dag. Hög sysselsättning innebär bra pensioner. Därför är beslutet helt felaktigt och missriktat. ","M"
"Erik Ezelius","Fru talman! Den här interpellationsdebatten handlar om särskild löneskatt för äldre, men det är också en interpellationsdebatt om den förra regeringens sätt att missköta statsfinanserna och skattepolitiken. Den särskilda löneskatten för äldre infördes i samband med 1991 års skattereform. Det var en uppgörelse mellan Socialdemokraterna och Folkpartiet men stöddes också av Centern. Skatten skulle i sin ursprungliga utformning tas ut på alla inkomster som inte grundade rätt till socialförsäkringsförmåner. Särskild löneskatt för äldre, andra höjda skatter och avskaffade avdrag behövdes för att finansiera skattereformen med dess sänkning av marginalskatterna. Syftet var att få ett så neutralt och likformigt skattesystem som möjligt med få särregler och undantag. Åren 2007 och 2008 slopades den särskilda löneskatten för personer fyllda 65 år. Den skatteklyfta som den dåvarande borgerliga regeringen skapat mellan pensionärer och förvärvsarbetande skulle i viss mån kompenseras genom att de friska pensionärerna, de som kunde få ett arbete, skulle bli billigare på arbetsmarknaden och genom arbete få in pengar som de förlorat på skatteklyftan. År 2007 skedde lättnaden enbart för dem som var 70 år och äldre. Eftersom regeringen inte kunde förklara detta godtyckliga urval vidgades det 2008 till att gälla alla ålderspensionärer. Det vore bra för debatten om interpellanten förklarade varför pensionärer måste arbeta för att få ihop till en vettig pension och framför allt förklarade den skatteskillnad som finns mellan pensionärer och förvärvsarbetande. Många vill och kan stanna kvar och arbeta efter 65 år, och det kommer att vara lönsamt för både arbetsgivaren och den enskilde även med samarbetsregeringens förslag om särskild löneskatt. Den tidigare regeringen sänkte skatterna med över 130 miljarder. Vi kan se effekterna av det inom skola, vård, omsorg, en icke-fungerande järnväg, långa bostadsköer med mera. Samarbetsregeringen genomför nu ett stort antal reformer, verkliga reformer, sådant som gör livet bättre och enklare för människor och stärker välfärdsstaten. Dessa behöver finansieras, och återinförandet av särskild löneskatt för äldre är en del i finansieringen. ","S"
"Margareta B Kjellin"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Jag ska lägga en annan vinkling på den särskilda löneskatten, för den berör människor. Under valåret gjorde jag som äldrepolitisk talesperson för Moderaterna en Sverigeresa, från Luleå i norr till Helsingborg i söder. Syftet med resan var att följa och möta pensionärer i deras vardag. Jag träffade många män och kvinnor över 65 som hade gått i pension och fått ett väldigt trist liv. De kände att de inte hade samma livsglädje, de hade inte arbetskamrater, de kände att de började tappa livskraften. Det har över tid startats seniorpooler, veteranpooler, Hyr en pensionär. Det handlar om en stor grupp där äldre personer, med F-skattsedel, kan välja att jobba fyra timmar i veckan eller 40 timmar i veckan. De gick in i sitt arbete, var mentorer, använde sin kraft och sin kunskap. Jag mötte också kuratorer som gick in och gjorde RUT-tjänster och annat för andra äldre. Det är oerhört viktigt. Vi står inför en tid när 30 procent av vår befolkning är över 65. Vi har inte råd att inte kunna använda dem. Då handlar det inte bara om dem som ska vara kvar på sin arbetsplats, utan det handlar om möjligheten att med hjälp av en F-skattsedel hitta nya vägar för ett nytt arbete. Det handlar inte om arbetsmiljön i det gamla jobbet utan om möjligheten att välja och känna att man fyller en funktion i arbetslivet. Det är sådana faktorer, sänkt löneskatt och även det förstärkta jobbskatteavdraget, som är centrala för dessa grupper. Jag skulle vilja säga att om finansministern möter de här människorna kommer hon att märka den besvikelse som finns. Förslaget innebär att risken ökar att människor behöver mer stöd tidigare. Det innebär att man inte kan skjuta på åldrandet på samma sätt. Det gäller att träna kroppen, men det gäller att också träna hjärnan för att den ska vara frisk allt längre. Därför är höjningen av löneskatten för äldre fatal för just den gruppen människor. Den höjda löneskatten tar bort livsglädje och livskvalitet. Det kommer att bli dödsstöten för många äldre där löneskatten inte tillfaller en stor arbetsgivare utan tillfaller den äldre själv, som kan göra nytta och förstärka sin pension. Men det är inte huvudsyftet. Huvudsyftet är att kunna vara levande hela livet. ","M"
"Monica Green","Fru talman! Jag har nu hört ett gäng moderater gå upp i talarstolen och tala om hur fantastiskt bra de har lyckats med jobben. Det är bara det att vi har en mycket hög arbetslöshet sedan Alliansen förlorade valet. Moderaterna skriver till och med själva i sin valanalys att det var jobben de misslyckades med. Den villfarelse som de moderater som just nu är närvarande i kammaren lever i kommer deras partiledning kanske snart att ta ur dem. Det var för att de misslyckades med jobben som de förlorade valet. Människor är förtvivlade över den höga arbetslöshet som den borgerliga regeringen lämnade efter sig. Jag hörde alla tre moderater i debatten säga att det tillkom många nya jobb under den borgerliga regeringstiden. Men hur var det egentligen? Hur många jobb var det som tillkom 2006, alltså det året vi förlorade valet? Det året tillkom 153 000 nya jobb. Året därefter, 2007, tillkom 80 000 nya jobb. Er finansminister hade sagt att det skulle ta två år innan er politik började bita, alltså 2008. Och vad hände då? Då kom jobbstoppet.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det skedde inte bara för att ni regerade, utan även för att den internationella lågkonjunkturen inträffade. Men det späddes på av den borgerliga politiken. Människor var skrämda. Ni hade förstört deras försäkringar, och de var rädda. Människor vågade inte satsa på framtiden. Detta ökade på den höga arbetslöshet som vi drabbades av internationellt och här i Sverige. Sedan har många länder tagit sig ur krisen. Sverige har inte lyckats lika bra som de. Det finns sju länder i EU som har klarat sig bättre än vi. Trots att de har drabbats av samma internationella lågkonjunktur som vi har andra länder lyckats bättre med arbetslösheten. Jag hörde att den föregående talaren hade åkt på en liten turné i valrörelsen. Det är ju jättefint. Det är bara det att vi socialdemokrater träffar äldre personer hela tiden. Vi träffar människor som blir utslitna på sina gamla jobb. Sedan hör jag uttalanden om att det inte handlar om att förbättra arbetsmiljön på det gamla jobbet. När man har blivit pensionär ska man starta något nytt, något lite mer kreativt, sägs det. Det är tydligen mycket bättre. Ska man ha en så cynisk syn på människor att man inte vill förbättra arbetsmiljön så att de orkar jobba fram till 65 års ålder? Jag tycker att det är tragiskt att vi har sådana politiker i Sveriges riksdag i dag. Den borgerliga regeringen förstörde arbetsmiljöarbetet på våra arbetsplatser. Det beklagar jag. Nu ska vi försöka rätta till det. Det finns alldeles för många människor i det här landet som inte klarar att jobba fram till 65. Vi måste se till att fler kommer i arbete. Vår samarbetsregering har satt upp det ambitiösa målet att bli bäst i EU. Ni vågade inte ens sätta upp ett mål, men vi tänker vara konkreta och se till att fler kommer i arbete och att de som jobbar kan jobba ända fram till 65, och gärna längre om de vill det och inte har slitits ut innan dess. Det är vår ambition. ","S"
"Magdalena Andersson","Fru talman! Med den demografiska situation vi har i Sverige är det oerhört centralt att alla som kan och vill bidra med sitt arbete också får möjlighet att göra det. Det är den här samarbetsregeringens utgångspunkt. Precis som Monica Green tar upp är det viktigt att många fler får möjlighet att jobba till 65 års ålder. Det är därför viktigt att vi har ett gott arbetsmiljöarbete. Alldeles för många människor blir sjuka och kan inte jobba till 65 års ålder en gång. Det var väldigt tråkigt att den förra regeringen skar ned på arbetsmiljöarbetet och lade ned institut som sysslade med forskning om arbetsmiljön. Den här regeringen har i budgetpropositionen föreslagit att vi ska återupprätta arbetsmiljöarbetet. Vi stärker anslaget till Arbetsmiljöverket redan från den 1 januari 2015. Vi ökar det statliga bidraget till skyddsombudsverksamheten. Vi förstärker arbetslivsforskningen. Därutöver vill vi försöka säkra kompetensförsörjningen i företagshälsovården. Regeringen gör en samlad satsning på att stärka möjligheterna för människor att arbeta upp till 65 års ålder. Det är oerhört viktigt. Sedan är det viktigt att människor som vill och kan ska ha möjlighet att arbeta senare i livet också - efter 65 och upp till 67 men även efter att man gått i pension.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det är viktigt att kunna göra både och. Det är viktigt att vi har arbetsplatser i Sverige med en sådan arbetsmiljö att människor har möjlighet att jobba, i alla fall upp till 65 års ålder; självklart är det bra om man kan göra det längre än så. Det finns väldigt många äldre i Sverige som gör viktiga bidrag inom olika sektorer och branscher och bidrar med sitt arbete på så sätt att det stärker tillväxten och ger oss goda skatteinkomster för en god välfärd. Men för att människor ska kunna jobba är det också viktigt att man har en fungerande välfärd. Det är viktigt att ha ett fungerande arbetsmiljöarbete, men vi behöver också på andra områden ha en fungerande välfärd. Något som påverkar inte minst kvinnors möjligheter att arbeta heltid och arbeta högre upp i åldrarna är att det finns en fungerande äldreomsorg. Undersökningar visar att över 100 000 personer, de allra flesta kvinnor, har gått ned i arbetstid för att sköta en nära anhörig därför att äldreomsorgen inte håller tillräckligt hög kvalitet. Här går Sverige miste om många kompetenta kvinnors arbetsinsatser. Jag är också övertygad om att många går för tidigt i pension för att vårda nära anhöriga. Därför gör den här regeringen en investering i att förstärka personalen för att kunna höja kvaliteten i äldreomsorgen, så att färre kvinnor ska behöva gå ned i arbetstid eller gå i pension i förtid för att vårda nära anhöriga, om de inte har gjort det för att de önskar det; man ska inte behöva göra det för att äldreomsorgen håller för dålig kvalitet. Men för att kunna genomföra den typen av satsningar måste man också finansiera dem. Den tidigare borgerliga regeringen lämnade stora underskott efter sig i de offentliga finanserna. Det gör att vi höjer en del skatter. Men den sammantagna effekten av regeringens skattehöjningar och satsningar kommer att bli att sysselsättningen stiger och att arbetslösheten sjunker något, vilket regeringen beskriver i sin budgetproposition i finansplanen. Jan Ericson har frågat om den särskilda löneskatten kommer att leda till att fler stannar längre tid. Svaret är ja. De skatteintäkter vi får in kommer vi att använda på ett sådant sätt att de möjliggör för fler att stanna i arbetslivet upp till 65 års ålder och möjliggör för till exempel kvinnor att arbeta längre och slippa gå ned på deltid. Jag vill också påpeka för Jan Ericson, som är påtagligt nöjd med läget i Sverige, att vi har en hög arbetslöshet. Det faktum att statsskulden minskade under den borgerliga regeringen beror på att man sålde ut de statliga bolagen. Hade den borgerliga regeringen inte sålt ut statliga bolag hade statsskulden inte minskat. Det är naturligtvis inte en hållbar strategi att sälja ut matsilvret för att klara skulden. ","S"
"Jan Ericson","Fru talman! Först vill jag vända mig till finansministern. Vi pratade även förra gången om detta med att sälja ut matsilvret. Jag påpekade då att en mycket viktig orsak till att statens skuldsättning ökat är att Riksgälden har lånat upp pengar, bland annat för att låna vidare till Irland och för att öka valutareserven. Att påstå att statsskulden har minskat på grund av att vi sålt statliga bolag är helt enkelt fel. Finansministern gissar att skattehöjningarna kommer att medföra att fler äldre kommer att arbeta. Jag tycker att det är en fantastisk gissning. Vi får väl se vem som får rätt.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Erik Ezelius pratar om att pensionärerna har förlorat på skattereformen. Sanningen är faktiskt den att pensionärerna har fått rejäla skattesänkningar. När man tittar på både skatter och pensioner kan man konstatera att ingen pensionärsgrupp i Sverige förlorade köpkraft under alliansregeringen. Garantipensionärerna fick de allra bästa köpkraftsökningarna av alla pensionärsgrupper. Det var faktiskt så det såg ut i Sverige under krisåren. Så såg det inte ut i vår omvärld. Monica Green fortsätter som vanligt att blanda äpplen och päron. Men det mest intressanta tycker jag är att hon pratar om Socialdemokraternas fina mål och om att Alliansen inte skulle ha några mål. Alliansen har ett tydligt mål för antalet jobb i Sverige. Vi ska ha fem miljoner i arbete. Då krävs det 350 000 fler arbeten. Socialdemokraterna har någon annan sorts diffust mål, där man försöker dölja arbetslöshet för att visa att man gör nytta. Man har till och med tagit bort Alliansens jobbmål, vilket är ganska uppseendeväckande. Det här förslaget är det inte bara jag, Moderaterna och Alliansen som är kritiska mot. Det finns en kompakt kritik från nästan alla remissinstanser som svarat på detta. TCO säger att förslaget motverkar att fler äldre stannar längre i arbetslivet. Företagarna, Svensk Handel, Almega och Arbetsgivarverket säger att förslaget kommer att leda till minskad efterfrågan på äldre arbetskraft. Tillväxtverket säger att förslaget riskerar att få negativa konsekvenser för äldre småföretagare. Konjunkturinstitutet och Arbetsförmedlingen sågar också förslaget och säger att det kommer att påverka sysselsättningen bland äldre personer. Konjunkturinstitutet säger till och med att det hade varit önskvärt att effekterna på sysselsättningen analyserats i större utsträckning. Det är precis den kritik som jag har i min interpellation. Trots denna massiva kritik väljer regeringen att gå vidare med förslaget. Varför lyssnar man inte på remissinstanserna? Jag vill återkomma till detta med att vi blir äldre och friskare, som Lars-Arne Staxäng också nämnde. Det finns en diskussion i samhället bland nationalekonomer och andra om att det på sikt är ohållbart med dagens faktiska pensionsålder. Det är jättebra att regeringen vill att fler ska kunna arbeta fram till den ordinarie pensionsåldern. Det är någonting som även Alliansen hade starkt fokus på. Men det är också viktigt att man kan arbeta efter pensionsåldern om man vill det och känner att det tillför livet någonting. För många är det här en väldigt viktig social fråga också, inte bara en ekonomisk fråga. Alliansen har som sagt inte valt en tvingande höjning av pensionsåldern, utan vi föredrar att ge de äldre morötter att arbeta längre. Som jag nämnde tidigare har detta fungerat ganska bra. Vi har 90 000 fler över 65 år som arbetar, och vi har många äldre som startar egna företag. Man kanske på ålderns höst förverkligar någon idé som man hade under sitt yrkesliv. Den sänkta arbetsgivaravgiften för äldre har med andra ord varit en väldigt bra investering för samhället, gett önskad effekt och bidragit till tillväxt och välfärd. Med den svaga S-MP-regeringens politik finns stor risk att färre äldre kommer att förvärvsarbeta. Då blir det sannolikt förr eller senare aktuellt att obligatoriskt höja pensionsåldern, det vill säga att regeringens indragna morötter ersätts med en piska som tvingar alla äldre att arbeta längre. Är finansministern medveten om denna risk? ","M"
"Lars-Arne Staxäng"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Först vill jag ta bort den föreställning som finns bland några av talarna att det har blivit minskade inkomster till exempel till kommuner och landsting. Sanningen är att om vi räknar från 2006 till fjolåret 2013 ökade inkomsterna totalt från runt 450 miljarder till 600 miljarder. Även om man räknar bort inflation och annat har det varit en mycket bra utveckling för kommunsektorn. Det kan på olika sätt vara så att skolan har fått mindre pengar. Men det beror inte på inkomsterna till kommuner och landsting. Nästa fråga, som Monica Green lite grann tog upp, är att det skulle vara någon konfliktlinje när det gäller arbetsmiljö. Det är det självklart inte. De flesta partier, för att inte säga alla partier, vill nog att det ska vara en bra arbetsmiljö och att den ska bli bättre. Vi ser stora saker som vi måste förbättra. Det gäller inte bara arbetsmiljön utan varför människor blir sjuka och hur det kommer sig att sjukskrivningarna ökar till exempel efter att man har fått barn och så vidare. Det måste vi gå vidare med. Det gäller arbetsmiljön på arbetet men också helheten. Vi vet att den psykiska utsattheten ökar efter att man har fått barn, kanske genom att man har ett helhetsansvar som är alldeles för stort och att jämställdheten inte fungerar i verkligheten. Om vi inte tittar på den demografiska kurvan framåt, där antalet pensionärer kommer att öka mycket kraftigt till ungefär 2037 eller 2038 och där det går rakt uppåt, kommer vi inte att klara detta. Därför kommer alla åtgärder för att vi ska få fler i arbete även i högre åldrar att vara jätteviktiga. ","M"
"Erik Ezelius","Fru talman! Jag tror att interpellanten kan hålla med om att den höga arbetslösheten och att den ännu högre arbetslösheten bland unga är det stora problemet i Sverige. Vi måste få fler arbetade timmar genom att minska arbetslösheten framför allt bland de yngsta åldersgrupperna som annars riskerar att fostras in i ett tillstånd av stadigvarande arbetslöshet. Att framställa ett ökat yrkesarbetande bland landets ålderspensionärer som den viktigaste frågan för att få fler arbetade timmar är att missa huvudproblemet. De för få arbetade timmarna bland dem under 65 år och i de yngsta åldersgruppen är väl ändå det som är huvudproblemet. Samarbetsregeringen vill ha ett väl fungerande utbildningssystem där alla kan få en gymnasiekompetens som också kan föra vidare till högskolestudier. Efter studierna vill vi så snabbt som möjligt kunna få in unga i arbete. Inte minst därför har vi formulerat 90-dagarsgarantin. För att genomföra dessa reformer krävs investeringar. Att återinföra den särskilda löneskatten för äldre än en del för att kunna finansiera detta. ","S"
