"Margot Wallström","Fru talman och ärade ledamöter! Sofia Damm har frågat mig om jag avser att förändra den svenska regeringens syn på Hamas så att den avviker från EU:s syn på att Hamas är en terroristorganisation samt vilka åtgärder jag avser att vidta för att uppnå reell förändring. Mathias Sundin har frågat mig om jag anser att president Abbas tillhör de moderata krafter som nämndes i samband med regeringens erkännande av Staten Palestina samt vad jag syftar på när det gäller uttrycket \"moderata krafter i Palestina\". Jag väljer att besvara interpellationerna i ett sammanhang.  Regeringen har ingen annan syn på Hamas än vad EU i övrigt har. Regeringen och EU står fast vid sin bedömning av Hamas som terroristorganisation så länge organisationen inte tar avstånd från våld mot civila i Israel. Hamas måste erkänna Israels rätt att existera och respektera ingångna avtal.  President Abbas står entydigt bakom linjen att det endast genom förhandlingar är möjligt att uppnå ett slut på ockupationen och en tvåstatslösning där Israel och Palestina kan leva sida vid sida i fred och säkerhet. President Abbas visar därmed att han är en ledare för moderata krafter i Palestina. Inte heller på denna punkt har regeringen en annan syn än EU i övrigt. Regeringen avser att aktivt verka för förändring och fred, vilket jag även har redogjort för i interpellationsdebatten den 4 november detta år. ","S"
"Sofia Damm","Fru talman! I min interpellation till utrikesminister Margot Wallström ställde jag frågor om regeringens syn på och förhållningssätt till terrororganisationen Hamas. Jag bad också utrikesministern konkretisera vilka faktiska - inte symbolpolitiska - åtgärder Sveriges regering kommer att vidta för att bidra till en reell förändring i konflikten och för att bidra till att en tvåstatslösning i framtiden uppnås.  Jag vill tacka så mycket för svaret. Man kan dock få intrycket att utrikesministern tycker att debatten avklarades för två veckor sedan, men bara för att regeringen har erkänt Palestina som stat är läget i Mellanöstern inte statiskt. Mycket har hänt under dessa dagar - oroligheterna har eskalerat, våld har uppmuntrats och människor har mördats.  Precis som utrikesministern tidigare har poängterat innebär erkännandet ett ökat ansvar. Ett kravlöst erkännande kan inte följas av ett kravlöst stöd. På DN Debatt den 30 oktober skriver Margot Wallström att det svenska erkännandet av staten Palestina kommer att följas av förstärkta insatser för att stödja utvecklingen av demokrati och mänskliga rättigheter i Palestina. Wallström betonar här att \"erkännandet innebär även ett ökat ansvar. På samma sätt som vi ställer tydliga krav på Israel kommer vi att göra det på Palestina.\" Ja, fattas bara annat! Parallellt med erkännandet kom också strategin för Sveriges internationella utvecklingssamarbete avseende Palestina, en strategi där Israel ges huvudansvaret för situationen i Palestina. Givetvis har Israel ett stort ansvar, men det är uppseendeväckande att ingen kritik över huvud taget riktas mot Hamas agerande och vilka effekter det har när det gäller att försvåra för inompalestinsk försoning, fredssamtal, mänskliga rättigheter och utveckling. Detta är inte att ställa tydliga krav.  Fru talman! Statsrådet Wallström har sagt att tanken med erkännandet var att stärka de moderata krafterna. Tyvärr har dessa krafter inte blivit styrkta i den meningen att man ser ett ökat inflytande eller uttryck. Tvärtom har det på Fatahs facebooksida och i den palestinska myndighetens dagliga tidning uppmanats till våld, bland annat genom antisemitiska teckningar. Vad säger egentligen regeringen om de moderata krafternas uppmaningar till våld mot judar och israeler? Erkännandet innebär ett ökat ansvar. Den yttersta ledaren för de moderata krafterna, president Mahmud Abbas, förbjöd nyligen efter en strejk den största fackföreningen på Västbanken och arresterade två av de högsta fackliga ledarna. Arresteringarna har setts som ett led i en ökad intolerans. Värnar inte den rödgröna regeringen de palestinska fackförbundens frihet? Återigen: Erkännandet innebär ett ökat ansvar. ","KD"
"Mathias Sundin","Fru talman! Jag har ställt frågan om den svenska regeringen anser att president Abbas tillhör de moderata krafterna i Palestina och fått ett tydligt ja till svar. Anledningen till frågan är naturligtvis att Sverige erkänner staten Palestina. Man hänvisar just till de moderata krafterna och tror att erkännandet ska verka gynnsamt för dessa i Palestina. Då är det intressant att veta vilka dessa moderata krafter är. Dagen före det svenska erkännandet sköts en israelisk rabbin vid Tempelberget, där det har varit mycket oroligheter, eskalerande sådana, den senaste tiden. Dagen efter erkände Sverige Palestina. Det hade naturligtvis inget med det att göra, men det sammanföll så. Den 3 november säger president Abbas, den så kallade moderata kraften, så här om den man som sköt rabbinen: Han kommer att hamna i himlen som en martyr som försvarat sitt folks rättigheter och dess heliga platser. För mig känns det inte som en särskilt moderat ledare som säger så. Det finns många fler exempel. Det här var ett axplock av några från den senaste tiden, inte under hela Abbas period. Abbas är ju inne på det tionde året av en fyraårig mandatperiod. Ett par veckor före den här attacken sade han: Vi måste stoppa dem - alltså de som besöker Tempelberget - med alla till buds stående medel från att komma in. Vid andra tillfällen har han gett Venezuelas auktoritära ledare Hugo Chavez den högsta palestinska utmärkelsen. Han har skickat en hjärtlig hälsning, som det står i meddelandet, till Nordkoreas diktator Kim Jong-Un och tackat för stödet. Han har skickat en krans till en självmordsbombares begravning. Personen hade dödat åtta personer. Han har sagt så här: Om andra arabländer attackerar - alltså attackerar Israel - är vi med dem. Som Sofia Damm påpekar har man nyligen också förbjudit den största palestinska fackföreningen med 40 000 medlemmar och arresterat ett par av deras ledare. Anledningen till detta var att de hade utlyst strejk, strejkat ofta och också kritiserat Abbas. Han är också, som utrikesministern säger, ledare för de moderata krafterna. En av dessa så kallat moderata krafter är Sultan Abu al-Einen, ledamot av Fatahs centralkommitté, deras motsvarande partistyrelse. Han sade om det senaste dådet där fem israeler dödades med yxor och knivar: Heliga vare era vapen, era bildäck - det har varit sådana attacker tidigare också - era yxor, era köksknivar. De används enligt Allahs vilja. Det är inte första gången som han säger något sådant. Han har tidigare hyllat en man som högg ihjäl en fembarnsfar. Han har upprepade gånger uppmanat till attacker på bosättare. Det har protesterats mot detta. Bland annat har några amerikanska kongressledamöter uppmanat Abbas att ta avstånd från den här mannen och naturligtvis skilja honom från det uppdrag han har. Det har Abbas ännu inte gjort, trots att detta har pågått under flera år. Tycker utrikesministern att det har varit en lyckad strategi som har funnits och når utanför Sveriges gränser, som du säger EU och stora delar av världssamfundet, att stödja så kallat moderata krafter? Är vi närmare en tvåstatslösning nu? Vore det inte läge att byta strategi och stödja demokratiska krafter i stället för ickedemokratiska krafter, hur moderata de än må vara i jämförelse med andra? ","FP"
"Fredrik Malm","Fru talman! Det är att notera att över 200 000 människor har dödats i Syrien, att 10 miljoner människor är i behov av akut nödhjälp och att Abu Bakr al-Baghdadi har utropat ett kalifat och bedriver folkmord på yazidier. Då anser den svenska regeringen att den viktigaste utrikespolitiska frågan, praktiskt taget den enda man över huvud taget har profilerat sig i, är att erkänna Palestina. Det är en prioritering som är mycket förvånande. Men nu har vi det att förhålla oss till. Utrikesministern och andra företrädare har gjort uttalanden om att detta erkännande ska följas upp med kravställande på den palestinska myndigheten. Det är klart att det är viktigt. Därför är interpellationsdebatten en väldigt bra form för att kräva svar från regeringen på vad man gör i de här frågorna. Låt mig ta två exempel. I förrgår gick två män in i en synagoga i Jerusalem. Männen var maskerade som ultraortodoxa judar. De angrep sedan besökarna med yxor och skjutvapen. De dödade fyra personer och skadade otaliga. Det är klart att det här är ett fullständigt besinningslöst dåd. Ingen kan försvara det, tror du. Men de som försvarar det är Hamas på Gazaremsan. De har till och med lovordat detta. Mahmud Abbas har mycket riktigt fördömt det, men Palestina och regeringen i den palestinska myndigheten handlar inte bara om Fatah. Det är en så kallad ämbetsmannaregering just nu. I praktiken är det en regering bestående av två partier. Det är just detta som gör att vi påpekar att erkännandet kommer för tidigt. Vad Sverige gör är att man erkänner en palestinsk stat samtidigt som Sverige, som utrikesministern betonar i interpellationssvaret, betraktar Hamas som en terroristorganisation, samtidigt som Hamas sitter i regeringen. Vi har alltså att göra med en regering där det ena regeringspartiet, det som för övrigt vann valen 2006, lovordar att två personer går in i en moské och med yxa hugger ihjäl fyra civila människor. De uppmanar till fler hämndaktioner. De tycker att det här är bra. Är det moderata krafter, Margot Wallström, att hugga ihjäl människor med yxa? Det här är den regering som vår svenska regering menar har kontroll över hela territoriet, förutom det som Israel ockuperar. Om Sverige nu erkänner Palestina som självständig stat är det fullständigt rimligt att man kraftfullt fördömer detta. Då räcker det inte med Mahmud Abbas fördömande, utan Sverige måste kräva att Hamas tar avstånd från detta. Man kan inte ha en regering där presidenten för det ena partiet går ut och fördömer detta medan de andra delar ut godis och skjuter fyrverkerier och hyllar dem som har begått det här bestialiska dådet. När det gäller den andra frågan om moderata krafter är det mycket riktigt att Mahmud Abas är moderat i bemärkelsen att han söker en tvåstatslösning och förhandlingar, ja. Men är det ett uttryck för att vara en pragmatisk och moderat ledare att förbjuda det största fackförbundet på Västbanken med 40 000 medlemmar? Socialdemokraterna är väl ett parti som värnar fackliga rättigheter? Hur ser utrikesministern på att man nu beordrar att arrestera 60 fackföreningsledare som totalt har fler än 160 000 medlemmar och att man fängslar två ledare och stänger det största fackförbundet? Är det ett uttryck för att vara en moderat och pragmatisk ledare? Det vore intressant att få veta hur utrikesministern ser på det. ","FP"
"Hans Wallmark","Fru talman, fru utrikesminister! Precis som sägs i interpellationssvaret hade vi en interpellationsdebatt på det här temat senast den 4 november, för 16 dagar sedan. Fru talman! Min prognos är att vi nog rätt återkommande kommer att få interpellationsdebatter om detta, just därför att, som tidigare talare har påpekat, det händer rätt mycket i området, och det som händer är förfärligt och inger förstämning. Liksom i förra interpellationsdebatten är det nu sju talare anmälda. Det visar på det engagemang och intresse som finns i kammaren, men också på hur vanskligt det var att regeringen så snabbt efter att den hade tillträtt bestämde sig för att erkänna staten Palestina. Det visar den diskussion som vi sedan har fört här i kammaren. Jag tittade på mina anteckningar från när vi senast hade en interpellationsdebatt om detta. Några av de argument som anfördes av utrikesministern - som man i och för sig kan dela med hjärtat, men man måste sedan se hur det ser ut på marken - var att erkännandet skulle vara ett stöd för moderata krafter, att man skulle få med sig andra länder och att man skulle skänka hopp till palestinierna. Vid förra interpellationsdebatten frågade jag: Hur kan vi utvärdera detta? Hur vet vi att det var rätt beslut vid rätt tidpunkt, vilket regeringen, alltså Socialdemokraterna och Miljöpartiet, hävdar? Eller var det kanske ett beslut som skulle fattas men där tidpunkten var fel, vilket andra i kammaren har sagt? Har de moderata krafterna stärkts? Av bara de senaste tre inläggen har det framkommit att det finns skäl att vara orolig för att det inte precis är de moderata krafterna som stärkt sin ställning utan att det är andra. Det visar det besinningslösa våld som riktades mot fyra rabbiner och en annan person i en synagoga för någon dag sedan och attackerna mot fackföreningsledare i Palestina. Frågan är om man kan säga att moderata krafter har stärkts - så det går ju inte att bocka av. Det är 16 dagar sedan senast, så det har inte hunnit bli några stora förändringar. Det är dock viktigt att fundera på hur vi kan utvärdera. Nästa fråga är: Har man fått med sig andra? Precis som utrikesministern skriver i sitt svar delar man EU:s samlade syn på Hamas. Men inga andra länder i EU-kretsen rör sig mot ett erkännande. Man har i och för sig haft en debatt i det brittiska parlamentet, men den var aviserad långt tidigare. Det sista var att skänka hopp, men det vi kan se i detta område nu är hopplöshet snarare än hopp. Det finns absolut en tidpunkt då det kan vara rätt att erkänna staten Palestina, men frågan är om det var rätt tidpunkt från S- och MP-regeringen. Utifrån de kriterier regeringen själv satte upp om att stärka moderata krafter, få andra med sig och skänka hopp, så var det fel, fel och fel. ","M"
"Hillevi Larsson","Fru talman! Det är en märklig debatt vi har. Står man bakom en tvåstatslösning borde det vara en självklarhet att erkänna båda staterna. Palestina har stöd i FN:s resolutioner: Ockupationen ska upphöra, och Palestina ska kunna regera sitt land självständigt. Men så är det inte i dag. Det pågår en ockupation, och bosättningarna breder ut sig. Israel tar över mer och mer av Palestina - det lilla som finns kvar, vill jag säga. Vad är rätt tidpunkt att erkänna Palestina? Är det när Palestina inte längre finns? Det är en realitet att området blir allt mindre; det krymper hela tiden. Det är muren på palestinsk mark, bosättningar och bombningar av befolkningen, vilket knappast gynnar situationen. På tal om moderata krafter kan man fråga sig hur moderata de krafter som styr Israel är. Senast i somras bombades civilbefolkningen i Gaza. Ca 1 400 civila dödades varav 500 barn. Bara ett par år tidigare bombades Gaza, och tusentals dödades och skadades. Denna gång var det drygt 10 000 skadade i Gaza. Jag upplever att man bedömer Israel och Palestina med helt olika måttstockar. Uttalanden från enskilda ledare på den palestinska sidan väger tyngre än tusentals civila dödsoffer på den andra sidan. Det här är i så fall ganska extremt. Det kan kallas statsterrorism när regimen medvetet bombar civila. Det är en märklig situation. Ingen begär att vi ska dra tillbaka erkännandet av Israel med hänvisning till de återkommande bombningarna av civila. Det är inte bara bombningar. Det är bosättningar i strid med FN:s resolutioner. Det är ett mycket grovt förtryck med ett apartheidliknande system mot palestinierna. De kan inte röra sig fritt i sitt eget land. När barn ska gå till skolan och när människor ska gå till arbetet eller söka sjukvård får de vänta vid checkpoints vid muren för att släppas över till sin odling på andra sidan, till sin familj, till skola och arbete och så vidare. Palestinierna är alltså utsatta för ett grovt förtryck och har varit det under många år. Det har dock inte lett till att vi säger att vi inte längre erkänner Israel, utan det är en självklarhet att Israel är erkänt. Då borde det också vara en självklarhet att erkänna Palestina. Den utveckling vi har haft hittills där Israel har fortsatt att utvidga området och fortsatt förtrycket har knappast gynnat de moderata krafterna på den palestinska sidan. Det har lett till frustration, och fredsprocessen har gått i stå. Man kan inte heller tala om en fredsprocess när det hela tiden bryts mot FN:s resolutioner. FN:s resolutioner bygger inte bara på att man ska avstå från våldsanvändning, utan det handlar också om att bosättningar inte är tillåtna. Egentligen skulle de bosättningar som finns i dag inte få finnas. Ännu värre blir det när man hela tiden utvidgar med nya bosättningar. Det är en konstig diskussion. Palestina är ju erkänt i FN:s resolutioner. Där finns tvåstatslösningen och krav på att upphöra med ockupationen.  Detta är ett första steg mot att komma någonvart. Vi måste erkänna Palestina medan landet fortfarande finns kvar, för detta kan skjutas fram i all oändlighet och har så gjorts hittills. I detta anförande instämde Maria Andersson Willner, Arhe Hamednaca, Veronica Lindholm och Pyry Niemi (alla S). ","S"
"Katarina Köhler","Fru talman! Tack, Hillevi, som alltid säger så mycket klokt! Debatten här i riksdagens kammare har blivit alltmer ensidig, men vi har en skyldighet att se vad som händer på båda sidor. Hillevi sade mycket, men låt mig gå in på några detaljer. Det palestinska folket har lidit i många hundra år, men jag ska hålla mig till det vi talar om i folkrättsliga termer. Vi delningen 1948 förlorade palestinierna redan från början. När landet delades fick israelerna 53 procent av landytan och palestinierna följaktligen 47 procent. Sedan dess har deras område bara krympt. I dag har palestinierna kvar ca 12 procent av det landområde de hade 1948. Demolering av hus och av citrus- och olivlundar har pågått länge. Sedan den första intifadan 1988, när jag var där första gången, har det varit en fruktansvärd nedmontering av det palestinska samhället.  De olagliga ockupationerna breder ut sig, och häromdagen sade den israeliska regeringen att man tänker fortsätta med dem och med att bygga nya bosättningar i Jerusalem. Sedan några år tillbaka byggs en mur runt hela det palestinska området som enligt planen ska bli närmare 80 mil. På Västbanken är den åtta meter hög och runt Betlehem tolv meter hög. Människorna bakom muren i Betlehem lever i ständig skugga. Precis som tidigare sagts kan palestinierna inte röra sig fritt. De har inte tillgång till arbetsplatser, läkare och skolor. Vid de vattenkällor som finns på Västbanken har israelerna byggt bosättningar, vilket gör att det palestinska folket i byarna runt omkring i bästa fall får köpa tillbaka sitt vatten från de israeliska bosättarna. Människor blir förgiftade när bosättarna skickar orenat vatten nedför kullarna och bergen. Det drabbar också israelerna själva, vilket har börjat synas på senare år.  Det är fruktansvärt - för att inte tala om att Gaza för andra gången på några år är sönderbombat, med allt lidande som det innebär. Jag förespråkar inte våld på något håll. Tvärtom måste vi hela tiden vara noggranna med att tala om det och vara tydliga i det, men det går inte att komma ifrån att våldet från den andra sidan är ännu större. Det går inte att försvara på något sätt. Jag menar att ett erkännande av Palestina, precis som regeringen har sagt, kommer att innebära en syn inom Palestina och inom Israel som kommer att främja fredssamtalen. I detta anförande instämde Kenneth G Forslund, Arhe Hamednaca, Hillevi Larsson, Veronica Lindholm och Lawen Redar (alla S). ","S"
"Pernilla Stålhammar","Fru talman! Utrikesministern! Det finns sexåringar i Gaza som har upplevt tre krig. För ungefär 20 år sedan lade jag tre år att mitt liv på att vara Sidas ansvariga handläggare för biståndet till Västbanken/Gaza, som det då hette, och Palestina. Det var väldigt viktiga år i mitt liv. Jag har, precis som Katarina Köhler berättade att hon gjort, rest runt och sett det dagliga förtrycket bland palestinierna. Det är första gången jag står här i Sveriges riksdag. Jag är nyinvald riksdagsledamot, och jag är stolt över att tillhöra det parti - Miljöpartiet - som tillsammans med Socialdemokraterna i regeringen har erkänt staten Palestina. Det är ett stort och mycket viktigt steg. Vi har gjort det vid en kritisk tidpunkt. Det senaste året har vi sett hur fredssamtalen har gått i stå och hur nya bosättningar byggs på ockuperat palestinskt område. Allt detta har motverkat en tvåstatslösning. Vi har sett hur våldet har återvänt till Gaza. Varför är det då så viktigt att vi erkänner Palestina som stat nu? För det första vill vi, som utrikesministern sade, ge vårt stöd till de moderata krafterna i Palestina. För det andra vill vi verka för ett avtal med en tvåstatslösning med Jerusalem som delad huvudstad för de två staterna. Vi vill göra det, och här är det viktigt att vi får mer likvärdiga parter. Det får vi genom erkännandet av staten Palestina. För det tredje vill vi ge hopp till den sexåriga flicka som redan har upplevt tre krig - ett hopp om att fred fortfarande är möjligt, ett hopp om att Palestina och Israel ska kunna leva tillsammans sida vid sida med godkända gränser och i fred och ett hopp om att hon ska kunna sova gott om natten. Erkännandet av Palestina kommer såklart att följas upp av ett utökat utvecklingssamarbete som kommer att vara inriktat på demokrati. På ett erkännande följer givetvis också ett ännu större ansvar. Vänner! 130 stater i världen har redan erkänt Palestina som stat. Som delegat i Rom på en interparlamentarisk konferens om fred, säkerhet och försvar i förra veckan tog jag tillfället i akt att hålla ett tal om Sveriges erkännande av Palestina. Den stämning som uppstod då vill jag förmedla. Det var 70 talare, och jag var en av de få som fick applåder. Det bådar gott. Det var en väldigt god stämning, och Sveriges beslut har fått genklang runt om i Europa. Vi ser att flera omröstningar hålls i olika länder. Vi hoppas att fler länder ska följa efter, för fredsprocessens skull, för freden i Mellanösterns skull och för den sexåriga flickans skull, hon som redan upplevt tre krig.  I detta anförande instämde Katarina Köhler och Veronica Lindholm (båda S). ","MP"
"Margot Wallström","Fru talman! Jag tror att interpellanternas inlägg illustrerar den desperation som just nu finns på många håll i världen över det eskalerande våldet, situationen i Mellanöstern och relationen mellan Israel och Palestina. Det är aldrig rätt tidpunkt. Det har inte varit det under 20 år trots att man efter Osloavtalet sade att en tvåstatslösning skulle uppnås efter fem år. Vad är det vi har att hålla oss till? Till vad ska vi sätta vårt hopp om en fredlig utveckling och en avtalad samexistens mellan två stater som kan leva sida vid sida? Vi måste bestämma oss. Tror vi fortfarande på en tvåstatslösning eller inte? Om vi tror på det bidrar erkännanden med det lilla de kan till att göra relationen lite mindre ojämlik jämfört med hur det ser ut i dag. Detta har det vittnats om här på ett alldeles utmärkt sätt. Var finns utrymmet för den som är ung i dag i Palestina mellan att acceptera en alltmer desperat situation och att ta till våld? Var finns de moderata krafterna? Jag har inte hört någon av interpellanterna ge några konkreta förslag här på hur det ska se ut i stället, om vi inte går den vägen och försöker stödja president Abbas. Han representerar just dessa moderata krafter, hur mycket vi än kan tycka att de inte talar på det sätt vi skulle föredra, använder en retorik vi inte tycker om och ibland gör alldeles fel saker. Då ska vi kritisera, och det gör vi också. Fredrik Malm undervisar oss som vanligt. Vi ska inte prata om den här saken, vi ska tala om någonting annat, som om vi inte själva tagit avstånd från våldshandlingarna och som om det som just nu händer i Jerusalem vore vårt fel och i själva verket mitt fel personligen. Det tycker jag är lite ovärdigt. Vi borde kunna diskutera sakligt. Var är förslagen? Vilka krafter är det ni tycker att vi ska stödja, Fredrik Malm, och hur ska vi göra det? Vad representerar Israel i dag, och ska vi verkligen hamna i den situationen att vi tar ställning för den ena eller andra parten när vi i själva verket borde ta ställning för fredsprocessen och sakta men säkert försöka ta oss tillbaka till förhandlingsbordet? Vi måste ge de moderata krafterna - så otillräckliga och så ofullkomliga som de är i dag - och president Abbas, som representerar just en sådan rörelse och som står för en palestinsk myndighet som i dag betraktas som statsduglig också av FN och av en rad länder, kraften att fortsätta att tala mot våldet och hålla Hamas borta. Vi för ingen dialog med Hamas, för de är terroriststämplade, men vi har en dialog med president Abbas. Med en ny stat kan vi göra som med alla andra stater: ställa krav. Det framförs på politisk och diplomatisk väg. Vi ser till att både fördöma den typ av barbariska dåd vi har sett i Jerusalem och mana till besinning. Det är inte lovande när Israel säger att de ska svara kraftfullt. Då vet vi vad som kan vänta. I stället måste vi få en väg tillbaka - en spiral som blir en god spiral. Ge mig gärna förslag på när det skulle vara rätt tidpunkt! I själva verket kan det redan vara för sent, som vi har sett av de senaste dagarnas händelser. I detta anförande instämde Arhe Hamednaca, Hillevi Larsson och Lawen Redar (alla S). ","S"
"Sofia Damm","Fru talman! Tack, utrikesministern! Margot Wallström nämnde Osloavtalet, men regeringen har handlat tvärtemot de premisser som låg till grund för Osloavtalet för 20 år sedan. Då var kravet att PLO först skulle erkänna Israels legitima rätt att existera som en judisk nation för att det palestinska självstyret skulle kunna upprättas. Regeringen valde att göra det omvända. Först erkändes en stat som delvis kontrolleras av Hamas, som inte bara förnekar utan även vill förinta den judiska staten. Men nu är vi där vi är, och vi måste ta fasta på att erkännandet innebär ett ökat ansvar. Ord måste gå till handling. Sveriges regering måste agera utanför symbolpolitikens trygghetszon. Utrikesministern måste ta ansvar för ett statserkännande som enligt min mening kom för tidigt. Jag uppskattar att utrikesministern svarar att regeringens syn på Hamas inte avviker från EU:s syn, det vill säga att Hamas är en terrororganisation - så länge organisationen inte tar avstånd från våld mot civila i Israel. I utrikesministerns svar inledningsvis betonas det att Hamas måste erkänna Israels rätt att existera och respektera ingångna avtal. Det är bra. Men hur kan det då komma sig att detta inte ens nämns i strategin för utvecklingssamarbetet med Palestina? Där finns ju en konkret möjlighet att ställa krav. Sverige är en stor biståndsaktör. Sverige måste därmed kunna vara både kravställande och drivande. Om regeringen inte noga har tänkt igenom hur man ska kunna ställa krav och göra uppföljningar förstår jag inte att det var så bråttom med ett erkännande och så bråttom med en ny strategi, som måste vara tydlig. ","KD"
"Mathias Sundin","Fru talman! Jag tycker det är bra att utrikesministern frågar vad vi vill. Jag nämnde det mycket kort i slutet av mitt inlägg, och jag utvecklar det gärna. Jag tycker att vi ska sluta stödja så kallat moderata krafter och i stället stödja demokratiska krafter. Det är en avgörande skillnad. Vem som helst kan vara moderat om man jämför med den som är värst. Jämför man Abbas med de värsta Hamasföreträdarna är han naturligtvis moderat jämfört med dem. Men det betyder inte att han är en resonabel och bra ledare, vilket jag tycker att han har visat, bland annat genom att han är inne på tionde året av en fyraårig mandatperiod - det säger väl det mesta om hur icke-demokratisk han är. Det görs jämförelser i debatten. Hillevi Larsson pratar om moderata krafter i Palestina, och i samma mening pratar hon om moderata krafter i Israel. Men hon missar den avgörande punkten att de israeliska ledarna är demokratiskt tillsatta och kan avsättas av folket medan de palestinska ledarna inte kan det. Därför har jag kritik mot Sverige, och den kritiken riktar sig inte bara mot Sverige och den nuvarande svenska regeringen utan mot det sätt som stora delar av världssamfundet jobbar på, när man gärna går hand i hand och går i armkrok med odemokratiska ledare. Varför är det så viktigt att stötta de demokratiska ledarna i den här processen? För det första är det naturligtvis därför att palestinierna, precis som alla andra folk på denna jord, förtjänar att leva i fred och demokrati och att fred lättast kommer till genom demokrati. För det andra är det därför att två demokratier aldrig någonsin i världshistorien har krigat med varandra. Skulle Palestina i dag vara en fungerande demokrati skulle vi inte längre ha någon konflikt, i alla fall inte någon väpnad konflikt - det är jag helt övertygad om. Det finns mekanismer i demokratier som avsevärt skiljer sig från auktoritära länder och auktoritära ledare. Det säger sig självt, när man tänker på det. Egentligen håller alla i kammaren med om det men likställer ändå icke-demokratiska ledare med demokratiska. I demokratiskt styrda länder väljer man bort de ledare som inte håller sin befolkning trygg och som för väpnade konflikter utan att befolkningen tycker att det finns rimliga skäl för det. Ta Irakkriget som exempel! Det amerikanska folket - i alla fall en majoritet av det - stödde inledningsvis den insatsen, eftersom man såg att det fanns skäl. Man var rädd för sin egen trygghet, man var rädd för massförstörelsevapen och så vidare. När det senare kom fram att de skäl som hade angetts inte höll längre tappade man fullständigt legitimiteten för det kriget hos folket, ledarna byttes ut och fick lämna sina ämbeten med svansen mellan benen, och den presidentkandidat som från början hade varit mot kriget blev vald i stället. Den chansen får inte det palestinska folket någonsin. De får inte välja bort sina ledare. Om de tycker att Abbas är dålig, utlyser strejker och kritiserar, då förbjuds fackföreningen, och de stoppas. Det är viktigt att vi styr om vår politik från att gå i armkrok med Abbas och andra odemokratiska ledare till att verkligen anstränga oss för att hitta de demokratiska ledarna i Palestina och jobba med dem - de riktiga demokraterna. I detta anförande instämde Fredrik Malm (FP). ","FP"
"Fredrik Malm","Fru talman! Det finns något som är mycket talande i debatten. Vi har haft fyra borgerliga ledamöter som har fördömt och kritiserat att den palestinska myndigheten har förbjudit den största fackföreningen på Västbanken, med 40 000 medlemmar. Vi har fördömt att man har gripit två av dess ledare. Vi har kritiserat att man har aviserat ytterligare gripanden och attacker mot fackföreningsrörelsen, med totalt 160 000 offentliganställda bland sina medlemmar. Sedan har vi haft fyra talare - utrikesministern, två socialdemokrater och en miljöpartist - som inte med ett ord har kunnat kritisera attackerna på fackföreningsrörelsen i Palestina. Utrikesministern säger: Även när palestinierna gör fel måste vi kritisera. Ja, men gör det då - det är fritt fram! Utrikesministern har ett inlägg till, och de andra talarna har ett inlägg till. Är det inte rimligt att fackliga rättigheter gäller även palestinier på Västbanken, eller är det något som man ska hysch-hyscha lite med? Är det något som man egentligen inte ska tala så högt om, eftersom det kanske bara innebär att fokus förflyttas från den israeliska ockupationen till tillkortakommanden inom den palestinska myndigheten? Utrikesministern har här att besvara interpellationer som handlar om så kallade moderata krafter. Då är det så att de personer som skjuter raketer och predikar massmord på judar i dag sitter i regeringen. Hamas är en del av regeringen. Det är då förvånande att utrikesministern i sitt svar på interpellationen säger att Hamas är en terroristorganisation och samtidigt säger att regeringen är pragmatisk och moderat. Då är frågan: Kan man vara moderat terrorist? Finns det någon sorts pragmatisk terrorist? Är det någon sorts ny term? I så fall får utrikesministern gärna förklara den. I detta anförande instämde Hans Wallmark (M). ","FP"
