"Carl-Oskar Bohlin","Herr talman! Jag skulle vilja börja med att yrka bifall till den moderata reservationen, reservation 1, om särskild avhysning och handräckning. Motivet till det är att det är en fråga som i grunden handlar om rättsstatens funktionssätt - att ha rätt och att få rätt. Att ha rätt är inte mycket värt om man inte kan tillförsäkra sig att också få rätt. Jag talar naturligtvis om enskilda markägare som får sin äganderätt kränkt genom att till exempel illegala bosättningar etableras på marken och att man sedan inte upplever att man har möjlighet att få rättsstatens hjälp att avhysa den eller de som bosätter sig på marken. Därför är detta en viktig principiell reservation. Jag tänkte inte orda så mycket mer om detta eftersom jag vet att motionären själv kommer att föredra motionen och reservationen mer utförligt. Därför går jag över till att tala lite mer om det särskilda yttrande som hela Alliansen har i det här betänkandet. Det handlar om att se över reglerna för företagsrekonstruktion. Företagsrekonstruktion kan låta som något torrt och tråkigt, men det handlar i grunden om något väldigt viktigt, nämligen förutsättningarna för att driva företag i Sverige.  Det handlar ytterst om vår konkurrenskraft. Hur lätt är det att rekonstruera ett företag som har en god affärsidé och som har en god verksamhet men som på ett eller annat sätt har kommit på obestånd? Sverige har vid ett flertal tillfällen kritiserats för att vi har ett för högt risktagande förknippat just med att driva företag. Det hänger samman med att vi har högt ställda krav på skuldsanering för enskilda företagare som tidigare har drivit företag men sedan blivit försatta i konkurs, liksom vi har regler för att rekonstruera ett företag, vilket alltså är motsvarigheten till skuldsanering för en juridisk person. Anledningen till att vi har det särskilda yttrandet är de frågor som väcks av det faktum att regeringen i februari valde att lägga ned kommittén för förbättrat klimat för entreprenörskap och innovativt företagande. Vi frågar oss: Varför valde man att lägga ned den kommittén? Den kommittén hade uppdraget att titta just på reglerna för företagsrekonstruktion, bland annat. Därefter tillsatte regeringen en ny utredning, en ensamutredare, med ett snarlikt namn, lite som för att kamma över att man hade lagt ned en utredning tillsatt av den tidigare regeringen. Problemet är bara att direktiven till den nya utredningen närmast får uppfattas som politiskt snömos i jämförelse med den gamla utredningen. Jag hade en interpellationsdebatt i detta ämne med näringsministern. Hans svar var i grunden lika intetsägande som de direktiv som man gett den nya utredningen. Jag hoppas att vi får ett klargörande från Socialdemokraternas sida. Hur ser man på den här frågan? Hur ser man på vikten av att se över det här regelverket och att återkomma? Den tidigare utredningen skulle leverera sitt slutbetänkande i augusti. Den tidsfristen har man nu skjutit fram till oktober. Och i stället för att leverera ett ordentligt betänkande kommer man att redovisa delar av den nya utredningen i form av tematiska seminarier på Regeringskansliet. Vilka är det som blir inbjudna till de tematiska seminarierna, och hur seriöst känns det? Det hoppas jag att företrädare för regeringspartierna kan svara på. Vi kommer att bevaka den här frågan noga, och vi kommer att återkomma i det fall vi märker att det inte händer någonting. "
"Mikael Eskilandersson","Herr talman! Jag tänkte börja med mitt yrkande, så att jag inte glömmer bort det. Jag yrkar bifall till reservation 2 om avhysning och särskild handräckning. Jag kommer att ägna i stort sett hela mitt anförande åt tältläger och de problem som har uppstått kring dessa. Herr talman! Det finns två partier i Sveriges riksdag - Sverigedemokraterna och Moderaterna - som har reservationer när det gäller avhysning och särskild handräckning. Övriga partier är tydligen nöjda med dagens sätt att hantera detta växande problem. Likabehandlingsprincipen är viktig i en rättsstat. Att alla följer samma regler borde vara en självklarhet. Så är det uppenbarligen inte i Sverige. Är man inte svensk medborgare kan man bryta mot ganska många regler utan att behöva oroa sig för några följder. Det är mängder med regler och lagar, som jag snart kommer att räkna upp, som människor bryter mot när de kommer hit och bosätter sig i tältläger och liknande, i eller omkring våra städer. Trots det står vi närmast handfallna och vet inte hur det ska hanteras. Det logiska och mest naturliga i en rättsstat, där äganderätt råder, vore naturligtvis att polis omedelbart skulle ingripa om någon börjar sätta upp tältläger på någon annans mark. Det verkar dock finnas en politisk vilja från sjuklövern att polisen inte ska ingripa, och det är det egentliga problemet. Herr talman! Problem uppstår när människor kommer till Sverige utan att ha tillgång till bostad eller inkomst. Anledningen till att de reser hit är ofta att de ska tigga, men en del kommer säkert med förhoppningar om jobb. Oavsett hur det är blir resultatet detsamma. Dessa personer bryter medvetet mot mängder av regler och lagar i Sverige. De slår upp tältläger för att ha någonstans att bo billigt medan de vistas i Sverige. Det sker på platser där de mycket väl vet att det är olagligt att campa. Oftast är det inom tätbebyggda områden, där lokala ordningsregler förbjuder camping. Flera problem uppstår då dessa platser inte är avsedda för camping och det saknas både toaletter och sophämtning. Dessa människor kommer från andra EU-länder - därför kallas de EU-migranter. I de länder som de kommer från finns det lagar mot nedskräpning och mot att campa inom tätbebyggda områden, liksom vi har regler i Sverige. En del av de länder som de kommer från har direkta förbud mot tiggeri. Det är inte heller tillåtet att använda parkerna i Rumänien som toaletter. Därmed kan man förutsätta att de människor som kommer hit vet eller åtminstone bör vara medvetna om att deras sätt att leva här troligen bryter mot något regelverk. Herr talman! Vårt regelsystem i Sverige bygger på att människor i grunden är ärliga och vill göra rätt för sig. Det finns mängder av regler som gör det helt omöjligt att skapa ett så kallat tältläger i Sverige. För det första får man inte tälta mer än en natt, enligt det vi kallar för allemansrätten. Allemansrätten har under senare tid alltmer ifrågasatts, framför allt av markägare som känner att den blir en allt större belastning då den missbrukas på det här sättet. Vill vi bevara allemansrätten långsiktigt måste markägare känna att de har några rättigheter i fråga om sin egen mark. För det andra måste det finnas tillgång till toalett och någon form av omhändertagande av fekalier för att man ska kunna bo på en plats en längre tid utan att bryta mot diverse miljöregler. Det är inte heller särskilt trevligt för den stackars privata markägare som tvingas städa upp det här efteråt. Det borde självklart ligga på den som smutsar ned att städa upp efter sig, men så är det inte i sjuklöverns Sverige. För det tredje är det olagligt att skräpa ned rent allmänt. Det är inte bara avföring som sprids runt tältlägren. Diverse annat skräp brukar skapa enorm oreda och stora kostnader för den markägare som ska städa. Det är mycket märkligt att vissa människor helt ska undantas från regler om sophämtning och nedskräpning medan man i normalfallet knappast ens tillåter sommarstugor att vara utan sophämtning. För det fjärde ska byggnader inte tillåtas utan bygglov. Man kan börja hänvisa till friggebodsregler, men de gäller först om det finns en huvudbyggnad på tomten. Varför bygglov helt plötsligt inte behövs, när det slås upp tältläger runt om i landet, kan man också fråga sig. För det femte är dessa människors försörjning, om den sker genom tiggeri, olaglig i de flesta större tätorter i Sverige, eftersom de har inskrivet i sina lokala ordningsstadgor att man ska ha tillstånd för insamling av pengar. Så står det även i Stockholms ordningsstadga, till exempel. Om denna hade följts hade tiggarna inte varit här från första början, förutsatt att de inte fått tillstånd, givetvis. Herr talman! Det hänvisas till besittningsrätt och till att Kronofogdemyndigheten ska hantera detta efter anmälan från markägaren. Det är något som kostar markägaren 300 kronor i anmälningsavgift och 600 kronor per individ som sedan ska avhysas. Det är ett rent ut sagt löjligt sätt att hantera tältläger på - det tycker nog de flesta markägare i alla fall. Det blir också orimligt för markägare som har ständiga problem med människor som sätter upp tältläger på deras mark, då det blir en ständigt återkommande kostnad. Varför ska markägare betala för människor som begår regelbrott och i det närmaste ockuperar deras mark? Hur kan man få besittningsrätt när man olagligt sätter upp något på någon annans mark? Det finns ingen logik i detta. Det är bara ett resultat av alltför mycket byråkrati från människor som lever långt borta från andra människors vardag. Sverige kommer att byråkratisera ihjäl sig om man fortsätter att göra krångligast möjliga tolkning av varje lag. Besittningsrätten finns till för att de som hyr en bostad eller en markbit inte omedelbart ska bli av med den om de av någon anledning inte har betalat sin hyra i tid. Att däremot tolka lagen så att det blir en avhysning för att någon olovligen satt upp ett tält eller enklare skjul på någon annans mark och sedan bosatt sig där är en direkt horribel tolkning. Givetvis borde aldrig någon kunna få besittningsrätt om det inte finns ett avtal eller en hyresuppgörelse från början. Polisen är hopplöst bakbunden av sjuklöverns politiker och mediernas förvrängning av sanningen. Det är den egentliga anledningen till att detta plötsligt blir en fråga för Kronofogdemyndigheten. Polisen vill helt enkelt inte ingripa mot utländska människor som bryter mot våra regler, eftersom de vet att både ledande politiker och medier kommer att anklaga dem för allt från rasism till organiserad förföljelse. Då blir det lätt för polisen att i stället prioritera andra brott. När svenska uteliggare i Malmö gjorde ett tältläger var dock ingripandet omedelbart, helt i linje med hur det alltid borde fungera. Om man nu inte ska göra skillnad på människor utifrån var de är födda kan man verkligen förundras över den enorma dubbelmoral som vårt samhälle visar upp. Det enda som egentligen behövs för att få bort tältlägren är samma snabba ingripande vid alla försök att bygga tältläger, inte bara om de byggs av svenska uteliggare. (Applåder) I detta anförande instämde Runar Filper (SD). "
"Johanna Haraldsson","Herr talman! Vi debatterar i dag civilutskottets betänkande 9, <em>Ersättningsrätt och insolvensrätt</em>. I mitt anförande tänker jag beröra frågan om rätten att teckna personförsäkring, möjligheten till en andra chans för seriösa företagare och även avhysning. Jag vill börja med att yrka avslag på reservationerna och bifall till utskottets förslag i betänkandet. Herr talman! För företag som har drabbats av betalningssvårigheter finns det möjlighet att beviljas företagsrekonstruktion. Syftet är att ge en andra chans till företag i kris, samtidigt som borgenärerna oftast får bättre utdelning på sina krav än om företaget försätts i konkurs. Genom att livskraftiga företag rekonstrueras kan stora värden och många arbetstillfällen räddas. Trots detta är antalet företagsrekonstruktioner som beviljas och genomförs litet i förhållande till antalet konkurser. Att fler livskraftiga företag i kris inte genomgår en företagsrekonstruktion beror bland annat på att en rekonstruktion kräver mycket tid, energi och pengar från både gäldenärer och borgenärer. En annan viktig anledning är att det i dag saknas samordning mellan reglerna för rekonstruktion och konkurs. Det finns till exempel inte någon möjlighet för en rekonstruktion att direkt övergå i en konkurs. Det pågår, precis som Carl-Oskar Bohlin påpekade, en utredning som ska genomlysa reglerna för företagsrekonstruktion och lämna förslag på de förändringar i lagen som behövs. Utredaren ska även titta på hur samordning av rekonstruktion och konkurslag kan bli bättre. Översynen görs för att ge fler livskraftiga företag med betalningssvårigheter möjlighet till en andra chans. Carl-Oskar Bohlin frågar varför man har ändrat på utredningen. Men det är egentligen inget konstigt att en ny regering ger ett nytt uppdrag eller lägger ned en utredning och startar en ny. Nu kommer det att dröja två månader extra innan den nya utredningen kommer med besked, så jag tycker inte att det är några konstigheter. Vi har samma inriktning och vill att det ska bli enklare för företag att få en andra chans. De flesta jobb växer fram i små och medelstora företag, och för att fler ska våga satsa bör förutsättningarna vara så goda som möjligt för dem som startar och driver dessa företag. Företagare kan precis som andra råka ut för sjukdom, skilsmässa eller andra livskriser som påverkar ens liv och arbete. Det medför ett risktagande att starta och driva företag, men skyddsnätet är ofta mycket svagare. Trots att man i förarbetena till den nuvarande skuldsaneringslagen framhöll att fler företagare skulle kunna bli beviljade skuldsanering är det mycket svårare för svenska företagare än företagare runt om i Europa att få sina skulder avskrivna. I utredningen <em>F-skuldsanering - en möjlighet till nystart för seriösa företagare</em> föreslår man en särskild typ av skuldsanering för just företagare för att ge dem möjlighet till en andra chans. Det skulle också göra förutsättningarna för företagande mer lika i Sverige jämfört med övriga Europa. Det pågår en hel del arbete och initiativ för att förnya och skapa mer av en andra-chans-kultur inom svensk insolvensrätt, både för löntagare och för företagare. Regeringen arbetar med en strategi mot överskuldsättning, och det är en prioriterad fråga för oss socialdemokrater. Vi tycker att tillgången till de allmänna försäkringssystemen också ska göras mer likvärdiga mellan löntagare och företagare. Högre ersättningsnivåer i a-kassan skapar också en större trygghet för både företagare och arbetare. Vi vet att trygga människor vågar mer. När de allmänna försäkringssystemen och välfärdssystemen försämrats söker sig de som har råd till privata lösningar, herr talman, och skaffar sig ofta privata person- och sjukförsäkringar. Vi vill se tillräckligt starka trygghetssystem som gör att skillnaderna mellan grupper i samhället inte blir för stora. Vi vet att ojämlikhet i sig skapar social stress och ohälsa. Vi vill att tillgång till välfärdstjänster och de allmänna försäkringarna ska vara tillräckligt bra och ges efter behov, inte efter betalningsförmåga. Ersättningsnivåerna i de allmänna försäkringarna ska ge ett så bra grundskydd som möjligt. Herr talman! De allmänna försäkringarna ska vara en bra grund som ger förutsättningar för trygga och fria medborgare. Men det är också viktigt att vi har en fungerande försäkringsmarknad och att människor kan försäkra sig, sin familj och sitt hem för en större trygghet när olyckan väl är framme. På en fungerande marknad är premierna rimliga och försäkringarna ger ett bra ekonomiskt skydd. Marknaden bör regleras på ett sätt som jämnar ut maktförhållandena, där försäkringstagarna är den svagare parten som sällan har den juridiska kompetensen att förstå villkor och liknande. Herr talman! De privata försäkringarna fyller en viktig samhällelig funktion som ett komplement till de allmänna försäkringarna. Den så kallade kontraheringsplikten innebär att alla har rätt att teckna personförsäkring. Civilutskottet har tidigare följt upp lagen och då speciellt för barnförsäkringar. Sent omsider gav även den förra regeringen en särskild utredare i uppdrag att följa upp försäkringsbolagens tillämpning av kontraheringsplikten. Det är viktigt att se ifall försäkringsbolagen tillämpar den på rätt sätt, att riskbedömningarna är individuella och så vidare. Försäkringsbolagen bör också följa med i den medicinska utvecklingen på ett bra sätt. Forskning och utveckling går framåt, och om nya behandlingsmetoder gör att sjukdomar och tillstånd som tidigare sågs som en stor risk numera kan behandlas eller förebyggas ska också bolagen ta hänsyn till det i sin riskbedömning. Herr talman! Det finns två reservationer i betänkandet, från Moderaterna och från Sverigedemokraterna, som berör svårigheten för markägare att avhysa personer som olovligen uppehåller sig på deras mark samt förslag på förenklingar av regelverket. Det är givetvis väldigt besvärligt för markägare att människor uppehåller sig under lång tid på deras mark, och det medför en hel del arbete och kostnader som jag tror att vi kommer att få tydliga redovisningar av även framåt. Det är besvärligt att få till stånd en avhysning. Det kan vara så att man behöver se över vilken myndighet som ska ha ansvaret för avhysningen. Förenkling av reglerna kanske också blir aktuellt, men det är viktigt att den utredning som ska göra en översyn av utsökningsbalken och anslutande regler får tid till översynen och att den nationella samordnaren för utsatta EES-medborgare får redovisa sitt uppdrag. Därför bör inte riksdagen föregå arbetet med ett tillkännagivande. Herr talman! Denna fråga handlar om utsatta människor. Trots att vi är överens om att lag och ordning ska upprätthållas bör vi behandla dessa människor med medmänsklighet och respekt. När det i många fall är romer som illegalt uppehåller sig på annans mark är det viktigt att vi är medvetna om vår historia och om hur romer har behandlats och diskriminerats i Sverige och i hela Europa. Samtidigt är det inte bara en fråga om den rasism och diskriminering som de här människorna har blivit utsatta för. Det är i grunden en fråga om extrem fattigdom. Människor lever under väldigt dåliga förhållanden och riskerar dagligen sin hälsa och att utsättas för brott. I Jönköpings kommun planerar man att inrätta tillfälliga anvisade platser för tillfälligt boende för att komma till rätta med bosättningar på privat och offentlig mark. Man har tänkt sig att de här platserna ska vara tillgängliga kvartalsvis. Ny plats anvisas sedan för att motverka risken att det blir permanenta bosättningar. Det finns givetvis problem även med detta sätt att hantera situationen, men man hoppas kunna motverka de konflikter och den nedskräpning som ofta blir resultatet. Man har i Jönköping insett att det här är ett problem som vi kommer vara tvungna att hantera under lång tid och att vi inte löser det genom att avhysa utan att erbjuda alternativ. Det handlar ju om utsatta människor som inte har någonstans att ta vägen och som enbart flyttar till nästa skogsdunge eller parkeringsplats när de blir avhysta. Det som vi egentligen borde diskutera är hur vi kan förbättra situationen för dessa människor, inte hur vi lättare flyttar runt dem. Jag hoppas att vi kan enas om att det finns en stor utmaning både för det civila samhället och för politiken på alla nivåer att hantera denna ökande grupp människor som står utanför arbetsmarknad och trygghetssystem i sina hemländer och därför känner sig tvingade att resa bort och lämna sina barn för att kunna klara livet och kanske ge sina barn ett lite bättre liv än de själva har fått. Det får aldrig bli en polariserande debatt för eller emot utsatta människor, utan den bör handla om hur vi förbättrar möjligheten för människor att stanna kvar i sina hemländer och bli fullvärdiga medborgare som inte ser tiggeri som ett alternativ. (Applåder) "
"Carl-Oskar Bohlin","Herr talman! Socialdemokraterna gör i den här debatten en svag och utsatt grupp till ett politiskt slagträ genom oförmågan att hålla två tankar i huvudet samtidigt. Å ena sidan säger man att det är ett problem när illegala bosättningar upprättas och enskilda markägare får betala ett mycket högt pris. Å andra sidan ska det förstås som ursäktligt på grund av omständigheter. Det är en hållning som inte kommer att leda till något annat än att vi skapar ett stort samhällsproblem, ett problem där enskilda markägare får bära stora kostnader på grund av att staten helt enkelt inte kan göra det en stat borde kunna göra, nämligen garantera markägarna deras rätt att inte få sin egendom förstörd. Låt mig övergå till att ställa några frågor om detta med företagsrekonstruktion och utredningen, för jag fick inte några bra svar från näringsministern tidigare i dag. Vi ser hur man helt enkelt skrotar nästan alla utredningsdirektiv som fanns med i den tidigare utredningen för att sedan ersätta dem med en rad andra direktiv, bland annat att analysera och lämna förslag på hur utvecklingen av affärsmodeller inom cirkulär ekonomi kan underlättas för att underlätta för innovationer som bidrar till en hållbar utveckling. Ursäkta mig, men vad betyder det egentligen? Näringsministern hade inget svar. Det här är att göra om en konstruktiv utredning om hur företagsklimatet kan förbättras, bland annat genom att se över reglerna för företagsrekonstruktion, och ersätta den med politiskt snömos, helt enkelt därför att man inte ville ha utredningen från början. "
"Johanna Haraldsson","Herr talman! Tack, Carl-Oskar Bohlin, för frågan! Vi är helt överens om att vi vill skapa bättre förutsättningar för företagare. Men att göra det här till en debatt om hur man utformar en utredning och inte tjänar inget syfte. När det gäller avhysning är vi även där ganska överens. Jag tycker att vi ska låta den utredning som faktiskt har tillsatts av den förra regeringen, och som ska se över reglerna, få göra sitt jobb klart. "
"Carl-Oskar Bohlin","Herr talman! Reservationen handlar ju om att inte lägga onödig börda och onödiga kostnader på den enskilde markägaren. Det är ett problem som man väl i vart fall måste kunna erkänna finns. Erkänner man inte att problemet finns, då erkänner man inte att problemet finns - svårare än så är det inte. När det gäller frågan om utredningen är det inte så att vi tycker samma sak bara för att man tillsätter en ny utredning med samma namn om den har helt andra direktiv - direktiv som ingen ens kan förklara vad de betyder. Det är att sätta djävulen i detaljerna och att inte ta frågorna på stort allvar. Jag uppfattar att varken näringsministern eller Johanna Haraldsson kan ge mig ett svar på vad de nya direktiven faktiskt betyder i förhållande till de gamla. Det tycker jag är tråkigt för alla som värnar om entreprenörskap och att Sverige ska kunna vara konkurrenskraftigt även i framtiden. "
"Johanna Haraldsson","Herr talman! Det är lite svårt att tolka vartenda utredningsdirektiv så här rakt upp och ned. Vi diskuterar företagsrekonstruktioner, och där är vi överens om att vi vill skapa mer av en andra-chans-kultur för företagare. Här är det viktigt även med förslagen om skuldsanering för företagare och att göra lagstiftningen om företagsrekonstruktioner enklare och mer sammanhållen med konkurslagstiftningen. "
"Mikael Eskilandersson","Herr talman! Jag delar inte riktigt Johanna Haraldssons syn på detta med avhysning och handräckning, att man skulle kunna vänta med att åtgärda problemet tills det kommer någon form av utredning någon gång i framtiden. Vi har ett problem som i dag är mycket stort. Det finns markägare som har hundratals personer boende på sin mark. Jag tycker att det är fullständigt orimligt att den privata markägaren ska behöva stå för kostnaden för att avhysa dessa personer. I sitt anförande talade Johanna Haraldsson om att erbjuda alternativ. Jag undrar hur det ska gå till och hur lång tid det ska ta. Som jag har förstått ligger de flesta kommuner redan långt efter vad gäller bostadsbyggande. Jag tror inte att det är någon kommun som har något direkt överskott av bostäder att erbjuda. Hur ska dessa alternativ komma till, och vem ska betala dem? "
"Johanna Haraldsson","Herr talman! Tack, Mikael Eskilandersson, för frågorna! Det här problemet är något som i hög grad kommit i kölvattnet av den fria rörligheten. Folk har faktiskt rätt att röra sig fritt inom Europa, och det finns ingen quick fix. Det är ett långsiktigt arbete som måste ske både på EU-nivå och i Sverige. Jag tycker att det är viktigt och är överens med både Moderaterna och Sverigedemokraterna om att reglerna behöver ses över, men det är inget som löser grundproblemet, som är extrem fattigdom. Vi måste göra stora insatser på EU-nivå. Vad gäller de olika markbitarna handlar det i exempelvis Jönköping om att man letar upp mark där man kan få uppehålla sig utan att det är på någon annans tomt. "
"Mikael Eskilandersson","Herr talman! Jag tackar Johanna Haraldsson för svaret. Som jag ser det finns det saker man kan göra som omedelbart skulle förändra läget ganska drastiskt. Först och främst handlar det om att se till att de lagar och ordningsregler som gäller följs, att inte tillåta att folk sitter och tigger om det står i ordningsreglerna att det inte är tillåtet. Förbud mot tiggeri är något som vi för. Visumtvång för personer från vissa länder skulle vara fullt möjligt att införa. När det gäller den fria rörligheten finns det dessutom en regel om att man inte får vistas längre än tre månader i ett land utan att kunna visa att man kan försörja sig, har en bostad och så vidare. Det finns alltså mängder av saker man kan göra utifrån det regelverk som finns redan i dag. Visst, det handlar om utsatta människor. Men vi har svenska människor som är minst lika utsatta och minst lika fattiga. Jag undrar var gränsen går för hur fattig man ska vara. De människor som slog upp ett tältläger i Malmö förra helgen blev förflyttade därifrån inom ett par timmar. Då gick det alldeles utmärkt för polisen att gå in och förändra situationen eftersom det rörde sig om människor som var svenska medborgare. Men jag tror inte att de är rikare än de människor som vi tillåter att ha tältläger runt om i Malmö bland annat. Min avslutande fråga är: Var går gränsen för hur fattig man ska vara?  "
