"Margot Wallström","Fru talman! Jakob Forssmed har frågat mig om jag avser att driva på för att upprätthålla och skärpa krav från EU:s sida när det gäller demokrati och mänskliga rättigheter vid förhandlingen om ett bilateralt avtal mellan EU och Kuba, hur jag avser att säkerställa att dialog också förs med det kubanska civilsamhället och politiskt oppositionella samt hur jag avser att säkerställa att utökandet av kontakterna mellan Sverige och Kuba framför allt är ett utökande av kontakter med kubanska demokratiförespråkare. EU:s ministerråd beslutade i februari 2014 att inleda en förhandling med Kuba om ett avtal om politisk dialog och samarbete. Målsättningen från EU:s sida är att uppmuntra en demokratisk utveckling och respekt för mänskliga rättigheter. Förhandlingsdirektivet till EU-kommissionen och EU:s höga representant slår fast att demokratiska principer och respekt för mänskliga rättigheter är en förutsättning för att EU ska ingå ett avtal. EU:s utrikestjänst och Kuba genomförde två förhandlingsrundor under 2014. En tredje var planerad till januari 2015 men har skjutits upp av Kuba. Utöver officiella kontakter med företrädare för Kubas regering har EU:s representanter också kontakt med representanter för det civila samhället och oppositionella i Kuba. Liksom tidigare fortsätter EU att noga följa utvecklingen när det gäller reformer och respekt för mänskliga rättigheter i Kuba. Regeringen står helt och fullt bakom det förhandlingsmandat som ministerrådet gett till kommissionen och EU:s höga representant. Regeringen verkar även fortsättningsvis för att kraven på Kuba när det gäller demokrati och mänskliga rättigheter upprätthålls och för att EU:s dialog med det kubanska civila samhället fortsätter. Även svenska företrädare håller som en del av det diplomatiska arbetet löpande kontakt med civilsamhället och demokratiförespråkare i Kuba. Denna regering ser det också som naturligt att Sverige har en bilateral dialog med företrädare för Kubas regering. Regeringens metod för att uppnå utrikespolitiska mål är dialog. Öppenhet och kontakter är att föredra framför isolering. Det finns ingen anledning att avhända sig de möjligheter till påverkan på de kubanska beslutsfattarna som en bilateral dialog ger. Att dialog och kontakter är att föredra framför isolering är också den slutsats som den amerikanska administrationen nu har kommit fram till. I likhet med Jakob Forssmed välkomnar jag att förbindelserna mellan USA och Kuba återupptas. Det innebär en dialogens seger över låsta motsättningar och är positivt för människor i båda länderna. ","S"
"Jakob Forssmed","Fru talman! Jag vill börja med att tacka utrikesministern så mycket för svaret. Det finns mycket som är bra i svaret, men där finns också några punkter som jag tycker är lite vaga eller svaga. Jag hoppas att denna debatt ska visa att det finns en samsyn. Alliansregeringen har varit mycket pådrivande i frågan i EU-kretsen för att EU ska arbeta aktivt och konsekvent när det gäller demokrati och mänskliga rättigheter. Tidigare socialdemokratiska regeringar har också varit aktiva, framför allt före regeringsskiftet 2006 då man bedrev en väldigt tydlig politik på detta område. Det var bra, och jag hoppas att vi kan fortsätta att göra gemensam sak här. I svaret slås fast att Sverige står bakom EU:s förhandlingsmandat. Det är bra. Något annat vore överraskande. I svaret sägs också att demokratiska principer och respekt för mänskliga rättigheter är en förutsättning för att EU ska ingå ett avtal. En förutsättning - det är mycket bra. Det talas mycket om dialog i svaret. Jag vill gärna uppehålla mig en stund kring vad regeringen menar och få lite förtydliganden. Till att börja med är det bra att konstatera vad det är för en regim. Det är en av jordens värsta förtryckarregimer. I de index som görs över mänskliga rättigheter hamnar den, när det gäller politiska rättigheter och möjligheter, i samma division som Somalia, Eritrea, Nordkorea och Saudiarabien. Det är den typen av förtryck vi talar om. Det finns inget utrymme för oliktänkande. De som tänker annorlunda förtrycks konsekvent. Metoderna varierar; ibland handlar det om långa fängelsestraff, ibland om kortare arresteringar och trakasserier mot familjer. Ingen tillåts att befinna sig utanför den ram som kommunistpartiet enväldigt definierar. Jag tänker inte göra någon större sak av detta mer än att konstatera att ingen dialog med en sådan regim är naturlig. Den bör man fundera igenom mycket noggrant. När man för en dialog är det två punkter man ska ha klart för sig. Den ena är vem man för dialogen med och vilka de representerar, och den andra är vad man har för syfte med dialogen. Om man inte har detta klart för sig är det stor risk att motparten solar sig i själva dialogens glans, om man så säger. Jag tror därför att det är otroligt viktigt att man också har en dialog med de oppositionella. Jag säger inte att man inte kan ha en dialog med regimen, men man måste visa att man inte ser regimen som det kubanska folkets legitima företrädare. Jag tycker därför att det vore väldigt bra om vi kunde få ett löfte och ett förtydligande från regeringen att man är beredd att se till att de oppositionella och civilsamhället får en roll också i de formella processerna när det gäller EU, Kuba och det bilaterala avtal som diskuteras, inte bara i allmänna kontakter mellan ambassadföreträdare utan att man som en aktiv del i processen lyssnar till vad de vill med avtalet, vad de ser framför sig och vad de kan tänkas ha för synpunkter. I sitt svar talar utrikesministern om dialogens seger - att USA och Kuba normaliserar sina relationer. Det kan man ju säga, men det är ingen dialogens seger för medborgarna på Kuba. De har inte fått det ett dugg bättre genom normaliseringen. De har ingen möjlighet till fri och öppen dialog över huvud taget, varken med den egna regimen eller med varandra, så vi ska inte övervärdera normaliseringens betydelse för Kuba. Det är inte embargot som har orsakat kubanernas problem. Det kommer heller inte att lösa deras problem om det avskaffas. Frågan gäller framför allt dialog inom ramen för processen med EU-Kuba-avtalet. ","KD"
"Fredrik Malm","Fru talman! Kuba är västra hemisfärens sista totalitära diktatur. Man har tvingats lyda en kallblodig, frustande diktator som har en cigarr i mungipan och grön militäruniform. Kuba är i dag sannolikt världsrekordhållare i grenen politiska flyktingar per capita. Kommunistregimen har ägnat sig åt en systematisk familjesplittring gentemot befolkningen i årtionden. Det innebär att man har en exilkubansk befolkning i södra Florida som uppgår till över 1 miljon. Exilkubanerna är dessutom Kubas livlina i dag, med tanke på de pengar de skickar hem. Man har duperat, lurat och manipulerat världsopinionen i årtionden och försökt beskriva denna stat som någon sorts socialt lyckorike, fast det är fruktansvärt fattigt, nedgånget och förstört av kommunistregimen. Fru talman! Jag delar helt och fullt det som Jakob Forssmed beskriver. När vi tittar på Kuba är det viktigt att förstå att för den kubanska regimen handlar inte detta om vad som händer med Kuba efter Castro. För den kubanska regimen handlar detta om vad som händer med Kuba efter Hugo Chávez. Det var när Hugo Chávez försvann från Venezuela som de stora intäkterna från den venezuelanska oljan riskerade att försvinna för den kubanska regimen. Detta har gjort att man nu försöker bygga nya relationer med Brasilien, vilket man har gjort genom att skicka dit kubanska läkare. Dessa får en tredjedel av vad Brasilien betalar, och resten går till den kubanska diktaturen i Havanna. Man har skapat nya relationer med Ryssland för att kunna få stöd därifrån på olika sätt. Det är bara en tidsfråga innan kineserna kommer in på bred front. Man har också inlett samtal med Europeiska unionen och med USA. Fru talman! Det avtal som Barack Obama nu har slutit med regimen på Kuba innebär i praktiken att USA kan göra vissa förändringar. Men den lagstiftning som ligger i botten, det vill säga embargolagstiftningen - Helms-Burton-lagen - ligger hos kongressen. Den har republikansk majoritet och delvis en annan ingång. Det är mycket viktigt att Sverige och Europeiska unionen försöker finna en gemensam position med den amerikanska kongressen för att därigenom kunna gå in i förhandlingar med Kuba där man definierar vikten av att Kuba följer de konventioner landet undertecknade för fem sex år sedan, nämligen konventionen om medborgerliga och politiska rättigheter och konventionen om ekonomiska, sociala och kulturella rättigheter. Kuba har undertecknat men inte ratificerat dessa, och man har definitivt inte börjat implementera dem. För att vi ska kunna normalisera våra relationer med Kuba bör Sverige och Europeiska unionen kräva att Kuba implementerar de grundläggande konventioner landet självt har undertecknat. Om man kan göra detta tillsammans med den amerikanska kongressen får man mycket större tryck, och om Kuba implementerar konventionerna skulle USA kunna häva embargot. Jag tror att detta är en nödvändig väg framåt. Annars blir dialogen inte rimlig. Annars handlar dialogen med Kuba i slutändan om att öppna upp för europeiska företag att investera på Kuba, medan Kuba inte behöver göra några demokratiska eftergifter eller reformer för sin egen befolkning. Det är inte en rimlig relation. Brasilien, Ryssland eller Kina må ha en sådan relation med Kuba, men min uppfattning är att Europeiska unionen inte bör ha det. ","FP"
"Maria Weimer","Fru talman! För två veckor sedan återkom jag från en resa till Kuba. Jag tillbringade tre veckor där för möten med demokratirörelsen. Dagen före min ankomst hade det nya avtalet mellan USA och Kuba annonserats - en historisk händelse i kubansk politik. I dag, torsdag - ungefär nu, tror jag - påbörjas förhandlingarna mellan den amerikanska högnivådelegation som precis kommit dit, för första gången på 50 år, och den kubanska regimen. Alla pratade om denna historiska händelse. Varenda kuban man träffade på gatan, gatuförsäljare, taxichaufförer - alla var jätteglada för detta. Den demokratiska oppositionen undrar naturligtvis vad som händer nu. Vi i Folkpartiet ser positivt på de återupptagna relationerna mellan USA och Kuba. Vi välkomnar att handelsembargot nu luckras upp och att den kubanska regimen har släppt 53 politiska fångar. Men precis som Jakob Forssmed och Fredrik Malm var inne på är det viktigt att komma ihåg att det är lång väg kvar att gå. Kuba är fortfarande en hårdför diktatur med ett enpartisystem som leds av bröderna Castro, och det finns fortfarande ungefär 60 politiska fångar kvar i kubanska fängelser. Tyvärr ser vi också att förtrycket har ökat sedan avtalet slöts. Trakasserierna har tilltagit och fler dissidenter har arresterats. En av dem som arresterats är konstnären Daniel Maldonado. Han är graffitikonstnär och kritisk mot regimen. Det räcker för att råka illa ut på Kuba. Daniel Maldonado, som kallar sig för El Sexto, blir trakasserad av säkerhetspolisen. Han har fängslats gång på gång. Nu sitter han återigen arresterad. Den här gången var anledningen ett enkelt men väldigt roligt konstprojekt. Han hade nämligen köpt två grisar. På den ena hade han skrivit Raúl och på den andra Fidel. Han ville släppa ut grisarna i en park i centrala Havanna och se vilka reaktionerna blev. Det var hans konstinstallation. För detta blev han arresterad. Han sitter fortfarande fängslad utan rättegång efter snart en månad. Maldonado lider av astma och har nu fått lunginflammation, men myndigheterna ger honom ingen vård. Sådan är verkligheten för en oppositionell konstnär på Kuba. Precis som har nämnts tidigare här har Sverige under alliansregeringen haft en framskjuten roll när det gäller att trycka på för demokrati och mänskliga rättigheter på Kuba. Svenska ambassaden har gjort ett väldigt viktigt arbete på plats. Sverige har också i EU varit pådrivande för en stark EU-linje. Det är otroligt viktigt att Sverige upprätthåller denna linje. Utrikesministern talar ofta om dialog, och dialog är självklart viktigt i internationella sammanhang. Men för att EU ska fortsätta på den inslagna banan behövs nog inte en dialog utan snarare en knivskarp svensk position i de interna diskussionerna i EU. Vi vet att det finns andra EU-länder som drar åt annat håll. Just i den här frågan tror jag att det behövs en väldigt stark och klar svensk linje för att vi ska hålla fast vid den gemensamma EU-politiken, som handlar just om demokrati och mänskliga rättigheter. Mina två frågor till utrikesministern är: Är utrikesministern beredd att driva på i EU för att Kuba ska implementera de FN-konventioner om politiska rättigheter som nyss nämndes, och är hon beredd att driva på för att EU också ska trycka på för fri tillgång till internet för alla kubaner? ","FP"
"Börje Vestlund","Fru talman! Jag tillhör inte dem som brukar lägga sig i eller delta i de utrikespolitiska debatterna, men efter att ha suttit i det här huset några år har jag gjort vissa observationer. En sådan observation jag har gjort är att det finns fina och fula diktaturer. Det blir så tydligt varje gång vi i denna kammare diskuterar Kuba.  Kuba är den värsta diktaturen i hela världen om man får tro vissa debattörer. Andra tycker kanske inte att det är så, men så har det i alla fall varit. Det är väldigt viktigt att ha embargo mot Kuba. Men varför är det inte lika viktigt att vi inte har handelsförbindelser med Saudiarabien, som är om inte värre så åtminstone inte mycket bättre? Nu senast dömde man ut tusen piskrapp till någon som hade haft annorlunda politisk uppfattning. Men Saudiarabien har vi handelsförbindelser med. Kina är ett annat exempel på en diktatur som är ganska kuslig mot politiskt oliktänkande. Jag tror inte att det finns många ledamöter i den här salen som inte har varit i Kina för att lära sig något om Kinas framgångsexempel. Varför gör vi skillnad på diktatur och diktatur? Jag skulle kunna instämma i allt som Jakob Forssmed, Fredrik Malm och Maria Weimer säger, men då får jag en dålig smak i munnen: Varför har man inte väckt interpellationer om andra diktaturer? Varför driver man inte samma frågor när det gäller de länderna? Kanske handlar det om att Kuba är en kommunistisk diktatur och inte en diktatur som vilar på patriarkaliska strukturer som Saudiarabien? Det görs skillnad på diktaturer och diktaturer. Det tycker jag är en konstighet. Låt mig också påpeka en annan sak. Såvitt jag vet har frågan om Kuba över huvud taget inte varit uppe i EU-sammanhang sedan den här regeringen tillträdde. Det är klart att man har sina arbetsgrupper, men frågan har inte varit uppe. Däremot var Kuba uppe som övrig fråga i Europeiska rådet förra gången, men vi vet inte riktigt vad det innebär eftersom det inte fanns någon dokumentation om det när vi hade samråd med EU-nämnden. Vad som sedan kom fram har vi inte fått rapport om än. Det mandat som i dag finns för EU och den höge representanten är det alltså den förra regeringen som har tagit fram. Man kan alltså inte hävda att regeringen på något sätt har ändrat Kubapolitiken. Vad man säger är att man måste upprätthålla kontakter både med civilbefolkningen och med regimen. Är det något som avviker mot traditionell svensk utrikespolitik? Jag tycker att jag känner igen detta från ganska många exempel som vi har diskuterat tidigare. Vi måste vara tydliga i det här sammanhanget. En diktatur är en diktatur. Det finns inte fina eller smutsiga diktaturer - alla är likadana. Det skulle vara väldigt bra om man i den här kammaren betraktade alla diktaturer likadant. ","S"
"Margot Wallström","Fru talman! Tack till mina meddebattörer för inläggen!  Återigen: Sverige och EU har vid upprepade tillfällen, inte minst i FN:s MR-råd framhållit sin mycket starka oro för den bristande respekten för mänskliga rättigheter i Kuba. Varje svensk ambassad har, precis som Börje Vestlund sa, i uppdrag att ha breda kontakter i de civila samhällen där de representerar Sverige. Det gäller också vår ambassad i Havanna. Vi är nog kända för det och har just under den här tiden upprätthållit dialog och sett till att det finns plats för debatt. Det innefattar kontakter med företrädare för det civila samhället och för oppositionen. Vi har genomgående haft den rollen. Nu har företrädare för den kubanska oppositionen i större utsträckning möjlighet att besöka utlandet och att återvända till Kuba. Vid besök i Sverige för vi samtal med dem, självklart. Regeringen har därutöver för avsikt att återupprätta den bilaterala kontakten med den kubanska regeringen. Där kommer frågor som rör mänskliga rättigheter att stå högt på agendan. Så är det med alla regeringar som vi har en dialog med. Då kan vi också ställa krav, och vi kan framföra våra åsikter direkt. Det är en hållning som vi har: Det är så vi måste sköta kontakterna. Vi ska tala om rakt och öppet vad vi tycker och vilka krav vi ställer. Jag tror att det är precis de frågor som Maria och andra nämnde som vi nu måste följa upp. Vi måste se till att nödvändiga konventioner skrivs under och att man lever upp till sina åtaganden när det gäller MR-agendan och mänskliga rättigheter över huvud taget. Detta är också utgångspunkten för EU:s förhandlingar med Kuba. Förhoppningsvis ska vi kunna få fram ett bilateralt avtal. Man kan ju konstatera, precis som amerikanerna till slut gjorde, att den linje man har hållit hittills inte gav resultat i positiv riktning, utan nu måste vi se till att vi kan öppna upp. Det innebär också större möjligheter att driva på och att få till stånd dialog och förändring. ","S"
"Jakob Forssmed","Fru talman! Jag är glad över att utrikesminister Margot Wallström inte hemfaller åt det som Börje Vestlund gör, nämligen att relativisera de fasansfulla brott mot mänskliga rättigheter som Kuba gör sig skyldigt till. Det kanske inte var hans avsikt att göra det, men i mina öron lät det lite på det sättet. Om man ska tala om fina och fula diktaturer historiskt vill jag säga att det länge har funnits en aningslöshet när det gäller Kuba, och den figurerar fortfarande i vissa kretsar. Det går fortfarande att se Che Guevara-tröjor på svenska skolor, där svenska ungdomar går omkring i dem. I demonstrationståg kan vi se att människor inte har några problem med Kuba. Vi kan läsa hyllningsreportage om Kuba i olika sammanhang. Man kan lyfta fram mycket konstiga saker kring Kuba utan att med ett enda ord beröra de demokratiska problem som finns där. Är det någon diktatur i världen som har behandlats \"finare\" än andra är det den kubanska, vågar jag påstå. Börje Vestlund säger att regeringen står upp för den tidigare positionen och inte har lagt om Kubapolitiken. Det tycker jag i sådana fall är mycket bra, för då har vi precis den samsyn som jag hoppades att vi skulle ha i den här frågan. Dock noterade jag - det är en fördel med den elektroniska utrustning som man numera kan läsa tidningar genom - att Margot Wallström själv i en intervju med DN hade gjort en lista över saker som utrikesministern hade uträttat sedan hon tillträdde. På den listan stod det bland annat att utrikesministern hade lagt om Kubapolitiken. Det vore bra att få ett klargörande av om den omläggning som det eventuellt handlar om från regeringens sida - trots att Börje Vestlund sa motsatsen - i sådana fall handlar om mer av påtryckningar och, om det är möjligt, en ännu tydligare hållning för demokrati och mänskliga rättigheter. Jag tror precis som Maria Weimer påpekade tidigare att Sverige behöver fortsätta att vara påtryckande i EU. Det är inte alla länder som vill samma sak i den här frågan. Det är inte alla länder som tycker att respekt för mänskliga rättigheter och demokrati ska vara en absolut förutsättning för ett avtal, som Margot Wallström sa så tydligt här. Här behöver Sverige fortsatt jobba ihop med de länder som vill detsamma som Sverige, nämligen att vi ska ha demokrati och mänskliga rättigheter. Möjligheten att jobba ihop med USA är något som jag tycker att man verkligen ska ta fasta på. Tidigare har det inte gått på grund av USA:s hållning. Det är mig veterligen inget parti som förespråkar en embargopolitik mot Kuba. Mitt parti har inte gjort det, inte Folkpartiet heller. Det är bra att embargot försvinner, för det har gett Fidel Castro en möjlighet att skylla sina problem på USA, när han själv är orsaken till dem. Den möjligheten tycker jag verkligen att regeringen ska ta. Det vore bra att få det bekräftat här i dag. För egen del hoppas jag på framsteg. Men jag är inte övertygad om att så kommer att bli fallet - jag har haft hopp många gånger tidigare. Jag kommer att göra allt jag kan för att driva på för att omvärlden ska lyckas med detta. Vi såg samma spirande förhoppningar runt 2003. Vi vet att regimen då slog till hårdare än någonsin mot demokratirörelsen. Vi hoppas att utvecklingen kommer att bli bättre den här gången. Det är också en utveckling som vi kan påverka. Jag vill gärna ha lite svar på om Sverige kan driva på ytterligare och också om möjligheten att gå i armkrok med USA för att sätta tryck på Kuba genom ekonomiska möjligheter, handelsmöjligheter och annat i utbyte mot reella förändringar för demokrati och mänskliga rättigheter. ","KD"
"Fredrik Malm","Fru talman! Fördelen med de förhandlingar som Europeiska unionen nu har med Kuba är att det som återstår av detta är diskussioner om det politiska och MR-delen. Om vi får direkta förhandlingar med en diktaturregim rörande mänskliga rättigheter, viktiga FN-konventioner och annat är det givetvis bra. Faran är om man inte förstår vikten av att pressa kubanerna utan i stället säljer ut detta i förhandlingarna, vilket jag lite grann tolkade att den amerikanska presidenten tyvärr har gjort i samtalen. Fru talman! Det är mycket märkligt med Börje Vestlunds inlägg - det förstår jag inte alls. Att kvinnor inte får köra bil i Saudiarabien kan väl inte vara något argument för att vi ska vara mer lågmälda om det fullständigt bisarra, paranoida förtryck som den kubanska statsmakten ägnar sig åt? Jag kan upplysa Börje Vestlund om att den kubanska konstitutionens artikel 62 lyder: Ingen av de friheter som tillerkänns medborgarna får användas mot det som sägs i konstitutionen och lagarna, inte heller mot den socialistiska statens existens och mål och inte heller mot det kubanska folkets beslut att bygga socialismen och kommunismen. Ett brott mot denna princip är straffbart. Det betyder i praktiken att det i den kubanska konstitutionen finns en paragraf som innebär att det är straffbart att kritisera socialismen. Det innebär till exempel att medlemmarna i Arco Progresista, som är ett socialdemokratiskt parti på Kuba, skakar galler. Börje Vestlunds partivänner på Kuba är förklarade som kriminella därför att de är socialdemokrater. Jag kan dessutom upplysa Börje Vestlund om att den här paragrafen kommer att stå kvar i den kubanska konstitutionen oavsett om kvinnor får köra bil eller inte i Saudiarabien - det hänger liksom inte ihop. Därför måste man kunna kraftigt kritisera den kubanska regimen och den saudiska regimen samtidigt. ","FP"
"Maria Weimer","Fru talman! Jag vill börja med att tacka Jakob Forssmed för att han skrev den här interpellationen, så att vi fick den här Kubadebatten så lägligt efter de händelser som har ägt rum. Kristdemokraterna och Folkpartiet är i dagsläget det enda partier som har ett partinära samarbete med våra motsvarigheter på Kuba. Vi har i 13 års tid haft ett mycket starkt engagemang. Jag vet att även Socialdemokraterna har haft det tidigare. Det är synd att det, såvitt jag vet, inte pågår just nu. Men det kanske är något som kan återupptas. Alla svenska partier som kan stötta sina motsvarigheter där tror jag verkligen behövs. Jag välkomnar verkligen den tydliga linje som utrikesministern utlovar, att fortsätta med en tuff MR-politik i EU-kretsen, där vår röst behövs. Vi är väl en liten grupp på tre fyra länder, som driver den här tuffa linjen i EU, och där behövs den svenska rösten också. Jag välkomnar att man vill driva frågan om de FN-konventioner som måste implementeras på Kuba. Alliansregeringen var mycket noga med att MR skulle var centrum för förhandlingarna mellan EU och Kuba. Det var liksom nyckeln i det vi drev i Kubapolitiken. Det skulle också finnas en nödbroms i förhandlingarna. Är det så att Kuba inte alls går åt rätt håll när det gäller MR och demokrati ska det finnas en möjlighet för EU att dra i bromsen när det gäller de här förhandlingarna. Jag skulle vilja föreslå att utrikesministern själv besöker Kuba och då får möjlighet att träffa demokratirörelsen. Vid ett besök på Kuba skulle hon till exempel kunna träffa det liberala partiet och dess partiledare Hector Maseda. Han har suttit åtta år i fängelse. Han miste nyligen sin fru men fortsätter ändå kampen för ett fritt Kuba. Hon skulle också kunna bli lika inspirerad som jag av det liberala ungdomsförbundet, som driver hbtq-frågor av alla frågor - i ett samhälle där homosexuella och transpersoner blir förföljda och utnyttjade av polisen varje dag. Sedan finns det inte bara liberaler och kristdemokrater på Kuba, utan det finns också, som Fredrik Malm nämnde, ett antal duktiga socialdemokratiska partier som säkert skulle bli väldigt glada för utrikesministerns besök. Därför är min avslutande fråga om utrikesministern är beredd att besöka Kuba. Jag tror att det skulle vara viktigt för att trycka på för demokratiska reformer och yttrandefrihet. Hon skulle då personligen kunna möta alla de modiga män och kvinnor som jobbar för ett fritt Kuba. ","FP"
"Börje Vestlund","Fru talman! Låt mig börja med att säga att jag inte har försvarat Kuba. Jag har inte försvarat någon diktatur. Jag bara försöker påvisa hur debatten går i denna kammare: Kuba är lite farligare än alla andra diktaturer, om man gör skillnad på dem. Det tycker jag är ett problem. Man får en felaktig syn. Jag blir lika illa berörd när jag läser hyllningsreportagen om Kuba, i varje fall när det gäller den sociala situationen. Då är det mycket betänkligt, när man vet att det finns också andra vittnesbörd. Men jag ska hoppa över detta med utrikespolitik och gå över till förhandlingspolitik, som jag kan mycket bättre. Vid ett tillfälle kommer jag ihåg att man hade slutit avtal med Saudiarabien. Man hade gjort affärer med Saudiarabien, och det var en handelsminister som hade varit där - ingen nämnd och ingen glömd, för alla handelsministrar har varit i Saudiarabien. Då sa man: Här stenar man homosexuella! Ja, sa handelsministern, man stenar homosexuella, men våra förbindelser är bra för att vi kan påverka den staten. Sådana svar har man fått i många sammanhang under årens lopp här i kammaren. Då måste man ändå ställa frågan: Varför ska inte alla diktaturer hanteras på samma sätt? Kina tycker jag egentligen är ett ännu värre exempel, för där är vi alla inblandade, och där har vi till och med haft folk på regeringsnivå i olika partier som har sagt: Det är viktigt att vi ser till att knyta så mycket affärsförbindelser vi kan med Kina, för de har så stor tillväxt. Jag efterlyser bara lite konsekvens när vi diskuterar diktaturer. De är avskyvärda allihop och ska behandlas så. Jag försvarar absolut ingen diktatur - inklusive Kuba. ","S"
