"Peter Hultqvist","Herr talman! Allan Widman har frågat mig vilka omedelbara åtgärder jag är beredd att vidta till Sveriges försvar och säkerhet med anledning av ett hastigt försämrat omvärldsläge. Ett enskilt militärt väpnat angrepp direkt mot Sverige är fortsatt osannolikt. Kriser eller incidenter som även inbegriper militära maktmedel kan dock uppstå, och militära angreppshot kan likväl aldrig uteslutas. Den ryska aggressionen mot Ukraina och Rysslands olagliga annektering av Krim och Sevastopol är oacceptabel. Det är ett entydigt brott mot internationell rätt och principerna för fred och säkerhet i Europa. Vi kan se att den militära övnings- och underrättelseverksamheten i Östersjöområdet har ökat. Rysk militär uppträder mer utmanande runt Östersjön och kränker Östersjöländers territorium. Regeringen bedömer att denna utveckling kommer att fortsätta. Den ryska ledningen gör stora ekonomiska satsningar på den militära förmågan och har visat att de också är beredda att använda den för att uppnå sina politiska mål och syften. Detta påverkar situationen både i vårt närområde och i Europa som helhet. Det ryska agerandet innebär en kraftig försvagning av den europeiska säkerhetsordningen. Utvecklingen i Ukraina och Rysslands agerande runt Östersjön understryker vikten av att förstärkningen av Sveriges försvarsförmåga påskyndas. Utifrån den förändrade säkerhetspolitiska situationen i Europa är det särskilt viktigt att stärka Sveriges försvarsförmåga på både kort och lång sikt. Det bör göras med fokus på Sveriges närområde.  Som en omedelbar åtgärd har riksdagen på förslag från regeringen i höständringsbudgeten för 2014 därför beslutat om en ökning av anslaget 1:1 Förbandsverksamhet och beredskap med 210 miljoner kronor i syfte att möjliggöra en utvecklad övningsverksamhet som höjer förbandens förmåga i närtid. En annan omedelbar åtgärd är att regeringen har beslutat att Försvarsmakten ska ges möjlighet att bedriva repetitionsutbildning av totalförsvarspliktiga i krigsförbanden i den utsträckning som behövs för Sveriges försvarsberedskap. Försvarsberedningen har i sin rapport <em>Försvaret av Sverige -</em><em> starkare försvar för en osäker tid</em> beskrivit sin syn på de försvarspolitiska konsekvenserna av den säkerhetspolitiska utvecklingen. Regeringen konstaterar att det finns ett brett stöd för huvuddragen i rapporten. Dessa kommer att ligga till grund för den försvarspolitiska proposition som regeringen avser att lämna till riksdagen till våren och som avser perioden efter 2015. En bred politisk överenskommelse om det försvarspolitiska inriktningsbeslutet är ett viktigt sätt att markera den svenska positionen med anledning av utvecklingen i vår omvärld. Det främsta syftet är att öka den operativa förmågan. Därmed höjs tröskeln för den som skulle vilja angripa Sverige eller använda militära maktmedel för att utöva påtryckningar mot Sverige. Riksdagen har redan, utifrån analysen i Försvarsberedningens rapport, beslutat om nya förstärkningar av förbandsverksamheten och materielinvesteringar för 2015 och aviserat ytterligare förstärkningar för kommande år. Dessa bidrar till att öka Försvarsmaktens verksamhet och närvaro i närområdet, främst i och över Östersjön, bland annat genom en ökad incidentberedskap, både kommande år och på längre sikt. Hot mot fred och säkerhet avvärjs bäst i gemenskap och samverkan med andra länder och organisationer. Regeringen framhåller vikten av att Sverige fördjupar de bilaterala och multilaterala försvars- och säkerhetspolitiska samarbetena. Under hösten har arbetet med att stärka våra försvarspolitiska samarbeten i allmänhet, och samarbetet med Finland i synnerhet, intensifierats. Regeringen anser vidare att samarbetet med Nato ska fortsätta att utvecklas inom ramen för det svenska partnerskapet. Likaså är den transatlantiska länken betydelsefull ur ett långsiktigt säkerhetspolitiskt perspektiv. Sveriges samarbete med Nato begränsas ytterst av att vi inte åtar oss försvarsförpliktelser. ","S"
"Allan Widman","Herr talman! Jag vill tacka försvarsministern för svaret. Jag märker att försvarsministern i sitt svar upprepar den numera smått legendariska text som Försvarsberedningen har återkommit till i betänkande efter betänkande, nämligen att ett enskilt militärt väpnat angrepp direkt mot Sverige är fortsatt osannolikt, men kriser eller incidenter kan uppstå. Han säger även att militära angreppshot inte kan uteslutas. Det här ger mig nästan intrycket att försvarsministern menar att händelseutvecklingen sedan Försvarsberedningens förra rapport i maj 2014 fram till i dag inte har förändrats på något sätt eftersom han just hänvisar tillbaka till de bedömningarna. Det vore naturligtvis på sin plats om försvarsministern ville förtydliga om det är på det sättet eller inte. Försvarsministern säger också i sitt svar att det är viktigt att man påskyndar förstärkningen av det svenska försvaret. Det är ju det som är skälet till min interpellation. Herr talman! Jag tillhör dem som tror att en kritisk tidpunkt för säkerheten i norra Europa kan infalla mycket tidigare än vad vi tänkt oss. Detta hänger samman med den ekonomiska situation som Ryssland nu upplever med full kraft och som är en följd av sanktioner från EU, USA och övriga västvärlden. Det är också en effekt av de fallande energipriserna. Det är då, när Ryssland är trängt politiskt, socialt och ekonomiskt, som det blir riktigt otäckt. Den förra regeringen gav Försvarsmakten anvisning om att påbörja en försvarsplanering igen i Sverige, en verksamhet som legat nere i över tio års tid. Syftet med en sådan är att om det väpnade angreppet likväl inträffar ska man ha planer för vad man ska göra, med vilka förband och hur man ska bete sig. I den bästa av världar ska denna försvarsplanering sedan leda fram till vad man kallar försvarsförberedelse, och det är närmast på den punkten som jag undrar vilka lågt hängande frukter som försvarsministern såg framför sig. Ingen kunde ju ta miste på det allvar som präglade statsministern, försvarsministern och överbefälhavaren vid en presskonferens där man tillkännagav att det fanns en konstaterad främmande undervattensverksamhet på det svenska sjöterritoriet under hösten. Men för bara en vecka sedan gav överbefälhavaren ett mycket tydligt besked om att han inte hade de bekämpningsmässiga förutsättningar som krävdes för att tillgripa vapenmakt under den så kallade underrättelseoperationen. Detta för oss fram till en av många frågor som jag tror behöver en mycket snar lösning, nämligen Sveriges förmåga till luftburen ubåtsjakt. Den ubåtsjakthelikopter som Sverige beställde 2002 och som skulle vara slutlevererad 2008 sägs nu bli slutlevererad 2020. Då är min konkreta avslutande fråga efter det mönster av kränkningar som nu avtecknar sig på svenskt territorialhav: Anser försvarsministern att vi kan vänta i ytterligare sex år på förmåga till kvalificerad ubåtsjakt och på förmåga att komma till skott?  ","FP"
"Mikael Oscarsson","Herr talman! Frågan är alltså vilka åtgärder som krävs för att stärka Sveriges försvar i ett hastigt försämrat omvärldsläge. Precis den fråga som Allan Widman avslutade med är ju viktig att fundera över med tanke på den ubåtsjakt som var och med tanke på att det tycks vara en stor aktivitet. I luften har det varit den ena kränkningen efter den andra och den enda incidenten efter den andra. Vi har sett att antalet incidenter 2014 jämfört med året innan har ökat med 50 procent där svenska flygvapnet har fått göra insatser. Vi vet att det är ohyggligt svårt att jaga ubåtar, men utan helikoptrar är det ännu svårare. Helikopter 4 fasades ut och såldes, och nu sitter vi här utan helikopter 14 som blir alltmer försenad. Tidigare när det har varit speciella tillfällen - till exempel i Afghanistan - har vi vidtagit extraordinära åtgärder när det har fattats förmåga. Aktiviteten finns där och tycks öka. Är det då rimligt att vi ska vänta de här åren utan att ha den förmågan? Är det ett rimligt förhållningssätt? Utöver den frågan är det väldigt bra att försvarsministern påpekar detta med repetitionsövningar. Det är den enskilt viktigaste frågan att få personal på plats. Det fattas tusentals soldater, framför allt deltidsanställda men även heltidsanställda, och kommer så att göra under lång tid. Det är väldigt bra att regeringen har gått på det förslag som vi lyfte fram om att det hela blir verklighet och kommer igång redan det här året och att det blir rejäla övningar som håller på i veckor. Detta handlar om soldater som gjorde sin värnplikt kanske för tio år sedan, och de måste få en rejäl uppdatering för att kunna fungera.  Det är också viktigt med beredskapskontroller för att se i vilken mån den redan existerande organisationen har förmåga att med kort varsel inta en högre beredskap. Åtgärden är mycket angelägen då Försvarsmakten i dag består av nyorganiserade förband vilka dessutom ska understödjas med en helt ny logistikorganisation. Systemet måste prövas och svagheter identifieras och åtgärdas. Dessutom skulle det fokusera Försvarsmaktens personal på Försvarsmaktens huvuduppgift, nämligen att försvara vårt territorium.  Ryssland genomför hela tiden beredskapsövningar för att kontrollera att det hela fungerar. Det betyder i praktiken att ett helt förband eller ett regemente kallas in, att personal åker ut till den fysiska plats där man ska göra sin krigsuppgift och kontrollera hur många mannar man har, hur många som fattas och om fordonen fungerar. Det kan vara så att man skulle ha haft 38 fordon, men det finns bara 17. Försvarsministern vet ju att det finns en kö av upp till tusen fordon som väntar på att repareras. Det har sagts att det kan ta upp till fyra år att bara halvera den kön. Det är oacceptabelt. Dessa brister måste identifieras och åtgärdas, och det behöver göras i närtid. ","KD"
"Åsa Lindestam","Herr talman! Jag vill börja med att instämma i det som försvarsministern har sagt. Jag tycker att det är ett bra samtal som vi nu har. Vi borde kanske ha det oftare och diskutera i kammaren, om än med större publik. Det är viktigt att vi debatterar de här sakerna. Direkt efter att vi bytte regering har man fått en annan inställning till information. Försvarsutskottet har fått betydligt snabbare information både från överbefälhavaren och från försvarsministern om de eventuella kränkningar som vi har utsatts för. Det är bra. Jag tycker att vi i försvarsutskottet ska få veta när det händer saker. Vi har också samlats i en försvarsmaktsgrupp, eller vad den nu ska kallas, där vi ska diskutera inriktningspropositionen. Vi är sex partier som står bakom Försvarsberedningens rapport. Det är också väldigt bra. Jag tror nämligen på samtal. Jag har tidigare tillhört OSSE:s delegation, och jag har besökt många av OSSE:s missioner. OSSE är inte utestängt som många andra, utan OSSE finns på plats för att kunna visa och ibland interagera med det som händer i de olika länderna där det finns bekymmer. Den samverkan som vi står för är oerhört viktig. Vi kan få information som vi kan lita på. Personer från olika länder deltar och samverkar med varandra. Vi gör någonting i det land som vi befinner oss i. Detta har vi kanske inte lyckats med på alla fronter, men i OSSE-familjen gör man väldigt många bra saker.  Övningarna i Sverige hade kunnat startas betydligt tidigare, om det nu hade varit så akut som föregående talare beskriver det. Men nu har det anslagits över 200 miljoner som gör att man kan ha ett antal övningar. Direkt har det också startats upp beredskapsövningar. Precis som sas i förra debatten gäller det ju inte bara att säga saker, utan man måste också göra något för att det ska bli politik. Viljan måste finnas, och vi måste säga att nu gör vi så. Då kan det bli någonting av det hela. Det är jätteviktigt. Det går inte att bara prata, utan vi måste också göra någonting. Mikael Oscarsson pratade om kön med försvarets materiel som väntar på att bli reparerad. Ja, vem har ställt till den kön, och varför har det inte gjorts någonting åt den? Vi ska absolut ta itu med den. Det kommer att bli ändring - det är jag helt övertygad om - för vi har inte råd att ha materiel som står på kö och inte kan användas för att man väntar på delar. Självklart ska materielen användas så fort det bara går att få den lagad. Vi måste se till att det blir gjort. Det tycker jag är ett ansvar också för försvarsmaktsgruppen i de samtal som vi ska ha i samband med inriktningspropositionen. Det är jätteviktigt att vi tar itu med de bekymmer som finns och ser till att de löses. Vi ska inte bara prata om dem utan se till att det händer någonting. ","S"
"Peter Hultqvist","Herr talman! Annekteringen av och interventionen i östra Ukraina 2014 och det som hände i Georgien 2008 visar att den ryska statsledningen är benägen att använda militära medel för ensidiga strategiska initiativ på bekostnad av andra länders territorier. Vi kan sannolikt vänta oss ett självsäkert ryskt agerande i vårt närområde. Relationerna mellan länderna i Östersjöregionen är helt andra i dag än de var för exempelvis tio år sedan. Ryssland använder sig av militära operationer på ett subversivt sätt, på ett sådant sätt att det ska finnas en förnekbarhet om att de är närvarande i olika sammanhang ifall de blir anklagade för någonting av omvärlden. Vi ser i Östersjön en ökad militär närvaro med ett offensivt uppträdande från ryska örlogsfartyg och flyg, och det fortsätter. Det finns risk för att det leder till incidenter av olika slag. Ryssland kommer enligt min bedömning att fortsätta att använda sig av politiska, ekonomiska och subversiva medel för att skaffa sig inflytande i grannländernas säkerhetspolitiska utveckling. Ryssland fortsätter att öka sin militära förmåga på ett mycket tydligt sätt. Ett exempel på positionsförflyttningarna är att Ryssland tidigare förnekat militarisering i Arktisregionen. Nu är det en realitet som man också står för. Ryssland har officiellt uttalat att man inte avser att ingå internationella samarbeten som begränsar landets säkerhetspolitiska manöverutrymme. Ryssland har också krävt att det tillerkänns någon form av säkerhetsintresse i det man betraktar som det forna Sovjetunionen. Det är klart att det skett en förändring. Den har varit mycket tydlig och markant. Det är väl därför det blir en reaktion i hela västvärlden. Vi är i dag i ett läge av sanktioner riktade mot Ryssland. Det är mycket som skett och som försämrat hela världsläget, framför allt läget i vår region. Då är det viktigt att vi kommer fram till ett inriktningsbeslut, som ska gälla från den 1 januari 2016. Där ska vi presentera en höjd militär förmåga, åtgärda problem genom det som vi kallar för basplattan av försvaret, titta på Gotlands position och roll och slå vakt om och utveckla incidentberedskapen. Det finns många ytterligare saker som måste göras. Låt mig bara konstatera att jag gett Försvarsmakten ett uppdrag att särskilt titta på våra plus- och minussidor vad gäller ubåtsjaktförmågan. Jag har ännu inte fått den återrapporterad. När jag får rapporten kommer den att distribueras till den arbetsgrupp som nu jobbar inför inriktningsbeslutet. Sverige-Finland-relationen och alla de fördjupade samarbeten som där förekommer har vi lyft upp och lagt till en framtidsbild, vilket jag anser också bidrar till ökad säkerhet. Vi ska inte heller underskatta allt det arbete som genomförs inom ramen för Nordefco, partnerskapet med Nato, den nordisk-baltiska relationen och den transatlantiska länken. Det finns ingen enkel lösning på hela säkerhetsproblematiken. Det är en politik som måste drivas i många dimensioner och på många nivåer. Där är den nationella hemläxan en och samarbetena med vår nära omvärld en annan. Det är den strategi som finns. ","S"
"Allan Widman","Herr talman! Jag vill gärna inleda med att säga att jag inte är otacksam. Flera av de åtgärder som försvarsministern nämner är bra. Möjligheten att kalla in med plikt krigsplacerade ur insatsorganisationen till repövningar är ett utomordentligt förslag som har mitt partis fullständiga och hjärtliga bifall. När det sedan gäller budgetarna är det min uppfattning att de 210 miljonerna till ökad incidentberedskap aviserades redan före valet, och jag är tacksam för att den nya regeringen valt att fortsätta att öka förmågan i det avseendet. Vi ska också vara tacksamma för att Försvarsmakten inte drabbades hårt av de reducerade rabatterna på ungdomsarbetsgivaravgifterna, för det hade varit ett hårt slag mot förbandsverksamheten i dessa tider. Jag är inte otacksam, som sagt, men jag vill understryka att här finns ett brådskande allvar. Försvarsministern svarade inte på min direkta fråga om man nu kan göra samma bedömning som Försvarsberedningen gjorde i maj 2014, men jag tycker att han indirekt svarade på det genom att på olika sätt räkna upp hur sedan dess och under det senaste året vårt omvärldsläge försämrats på en lång rad områden. Åsa Lindestam och försvarsministern hänvisar till försvarsmaktsgruppen som nu är konstituerad och för förhandlingar; själv kallar jag den Genomförandegruppen 2. Den kan säkert komma fram till goda förslag i olika stycken, men problemet med hela perspektivet, vad avser både de förstärkningar som föreslogs under förra året av Försvarsberedningen och de som kan komma nu, är att det ligger flera år fram i tiden. Jag ser samtidigt, herr talman, hur kvalificerad krigsmateriel varje dag avvecklas i vår försvarsmakt. Sonarbojsfartyg försvinner, kustkorvetter avväpnas och helikopter 10, den enda sjöoperativa medeltunga helikopter som finns kvar och som släckte skogsbränder i Västmanland i somras, ska avvecklas. Jag önskar att försvarsministern vid sidan av det visionära, det långsiktiga, som jag i stora stycken instämmer i, förvandlade sig till en gråkappa, en Karl XI eller Karl IX, och red runt i Försvarssverige och mönstrade både trupp och materiel inkognito. Det är det vi behöver. Vi behöver en uppföljning på detaljnivå för att just tillvarata varje möjlighet till tidigt militärt försvar av Sverige, för den händelse att olyckan är framme. Sedan hänvisar försvarsministern till våra samarbeten - transatlantiska, EU, Nordefco, Sverige-Finland. Låt mig säga en gång till i kammaren i dag att ett försvarssamarbete som förutsätts upphöra i händelse av krig är, herr talman, inget försvarssamarbete. Det är ett förvaltningssamarbete i bästa fall och har en mycket begränsad säkerhetspolitisk betydelse för Sverige. ","FP"
"Mikael Oscarsson","Herr talman! Vi ser en enorm upprustning från Rysslands sida. 5 000 miljarder kronor satsas enbart på materiell förnyelse fram till 2020. Vi ser också aggressiva övningar från rysk sida. Jag vill understryka det som Allan Widman sa tidigare. Det hastar, det är bråttom och det gäller att vi kommer bort från synsättet 2025 - eller någonstans där borta. Vi måste titta på det hela praktiskt, hur vi löser det nu, hur vi får Försvarsmakten att fungera. Jag nämnde förut vikten av att repetitionsövningarna kommer igång redan i år och att pengar tillförs. Jag talade om beredskapskontrollerna, att vi behöver kontrollera att det fungerar. Jag tror också att vi behöver titta på Gotland. Jag skulle vilja se att beredskapen på Gotland höjdes genom att det under huvuddelen av året pågick övningsverksamhet med kvalificerade markstridsförband på ön, det i väntan på att en permanent militär närvaro kan tillskapas. Det är också viktigt att se på personalförsörjningssystemet. Försvarsministern har själv varit inne på att titta på de norska och danska modellerna, där man kombinerar frivillighet och plikt. Jag tror att det är viktigt att komma igång med det. Jag tror också att det är viktigt att göra som alla andra som har anställda soldater, nämligen ha premier. Annars blir det väldigt svårt att få dem att stanna. De kanske stannar två tre år, men ska vi få dem att stanna sex till åtta år, som det var sagt, måste vi införa premier. Annars kan vi se i stjärnorna efter det. Natofrågan hinner vi inte prata om nu, men det hör också ihop med att tänka för framtiden. Det skulle förmodligen få väldigt positiva konsekvenser om vi kunde samöva som medlemmar. Vi borde utreda det i varje fall. ","KD"
"Åsa Lindestam","Herr talman! I dag hade vi möjligheten att lyssna på eller delta i en säkerhetspolitisk debatt där vår utrikesminister fick oss att lyfta blicken långt över försvarsförmågan och skissade på de hotbilder som föreligger för oss. Det finns väldigt mycket mer som vi borde stärka än bara den försvarsförmåga vi talar om. Jag sa i mitt förra inlägg att jag tror på samtal. Vi har i dag mycket samverkan och samarbete i vårt närområde och även lite längre bort. I Europarådet jobbar vi framför allt med sanktioner mot Ryssland. Vi har EU och dess stridsgrupper, där vi står i beredskap just nu. Vi jobbar med Finland och håller på med väldigt konkreta förslag. Vi har också ett nordiskt samarbete och ett nordisk-baltiskt samarbete. Allt det här går ut på att vi ska öva tillsammans för att känna varandra. Jag tror att det i väldigt hög grad är en lösning på våra bekymmer att man anstränger sig, sitter tillsammans, funderar över problemen, jobbar på och försöker öva så mycket som det går. Det är först då vi kommer att vara klara över att vi klarar av saker. Men vi kommer inte att veta vad som kommer att hända och vad vårt nästa stora bekymmer kommer att bli. Det är oerhört viktigt att vi följer utvecklingen i vårt närområde och lite längre bort. Det är oerhört viktigt att vi får rätt information om vad som händer och att vi kan tolka och analysera det vi ser. Den förmågan behöver vi också stärka. Jag ser fram emot fortsatta diskussioner med herrarna om hur vi ska lösa våra bekymmer. ","S"
"Peter Hultqvist","Herr talman! Vi har alla ett ansvar. Jag vill påminna om att det arv som den förra regeringen lämnat efter sig inte är enkelt att hantera. Det är en oerhörd börda att ta tag i. Det gäller mycket, från basnivån till de högteknologiska nivåerna. Vi har som bekant tagit över efter en förvaltning och en regering som hade både Widman och Oscarsson med i underlaget. Därför är det spännande att höra alla grejer som man kräver att vi ska göra med omedelbar verkan. Vi försöker nu efter hand beta av de här sakerna. Vi kommer att återkomma till den plan B som jag har aviserat kring personalförsörjningen och som vi också pekade på under den tid då vi var i oppositionsställning. Jag har inte talat om år 2025 eller något långt där bortom. Jag ser nog att vi måste försöka åstadkomma saker inom en rätt snar framtid. Det hade vi också en reservation om från vårt partis sida i Försvarsberedningen när man lade fram sin rapport. Vi pekade på det. Vi tyckte att den förra regeringens perspektiv låg alltför långt fram i tiden för att egentligen påverka en nödvändig höjning av försvarsförmågan på ett sätt som var rimligt. Arvet är alltså inte enkelt att ta tag i, men vi griper oss an uppgiften. Jag vill också påminna om att vi i friska pengar blev tvungna att lägga till 1 ½ miljard direkt i försvarsbudgeten 2014 för att i inledningen täppa till ett hål efter den uteblivna JAS-affären. Om vi inte hade gjort det hade vi haft allvarliga problem i hela försvarsbudgeten. Beredskapsövningar och beredskapskontroller är sådant som man har påbörjat inom Försvarsmakten. Men det är naturligtvis någonting som kan utvecklas. När det gäller soldaternas möjligheter att stanna kvar är det många saker vi måste titta på. Bostadsfrågan är en sak. Jag var nyligen med och invigde ett soldatboende utanför Stockholm i Kungsängen. Premier är en annan sak, studiestimulanser en tredje. Det finns många saker som måste hanteras. Vi har också fått en utredning presenterad för oss, och den sänds på remiss för att vi ska kunna få det här. När det gäller försvarssamarbeten är det inte så enkelt som att det bara är någon sorts förvaltningsuppgift, Allan Widman. Vad som görs av dessa samarbeten i ett givet läge är någonting som en regering har att fatta beslut om i det så kallade givna läget. Det är många band som har knutits inom ramen för partnerskapet med Nato, inom Nordefco och inom alla andra typer av samarbeten vi har. Vi har exempelvis Crossboard Training på Nordkalotten, Swedish-Finnish Naval Task Group, som man har utvecklat, och alla andra grejer som vi nu gör ihop med Finland. Vad det här kan användas till i olika krissituationer är någonting som vi får ta ställning till då. Men vi har byggt upp en förmåga som kan användas i en sådan situation. Man ska inte förringa de bitar som har byggts upp och vad de kan användas till inom ramen för exempelvis en nordisk solidaritetsförklaring, som också är en realitet. Jag har svårt att se framför mig en situation där vi skulle få en kris i vår del av Europa men det bara är ett land som berörs. Jag tror att det är flera som blir inblandade med rätt så omedelbar verkan. Gotlands strategiska position i ett sådant scenario ska inte underskattas på något sätt. Jag har själv drivit den frågan under en lång period. Jag hoppas också att vi kan få en markering av detta i inriktningspropositionen. Där är vi sex partier som sitter ned, och där har vi ett gemensamt ansvar för att åstadkomma någonting. ","S"
"Allan Widman","Herr talman! Det är riktigt att Peter Hultqvist har fått ärva en hel del bekymmer. Det är jag den förste att tillstå. På samma sätt fick tyvärr den alliansregering som regerade från 2006 till i höstas ärva en hel del bekymmer. Men poängen, Peter Hultqvist, är att jag inte kan göra någonting just nu. Den ende som kan göra någonting är du. Jag står här för att stimulera dig till att ta varje möjlighet till agerande. Jag blir smått besviken när försvarsministern talar om värnpliktsspåret som en plan B. Det antyder på något sätt, herr talman, att vi ska fortsätta att pröva det vi nu håller på med. Men från 2009 till 2014 är det i runda tal hälften av det mycket lilla försvar Sverige har som har blivit bemannat. Vi ska nog i så fall inte vänta så länge till innan denna plan B sjösätts. Peter Hultqvist säger att han ville ge ytterligare 900 miljoner kronor den där sista kvällen. Det var ett bud som jag aldrig fick ta del av. Hade det lagts på Försvarsberedningens bord hade jag naturligtvis gjort vad jag kunnat för att understödja en sådan ambition. Men det intressanta, herr talman, är att när sedan Peter Hultqvists parti tillsammans med Miljöpartiet bildade regering kom inte dessa 900 miljoner kronor med i budgeten. Jag stannar där. Jag har alltid uppskattat Peter Hultqvist för att han inte skönmålar. Men jag blir lite orolig när han kallar det som nu händer i Ukraina för en rysk aggression. Själv skulle jag kalla det ett väpnat angrepp. Och jag blir orolig när det som hänt på Krim kallas för annektering, herr talman. I mina ögon är det en ockupation. ","FP"
