"Anna Johansson","Herr talman! Jonas Jacobsson Gjörtler har frågat mig om Karin Svensson Smiths uttalande i SVT:s <em>Sydnytt</em> nyligen, att det inte är aktuellt med en fast förbindelse mellan Helsingborg och Helsingör, är förankrat hos och sanktionerat av mig och regeringen. Jonas Jacobsson Gjörtler har också frågat mig hur jag ser på behoven av och förutsättningarna för en fast förbindelse mellan Helsingborg och Helsingör och om jag avser att fullfölja det arbete som tidigare regering initierat i frågan, det vill säga med inriktning på beslut under innevarande mandatperiod. Låt mig inledningsvis bara nämna att det är riksdagsledamöterna själva som står för sina uttalanden. Regeringen har inte tagit ställning till behovet av en ny fast förbindelse över Öresund. Å ena sidan har befintlig Öresundsbro kapacitetsproblem, vilket gör den sårbar för händelser som dåligt väder, fel på järnvägen och olyckor. Å andra sidan är en ny förbindelse förknippad med betydande kostnader och förutsätter ett stort engagemang från dansk sida. Jag noterar att den förra regeringen senast i juli 2014 gjorde likartade bedömningar i kommittédirektivet 2014:106, <em>Utbyggnad av nya stambanor samt åtgärder för bostäder och ökad tillgänglighet i storstäderna</em>. Regeringen avser att under 2016 återkomma till riksdagen med förslag om de ekonomiska ramarna för infrastrukturområdet avseende nästa planperiod, 2018-2029. Fastställelsebeslut av en ny tolvårig nationell plan tas sannolikt av regeringen 2018. I samband med det arbetet kommer regeringen att bedöma förutsättningarna för vilka projekt som ryms respektive inte ryms i den nationella planen. Regeringens arbete vägleds bland annat av målet att Sverige ska uppnå EU:s lägsta arbetslöshet år 2020. Samtidigt ska Sverige vara en global förebild i klimatomställningen. Viktiga frågor som regeringen prioriterar är därför generellt bättre fungerande och hållbara gods- och persontransporter i hela landet samt minskad miljö- och klimatpåverkan. Mot denna bakgrund föreslår regeringen i budgetpropositionen för 2015 att ca 5 miljarder kronor tillförs underhållet av våra järnvägar under mandatperioden 2015-2018. ","S"
"Jonas Jacobsson Gjörtler","Herr talman! Jag vill börja med att tacka infrastrukturministern för svaret. Frågan om en andra fast förbindelse över Öresund, mellan Helsingborg och Helsingör, är en fråga som har varit på agendan ganska länge. Man har vänt och vridit på den, framför allt ur ett lokalt och ett regionalt perspektiv. Men på senare tid har man också gjort det från nationellt håll, där man har tittat lite närmare på det här behovet. Till att börja med är det viktigt att understryka att detta alltså inte handlar om en lokal förbindelse som är viktig enbart ur ett lokalt eller regionalt perspektiv. En Helsingborg-Helsingör-förbindelse bidrar inte bara till en helhetslösning av transportsystemet i Öresundsregionen utan är också en viktig pusselbit för transporterna mellan Skandinavien och övriga Europa.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer En viktig del i det här projektet är också att konstatera att det är möjligt att finansiera en sådan här förbindelse med brukaravgifter över relativt kort tid. Köpenhamnsområdet och västra Skåne, det vi normalt kallar Öresundsregionen, utgör Nordens största bostads- och arbetsmarknad och har därmed också väsentlig betydelse för tillväxten både i Sverige och Danmark. Öresundsbron utgör för närvarande den enda fasta länken för långväga person- och godstrafik som finns mellan Skandinavien och kontinenten. Nu visar prognoserna att bron och framför allt dess landanslutningar kommer att få omfattande kapacitetsproblem. Öresundsbron är redan i dag utsatt för ett hårt tryck, eftersom fjärrbetonad person- och godstågstrafik måste samsas med regional arbetspendling. Dessa påfrestningar kommer att öka ytterligare när den fasta förbindelsen under Fehmarn bält mellan Danmark och Tyskland öppnas, vilket den beräknas göra 2022. På längre sikt riskerar vi därför få en trafikinfarkt som drabbar centrala delar av Öresundsregionen. Detta skulle få konsekvenser långt bortom närområdet på grund av den stora mängd transittrafik som passerar genom regionen. Därför är det i huvudsak en nationell angelägenhet att avlasta Öresundsbron genom ytterligare en fast Öresundsförbindelse. Detta är, som jag nämnde tidigare, ett projekt som har haft stort stöd lokalt och regionalt. I bred samsyn har man tittat på projektet och gjort olika studier kring behovet av och förutsättningarna för en sådan förbindelse och av möjligheterna att finansiera den. Bland annat Socialdemokraterna har på nationell nivå varit tydligt för en sådan här förbindelse, senast i den kommittémotion som Socialdemokraterna lämnade med anledning av alliansregeringens infrastrukturproposition. Där nämndes just denna förbindelse specifikt som viktig. Jag delar naturligtvis statsrådets bedömning att varje riksdagsledamot får stå för sina egna uttalanden. Så är det självklart. Men det som är bekymmersamt är ändå när det kommer olika signaler från regeringspartierna. Nu var det inte vilken riksdagsledamot som helst, utan det råkade vara ordföranden i det fackutskott som hanterar just de här frågorna, alltså trafikutskottet, som uttalade sig på ett sätt som jag tycker är bekymmersamt. Det är svårt att tolka uttalandet på något annat sätt än att hon inte riktigt hade förstått förutsättningarna för den här förbindelsen. En fast förbindelse är nämligen inte tänkt att ingå som en del i åtgärdsplanen och slåss om finansieringen med andra projekt, utan hela tanken är att den här förbindelsen kan finansieras helt och hållet med brukaravgifter, vilket de studier som har gjorts visar. Ett beslut kan fattas i anslutning till åtgärdsplanen, men det är inte ett projekt som ska konkurrera med andra projekt. Det här står på egna ben. Det är alltså något av en missuppfattning, och tyvärr kan jag notera att statsrådet delvis ger uttryck för samma missuppfattning i det svar som har lämnats i frågan. Jag skulle gärna vilja att statsrådet förtydligar hur hon ser på finansieringen och också huruvida regeringen avser att fullfölja det arbete som den tidigare regeringen påbörjade i den här frågan. ","M"
"Boriana Åberg"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! I regeringens budgetförslag står det att infrastruktursatsningarna ska främja arbete och tillväxt. Det tycker vi moderater är bra. När vi pratar om arbete och tillväxt har Öresundsbron haft en avgörande betydelse för integrationen av arbetsmarknaderna i Sverige och Danmark. Med det stora antalet användare har Öresundsbron blivit en succé som bär sina egna kostnader. Det finns dock några bekymmer. Det är många som arbetspendlar över Öresundsbron, och snart blir det kapacitetsbrist, inte minst för att pendlingstrafiken får samsas med fjärrtåg och godstrafik. Det råder en överenskommelse över partigränserna i regionen om att det behövs en ny fast förbindelse mellan Skåne och Danmark. En tunnel mellan Helsingborg och Helsingör till exempel skulle avlasta Öresundsbron på ett ypperligt sätt. När jag läste ministerns svar såg jag två saker. Ministern nämner i sitt svar att förutsättningarna för projektets eventuella genomförande är två. Först är det kostnaderna och sedan det danska engagemanget. Sydsvenska handelskammaren har i en rapport beräknat att Helsingborg-Helsingör-förbindelsen är ett samhällsekonomiskt lönsamt projekt som kommer att betalas med trafikavgifter och således inte belasta skattebetalarna på något sätt, precis som är fallet med Öresundsbron. Vidare kommer en sådan förbindelse mellan Helsingborg och Helsingör att skapa arbetspendling i en ny stor region, och det kommer att gagna svenska kommuner med hög arbetslöshet. Det danska intresset för projektet kommer att bli hetare i takt med att Fehmarn bält-förbindelsen färdigställs och mängden gods från Europa till Norden ökar. När Fehmarn bält-förbindelsen är färdig kommer dessutom en hel bransch som är specialiserad på stora byggprojekt att frigöras, till exempel ingenjörer, projektledare, arkitekter och andra som kan vara mycket behjälpliga när tunneln mellan Helsingborg och Helsingör ska grävas. Detta är danskarna medvetna om. Varför inte ta tillfället i akt och påbörja förhandlingar med Danmark, precis som alliansregeringen avsåg att göra? ","M"
"Anna Johansson","Herr talman! Vi har inte sagt att det inte ska bli någon ny fast förbindelse över Öresund. Men jag vill påpeka redan i inledningen av mitt inlägg att inte heller den tidigare regeringen gjorde några skarpa uttalanden i frågan. Vad man gjorde var att i en passus tycka att man kunde titta på och eventuellt förbereda en utredning. Det är ett faktum att Öresundsregionen, precis som Stockholmsregionen och Göteborgsregionen, är ett viktigt tillväxtnav i Sverige. Det är självklart oerhört viktigt att arbetspendlingen i området mellan Danmark och Sverige fungerar så bra som möjligt. Det gäller både arbetspendling och godstrafik. Perspektivet med den nya landförbindelsen mellan Danmark och Tyskland kommer självklart också att få betydelse för hur vi ska lösa dessa infrastrukturproblem på sikt.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Att nu låsa sig vid en fast förbindelse just mellan Helsingborg och Helsingör utan att det är förankrat med våra danska vänner vore, skulle jag vilja påstå, rent dumdristigt. Vi ska naturligtvis samtala med den danska regeringen om hur de ser på behovet av fler landförbindelser. Men att nu säga att vi ska ha en tunnel mellan Helsingborg och Helsingör utan att det är förankrat, det skulle jag åtminstone inte vilja rekommendera. Vi är beredda att titta vidare på frågan. Vi har självklart heller inte tagit ställning till hur finansieringen skulle kunna se ut eftersom det här inte är ett projekt som är färdigutrett. Vi är beredda att titta på alla möjliga frågor på området, även denna, men vi kommer inte att säga att det här är regeringens politik på området, för det behöver vi först förankra med betydligt fler parter. När jag ändå står här kan jag säga att när vi tittar på infrastrukturpolitiken och de utmaningar vi står inför handlar det både om att värna de tillväxtmotorer som finns i och runt våra tre stora städer och, som vi var inne på i en tidigare interpellationsdebatt om Norrbotniabanan, om att binda ihop Sverige på olika sätt genom att underlätta transporter både av människor och av gods. Vi kommer att ha en lång rad angelägna projekt att ta ställning till, där olika trafikslag ska samverka med varandra och där vi behöver göra ganska svåra prioriteringar. Stambaneutbyggnaden är en sådan fråga. Jag tror att det vore olyckligt att bryta ut denna fråga och betrakta den som en enskildhet. Det vi behöver är fungerande transportsystem där länkarna mellan olika transportslag och olika landsändar kommer att vara avgörande. Låt oss titta på detta samlat i en samlad bild av infrastrukturbehoven och göra det tillsammans med andra berörda parter. ","S"
"Jonas Jacobsson Gjörtler","Herr talman! Statsrådet har naturligtvis rätt när hon säger att frågan inte är färdigutredd och så vidare och att det inte bara går att fatta ett beslut. Så är det; frågan är inte färdigberedd. Det är inte heller vad någon har påstått. Däremot tycker jag att det låter på statsrådet som att frågan knappt är beredd eller att man knappt skulle ha tittat på den alls. Det stämmer inte heller. Trafikverket fick i uppdrag att göra en studie av behovet av en fast förbindelse och förutsättningarna för en sådan i arbetet med den åtgärdsplan som det sedan har fattats beslut om. I förberedelsearbetet inför infrastruktur- och åtgärdsplan har man gjort en studie där man konstaterar att behovet finns och att finansieringsmöjligheterna är goda. Det stämmer inte heller när statsrådet påstår att den förra regeringen inte riktigt har velat gå vidare. Det är precis vad man har gjort. I det uppdrag som gällde och som kallades för Sverigebygget fick den förhandlingsperson som utsågs i uppdrag att föra samtal med Danmark om detta. Min förhoppning är att den nya regeringen fortsatt ser behovet och att uppdraget kommer att finnas kvar. Jag hoppas att man kommer att fortsätta föra samtalen så att man kan ta detta ett steg till. Ambitionen från den förra regeringen var att man skulle ha ett förberett underlag framme till 2016 för att kunna fatta ett skarpt beslut 2018. Detta gav också den förra infrastrukturministern tydligt besked om i olika intervjuer i samband med att Sverigebygget lanserades, så det är nog ganska tydligt.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag hoppas att den nya regeringen också ser detta behov och att man inte nu vill pausa, stanna upp eller avbryta processen. Det viktiga är nu att man fullföljer förhandlingarna och fortsätter samtalen med Danmark. På den danska sidan finns det ett brett stöd både lokalt och regionalt för en fast förbindelse. Man har studerat frågan även lokalt och regionalt, som jag nämnde tidigare. På nationell nivå är man lite mer kallsinnig. Så brukar de fungera i Danmark. De tar normalt sett lite längre tid på sig innan de bestämmer sig. De har fullt upp med att förbereda Tysklandsförbindelsen. Men vi vet också att när danskarna bestämmer sig går det undan. Så var det även med Öresundsbron; när man väl bestämmer sig kör man ganska kvickt och kommer att köra förbi Sverige. Jag tror att det är angeläget att vi driver på så att vi inte tappar tempo i den process som behöver rulla framåt. Det blir inte helt relevant när statsrådet säger att man måste titta på olika prioriteringar. Då antyder hon att detta är ett projekt som ska slåss med andra projekt om finansieringen. Återigen visar de studier som har gjorts att denna fasta förbindelse kan finansieras helt med brukaravgifter utifrån det trafikflöde som redan finns, och då tar man inte ens hänsyn till att trafikflödet lär öka när en sådan här förbindelse har byggts. Det innebär alltså att den inte ska in i en del i en åtgärdsplan och konkurrera med pengar om andra projekt, utan den kan finansieras i särskild ordning precis som Öresundsbron har gjort. Det finns mycket som styrker detta. Utöver de studier och utredningar som har gjorts av olika offentliga aktörer har också privata intressenter flaggat för och sagt att man är beredd att bygga och finansiera hela förbindelsen om man får lov att driva den under till exempel 30 år. Skanska har till exempel varit ute och sagt att om man skulle få uppdraget är man beredd att ta hela finansieringen mot att man också får ta in avgifterna. Man kan driva förbindelsen i 30 år, och sedan lämnar man över hela anslutningen till den svenska och den danska staten. Herr talman! Jag skulle önska att regeringen tog frågan vidare i den riktning som den förra regeringen inledde och att man inte parkerar eller bromsar detta. Jag hoppas att man kan jobba framåt med frågan med inriktning på ett beslut under den här perioden. ","M"
"Boriana Åberg","Herr talman! Det stämmer att frågan huruvida en tunnelförbindelse mellan Helsingborg och Helsingör är den bästa lösningen inte är utredd på regeringsnivå. Men i en stor region som Öresundsregionen finns det plats för fler än ytterligare en fast förbindelse, nämligen två nya. Det finns en utredning som är gjord av Sydsvenska handelskammaren där det föreslås att man skulle kunna ta efter en modell som används i New York avseende tunnlar och broar mellan delstaterna New York och New Jersey. Där förvaltas ett flertal förbindelser mellan båda delstaterna av <em>en</em> huvudman - något som borde vara lätt att applicera även i Sverige där vi redan har Öresundsbrokonsortiet. Tunnelförbindelsen kommer att vara självfinansierad via avgifter, så den kommer inte att belasta budgeten på något sätt. Överskottet av avgifterna kan dessutom gå till att finansiera en eventuell metroförbindelse mellan Malmö och Köpenhamn för att gagna även pendlingstrafiken.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag vill också påminna om att frågan om en extra förbindelse i Öresundsregionen inte bara handlar om Skåne. Det är en fråga av nationell betydelse som gagnar hela landet. Danmark är en viktig arbetsmarknad, inte minst för svenska ungdomar. Intresset för arbetspendling ökar hela tiden och kommer att bli ännu större i och med färdigställandet av Fehmarn bält-förbindelsen. ","M"
"Ann-Charlotte Hammar Johnsson","Herr talman! Jag vill börja där Boriana Åberg slutade. Detta är en viktig fråga. Det handlar om arbetspendling i ett område där det redan är fullt på såväl vägar som järnvägar och där vi nu behöver se en cirkulation. Icke desto mindre är detta en nationell och en internationell fråga. Alliansregeringen gick, som Jonas Jacobsson Gjörtler sade, ut med besked om att man nu har satt ned foten i frågan om en tunnel mellan Helsingborg och Helsingör och att man har utsett förhandlingsparter. Därmed har man också på något sätt satt den i en bana framåt. I denna bana har man nu talat om att man tänker sig en färdig förbindelse år 2035, vilket också nämns i Sverigebygget. Jag har en önskan till infrastrukturministern när man tittar på det här med tanke på nationell och internationell utveckling för Sverige och Öresundsregionens stora del i detta för nya jobb, tillväxt och näringsliv. Det handlar också om färdigställande av Fehmarn bält-förbindelsen till 2021. Min önskan är att man inte pausar frågan utan verkligen har den på banan med den vikt den har för hela landet och för framtiden. ","M"
"Anna Johansson","Herr talman! I det tidigare inlägget ställdes en del frågor om vad Karin Svensson Smith hade menat eller tänkt. Jag har tyvärr ingen möjlighet att svara på frågor om hur en annan person har tänkt eller vad han eller hon har avsett med ett uttalande. Det som interpellationen gäller och det som jag försöker svara på är regeringens hållning i frågan. Det tänker jag försöka hålla mig till. Jag vill än en gång poängtera att inte heller den tidigare regeringen var speciellt kraftfull. Möjligen var den det i intervjuer; det kan jag inte bedöma. Men i de uppdrag som har getts har inte heller den tidigare regeringen varit speciellt kraftfull i frågan. Det finns i dagsläget inga besked från den rödgröna regeringen om att stoppa, pausa eller fördröja diskussionen. Jag vill ändå poängtera att det för samarbetsregeringen är oerhört viktigt att vi har goda relationer med våra danska grannar, och i de fall vi vill göra någonting gemensamt bör det vara väl förankrat både lokalt och i den nationella regeringen. Vi kommer att ha samtal om den här frågan och om en del andra frågor där vi har gemensamma intressen. Det innebär inte att vi säger nej till denna förbindelse. Det innebär inte heller att vi i dagsläget är beredda att förorda förbindelsen. Vi är beredda att lyssna, samtala och förhandla oss fram till bra lösningar. Vi ser, som jag sade i mitt första inlägg, att Öresundsregionen är en viktig tillväxtmotor för hela landet tillsammans med de andra storstadsregionerna, där vi behöver ta hänsyn till transportmöjligheter för hela landet.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Även om det inte är en fråga om finansiering finns det andra typer av prioriteringar som behöver göras, bland annat utredningskraft och resurser vad gäller själva byggnationen. Visst är det en konkurrens mellan olika angelägna projekt, och det måste en regering ta hänsyn till när man lägger fram nationella planer. Det man föreslår och beslutar ska man ha möjlighet att genomföra på ett bra sätt. ","S"
"Ann-Charlotte Hammar Johnsson","Herr talman! Jag ser fram emot förhandlingarna och samtalen med Danmark, infrastrukturminister Anna Johansson, och att vi nu får en bra lösning på något som annars kan bli en tillväxtpropp. Jag hoppas att vi inte behöver se den proppen, utan jag ser fram emot att ni nu tar steg i rätt riktning för att öka Öresundsregionens kraft och därmed den nationella och internationella styrkan för Sverige. ","M"
"Anna Johansson","Herr talman! Det finns egentligen inte så mycket att tillägga, men jag vill förtydliga att jag inte har sagt att vi ska förhandla med danskarna i detta läge. Det är en märklig ingång i en första kontakt med vårt grannland att säga att vi vill förhandla. Vi behöver samtala om vilka gemensamma utmaningar vi står inför, vilka gemensamma glädjeämnen vi har och vilka gemensamma lösningar vi skulle kunna komma fram till. Det är inte ett läge för förhandling. Vi kanske kommer till ett sådant läge, men vi är inte där just nu. ","S"
