"Anna Johansson","Fru talman! Lars Hjälmered har frågat mig om regeringens inställning till flygplatser och hur en förändring av flygplatskapaciteten i Stockholmsområdet skulle påverka Sveriges konkurrenskraft och uppfyllandet av de transportpolitiska målen.  Dessutom har Mathias Sundin frågat klimat- och miljöministern varför hon pekat ut Linköping City Airport som en flygplats som kan komma att läggas ned och om hon och regeringen avser att lägga fram förslag som innebär att Linköping City Airport måste avvecklas.  Arbetet inom regeringen är så fördelat att det är jag som ska svara även på interpellationen till klimat- och miljöministern, och eftersom de båda interpellationerna i huvudsak berör samma fråga besvarar jag dem i ett sammanhang.  Först vill jag understryka att jag är helt överens med Lars Hjälmered dels om att flyget har stor betydelse i hela Sverige, dels om flygets bidrag till att de transportpolitiska målen om tillgänglighet kan uppnås. Samtidigt är minskad klimatpåverkan från transportsektorn viktig, och planeringen av transportinfrastrukturen ska bland annat baseras på behovet av energieffektiva och hållbara transporter. Därför kan järnvägen ibland vara ett bättre alternativ som transportmedel.  Regeringen har inte fattat beslut om att stänga någon flygplats. Det är viktigt att understryka att initiativet att lyfta den här typen av frågor ska komma underifrån, det vill säga från de kommuner där flygplatserna ligger. Regeringen har inte fått någon framställan om att nyttja vare sig den mark där Bromma flygplats ligger eller den mark där Linköpings flygplats ligger.  Om en sådan framställan lämnas avser regeringen att tillsätta en förhandlingsperson som ska underlätta dialogen mellan berörd kommun och andra aktörer. Olika intressen, som bland annat behovet av fler bostäder, betydelsen av bra transporter i hela landet, minskad klimatpåverkan och regeringens mål om minskad arbetslöshet, behöver samlat utredas, diskuteras och vägas mot varandra. Utifrån dessa diskussioner och beslutsunderlaget som förhandlingspersonen presenterar avser regeringen därefter att behandla en eventuell framställan.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Ett ökat bostadsbyggande är, precis som välfungerande och hållbara transporter, en prioriterad fråga för regeringen. Vad regeringen har uttalat är att den är öppen för att på initiativ från en eller flera kommuner inleda diskussioner för att hitta lösningar som kan komma att leda till ett ökat bostadsbyggande på mark som i dag används för flygtrafik om målen om välfungerande och hållbara transporter i hela landet samtidigt kan nås. ","S"
"Lars Hjälmered","Fru talman! Låt mig börja med att tacka för svaret. Den 30 juni i år publicerade tidningen Expressen en intervju med Stefan Löfven, som angående Bromma flygplats sade: \"Vi har ett avtal som gäller under lång tid och det ska gälla. - - - Vi har inte för avsikt att bryta det avtalet.\" Den 15 maj publicerade Dagens Industri en intervju med Magdalena Andersson, som sade: \"Vi anser att flygkapaciteten behövs. - - - Vår inställning är att avtalet gäller. Vi har inget förslag om att lägga ned Bromma flygplats.\" Fru talman! Nu några veckor efter valet kan vi dock konstatera att Socialdemokraterna och Miljöpartiet - tvärtemot vad som sades före valet - trampar upp en väg för att lägga ned Bromma flygplats och ett antal andra citynära flygplatser i Sverige. Man säger en sak före valet men gör något annat direkt efter valet. Det är ett socialdemokratiskt svek. Det väsentliga och allvarliga i detta, fru talman, är egentligen inte sveket, utan snarare vilka effekter en nedläggning av Bromma flygplats skulle kunna få. Ibland tycker jag att man i debatten felaktigt försöker göra Bromma flygplats till en lokal Stockholmsfråga, som vilket stadsbyggnadsprojekt som helst. Jag skulle tvärtom säga att detta är en nationell angelägenhet. Vi pratar om en flygplats som har 13 inrikesdestinationer till orter som Visby, Växjö och Trollhättan. Det är helt avgörande för företag och människor på dessa och andra orter att snabbt och enkelt kunna komma till huvudstaden för att till exempel gå på en konferens eller genomföra ett kund- eller säljmöte. Det kommer säkert att komma många exempel i den här debatten, fru talman. Låt mig för min del ta exemplet Göteborg, den ort både ministern och jag kommer ifrån. Mellan de två städerna Göteborg och Stockholm går det varje vecka ungefär 360 flygplan. Runt 140 av dem går till och från Bromma flygplats. Man kan konstatera att det i närtid inte finns möjlighet att flytta över flygtrafik till tåg i någon stor utsträckning. Inte heller är Arlanda flygplats ett alternativ för att ta emot flygplanen. Socialdemokraternas och Miljöpartiets nedläggning av Bromma flygplats stryper därmed transportmöjligheter för företag i Göteborg och gör det svårare att ta sig till konferensen, kundmötet eller säljmötet. Jag funderar rätt mycket som riksdagsledamot på hur jag kan bidra till att göra min hemstad Göteborg till en mer attraktiv storstadsregion, få fler företag att starta och etablera sig där samt behålla företagen i Göteborg. Avgörande för att lyckas med detta är utomordentliga kommunikationer med Stockholm, som är det politiska och administrativa centrum vi har i Sverige. Detta är helt avgörande för företagen i Göteborg. Jag och Moderaterna är tydliga. Vi vill värna Bromma flygplats - för jobbens, konkurrenskraftens och tillgänglighetens skull.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det är utifrån detta, fru talman, som jag har valt att ställa dessa frågor till infrastrukturministern. Man sade en sak från Löfven, Andersson och andra ledande socialdemokrater före valet. Nu trampar regeringen, förhandlingspersonen och lokala företrädare i Stockholm upp en väg för att lägga ned en viktig flygplats, vilket hotar jobb, tillväxt och tillgänglighet. Jag tycker inte att jag fullt ut fått svar på de frågor jag ställde i interpellationen, fru talman. Därför tänkte jag avsluta detta första inlägg med en ganska enkel ja- eller nej-fråga till ministern. Kommer du som minister att vara med och bidra till att lägga ned Bromma flygplats? Ja eller nej? Så enkel är frågan. ","M"
"Mathias Sundin","Fru talman! Min fråga, som rör Linköpings flygplats, kom sig av en artikel i Dagens Industri, där vice statsminister Åsa Romson uttalade sig om flygplatser, bland annat Linköping. Åsa Romson tyckte att man skulle kunna lägga ned en del flygplatser och bygga bostäder på marken i stället. Hon pekade ut några stycken, bland annat Linköpings flygplats - Linköping City Airport. Linköping med omgivningar i Östergötland är Sveriges starkaste flygkluster. Sveriges flyghuvudstad, kallar man sig med rätta. Nära staden har vi Transportstyrelsen och Luftfartsverket i Norrköping. Vi har också en stor flygplats i Norrköping. Vi har helikopterflottiljen i Linköping. Vi har en mängd företag i och kring Linköping, däribland naturligtvis det största av dem alla, Saab. Det handlar om tusentals anställda inom en högteknologisk, välbetald bransch. Skulle då Sveriges flyghuvudstad vara utan flygplats? Min fråga har varit: Varför pekas just Linköpings flygplats ut som möjlig att lägga ned? Man kan ställa sig liknande frågor om många flygplatser som redan har nämnts eller kommer att nämnas i debatten. Men är det någon flygplats man borde bevara i Sverige är det väl just denna? I interpellationssvaret sägs att initiativ till nedläggning och bostadsbyggande ska komma underifrån. Det är ett mycket välkommet besked, för det finns ingen underifrån som tycker detta. Men det som är så märkligt är att initiativet inte kommer underifrån utan ovanifrån, från vice statsministern, från regeringen. Man har inte lagt fram några förslag om att flygplatsen ska läggas ned. Jättebra! Men varför pekar man ut Linköpings flygplats? Och varför kommer initiativet ovanifrån? Det är en väldigt farlig signal vad gäller flyget och flygbranschen i hela Sverige med den debatt som pågår nu om att flygplatser ska läggas ned, Bromma och andra. Men varför pekar regeringen ut just Linköpings flygplats som en möjlig nedläggningskandidat? Det har jag inte fått svar på ännu, så det ser jag fram emot att få. ","FP"
"Suzanne Svensson","Fru talman! Jag har under föregående mandatperiod suttit i trafikutskottet och haft förmånen att få lägga ned mycket tid på luftfarten. De regionala och kommunala flygplatserna har varit utsatta för olika förslag både från EU och på statlig nivå under årens lopp. Många dras med ett underskott som kommuner och regioner får kompensera för. Flygets olika organisationer är ständigt på tå för att vara beredda när nästa inspel kommer. Därför är det inte så konstigt att man reagerat starkt på Stockholms stads besked om att lägga ned Bromma flygplats 2022, när kontrakt finns till 2038.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Många företag runt om i landet har sina huvudkontor i Stockholm eller utanför landet. Man lägger naturligtvis huvudkontoren där infrastrukturen är gynnsam och dit man kan resa in från olika håll för att ha möten med olika intressenter. Anledningen till att man valt Stockholm är naturligtvis att det finns goda järnvägsförbindelser - även om det är lite knökigt nu - samt bra och nära flygplatser. Man kan göra en arbetsdag i Stockholm och vara hemma till kvällen igen. Det finns goda möjligheter att ta sig vidare ut i Europa och världen eller tvärtom, inte minst för den viktiga besöksnäringen. Fru talman! Det spelar ingen roll vilken partifärg man har - alla värnar om sina kommuner och regioner. Det är helt enkelt viktigt med arbetstillfällen för att man ska kunna överleva ute i landet. Utan jobb avfolkar vi landet utanför Stockholms tullar. Och vill det sig riktigt illa hotas också jobben i Stockholm. Varför är då Bromma flygplats så viktig för Sverige? I rusningstid kan inte Brommaflyget inrymmas på Arlanda. Om tillståndet förblir detsamma på Arlanda och man stänger ned Bromma skulle man enligt beräkningar halvera Stockholms flygkapacitet. Vi skulle få försämrade inrikesförbindelser med färre avgångar, minskad konkurrens och färre flygbolag, förmodligen även högre biljettpriser. Vad gäller utrikesförbindelser har Arlanda haft Skandinaviens starkaste tillväxt de senaste åren och beräknas 2020 vara den största flygplatsen i Skandinavien. Man säger från Swedavia att om man skulle stänga Bromma redan i dag skulle det skapa problem för Arlanda att tillgodose utrikesresebehovet i takt med att regionen växer. Trafikverket har dragit samma slutsatser och säger att man inte kan flytta trafik från Bromma till Arlanda utan att tränga ut annan trafik och menar att det är den internationella trafiken som kommer att trängas undan, vilket skulle vara negativt för tillväxten och Sveriges internationella konkurrenskraft. Fru talman! Flyget ingår i ett sammanhållet trafiksystem i Sverige. Både Arlanda och Bromma ingår i det sammanhållna trafiksystemet med olika funktioner. Konsekvenserna för tillväxten i landet kan komma att bli negativa genom att det försämrar attraktionskraften för företag att etablera sig men också genom att det skapar en sämre konkurrenskraft för kunskapsintensiv exportindustri. Fru talman! Sverige är till ytan ett stort land. Vi är beroende av att ha god tillgänglighet i landet för våra företag nationellt och internationellt och vår besöksnäring. Så länge som vi inte har löst ut Arlandas problem vad gäller klimatfrågor och nya landningsbanor har vi inte heller möjlighet att avveckla Bromma utan att ett alternativ finns. ","S"
"Lars Tysklind","Fru talman! Vi har här egentligen två besked att titta på. Det ena beskedet är att regeringen har sagt att den är beredd att tillsätta en förhandlingsperson om det kommer en framställan om att man vill pröva bostadsbyggande på citynära flygplatser. Jag har uppfattat att det var det initiativet som kom först.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer När man talar om detta handlar det i grunden om Bromma flygplats. Sedan har miljöministern och vice statsministern av någon anledning också nämnt Linköping, Uppsala och Jönköping. Det kanske vi kan få svar på senare, eftersom frågan ställts om åtminstone Linköping. Stockholms stad har sagt att regeringen har öppnat för detta. Med anledning av det har man gjort en överenskommelse att titta på att kunna lägga ned Bromma flygplats senast år 2022. Det blivande socialdemokratiska finansborgarrådet Karin Wanngård säger i det sammanhanget att det inte blir någon stängning av Bromma flygplats om det riskerar jobb och tillväxt i regionen. Vad talar vi om då? Är det Stockholmsregionen vi talar om? Är det vad det handlar om? Som har sagts här tidigare från talarstolen är Bromma flygplats definitivt inte en Stockholmsfråga. Bromma flygplats har en oerhört stor nationell betydelse. Om vi talar om tillväxt och jobb har övriga Sverige nog så stort behov av tillväxt och jobb. Där är Bromma flygplats, infrastruktur och förbindelse med Stockholm av stor vikt även för andra kommuner. Det finns massor av flygplatser. En del har räknats upp här. Vi kan ta Ängelholm, Halmstad, Trollhättan, Umeå, Göteborg och kanske någon till. De handlar om de kommuner som har flygplatser. Men det handlar även om övriga kommuner i regionerna kring dessa flygplatser. Där är människor beroende av att kunna ta sig snabbt fram och tillbaka till och från Stockholm. Med andra ord är detta inte någon lokalpolitisk bostadsfråga för Stockholm. Det måste vi ändå kunna lägga fast. Det är en nationell infrastrukturfråga som är av väldigt stor vikt för hela landet. Jag vill gärna ha ett klart besked från infrastrukturministern om hon delar uppfattningen att just Bromma flygplats är av stort nationellt intresse och att det är utgångspunkten i diskussionen. Jag ska försöka att vara lite mer konkret med kanske lite lokalpatriotisk anklang. Jag kommer från Bohuslän och Fyrbodalområdet. Trollhättans flygplats är en regional flygplats. Den dras med underskott, precis som Suzanne Svensson talade om här. Men den är oerhört värdefull för kommunerna och regionen. Annars hade man inte fortsatt att satsa pengar på den. Hur har man tänkt från regeringens sida med att tillsätta en förhandlingsperson? Vad är tanken bakom det? Hur involverar man hela Fyrbodalregionen och alla de kommuner som kan beröras av detta? Det är definitivt inte bara en fråga för Vänersborg och Trollhättan utan för hela denna region. Det gäller även för de övriga delarna av landet. Vilken utgångspunkt och vilka tankegångar har regeringen när den talar om förhandlingsperson? Vem ska man egentligen tala med, och hur ska den dialogen gå till? ","FP"
"Finn Bengtsson","Fru talman! Den här interpellationen är viktig på många plan. Sakfrågan handlar om flygets vara eller icke-vara, skulle jag nästan våga säga. Men det handlar också mer ideologiskt om de problem som regeringen visar upp denna första interpellationsdag vi har med en nybildad regering. Hur är det att bilda en regering som ska ha, bedömer jag det, ett tillväxtstimulerande och tillväxtintresserat parti som Socialdemokraterna som ska samverka med ett tillväxtfientligt parti som Miljöpartiet?  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det är detta som är den stora svagheten i regeringen och inte nödvändigtvis det knappa mandatet man har för att eventuellt få igenom sina förslag i kammaren. Man går in och ska styra bland det allra viktigaste för välfärden och för jobben i Sverige. Ska vi ha en tillväxtinriktad eller en tillväxtfrånvänd politik? Det gäller flyginsatsen. Vice statsministern går ut från ett topperspektiv, pekar med hela handen och säger: Bromma och ett antal andra flygplatser är nog icke önskvärda. Samtidigt kommer infrastrukturministern hit och ger oss ett svar som jag får tacka för. Det är något nyanserat. Men det visar på det stora problem som regeringen uppenbarligen har. Mathias Sundin nämnde flygplatsen i min hemkommun, Linköpings flygplats. Den pekades i Dagens Industri offentligt ut av vice statsministern som ett av de projekt som möjligtvis skulle läggas ned. Låt oss konstatera att Linköping är Sveriges femte stad. Det är en stad som växer så det knakar. Den har nu ökat till över 150 000 invånare. Inom det som Mathias Sundin nämnde som flygklustret i Linköping med alla de olika komponenter som finns räknar man med att ca 30 000 är anställda och beroende av ett fungerande flygfält i Linköping City Airport. Dessutom visar det sig att det har varit väldigt framgångsrikt inte bara för militärflyget och utvecklingen av vårt försvar utan också inte minst inom civilflyget. Första halvåret 2014 har nästan 74 000 personer rest till och från flygplatsen. Det är en ökning med 22 procent jämfört med första halvåret 2013. Ökningen var bara i juni månad i år 43 procent jämfört med 2013. Varför flyger människor? Det skapas interaktioner både inom och utom Sverige. Det är oerhört centralt för att vi ska kunna ha en tillväxtfrämjande politik. Hur skulle dessa människor annars kunna förflytta sig från Linköping, Sveriges femte stad, där de också är beroende av närheten till flygplatserna? Jag åker på mina studiebesök runt bland dem som bor i närområdet. De ser det som oerhört väsentligt att denna flygplats får fortsätta att samverka med kommun och Saab såsom funktionen har varit under många år och som man nu har kontrakt på att fortsätta under en lång tid framåt. De signaler som skickas från den tillväxtfientliga delen av Sveriges nuvarande regering är oerhört allvarliga och måste på något sätt svaras för av infrastrukturministern. Jag är lite glad när jag ser att Suzanne Svensson, socialdemokrat, ställer sig upp säger att man värnar tillväxtstimulanser av den typ som flyget står för. Jag tror att regeringen kommer att få väldigt svårt att kunna lyfta sina tillväxtstimulerande åtgärder mot en ministär som också består av individer som framför allt är tillväxtfientliga. Jag tror tyvärr att detta bara är starten på ett problem som regeringen bär med sig framgent när det gäller att se på tillväxtstimulerande politiska åtgärder och de som är tillväxthämmande. ","M"
"Peter Persson","Fru talman! Denna morgon flög jag tidigt från Jönköping till Stockholm. Som tidigare kommunalråd och ordförande för regionen i Jönköping har jag en stor insikt om vikten av regionala flygplatser. Det finns de som tror att det räcker med Arlanda. Men hur roligt är det i längden att alltid både starta från Arlanda och landa där? Det är rätt kul att dimpa ned någon annanstans. Därför behöver vi mångfalden av flygmöjligheter i vårt land.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Om jag hade haft klar sikt i morse hade jag kunnat se ned till flygplatserna i Halmstad, Norrköping och Linköping och andra små flygplatser. Det är där Moderaterna har spritt ut sin skräckpropaganda. Den nytillträdda regeringen ska lägga ned flygplatserna, uttrycks det bombastiskt i pressmeddelanden och på annat sätt runt om i landet.  Jag ska berätta hur det egentligen är. När den moderatledda regeringen styrde drev man över kostnader för infrastruktur på kommunsektorn. Jönköpings kommun, med en svag moderat kommunstyrelseordförande, fick darrande ta emot den flygplats som var ett statligt ansvar under socialdemokratiska regeringar. Samtidigt hade den regeringen en finansminister som sade att snabbjärnvägar är science fiction. Det är i den miljön som man faktiskt ska studera Moderaternas angrepp, som inte bär någon sanning, på en socialdemokratisk infrastrukturpolitik - de stora hoten mot regionerna och mot regionala satsningar på infrastruktur, att låta hela landet leva, när man förde över mer och mer finansieringsansvar på regioner och kommuner. Vi fick nämligen en fattig stat under kraften av de stora skattesänkningarna. Det var ett problem skapat av Moderaterna som fortfarande är närvarande.  Nu ser vi tydliga satsningar på infrastruktur. Jag är övertygad om att dessa satsningar i förlängningen kommer att medverka till att våra regionala flygplatser ska kunna leva vidare. De lever vidare genom en förstärkning också på annan infrastruktur.  Jag tycker att det svar som infrastrukturministern ger i dag om att regeringen inte har fattat beslut om att stänga någon flygplats ska återges av de lokaltidningar som i går och i dag hade moderat skräckpropaganda. Denna skräckpropaganda är inte ny, och sanningen behöver, som alltid, berättas. ","S"
"Gustaf Hoffstedt","Fru talman! Det var ett intressant inlägg från Peter Persson. Skälet till att vi under den förra mandatperioden inte diskuterade Bromma flygplats var att det, inte bara i denna församling utan även i Stockholms stad, fanns ett samlat alliansstöd för Bromma flygplats försvar. Det var inte ett ämne att diskutera över huvud taget. Det tvingas vi tyvärr till i dag.  Även om det skulle vara så att Bromma flygplats fredas så småningom tack vare bland annat de insatser som görs i denna kammare finns oron här redan i dag. Blotta oron skrämmer iväg investerare och inflyttare, bland annat när det gäller den del som jag representerar, nämligen Gotlands län.  För Gotlands län är det en tröst för ett tigerhjärta när jag hör att det kan vara intressant med landburna transporter och att regeringen gärna gör investeringar där. Jag har svårt att se det som ett seriöst alternativ.  Jag påminner därför om den fråga som Lars Hjälmered nyss ställde här: Ska Bromma flygplats stängas eller inte - ja eller nej? Ett nej på den frågan betyder att den oro som vi alla känner kan skjutas åt sidan. Det vore verkligen efterlängtat.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det finns nämligen ingen kapacitet på Arlanda att svälja den trafik som bedrivs på Bromma flygplats. Bromma flygplats är en typisk peakflygplats, där trafiken bedrivs på morgnar, sena eftermiddagar och tidiga kvällar. Det finns ingen möjlighet att ta den trafiken på Arlanda. Även om så vore möjligt - hypotetiskt - skulle det leda till rätt dramatiska förändringar. Det skulle exempelvis bli väsentligt dyrare med de enskilda biljetterna till Arlanda flygplats. Man kan tycka att det må vara hänt för riksdagsledamöter, statsråd och andra som låter sig bekostas av det offentliga när de är ute och reser. Men för de enskilda människor som ska betala en dryg hundring eller mer för varje enkelresa som det faktiskt innebär med höjda flygplatsavgifter och ökad bränsleåtgång, eftersom de flesta resor kommer söderifrån och därmed blir onödigt långa, blir detta en ganska allvarlig situation när inte bara landet ska hållas samman utan även familjer som är skingrade i Sverige.  Jag skulle från statsrådet vilja höra ett försvar av Bromma flygplats och ett tydligt svar på den fråga som Lars Hjälmered tidigare ställde.  ","M"
"Edward Riedl","Fru talman! Först vill jag kommentera det som Peter Persson sade från talarstolen. Han var arg för att alliansregeringen inte hade tillfört mer pengar till de regionala flygplatserna under den förra mandatperioden. Sanningen är att Socialdemokraterna aldrig har föreslagit en enda krona mer till flyget.  Men om det nu är så att det fanns ett missnöje inom socialdemokratin och att man faktiskt vill satsa och rusta upp de regionala flygplatserna bjuder jag in Peter Persson att komma och berätta hur mycket pengar man nu avser att satsa på de regionala flygplatserna. Det skulle bli ett välkommet budskap långt ut i landet. Det skulle jag gärna vilja ha ett svar på.  Fru talman! Bromma flygplats är en flygplats av nationellt intresse, vilket flera har nämnt här. Det är absolut ingen Stockholmsfråga, även om en del vill göra det till precis det. Sverige är ett litet och exportberoende land i Europas utkant. Vi har långa avstånd inom vårt eget land, och flyget är för väldigt många det enda realistiska svaret på frågan hur vi ska knyta ihop alla delar av Sverige.  Vid sidan av Arlanda flygplats behövs Bromma flygplats just utifrån det som många har nämnt. Vid peaktiderna blir det fullt på Arlanda. Det finns inga möjligheter att ta ned fler flygplan. Konsekvensen av att stänga Bromma är inte bara att de som i dag flyger dit får sämre tillgänglighet till huvudstaden. Svaret är att det kommer att drabba alla som av olika skäl behöver åka ned till Stockholm under dessa peaktider, det vill säga arbetspendling från hela landet. Alla som arbetspendlar kommer på olika sätt att drabbas av sämre tillgänglighet till huvudstaden.  Det är faktiskt på det sättet att rätt många socialdemokrater och partikolleger till infrastrukturministern ute i landet har förstått att detta inte är någon bra politik. Exempelvis kommunalrådet i min hemstad Umeå är socialdemokrat. Han har förstått att detta vore helt förödande för våra möjligheter att pendla till huvudstaden. Vi har rätt många plan varje morgon och varje eftermiddag som ska ta sig till och från huvudstaden.  Men man kan göra detta enkelt. Statsminister Stefan Löfven lovade före valet att inte lägga ned Bromma flygplats. Finansminister Magdalena Andersson lovade före valet att inte lägga ned Bromma flygplats. Då vänder jag mig till infrastrukturministern och vill ha svar på samma fråga nu efter valet: Kan infrastrukturministern lova att inte lägga ned Bromma flygplats och inte bidra till den negativa utvecklingen? Det är ett ganska enkelt besked som infrastrukturministern här skulle kunna ge.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Statsministern och finansministern gav dessa enkla svar före valdagen. Kan infrastrukturministern ge samma svar efter valdagen? ","M"
"Magnus Oscarsson","Fru talman! Min fråga vill jag ställa till statsrådet med anledning av interpellationen <em>Föreslagen nedläggning av Linköping City Airport</em>. Flygplatsen Linköping City Airport är viktig för många företagare och privata resenärer. Att på ett lätt och smidigt sätt kunna ta sig till Europa och ut i hela världen är väldigt viktigt. Antalet resenärer har ökat stadigt och är nu uppe i över 150 000. Östergötland är en växande region, och med en nedläggning av Linköping City Airport riskerar regeringen att lägga en kall, blöt filt över en tillväxtregion.  Anledningen till att jag ställer min fråga är att vice statsministern i en intervju har sagt att hon kan tänka sig att lägga ned Linköpings flygplats, och jag undrar varför regeringen vill ta bort en viktig förutsättning för en region att växa. Jag vill göra som Lars Hjälmered, nämligen be om ett ja eller nej från statsrådet. Frågan är: Kommer regeringen att medverka till en nedläggning av Linköping City Airport - ja eller nej? ","KD"
