"Mehmet Kaplan","Herr talman! Mats Green har frågat mig på vilket sätt, och inom vilka områden, jag kommer att fortsätta arbetet med regelförenklingar inom bostadspolitiken. Låt mig inledningsvis säga att jag delar uppfattningen att många av de regelförenklingar som genomfördes under förra mandatperioden inom plan- och byggområdet har varit angelägna. Flera utredningar som den tidigare regeringen tillsatte pågår fortfarande eller har redovisats relativt nyligen. Det är regeringens mening att arbetet med att förenkla och snabba upp byggprocesserna behöver fortsätta.  Regeringen har mot bakgrund av det bland annat aviserat två propositioner inom PBL-området, plan- och byggområdet, under våren som avser regelförenklingar. Det handlar dels om propositionen <em>Nya steg för en effek</em><em></em><em>tivare plan- och bygglag och ökad rättssäkerhet för verksamhetsutövare vid omgivningsbuller</em>, dels om propositionen <em>En effektiv och rättssäker PBL-överprövning</em>.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag är övertygad om att det finns stora möjligheter att förenkla plan- och byggregelverket ytterligare, bland annat mot bakgrund av det arbete som pågår inom den parlamentariskt tillsatta Bostadsplaneringskommittén och den så kallade Planprocessutredningen. Därtill arbetar Boverket med flera olika uppdrag som syftar till att förenkla tillämpningen av regelverket. Det handlar bland annat om att undersöka om det går att minska kraven på bygglov. Det handlar också om att se över de så kallade avståndsreglerna för friggebodar och så kallade Attefallshus, men också om att bättre samordna regelverket kring avloppsanläggningar mellan miljöbalken och plan- och bygglagen. Utöver det utredningsarbete som redan pågår kan det finnas behov av ytterligare regelförenklingar. Inte minst handlar det om att förenkla administrationen för byggnadsnämnderna. Här menar jag att det bör vara möjligt att förenkla byggnadsnämndernas arbete genom exempelvis smarta lösningar som bygger på informationsteknik. Avslutningsvis vill jag understryka att det bästa sättet för att åstadkomma ytterligare regelförenklingar är att lyssna på dem som tillämpar reglerna. Det handlar om bostadsbolag, byggföretag, kommuner och våra myndigheter. Det är också där som kunskapen finns om vilka regler som utgör de verkliga hindren. Jag är angelägen om att föra en kontinuerlig dialog med berörda aktörer i syfte att identifiera behov av ytterligare regelförenklingar. "
"Mats Green","Herr talman! Jag har som framgått ställt en interpellation till bostadsminister Mehmet Kaplan mot bakgrund av de omfattande regelförändringar som den tidigare alliansregeringen genomförde. Det är en av de främsta anledningarna till att vi nu har det högsta bostadsbyggandet på flera decennier. Samtidigt, herr talman, är det ingen som kan vara nöjd med bara detta. Jag tror att det är viktigt att vi fortsätter den regelförenklingsresan om vi ska hantera nuvarande och framtida utmaningar på bostadsområdet. Herr talman! De partier som nu utgör regering, eller som utgör delar av det rödgröna regeringsunderlaget, motsatte sig samfällt eller var för sig nästan alla dessa regelförenklingar. Talartiden medger inte att jag går igenom alla dessa otaliga exempel. Men jag noterar att den nye bostadsministern numera påstår sig instämma i vikten av ett fortsatt regelförenklingsarbete när det gäller bostäder och byggande, även om det uttrycks i mycket otydliga ordalag. Eftersom konkreta förslag och besked från den nuvarande regeringen har lyst med sin frånvaro inom detta område, precis som när det gäller bostadspolitiken i stort, herr talman, har jag ställt frågan till bostadsministern: På vilket sätt, och inom vilka områden, kommer statsrådet att fortsätta arbetet med regelförenklingar inom bostadspolitiken? Jag får tacka bostadsministern för svaret. Jag vill också vara tydlig med att jag tycker att det är positivt att han numera säger sig ha kommit till insikt om vikten av regelförenklingar inom bostadspolitiken. Det är, som sagt var, avgörande att vi aldrig slår oss till ro i arbetet med att underlätta och stimulera bostadsbyggande i hela Sverige.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Sedan ska jag också vara ärlig med, herr talman, att bostadsministerns svar nästan helt saknar den konkretion jag efterlyste. Framför allt kanske det föranleder mer frågetecken i stället för att det rätar ut frågetecken. Bostadsministern hänvisar bland annat till att man aviserat två propositioner under våren, dels den om nya steg för en effektivare plan- och bygglag, dels propositionen<em> En effektiv och rättssäker PBL-överprövning</em>. Vad gäller den första propositionen kan jag konstatera att de dåvarande oppositionspartierna - S, MP och V, tillsammans med Sverigedemokraterna - förra våren avvisade viktiga delar i propositionen<em> En enklare planprocess</em>. Det handlade till exempel om att detaljplan ska kunna vara frivillig och kunna beslutas i nämnd och inte i fullmäktige, för att bara nämna något. Promemorian <em>Nya steg för en effektivare plan- och bygglag </em>handlar delvis om följdändringar i PBL som hade behövts om man inte hade röstat nej till att begränsa detaljplanekravet. Min fråga är då: Ska jag i övrigt tolka det som att regeringen avser att gå fram med de förslag som presenteras i promemorian? Det var min första fråga. Min andra fråga gäller den andra aviserade propositionen som bostadsministern hänvisar till: <em>En effektiv och rättssäker PBL-överprövning</em>. Utredningen kom fram till att länsstyrelsen ska strykas som överprövningsinstans för detaljplan och områdesbestämmelser. Det är något som vi applåderar, herr talman. Kommer regeringen att gå på utredningsförslaget? I dagens DN Debatt-artikel antyds detta. Jag tror att man ska komma ihåg att om man inte gör det blir det givetvis ingen regelförenkling över huvud taget. Och vad ska man då med en proposition till? Herr talman! Det bostadsministern hänvisar till är nästan alla utredningar och inriktningar som Alliansen slagit fast. Var ska de nya stegen tas? Har man inga egna tankar om möjligheter till förenklingar, nya utredningar eller nya förslag? Vi har presenterat en lång rad åtgärder, alltifrån mer flexibla bullerregler till förändrade kulturmiljökrav och regler för arkeologiska undersökningar för att underlätta byggande. Vi har lagt fram en lång rad förslag. Var är era? "
"Nina Lundström","Herr talman! Det är en mycket viktig interpellation som Mats Green ställt. När vi pratar om att förenkla planprocesserna och snabba upp processerna har det ibland saknats tydlighet från statsrådet kring om statsrådet delar den uppfattningen. Vad handlar debatten om egentligen? Jo, den handlar om att skapa förutsättningar för ökat bostadsbyggande. Det är många som i dag efterlyser ett ökat bostadsbyggande, och även om vi nu har rekordhöga siffror är det många, inte minst många ungdomar, som saknar bostad. Vi politiker kan här i Sveriges riksdag skapa förutsättningar. Det kan också regeringen göra. Då har jag ett par följdfrågor med anledning av det svar som statsrådet har gett på Mats Greens viktiga interpellation. Statsrådet säger att det handlar om att använda smart informationsteknik, tolkar jag det som, för att snabba upp beslutsprocesserna. Vad menar statsrådet med det? Det är min första fråga.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Sedan kommer min andra fråga. Statsrådet konstaterar att kunskapen finns hos bostadsbolag, byggföretag, kommuner och myndigheter. Men jag tycker att statsrådet har glömt några viktiga aktörer, och jag vill därför ha en kommentar om det. Varför finns exempelvis inte forskarna med? Och varför finns inte intresseorganisationerna med? Jag noterar bland annat att Hyresgästföreningen har Sveriges största databas vad gäller hyresstatistik. Då tycker jag att man måste lyssna på de organisationer som har mycket kunskap om hinder och förutsättningar. Det finns också ett stort engagemang här i riksdagen bland civilutskottets ledamöter, vilket jag vill framhålla. Min fråga är därför varför man utelämnar just forskarna och intresseorganisationerna. Jag har ytterligare en fråga. Det är om man skulle kunna följa upp varför det går så långsamt att bygga nya bostäder. Många av de aktörer som statsrådet nämner påtalar att det fortfarande tar för lång tid från idé till att fastigheten står färdig. I värsta fall kan det ta tio år - snittet är sex till nio år - innan huset står färdigt. Det är väldigt många som står och väntar på en bostad att flytta in i, och för många handlar det kanske om det första hemmet. När det gäller tioveckorsregeln för att komma vidare i planprocessen undrar jag om statsrådet avser att följa upp hur den fungerar. Det är någonting som framförs av många byggföretag och många i kommunerna. Beträffande nya riktlinjer för exploateringsavtalen, det vill säga vad man får ta betalt för när man ska bygga hus, brukar jag säga att det alltid ytterst är konsumenten som betalar. Om man ska bygga ett hus och anlägga en rondell, en förskola, en park och mycket annat är det alltid ytterst konsumenterna som betalar. Kommer statsrådet att följa upp hur dessa riktlinjer fungerar? Riktlinjerna för markanvisningar handlar om att man ska vara tydlig från kommunerna om hur man fördelar marken. Vi vet att det är viktigt för konkurrensen att många aktörer får tillgång till mark. Avser statsrådet att följa upp hur markanvisningarna och informationen om dem kommer att fungera framdeles? Slutligen vill jag framhålla frågan från forskarna och intresseorganisationerna som är viktig. Den här kunskapen finns nämligen ibland bara hos intresseorganisationerna, exempelvis frågan om vad det kostar att hyra en lägenhet. Den informationen ligger hos Hyresgästföreningen. Det har vi debatterat tidigare. Men även i detta sammanhang, när det gäller att förenkla, snabba på och undanröja hinder, är det en viktig konsumentfråga att få veta vad det kostar att hyra en bostad. "
"Mehmet Kaplan","Herr talman! Jag tackar Nina Lundström och Mats Green för deras inlägg. Det är naturligtvis en viktig fråga som Mats Green lyfter fram, nämligen frågan om fortsatta regelförenklingar inom bostadspolitiken. Jag ska ta upp ett antal av dessa aspekter. Mats Green tar upp instansordningen i flera frågor. Här finns ett problem sedan många år tillbaka. Från att ett bygglov ges till att det överklagas och till slut hamnar i och avgörs av Mark- och miljööverdomstolen har det passerat två instanser till, nämligen länsstyrelsen och mark- och miljödomstolen. Detta är någonting som jag har uppmärksammat, men jag är inte den första att uppmärksamma detta. Tidigare har det också förts på tal att man måste göra någonting åt detta. Även aktörerna - byggföretagen och intresseorganisationerna - har lyft fram denna fråga.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Därför finns det nu ett förslag som har gått ut på remiss, och remissvaren kommer att hamna hos mig framåt sommaren. Jag tror att det är i juni. Jag kommer naturligtvis, precis som sig bör, att gå igenom dessa remissvar och hitta en balans för att lägga fram ett förslag som faktiskt tjänar bostadsmarknaden väl. Problemet med den instansordning som vi har i dag är inte bristen på kompetens utan snarare tvärtom. Det finns väldigt mycket kompetens hos länsstyrelsen som handlar om regioner, områdesförhållanden och kontakter med de berörda och de myndigheter som finns på området. Problemet har snarare varit att det har tagit alldeles för lång tid från att länsstyrelsen får ett ärende till att de skickar det vidare. Därför har jag vid samråd med landshövdingarna, som jag träffade nyligen, tagit till mig uppgifterna om att det numera går lite fortare hos länsstyrelserna. Det är naturligtvis något som kommer att framföras även i remissvaren från länsstyrelserna. Men jag vill betona att detta inte är någon enkel fråga. I grunden handlar den nämligen om rättssäkerheten visavi de medborgare som känner att deras ärenden inte får hanteras lättvindigt. Jag finner att ett antal av Nina Lundströms frågor inte riktigt faller inom ramen för denna interpellationsdebatt. Men jag ska försöka svara på alla frågor ändå. En av frågorna handlade om smart informationsteknik. Nina Lundström undrade på vilket sätt detta används och vad jag menade. Som it-minister har jag stort intresse för och följer e-förvaltning, alltså hur myndigheterna använder digitaliseringen inom sina respektive områden. Vi vet att kommunerna har ett stort användningsområde här. Av de 290 kommunerna finns det för många som inte riktigt använder de geografiska informationssystemen på det sätt som Lantmäteriet med flera faktiskt har visat, nämligen tillämpningar som skulle göra det mycket enklare och effektivare att hantera den typen av frågor. Det är alltså det som menas med informationsteknik. När det gäller frågan om varför forskarna och intresseorganisationerna inte finns med i min uppräkning håller jag med Nina Lundström om att de borde finnas med. Det finns säkert ett antal andra aktörer också som borde finnas med. Men intresseorganisationerna och forskarna bör absolut finnas med. "
"Mats Green","Herr talman! Jag ska ta upp tre saker. Det första som jag vill ta upp handlar om länsstyrelsens roll och huruvida länsstyrelsen fortfarande ska vara instans. Jag noterar att statsrådet i dag har skrivit en debattartikel där han ändå antyder att han ser ett behov av en förändring. Men samtidigt börjar statsrådet som vanligt, om jag uttrycker det så, att i mycket allmänna ordalag nu till viss del ta avstånd i fråga om den förändringen. Det som man har efterfrågat, och det som framför allt utredningen kommit fram till, är att länsstyrelsen inte längre ska vara en överklagandeinstans. Jag skulle vilja ha ett ja eller nej på frågan: Kommer länsstyrelsen att vara kvar som överklagandeinstans i dessa ärenden?  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det andra som jag vill ta upp handlar om den tidigare propositionen om en enklare planprocess som riksdagen - Socialdemokraterna, Vänstern och Miljöpartiet med stöd av Sverigedemokraterna - avslog. När det gäller promemorian om en effektivare plan- och byggprocess, som nu uppenbarligen har lett fram till en proposition och som statsrådet hänvisar till, undrar jag: Vad ingår i den? Denna promemoria skrevs nämligen till stora delar innan den tidigare propositionen avslogs av riksdagen. Jag skulle vilja få lite mer konkretiserat vad som ingår i den, eftersom statsrådet hänvisar till den. Det tredje som jag slutligen vill ta upp gäller vad man har för egna tankar om behovet av att fortsätta den regelförenklingsresa som Alliansen påbörjade. Allt det som man hänvisar till är sådant som Alliansen har tagit initiativ till och där inriktningen också har slagits fast. Har regeringen några som helst egna tankar om hur detta ska kunna fortsätta? Vi har oerhört stora utmaningar i alla delar av vårt land, till exempel i Stockholmsregionen. Och har vi problem i Stockholmsregionen blir det naturligtvis problem för hela övriga landet. Vi har enorma proppar vad gäller bostadsmarknaden, och dessa måste vi lösa upp och framför allt ha förslag på hur vi kommer vidare. Vi har liknande problem i nästan hela övriga landet. Jag återkommer därför till huvudfrågan: Vad har regeringen för egna tankar om och förslag på hur vi kan fortsätta den regelförenklingsresa som Alliansen har påbörjat? Dessa frågor skulle jag vilja ha svar på. I synnerhet den första borde vara enkel att besvara eftersom jag där nöjer mig med ett ja eller ett nej. "
"Nina Lundström","Herr talman! Jag noterar att statsrådet menar att mina frågeställningar inte faller inom ramen för debatten om regelförenklingar. Jag hävdar att de gör det. Just informationstekniken var faktiskt någonting som statsrådet själv angav i sitt svar, och jag tackar för det svaret. Men jag utgår från att regelförenklingar handlar om att undanröja hinder för bostadsbyggandet. Det är så jag tolkar frågeställningen. Därför valde jag att räkna upp ett antal hinder som återkommer konstant.  Har man som aktör inte tillgång till mark kan man inte bygga. Om marken samlas hos några få aktörer är det några få aktörer som kan bygga. Därför fattade vi beslut om att öka transparensen genom att kommunerna skulle berätta hur de tänker fördela marken så att fler får tillgång till informationen och de små byggarna får tillgång till mark. Därför är frågan om mark verkligen är en fråga om att förenkla och undanröja hinder för att möjliggöra detta. Den andra frågan gällde tioveckorsregeln. Det handlar också om att man ska kunna komma igång med byggandet. Vi vet med oss att många kommuner begär in kompletteringar. Är det något vi borde följa upp är det hur den regeln fungerar, för den syftade till att snabba upp processen. Varför upplever då aktörerna som ska bygga att det fortfarande är problem med de tio veckorna? Det är en viktig fråga att följa upp. Följer man upp och ser att saker inte har blivit som man har tänkt sig kanske man kan vidta ytterligare åtgärder.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Den sista frågan handlade om intresseorganisationen Sabo, som har startat ett projekt med industriellt byggande. Deras kombohus möter mängder av problem ute i kommunerna. Kommer statsrådet att följa upp den typen av hinder också? Här finns det mycket kunskap som vi måste ta till vara, för allt syftar till att kanske inte agera blåslampa på kommunerna men underlätta för kommuner och andra aktörer att kunna bygga. "
"Ola Johansson","Herr talman! Jag tackar Mats Green för att frågan ställdes, minister Mehmet Kaplan för svaret och Nina Lundström för de kompletterande frågorna. Frågar man inte får man inga svar och får inte veta något. Oppositionen har ganska enträget ställt ett antal frågor till minister Mehmet Kaplan. Vi har fått svar på olika sätt - i dag även i en av våra stora dagstidningar. Det mesta som sägs och presenteras från ministern är sådant som initierades och påbörjades av oss i Alliansen under vår tid i regeringsställning. Det är inte så mycket nytt som har framkommit. Läser vi vad som står i tidningen i dag ser vi att är det inte hyllningar av de regelförenklingar som har gjorts tidigare som lyfts fram, utan det är krav på ytterligare stöd och stimulanser från statens sida i form av ekonomiska resurser. Det ser jag som en tydlig viljeriktning och en ändring av regeringens position. Jag noterar ändå att man säger att man vill fortsätta att snabba upp och förenkla byggprocesserna. Jag ser det som mycket positivt att det arbetet kommer att fortsätta. Ministern lyfter också fram Bostadsplaneringskommittén. De riksdagsledamöter som sitter med i den kommittén utför ett viktigt och angeläget arbete, men syftet är inte att regelförenkla. Syftet med Bostadsplaneringskommittén är att samordna kommunernas och regionernas insatser för att kunna åstadkomma en bättre regional planering där varje part tar sin del av bostadsförsörjningsansvaret och utbyggnaden av infrastruktur.  Mycket kan sägas om det arbetet. Det är viktigt, men jag tillåter mig att ifrågasätta om det i det korta perspektivet kommer att leda till några regelförenklingar. Det är snarare ytterligare en sak som kommer att behöva beaktas och hanteras i kommunernas planarbete. På sikt kommer det att ge ett bra resultat, men någon regelförenkling är det inte fråga om. Det är i varje fall min uppfattning. Vidare nämner Kaplan i ett stycke att det gäller att se över avståndsreglerna för friggebodar och Attefallshus och att samordna regelverket för avloppsanläggningar. Det är också positiva besked. Allt som räknas upp är dock sådant som framför allt miljöpartister tidigare har varit kritiska till i debatten och även motsatt sig i kammarens omröstningar. Jag ser det som en viktig markering från regeringens sida att man nu accepterar många av de regelförenklingar som man tidigare har varit kritisk till. Det är också positivt. Jag är lite nyfiken på vad ministern syftar på när han talar om att förenkla kommunernas planering genom administration och informationstekniska lösningar. Geografiska informationssystem, så kallade GIS-kartor, har använts under många år. De flesta kommuner är duktiga på att utveckla e-tjänster, inte minst när det gäller bygglovshantering. Jag önskar att få veta mer om vad ministern syftar på.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag är övertygad om att det kommuner och byggherrar frågar efter är enklare antagandeprocesser. Det handlar om möjligheten till delegering av beslut om detaljplaner till byggnadsnämnd och kommunstyrelse. Det handlar om möjligheten att göra avsteg från kravet att anta detaljplaner i kommunfullmäktige när så inte är nödvändigt. Det handlar också om möjligheten att göra avvikelser på redan antagna detaljplaner som nått genomförandetidens slut i syfte att kunna förtäta och bättre utnyttja redan antagna detaljplaner och redan bebyggda miljöer på ett sådant sätt att vi får plats med fler bostäder. En majoritet i kammaren sa tidigare nej till dessa förslag. Min förhoppning är att vi den 29 april kommer att ha en majoritet i kammaren för dessa förslag. "
"Fredrik Schulte","Herr talman! Vi är alla över blockgränserna överens om att fler bostäder är en prioriterad och angelägen fråga. Många människor står bostadslösa i tillväxtregionerna, vilket skadar svensk ekonomi. Det gäller särskilt Stockholmsregionen, och det gäller särskilt unga människor, som fastnar i att allt längre bo kvar hos sina föräldrar.  Det är inget nytt fenomen. De senaste 20-30 åren har Sverige legat efter i byggandet. I det avseendet är just regelkrångel, som vi nu debatterar, en central fråga. Den borgerliga alliansen jobbade mycket med denna fråga de sista åren vid makten. Men som tidigare debattörer har varit inne på verkar det som att den nuvarande regeringen med Mehmet Kaplan i spetsen har tappat tempo i denna fråga. Mehmet Kaplans resonemang och inlägg i diskussionerna handlar mycket om att underlätta för kommunerna. Det är kommunernas regeltyngd som ska plockas bort. Men om sanningen ska fram är kommunerna en stor del av problemet.  I min hemkommun skulle ett markområde bebyggas. Den tidigare kommunledningen var överens med markägaren om att det skulle byggas bostäder där. Markägaren skövlade området, som var en skog. Efter valet ändrades partimajoriteten, och då kunde man inte längre bygga eftersom ett parti i koalitionen satte käppar i hjulet. Nu har vi ett kalhygge utan något naturmervärde som är en självklar markplätt att bebygga. Men det går inte på grund av nimbysyndromet, not in my backyard, det vill säga väljargrupper som trycker på kommunledningen för att det inte ska byggas där. Det är ett genomgående problem som har drabbat särskilt Stockholmsregionen och som det är viktigt att komma till rätta med. Då räcker det inte att säga att vi måste lätta på regelbördan för kommunerna, för många gånger sitter problemen någon helt annanstans. Det är intressant att titta på hur många tomter det går att börja bebygga i Stockholmsregionen i dag. Det rör sig om ungefär 20 000 tomter, men ledtiderna för att på allvar öka byggtakten är långa, eftersom man måste genomgå de omfattande planprocesserna. Dessutom är många av dessa redan detaljplanelagda tomter i några av de stora byggbolagens ägo, och det finns inget starkt intresse för dem att på allvar sätta igång byggandet. En relativt högt uppsatt chef på ett av de stora byggbolagen uttryckte det som att man då förstör marknaden. Det finns alltså ett explicit intresse av att inte trycka ut för många bostäder, för man sitter på fina markplättar som man inte har någon konkurrens om.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Då behövs det regelförenklingar som gör att man kan få ut mark till försäljning och på allvar börja bygga bostäder. Det är tråkigt att ministern inte vill vara konkret med vad det är för åtgärder han vill vidta bortom att underlätta för den kommunala byråkratin. "
"Mehmet Kaplan","Fru talman! Tack till interpellanten och de övriga debattörerna! Det här handlar i grunden om två olika saker. Det ena är regelförenklingar inom bostadspolitiken, som interpellationen tar upp, och det andra är hur vi generellt jobbar med bostadspolitik. Jag ska försöka besvara ett antal av frågorna.  Nina Lundström påstår att jag skulle ha sagt att hennes frågor inte föll inom ramen för interpellationsdebatten. Jag sa att inte alla av dem gör det. Om jag räknade rätt ställde Nina Lundström sex frågor i sitt första anförande, eller till och med kanske sju, och alla var inte riktigt inom ramen för debatten. Men det är inte min sak att bedöma det, utan det gör talmännen. Mats Green ställde en ja- och nejfråga. Precis som Mats Green vet är det inte rimligt att jag skulle säga hur det ska vara när jag precis har remitterat ett förslag som över 100 remissinstanser ska inkomma med synpunkter på. Det är lite förmätet att begära det, och det vore också förmätet från min sida att proklamera hur det ska vara.  Förslaget som gäller instansordningen är nu ute på remiss. Förslagets inriktning är att länsstyrelserna är en instans som eventuellt skulle kunna tas bort. Men säg att vi får hundratals svar och att majoriteten av dem med adekvata formuleringar menar att länsstyrelserna inte bör tas bort, tycker då Mats Green att jag helt ska bortse från det? Det är ett mycket märkligt sätt att se på statsförvaltning och statsadministration. Då behöver vi ju inte remittera förslagen. Då kan vi anta förslaget rakt av. Det finns en orsak till att man remitterar. Nu är förslaget ute på remiss. I förslaget har jag skrivit vad regeringen tycker, och nu ska vi få svar på det.  Jag hoppas att detta är en ordning som vi är överens om. Det är så tidigare ministrar har gjort. De har inte kommit med förslag som inte är beredda, utan de har låtit remissinstanserna svara. Därför går det inte att svara ja eller nej på Mats Greens fråga, och det hoppas jag att han respekterar. Ola Johansson berörde Bostadsplaneringskommittén och att jag hade tagit upp den frågan. Jag är lite bekymrad över att Ola Johansson spelar ned Bostadsplaneringskommitténs betydelse. Det beror antingen på att den kommittén nu kanske inte riktigt kommer in på det spår som Ola Johansson och hans parti vill, eller så är det några andra orsaker. Du tog upp ett skäl, Ola Johansson. Du menade nämligen att den inte var inriktad mot regelförenklingar specifikt. Jag menar att kommittén med de direktiv den har är relativt vid i den bemärkelsen att den faktiskt kan komma fram till ytterligare ett antal områden som inte innefattas direkt av uppdraget. Jag har varit med i riksdagen i åtta år, och jag har sett många parlamentariska utredningar komma med olika typer av förslag som kanske inte ligger exakt inom det specifika området.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det är lite lustigt att både Nina Lundström och Ola Johansson hänger upp sig på min förhoppning att kommunerna bör kunna förenkla byggnadsnämndernas arbete genom exempelvis smarta informationsteknologiska lösningar. Detta är något som vi absolut kan debattera och diskutera, men det står bortom allt rimligt tvivel att det är ett område där fler kommuner kan bli bättre. "
"Mats Green","Fru talman! För det första: Man har inte en aktiv bostadspolitik bara för att man säger det eller skriver det. Fortfarande efterlyser vi konkreta förslag och åtgärder. För det andra: Om bostadsministern inte vill uttala sig om länsstyrelsernas roll, hänvisa då inte heller till den utredning som nu finns och som föreslår att länsstyrelserna inte längre ska vara överklagandeinstans. Kan man inte ge besked där, så hänvisa inte till just detta som exempel på hur man kan fortsätta regelförenklingsarbetet. Är man minister kan man inte nöja sig med att bara problematisera. Är man minister har man faktiskt ett ansvar att agera för att hantera de utmaningar man har inom sitt ansvarsområde. För det tredje: Var finns regeringens egna tankar om hur man kan driva detta vidare? Allt som man hänvisar till är ju den inriktning som den tidigare alliansregeringen hade och som samtliga rödgröna partier på något sätt alltid var emot. Återigen frågar jag: Var finns beskeden om förekomsten av en rödgrön bostadspolitik? Sluta ge allmänna, svepande svar på tydliga frågor! Börja leverera politik och besked! Det handlar om utmaningar för enskilda svenskar och för alla delar av Sverige. Besked efterlyses, fru talman! "
