"Närings- och innovationsmin. Mikael Damberg","Fru talman! Carl-Oskar Bohlin har i sin interpellation konstaterat att den nedlagda Entreprenörskapskommittén och utredningen Utveckling av innovations- och entreprenörskapsklimatet skiljer sig åt vad gäller uppdragen. Han skriver i interpellationen att uppdraget att se över om det finns strukturer eller andra företeelser eller regler i inkomstskattesystemet eller i regelverket för socialavgifter som motverkar entreprenörskap och företagande liksom uppdraget att utvärdera lägsta tillåtna gräns för aktiekapital för privata aktiebolag nu inte ingår. Mot bakgrund av detta har han frågat mig dels varför bland annat dessa direktiv strukits, dels om jag menar att dessa parametrar saknar betydelse för det svenska entreprenörskapsklimatet. Låt mig börja med den sista frågan. Utredningen har ett brett uppdrag som omfattar olika politikområden, men det finns också en mängd frågor som är relevanta för entreprenörskapsklimatet men som av praktiska och andra skäl inte kommer att hanteras av just denna utredning. Därmed inte sagt att de saknar betydelse. Vi har valt en annan inriktning dels för att vi vill ha mer fokus och snabbare resultat, dels för att vi organiserar arbetet annorlunda. När det gäller skattereglerna har utredningen i uppdrag att redogöra för hur beskattningen av entreprenörer och ägare av företag är utformad i ett urval av viktiga konkurrentländer. I övrigt bedöms det som lämpligare att se över aktuella skattefrågor i egna utredningar, eftersom förändringar på skatteområdet ofta är lagtekniskt komplicerade och kräver stor detaljkunskap inom respektive område. Regeringen beslutade även den 15 januari 2015 att ge ett utökat uppdrag till Utredningen om översyn av beskattningen vid ägarskiften i fåmansföretag. Utredningen ska, förutom att se över beskattningen vid ägarskiften, göra en större översyn av 3:12-regelverket. Det finns även sedan tidigare en utredning som ska se över skattereglerna för incitamentsprogram. Syftet med denna är att åstadkomma konkurrenskraftiga regler för att öka möjligheterna att attrahera och behålla nyckelkompetens. När det gäller aktiekapitalets storlek är det för närvarande inte aktuellt att se över frågan. Nya, kunskapsintensiva och växande företag är viktiga för jobb- och värdeskapande. Därför måste det bli enklare att starta och driva företag och att kunna växa genom att investera, anställa fler eller exportera. Det ställer krav på internationellt konkurrenskraftiga ramvillkor, väl fungerande och effektiva stödsystem, väl fungerande samverkan mellan till exempel universitet, institut och näringsliv, matchning mellan entreprenörer och idéer samt rörlighet mellan sektorer och branscher. Detta är områden som den särskilde utredaren ska titta närmare på. ","S"
"Carl-Oskar Bohlin","Fru talman! Jag tackar näringsministern för svaret. Att lägga ned en utredning med ett flertal konkreta utredningsuppdrag för förbättring av entreprenörskapsklimatet och sedan tillsätta en ny utredning som man i huvudsak fyller med luft, ge den ungefär samma namn och hoppas på att ingen ställer några följdfrågor är möjligen en smart politisk strategi. Jag tog mig dock tiden att läsa de kommittédirektiv ni gav den nya utredningen och kan konstatera följande: I stället för att på djupet utreda hinder i det svenska skattesystemet som riskerar att skapa problem för entreprenörskap i Sverige väljer man att bara göra en komparativ studie och titta på hur skattesystemet ser ut i andra delar av världen. Det är jättebra - om man samtidigt förenar det uppdraget med att ta till sig av lärdomarna och tillämpa det man finner utomlands i det svenska skattesystemet. Ni har dock helt strukit uppdraget att utvärdera det svenska inkomstskattesystemet. I den delen blir en komparativ studie närmast meningslös. Jag har lite svårt att förstå hur näringsministern resonerar. Han säger att man inte kan utreda det här på Näringsdepartementet för att kompetensen saknas och att detta bör göras av någon som har den specifika kompetensen att utreda skattefrågorna. Men den tidigare utredningen, som näringsministern var med och lade ned, låg på Finansdepartementet. Det näringsministern gör, fru talman, är att säga att man lägger ned den utredning som ligger under Finansdepartementet och sedan säga att man inte längre kan utreda detta eftersom utredningen nu ligger under ministerns eget departement, Näringsdepartementet. Det är ett ganska märkligt cirkelresonemang som i slutändan riskerar att drabba Sveriges entreprenörer. Jag vet inte om näringsministern själv har varit med och utformat sitt interpellationssvar, men jag måste ändå ställa frågan, fru talman: Hur menar näringsministern att vi får ett snabbare resultat i den här frågan, vilket ministern nyss sa i sitt svar, när man väljer att sparka en utredning, som redan börjat arbeta med tydliga direktiv, för att sedan tillsätta en ny ensamutredare som man ger längre tid? Man flyttar alltså fram datumet för när utredningen ska vara presenterad. Hur menar näringsministern att vi får snabbare resultat på det sättet? Vad gäller frågan om sänkningen av aktiekapitalet har det i flera utredningar redan konstaterats att detta är den kanske viktigaste tröskeln att sänka för att låta fler människor kunna starta företag i det här landet. I dag fyller kravet om 50 000 kronor för start av aktiebolag en väldigt liten funktion som borgenärsskydd, vilket traditionellt har ansetts vara argumentet för detta. I dag utgör detta i stort sett bara en tröskel för människor som vill starta och driva företag. Hur kommer det sig att näringsministern inte ens vill titta på den här frågan, som har bedömts vara så viktig för att ge möjligheter för fler att starta och driva nya företag? ","M"
"Finn Bengtsson","Fru talman! Tack, Carl-Oskar Bohlin, för en viktig interpellation om hur klimatet för entreprenörskap i Sverige verkligen ser ut och bedöms. Tack, statsrådet, för svaret på interpellationen, som handlade om en specifik utredning med detta tema. Jag hörde svaret från statsrådet. Statsrådet säger: \"Nya, kunskapsintensiva och växande företag är viktiga för jobb och värdeskapande. Därför måste det bli enklare att starta och driva företag, att kunna växa genom att investera, anställa fler eller exportera.\" Det är kloka ord, Mikael Damberg. Men jag måste samtidigt i denna tidsanda ställa en fråga om en annan sektor och en annan utredning som görs parallellt med den som diskuteras i interpellationen och som jag bedömer har precis det motsatta syftet. Det handlar om den utredning som ska bedöma vinstmöjligheterna inom servicesektorn i välfärdens kärna. Det är en utredning som har tagits fram trots att alliansregeringen redan har genomfört en så kallad ägarprövningsutredning där det finns konkreta förslag till hur man i detta fall kan balansera marknaden. Den nya utredningen som nu har aviserats innehåller direkt konträra synpunkter till det som näringsministern beskriver i sitt svar. Tidigare var det tänkt att utredningen skulle komma kanske någon gång under början av 2016 för att regeringen skulle komma med en proposition inom den servicesektor som det nu handlar om där det finns ett entreprenörskap som har börjat gry. Genom det nya förslaget till utredning kommer man att avleverera svaret först i november 2016 med möjlighet till beslut från regeringen kanske 2017. Vad tror näringsministern att detta skapar för klimat för entreprenörer inom välfärdens kärna? Tror ni att det finns någon som vill investera i nya kunskapsintensiva och växande företag eller någon som vågar anställa människor att arbeta och skapa värden i någonting där man kanske kommer att förbjuda vinstuttag över huvud taget? Det måste därför bli enklare att starta och driva företag, att kunna växa genom att investera och anställa fler eller exportera, säger näringsministern i svaret på denna interpellation. Men det klingar falskt när man samtidigt håller på att skära bort en ny sektor inom välfärdens kärna som har börjat att just växa, anställa fler och kanske kunna vara med och bidra på ett intressant sätt till utvecklingen av vårt välstånd i Sverige. Jag skulle därför vilja att näringsministern presenterar hur han ser på den utredning som hans regeringskollega Ardalan Shekarabi med stöd av Miljöpartiet men även Vänsterpartiet nu skickar ut på en utredningsrunda som gör att det, som jag bedömer det, inte kommer att finnas en investeringsvilja i denna sektor över huvud taget och hur man kan få det att skorra så falskt i förhållande till dessa kloka uttalanden i detta interpellationssvar. ","M"
"Närings- och innovationsmin. Mikael Damberg","Fru talman! Tack, Carl-Oskar Bohlin, för interpellationen och inläggen i debatten än så länge. De första anförandena som handlar så tydligt om skatter blir ändå lite symtomatiska. För Moderaterna var det tydligt i förra regeringen att all näringspolitik stavades skatter. Det var det som skulle lösa våra problem med kunskapsresultaten i skolan, den fallande konkurrenskraften och den tappade förmågan att vara längst fram när det gäller innovation och att omvandla forskningsresultat till innovationer. Allting stavades skatter. Den gemensamma nämnaren för den borgerliga regeringens näringslivspolitik var att den stavades skattesänkningar. Med ett resultat på 400 000 arbetslösa och en svagare internationell konkurrenskraft efter åtta borgerliga regeringsår måste man ändå dra slutsatsen att det receptet inte funkade fullt ut hela vägen. Nu diskuterar vi: Hur stärker man företagens innovationskraft och entreprenörskap? Hur underlättar man för fler företag att ta sig ut på en världsmarknad där de klarar både konkurrensen och orkar med att ta steget? Det är fler frågor som måste diskuteras än bara skattefrågorna. Det är relevant att titta på konkurrentländer. Har de gjort någonting spännande i sina skattesystem som förstärker entreprenörskapet och skapar en kultur där nya idéer växer fram snabbare än i andra länder är det intressant att titta på det. Det är just därför som Entreprenörskapsutredningen har fått uppdraget att titta på relevanta konkurrentländer. När man tittar på vad som egentligen gör att företag växer och kan anställa är det när företagen har en efterfrågan på sina produkter. Det handlar om att de har en ny vara, produkt eller tjänst, som de kan sälja som ingen annan har som gör att det skapar ökad efterfrågan, eller om de möter en ny marknad, slår sig in på marknaden, tar nya marknadsandelar eller växer internationellt. Detta fokus har regeringen på vår näringslivspolitik. Vi måste ha fokus på det som faktiskt gör skillnad. Entreprenörskapsutredningens nya uppdrag ska ses i ljuset av det. Det är kunskap och förmågan att omvandla den till varor och tjänster som bygger Sveriges konkurrenskraft. Därför har vi ett väldigt stort fokus i uppdraget till Entreprenörskapsutredningen att se: Hur kan vi göra detta ännu bättre i Sverige? Vi tittar också över ramvillkoren. Ramvillkor påverkar förutsättningar för entreprenörskap, innovation och omsättningsförmåga. Vi säger att utredningen ska komma med förslag på de områdena. Det är egentligen ett bredare uppdrag än tidigare. Det handlar också om en översyn av vissa regler för företagsrekonstruktion. Det är samma uppdrag som tidigare. Det är samverkan när det gäller kunskapsöverföring. Det får ett ökat utrymme i utredningen. Det är kommersialisering och nyttiggörande av forskningsresultat. Det får ett större utrymme i utredningen. Varför då? Jo, därför att Sverige har ett historiskt problem. Vi gör väldigt stora inputsatsningar på forskning och innovation medan vår output inte är lika kraftfull. När vi jämför med andra länder är det andra länder som till och med gör mindre satsningar på forskning och utveckling än Sverige men som ändå får ut mer av sina system. Vi vill att Entreprenörskapsutredningen ska titta på hur vi kan ytterligare bli bättre på detta. Den ska se till hinder och rörligheter mellan olika sektorer. Det är ett område som OECD pekar ut som viktigt för Sverige att utveckla om vi ska jobba med entreprenörskap. Det är några exempel på nya inriktningar på Entreprenörskapsutredningen. Varför kan jag då säga att det kan ske snabbare? Jo, därför att vi säger att den ska återrapportera redan innan arbetet med propositionen om forskning, innovation och den högre utbildningen är klar. Vi får det inspelet från entreprenörskapsforumet till forsknings- och innovationspropositionen. Vi vill ha det underlaget när vi gör den propositionen. Det är därför vi har lagt upp uppdraget med en delredovisning om de områden som är viktiga för forsknings- och innovationspolitiken. ","S"
"Carl-Oskar Bohlin","Fru talman! Det är klart att frågan är bredare än bara ett skatterättsligt perspektiv. Det är just därför jag är så besviken över att se hur man har skrotat flertalet bra, konkreta kommittédirektiv för den nya utredningen i jämförelse med för den gamla. Låt mig ta några exempel för att försöka synliggöra avsaknaden på konkretion i regeringens nya kommittédirektiv. I de tidigare direktiven fanns bland annat med att den skulle utföra en analys med anledning av Världsbankens granskning av det svenska företagsklimatet, kartlägga det svenska innovationsstödet, utvärdera sammanslagningen av Almi och Innovationsbron och hitta problem och kilar i det svenska inkomstskattesystemet som drabbar entreprenörer. Dessa direktiv har nu bytts ut mot till exempel: analysera och lämna förslag på hur man kan förbättra möjligheterna att utveckla lösningar på samhällsutmaningar genom innovation och entreprenörskap. Fru talman! Jag måste fråga näringsministern: Vad betyder det i konkreta termer? Precis som jag poängterade tidigare är det viktigt att göra en internationell utblick och se hur det ser ut i andra länder. Problemet är bara att ni inte tänker göra någonting med det. Den utredare ni har tillsatt har inte uppdraget att se över det svenska skatteregelverket i jämförelse med hur det ser ut i andra länder. Uppdraget är bara: Redogör för hur det ser ut på andra håll runt om i världen. Det direktiv ni tog bort var att de facto gå in och penetrera det svenska regelverket och se: Hur ser det ut? Återkom med konkreta förslag, och återkom med författningsförslag och regeländringsförslag. Den nya kommittén saknar helt det uppdraget. Det är skillnaden, Mikael Damberg, mellan den tidigare regeringens konkreta ambition att förbättra entreprenörskapsklimatet i Sverige och den nya regeringens reptrick. Man lägger ned en utredning med konkreta direktiv. Man tillsätter en ny utredning som man förvisso har den goda smaken att ge samma namn men som man fyller med i huvudsak luft. Väldigt få av de direktiv som finns med i er nya utredning innebär någonting konkret. Näringsministern får gärna svara mig på vad det konkret innebär att analysera och lämna förslag på hur man kan förbättra möjligheterna att utveckla lösningar på samhällsutmaningar genom innovation och entreprenörskap. Han får gärna också, för den delen, lämna förslag på hur utvecklingen av affärsmodeller inom cirkulär ekonomi kan underlättas. Detta får näringsministern gärna återkomma till. ","M"
"Finn Bengtsson","Fru talman! Regeringens politik måste hålla ihop på alla plan. Interpellationen handlar om ett förbättrat klimat för entreprenörskap speglat i entreprenörskapsutredningar. Jag delar mycket av den kritik som Carl-Oskar Bohlin lyfter fram här och ifrågasättandet av att man verkligen vill värna entreprenörskapet. Carl-Oskar Bohlin säger att regeringen här gör ett reptrick. Min fråga i mitt förra inlägg bevärdigas dock inte ens med ett svar från näringsministern. Det har lagts en strypsnara om den verksamhet som bedrivs i välfärdens kärna. Där har man ett entreprenörskap som har börjat gro och växa. Det är någonting som regeringen värnar, precis som näringsminister säger i svaret på interpellationen. Men jag sa att just det utredningsförslag som nu har lämnats med stöd av Vänsterpartiet kommer att göra att hela denna sektor kommer att dö. Det kommer inte att finnas någon investeringsvilja över huvud taget förrän tidigast 2017. Är det på det sättet som man vill att entreprenörskap ska lyftas fram? Och varför skulle i så fall denna sektor vara undantagen möjligheterna att få entreprenörstöd? Man får lov att ge entreprenörer som bygger skolor och vårdcentraler stöd, men man får inte lov att ge entreprenörer som bedriver verksamhet i dessa byggnader något stöd. Här ska det stoppas genom att ta bort alla möjligheter till vinstuttag. Det är vad man har varslat om att utredningen parallellt ska komma fram till. Jag vill ställa frågan till näringsministern om hur man inom Regeringskansliet med regeringskollegerna har resonerat om två så disparata ambitioner. Det gäller dels de ambitioner som Entreprenörskapsutredningen i sig har, dels det som utredningen om stopp för vinster i välfärden aviserar gentemot den viktiga servicesektor som nu har gått helt i stå. ","M"
"Fredrik Schulte","Fru talman! Näringsministern står här och säger att i Moderaternas och Alliansens värld är det bara sänkta skatter som är relevant. Men faktum är det egentligen bara är i Socialdemokraternas retorik och beskrivning av Moderaterna och Alliansen som skatter är det enda relevanta. Jag kan säga det rakt ut: Skatter är inte den viktigaste faktorn när det gäller vad som avgör en bra näringspolitik. Det är väsentligt viktigare att ha en fungerande rättsstat. Att ha ett transparent regelverk och en fungerande offentlig apparat som inte skapar byråkrati och som på olika sätt skadar näringslivet är väsentligt mer centrala frågeställningar för att ha ett fungerande näringsliv. Men skatterna kommer ganska högt upp på listan över faktorer som påverkar näringsklimatet. Saken är den att vi är ganska överens i den här kammaren om att vi ska ha en rättsstat, att vi ska ha låg korruption, att vi ska ha transparenta regelverk och att vi ska ha en byråkrati som inte skadar näringslivet. Det gör att i ett så pass väl fungerande land som Sverige spelar skatterna stor roll. Men det är inte det enda. Om man tittar på Alliansens politik ser man att vi under de åtta år vi styrde hade en bred palett av olika frågor där vi adresserade villkoren för att bedriva näringsverksamhet i det här landet. Det handlar inte minst om regelkrångel. Låt oss titta på vad resultatet av den politiken är. Jag har en liten graf här i mobiltelefonen. Tyvärr kan jag inte visa den för tv-tittarna eller för någon av åhörarna här. Men om man tittar på hur Sverige rankas i Global Innovation Index mellan 2004 och 2014 ser man att vi under den tidigare socialdemokratiska regeringens tid gick från plats 12, medelbra i västvärlden, till plats 3. Enligt EU-kommissionens Innovation Union Scoreboard 2014 leder Sverige, och betraktas som det mest innovativa landet i västvärlden. Retoriken går alltså inte riktigt ihop. En annan punkt där retoriken från ministern inte riktigt går ihop gäller hur Mikael Damberg å ena sidan sitter och argumenterar för att vi ska se över skattereglerna, å andra sidan verkar argumentera för att skattereglerna inte spelar någon som helst roll. Kan vi inte få ett rakt och tydligt svar? Menar Mikael Damberg att skatterna har någon som helst inverkan på näringsklimatet? Kan vi inte få ett tydligt och klart besked här? Jag har försökt ställa denna fråga till finansministern upprepade gånger utan att vara särskilt framgångsrik med att få ett svar. Frågan är viktig. Mikael Damberg säger att man kommer att se över skattereglerna för företagen. Bland annat nämner han 3:12-regelverken. Men det intressanta är att i alla andra sammanhang har Socialdemokraterna velat ha ett mer restriktivt 3:12-regelverk. Man har talat om att man ska ta bort 20-procentsregeln och höja den till 30 procent. Man vill se över löneunderlagsregeln för att man tycker att det har blivit för generöst. Är detta också bara nyspråk? Man säger att man ska se över skatterna, men när man sedan gör det vill man bara skärpa dem och göra dem ännu sämre. Det är ganska många saker som Mikael Damberg har att reda ut. Jag ser fram emot svaren. ","M"
"Närings- och innovationsmin. Mikael Damberg","Fru talman! Jag vet att Moderaterna är väldigt intresserade av skatter. Därför ansträngde jag mig att skriva om skatter i svaret, så att ni inte skulle bli besvikna på våra svar. I svaret står att vi tittar över skattesystemet när det gäller ägarskiften, optionsfrågan, som jag vet engagerar stora delar av svenskt näringsliv, och frågan om hur man kan rekrytera kompetent arbetskraft i nystartade bolag. Däremot blir det roligt när man först säger att skatterna inte är det viktiga för Moderaterna och sedan ramlar tillbaka till att det var det som var viktigt i alla fall och att det inte fanns någonting annat. Vi har lite olika syn på detta. Jag förstår att skattesystem är viktigt och att vi måste ha konkurrenskraftiga ramvillkor i Sverige för att bedriva näringspolitik. Men det kan inte vara hela inriktningen på politiken. Om man tittar på den förra entreprenörskapsutredningen ser man att det var en väldig tonvikt på detta. Det resulterade i att det bland utredarna och den grupp människor som engagerade sig i arbetet inte fanns jättemånga entreprenörer, om jag får säga så. Pontus Braunerhjelm, som ledde arbetet då och som gör det nu, är densamme. Men det vi har gjort med den nya utredningen är att tillföra en lång rad entreprenörer som kommer att bistå i arbetet för att sätta sina perspektiv på vad det är som begränsar entreprenörskapet i Sverige. Tyvärr har vi inte heller riktigt samma bild av Sveriges ställning i världen. Det är korrekt om man räknar inputvärden på hur innovativa vi är. Då kommer Sverige i topp. Men om man tittar på leveranspunkterna i jämförelserna hamnar vi ganska medelmåttigt. Det är en diskussion som inte är helt ny i Sverige. Vi har haft en diskussion om den svenska paradoxen, som innebär att vi satsar mycket på forskning, utbildning och kunskap, men vi får inte ut lika mycket av innovationssystemet. När vi tittar på vad vi vill sätta fokus på vill vi ha entreprenörerna med och delaktiga i arbetet för att Pontus Braunerhjelm ska kunna lägga fram förslag redan till propositionen om forskning, innovation och högre utbildning. Vi vill ha dem med för att man ska kunna påverka arbetet, få snabbare resultat och göra mer verkstad. Det andra är att vi sätter ett väldigt fokus just på kunskap, överföring och rörlighet mellan akademi och näringsliv, kommersialisering och nyttogörande. Det är där vi vet att vi har haft problem med den svenska paradoxen, och det är där vi behöver fler bra svar vid sidan av satsningar på forskning och utbildning, som denna regering står för i större omfattning än vad den tidigare regeringen har gjort. Det är klart att vi nu gör ett skifte i näringspolitiken där vi blir mer engagerade, där näringspolitiken får mer muskler och där näringspolitiken kopplar sig tydligare till handelsfrågorna och exportfrågorna. Det handlar om kopplingen till hur vi ska kunna få konkurrera längre upp i värdekedjorna genom kunskap och kompetens. Det är därför denna regerings budget är så fokuserad på utbildningssatsningar. Långsiktigt tror vi att det är det som avgör Sveriges konkurrenskraft globalt sett. Jag har fått frågor om en annan utredning, och de kanske lämpar sig bättre för en annan debatt. Men jag kan säga att jag inte alls är oroad för de företag som är innovativa i välfärdssektorn, som har hög kvalitet och som levererar. Däremot har det varit problem med - och det tror jag att borgerliga partier nu för tiden erkänner - en naiv syn, som Jan Björklund brukar beteckna det, på vilka krav som ställs på de privata företag som agerar på välfärdsmarknaden. Det är viktigt för oss att ställa tuffare krav på kvalitet, att ha tydligare uppföljning och att ha öppenhet i redovisningen av ekonomin så att skattebetalarna vet att skattebetalarnas pengar så långt som möjligt går till det som de är tänkta för. Det gynnar entreprenörskap långsiktigt att jobba med kvalitet i verksamheten, inte bara som en del avvikande aktörer har gjort - inte den stora majoriteten - nämligen utnyttjat systemet och skapat en negativ debatt om privata och fristående alternativ i välfärden. ","S"
"Carl-Oskar Bohlin","Fru talman! Jag vet inte om Mikael Damberg bemödade sig att läsa kommittédirektiven för den tidigare utredningen eftersom han i talarstolen säger att det lades en tonvikt vid enbart skatter. Ett av nio direktiv, fru talman, i den tidigare utredningen handlade om skatter. Övriga åtta direktiv gällde konkreta åtgärder på andra problem som lägger hinder i vägen för entreprenörskap i Sverige. Så är det. Eftersom Mikael Damberg inte ville svara på mina tidigare frågor om vad målen faktiskt betyder vill jag ändå ställa en fråga till honom. Han säger att man inte bör titta på skattefrågan i utredningen därför att den frågan utreds bäst av folk som har kompetens för den i en annan utredning. Men varför valde man att lägga ned den utredning som hade sitt säte på Finansdepartementet och som uppenbart hade kompetens att utreda frågan, för att sedan tillsätta en ny utredning som man menar inte har kompetens att utreda frågan? Det är ett mycket märkligt cirkelresonemang som inte är logiskt för fem öre. Näringsministern får gärna svara på frågan om varför. Vad menar han när han säger att han vill ha snabbare resultat? Den tidigare utredningen skulle presenteras i augusti medan den nyss tillsatta utredningen ska presenteras först i oktober. Vilken månad kommer först i den gregorianska kalendern, Mikael Damberg? ","M"
"Fredrik Schulte","Fru talman! Låt mig ta upp frågan om vinster i välfärden. Jag håller till hundra procent med Mikael Damberg om att det är ett uppenbart problem. Men det är tråkigt att regeringen valde att söka stöd hos Vänsterpartiet, som vill eliminera alla privata aktörer inom välfärden, och inte tydde sig till Alliansen för att föra en diskussion med oss. Carl-Oskar Bohlin tydliggör problemet väl. Nu försöker Mikael Damberg markera att Alliansens utredning bara skulle handla om skatter. Jag tycker att Carl-Oskar Bohlin redogjorde tydligt för att det var bara en åttondel av de direktiv som hade utställts. Oavsett vad; om en för stor tonvikt vid skatter är ett problem är inte lösningen att inte ha någon inriktning över huvud taget. Jag håller med näringsministern om att frågan om den faktiska outputen är ett problem och en utmaning. Det här är en annan fråga som jag får återkomma till i en annan interpellation till näringsministern, men jag tror att det i mycket handlar om att Sverige har ett unikt regelverk som innebär att forskare får 100 procent av patenträtten på sina uppfinningar och att företag som gör investeringarna får 0 procent. Det är ett hack som gör att innovationer inte resulterar i faktiska produkter. Det är intressant hur näringsministern undviker frågeställningarna om 3:12-regelverket. Man säger att de ska utredas, men i själva verket vet vi från andra sammanhang att Socialdemokraterna tycker att 3:12-regelverket är för generöst. Argumentationen går inte ihop. ","M"
