"Annika Strandhäll","Herr talman! Johan Forssell har frågat mig när jag avser att påbörja och slutföra det nödvändiga lagstiftningsarbete som krävs för att riksdagens beslut om förstärkt jämställdhetsbonus ska verkställas. Tina Ghasemi har frågat mig hur jag och regeringen avser att tillgodose tillkännagivandet från riksdagen om den förstärkta jämställdhetsbonusen. Regeringen beskrev i budgetpropositionen sin syn på jämställdhetsbonusen, det vill säga att den inte har haft avsedd effekt på fördelningen av föräldrapenning mellan män och kvinnor. De utvärderingar som har gjorts indikerar att bonusen inte har påverkat hur föräldrarna fördelar föräldrapenningen mellan sig. Trots att bonusen funnits sedan 2008 har många föräldrar fortfarande mycket låga kunskaper om bonusen. Regeringen anser att avgörande steg behöver tas för att uppnå ett mer jämställt nyttjande av föräldrapenningen. Barns rätt till båda sina föräldrar måste stärkas. Sedan tidigare har reserverade månader i föräldrapenningen haft positiva effekter på mäns uttag av föräldrapenningen. Regeringen vill därför att ytterligare en månad av föräldrapenningen ska reserveras för vardera föräldern för att på så sätt stimulera ett mer delat ansvar för barnen. Riksdagen har i december 2014 beslutat om ett tillkännagivande om att förstärka jämställdhetsbonusen. Regeringskansliet bereder frågan. ","S"
"Johan Forssell","Herr talman! Jag vill inledningsvis tacka statsrådet för svaret. Jag ställde den här interpellationen redan den 9 februari, alltså för lite drygt en månad sedan. Svaret har blivit fördröjt, men bättre sent än aldrig, naturligtvis. Kanske är det lite av en ödets ironi att interpellationen berör en fråga kantad av dröjsmål, nämligen förstärkningen av den jämställdhetsbonus som riksdagen fattade beslut om i början av december när Alliansens budget gick igenom. Vi står här i dag, tre månader senare, och regeringen har fortfarande inte överlämnat någon proposition eller sagt när man tänker överlämna en sådan. Man har inte ens sagt huruvida man tänker göra det eller inte. Jag vill gärna förtydliga en sak i debatten: Den här interpellationen handlar inte om antalet pappamånader. Den handlar egentligen inte ens om vad regeringen har för uppfattning i sak om jämställdhetsbonusen, för det känner vi till sedan länge. Nej, den här debatten handlar om enda sak: När tänker regeringen genomföra det nödvändiga lagstiftningsarbete som krävs för att riksdagens beslut om förstärkt jämställdhetsbonus ska verkställas? Jag hoppas att den här debatten kan fokusera på den viktiga sakfrågan. Herr talman! En utgångspunkt för vårt parlamentariska system är att regeringen så långt det bara är möjligt och med den skyndsamhet som respektive beslut kräver ska tillgodose riksdagens tillkännagivanden. Det är ingen nyhet, utan det är en fastlagd praxis sedan åtminstone någon gång på 90-talet. En del tillkännagivanden kan ta tid att hantera. Det kan vara komplicerad materia att titta på; det kan vara ett omfattande utredningsarbete som krävs. Det kan ibland vara så att lagstiftningar står mot varandra. Då behöver man en viss beredningstid. Å andra sidan kan det ibland vara väldigt enkelt att tillgodose riksdagens tillkännagivanden - till exempel i det här fallet. Det är ingen omfattande ny reform som riksdagen har bett om, utan det är en existerande reform som har funnits ända sedan 2008. Det är en ändring som i och för sig är viktig för väldigt många föräldrar och familjer där ute men som egentligen är av teknisk karaktär. Det borde faktiskt inte vara någonting som ska behöva dra ut på tiden så här länge. Jag blir faktiskt lite oroad över hur regeringen ska kunna få saker gjorda med tanke på att det finns gott om frågor som är betydligt mer komplicerade än denna och kräver mer utredningsarbete. Varför är då detta viktigt? Jo, först och främst för att jämställdhetsbonusen förra året betalades ut till 230 000 personer. Många av dem skulle med den här förstärkningen få högre bonus och därmed ha starkare ekonomiska incitament för att dela mer lika på föräldrapenningen. För det andra har riksdagen genom budgetbeslutet i december valt att avsätta resurser från och med den 1 januari i år. Pengarna finns alltså redan där. Det finns risk att de blir innestående om inte regeringen verkställer beslutet. Det är därför som det här tillkännagivandet inte går att jämföra med många andra. Det här är inte någonting att se över, återkomma om eller utveckla, utan det är ett skarpt tillkännagivande som syftar till en reform som det redan finns finansiering för. Herr talman! Mot bakgrund av svaret ställer jag fortfarande den fråga som jag inte tycker har besvarats, nämligen när regeringen tänker verkställa det som riksdagen har beslutat om. Jag måste också fråga: Vad är det egentligen som tar så lång tid för regeringen att man efter tre månaders arbete inte ens har lyckats avisera en proposition i frågan? Vad är det för komplicerade juridiska överväganden eller svårartade tekniska problem som upptar så mycket av regeringens tid? Jag hoppas att socialförsäkringsministern vill ta tillfället i akt att berätta om detta. ","M"
"Tina Ghasemi","Herr talman! Jag vill inleda med att tacka Annika Strandhäll för svaret men också med att vara tydlig. Den här interpellationen, eller de här två interpellationerna, handlar varken om en tredje öronmärkt månad eller om vad regeringen tycker i sak om jämställdhetsbonusen. Det råder det nämligen inte så stort tvivel om; det är rätt välkänt sedan tidigare. Frågan handlar snarare om när regeringen tänker överlämna en proposition om en förstärkt jämställdhetsbonus och verkställa riksdagens fattade beslut. Det har nu gått tre månader sedan en majoritet i riksdagen röstade för en förstärkt jämställdhetsbonus. I Strandhälls svar framkommer att frågan just nu bereds i Regeringskansliet. Det regeringen behöver genomföra är en mindre, okomplicerad ändring av lagstiftningen. Att ärendet fortfarande bereds efter snart tre månader tycker jag är rätt anmärkningsvärt. Vad är det egentligen som tar så lång tid för regeringen att bereda? För att ta ett jämförande exempel: Den särskilda nedsättningen av arbetsgivaravgifterna för unga som riksdagen också biföll i december - samma dag som jämställdhetsbonusen - valde regeringen att överlämna en proposition om redan i januari. Frågan är varför regeringen dröjer med att verkställa riksdagens beslut om just jämställdhetsbonusen när man har hunnit bereda andra beslut som är tagna vid samma tidpunkt. Låt mig kort få ta bakgrunden. Vi vet att kvinnor tar ut huvuddelen av föräldraledigheten, att de tar ett större ansvar för hemarbetet och att många också går ned i arbetstid. Detta får såklart negativa konsekvenser för lönen och för kompetens- och karriärutvecklingen men också för den framtida pensionen. Genom jobbskatteavdraget, som gynnar kvinnor mer än män, genom RUT-avdraget och genom rekordstora jämställdhetssatsningar på nästan 2,6 miljarder sedan 2006 nådde vi under alliansregeringens tid konkreta resultat för jämställdheten. Vi vill såklart fortsätta bidra till jämställdhetsarbetet. I höstas föreslog vi därför en förstärkning av bonusen för att öka mäns och kvinnors drivkrafter att fördela föräldrapenningen mer jämlikt. I december valde riksdagen att ställa sig bakom Alliansens förslag. Trots att riksdagen fattade beslut för tre månader sedan har ingenting hänt. Jag har tidigare ställt en skriftlig fråga till socialförsäkringsministern där jag önskat svar på när regeringen avser att påbörja och slutföra det arbete som det innebär att få igenom den lagstiftning som krävs. I svaret säger socialförsäkringsministern att riksdagens tillkännagivande vägs in i Regeringskansliets beredning av frågan men att regeringen ännu inte har fattat beslut. Samma svar får vi nu i denna debatt. Herr talman! Enligt den konstitutionella praxis som vuxit fram bör regeringen tillgodose tillkännagivanden och verkställa det beslut som riksdagen fattat och som faktiskt gäller från och med den 1 januari 2015. Låt mig vara tydlig. Det här handlar om en okomplicerad lagändring som borde gå att bereda skyndsamt eftersom riksdagen redan gjort den politiska bedömningen att ändringen ska genomföras. Min fråga till statsrådet är därför: När tänker regeringen tillgodose beslutet från riksdagen om den förstärkta jämställdhetsbonusen? ","M"
"Hillevi Larsson","Herr talman! Det har bara gått några månader sedan valet; ändå är budskapet nu att det har tagit väldigt lång tid. Jag kommer ihåg de två förra mandatperioderna och att det var en del saker som tog lång tid då också. Jag tänker framför allt på fas 3. I juni 2011 kom tillkännagivandet från riksdagen att vi skulle stoppa anvisningarna till fas 3 eftersom det inte fungerade - det ledde inte till att vi fick ned arbetslösheten, utan det blev bara förnedring för ungefär 35 000 arbetslösa människor. Det gick tre och ett halvt år, och nu har vi haft ett val. Vi lever fortfarande under fas 3. Det beror på att vår budget tyvärr inte gick igenom och att vi lever enligt det gamla. Därför tycker jag att det är lite märkligt att man i det här sammanhanget talar om att det skulle ha tagit väldigt lång tid, när man kunde hålla på med fas 3 i tre och ett halvt år utan att göra någonting trots att riksdagen krävde det och trots att det visade sig att det inte fungerade, att det var en ineffektiv och dyr åtgärd som låste in människor. Jag tycker alltså att det är väldigt märkligt att man har svängt 180 grader i den här frågan. Om vi tittar på jämställdhetsbonusen kan vi se att den inte har fått någon effekt. Vi har haft den ända sedan 2008, och den har inte lett till att fler pappor har tagit ut föräldraledighet. Därför tycker inte jag att detta är den mest prioriterade reformen. Det är klart att regeringen ska följa riksdagens beslut, men om man ser till prioriteringsordningen borde det ju vara det som har visat sig fungera väldigt bra som man ska lyfta fram, inte det som har fungerat dåligt. Den här reformen kostar ju pengar, och om den inte ger någon effekt är frågan om detta bör stå högst på prioriteringslistan. Det finns såklart med i regeringens arbete eftersom man följer riksdagens beslut. Jag tycker inte att det är helt oväsentligt att ta upp föräldraförsäkringen i sammanhanget. Målen med jämställdhetsbonusen var att man skulle öka jämställdheten. I praktiken handlar det om att fler pappor skulle ta ut föräldraledighet. Försäkringskassans analys visar tydligt att de vikta månaderna - de kallas pappamånader, men de innebär att två månader är vikta för vardera föräldern och måste tas ut för att inte brinna inne - har haft effekt. Man kan se tydligt att det har fungerat. Frågan är: Var hade vi varit i dag utan dessa vikta månader? Jag är rädd för att det hade sett betydligt värre ut, trots att det fortfarande är stora problem. Därför borde det rimliga steget vara, om man nu verkligen vill få ett mer jämställt uttag, att man går vidare med ytterligare en vikt föräldramånad. Jag är övertygad om att inom ett par år efter en sådan reform kommer vi att ha sett en förändring.  I dag kan man se att förändringen väldigt nära har följt de två månaderna. I dag tar män ut ungefär 25 procent av dagarna. Det är tyvärr inte riktigt så många dagar i praktiken eftersom många kvinnor tar ut obetalda dagar. I praktiken är det 90 procent av dagarna som kvinnor är hemma. Men om man ser till betalda dagar tar alltså männen ut ungefär 25 procent. Det följer ganska nära de så kallade pappamånaderna. Jag tycker inte att det är oväsentligt att man tar upp den här frågan i detta sammanhang om man verkligen vill öka det jämställda uttaget och att regeringen ska prioritera det som fungerar. ","S"
"Teresa Carvalho","Herr talman! Vi hörde inledningsvis från interpellanterna Johan Forssell och Tina Ghasemi att de avböjde en debatt om själva föräldraförsäkringen, jämställdheten och den kontext som vi ändå brukar placera dessa frågor i. Men utöver den specifika frågeställning som båda interpellanterna hade angående tillkännagivandet från i höstas anför både Johan Forssell och Tina Ghasemi en beskrivning av jämställdhetsbonusens tilltänkta effekter som jag tycker bör bemötas och också sättas i en bredare kontext.  Låt mig börja med att den enskilt viktigaste reformen för att få ett mer jämställt samhälle och arbetsliv är att få ett mer jämlikt uttag av föräldrapenningen. Så långt verkar vi vara tämligen överens. Det bådar gott inför framtiden. Jag hoppas därför att de partier och ledamöter som faktiskt menar allvar med sina jämställdhetsambitioner också tar ansvar för att reservera ytterligare tid för vardera föräldern i föräldraförsäkringen. Vi vet att både första och andra månaden har gett effekt för ett mer jämställt uttag, som vi hörde här alldeles nyss från föregående talare. Jag vill också vara noggrann med att understryka att det är långt ifrån tillräckligt, men det har bevisligen gett effekt. Därför är det också hög tid att ta nästa steg. Någon sådan effekt av jämställdhetsbonusen kan inte fastställas. Därför är det viktigt att se till båda delarna. Hur gärna Johan Forssell och Tina Ghasemi än vill att en utökad jämställdhetsbonus ska ha effekt på jämställdheten finns det helt enkelt inga belägg för att den vare sig har haft eller kommer att ha en sådan inverkan. Låt mig vidare konstatera att Försäkringskassan så sent som 2013 gjorde en undersökning om föräldrarnas kunskap om jämställdhetsbonusen och hur den påverkade föräldrarnas uttag av föräldrapenningen. Där kan vi se att 18 procent av föräldrarna inte hade kännedom om bonusen, och tre fjärdedelar av dem som hade kunskapen uppgav att det ändå inte har påverkat dem att fördela uttaget mer likt. Till bilden kan vi också addera det vi vet, nämligen att kvinnor som har högre inkomster än sina män ändå är föräldralediga i betydligt högre utsträckning. Detta avslöjar, menar jag, att det ojämställda föräldrapenningsuttaget inte bara handlar om löneskillnader mellan kvinnor och män, utan att det i grund och botten handlar om betydligt mer djupgående förklaringar om könsnormer, som naturligtvis också påverkar löneskillnaderna. Det ska vi vara på det klara med. En bonus som ekonomiskt incitament för jämställdheten är ett tämligen tunt plåster på ett djupt sår. Det är något som snarare sanktionerar normen om ojämställda löner och villkor på arbetsmarknaden än faktiskt tar itu med de ojämställda strukturerna. Ytterligare reserverad tid för vardera föräldern i föräldraförsäkringen - till att börja med en så kallad tredje pappamånad - är ett träffsäkert instrument och därför inte bara mer angeläget utan också betydligt smartare än att utöka en bonus där vi faktiskt inte kan fastställa den effekt som Johan Forssell och Tina Ghasemi far efter i sina interpellationer. Det behöver vi ha klart för oss när vi diskuterar föräldraförsäkringen. Vår viktigaste uppgift måste trots allt vara att använda våra resurser på ett sådant sätt att vi faktiskt åstadkommer resultat för jämställdheten och samtidigt värnar barnens rätt till båda sina föräldrar. ","S"
"Finn Bengtsson","Herr talman! Den här interpellationen handlar inte så mycket om sakfrågan som om formfrågan. Det är ganska tydligt när vi nu har icke-socialistisk majoritet i riksdagen att man också har en icke-socialistisk budget att hantera. Gång efter annan visar det sig dock att man trilskas när det gäller att ta till vara de tillkännagivanden som kommer från kammaren till regeringen.  Här diskuterar vi just jämställdhetsbonusen, som har varit väldigt tydligt aviserad som ett intresse från kammaren och som det ansvariga statsrådet, som jag upplever det, förhalar det hela genom att i sitt svar lakoniskt konstatera: \"Riksdagen har i december 2014 beslutat om ett tillkännagivande om att förstärka jämställdhetsbonusen. Regeringskansliet bereder frågan.\" Det är den nyhet som statsrådet har att anföra för kammaren i ärendet i dag. Jag vill upplysa denna kammare och åhörarna av debatten om att i fredags debatterades en interpellation just om tillkännagivandens betydelse och hur regeringen hanterar tillkännagivanden eftersom de har blivit så många och det har blivit så mycket trilskande och trotsande från regeringen när det gäller att efterkomma dem. Det var konstitutionsutskottets ordförande Andreas Norlén som i interpellation 295 ställde denna fråga till statsministern, eftersom det är han som ytterst ansvarar för hanteringen av regeringens arbete.  Interpellationen lämnades över till justitieminister Morgan Johansson, som förtydligade just hur regeringen ser på tillkännagivanden. Jag citerar hur Morgan Johansson uttryckte sig under interpellationsdebatten: \"Om regeringen inte delar riksdagens mening i en fråga och inte har för avsikt att tillgodose riksdagens önskemål, innebär praxis - som konstitutionsutskottet konstaterat - att regeringen i stället bör underrätta riksdagen om detta inom den tidsgräns som angetts i tillkännagivandet. Även skälen till att regeringen inte har tillgodosett tillkännagivandet bör redovisas. (- - -) Om beredningen skulle dra ut på tiden är det angeläget att regeringen till riksdagen lämnar fullgod information om orsakerna till beredningstidens längd.\" Lite längre fram i interpellationsdebatten nämner justitieministern exempel på när regeringen har anledning att kanske inte omedelbart komma tillbaka med vad kammaren önskat i ett tillkännagivande. Justitieministern har själv fått ett tillkännagivande från kammaren om så kallad eftersupning, det vill säga att om man har druckit alkohol och framför fordon kan man tillföra sig alkohol i efterhand och sedan kan göra gällande att man inte var alkoholpåverkad under det att man framförde fordonet. Eftersupning är något som vi vill lagreglera från kammarens sida, men det visar sig lagtekniskt att det inte är möjligt med tanke på att man har en rätt att undanröja bevis för sin egen person. Detta anför justitieministern som exempel på att han inte kan komma tillbaka med ett tillgodoseende av detta tillkännagivande. Då är min fråga till statsrådet när det gäller jämställdhetsbonusen: Vad är det som är så omöjligt och som är skälet till att man här trotsar kammarens önskemål om att skyndsamt komma tillbaka med det som den gällande budgeten faktiskt kräver, nämligen ett förslag om just jämställdhetsbonus? Det är en ganska enkel fråga, och den står i bjärt kontrast mot den dialog som konstitutionsutskottets ordförande hade med den ansvarige från regeringen som tog den här diskussionen så sent som i fredags. Därför tycker jag att statsrådet är skyldig oss ett mer konkret svar än det som har lämnats. ","M"
"Annika Strandhäll","Herr talman! Jag vill tacka för frågorna. Jag konstaterar att flera har uttryckt att det inte handlar om sakfrågan utan om formfrågan. Därför ska jag försöka svara på detta i två delar. Jag kommer att börja med formfrågan och sedan gå över till sakfrågan. I det här fallet hänger de i allra högsta grad ihop. Det finns inte någon reglering av eller författning om riksdagens beslut om tillkännagivanden till regeringen. Det finns inte heller någon reglering av regeringens hantering av sådana beslut. Precis som har påpekats här bör beredningsåtgärder vidtas skyndsamt, men det måste också finnas en förståelse från riksdagen för att en fråga kan kräva utredning och att lagstiftningsprocessen kan ta tid. Om regeringen gör en annan bedömning än riksdagen ska regeringen, precis som Finn Bengtsson påpekar, återkomma till riksdagen med bedömningen och sina skäl för den. Regeringen har för avsikt att göra det. Men som vi också har påpekat är vi inte färdiga med beredningen ännu. Det har delvis att göra med sakfrågan i sig. Det här är en sakfråga som regeringen, som är en feministisk regering, bedömer är av oerhörd vikt. Den handlar om hur vi ökar barns rätt och tillgång till båda sina föräldrar. För att göra det behöver vi lägga fram förslag som faktiskt kan få effekt. Det handlar dock inte bara om det. Jag noterar att Johan Forssell inleder sitt inlägg med att det inte handlar om antalet pappamånader. Men för mig som ansvarig minister för de här frågorna är det som Gustav Möller sa: Varje förslösad skattekrona är en stöld från folket. Verkligheten är sådan att riksdagen föreslår en förstärkning av en åtgärd som från 2008 har kostat skattebetalarna 1 miljard kronor. Om man säger att det inte finns någon utvärdering som pekar på effekten av jämställdhetsbonusen skulle jag vilja säga att det finns just precis det. Det finns flera utvärderingar, både från Försäkringskassan och från Inspektionen för socialförsäkringen, som talar om för oss att just den här åtgärden har haft noll effekt på det som den var avsedd för. Jag är övertygad om att intentionerna när man föreslog ett införande av jämställdhetsbonusen var väldigt goda. Och jag vet att målsättningen var att man skulle utöka det jämställda uttaget av föräldrapenningen med ungefär 25 procent. Som en följd av införandet av jämställdhetsbonusen har det jämställda uttaget, enligt utvärderingarna, ökat med just noll. Därför har jag som ansvarig minister, med ansvar för skattebetalarnas pengar, ett ansvar för att göra en seriös bedömning innan jag kommer med ett förslag till Sveriges riksdag i den här riktningen. Jag har tagit del av utvärderingar. Och jag har tagit del av inspel från olika intressenter i frågorna. Som ni förstår vill jag ändå göra det tydligt att jag är tveksam. Men jag kommer naturligtvis att följa vad som gäller för tillkännagivanden från Sveriges riksdag och återkomma med ett tydligt besked i frågan. Vi är inte klara med beredningen ännu. ","S"
"Johan Forssell","Herr talman! Inledningsvis vill jag säga att jag delar en del av de åsikter som har framförts tidigare. Det finns viktiga jämställdhetsproblem i dag. Uttaget i föräldraförsäkringen är ett av dem. Jag ska inte fördjupa mig för mycket i frågan om bonusens vara eller icke vara. Det finns olika uppfattningar i den här kammaren. Jag kan bara konstatera att bonusen används av 230 000 människor runt om i Sverige i dag. 90 procent av föräldrarna tycker att det är bra att bonusen finns. Vi ser att det finns stöd utanför köksborden också. Eftersom statsrådet har facklig bakgrund kan jag påpeka att TCO:s ordförande sa i veckan att \"det skulle vara djupt olyckligt om regeringen väljer att avskaffa bonusen\". Vi vet också att bonusen inte har haft tillräcklig effekt. Så är det. Det är en anledning till att Alliansen valde att föreslå den förstärkning av jämställdhetsbonusen som vi nu pekar på. Teresa Carvalho säger att det inte går att styrka att den förstärkningen kommer att få effekt. Det kanske ligger i sakens natur eftersom den ännu inte är genomförd. Det är det som den här debatten handlar om. Jag uppskattar att statsrådet citerar Gustav Möller. Det är en väldigt bra princip, och jag hoppas att hon kan bära med sig den principen när många andra viktiga frågor ska avgöras framöver, inte minst den kraftiga bidragsutbyggnad som regeringen har aviserat. Jag vill gå tillbaka till grundfrågan. Det är nu mars månad, inte november. Riksdagen har debatterat detta. Riksdagen valde att bifalla Alliansens budget, och nu handlar det om framtiden. Det är därför som vi är här i dag. Det kan finnas rimliga skäl till att man inte väljer att omedelbart tillgodose ett tillkännagivande. Det kan, som sagt, vara ett omfattande utredningsbehov. Det kan vara att lagarna står mot varandra, och det kan vara att man först måste grunna på vad mer allmänna tillkännagivanden innebär. Men \"jag vill inte\" är ett ganska dåligt skäl för att inte göra det som riksdagen har bestämt. Det hade Socialdemokraterna aldrig accepterat i opposition. Frågan är varför man nu gör det i regeringsställning. Herr talman! Tidigare i debatten drogs det paralleller till nedsättningen av socialavgifterna. Det är ett bra exempel. Det är förvisso en mycket större reform. Det handlar om totalt 18 miljarder kronor. Men besluten togs samma dag i den här kammaren, den 3 december. Ändå lyckades regeringen presentera en proposition redan den 20 januari. Det är positivt att regeringen valde att där tillgodose riksdagens tillkännagivande. Den kanske borde ha kommit ännu tidigare, men man ska inte vara småsur över det. Det var bra. Regeringen tog ansvar. Och det vill jag uttrycka uppskattning för. Men när det gäller jämställdhetsbonusen gäller tydligen en helt annan princip. Frågan är varför regeringen väljer att hantera tillkännagivanden på samma budget på två helt olika sätt. Eftersom regeringen fattar beslut kollektivt måste Annika Strandhäll ha varit med och fattat det beslutet. Varför agerar regeringen helt annorlunda när det gäller just jämställdhetsbonusen? Det finns många tillkännagivanden under årens lopp som kanske inte har hanterats med den skyndsamhet som man kan kräva. Det har nog olika regeringar varit skyldiga till. Men det här är ett ganska unikt tillkännagivande. Det handlar nämligen om någonting som borde ha trätt i kraft redan den 1 januari i år. Jag tror att alla inser det orimliga i att man ska dra ett sådant beslut i långbänk när pengarna redan finns avsatta sedan två månader tillbaka. Det är väldigt märkligt. Jag uppskattar att den här regeringen talar mycket om samarbete. Samarbetsregeringen Löfven är bra och vackra ord. Men de orden förpliktar också. Man kan inte tala om samarbete och sedan göra precis tvärtom. Det är som att skicka en inbjudan där det står: Låt oss samarbeta och försöka komma överens. Om man sedan vänder på den står det: Det här ska vi komma fram till. Herr talman! Det är dålig jämställdhetspolitik. ","M"
"Tina Ghasemi","Herr talman! Jag delar till viss del den bild som förmedlas i debatten. Det finns många problem i vårt samhälle som behöver förändras men också som behöver förbättras. Vi vet att attityder och beteendemönster tar längst tid att förändra. Jämställdhetsbonusen i sin nuvarande och förbättrade form har bara funnits i två år, vilket är på tok för kort tid för att utvärdera om den på sikt kommer att leda till de avsedda effekterna. Försäkringskassans analyschef menar att vi måste sprida kunskap om vilka konsekvenser ett ojämställt uttag får. Hur man delar föräldraledigheten korrelerar med hur man flera år senare delar på till exempel hushållsarbetet i familjen. Till det kommer konsekvenser i karriären, löneutveckling och pension som jag också nämnde tidigare. Men om det finns en kunskapsbrist om just jämställdhetsbonusen - det finns det tydligen här - är det inte ansvarsfullt av oss politiker att alltid svara att vi ska slopa eller avskaffa. Bristen kanske snarare ligger i att vi måste öka kunskapen. Därför har vi just förstärkt jämställdhetsbonusen. Men i sak är det en annan diskussion. Jag vill återgå till frågans kärna, som gäller den konstitutionella praxisen och riksdagens beslut. Här har riksdagen varit väldigt tydlig och fattat beslut om att förstärka jämställdhetsbonusen. Vi har såklart respekt för att regeringen må ha en annan uppfattning i en rad olika frågor än vad riksdagen har. Så är det ju i politikens vardag. Men av samma anledning vill vi, riksdagens majoritet, ha samma respekt tillbaka. Regeringen bör ta hänsyn till riksdagens fattade beslut. Men vi står inte här och tjafsar för tjafsandets skull. De som drabbas mest är beklagligtvis alla de barnfamiljer som får en mindre jämställdhetsbonus än vad som var tänkt. Herr talman! Med vår politik vill vi bidra till goda förutsättningar för jämställdhet mellan föräldrarna. Vi tror att grunden för en mer jämställd arbetsmarknad läggs genom en förbättrad jämställdhetsbonus, möjlighet för fler att gå upp i arbetstid, en politik som underlättar för människors livspussel och reformer som gör det mer lönsamt att arbeta. Så gott som dagligen läser vi om stress, livspusselsproblem och ökade sjukskrivningar, i synnerhet bland kvinnor. Då behövs det fler lösningar, inte färre. Därmed återgår jag till min grundfråga. Vi har fått besked om att regeringen avser att återkomma. Men när i tid tänker regeringen återkomma till riksdagen med ett förslag om en förstärkt jämställdhetsbonus? ","M"
"Hillevi Larsson","Herr talman! Den här reformen har inte fått effekt. Det går inte att påvisa någon effekt över huvud taget. Däremot har de vikta föräldramånaderna haft en väldigt tydlig effekt. Då borde det vara uppenbart att man prioriterar det som ger effekt och inte det som inte ger effekt och som dessutom kostar en massa pengar. Ska man lägga ned skattemedel på något ska det också ge effekt. Något annat vore orimligt. Det största problemet för mig är inte om föräldrar skulle bli utan jämställdhetsbonusen. Det stora problemet för mig är om den utveckling som vi har sett hittills fortsätter, det vill säga att uttaget är så ojämställt som det är och de konsekvenser som det får. Föräldraledigheten rör sig om en kort tid i livet, men det ojämställda uttaget får effekter hela livet. När kvinnor får barn börjar deras inkomster att påverkas negativt. För män kan man till och med se motsatt effekt. Många män får bättre inkomst efter att de har blivit föräldrar. Kvinnor tjänar 3,6 miljoner kronor mindre än män under sitt arbetsliv. Räknar man in pensionen blir det ännu värre. Många män får sämre kontakt med sina barn på grund av att de inte har knutit an tidigt i sina barns liv, vilket föräldraförsäkringen är till för. Alla är vinnare på ett mer jämställt uttag: kvinnorna på arbetsmarknaden, barnen som får en god och nära kontakt med båda sina föräldrar och papporna som får god kontakt med sina barn. Ju mer ojämställt det är, desto större risk för att kvinnor tar hand om det obetalda hemarbetet. Det är till och med större risk för separationer. Alla är alltså vinnare på ett mer jämställt uttag, och då ska vi genomföra det som fungerar. ","S"
