"Närings- och innovationsmin. Mikael Damberg","Fru talman! Jens Holm har frågat mig på vilket sätt jag ämnar säkerställa att expansionen av Vattenfalls brunkolsverksamhet avbryts om verksamheten säljs, om jag och regeringen kommer att ställa oss bakom en försäljning om affären inte är affärsmässig, det vill säga olönsam, samt om jag kommer att verka för att riksdagen tillfrågas före en eventuell försäljning av Vattenfalls brunkolsverksamhet. Klimatfrågan är vår tids ödesfråga, och temperaturökningen riskerar att leda till mycket allvarliga konsekvenser. Vattenfalls uppdrag är att affärsmässigt bedriva energiverksamhet så att bolaget är ett av de bolag som leder utvecklingen mot en miljömässigt hållbar energiproduktion. Regeringens ambition är därför att Vattenfall ska vara ledande i omställningen av energisystemet mot en högre andel förnybar energi och att Sverige på sikt ska ha ett energisystem med 100 procent förnybar energi. Styrelsen för Vattenfall AB har tagit initiativ till att undersöka olika möjligheter att skapa en ny ägarstruktur för brunkolsverksamheten. Processen med en ny ägarstruktur för brunkolsverksamheten bedrivs av Vattenfall och är ett ansvar för bolagets styrelse och ledning. Som företrädare för staten som ägare till Vattenfall kommer jag att hålla mig noga informerad om utvecklingen av processen. Jag förutsätter att Vattenfall agerar så att en eventuell försäljning av bolagets brunkolstillgångar sker på marknadsmässiga villkor. Tyskland genomför nu en omställning av sitt energisystem mot en högre andel förnybar produktion, vilket naturligtvis är mycket positivt. Tysklands energiomställning öppnar möjligheter för ytterligare investeringar i förnybar energi för bland annat Vattenfall. Under Tysklands omställningstid kommer dock kolkraft fortsatt att vara en del av Tysklands energimix, och vare sig Vattenfall eller dess ägare kan ensidigt styra över detta. Huruvida riksdagen ska tillfrågas inför en eventuell försäljning beror på vad resultatet blir av den process som bolaget har inlett med att undersöka olika möjligheter att skapa en ny ägarstruktur för brunkolsverksamheten. Det är således för tidigt att nu besvara just den frågan. ","S"
"Jens Holm","Fru talman! Jag instämmer med näringsminister Mikael Damberg i att klimatfrågan är vår tids ödesfråga. Vi vet sorgligt nog att den utsläppskurva som världen i dag är inne på inte leder till att vi balanserar klimatförändringen till att ligga under två graders temperaturhöjning, utan det blir snarare fyra eller kanske till och med fem graders temperaturhöjning. Ett så varmt klimat vet vi kommer att vara slutet för civilisationen, så som vi känner den, på många platser runt om på vår planet. Vi måste göra allt vi kan för att förhindra den förfärliga utvecklingen. Jag tycker att det är bra att vi har en regering som säger precis det Mikael Damberg säger, att vi ska styra över till 100 procent förnybar energiproduktion. Jag noterar också den överenskommelse som Socialdemokraterna och Miljöpartiet slöt den 1 oktober i fjol, där man sa att den framtida expansionen av brunkol i Tyskland ska avbrytas. Det är mycket bra. Då är jag lite orolig för de planer som finns inom Vattenfall. Vattenfall äger ju fyra stora brunkolskraftverk i sydöstra Tyskland. Vattenfall har inlett en process där man vill förändra ägarstrukturen, som man säger. I klartext vet både Mikael Damberg och jag att det handlar om att Vattenfall vill sälja sina kolkraftverk i Tyskland. Man har också anlitat bolaget Citigroup för att ombesörja detta. Vi vet att den främsta spekulanten på att köpa dessa brunkolskraftverk är ett centraleuropeiskt energibolag som heter EPH. Det bolaget ägs i sin tur av ett stort centraleuropeiskt investmentbolag som går under förkortningen J & T. När jag försökte ta reda på var J & T egentligen var registrerad hittade jag platser som Cypern, Nederländerna och Barbados, alltså typiska platser för skatteupplägg där man placerar sitt bolag för att man ska kunna flytta över vinster och slippa betala skatt. Det är ett företag som inte har några som helst miljöambitioner, ett företag som har varit involverat i tvivelaktiga affärer. Jag vill inte att Vattenfall ska sälja vidare de fyra kolkraftverken till ett sådant företag, för de har bara en sak för ögonen: största tänkbara vinst. Och största tänkbara vinst skulle innebära en expansion av brunkol i Tyskland. Det vi behöver i dag och som jag tror att Damberg och jag är helt överens om är att det fossila måste ligga kvar i marken. Vi ska inte öppna nya gruvor. Vi ska inte öppna nya kolkraftverk. Därför vore det bästa för klimatet, världen, Sverige och Vattenfall att vi styrde över mot en successiv avveckling av brunkolsverksamheten. Det går inte att stänga den här och nu, inte i morgon heller, men kanske inom de kommande 15 åren, till år 2030. Det vore realistiskt att avveckla brunkolsverksamheten till dess. Då kan Vattenfall inte sälja de här kraftverken, utan då ska de finnas kvar i Vattenfalls regi. Därför vill jag fråga Mikael Damberg: Kommer regeringen att ge klartecken till en försäljning utan att först tillfråga riksdagen? Jag undrar också om närings- och energiministern verkligen tycker att det kan vara bättre för klimatet att sälja de här brunkolskraftverken än att ha en successiv avveckling. Vad anser Mikael Damberg om detta företag, som är den främsta spekulanten ","V"
"Jonas Sjöstedt","Fru talman! Minister Damberg! Interpellationen handlar om vår trovärdighet i klimatarbetet. Den handlar också om relationen mellan Sverige och Tyskland. Jag tror att få saker har skadat Sveriges rykte i Tyskland så mycket som Vattenfalls agerande. Det är ett reellt problem i vår relation till tyskarna och Tyskland att Vattenfall har ett så grundmurat dåligt rykte i vårt grannland. Det finns tyvärr goda grunder för det. Vattenfall uppträder som en miljöbuse som släpper ut mer koldioxid som företag än vad Sverige gör som nation. Man skövlar omfattande landskap och tömmer byar på befolkning för att kunna bedriva sin verksamhet. Det möter motstånd i Tyskland. Mikael Damberg sa att det är bra att Tyskland ställer om till förnybart. Men Vattenfall gör i praktiken det man kan för att förhindra det. Vattenfall har stämt Tyskland på inte mindre än 43 miljarder kronor för att de vill avveckla den kärnkraft som är en icke-förnybar energikälla. I städerna Hamburg och Berlin har befolkningen velat köpa tillbaka sina elnät från Vattenfall som de tycker inte sköter dem på ett socialt och ekologiskt ansvarsfullt sätt. Vattenfall har gjort allt för att förhindra att de på det sättet ska få kontroll över sin egen energidistribution. Det finns grund för att Vattenfall har ett uselt rykte i Tyskland. Nu är det upp till bevis för den nya regeringen. I valrörelsen stod vi tillsammans i valdebatterna och kritiserade hur alliansregeringen hade skött Vattenfall - med all rätt. Nu är det er tur att göra det bättre. Och vi väntar på att det ska ske. Det handlar om att fasa ut kolet i stället för att sälja det, det handlar om att satsa på förnybart och det handlar om att ge hela företaget en annan roll och inriktning. Vi menar att det är realistiskt att avveckla Vattenfalls brunkolsverksamhet till 2030. Det kan man göra på ett rimligt sätt. Då ska man också undvika att öppna de nya, mycket stora kolgruvor som Vattenfall planerar för, trots den överenskommelse som finns inom regeringen. Som jag ser det är det ett tydligt brott mot det som regeringen har sagt som ägare. Det är dags att sätta ned foten. Det är dags att styra upp Vattenfall på allvar. De kan inte agera på egen hand. Det är vårt företag. Det är svenska folket som äger Vattenfall. Och om man vill sätta klimatet främst har det konsekvenser för hur den här typen av företag bedrivs. Jag menar att regeringen är otydlig i dag. Det är nog det snällaste man kan säga om hur Vattenfall drivs. Vi förväntar oss tydligare besked och tydligare ansvar. Och den enskilt viktigaste frågan, med bäring på klimatet, är vad som kommer att ske med brunkolet. Det handlar också om ifall de nya kolfälten kommer att öppnas, om man kommer att fortsätta driva brunkolsverksamheten i årtionden framöver eller om man i samarbete med berörda delstater och den tyska regeringen planerar för satsningar på förnybart och stegvis avveckling av den här mycket miljöfarliga verksamheten. Det är vårt ansvar. Vi kan inte skjuta över det på Vattenfalls styrelse och säga \"Tjäna så mycket pengar ni kan!\". Det är vårt klimatansvar. Jag vet att en del skulle kunna säga \"Men vi kan kanske tjäna lite pengar till om vi inte gör så\". Ja, men klimatet kräver just den här typen av svåra val. Klimatet kommer först. Vi måste ställa om. Annars menar man inte allvar. Min fråga till Mikael Damberg är: Är ni beredda att avveckla, inte sälja, Vattenfalls brunkolsverksamhet, precis som miljörörelsen i Tyskland vill att man ska göra? Och är det inte så att det bästa för klimatet är avvecklad brunkolsverksamhet, inte att sälja den till ett företag med mycket tvivelaktigt miljörykte? ","V"
"Birger Lahti","Fru talman! Jag vill tacka Mikael Damberg och givetvis interpellanten som har ställt en viktig fråga. Den är viktig bland annat för att den berör klimatet, miljön och hur Vattenfalls eventuella försäljning kommer att sluta - som vinstaffär eller förlustaffär. Jag inser också att ägaren till ett bolag, som i det här fallet är statligt, inte bör peta i allt. Men någonstans går gränsen för när en ägare ska säga till. Det finns fler olika skäl: att affären är av stor dignitet, miljön och vad som skulle vara bäst för de svenska skattebetalarna. Skulle det kanske vara bäst att äga brunkolsverksamheten fram till 2030, som Jonas var inne på, eller kanske till och med lite längre, och sedan avveckla den successivt, med koll på det hela? Mikael Damberg, du nämner i svaret till Jens att du förutsätter att det säljs under marknadsmässiga förhållanden och villkor. Om det visar sig att det blir en ekonomisk förlustaffär för Vattenfall att sälja i dag - vi vet att elpriset är lågt i dag - kommer du då att agera så att det blir riksdagen som ska ta ställning om vi ska behålla brunkolsverksamheten och avveckla den själv eller sälja den till underpris? Vad gäller klimatet försöker vi överallt i världen föregå med gott exempel, precis som Jonas säger. Ska vi här blunda för verkligheten och för vad som kommer att hända med brunkolsverksamheten i Tyskland i stället för att, som regionerna i Tyskland egentligen önskar, behålla den, ta ansvar och avveckla den själv? Arbetstillfällen är viktiga, men om Vattenfall som en bra ägare avslutar verksamheten successivt har regionerna tid på sig att sno om till något annat som även gynnar dem. Kommer du att ge riksdagen möjlighet att ta ställning till det, om det visar sig att affären inte är bra att göra i dagsläget för vare sig de svenska skattebetalarna eller miljön? ","V"
"Närings- och innovationsmin. Mikael Damberg","Fru talman! Jag vill tacka interpellanten och övriga riksdagsledamöter som deltar i debatten för en viktig diskussion om Vattenfall. Det är i dag ett statligt bolag som har en viktig roll i vårt energisystem och för den ekologiska omställningen av vår energimarknad i Sverige men också för hur man agerar i andra länder. Precis som har påtalats i debatten har Socialdemokraterna och Miljöpartiet en överenskommelse om att regeringens styrning av Vattenfall ska förändras på ett sådant sätt att den expansion av brunkol som den borgerliga regeringen har tillåtit inte ska fortsätta. Att vi kritiserar vad som har hänt med Vattenfalls affärer under senare år är ett viktigt principiellt ställningstagande. Man har gjort väldigt stora investeringar i icke-förnybar energi runt om i Europa, som i dag kostar bolaget stora summor pengar. I dag talar vi om brunkolsverksamheten. I andra debatter i kammaren har vi talat om gasverksamheten och att den borgerliga regeringen tillät ett stort köp av Nuon. Det har inneburit att Vattenfall i dag är mycket svagare ekonomiskt och på grund av affären har gjort nedskrivningar på över 50 miljarder kronor. De tillgångarna kunde ha använts till nya investeringar i förnybar energi. Jag menar att vår roll är att se till att Vattenfall blir ledande i omställningen av energisystemet. På valborgsmässoafton åker jag till Tyskland och deltar i en invigning av en stor ny vindkraftspark som Vattenfall investerar i för att driva på den förnybara energiproduktionen i Tyskland. Men även i Sverige och runt om i övriga Europa görs stora investeringar i förnybart. Bolaget säger självt att de nya investeringar man gör och nya projekt som man går in i nu är 100 procent förnybara. Det tycker jag är en intressant och viktig utveckling för bolaget. När det gäller just brunkolsverksamheten, som interpellanten fokuserar på, är det styrelsen för bolaget som har tagit initiativ till att undersöka olika möjligheter att skapa ny ägarstruktur för den tyska brunkolsverksamheten. Ägaren, i form av regeringen, kommer att hålla sig väldigt väl underrättad om hur arbetet drivs framöver. Jag kommer att göra det, med utgångspunkten att vi måste förvalta statens ägande i Vattenfall så att den långsiktiga värdeutvecklingen blir den bästa möjliga. Det är så vi ska förvalta de statliga bolagen. Hur ägaren blir involverad i processen beror på vad Vattenfalls initiativ resulterar i. Vänsterpartiet vill gärna hoppa ett par steg framåt och säga att det finns en köpare, att det blir en affär och att det är exakt den köparen som är aktuell. Där är vi inte än. Vi vet inte om affären kommer att bli av och hur en sådan affär kommer att se ut. Därför tänker jag inte kommentera det i detalj. Hur det kommer att spelas ut avgör vilken roll regeringen får i det arbetet framöver. Om det blir aktuellt för Vattenfall att genomföra en avyttring som omfattar stora värden, är det då rimligt att bolagets styrelse tar initiativ till en så kallad ägarsamordning? Ja, det är det. Det måste man i så fall göra. Det ska vara ett utbyte av information och synpunkter i frågor av avgörande betydelse i en ägarsamordning, och den ska ske skriftligt. Vi har styrt upp det här arbetet på ett helt annat sätt jämfört med tidigare för att vi inte ska råka ut för kommande Nuonhaverier. Jag förutsätter att om Vattenfalls styrelse kommer fram till att man har en affär på gång och att man kan presentera underlag för en sådan, så ska det göras en skriftlig begäran om ägarsamordning med regeringen, och då kommer vi att granska affären och ta ställning till om den är bra eller inte. I nästa inlägg ska jag ta upp riksdagens roll i det hela. ","S"
"Jens Holm","Fru talman! Det ställdes några ytterligare frågor här under debatten. Jag hoppas att minister Damberg kan återkomma till dem. Huvudfrågan är: Vad blir bäst för klimatet och för planetens överlevnad? Det är ändå den stora överskuggande frågan.  Vattenfall är ett bolag som vi till hundra procent äger tillsammans. Vi kan styra det bolaget dit vi vill. Så länge Vattenfall fortsätter att äga dessa kolkraftverk kan vi ge uppdrag till Vattenfall att successivt avveckla den verksamheten. Många av kraftverken är ju så pass gamla att man ändå kommer att stå inför valet huruvida man ska göra stora investeringar för att reparera de gamla kraftverken, om man ska lägga ned dem och bygga nya kolkraftverk eller om man ska driva dessa kraftverk vidare ett tag till samtidigt som man satsar på förnybar energi Det gläder mig att Mikael Damberg ska titta på den stora vindkraftsparken. Som vi vet gör ju Tyskland mängder av investeringar i förnybart. Det vore bra om vi kunde få ett tydligt besked från närings- och innovationsminister Damberg: Vad är bäst för klimatet? Vid en successiv avveckling fortsätter kolkraftverken att drivas i Vattenfalls regi. Eller är det bättre att man säljer kolkraftverken till en för oss än så länge väldigt osäker ny ägare? Sedan vill jag också säga någonting om riksdagens roll. Det känns lite som att det alltid är för tidigt, men när det väl har hänt - när försäljningen väl ligger på bordet - då är det helt plötsligt för sent. Vi som engagerade riksdagsledamöter borde involveras i det bolag som vi äger tillsammans, Mikael Damberg. Det står också i 8 kap. budgetlagen att om man minskar statens ägarandel bör riksdagens tillfrågas. Det står också i statens ägarpolicy för statliga bolag att om man gör väsentliga ändringar av bolagets verksamhetsföremål, alltså bolagets verksamhet, då ska man invänta riksdagens godkännande. Jag tycker att det är bra att Mikael Damberg berättar för oss att regeringen följer frågan nära. Men man borde ju se till att även vi i riksdagen kunde följa processen genom näringsutskottet. Och om det finns ett konkret förslag borde riksdagen få säga ja eller nej. Det tycker jag är rimligt, och det är vad demokrati egentligen handlar om.  Jag hoppas, Mikael Damberg, att den här frågan inte ska gå så långt. Jag hoppas i stället att regeringen sätter ned foten och står upp för det som är bäst för klimatet. Det är en successiv avveckling. Det vore intressant att höra vad ministern anser om den saken. ","V"
"Jonas Sjöstedt","Fru talman! Tack, ministern, för svar och debatt! Jag välkomnar beskedet att det inte ska ske någon fortsatt expansion av Vattenfalls brunkolsbrytning i Tyskland. Det är ett väldigt tydligt besked till ett företag som faktiskt förbereder en sådan expansion. Jag hoppas att man lyssnar noga på vad regeringen säger.  Det finns ett dilemma inbyggt här. Vattenfall har både nya och äldre kolkraftverk. Om man ska driva de nyare kraftverken i deras fulla livslängd kommer man att behöva bryta mer kol för att så att säga fylla på dem. Risken är alldeles uppenbar att om man säljer dessa tillgångar till något annat företag såsom den tjeckiska spekulanten är det sannolikt att det företaget kommer att - förutom att driva kolkraftverken vidare - välja att bryta mer kol. Det är det sämsta valet från klimat- och miljösynpunkt. Nu har Vattenfall gjort de här dåliga affärerna. När man nu har dragit på sig gaskraftverk, kolgruvorna och kolkraftverken - det är nog många som önskar att det aldrig hade hänt - får man ta ansvar för dessa på bästa möjliga sätt ekologiskt. Jag menar att det borde vara utgångspunkten för hur regeringen agerar. Det är här Mikael Damberg byter fot från att tala om klimatet i allmänna ordalag till att i väldigt bestämda ordalag tala om det ekonomiska utfallet av Vattenfall. Jag menar helt enkelt att klimatet är viktigast. Man gör sina val. Klimatet måste sättas först. Om det inte kommer först, kommer vi inte att lyckas med den här utmaningen. Det är helt rimligt att ta den här frågan till riksdagen, om det går så långt som till en försäljning. Det skulle visa att man har lärt sig av Nuonaffären, att sådant här ska ske i öppenhet under debatt. På det viset undviker man att den typen av misstag sker igen. Den grundläggande frågan förblir obesvarad än så länge. Vad anser Mikael Damberg är bäst för klimatet, ordnad avveckling, satsning på det förnybara eller sälja vidare till någon som kommer att fortsätta att elda brunkol så länge som möjligt? ","V"
"Birger Lahti","Fru talman! Jag har lyssnat på debatten, och jag hoppas givetvis att Vänsterpartiet har fel, och att vi har hoppat i förväg. Om det är så att vi har hoppat rätt ger jag ministern chansen att komma tillbaka. Det är precis som Jens säger, att riksdagen måste få säga sitt inför en så stor affär som har bäring på klimatet för kommande generationer. Jag tycker att det vore som en Nuonaffär till.  Ett beslut som fattas i en snävare krets får kritik efteråt. Det är jag övertygad om. Jag hoppas bara att Vänsterpartiet har hoppat i förväg i onödan. Om jag hoppar i rätt takt kommer ministern tillbaka och gör det bästa för klimatet och kommande generationer. Även ekonomiskt tror jag att tiden inte är rätt vald för en sådan stor affär. ","V"
"Fredrik Schulte","Fru talman! Jag har läst tre intressanta saker under den senaste månaden om olika tekniska innovationer som jag tror har varit stora symboliska - med icke desto mindre viktiga - kliv för att göra världen lite mer miljömässig. Jag läste om två forskare som ska försöka att flyga jorden runt med en plan som drivs med solenergi. För några veckor sedan läste jag om hur Tesla nu kommer ut med en ny bil som ska kunna gå i 80 mil. Jag läste också om att Tesla har tagit fram ett batteri som man kan ha hemma och ladda upp med hjälp av till exempel solceller. Det är tre exempel på fantastiska steg i rätt riktning för att göra världen lite mer miljövänlig. Jag tror att vi alla är överens om att miljöfrågan är en ödesfråga, men hur ska vi hantera den? Jag och Alliansen tror att det handlar om tekniska innovationer, om att man med hjälp av politiska styrmedel ska försöka göra det miljömässiga mer lönsamt. Det är den inriktningen vi ska ha, inte inriktningen att knäcka ekonomin. Om man i sin iver att bekämpa miljöproblemen knäcker ekonomin, ja då kommer människor att sluta bry sig om miljön. Det värsta som har hänt för miljön är finanskrisen. Helt plötsligt har den globala debatten flyttats från att fokusera på miljöfrågorna till att enbart fokusera på de ekonomiska frågorna. Det vi nu får höra från Vänsterpartiet är något helt nytt i svensk politisk debatt och något ganska sensationellt. Vänsterpartiet vill använda våra statliga bolag och våra skattepengar till att köpa upp verksamheter i andra länder för att sedan lägga ned dem. Då finns det, fru talman, inga gränser för hur hög statsskuld vi kan få. Jag tror att vi med den inriktningen över en natt skulle kunna dubblera vår statsskuld. Skulle vi lägga ned den tyska kolkraften, det som Vänsterpartiet föreslår, talar vi om 60 miljarder åt skogen. Vem ska stå för de pengarna? Jo, svenska skattebetalare, det företag som ägs av svenska skattebetalare. Vänsterpartiet har inte haft särskilt stora problem med att alltid ha mer pengar än alla andra, men med den inriktningen kommer vi att ganska snabbt hamna i ett läge då överskottsmålet minsann är relevant att ha kvar. Vi ser nu att många steg tas av regeringen mot en alltmer ideologisk näringspolitik. Vi har den här frågan, vi har Miljöpartiet som ligger på i förhandlingar för att sänka Vattenfalls vinstmarginaler, vi har Saudiaffären. Historiskt har Socialdemokraterna vetat att om det ska finnas statliga bolag måste de drivas marknadsmässigt. Man kan inte göra våra statliga bolag till politiskt ideologiska lekstugor för då går de i konkurs. Att föra debatten med Vänsterpartiet är ganska fruktlöst. Därför är min fråga till Mikael Damberg om Socialdemokraterna nu har släppt det ansvarstagande näringspolitiska ledarskapet för våra statliga bolag. Är det ideologiska lekstugor vi har att se fram emot? ","M"
"Närings- och innovationsmin. Mikael Damberg","Fru talman! Jag börjar med att svara på det sista som sas. Det hade varit bra om Vattenfall inte blivit den lekstuga ute i Europa som det blev. Det har kostat svenska skattebetalare oerhört mycket pengar. Bara Nuonaffären som enskilt objekt har hittills kostat skattebetalarna 50 miljarder kronor i nedskrivningar. Det är enormt mycket pengar som hade kunnat användas till investeringar i förnybar energi. Det är viktigt att regeringen har ett visst mått av ansvar, också ideologiskt ansvar, för de bolag vi tillsammans förvaltar och att det finns en tydlig inriktning på vart vi ska. Vår ambition är att Vattenfall ska vara ledande i omställningen av energisystemet mot en högre andel förnybar energi. Det är regeringens hållning. Man kan kalla det ideologiskt eller vad man vill, men det är rätt inriktning för ett energibolag i dessa tider och i framtiden. Givet detta kan man göra olika bedömningar av hur en sådan affär kan se ut framöver, om den blir av. Regeringens bedömning är att det kan vara ett positivt steg för att uppnå den ambition som ligger i linje med bolagets hållbarhetsmål om att reducera koldioxidutsläppen. Dessa målsättningar finns. Vattenfall har sedan 2010 ett riksdagsbeslut, ett uppdrag från riksdagen, att affärsmässigt bedriva energiverksamhet på sådant sätt att det är ett av de bolag som leder utvecklingen mot miljömässigt hållbar energiproduktion. Det innebär att regeringen som ägare, i sin styrning av Vattenfall, inte ska vidta några åtgärder som strider mot det av riksdagen beslutade uppdraget att Vattenfall ska vara och agera affärsmässigt. Det är det uppdrag vi har fått av riksdagen, och det uppdraget måste vi som en ansvarsfull regering fullfölja. Det betyder att man också måste fundera på vilka investeringar som öppnar sig för framtiden. Det försökte jag tala om tidigare, att jag vill se mer av hållbara investeringar från Vattenfalls sida. Därför gläds jag när Vattenfalls ledning säger att de kommer att göra 100 procent investeringar i förnybart de kommande åren. Det är det vi vill med bolaget. Det välkomnar jag alltså. Jag tror att kanske till och med Moderaterna inser att det är en klok idé. Jag noterar att Vänsterpartiet i debatten nu säger att man vill att Vattenfall fortsätter att bedriva brunkolsverksamhet i Tyskland fram till kanske 2030. Vi kan göra olika bedömningar och komma fram till olika slutsatser. Min slutsats är att vi som ägare måste fundera på följande: Hur blir Vattenfall ledande och drivande vad gäller hållbar utveckling? Hur skapar man de resurser som krävs för de investeringar som måste göras i hållbar energiproduktion? Vilket ansvar har Tyskland för sin energiomställning? Vilka beslut väljer de att fatta? Vi måste respektera Tyskland på samma sätt som vi förväntar oss att Tyskland respekterar våra miljöpolitiska vägval när det gäller vår egen energipolitik. Jag tycker att debatten är viktig, och jag vill återkomma till den sista frågan från Jens Holm, nämligen riksdagens roll. Nu är vi lite före i processen igen, och vi vet inte exakt vad som kommer att hända. Men jag vill vara tydlig med det som Jens Holm tog upp om statens ägarandel eller verksamhetsföremål. Det är nog inte så troligt att det ändras av en sådan här affär. Det är inte säkert att de regelverk som statuerar att man ska gå till riksdagen verkligen kräver att man går till riksdagen. Det är inte det som kan bli effekten av affären. Jag är angelägen om att regeringens styrning av Vattenfall är väl förankrad. Om det blir aktuellt är det därför rimligt att vi informerar näringsutskottet när ägarsamordningsfrågan har kommit in. Men som sagt, hur ägarna blir involverade i processen beror på vad Vattenfalls initiativ resulterar i. ","S"
