"Landsbygdsminister Sven-Erik Bucht","Fru talman! Kristina Yngwe har frågat mig på vilket sätt den införda handelsgödselskatten gagnar svenskt lantbruks utveckling och framtid. Vidare frågar Kristina Yngwe hur förslaget om handelsgödselskatt överensstämmer med regeringsförklaringen, där regeringen säger sig vilja öka matproduktionen i Sverige. Kristina Yngwe frågar även hur jag ser på det faktum att skattepålagor och hårdare svenska regelverk gör att den svenska miljöanpassade produktionen flyttar utomlands. Slutligen frågar Kristina Yngwe hur jag ämnar arbeta för att stärka svenska bönders konkurrenskraft i ett internationellt perspektiv. Ulf Berg har frågat klimat- och miljöminister Åsa Romson hur många arbetstillfällen hon anser att denna straffskatt på det svenska lantbruket kommer att kosta. Ulf Berg frågar även hur mycket mer livsmedel vi, enligt klimat- och miljöministerns bedömning, kommer att behöva importera till Sverige när den inhemska produktionen minskar ytterligare på grund av denna straffskatt. Arbetet inom regeringen är så fördelat att det är jag som ska svara på interpellationerna. Jag svarar på interpellationerna i ett sammanhang.  Låt mig börja med att säga att växtkraften i entreprenörskap och småföretagande på landsbygden är avgörande för att hela Sverige ska leva. Jag anser att det inom de gröna näringarna finns en stor potential att skapa jobb och tillväxt som bidrar till regeringens övergripande målsättning att Sverige ska ha lägst arbetslöshet i EU år 2020.  Det finns dock utmaningar i att balansera de gröna näringarnas miljöpåverkan och deras centrala roll som livsmedels- och skogsråvaruproducenter. Precis som Kristina Yngwe nämner bidrar användningen av handelsgödsel till övergödning av våra vattendrag, sjöar och hav. Dessutom orsakar handelsgödsel utsläpp av tungmetallen kadmium. Det är därför angeläget att användningen av handelsgödsel är resurseffektiv och att de gödselmedel som används har en låg miljöpåverkan. Det krävs att åtgärder vidtas som kan bidra till att uppnå miljökvalitetsmålen Ingen övergödning och Giftfri miljö. Jag noterar samtidigt att det inte är en lätt uppgift, men regeringen har som målsättning att uppnå målen. En skatt på handelsgödsel bör därför införas 2016. När det gäller matproduktionen i Sverige är det viktigt att ha ett helhetsperspektiv och inte enbart fokusera på enskilda styrmedel. Regeringen anser att det behövs en långsiktig livsmedelsstrategi för att skapa förutsättningar för tillväxt i hela livsmedelskedjan och därmed stödja en ökad svensk matproduktion och en ökning av andelen svenskt och ekologiskt i konsumtionen av livsmedel. Strategin om matproduktionen ska omfatta hela värdekedjan, från primärproduktion till konsument. I detta ingår en strategi för jordbruksnäringens utveckling och hur konsumenternas intressen ska tillvaratas. De gröna näringarna behöver ständigt utvecklas för att möta nya behov. Avgörande för såväl landsbygdens konkurrenskraft som primärnäringarnas hållbara utveckling är en väl fungerande kunskapskedja omfattande utbildning, forskning, innovation, försöksverksamhet och rådgivning. Landsbygdens näringsliv ska utvecklas genom förbättrad infrastruktur, tillgång till bredband, närhet till högskolor och forskning samt stöd för att förbättra tillgången till butiker och samhällsservice. Regeringen strävar också efter att det ska vara enkelt att starta, driva och äga företag i Sverige. Att förenkla för företagen är en viktig åtgärd för att skapa fler jobb, sysselsättning och välfärd. Förenkling ska beaktas i allt arbete med förändring av regelverk, både vad avser nationella regelverk och i förhandlingar om EU:s regelverk. För att lyckas med att skapa jobb och tillväxt inom primärproduktionen krävs en innovativ och exportinriktad svensk livsmedelsindustri. De svenska primärnäringarnas ekonomiska styrka kommer av att vi förmår att vara innovativa och säljer högkvalitativa varor på globala marknader. Grundläggande för detta är en hög kunskapsnivå och ett bra innovationsklimat som stärker företagens konkurrenskraft. Innovation och export är därför nyckelfrågor för mig och regeringen i arbetet med att stärka svenska bönders konkurrenskraft i ett internationellt perspektiv. ","S"
"Kristina Yngwe","Fru talman! Tack så mycket för svaret, landsbygdsministern! I svaret står ganska mycket som vi är överens om. Landsbygdsministern säger till exempel att man vill öka livsmedelsproduktionen. Det håller jag absolut med om behövs. Svensk livsmedelsproduktion har minskat drastiskt det senaste decenniet, och nu är knappt hälften av det vi äter producerat i Sverige, detta trots att svensk matproduktion är världsledande när det gäller miljöhänsyn och djurvälfärd. Vi exporterar alltså i dag miljöpåverkan utomlands, till länder där kraven är lägre och djurvälfärden sämre. Det kan vi inte acceptera. Landsbygdsministern vill stärka lantbrukets konkurrenskraft, och även där är vi överens. Hårdare regelverk gör det svårare för svenska lantbrukare att konkurrera med billigare mat från länder med lägre krav. I ljuset av det är det såklart förvånande att man vill införa en handelsgödselskatt. Handelsgödselskatten infördes för 32 år sedan, 1982, och var då 60 öre per kilo. 1994 tredubblades skatten till 1,80 kr, och på den nivån låg den sedan till 2010 då Centerpartiet och Alliansen fick bort den. Det är alltså den skatten som regeringen vill återinföra i ungefär samma form som den var tidigare. Som motivering anges att näringsbelastningen på Östersjön måste minska. Också där är vi överens. Näringsbelastningen på Östersjön måste minska. Låt oss titta lite grann på hur handelsgödselskatten har påverkat näringsbelastningen på Östersjön. Var det så, fru talman, att användningen av handelsgödsel åkte i höjden när skatten togs bort? Nej, jag kan berätta för fru talmannen att det gjorde den inte. Handelsgödselanvändningen har stadigt gått ned, även efter det att skatten togs bort. Varken per hektar, per gröda eller totalt har användningen av mineralgödselkväve ökat, utan kurvan har varit stadigt nedåtgående, både före och efter det att skatten togs bort. Låt oss i stället titta på kväveläckaget, för det är trots allt inte mängden kväve som används utan mängden kväve som läcker ut i våra vattendrag som är det intressanta att titta på. Hur ser det ut? Jo, i Sverige är det genomsnittliga kväveläckaget 14 kilo kväve per hektar. Hos våra kolleger i Danmark är snittet 63 kilo kväve per hektar. Av alla Östersjöländer har Sverige det lägsta kväveläckaget. Det har vi tack vare ett långsiktigt arbete med kunskapshöjande insatser som greppar näringen och tack vare insatser med fånggrödor och andra åtgärder inom ramen för Landsbygdsprogrammet. Men det är inte tack vare någon kväveskatt. Jordbruksverket har räknat ut att en återinförd handelsgödselskatt teoretiskt sett skulle minska kväveutlakningen från svenska åkermarker med ca 1 500 ton. Det motsvarar 3-4 procent av dagens utlakning. Med dagens försäljningsvolym av mineralgödsel och med 1,80 kr per kilo skulle skatten dra in ca 300 miljoner per år, vilket också är den ungefärliga siffra som regeringen anger i sin budgetproposition. Kostnaden för att minska utlakningen skulle därmed motsvara 200 kronor per kilo, en rekorddyr åtgärd i jämförelse med många andra åtgärder som man kunde vidta. En mer effektiv åtgärd är till exempel en ökad samverkan kring lantbrukets påverkan runt Östersjön. Greppa näringen är en sådan framgångsrik exportåtgärd där man arbetar med konkreta lösningar som är till nytta både för miljö och för ekonomi i länderna runt Östersjön. Det som inte är en framgångsrik exportprodukt är just handelsgödselskatten. Sverige var nämligen det enda landet i EU som hade den skatten, en skatt som i efterhand visade sig vara både ineffektiv och dyr. Den vill regeringen återinföra. Därför frågar jag: Hur i hela fridens namn kan regeringen i en situation där bönder dag för dag förlorar mark gentemot utlandet bestämma sig för att återinföra en världsunik och faktiskt ganska verkningslös skatt som kostar lantbruket flera hundra miljoner om året? (forts. § 7) ","C"
"Ulf Berg","Fru talman! Jag kan trösta landsbygdsministern med att rösten inte är alltför bra här heller. Men vi har halstabletter som vi får bjuda varandra på, så att vi kan hålla debatten igång. Jag tillönskar landsbygdsministern ett snart tillfrisknande, för vi har väl samma idé när det gäller det här med interpellationsdebatter. Ju mer ministrarna är i den här kammaren desto mindre skada gör de. Det blir nog fler gånger vi får ses här. Nu ska vi diskutera en annan sak som enligt moderat uppfattning gör skada, och det är den föreslagna skatten på handelsgödsel. I svaret kan vi läsa att det är viktigt med växtkraften i entreprenörskap. Det är liksom en av idéerna med handelsgödsel, att man ska ha fart på växtligheten. Det här tror jag slår alldeles fel. Jag tror inte att problemet med övergödning löses på något sätt med den här skatten. SCB har tittat på frågan i samband med att alliansregeringen tog bort den skatt som jag tror att regeringen Persson införde. Man kan se att det inte blir någon skillnad. Och då har man räknat på areal och liknande och tagit sådan hänsyn. Hur slår då det här? I Dalarna växer det naturligtvis inte lika gott som i Skåne. Men en målsättning sägs vara ungefär åtta ton höstvete per hektar. Då hör det till saken att man behöver ha ungefär 12 procents proteinhalt för att det ska vara brödsäd. Är det vårvete brukar man säga att det helst ska vara runt 14 procent, men jag tror att man kan nöja sig med lite mindre. Det här regleras på ett sätt, och det är genom kvävegödsling. Då är tanken lite intressant. Om man som jordbrukare har planer på att ha brödsäd vet man också att man, om det är en stark växtlighet, kanske måste kompensera med ökad kvävegödsling för att man ska nå brödsädskvalitet. Hur har man tänkt där? Redan i dag är det otroligt dyrt att gödsla. Nu blir jag väldigt teknisk, men om man räknar med att det behövs ungefär 20 kilo per ton - och vi pratar om åtta ton per hektar - kostar det redan i dag ungefär 1 600 kronor. Och då har jag bara pratat om kvävegödsling. Sedan finns det en annan form av gödsling som sker, exempelvis vid höstsådden. Det kanske också blir en hel del. Det här är naturligtvis absolut ingenting som svenskt jordbruk använder mer än vad man behöver. Den rätta vägen att gå handlar om den teknikutveckling som håller på. Det finns i dag svenska företag som styr det här med gps och satellit. Man får hela tiden rätt giva på rätt ställe. Behöver man en större giva inom vissa områden får man mer via kartor och satellit. Det finns andra områden där man inte behöver lika mycket. Då blir det väldigt bra gödsling i förhållande till växtligheten. I dag har vi också skyddskantzoner. Hur har det gått till? Ja, enligt Jordbruket självt sade man bara: Vi tar x meter. Det är ett ganska ineffektivt sätt. I dag vet man att läckaget ser lite olika ut på olika ställen. Men den delen får jag återkomma till senare i debatten. ","M"
"Anders Forsberg","Fru talman! Jag får väl också önska landsbygdsministern ett tillfrisknande, som alla andra gör. Jag har egentligen en fundering. Vilken sorts landsbygd är det regeringen vill satsa på? Regeringens landsbygdsbudget för 2015 innehåller ett sammelsurium av dåligt underbyggda förslag, straffskatter och nya pålagor. Regeringen verkar ha en fortsatt tro att svenskt jord- och skogsbruk och dess industri lever i högsta välmåga. Snarare är det så att det svenska lantbruket lever i en hård konkurrensutsatt internationell marknad i dag, där vi snarare måste sträva efter bättre konkurrensvillkor än nya ekonomiska snaror. Regeringen har i sin budget lyft fram förslag på en ny livsmedelsstrategi. Utredningar och strategier i all ära, men det svenska jordbruket och landsbygden behöver framtidstro och optimism för att kunna utvecklas. Det är knappast något som man bidrar med genom flera skattehöjningar eller förslag som slår hårt mot landsbygden och svensk livsmedelsproduktion. Fru talman! Så här ser regeringens satsningar, eller snarare straffskatteförslag, som jag skulle kalla dem, ut. Man har förslag om högre skatt på uppvärmningsbränslen, 100 miljoner, förslag om högre skatt på diesel till arbetsmaskiner inom jord- och skogsbruksnäringen, 380 miljoner, och förslag om en återinförd handelsgödselskatt från 2016, ca 300 miljoner. I vågskålen ligger också förslag om en vägslitageavgift som skulle kunna påverka landsbygden och företagen, som verkar där, kraftigt. Jag återkommer till gödselskatten. Vi har diskuterat den förut. Jag tror att de flesta i den här lokalen är ganska väl insatta. Det har egentligen ingen påverkan om vi har en gödselskatt eller inte. Det är snarare geografi, jordart eller djurintensitet som avgör detta, inte om odlingen bedrivs ekologiskt eller inte. Jordbrukets läckage av växtnäringsämnen har minskat under de senaste åren genom minskad spannmålsodling och ett målmedvetet miljöarbete. För att minska övergödningen behöver vi satsa mer på stöd till skyddszoner och mer på fånggrödor, minskad jordbearbetning och ökad vallodling. Andra åtgärder kan vara effektivare gödsling, bättre dränering eller strukturkalkning. Vi i Sverige har tydliga miljöregler när det gäller konstgödsel och naturgödsel från våra lantbruksdjur och hur vi sprider det. Det går dock inte att bortse från att det i vissa områden i Sverige med hög djurtäthet kan finns en högre risk för näringsläckage. Detta är något som svenska lantbrukare ihop med myndigheter och rådgivningsorganisationer arbetar med, och de gör framsteg. Fru talman! Vi tror inte att en ny gödselskatt med en ineffektiv verkan kommer att påverka särskilt många bönder att lägga om till ekologiskt eller att det skulle minska användningen av konstgödsel. Regeringens förslag verkar snarare vara ännu en ursäkt för att stärka statens skrala ekonomi på böndernas bekostnad. Frågan återkommer som snön i december. Med nya skattehöjningar på nästan 700 miljoner, som är föreslagna, undrar vi vilken sorts landsbygd regeringen vill se - ett nedmonterat med utflyttad produktion eller ett levande livskraftigt svenskt jordbruk? Hur kan man annars tolka regeringens förslag? Är det här början på en ny fimbulvinter för Sveriges bönder, eller kommer vi att få se våren någon gång under de kommande fyra åren? ","SD"
"Magnus Oscarsson","Fru talman! De svenska mjölkbönderna är just nu inne i sin kanske svåraste tid någonsin. I genomsnitt en mjölkbonde per dag slutar. Varför? Priset på mjölk ligger på bottennivåer, och tyvärr fortsätter det att sjunka. Grisbönderna är i kris. De har haft det tufft en längre tid, och bönderna lägger ned sina verksamheter eller funderar på att göra det. Sverige har i dag en mycket låg självförsörjningsgrad. Den är nere på 40 procent. I det läget, fru talman, drämmer regeringen till med en vänstersmocka som heter duga. Regeringen vill återinföra skatten på handelsgödsel, trots att en utvärdering visar att den saknar miljöstyrande effekter. Lantbrukare som jag har talat med talar om att det kommer att kosta tusentals kronor för dem. En jag talade med pratade om 75 000 kronor, en annan pratar om 100 000. Den tredje jag pratade med sade att det kommer att kosta ungefär en årsanställd om det här införs. Min fråga till landsbygdsministern är: På vilket sätt kommer återinförandet av skatt på handelsgödsel att hjälpa de lantbrukare som just nu har det så tufft? ","KD"
"Johan Büser","Fru talman! För mig som socialdemokrat handlar hållbarheten om tre saker. Det är de ekonomiska, ekologiska och sociala perspektiven. Att balansera dem och hålla ihop dem måste vara utgångspunkten när vi fattar olika typer av beslut. I den här interpellationen om skatt på handelsgödsel är det viktigt att skilja mellan äpplen och päron. Landsbygdsministern har redan på ett föredömligt sätt förklarat hur potentialen inom de gröna näringarna och inom livsmedelsindustrin ska tillvaratas för att vi ska kunna nå regeringens mål om EU:s lägsta arbetslöshet 2020. Det behöver jag alltså inte gå vidare in på här. Vad den här interpellationen egentligen handlar om, och vad det handlar om för oss, är att vi måste nå miljömålet Ingen övergödning. Vi vet att näringsämnen från jordbruk, trafik och avlopp övergöder haven. Det leder till syrebrist och döda bottnar, igenvuxna vikar och krympande vattenytor. I förlängningen drabbas vår förmåga att producera mat och möjligheten till rekreation, och det påverkar också besöksnäringens inkomster. Vi vet att fisket i Stockholms skärgård drabbas negativt av detta. Här har vi alltså flera aspekter som drabbas negativt av övergödning, både ur det ekonomiska perspektivet och det ekologiska perspektivet. Naturvårdsverket säger att miljömålet Ingen övergödning inte går att nå med nuvarande styrmedel. Därför menar vi från Socialdemokraternas och naturligtvis från regeringens sida att det krävs en sammanhållen och mer ambitiös miljöpolitik för att klara de stora miljöproblemen i våra hav. Det viktigaste styrmedlet som vi hade just för att minska övergödningen var skatten på handelsgödsel som den borgerliga regeringen tidigare tog bort. Kristina Yngwe som har ställt den här interpellationen hävdar att användningen av handelsgödsel minskade trots att skatten togs bort. Men det är på sätt och vis ett siffertricksande, för när skatten togs bort höjde ju branschen priserna. Under den borgerliga regeringens år försvann också 15 000 helårsarbetare inom jordbruket, och markarealens användning minskade. Det är rimligen därför som användningen av handelsgödsel minskade. Vi missar i dag 14 av 16 miljömål. Centerpartiet säger sig vilja vara den gröna rösten inom Alliansen, men man presenterar inga konkreta förslag på hur vi ska nå målet Ingen övergödning. Några sådana förslag har vi inte sett, och det bör man rimligen presentera om man säger sig vara överens med oss i den här frågan. Jag tror alltså på vår samarbetsregering med Socialdemokraternas och Miljöpartiets förslag, och jag välkomnar en politik som förmår att förena de ekologiska, de ekonomiska och de sociala perspektiven. ","S"
"Hannah Bergstedt","Fru talman! Ett av sexton miljömål beräknas uppnås till 2020. Vi har haft åtta år med allianspolitik, och Naturvårdsverkets rapport efter de här åtta åren konstaterar att de lagar och styrmedel som finns inte är tillräckliga för att vi ska uppnå miljömålen. Algblomning och bottendöd expanderar. Övergödningen anses vara huvudorsaken. När vi med den situation vi står inför också konstaterar att de åtgärder som den tidigare regeringen har fattat beslut om för att motverka detta inte fungerar och inte når miljömålen, ja, då måste en ny regering ta ansvar, för det här handlar naturligtvis om framtiden. Vad som inte framgår i den här debatten är att när den här skatten togs bort var det dessutom direkt emot de rekommendationer som regeringens egen expertmyndighet uttalade kring just handelsgödselskatten. Man får gärna också bilden av att Alliansen var överens. Jag konstaterar att åtminstone ett parti i den tidigare alliansregeringen tillhör dem som faktiskt har varit självkritiska. Det är Folkpartiet som för inte alltför länge sedan gick ut med en debattartikel undertecknad av partiledaren, där man konstaterar att en form av handelsgödselskatt är nödvändig för att vi ska kunna nå de miljömål vi har. Även lantbruksorganisationer som LRF lyfter upp handelsgödselskatten och konstaterar att det kanske vore på sin plats - om vi pratar om konkurrens, för ordet \"konkurrens\" har jag hört ett antal gånger i kammaren i den här debatten - att jobba på internationell nivå i klimatarbetet för att andra länder också ska införa en handelsgödselskatt. Det är ju klart att det påverkar det svenska jordbrukets produktion i jämförelse. Men i stället för att backa på de egna viktiga miljömålen kanske vi ska vara den starka rösten i det internationella samarbetet som tar ansvar för miljön. Jag vill ställa följande fråga till mina borgerliga kolleger: Ska verkligen konkurrensvillkoren betalas med en försämrad miljö, eller finns det andra vägar att se till att svensk livsmedelsproduktion och svenskt jordbruk får bättre förutsättningar? Jag tror att det finns annan politik för det än att inte ta ansvar för de konsekvenser som försämringen av miljön verkligen ger. Det kan handla om kunskap. Vi har ju ett stort behov av en ökad kunskap om hur vi kan minska övergödningen. Tidigare i debatten har frågan till exempel lyfts fram om fånggrödor och fler utökade skyddszoner. Det finns mycket vi kan göra, och för det krävs forskning och utveckling. Där har vi en samverkansregering som är redo att ta ansvar. ","S"
"Landsbygdsminister Sven-Erik Bucht","Fru talman! Tack för alla tillönskningar om tillfrisknande! Så är det nog också med svensk livsmedelsproduktion: Den mår bra om den är frisk och håller en hög kvalitet. Kristina Yngwe försöker ge en bild av att det inte finns någon miljöpåverkan. Men den handelsgödselskatt som fanns tidigare gav faktiskt en effekt, särskilt när det gäller kadmiuminnehållet som minskade från 25 gram per ton till 5 gram per ton. Vi vet att kadmium inte är bra för våra livsmedel. Kadmium påverkar benskörhet och ger njurskador. Man misstänker inom forskningen att det finns även andra negativa effekter. Det är viktigt med fräscha, bra och kvalitativa livsmedel. Kväve skapar övergödning, och handelsgödsel ger effekter. Skatten införs inte 2015 utan vi säger att den bör införas 2016. Vi vill att skatten ska få största möjliga effekt på miljön. Vi vet inte exakt hur stor kostnaden blir, men den kan bli ungefär 300 miljoner. Den tidigare skatten drog in 300 miljoner. I stort sett alla pengarna återfördes till svenskt jordbruk. Jag håller med om att teknikutvecklingen är viktig. Teknikutveckling är en effektivare metod. Utvecklingen drivs framåt om det blir en skatt som gör att det blir dyrare att använda handelsgödsel. Man ska också komma ihåg att värdet på stallgödsel kommer att öka. De bönder som har ekologiska odlingar drabbas över huvud taget inte av en eventuell framtida handelsgödselskatt. Bönder med djurhållning drabbas i liten utsträckning, men givetvis kommer det att bli en kostnad för växtodlarna. Jo, Magnus Oscarsson, alliansregeringen minskade antalet sysselsatta inom svenskt jordbruk med 15 000. Under alliansregeringens tid minskade vår självförsörjningsgrad ytterligare. Sverige är det land i Europa som har lägst självförsörjningsgrad i dag. Regeringen vill ta tag i den frågan. Där är en nationell livsmedelsstrategi ett oerhört viktigt instrument. Jag hoppas att vi ska bli många aktiva i det arbetet från politiken, från näringen, från akademin och så vidare. Vårt land behöver en riktning för den svenska livsmedelsproduktionen. Det handlar om primärproduktionen, stora livsmedelsindustrier och mindre livsmedelsindustrier. Det handlar om handel och att stimulera export. Svenskt jordbruk håller en oerhört hög kvalitet, och även de andra kedjorna håller en hög kvalitet. Det finns möjligheter att ta nya marknadsandelar för svenska livsmedel ute på världsmarknaden. ","S"
"Kristina Yngwe","Fru talman! Jag vet att jag talar snabbt och att jag talar skånska, och inledningsvis var det kanske svårt att höra vad jag sade. Men det handlar inte om siffertricksande. Jag sade att varken per hektar, per gröda eller totalt har mineralgödselkvävet ökat. Det är inte bara siffertricksande. Jag förutsätter också att ministern vet att kadmiumanvändningen inte har någon koppling till kväve utan till fosfor. Om vi ska prata kvävegödsling handlar det om den reella påverkan på läckaget. Allt visar på att skatten på mineralgödselkvävet inte har haft någon effekt. I sammanhanget kan det vara bra att påpeka att när gödselskatten tredubblades under den socialdemokratiska Perssonregeringen 1994 motiverade man åtgärden med att intäkterna skulle finansiera jordbrukets del av Sveriges avgift till EU. Det gör det mer tydligt att gödselskatten egentligen är en pålaga som har införts som ett sätt att finansiera annan verksamhet snarare än att den är ett miljöpolitiskt styrmedel. Fru talman! I somras läste jag en ledare i Aftonbladet om handelsgödselskatten och övergödningen i Östersjön. Det fanns en mening i ledaren som jag tycker på ett utmärkt sätt kan sammanfatta hela debatten om handelsgödselskattens vara eller icke vara, nämligen att det symbolmässigt var dåligt att handelsgödselskatten togs bort. Men svenska bönder driver inte symbolmässiga företag. Jag och mina kolleger har inte råd att betala notan för regeringens symbolpolitik. En annan regeringsföreträdare som var här alldeles nyss, utbildningsminister Gustav Fridolin, sade i sitt numera ökända tal till lärarna att ideologi ska hållas borta från skolans värld och de att skolpolitiska besluten ska baseras på vetenskap och beprövad erfarenhet. Varför gäller inte samma sak regeringens jordbrukspolitik? Vetenskap och beprövad erfarenhet säger att handelsgödselskatten inte påverkar handelsgödselanvändningen. Vetenskap och beprövad erfarenhet säger att det mest effektiva sättet att förbättra Östersjöns status inte är att införa en kväveskatt. Vi måste absolut hushålla med kvävet och minska det svenska lantbrukets påverkan på Östersjön. Vi måste även tänka på sårbarheten i fråga om växtnäring. Men att nöja sig med symbolpolitik är i mina ögon inte något annat än att svika både miljön och bönderna. Är det så det är tänkt att bönderna ska behöva finansiera verksamhet i regeringen? Är det så det är tänkt att symbolpolitik i framtiden ska utövas på lantbrukarnas bekostnad? ","C"
"Ulf Berg","Fru talman! Jag kan fortsätta där Kristina Yngwe slutade. Det är hög tid att kammaren börjar inse att svenskt jordbruk sedan 20 år tillbaka befinner sig på en konkurrensutsatt marknad. Ibland får jag intrycket att vi hela tiden tror att svensk livsmedelsproduktion är något som vi kan ha bara innanför våra gränser och att det vi åstadkommer i ökade kostnader kan vi direkt ta ut på konsumenten som går till Coop och Ica. Fungerar det så? Nej, vi är väl medvetna om att det inte fungerar så. Då är det hög tid att vi erkänner att svenskt jordbruk är världens renaste jordbruk och hela tiden har sysslat med teknikutveckling. Därför är det otroligt trist att det införs en straffskatt som i stort sett inte berör miljön på något sätt. Det har talats om skyddszoner, och det har varit fråga om x meter. Jag har pratat med någon som var med på Jordbruksverket. På frågan om det fanns någon forskning i frågan var svaret nej. Med tanke på hur en åker ser ut kanske det ska läggas till fler meter i svackor och liknande. Där kan det vara en större risk. Jag ser svenskt jordbruk som en otrolig framtidsnäring om vi gör rätt saker. Kommande 40 år ska vi producera lika mycket livsmedel som har producerats under 8 000 år. Det beror på att vi nu är betydligt fler på detta klot, och även om vi inte tror det får folk det allt bättre. De kommer inte att äta ris morgon, middag och kväll. Det kommer alltså att finnas en fantastisk global marknad med svenska livsmedel av oerhört hög kvalitet. Varför då kasta grus i maskineriet? Det är ungefär som om vi skulle säga till Volvo att kostnaderna för att producera bilar ska höjas eftersom de orsakar lite skador i trafiken. Det som händer då är att biltillverkningen flyttas till andra länder. Det är ungefär som om vi ska åka till landsbygdsministerns hemtrakter och säga att vi nu ska höja priset på Malmbanan till Narvik eftersom brytningen inte är helt bra. Hur kommer det att påverka gruvan? Jo, det blir precis som hur handelsgödselskatten påverkar svenskt jordbruk.  Ska det vara så svårt att förstå att jordbruk är ett företagande, inte ett miljöprojekt? Det är hög tid att ställa om siktet och konstatera att svenskt jordbruk behövs för våra öppna landskap. Då kan vi ha en turistnäring värd namnet. Men om den här utvecklingen fortsätter kommer vi att se att det behövs mer skog och åkrar för att producera livsmedel. Jag är jägare, och jag har gått över åkrarna som det är skog på. Och på vissa ska det vara skog - det behöver vi inte diskutera. Men när jag hör landsbygdsministerns stödtrupper i talarstolen måste jag säga att jag blir ännu mer orolig för svenskt jordbruk. Man ser det hela tiden ur ett miljöperspektiv, när det är ett företagande. Jag hoppas verkligen att landsbygdsministern har en klokare syn på svenskt företagande än hans partikolleger har. ","M"
