"Åsa Romson","Herr talman! Vi går från en större energi- och klimatdebatt till en som kanske är lite mer preciserad. Annika Qarlsson har frågat mig hur jag och regeringen ser på den småskaliga vattenkraften samt om jag och regeringen är beredd att ta initiativ till någon generell åtgärd med anledning av tillståndsprocesserna. Vattenkraften i stort spelar i dag en central roll för Sveriges förnybara elförsörjning både som enskild produktionskraft och vad gäller stora och medelstora kraftverk, som regler- och balanskraft. En fortsatt hög produktion av vattenkraft är en viktig del i arbetet med att motverka klimatförändringar och en förutsättning för att uppnå en ökad andel el från förnybara energikällor såsom vind- och solkraft. Den småskaliga vattenkraften står för en mindre del av produktionskraften medan den stora och medelstora vattenkraften står för strax under 98 procent av den totala produktionen. Den småskaliga vattenkraften kan dock ha viss betydelse ur effektsynpunkt. 100 procent är ju mer än 98 procent. Den fysiska påverkan från vattenkraften på vattendragen kan dock innebära stora konsekvenser för ekosystem och biologisk mångfald. De flesta svenska vattenkraftverk och regleringsdammar har, precis som Annika Qarlsson påpekar, endast prövats enligt äldre bestämmelser - det stora flertalet enligt 1918 års vattenlag. Det är alltså för nästan 100 år sedan. Dessa äldre rättigheter och tillstånd innehåller sällan villkor om hänsyn till naturmiljön. De villkor som ändå finns fokuserar många gånger på kompensation för förlust av fiske genom krav på utsättning av odlad fisk. Som Annika Qarlsson påpekar tillsatte den förra regeringen en utredning för att se över reglerna om vattenverksamheter. Utredningen fick i uppdrag att ta fram förslag till ändringar som säkerställer att alla tillståndspliktiga vattenverksamheter har tillstånd i överenstämmelse med de miljökrav som ställs i miljöbalken och att de lever upp till de krav som följer av EU:s rättsliga åtaganden i fråga om vattenkvalitet och påverkan på djur- och växtlivet. Förslagen från Vattenverksamhetsutredningen har skickats ut på remiss och bereds för närvarande inom Regeringskansliet. Regeringen avser att återkomma till riksdagen i frågan. Länsstyrelserna i hela landet har tillsynsansvar över all vattenverksamhet inom sina respektive län. Jag ska påpeka att den tillsynen sker i enlighet med sedan länge beslutade regelverk. Tillsynen kan inte ske utifrån vad som föreslås i ett ännu inte färdigberett utredningsbetänkande. Vad gäller en länsstyrelses agerande i egenskap av tillsynsmyndighet i ett enskilt ärende är det inget som jag kan kommentera eller påverka med mindre än att jag utövar ministerstyre. Om det däremot skulle vara så att de olika länsstyrelserna skiljer sig åt i fråga om sin generella tillsyn av vattenverksamhet är detta något som jag är beredd att titta närmare på. ","MP"
"Annika Qarlsson","Herr talman! Runt om i Europa utvecklar man den småskaliga vattenkraften. I Sverige finns ett fåtal som satsar rejält, till exempel Ålem Energi i Blomstermåla, men de allra flesta moderniserar i liten skala. Ett företag som levererar kontrollutrustning till upprustning av äldre vattenkraftverk har lyckats växa från 20 till 30 anställda. Detta är alltså även en jobbfaktor. Bara i Västra Götaland finns 300 småskaliga vattenkraftverk som har drygt 100, 200 eller 500 år på nacken. I Sverige finns fantastiska möjligheter till utveckling om signalen blev tydlig att man är önskvärd och att man är en del av lösningen - inte ett problem. Förslagen i Vattenverksamhetsutredningen som nu bereds kan bli dödsstöten för många av de små vattenkraftverken. Men redan nu finns ett annat reellt hot. Det har gjorts en särskild satsning på länsstyrelsernas tillsyn med fokus på kraftverk, dammar och vattenreglering. Det är delvis resultatet av den som gör att vi står här i dag. Ett drygt trettiotal av Västra Götalands 300 småskaliga vattenkraftverk har fått krav på miljöprövning eller utrivning och återställning hem i brevlådan. Länsstyrelsen i Västra Götaland har med sitt agerande missat intentionerna i satsningen. I den skrivelse som lades på riksdagens bord när satsningen på länsstyrelsernas tillsyn gjordes står att Naturvårdsverket, Kammarkollegiet, Myndigheten för samhällsskydd och beredskap, Havs- och vattenmyndigheten och länsstyrelsen ska tillvarata miljöintressen och andra allmänna intressen i ansökningsmål enligt miljöbalken. Men regeringen skriver också inför denna tillsyn om omprövning av tillstånd på myndighetens initiativ: \"En sådan omprövning är en ingripande tvångsåtgärd, men får inte leda till att verksamheten inte längre kan bedrivas eller avsevärt försvåras.\" Det trettiotal verksamheter i Västra Götaland som har fått delgivningsbeslut aviserar att kraven inte är möjliga att uppfylla. Vid de tillsynsbesök som har gjorts har vattenkraftsägarna efterlyst dialog med länsstyrelsen, men de upplever inte att det har hörsammats. Alla jag har mött är helt på det klara med att man ska vara beredd att vidta de faktiska åtgärder som krävs för att möta de krav som ställs, bara man får reda på vad det i så fall är man behöver göra. Det man däremot vänder sig mot och inte ser sig ha möjlighet att uppfylla är kravet på nyprövning av tillstånd, för verksamhet som man sedan länge har bedrivit inom lagens ramar, till kostnader som vid beräkningar av de samlade kostnaderna landar på uppåt 700 000 kronor per tillstånd. I ett exempel handlar det om två tillstånd som krävs på drygt 400 000 vardera på en årsomsättning på 1 ½ miljon. Det är orimliga summor. De signaler jag får från de små vattenkraftsägarna är att de är beredda att vidta de faktiska åtgärderna. Vi satsar gärna pengar för att göra det möjligt att fortsätta att samexistera, säger de. Med rätt använda resurser kan både miljönytta och samhällsnytta utvinnas i stället för att man mal ned det i byråkratiska kvarnar. Det finns en avgörande princip som jag vill ställa en följdfråga till klimat- och miljöministern om. Anser statsrådet att det är en omprövning som i den aviserade skrivelsen till riksdagen står fast, eller är det en nyprövning som krävs? Anser statsrådet att detta är rimliga kostnader att ålägga småföretagare för att de ska kunna fortsätta bedriva verksamhet som sedan länge har varit inom lagens ram? Jag blir lite tveksam när jag läser svaret, så jag ställer återigen frågan: Hur ser statsrådet och den svenska regeringen på vikten och värdet av den småskaliga vattenkraften? ","C"
"Lars Tysklind","Herr talman! Jag vill först tacka Annika Qarlsson för en viktig interpellation. Jag tror att detta är någonting som vi måste diskutera. Från Folkpartiets utgångspunkt ser vi när det gäller prövning av vattenkraft att det är viktigt att vi nu kommer fram och får ändamålsenliga omprövningsprocesser så att även vattenkraften kan uppfylla de krav som finns i miljöbalken. Man måste få det prövat så långt det är möjligt. Annika Qarlsson tar upp en situation som uppkommer. Också jag har besökt en hel del småskaliga vattenkraftverk och sett att de hamnar i något slags vanmaktssituation. De får krav på sig som inte är möjliga att uppfylla. Jag tror inte att någon egentligen är ute efter att man ska göra processen i sig så kostsam och omfattande att verksamheten slås ut. Då har man inte vunnit någonting, för det finns många verksamheter där man med enkla medel och till kostnader som klart understiger själva prövningskostnaden skulle kunna göra oerhört stor miljönytta och helt enkelt lösa problematiken. I de flesta fall finns det sidoflöden och sådant som man skulle kunna utnyttja ganska bra i de här kraftverken. Jag tycker att vi har hamnat i något slags moment 22. Här vill vi väl, och vi har en process på gång för att få fram ändamålsenliga prövningsprocesser. Samtidigt pågår en utslagning av verksamheter som mycket väl skulle kunna leva vidare och uppfylla kraven när det gäller både biologisk mångfald och ekosystem i övrigt. Vi hoppas verkligen att den fortsatta beredningen av själva Vattenverksamhetsutredningen och annat som pågår kan ge ändamålsenliga processer i framtiden. Men det hjälper tyvärr inte dem som råkar ut för omprövning nu. Det blir på något vis ett moment 22; antingen går man med på en omprövning eller får krav på sig att driva ut sin anläggning. Och det är lika kostsamt. Verksamhetsutövaren hamnar som sagt i en vanmaktssituation. Jag är medveten, ministern, om att vi inte kan börja med ministerstyre mot Länsstyrelsen i Västra Götaland eller någon annan länsstyrelse heller. Men detta är ändå statens förlängda arm. Och nu ser man enskilda människor som känner att det inte finns någon som helst dialog, att deras synpunkter inte går fram. I det sammanhanget kan man som politiker bli lite ledsen. Man ser att detta inte kan vara meningen. Det kan inte vara detta som vi ville ha när vi skapade de här lagarna. Detta handlar dessutom inte bara om elproduktion. Det handlar mycket om bygder med kulturhistoria och kulturhistoriska sammanhang där man har haft verksamhet under lång tid. Sedan är vi säkert helt eniga om att vi måste komma bort från alla verksamheter som är prövade enligt 1918 års lagstiftning. År 1918 hade vi fortfarande dödsstraff i det här landet, och kvinnor hade inte börjat rösta ännu. Det är alltså ganska länge sedan. ","FP"
"Mattias Bäckström Johansson","Herr talman! Interpellanten tar upp en mycket angelägen fråga som inte heller är av alltför irrelevanta energipolitiska mått. I dag är produktionen från småskalig vattenkraft över fyra terawattimmar elenergi, och det alstras från ungefär 2 000 småskaliga vattenkraftsstationer. Effektmässigt ligger man ungefär i paritet med den sammanlagda effekten från en kärnkraftsreaktor. Det torde ha viss betydelse för de behov som ändå finns i vår kraftbalans även vintertid. På många av de platser där det i dag finns kraftverk har energin utnyttjats under mycket lång tid. På vissa av platserna kan utnyttjandet av vattnet spåras ända till medeltiden. Således är det även en del av vår kulturhistoria. Då utnyttjades vattnet främst till kvarnar, sågar, stampar och andra vattenverksamheter. Förr utnyttjades vattnet, dammar och andra fallhöjder i större utsträckning än i dag på vissa platser. Många av vattenkraftverken är dock även strömkraftverk som inte reglerar någon vattennivå utan släpper igenom samma mängd vatten som de tar emot. Således är de direkt beroende av det vattenflöde som råder i vattendraget. De småskaliga vattenkraftverken är ofta placerade på landsbygden, och de intäkter som ändå genereras är för många helt avgörande och nödvändiga för den övriga näringsverksamhet som man bedriver jämte kraftproduktionen. Den är inte kärnverksamheten för de allra flesta som håller på med detta, utan man har ett starkt beroende av just de intäkterna eftersom man i sin verksamhet kan ha gjort sig oberoende av kostnaden för elenergi eller av den extra intäkten för att hålla verksamheten igång. Vad gäller nyprövning av tillstånd har ändå 97 procent av kraftverken och regleringsdammarna gamla tillstånd på vilka man bedriver sin verksamhet. Det hinder som finns i dag är att omfattande nyprövningar av befintliga tillstånd väntar, oavsett storleken på produktionen. Producenten får då betala motpartens kostnader för såväl utredningar som advokater och ombud, oberoende av storlek. Även om det är en liten anläggning som genererar energi till ett ekonomiskt värde av kanske 10 000-20 000 kronor kan man förvänta sig kostnader på 200 000-500 000 kronor för tillståndsprövningen. Och då är det inte heller säkert att man kan få tillståndet. Man har alltså gjort en jättesatsning och får ingenting tillbaka. Ingen är beredd att chansa på det sättet över huvud taget. Problemet i sammanhanget är just att prövningen kan kosta i praktiken hur mycket som helst. Den kostar lika mycket för de allra minsta kraftverken som för de största. Vi tycker att det är en orimlig ordning att kostnaden för nyprövning inte står i relation till produktionskapaciteten. De allra minsta aktörerna kan inte avkrävas samma mått eftersom de har helt andra förutsättningar. Det är intressant att veta hur man ser på det. Är de miljöförbättrande åtgärderna intressanta, och bör fokus ligga på dem? Eller ska man köra över dem som trots allt har gamla tillstånd och tvinga dem till nyprövningar som inte leder till någon miljöförbättring? Borde inte fokus tvärtom ligga mer på att de ekonomiska insatserna görs för miljöförbättrande åtgärder? ","SD"
"Patrik Björck","Herr talman! Jag vill tacka Annika Qarlsson för en viktig interpellation. Jag vill även tacka statsrådet för svar på densamma. Jag vill understryka det som har sagts och det som Annika Qarlsson tar upp i interpellationen. Jag vill också ta upp det som Lars Tysklind var inne på, nämligen att det här även har en kulturhistorisk dimension. På den svenska landsbygden har vi odlingslandskap, ängar, hagmarker och annat. Men vi har även kvarndammsmiljöer och gammal vattenbruksmiljö som egentligen har samma funktion som en ekhage eller något annat. Och man skulle aldrig komma på tanken att ålägga markägaren att hugga ned ekarna. Detta är lite grann i samma dimension. Och för oss som bor på landsbygden är det viktigt att belysa även den aspekten. Även rimligheten har nämnts, och man har påpekat att tillstånden kanske kostar mer än hela företaget omsätter. Det är alltså totalt orimliga kostnader. Jag utgår från att man är medveten om det på något sätt när man hanterar utredningen. Statsrådet säger också att utredningen har varit på remiss och att den bereds för närvarande. Jag utgår då från att de värsta avarterna i utredningen hanteras. Liksom Annika Qarlsson mycket riktigt påpekar finns det också ett närmare hot. Det är det som Länsstyrelsen i Västra Götaland ägnar sig åt när de i dag realiserar kraven i utredningen trots att det mycket riktigt står i statsrådets svar att man naturligtvis inte kan ha en tillsyn som grundar sig på en utredning som inte är färdigberedd. De enskilda människorna och de enskilda familjerna i det här fallet lider kval i dag och har en väldigt svår situation. De har svårt att sova och svårt att veta om deras företag ska kunna fungera ifall de får ett sådant brev i brevlådan. Det här är en akut situation. Jag väljer att tolka statsrådets svar positivt. Det öppnar ändå för att man skulle kunna se över ifall det finns länsstyrelser som agerar utanför sin roll och gör saker som de kanske inte har fog för egentligen. Jag skulle vilja uppmana statsrådet att ta till sig det och se över det så fort som möjligt. Nu är nämligen enskilda företagare, enskilda familjer och enskilda människor rädda för att gå och hämta posten i postlådan. Så ser verkligheten ut i dag. ","S"
"Åsa Romson","Herr talman! Jag vill tacka för mycket engagerade inlägg av riksdagsledamöter från olika delar av Sverige som har erfarenhet av lokala förhållanden. Sverige är onekligen ett land som är rikt på vattendrag, och genom historien har man också byggt välstånd och företag kring dessa vattendrag. Det är vi eniga om. Jag är glad att höra att det finns en bred samsyn kring att man med rätt åtgärder kan få både miljönytta och samhällsnytta. Jag tror att det var Annika Qarlsson som sa det. Tysklind påpekade även att de moderna miljökraven är vettiga och att vi behöver stå upp för dem. Det är nämligen inte rimligt att bygga dagens verksamheter på obefintlig kunskap. Inte minst när det gäller biologisk påverkan har ju kunskapsläget gått framåt enormt. Framför allt har också lagstiftaren, det vill säga riksdagen, varit väldigt tydlig sedan 1918 och framåt med att man på miljöpolitikens område försöker hitta en väg där vi får hållbara verksamheter i flera delar. Herr talman! Jag kan konstatera att några av de problem som har tagits upp handlar om att vi i delar av den småskaliga vattenkraften har flera vattenföretag som helt saknar tillstånd. I stället bygger de på en urminnes hävd och reglering, och Mark- och miljööverdomstolen slog 2012 fast att den typen av urminnes hävd i de småskaliga vattenföretagen inte är att klassa som ett tillstånd. Med den lagstiftning vi har betyder detta att man behöver skaffa ett tillstånd. Att man försöker komma från ett tillståndslöst förhållande till ett reglerat förhållande är inte konstigare än vid vilken annan modern reglering som helst. Det behöver man göra på olika sätt. Vi vet att reglering av vattendrag, stora eller små, har en enorm påverkan på den biologiska mångfalden, och jag skulle här i kammaren vilja upplysa om den enorma folkrörelse som finns runt våra vattendrag och möjligheter till vandrande fisk. Det handlar om turistindustrin men också om de stora rekreationsvärdena i sport- och fritidsfiske som många i vårt land nyttjar. De är väldigt måna om att vi tar tag i den allvarliga miljöinverkan som störningar i den biologiska mångfalden i de strömmande vattendragen är. Till detta kommer att vi har tvingande EU-lagstiftning och vattendirektivet som hänger över. Det finns onekligen, herr talman, stora kulturella värden, och det finns viss energiproduktion från dessa småskaliga vattenkraftverk. Men vi måste hantera detta i ett sammanhang så att vi i en reglerad form kan balansera olika värden mot varandra. Den gällande lagstiftningen, som jag ändå hör att ledamöterna starkt står bakom - att dagens miljökrav enligt miljöbalken ska ha effekt - kommer då att betyda en omvandlingsprocess i flera sådana här företag. Jag är mycket tacksam för de inspel som görs kring hur man uppfattar länsstyrelsens tillsyn runt om i landet. All tillsyn i Sverige från myndigheter ska ske på ett professionellt sätt. Det handlar om dialog, det handlar om effektivitet och det handlar inte minst om att vara tydlig. Jag tar med mig detta för att se om det finns felaktigheter i den proceduren. ","MP"
"Annika Qarlsson","Herr talman! Tack till alla meddebattörer som också har varit ute och besökt dessa verksamheter och med egna ögon sett den förtvivlan som finns hos dessa personer. Tack också till statsrådet, som jag ändå tycker lyssnar in och försöker förstå vad det är vi har mött och nu försöker beskriva. Den sista delen är rätt intressant. Jag tror inte att någon av de småskaliga vattenkraftsägarna som jag har mött motsätter sig en utveckling av artrikedomen eller ansvaret att säkerställa den. När det kommer till exempelvis Nossan kan vi dock konstatera att det tidigt i dess flöde finns ett stort och högt vattenfall som gör att det inte spelar någon roll hur många trappor vi bygger. Fisken kommer inte förbi ändå. Det är inte dämmena som är bekymret där, men det kan behövas andra insatser och åtgärder. Jag konstaterar också att Nossan, trots att den har varit reglerad i över 500 år, beskrivs som ett av Europas mest artrika vatten. Därför blir det lite intressant när man från en länsstyrelse går ut och säger att så här ska det vara, för så här var det en gång. Men här finns miljöer som har vuxit fram under århundranden, som är unika och speciella här och nu, i dag. Därför kan man inte med ett enda penndrag lösa alla vattendrag i Sverige. Man måste i stället utifrån varje unikt vattendrag och dämme komma fram till hur man ska lösa det. I den delen tror jag att det är viktigt att länsstyrelsen får i uppdrag att titta på varje unik förutsättning och möjlighet. Det är kanske inte något för en enskild företagare, utan man behöver ha hjälp och en dialog så att man gör det gemensamt. En fråga som jag inte fick svar på är om man ska bedöma detta som omprövning eller nyprövning. Oavsett om man säger att hävd inte är ett tillstånd var det här fram till rätt nyligen lagliga verksamheter som sågs som möjligheter och tillgångar för arbetstillfällen och som kraftkälla. Det handlar om kulturmiljöer och en möjlighet att lokalt förädla produkter. Här har regeringen en viktig del. Gör man bedömningen att det här är en omprövning har staten ett ansvar. Då är det vi som har stiftat en ny lag som gör att vi måste se till att även dessa verksamheter kommer inom gällande lagstiftning och har tillstånd. Nyprövning skulle jag vilja säga gäller ett nytt ställe som inte har funnits innan över huvud taget. Då ligger det ett större ansvar på den som är ny och ska etablera sig. I den dåvarande regeringens riktlinjer för den tillsyn som tillsattes, och som gör att det är akut här och nu och att vi inte kan vänta på den andra utredningen, fanns det ändå tydliga direktiv om att man inte skulle slå undan benen för de här verksamheterna. Man hade uppdraget att se till att det skulle följa lagstiftningen men med fortsatt möjlighet att bedriva verksamhet. En viktig sak som jag tror behöver uttalas från denna kammare och också från Sveriges regering är att man ser småskalig vattenkraft som en del av lösningen i vår energimix. Det skulle jag välkomna. ","C"
"Mattias Bäckström Johansson","Herr talman! Det välstånd som statsrådet nämner är viktigt att slå vakt om, och med rätt fokus på miljöförbättrande åtgärder behöver det inte ligga på kollisionskurs med exempelvis fisketurism och möjligheter till att få en växande turism på landsbygden. Det är någonting som jag i allra högsta grad tror är möjligt att komplettera. Fokus hamnar dock väldigt fel med de kostnader som nyprövningen medför. I branschen är viljan att investera i miljöförbättrande åtgärder sällan bekymret, men den starka oron kring den omfattande nyprövningen leder till att det inte är någon som vågar investera i sin verksamhet. Ingen vågar investera i några miljöförbättrande åtgärder om man ändå ska lägga ned sin verksamhet. Det är även svårt att få till stånd en kapitalförsörjning. Det är inga kreditinstitut som lånar ut under de förhållanden som verksamheten då bedrivs, om man kommer att påtvingas ett sådant tillståndsförfarande. Det fokus som jag gärna vill att man tar med sig är att det finns en väldigt stark oro kring det här runt om i landet. Det måste klaras ut mer under vilka förhållanden branschen ska leva med sin verksamhet framöver. ","SD"
"Åsa Romson","Herr talman! Jag ska absolut ta med mig den oro som speglas här i salen från många håll i Sverige, där småskaliga vattenkraftsproducenter känner att de inte blir respekterade i att lyfta fram det kulturarv och den värdekälla som de tycker att de förvaltar. Det ska finnas en respekt i relationen mellan myndigheter och de enskilda aktörerna. Jag ska passa på att försöka förtydliga mig i svaret till interpellanten när det gäller omprövning och nyprövning. Omprövning är det instrument som finns från myndigheten i varje fall där det finns ett tidigare tillstånd men där till exempel en del modernare miljökrav måste införlivas. Då är det omprövning som är myndighetens redskap och som myndigheterna i Sverige har använt i många år när det gäller många av vattenkraftsföretagen, både stora och små. När det pratas om nyprövning i dessa sammanhang handlar det om en tillståndslöshet. Särskilt i den småskaliga vattenkraftssektorn finns sedan utslaget i Mark- och miljööverdomstolen för två år sedan en tydlighet om att urminnes hävd inte är att betrakta som ett tillstånd. Det finns privilegiebrev skrivna på 1800-talet eller ännu tidigare som ligger till grund för diskussionen. Våra domstolar i Sverige har slagit fast att de inte gäller i vattenkraftsverksamheten, inte heller i andra verksamheter.  Det måste finnas en likriktning över andra verksamheter för vad som är tillstånd eller inte. Det är ändå domstolarnas sak att avgöra vad som är ett myndighetstillstånd i Sverige 2014 och vad som inte är det. Jag är inte säker på att det ska klargöras just i den här debatten med en omtolkning av det som ändå har prövats i Mark- och miljööverdomstolen. Om det inte finns ett tillstånd för en verksamhet som med dagens regler kräver tillstånd är det myndighetens uppgift att faktiskt påpeka för aktören att tillstånd måste sökas. Det gör man i många verksamheter i dag, och det måste man vara öppen för att göra även när det gäller småskalig vattenkraft. Det kan naturligtvis kännas betungande. Beroende på hur man kommunicerar och underlättar för aktörerna är det en process som kan kännas smärtsam. I rättsstaten Sverige tror jag att vi alla är betjänta av att ha tillstånd på områden där riksdagen har fattat beslut om att tillståndsplikt ska gälla. Då är det också bra att alla aktörerna på området ska ha tillstånd och inte befinna sig i ett tillståndslöst förhållande. Det är viktigt, precis som lyfts upp i debatten, att titta på de biologiska värdena i varje enskilt vattendrag. Det är oerhört viktigt. Många aktörer har förståelse för detta. Det är oftast de som förvaltar och driver vattenkraftverken, och de har ofta historiska familjeband till markerna och dammarna. De vet nästan mest om den biologiska mångfalden och den utveckling som har skett. Det är en oerhört viktig kunskapskälla. Det är också viktigt, precis som interpellanten pekar på, för den individuella kartläggningen av varje enskilt vattendrag. Det är därför ärendena hanteras individuellt. Tillståndsbesluten från länsstyrelsen är individuella, och även i processerna i domstolarna hanteras varje vattendrag individuellt. De biologiska värdena ska kartläggas i varje hänseende. Jag önskar naturligtvis att det aldrig ska finnas en konflikt mellan till exempel fisketurism och moderna vattenkraftverk, men ibland blir det en balansgång som måste avgöras. ","MP"
"Annika Qarlsson","Herr talman! Det kan vara lite olika. Domstol har i en instans hävdat att urminnes hävd inte är gammalt tillstånd. Men i övergångsbestämmelserna till 1880 års vattenrättsordning stadgades att rubbning inte skall göras i den rätt och frihet som man förkunnar bergverk, kvarnar och fiskeriverk och inte heller i fråga om annan rättighet att stänga av eller dämma vattendrag eller i övrigt förfoga över vattnet. Att urminnes hävd ingick bland dessa rättigheter framgår av dåtida riksdagsuttalanden.  Därom tvista de lärde. Det finns alltså olika syn på det hela. Oavsett vad man hittar i ett eller annat protokoll har vattenkraftverk funnits på plats på ort och ställe utan att ha lagförts under århundraden. Oavsett om man i dag, 2014, konstaterar att urminnes hävd inte gäller som ett gammalt tillstånd vill jag ändå påstå att det ur ett samhällsperspektiv ändå har setts som ett tillstånd. Beroende på om kravet är nyprövning med insatser som långt överstiger de omsättningar som de små företagen har är det av vikt och värde att fundera över på vilket sätt man kan möta dessa företag i den nya tillståndsgivningen. Företagen är beredda och förstår att de måste hantera ny lagstiftning, och de är beredda att vidta åtgärder, men de är inte beredda att långt över förmåga, kapacitet och omsättning i företagen betala för en byråkrati som de inte ser förbättrar möjligheterna för deras verksamheter eller för fisket. Jag hälsar Åsa Romson välkommen att göra en rundtur bland Västra Götalands vackra vattendrag. ","C"
