"Magdalena Andersson"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Aron Modig har frågat mig hur jag anser att Sveriges möjligheter att framgångsrikt konkurrera i den globala ekonomin påverkas av de utannonserade skattehöjningarna på utbildning, företagsamhet och hårt arbete. Regeringen föreslår att uppskrivningen av den nedre skiktgränsen för statlig inkomstskatt sker med KPI i stället för med KPI plus 2 procentenheter. Skiktgränsen höjs alltså fortfarande, dock i en lägre takt än tidigare. Vidare föreslår regeringen att jobbskatteavdraget avtrappas med 3 procent av inkomster över 50 000 kronor i månaden. Sveriges konkurrenskraft beror på en rad olika faktorer. Hur skattesystemet är utformat är en faktor. Vad skatteintäkterna används till är en annan. Kvaliteten på exempelvis infrastrukturen och utbildningsväsendet är central för att stärka svensk konkurrenskraft. Därför är det missvisande att titta på en enskild skatteförändring; politiken måste ses som en helhet. Vidare riskerar alltför stora inkomstklyftor att urholka tilliten och sammanhållningen i samhället. Här kan noteras att inkomstklyftorna har vidgats mer i Sverige än i något annat OECD-land. På grund av den tidigare regeringens många ofinansierade skattesänkningar har vi ett stort budgetunderskott. Viktiga investeringar i infrastruktur och utbildning måste därför finansieras fullt ut. Mot bakgrund av detta har regeringen lagt fram en budget utan ofinansierade skattesänkningar, men med viktiga investeringar i infrastruktur och utbildning och med en bra fördelningsprofil. Jag är därför övertygad om att regeringens politik, sedd ur ett bredare perspektiv och som en helhet, kommer att medföra bättre förutsättningar för produktiv verksamhet i Sverige och därmed öka svensk ekonomis konkurrenskraft. ","S"
"Aron Modig","Fru talman! Tack för svaret, finansministern! Det finns flera saker att anmärka på och diskutera i svaret, men jag vill börja i det som jag ser som det allra viktigaste. Det är att regeringens föreslagna höjningar av marginalskatterna urholkar arbetslinjen. Med de föreslagna skattehöjningarna kommer fler att välja fritid framför arbete, och antalet arbetade timmar i ekonomin kommer att bli färre. Sammantaget är det osäkert vilken effekten blir på ekonomins och skatteintäkternas utveckling. Det är inte bara jag och vi företrädare för allianspartierna som säger detta. Det finns en stor bredd av instanser som uttalar sig i den riktningen. Jag vill påtala att regeringen själv i sin budget anger att de skatteförslag som lämnas och aviseras i budgetpropositionen kommer att bidra till att sysselsättningen och bnp dämpas något. Det är skatteförslagen i sin helhet som kommenteras där, men höjningen av marginalskatterna spelar en stor roll. Den senaste långtidsutredningen kommenterade att den högsta marginalskatten i Sverige svårligen kan motiveras eftersom skatter som har så snedvridande effekter att de inte genererar några intäkter alls innebär en samhällsekonomisk förlust enligt alla rimliga värderingar av fördelningspolitiska aspekter.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Inom akademin finns det också flera personer som uttalat sig i liknande riktningar. Professor Lennart Flood vid Göteborgs universitet kommenterade i våras det som då var regeringens förslag inför valet. Han påpekade: Oppositionen vill tillföra mer resurser till skolan genom höjd marginalskatt för höga inkomster. Vår analys visar att en sådan höjning ger mycket begränsade eller inga extra pengar till offentlig sektor. Också från näringslivet hörs liknande åsikter. Krister Andersson, som är chef för skatteavdelningen vid Svenskt Näringsliv, har kommenterat regeringens förslag: Om regeringens föreslagna skattehöjningar genomförs blir det så allvarliga skadeverkningar för ekonomin att det knappt skulle ge några ökade skatteinkomster alls. I stället riskerar skatteinkomsterna till och med att minska. Trots denna breda samsyn framhärdar regeringen med dessa ogenomtänkta skattehöjningar. Jag vill därför fråga finansministern: Är dessa instanser och ni själva inte värda att lyssna till? ","KD"
"Finn Bengtsson","Fru talman! Tack, Aron Modig, för en mycket viktig interpellation, och tack, finansministern, för det svar som har avgivits med anledning av denna interpellation. Aron Modig tog upp nutida tänkare och sakkunniga som kommenterar skatteproblematiken i förhållande till inkomster för enskilda och även för staten. Jag tänker ta oss tillbaka 700 år till när den arabiske matematikern Ibn Khaldun beskrev hur den dåvarande staten kunde optimera ett skatteuttag så att både staten och medborgarna skulle vara vinnare. I dag hänförs denna teori till den så kallade Lafferkurvan, efter nationalekonomen Arthur Laffer. Han ansåg i sina beräkningar att det fanns en brytpunkt när staten och individen båda tjänade på en rimlig beskattning. När man överträtt denna brytpunkt förlorar såväl staten skatteinkomster som individen sin nettointäkt. Utifrån den teorin är det viktigt att veta var det svenska skattetrycket ligger i förhållande till den brytpunkt som antingen genererar mer inkomster eller det motsatta för båda parter. Särskilt viktigt är detta när man gör analyser inför en förändring av beskattningen så att rätt prognos kan göras utifrån en någorlunda vetenskaplig nationalekonomisk teoribildning. Det är den typen av problemställning som gör att jag tycker att med det skattehöjningsförslag som den rödgröna regeringen har lagt fram finns risken att vi inte längre kommer att vara på den positiva sidan på Lafferkurvan. Om vi skulle halka över på den negativa sidan minskar skatteintäkterna till stat, landsting och kommuner trots skattehöjningarna. Dessutom minskar nettoinkomsterna för löntagare. Det finns en osäkerhet kring detta. Men det är helt rimligt att kräva att den typen av beräkningar görs inför varje kommande statsbudget när förändringar av skattesatserna aviseras i budgeten. Den rödgröna regeringen har aviserat att man kommer att öka skatteuttaget från såväl företag som löntagare och därtill öka nivåerna i de många bidragssystem som försörjer människor som inte arbetar eller betalar skatt på sin löneinkomst. Ett exempel som ekonomer emellanåt använder för att visa på när Lafferkurvan övergår i ett negativt saldo var när den så kallade värnskatten infördes som betalas av inkomsttagare. Trots att skatten omhuldas av politiker som vill öka skatteuttaget, till exempel socialdemokrater, vänsterpartister och miljöpartister, är intäkterna från den endast promille av statens skatteintäkter.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Snarast är det så att risken finns att med de skattehöjningar som nu aviseras av regeringen kommer löntagare med en högre inkomst att enbart få ut ca 40 kronor på varje intjänad hundralapp. Kommer detta att vara tillräcklig stimulans för att vilja arbeta och tjäna extra i dessa lönelägen, som regeringen kallt räknar med? Vi kan nog inte vara så säkra på det. Sammantaget finns all anledning att tro att skattehöjarpolitiken kan leda till minskade inkomster som negativt påverkar både samhällets gemensamma och individens enskilda ekonomiska resurser. Inför detta möjliga scenario är det minsta man kan begära att regeringen i sitt kommande budgetförslag beräknar utifrån skatteintäkter som tar hänsyn också till hur en Laffereffekt kommer att kunna slå igenom för statsfinanserna på både kortare och längre sikt. Det vore väldigt viktigt om finansministern kunde kommentera det jag nu har nämnt, eftersom jag saknar detta i budgetpropositionen. Jag vill säga en sista sak om utgiftssidan. Det påstods i den förra interpellationsdebatten att det fanns finansierade reformer i budgeten. Jag påstår att det inte finns en finansierad reform som tar höjd för hur man nu kommer att skruva tillbaka sjukförsäkringsutgifterna. Det är ytterligare ett allvarligt aber om man inte heller har täckning för utgiftssidan när man anser sig ha täckning för inkomstsidan, vilket jag med detta inlägg betvivlar. ","M"
"Håkan Svenneling","Fru talman! Vi behandlar i dag i riksdagen något i Aron Modigs interpellation som skulle kunna kallas för en tankevurpa. Det Aron Modig gör är att han bryr sig om riksdagsledamöter och alla andra i den lilla grupp som tjänar mer än 50 000 kronor i månaden och är orolig för att denna lilla grupp på något sätt skulle fly Sverige i något slags panik över att få lite mer att betala till vår gemensamma välfärd. Jag skulle våga påstå att det är en tankevurpa. När man undersöker vad människor vill med vårt gemensamma samhälle ser vi att de är beredda att betala skatt. När SKL undersöker om människor vill bidra till en välfärd som går att lita på säger de: Ja, om jag vet att just den här skattehöjningen leder till att vi får en bättre välfärd är jag beredd att betala för det. Det gäller på område efter område när man frågar på sakområden. Det vi ser är i stället en borgerlig politik som har misslyckats där människor i hög utsträckning använder sig av skatteflykt och försöker fly till olika skatteparadis runt om i världen. Det tycker jag inte är en utveckling som vi ska ha. Aron Modig kallade det för ogenomtänkta skattereformer. Jag skulle i stället våga påstå att det är väldigt genomtänkta skattereformer som regeringen nu tillsammans med Vänsterpartiet har presenterat. Det är ett samhälle där man kan lita på välfärden och där alla bidrar efter förmåga utifrån den kraft de har för att skapa en gemensam välfärd som går att lita på. Jag är glad över den budget som Vänsterpartiet och regeringen tillsammans har presenterat. Det gör att vi nu får en skattepolitik där man kan bidra mer som höginkomsttagare för ett solidariskt samhälle så att vi får en välfärd som man kan lita på. ","V"
"Jan Ericson"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Nu kom vi in på så många frågor om skatter att jag inte kan hålla mig borta längre även om jag ska spara mig till kommande interpellationer. Jag tycker att diskussionen om vad Alliansens skattepolitik egentligen har medfört har spårat ur fullständigt. Till att börja med har de sänkta skatterna, precis som tidigare interpellanter har nämnt, lett till ökade skatteintäkter. Även om inte finansministern tycker om ekvationen är det så att om man sänker skatter och fler människor kommer i arbete - hela 340 000 fler - ger det mer pengar. Det är fler som betalar skatt även om var och en betalar lite mindre per man. Då får man in mer pengar, och då får man också, som Sveriges Kommuner och Landsting har påpekat, mer resurser till välfärden. SKL säger i en rapport att kommunerna aldrig har haft så mycket pengar som de har just nu. Det är mer pengar än vad som motiveras av prisökningar, löneökningar och den demografiska utvecklingen. Välfärden har aldrig haft så mycket pengar som den har efter åtta år med Alliansen. Dessutom lät jag häromåret riksdagens utredningstjänst räkna på effekterna av skattesänkningarna. Man kom då fram till att de fyra femtedelar som har de lägsta inkomsterna betalar en mindre andel av de samlade skatterna i samhället i dag, medan den femtedel som har den högsta inkomsten betalar en större andel av de samlade inkomstskatterna i Sverige. Så ser det ut efter Alliansens skattereformer. Den femtedel som tjänar mest betalar alltså en större del av de samlade skatterna i Sverige, och de andra betalar en mindre andel. Om man tittar på detta internationellt ser man att 2006 betalade alla svenska löntagare världens högsta skatter. I dag ser det inte ut så längre. Höginkomsttagarna i Sverige betalar fortfarande världens högsta skatter, men alla andra har nu kommit ned på en mer genomsnittlig EU-nivå. Även här ser man effekterna av vår politik. Höginkomsttagarna betalar alltså fortfarande världens högsta skatter, och de andra ligger på en mer normal EU-nivå. Vi hörde från Vänsterpartiet att skatteflykten från Sverige skulle ha ökat väldigt mycket. Det är fullständigt fel. Det är precis tvärtom. Alliansregeringen har fått till uppemot 50 dubbelbeskattningsavtal och insynsavtal med andra länder. Nästan alla skatteparadis har vi lyckats få till avtal med så att vi kan ha en begränsning av och en insyn i vart pengarna tar vägen. Det har gjort att skatteflykten har minskat. Vi ser också att tack vare att vi tog bort förmögenhetsskatten har pengar strömmat tillbaka till Sverige de senaste åren. Jag vet detta, för jag har jobbat med det här i bankvärlden tidigare. Jag vet precis hur det ser ut, och jag talar med gamla kolleger. Pengarna strömmar tillbaka till Sverige. De investeras i Sverige i stället för att investeras utomlands tack vare Alliansens skattepolitik. Sammanfattningsvis: Alla de skattesänkningar som Alliansen har gjort har medfört förbättringar för Sverige, och de har varit rättvisa om man ser till vilka grupper som har gynnats av dem. ","M"
"Magdalena Andersson","Fru talman! Aron Modig frågar om instanserna inte är värda att lyssna till. Självklart är remissinstanserna värda att lyssna till. Det handlar mest om att de har fått i uppgift att titta just på skatteförändringen. Men politiken måste ses i sin helhet; man måste också se vad skattepengarna används till. Du hade själv tittat i finansplanen, Aron Modig, men slutat läsa när det inte längre bara handlade om skatter. Om du läser i stycket därunder ser du att det står så här: \"Sammantaget bedöms BNP-tillväxten och sysselsättningen bli något högre samtidigt som arbetslösheten blir omkring 0,2 procentenheter lägre 2015 till följd av de insatser som föreslås eller aviseras i denna proposition.\"  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Man kan alltså inte bara titta på skatterna, utan man måste också titta på vad skatterna används till. Sammantaget höjs bnp-tillväxten, sysselsättningen ökar och arbetslösheten sjunker om man tittar både till det ökade skatteuttaget och till vad man använder skatteintäkterna till, exempelvis förbättrad sjukvård och högre utbildning för våra unga. Vi gör inte som den tidigare regeringen, som skar ned på utbildningsmöjligheterna för ungdomar. Vi tillför ytterligare resurser för skolan och för att ungdomar inte ska gå långtidsarbetslösa utan jobba. Ungdomar som har problem med gymnasiet ska kunna få stöd för att ta sig tillbaka dit. Sammantaget stärker detta naturligtvis Sveriges konkurrenskraft och ökar sysselsättningen och tillväxten. Finn Bengtsson ifrågasätter beräkningskonventionen och hur vi har räknat på den bortre parentesen. Där följer vi Finansdepartementets beräkningskonvention. Det är dessa siffror som gäller; sedan kan vi ha en större diskussion om huruvida beräkningskonventionen är korrekt eller inte. Men vi har naturligtvis arbetat helt i enlighet med det regelverk som finns på Finansdepartementet, som ju är likadant som det regelverk som fanns även före regeringsskiftet. När man lyssnar på Finn Bengtsson och Jan Ericson är det uppenbart att de är helt övertygade om att sänkta skatter ger ökade skatteintäkter och att vi ligger på den sida av Lafferkurvan där en skattesänkning ökar skatteintäkterna. Frågan kvarstår: Varför föreslår ni då inte ytterligare skattesänkningar? Det låter som att ni gör bedömningen att om vi sänker skattetrycket i Sverige kommer skatteintäkterna att öka. Då förstår jag verkligen inte varför ni inte föreslår ytterligare sänkta skatter i er budgetmotion. Detta tycks ju uppenbarligen vara lösningen på statsfinanserna och välfärden. Det vore bra om vi kunde få ett svar på det. Problemet är att de senaste åtta årens skattesänkarpolitik har fått konsekvenser. När man säger att skatteintäkterna ökar tar man sällan hänsyn till det faktum att vi har blivit en halv miljon fler svenskar i Sverige. Sysselsättningsgraden har inte ökat; däremot har vi blivit fler svenskar. Arbetslösheten har ökat, långtidsarbetslösheten har tredubblats, ungdomsarbetslösheten är högre och långtidsarbetslösheten bland ungdomar är tredubblad. Detta är konsekvenserna av er politik. Över 100 000 kvinnor uppger att de har gått ned i arbetstid därför att äldreomsorgen inte håller tillräckligt hög kvalitet. Det man inte gör när man sänker skatten får också effekter på sysselsättningen. Det kan till exempel vara att kvinnor inte jobbar, att man inte bedriver en aktiv arbetsmarknadspolitik så att människor som blir arbetslösa får jobb och att skolan inte har de resurser som krävs för att fånga upp alla barn och ungdomar så att de får möjlighet att ta sig igenom utbildningen. Det är det som är konsekvenserna av era skattesänkningar.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Här behöver Sverige få en annan inriktning. Vi kan inte fortsätta att sänka skatten, utan vi behöver höja skatteuttaget. Vi som har lite högre inkomster får möjligheter att bidra lite mer, och resultatet blir att vi bygger ett konkurrenskraftigt land. Vi moderniserar Sverige samtidigt som vi skapar ett Sverige som håller samman och där alla barn och ungdomar får det stöd de behöver i skolan så att de kan klara ett arbetsliv och stå starka på arbetsmarknaden och i den internationella konkurrensen. ","S"
"Aron Modig","Fru talman! Jag tackar finansministern än en gång för svaren. Visst är det så som finansministern anger i sitt svar - att vår konkurrenskraft byggs upp av flera olika faktorer där satsningar på infrastruktur och på skola och utbildning är två sådana. Andra faktorer är att se till att det finns tillräckligt med bostäder och att det finns stabil och säker tillgång till energi och ett bra företagsklimat. Jag vidhåller dock att det har stor betydelse hur man ser på skattesystemet, inte minst på marginalskatterna som vi diskuterar nu. Utöver effekterna på arbetslinjen skulle jag vilja lyfta fram ytterligare en aspekt på höjningarna av marginalskatterna. I debatten diskuteras ofta att vår ekonomi och dess konkurrenskraft framåt kommer att bygga mycket på kunskap och kompetens. Det är inte enkla jobb som framför allt kommer att bygga vår konkurrenskraft framåt. Jag ser ett problem i att de föreslagna skattehöjningarna gör det mindre lönsamt för människor att läsa och ta sig igenom högre utbildning. De gör det mindre lönsamt att arbeta lite extra och att arbeta hårdare på jobbet för att nå en högre lön eller en befordran. Återigen: Det är inte bara vi som alliansföreträdare som säger detta. Exempelvis Saco påpekade nyligen detta i en kommentar till regeringens förslag. De skrev bland annat att OECD:s sammanställningar visar att den ekonomiska avkastningen av akademiska studier i Sverige är bland den lägsta för både kvinnor och män i hela OECD-området. Det beror på att Sverige har en i internationellt perspektiv sammanpressad lönestruktur. Om man lägger högre skatter på människor som i många fall har läst en högre utbildning blir avkastningen ännu mindre. Oavsett vad Vänsterpartiet säger tror inte heller jag att en massa människor kommer att fly landet om man höjer marginalskatterna med några procentenheter. Men hur det än är påverkar skattetrycket såklart företag som behöver rekrytera talanger internationellt. Om vi har höga skatter, inte minst på höga inkomster, kommer arbetsgivare och företag att behöva kompensera för dessa höga skatter. Det blir helt enkelt högre kostnader. Det gör det svårare för Sverige att konkurrera om talanger, internationellt sett. Bortsett från det rent ekonomiska skulle jag också säga att det i grunden är fel att motarbeta den här typen av dygder, som förkovran, flit och företagsamhet, som har en stor betydelse när vi ska bygga ett starkt samhälle. Jag vet att ni när ni hade kongress förra året och antog ert framtidskontrakt bland annat skrev att Sverige ska konkurrera med kunskap och kompetens. Då är min fråga, återigen, till finansministern: Ser inte regeringen en fara i att de här förslagen hämmar just förkovran, flit och företagsamhet? ","KD"
"Finn Bengtsson"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Nu kom interpellanten Aron Modig in på väldigt viktiga frågor, nämligen värdegrundsfrågorna. Vad har det för värde om man sänker skatter vid sidan av att det har visat sig förflytta oss åt ett positivt håll på Lafferkurvan, så att vi faktiskt genererar mer intäkter till staten samtidigt som den enskilde får mer resurser att röra sig med? Ja, det är just därför som Alliansen har sänkt skatten i fem steg för löntagare och parat detta med sänkt skatt för pensionärer i fem steg, som har givit dem med de minsta inkomsterna, vare sig de är löntagare eller pensionärer, en extra månadslön eller en extra månadsinkomst. Detta är något som är otroligt viktigt för individen själv. Det handlar om att få en större autonomi och en större egenkraft att använda sina resurser till någonting som inte klåfingriga politiker kan plocka in. Då kommer vi över till det som Magdalena Andersson har lyft fram, nämligen att skatter ska tas in i större omfattning av den nuvarande regeringen, och det gör man för att man ska använda dem till någonting vettigt. Jag har ställt frågan upprepade gånger. Historiken har visat något när det gäller de två största budgetposterna, som handlar om sjukförsäkringen. Det gäller sjukpenning och det som förr hette förtidspension, som nu heter aktivitets- och sjukersättning. Om man ändrar i sjukförsäkringen och går tillbaka till det regelverk vi hade före 2008 tror jag att de utgiftsposterna kommer att öka dramatiskt, mycket mer än vad man har tagit höjd för i det nuvarande budgetförslaget. Man har alltså inte kontroll på utgiftssidan heller. Det är viktigt för Magdalena Andersson att förstå att Socialdemokraterna aldrig sänkte ohälsotalet. Sjukskrivningarna minskade på grund av att människor gick över i förtidspension. Det var först när alliansregeringen kom in som såväl antalet långtidssjukskrivna som antalet förtidspensionärer minskade. Därmed minskade belastningen på den delen av budgeten. Jag befarar att detta kommer att öka, och det finns ingen höjd tagen för detta i budgeten. ","M"
"Håkan Svenneling","Fru talman! Ska vi bygga en välfärd som det går att lita på behövs det skatteintäkter. De skatteintäkterna betalas antingen av dem som tjänar mest eller av dem som tjänar minst. Man kan titta på hur den gamla regeringen förde sin skattepolitik. Man valde konsekvent att sänka skatterna, men det ledde alltid till att de som tjänade mest fick de största skattesänkningarna. I den här regeringens budgetproposition, som man har tagit fram tillsammans med Vänsterpartiet, finns det ett fantastiskt fint diagram, tycker jag. Jag vill lyfta fram det i debatten. Det är diagram 1.3, som visar hur regeringens politik fördelar sig i olika inkomstskikt. Det visar sig ganska snabbt att de 50 procent som tjänar minst i vårt samhälle i dag kommer att få en ökad inkomst med den här politiken, och de 50 procent som tjänar mest kommer att få en minskad inkomst. Det betyder att de bidrar mer till den välfärd som vi behöver bygga.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det finns ett annat väldigt fint diagram i regeringens budgetproposition. Det är diagram 1.4, som visar fördelningen mellan kvinnor och män. Det visar sig att kvinnor kommer att tjäna på regeringens och Vänsterpartiets politik. Männen kommer att få betala lite mer. Det beror på att det i hög utsträckning är män som tjänar mest i vårt samhälle. Jag är väldigt glad och stolt över att få vara med och föra fram en sådan ekonomisk politik i Sverige. Därför är jag glad över den budget som läggs fram. Den leder nämligen till att vi får en välfärd att lita på, fru talman. ","V"
"Jan Ericson","Fru talman! Finansministern påstår att ökade skatteintäkter beror på att vi har blivit 500 000 fler invånare i landet. Jag vet inte om en invånare automatiskt genererar skatteintäkter. Jag trodde att det var invånare som arbetar som gör det. Jag skulle vilja påstå att det handlar om att det är 340 000 fler invånare som arbetar. Det är det som har ökat skatteintäkterna, och det är precis det som den här frågan handlar om. Finansministern har frågat oss flera gånger varför vi inte fortsätter att sänka skatterna om det nu är så bra för samhällsekonomin. Jag vill påpeka att vi faktiskt gör det. Vi har till exempel förslag i vår budget om ytterligare satsningar på sänkta arbetsgivaravgifter för de yngre. Och hade vi suttit kvar vid makten hade vi fullt ut genomfört den brytpunktshöjning som regeringen nu inte vill göra. Det är två exempel. Men det viktiga är att den här debatten handlar om att vi kritiserar och diskuterar de skadliga skattehöjningar som regeringen vill genomföra och som slår direkt mot jobben. Magdalena Andersson sade tidigare att sysselsättningsgraden i Sverige har minskat. (Finansminister MAGDALENA ANDERSSON (S): Nej, jag sade: inte ökat.) Ja, men då måste jag göra finansministern väldigt besviken. I dag på morgonen har vi haft en utfrågning av Riksbanken, som presenterade en tjusig graf över sysselsättningsgraden i Sverige, USA, euroområdet och Storbritannien. Där ser man tydligt att sysselsättningsgraden i Sverige har ökat och ökat markant sedan 2006. Det var faktiskt så att Riksbankschefen Stefan Ingves påpekade att Sverige har dragit ifrån de andra länderna och kommit ut bättre efter krisen än vad man var innan. Sysselsättningsgraden har alltså ökat. Där får Magdalena Andersson läsa på lite ytterligare. Sedan har jag en kort fråga till Vänsterpartiet. De 50 procent som tjänar minst ska få en ökad inkomst tack vare politiken. Gäller det även dem som nu blir fast i längre sjukskrivningar eller i förtidspensioneringar och dem som kanske mister jobbet på grund av höjda arbetsgivaravgifter? Får de det också bättre? ","M"
