"Magdalena Andersson","Herr talman! Maria Malmer Stenergard har frågat mig varför jag och regeringen vill sänka ungdomars löner genom att höja arbetsgivaravgifterna. Efter den borgerliga regeringens mandatperioder ser vi stora underskott i statens finanser samt en hög arbetslöshet. De stora skattesänkningar som den borgerliga regeringen genomfört i syfte att öka sysselsättningen och sänka arbetslösheten har helt enkelt inte fått avsedd effekt. Regeringen tror på andra jobbskapande åtgärder än sänkta skatter. För att genomföra angelägna satsningar som syftar till att öka sysselsättningen och minska arbetslösheten krävs att vi höjer skatten. De nedsatta socialavgifterna för unga är en ineffektiv åtgärd, som enligt en rapport från IFAU, Institutet för arbetsmarknads- och utbildningspolitisk utvärdering, inte har haft någon sysselsättningseffekt över huvud taget för grupper av unga med svag anknytning till arbetsmarknaden. Det finns ingen tydlig grund för Maria Malmer Stenergards påstående att ett slopande av nedsättningen kommer att medföra lägre löner för just ungdomar. I rapporten från IFAU visar man att nedsättningen inte medförde någon betydande relativ ökning av de ungas löner, varför det inte är troligt att ett slopande av nedsättningen skulle medföra lägre löner. ","S"
"Maria Malmer Stenergard","Herr talman! Tack, finansministern, för svaret, även om det är ett svar som gör mig lite konfunderad! Alliansens arbetslinje skapade förutsättningar för att jobben i Sverige skulle kunna växa. Det gjorde de också. Många olika reformer lade grunden för det, och en av dem var den sänkta arbetsgivaravgiften för unga. Ungdomsarbetslösheten är en stor samhällsutmaning. Det skriver även regeringen i sin budgetproposition. Arbetslösheten bland ungdomar är betydligt högre än i andra ålderskategorier. Vi har inte särskilt stor lönespridning i Sverige. Vi har höga ingångslöner. Det innebär att det är nästan lika dyrt att anställa en person som inte har någon arbetslivserfarenhet som att anställa någon som har lite arbetslivserfarenhet. Det gör det svårare för unga att få sitt första jobb. För att ge unga större möjligheter att få in en fot på arbetsmarknaden valde alliansregeringen att göra det billigare att anställa unga. Nu vill finansministern alltså göra det dyrare. Remissinstanser som representerar stora ungdomsarbetsgivare, såsom Visita, Almega och bemanningsföretagen, har avstyrkt förslaget och framhållit att det skulle få negativa sysselsättningseffekter för unga. Det är klart att de säger så, för de vill såklart ha lägre kostnader, kan man då invända. Ja, men också de oberoende remissinstanserna har allvarliga synpunkter. Konjunkturinstitutet menar att sänkta kostnader för att anställa unga just ökar arbetsgivarnas drivkrafter att anställa ungdomar med svag förankring på arbetsmarknaden. Och drivkrafter spelar som bekant roll. Tillväxtverket tror att förslaget kan komma att få negativa konsekvenser för främst företag i restaurangbranschen och övrig besöksnäring. Det, herr talman, är branscher i vilka unga, kvinnor och personer med utländsk bakgrund ofta driver företag. När man anställer någon ska man betala den personens lön, men man ska också betala de sociala avgifterna. När arbetsgivaren lägger sin budget måste han räkna med hela kostnaden. När den ena delen av kostnaden, i det här fallet de sociala avgifterna, ökar ordentligt måste man antingen sänka den andra delen eller kanske helt avstå från att anställa. Det finns en påtaglig risk att lönerna sänks när socialavgifterna höjs. Nu citerar jag det som regeringen själv har skrivit i sin konsekvensanalys i budgetpropositionen: \"På kort sikt antas en del av det ökade socialavgiftsuttaget övervältras på lönerna. Den del av förändringen som inte övervältras på lönerna leder till lägre vinster för företagen. På längre sikt antas det ökade socialavgiftsuttaget övervältras på lönekostnaderna i form av lägre löner för hela löntagarkollektivet.\" Det är alltså vad regeringen har skrivit i sin egen budgetproposition. Det var mot den bakgrunden som jag frågade finansministern varför regeringen vill riskera att sänka ungas löner genom att höja arbetsgivaravgifterna. I sitt svar till mig säger nu finansministern: \"Det finns ingen tydlig grund för Maria Malmer Stenergards påstående att ett slopande av nedsättningen kommer att medföra lägre löner för just ungdomar.\" Men det är inte mitt påstående, utan regeringens eget. Därför vill jag nu ha svar på min fråga. Varför vill regeringen sänka ungdomars löner genom att höja arbetsgivaravgifterna? Om finansministern vidhåller att det inte kommer att bli så vill jag gärna veta vad det är mer i regeringens konsekvensanalys som inte stämmer. ","M"
"Magdalena Andersson","Herr talman! Jag skulle ha väldigt svårt att stå här och argumentera för att ta bort denna nedsättning av sociala avgifter om den hade haft väldigt bra effekter på arbetslösheten för ungdomar. Men tyvärr har vi inte sett att arbetslösheten bland ungdomar sjunkit i den utsträckning som jag tror att de allra flesta av oss önskar och hoppas. Vi ser framför allt att långtidsarbetslösheten bland ungdomar är förskräckande hög, framför allt bland ungdomar som inte har gymnasieutbildning. Eftersom vi har ont om pengar i de offentliga finanserna gäller det att använda våra resurser på det allra mest effektiva sätt. Det här är en åtgärd som bevisligen efter många år inte haft avsedd effekt och som också är kritiserad av en i det närmaste enig ekonomkår i Sverige. Konjunkturinstitutet, Finanspolitiska rådet, IFAU och Riksrevisionen menar att det är en dyr och ineffektiv åtgärd. Därför vill regeringen i stället satsa våra gemensamma resurser på effektivare åtgärder som verkligen hjälper och stöder de ungdomar som behöver stöd för att komma in på arbetsmarknaden. Anledningen till att åtgärden är så dyr och ineffektiv är att den utgår från att alla ungdomar är likadana och behöver samma stöd. Men så ser det inte ut. Vi är alla olika människor som behöver olika former av stöd. I stället för att ge samma stöd till alla ungdomar avser regeringen att ge stöd till de ungdomar som behöver det. Det handlar framför allt om de ungdomar som i dag har väldigt svårt att ta sig in på arbetsmarknaden för att de inte har gymnasieutbildning. Vi vill se ett utbildningskontrakt som stöder just de ungdomarna, så att de till exempel kan kombinera utbildning och arbete på ett sätt som gör att de får tillbaka studiemotivationen. Det är ungdomar som inte har haft så väldigt positiva upplevelser under skolgången och som behöver lite extrapuffar för att vilja ta sig tillbaka till skolbänken. I de kommuner som har prövat modellen med arbete som utgår från ungdomarnas intresse kombinerat med studier har den haft väldigt fin effekt. Det tror jag är ett mycket effektivare och bättre stöd för ungdomarna för att de ska kunna ta sig in i arbetslivet över huvud taget men också kunna få en bra lön. Det är likadant för de ungdomar som i dag sitter långtidsarbetslösa månad ut och månad in. Regeringen menar att det är bättre att man får chans att arbeta. Därför vill vi lägga offentliga resurser på att långtidsarbetslösa ungdomar i stället ska få möjlighet att jobba. Det är klart att det är ett bättre sätt att använda pengarna: att lägga resurser på att se till att långtidsarbetslösa ungdomar får jobba i stället för att lägga resurser på att sänka arbetsgivaravgifter för ungdomar som skulle ha haft jobb i alla fall. Den tidigare regeringen visade också att det här är väldigt ineffektivt. Det kom ett förslag om att ta bort nedsättningen av arbetsgivaravgiften för 25-åringar. Den tidigare regeringen gjorde själv bedömningen att det inte skulle ha några sysselsättningseffekter över huvud taget. Maria Malmer Stenergard ställde en konkret fråga om varför detta inte skulle påverka just ungdomars arbete. Det är precis som det står i budgetpropositionen - Maria Malmer Stenergard läste ur den själv: \"På längre sikt antas, av skäl som beskrivs ovan, hela det ökade socialavgiftsuttaget övervältras på lönekostnaderna i form av lägre löner för hela löntagarkollektivet (inte enbart de som påverkas av förändringen).\" ","S"
"Maria Malmer Stenergard","Herr talman! Ja, högre kostnader drabbar löntagarkollektivet. Men de som drabbas hårdast är de som främst har unga anställda. Då drabbar det också dem som jobbar på den arbetsplatsen, det vill säga unga. Man kan ta restauranger, föreningar och callcenter som exempel. Mot dem skulle detta slå väldigt hårt. Har finansministern funderat på effekterna för de här företagen? De är väldigt viktiga pusselbitar i arbetet med att komma till rätta med ungdomsarbetslösheten. Finansministern tror sig ha andra lösningar än Alliansen på hur man ska komma till rätta med ungdomsarbetslösheten. Ett förslag som har marknadsförts intensivt är detta med traineejobb. Traineejobb brukar syfta till att den nyanställde ska kunna gå runt på olika funktioner i en organisation för att snabbt växa i sin befattning. Det är inte ett sådant traineearbete som Socialdemokraterna har tänkt sig. Deras förslag handlar inte om varaktig anställning av ungdomar, utan om ettårig praktiktjänst inom välfärden. Problemet är att man inom välfärdssektorn är överens om att dessa traineetjänster inte passar. Det sista de behöver är okvalificerad personal. Man kan inte använda sjukvården som en arbetsmarknadsregulator - det är inte det vården är till för, utan det är en kunskapsbaserad bransch, säger ordföranden för Vårdförbundet. Man riskerar att lämpa över ansvaret på en verksamhet som redan i dag går på knäna, säger Lärarförbundet. Efter ett års praktik som varvats med endast ett par månaders studier är risken att den unge åter släpps ut till arbetslöshet. Den risken menar i alla fall Sveriges Kommuner och Landsting är påtaglig. Snacka om otrygg anställning! Med den nya regeringen följer nu nya tider. Nu ska vi inte låta företagen växa, utan låta staten växa inom sektorer som staten själv pekar ut, trots att arbetsgivarna själva inte tror på regeringens åtgärder. Finansministern menar att alliansregeringens nedsättning av arbetsgivaravgiften för unga har varit ineffektiv. Hon menar att man genom den åtgärden subventionerar arbetsgivare som ändå skulle ha anställt unga. Problemet är att hon jämför med riktigt goda tider. Vi måste jämföra med hur andra länder klarat sig under motsvarande period, som var en period av ekonomisk kris. Då ser vi att Sverige på sju år gått från att vara ett av EU-länderna med högst ungdomsarbetslöshet, på plats 22 av 28, till att förra året hamna på plats 14. De småföretagare som jag träffat på gatorna i Kristianstad, Simrishamn, Bjärnum och Ängelholm håller inte heller med finansministern. Många har berättat för mig att de nu äntligen, tack vare de minskade kostnaderna, har kunnat anställa någon som kan avlasta dem. Många företag har inte så stora marginaler. För dem gör 40 000 kronor i minskade kostnader väldigt stor skillnad. Ett problem med regeringens konsekvensanalys är att man förutsätter att alla de jobb som finns i dag kommer att vara kvar. Jag saknar helt en beräkning av risken för att en del jobb försvinner samt de kostnader som det innebär för samhället. Flera företagare som jag har träffat menar att de minskade kostnaderna för att anställa har gjort att de kunnat anställa över huvud taget. Annars skulle de jobba dessa extra timmar själva i stället för att ta in ny arbetskraft. Och för dem med många unga anställda kan konsekvenserna alltså bli förödande. I en nyligen publicerad rapport från Handelns Utredningsinstitut pekar forskarna på att de negativa jobbeffekterna av att kraftigt öka kostnaderna är större än de resultat som hittills kommit av reformen. Det är lättare att höja löner tack vare en minskad arbetsgivaravgift än att sedan sänka lönerna när arbetsgivaravgiften ökar. Om inte lönerna kan sänkas, vilket som bekant inte är helt lätt i Sverige, måste företagen minska sina kostnader på annat sätt. Man kanske måste säga upp anställda, och då är det de unga som får gå först. Jag vill fråga finansministern hur det kommer sig att man inte alls har beaktat den risken i konsekvensanalysen. Ett ytterligare problem som en del remissinstanser har påtalat är risken att svarta anställningar ökar. I budgeten skriver regeringen att det är angeläget att komma till rätta med svartarbete men att det inte kan användas som ett argument för lägre skattetryck. Har finansministern funderat närmare på riskerna att svartarbetet ökar när det blir dyrare att anställa? ","M"
"Peter Persson","Herr talman! Moderaterna känner tungt sitt stora misslyckande när det gäller jobben. 260 000 arbetslösa blev över 400 000. Tyngden i arbetslösheten tryckte mot de långtidsarbetslösa och mot de unga. Det var ett stort misslyckande i den fråga där Moderaterna hade sina viktigaste vallöften såväl 2010 som 2014. Man misslyckades för att man inte kunde hantverket och metodiken för att åstadkomma en lägre arbetslöshet. Detta visas inte minst av den fråga som Maria Malmer Stenergard har inbjudit till diskussion om i dag, nämligen nedsättningen av arbetsgivaravgiften för unga under 25 år. Anta att vi har en kommun med mycket hög arbetslöshet och få ungdomar i arbete, säg Bromölla, som ligger i närheten av de trakter som Maria Malmer Stenergard verkar vistas i. Det är en trevlig bygd. Så tar vi en annan kommun. Det kan vara Danderyd, som kanske har full sysselsättning för de unga. Kommunen med de många arbetslösa ungdomarna erhåller en skärv, medan vi öser resurser över den kommun som har många i sysselsättning. Det är slöseriet. Man riktar inte resurserna till dem som är utanför arbetsmarknaden. Resurserna går till dem som är inne på arbetsmarknaden. Det är där den stora kritiken har varit från alla håll. Om jag äger en kiosk eller en bilverkstad och har en 23-åring anställd är väl jag glad å min kassas vägnar för att arbetsgivaravgiften är lägre. Men jag kanske hade varit gladare om någon hade kommit dit och velat reparera bilen eller köpt korv och tidningar i kiosken. Det är väl kunderna och den ekonomiska aktiviteten som är det väsentligaste. Det är ändå lite rörande att höra Moderaterna verbalt nästan slå ett slag för en rimlig lönepolitik. Det gäller hotet om sänkta löner för de unga om man höjer arbetsgivaravgiften. Vi har under de tidigare fyra åren hört här i kammaren och i finansplaner gång på gång att den ekonomiska politikens inriktning är att ta ned lönerna bland annat genom de så kallade jobbskatteavdragen, som ledde till andra effekter i samhället. De minskade inte arbetslösheten. Men de rev upp stora hål i välfärdens finansiering, och det ökade de ekonomiska orättvisorna. Det är ni som gång på gång har talat om och repeterat att man måste sänka lönekostnaderna. Därför har ni använt instrument som nedsatt arbetsgivaravgift och sänkt restaurangmoms. Det har varit slösaktiga åtgärder som inte har gett någon verkan. ","S"
"Fredrik Schulte","Herr talman! Det vore, precis som Peter Persson sa, bra för ekonomin ifall fler hade råd att gå till kiosken och köpa korven. Det var just därför som alliansregeringen kraftigt sänkte inkomstskatterna. Det är trevligt att Peter Persson nu öppnar dörren för att också stimulera ekonomin på det sättet. Men Peter Persson är sin vana trogen att fullständigt negligera verkligheten. Sverige har haft den starkaste jobbtillväxten i hela västvärlden. Det får Peter Persson till att vi har ett jobbmisslyckande. Under de senaste 30 åren har det skapats en halv miljon nya jobb. Av dem skapades 300 000, mer än två tredjedelar, nästan 75 procent, under de senaste åtta åren under alliansregeringen. Det var för att vi gjorde det lönsamt för människor att arbeta. Om man ska gå tillbaka till själva grundfrågan som interpellationen handlar om fungerar arbetsgivaravgifterna på det sättet att om man sänker dem får arbetsgivarna mer ekonomiskt utrymme. Generellt sett brukar det öka vinsterna i företagen. När man får ökade vinster i företagen ställer fackföreningarna större krav att också få en liten del av kakan, och det driver upp lönerna. Det kan vara trevligt för alla. Man kan tänka att det är win-win. Men det finns också en risk för att det skapar inflation. Vi har under den tid då vi i Alliansen styrde gjort bedömningen att det var viktigt att sänka arbetsgivaravgifterna eftersom vi har väldigt höga lönekostnader. Det är skillnad på höga löner och hög lönekostnad. Vi har höga skatter på arbete i det här landet. Därför gjorde vi en rad lättnader under den tid vi satt vid makten. Nu gör man det motsatta. Nu ska man höja arbetsgivaravgifterna. Det får den omvända effekten. Företagen får mindre pengar i kassakistan, och då får fackföreningarna mindre utrymme att kräva högre löner. Det är rätt intressant att finansministern för bara fem minuter sedan stod här i talarstolen, och det står också i hennes egen budgetproposition, och erkände att effekterna av den politik man nu för kommer, och jag citerar Magdalena Andersson, \"att minska lönekollektivets löner\". Vi har en regering som medvetet i budgetpropositionen och i talarstolen står och erkänner att man för en politik för att sänka lönerna inte bara för ungdomarna utan för alla. Magdalena Andersson sa det själv för fem minuter sedan. Vi har en lönesänkarregering. Det är intressant vad som är en mest effektiv åtgärd. Regeringen höjer skatterna med 23 miljarder i budgeten och satsar en del på välfärden. Det ska man ge regeringen. Men det gör vi i Alliansen också i vår budget. Det som regeringen satsar på som Alliansen inte satsar på är den så kallade 90-dagarsgarantin. Vi har tidigare haft 90-dagarsgarantin. Den införde regeringen Persson. Den avvecklade regeringen Persson därför att den visade sig vara fullständigt ineffektiv. Det var Ylva Johansson som införde den, avvecklade den och nu ska införa den igen. Är det en effektiv åtgärd, Magdalena Andersson? Är det en effektiv åtgärd att införa plusjobben - förlåt, ni kallar dem extrajobb nu för tiden? De har också testats. De gav ingen effekt. Nu testar ni traineejobb. Det kommer heller inte att ha någon effekt eftersom det inte är riktiga jobb utan låtsasjobb. Sedan kommer ert paradnummer: höjda bidrag, så att det inte lönar sig att arbeta. Det är den effektiva socialdemokratiska politiken. ","M"
"Magdalena Andersson","Herr talman! Jag hör att Moderaterna är väldigt skeptiska till traineejobben. Jag har lite svårt att förstå varför moderater tycker att det är så viktigt att ungdomar går långtidsarbetslösa i stället för att jobba. Det är alternativet. Detta är för ungdomar som går arbetslösa månad in och månad ut. Moderaterna verkar tycka att det är mycket bättre att gå långtidsarbetslös än att jobba. Vad gäller 90-dagarsgarantin har vi lärt oss av de erfarenheter man hade från tidigare garantier. Vi har dragit lärdom av det och har därför utformat det på ett helt annat sätt. Utbildningskontraktet är ett helt nytt instrument som aldrig har funnits tidigare i Sverige. Det finns däremot i Danmark där man är väldigt nöjd med den åtgärden. Det är viktigt för de ungdomar som inte har gymnasieutbildning att de får gymnasieutbildning. Det är något helt nytt. Traineejobben är också någonting helt nytt. Vi använder de yrkesintroduktionsavtal som finns på arbetsmarknaden och som bland annat finns mellan SKL och Kommunal. De arbetstagare som berörs av traineejobben är Kommunals arbetstagare, och Kommunal tycker att det är bra. De gillar traineejobben och tycker att det är bra att på så sätt få kolleger och underlätta den generationsväxling som kommer att ske inom till exempel äldreomsorgen. Kommunal tycker att det är bra. Vi använder de yrkesintroduktionsavtal som finns och som även den tidigare borgerliga regeringen tyckte var jättebra. Ett av deras flaggskepp i Almedalen 2013, om jag inte minns fel, var just yrkesintroduktionsavtalen och YA-jobben som skulle lösa hela ungdomsarbetslösheten. Man ville också lägga in en subvention för YA-jobben. Det var jättebra och skulle lösa hela frågan. När regeringen nu säger: Vi tycker också att YA-jobben är jättebra, men vi vill lägga på en större subvention, är det plötsligt det sämsta som någonsin hänt och något som man ska kämpa med näbbar och klor mot för att det inte ska bli verklighet. Varför då? Varför är det bra att YA-jobben betalas av kommuner och landsting enligt avtalen, men om staten går in med subvention är det dåligt? I er modell av YA-jobb som betalas av kommuner och landsting går staten in med en viss subvention i form av handledning. Nu föreslår vi en större subvention, och då är det fel. Det framstår som helt ologiskt. Vi tycker att det är bra att ungdomar får möjlighet att arbeta i stället för att gå långtidsarbetslösa. Frågan till Moderaterna är: Hur kan ni vara nöjda när så många ungdomar går arbetslösa månad ut och månad in? Hur kan ni hålla fast vid er gamla politik som uppenbarligen inte har fungerat? Är det inte dags att se att det inte fungerar och i stället pröva någonting nytt? Återigen: Varför är YA-jobben rätt när ni talar om dem men fel när vi talar om dem? ","S"
"Maria Malmer Stenergard","Herr talman! Det är verkligen nya tider, Peter Persson. Ni skriver i budgetpropositionen att ni kommer att sänka lönerna. Sa ni verkligen det i valrörelsen till era väljare? Peter Persson behöver absolut inte bekymra sig för vare sig Bromölla eller Danderyds kommuner, för de blir kompenserade för arbetsgivaravgifterna till skillnad från de privata företagarna. När jag tittade på morgon-tv i samband med att regeringen presenterade sin budget verkade lösningen på ungdomsarbetslösheten väldigt enkel för Magdalena Andersson. Hon talade om två knappar, och om man trycker på knappen för regeringens budgetförslag kommer hela problematiken bara att försvinna. För att vi ska kunna hantera hela problemet på ett bra sätt och om vi ska kunna föra en seriös debatt måste vi börja med att tillsammans konstatera att ungdomsarbetslösheten är en stor utmaning och att det inte finns några quick fixes. Frågan är snarare: Vilka possible fixes finns? Alliansregeringen resonerade som så att om det blev billigare att anställa yngre personer skulle det kunna leda till att fler valde att anställa unga, men kanske också till att fler valde att anställa över huvud taget - och då företrädesvis unga eller personer över 65 år, som också är billigare att anställa än så länge. Herr talman! Jobben blev fler tack vare Alliansens jobbpolitik. Det var i en tid då krisen slog hårt och då andra jämförbara länder inte förmådde producera några nya jobb. Finansministern! Jag är inte nöjd. Under slutet av den förra mandatperioden kunde vi se att flera av dem som hade stått långt ifrån arbetsmarknaden - unga och långtidsarbetslösa - fick jobb. Med den rödgröna regeringens förslag om ökade kostnader riskerar vi nu att denna trend vänder tillbaka. Jag är precis som många remissinstanser övertygad om att om det blir dyrare att anställa får också färre jobb. Vi får inte reducera ungdomsarbetslösheten till ett politiskt slagträ. Den förtjänar en seriös behandling. Då måste vi konstatera att det inte finns några quick fixes. Vi måste låta reformer ta tid; bara så kan de riktiga jobben växa. När vi nu ser en positiv utveckling - varför riskera att vända den? ","M"
"Peter Persson","Herr talman! Det intressanta för den som är arbetslös handlar inte om en graf eller statistik över tiden över hur många som har fått jobb. Det handlar om att han eller hon är arbetslös. Ni moderater borde kunna erkänna att 260 000 arbetslösa blev 400 000 när ni regerade. Det är den ekonomiska och sociala plåga som varje arbetslös utsätts för som är det intressanta. Det är den enda rimliga statistiken att utgå ifrån när det gäller att driva en ekonomisk politik för full sysselsättning. Det handlar om hur många som fortfarande är arbetslösa. Detta är ert stora misslyckande. Jag förstår att Maria Malmer Stenergard missuppfattade mig. Vad jag sa var följande: Den kommun som har en mycket hög ungdomsarbetslöshet, som Bromölla, kommer inte i åtnjutande av ett stöd som går till dem som är i sysselsättning. Det går till den kommun som har de flesta av sina ungdomar i arbete. Däri ligger det djupt slösaktiga. När ni talar om arbetsmarknadspolitik som håller på att trimmas in och prövas, som traineejobb, och säger att det inte kommer att fungera säger jag bara: Vad lärde ni er av fas 3? Fick ni någon kunskap som ni bär med er när det gäller att formulera politik i framtiden? Ni var helt låsta och fixerade vid passiv förvaring av allt fler arbetslösa. Det var och är ert stora misslyckande. ","S"
"Fredrik Schulte","Herr talman! När det gäller arbetslösheten står Peter Persson här i talarstolen och säger att det var 260 000 arbetslösa år 2006 och att det nu är 400 000 arbetslösa. Vi har fört den här debatten i åtta år, och jag är rädd för att vi kommer att få föra den i minst åtta år till. Det som Göran Persson gjorde var att han förtidspensionerade bort människor. Han såg till att sopa undan människor under mattan så att de inte syntes i statistiken. Då såg det fint ut, och han kunde stå och säga: Titta så låg arbetslösheten är! 150 000 människor som var förtidspensionerade under Göran Perssons tid förde vi tillbaka på arbetsmarknaden. Det är klart att det kommer att synas i statistiken. Men vi var mer besjälade av att hjälpa människor tillbaka till ett jobb än av att vi skulle kunna stå här och skryta om låg arbetslöshet. Det intressanta är egentligen inte arbetslösheten, utan det intressanta är hur många människor som står utanför totalt sett oavsett om de är arbetslösa, förtidspensionerade eller sjukskrivna eller om de lever på försörjningsstöd. Det är detta Peter Persson inte tycks ta till sig och som Socialdemokraterna inte har tagit till sig under de senaste tio åren. Jag är orolig för att vi kommer att vara fast i diskussionen i tio år till. Om man tittar på budgeten ser man att den post under denna mandatperiod som Socialdemokraterna och Miljöpartiet har satsat mest pengar på är en post som man kallar för beräkningstekniska justeringar och som man inte kan förklara vad det är. Jag har frågat Magdalena Andersson vad det är för något, men hon har inte svarat på det utan har skjutit interpellationen på framtiden. Det handlar om att man ska återföra människor till förtidspension. Man ska få människor som är arbetslösa att bli förtidspensionerade eller sjukskrivna och på så sätt lämna arbetsmarknaden så att det ser fint ut i statistiken och så att arbetslösheten blir låg. ","M"
