"Margot Wallström","Svar på interpellation Fru talman! Amineh Kakabaveh har frågat mig vad jag avser att göra inom FN och EU för att stoppa IS grymheter, vilka initiativ jag avser att ta för rehabilitering och vård av våldsutsatta kvinnor och barn i Syrien och Irak, om jag avser att medverka till att en delegation sänds till konfliktområdet för att kartlägga bortrövade flickor och barn, om jag avser att driva på för att en högre andel av FN:s och EU:s insatser ska gå till kvinnor och flickor och om jag anser att Sverige ska vara pådrivande för att en större biståndsandel går till kvinnor med målet att minst 50 procent av utvecklingssamarbetet ska gå till kvinnor och flickor. Jag väljer att svara på frågorna i ett sammanhang. Jag instämmer i Amineh Kakabavehs beskrivning av de ohyggliga våldsgärningar som Isil begår. Samstämmiga rapporter pekar på grova, systematiska och omfattande övergrepp mot de mänskliga rättigheterna och överträdelser av internationell humanitär rätt. Mord, tortyr och våldtäkter förekommer i stor skala. Religiösa och etniska minoritetsgrupper samt kvinnor och barn är särskilt utsatta. Rapporter förekommer om att flickor har sålts som sexslavar. Regeringen har i kraftiga ordalag fördömt Isil och dess brutala agerande. I augusti antog FN:s säkerhetsråd resolution 2170 som särskilt fördömer Isil och andra al-Qaida-knutna gruppers brutala agerande, inte minst förföljelse av etniska och religiösa minoriteter. Resolutionen föreskriver riktade finansiella sanktioner, vapenembargo och reseförbud för medlemmar i Isil. FN:s säkerhetsråd antog därefter, i september, resolution 2178 om utländska terroriststridande. I Regeringskansliet pågår arbetet med ny lagstiftning med anledning av det. Vikten av att ge särskild uppmärksamhet till kvinnor och barn i humanitära kriser återspeglas i det svenska humanitära biståndet till Syrien och Irak. Kvinnors och barns särskilda utsatthet i humanitära kriser är viktig i samtliga insatser, och en del insatser har särskilt fokus på kvinnor och barn. Huvuddelen av detta stöd kanaliseras till Unicef men även till Rädda Barnen och International Rescue Committee, IRC. I Libanon stöder vi till exempel IRC:s arbete med att öka tillgången till hälsoservice, skydd och psykosocialt stöd för syriska flyktingkvinnor och barn som har utsatts för sexuellt och könsbaserat våld. Vi fortsätter med denna typ av insatser. Det är viktigt att i dialog med dem som har utsatts för övergrepp synliggöra och kartlägga dessa brott. Omfattande kartläggning av Isils övergrepp mot bortrövade kvinnor och barn pågår redan genom såväl MR-organisationer som av FN:s mission i Irak, Unami. En särskild undersökningskommission med mandat från FN:s råd för de mänskliga rättigheterna har besökt Irak för att dokumentera brott begångna av Isil. Kommissionen har också begärt att få komma in i Syrien men har fått nej av den syriska regimen. För att kunna ställa de ansvariga för övergreppen till svars har regeringen, tillsammans med de övriga EU-länderna, uppmanat säkerhetsrådet att hänskjuta situationen i Syrien till ICC, Internationella brottmålsdomstolen. Sverige bidrar till Syria Justice and Accountability Centres dokumentation av MR-övergrepp i Syrien för att den ska kunna användas i framtida rättsprocesser. Frågan följs också upp i MR-forum som FN:s råd för de mänskliga rättigheterna och generalförsamlingen. Sverige är pådrivande i detta. Sverige stöder också den internationella brottmålsdomstolens chefsåklagares arbete med att motverka straffrihet för förövare av sexuellt och könsbaserat våld. Den feministiska utrikespolitiken innebär att regeringen systematiskt ska omsätta genusperspektivet i praktisk politik, i alla samtal, analyser, beslut och insatser. Regeringen driver frågor om kvinnors och flickors rättigheter, sexuell och reproduktiv hälsa och rättigheter samt insatser mot könsrelaterat våld och andra övergrepp. I dialog med FN på såväl politisk nivå som i fält för vi fram dessa budskap, liksom vikten av att kvinnors ekonomiska aktörskap tillvaratas. Det är min uppfattning att både FN och EU måste stärka sina insatser för att motverka alla former av våld och ge stöd till dem som har drabbats. Regeringen verkar särskilt för att skydd från sexuellt och könsbaserat våld integreras och prioriteras i det humanitära biståndet. Sverige ska även stödja riktade insatser för att motverka könsbaserat våld. Jag vill också göra er uppmärksamma på att systematiska och grova hot mot kvinnors rättigheter bottnar i föreställningar om kvinnors underordning. Regeringen arbetar med att motverka föreställningar om att kultur, tradition och religion kan åsidosätta kvinnors rättigheter. ","S"
"Amineh Kakabaveh","Fru talman! Jag vill tacka utrikesminister Margot Wallström för det positiva glädjebeskedet om och engagemanget för att det feministiska arbetet och barnarbete ska integreras i utrikespolitiska debatter och det utrikespolitiska arbetet. Det är viktigt. Vi vet att Sverige och resten av världen har tagit emot rapporter om jihadisternas besinningslösa grymheter mot kvinnor och barn, minoriteter och religiösa och etniska grupper i Syrien och Irak. Vi vet också att staden Kobane i Syrien fortfarande är belägrad av Isis och att attackerna mot civilisationen men också mot landet är omfattande. Och vi vet att de mest utsatta och största förlorarna är kvinnor och barn. Många kvinnoorganisationer och människorättsaktivister i Sverige, Kurdistan, Irak och Syrien har stora förväntningar på oss och utrikesministern och på att vi ska göra något särskilt inriktat på just de flickor och kvinnor som rövats bort av Isis och av jihadisterna i såväl Syrien och norra Irak som Kurdistan. Men jag vill också nämna de tjejer som Boko Haram har rövat bort. De var förut flera hundra, och nu de senaste veckorna har antalet ökat. Dessa arbeten är väldigt tunga och svåra. Men det är bra att det finns en målsättning. Jag tror faktiskt att Sveriges röst, i just de fall som handlar om kvinnor och barn, är stark. Och den måste vara ännu starkare framöver. Jag är glad över att utrikesministern säger att ambitionen och hennes egen uppfattning är att både FN och EU måste stärka sina insatser för att motverka alla former av våld. Frågan är hur. På vilket sätt skulle man kunna göra det? Det är viktigt. Jag vet att vi satsar mycket på bistånd. Vi satsar mycket på humanitär hjälp. Men de kvinnor och barn som är särskilt utsatta får tyvärr inte del av detta som en riktad insats. Svar på interpellation När det gäller frigivningen av flickorna, särskilt de yazidiska flickorna, i Kurdistan och Irak handlar det inte bara om Isis grymheter, våldtäkter, mord och avrättningar utan också om att samhället inte accepterar våldtäkterna. Vi har fått höra att ledaren för den yazidiska befolkningen har sagt till hundratalet flickor som blivit frigivna, och som är gravida, att man inte kan prata om våldtäkt i samhället - 20 gånger om dagen har de blivit våldtagna, och flera gånger i veckan har de blivit sålda. Ingen, inte ens flickorna, får prata om det. Det kommer i slutändan att leda till att många hundra flickor, och barn, kommer att tvingas begå självmord. För att förhindra den humanitära katastrofen - det handlar faktiskt inte om flera tusen - skulle Sverige, FN och EU kunna göra något särskilt för just den målgruppen. Därför är min fråga: Kan utrikesministern ge besked om på vilket sätt vi skulle kunna hjälpa till? (forts. § 10) ","V"
"Fredrik Malm","Herr talman! Detta är en mycket angelägen interpellation och givetvis ett lika angeläget svar. Vi har de senaste åren sett hur Abu Bakr al-Baghdadi och hans rörelse Islamiska staten har tagit över fler och fler områden i Syrien och Irak och därefter utropat det som de kallar för det islamiska kalifatet. Svar på interpellationer Det här har skett på skallar, ben och blod från shiamuslimer, kristna, yazidikurder och andra minoriteter liksom väldigt många sunnimuslimska invånare som inte stöder IS. Man har mördat, man har halshuggit, man har ångat fram likt en medeltida här i denna rörelse. Vi vet att Mellanöstern sedan en lång tid tillbaka har gått i baklås till följd av auktoritära regimer och olika typer av irreguljära terrorgrupper och annat. Men Islamiska staten, Daesh, tillsammans med möjligen Boko Haram har tagit våldet till en ny nivå som nästan får tidigare terrorgrupper att blekna, som får vissa terroriststämplade organisationer att framstå som pragmatiska i jämförelse med det som Boko Haram ägnar sig åt. Den här mycket viktiga interpellationen fokuserar framför allt, herr talman, på kvinnor och barn och dem som har tillfångatagits av Islamiska staten i ar-Raqqa, i Mosul och på andra håll. Det är bara det att det som är pudelns kärna i detta och som man inte på något sätt kommer ifrån är att Islamiska staten måste krossas militärt. Det finns ingen annan väg framåt. Det måste ske för att man över huvud taget ska kunna inkludera den sunniarabiska majoritetsbefolkningen i Syrien, Irak och Levanten i någon sorts fungerande politisk process, vilket i sin tur är avgörande för att något slags förtroende ska kunna byggas för statsbildningar och statsmakter som Irak och Syrien. Herr talman! Jag noterar då att interpellanten Amineh Kakabaveh efterlyser mer bistånd till jämställdhet. Det är jätteviktigt. Det är bara det att vi ger ju inget bistånd till Islamiska staten, och det kommer inte in något bistånd till deras område, förutom möjligtvis någon humanitär leverans via någon checkpoint som FN eller någon annan har förhandlat sig till. Men Sverige ger ju inget bistånd till ar-Raqqa i dag eller till Baghdadi. Interpellanten efterlyser också en kartläggning av vad som har hänt med de flickor som har bortrövats och blivit sexslavar. Ja, det kan vi kartlägga för dem som har släppts och kommit tillbaka till Sinjar, Erbil, al-Hasakah eller varifrån de nu har rövats. Men det hjälper ju inte dem som är fångna i dag. Vi ska följa FN:s människorättskonventioner, skriver interpellanten. Det är klart att vi ska. Det ska väl alla göra. Men det är bara det att Islamiska staten inte har undertecknat några sådana, och den syriska eller irakiska staten kan inte implementera några FN-konventioner i de här områdena, för de styr inte i dessa områden. Detta betyder att den avgörande frågan är en annan. Den avgörande frågan om man vill skydda de här flickorna, kvinnorna och civila - assyrier, yazidier, kurder och araber av olika slag, shia, sunni och så vidare - blir i slutändan att man agerar militärt för att stoppa Islamiska staten. Därför, herr talman, vill jag välkomna det beslut som regeringen har fattat och som utrikesministern också deklarerade häromveckan, att Sverige också ska delta militärt i detta, till en början med träning. Jag hoppas att det kommer mer, därför att den enda vägen framåt är att de här människorna befrias, och det kommer inte att ske med några dialoger. ","FP"
"Hillevi Larsson","Herr talman! Jag tycker att det blir väldigt märkligt om man säger att vi bara ska göra en enda sak. Det ena utesluter inte det andra. Att man stöder med utbildning för att förstärka det försvar som finns betyder inte att man inte ska ha något humanitärt bistånd eller att man inte ska satsa på jämställdhetsarbetet. Det ena utesluter inte det andra. En fråga handlar också om att i förebyggande syfte hjälpa människorna så att de inte blir infångade, och där har det humanitära biståndet varit avgörande. Det har varit en situation där bland annat yazidier har stått emellan att svälta ihjäl eller bli tillfångatagna, och där finns uppenbart möjlighet att ge humanitärt bistånd. Nu har vi en situation när människor fryser ihjäl, och då finns det också ett stort behov av humanitärt bistånd. Det är också väldigt viktigt att trycka på jämställdheten. Detta är ett apartheidsystem riktat mot kvinnor och flickor för vilka grundläggande mänskliga rättigheter över huvud taget inte gäller. Flickor och kvinnor är ägodelar som man kan behandla hur som helst. IS har i sitt eget reglemente sagt att det är fullt fritt att sälja unga flickor som inte har uppnått puberteten som sexslavar om de tillhör fel grupp. Yazidier har varit en av de mest utsatta grupperna, men detta gäller även kristna och muslimer. Det är nämligen en felaktig uppfattning att IS skulle vara en muslimsk organisation egentligen. Detta är en fascistisk våldsorganisation som vänder sig emot alla, och alla är också emot dem. Även de muslimska grupperna ser dem som ett enormt hot. Jag tycker att det är viktigt att Amineh Kakabaveh tar upp jämställdhetsaspekten. Det räcker inte med det humanitära biståndet och stöd till försvar mot IS, utan vi måste se till, både i det akuta skedet och efteråt, att de som faktiskt har lyckats komma därifrån får den hjälp och det stöd som behövs. Det kan också vara så, precis som Amineh Kakabaveh nämner, att sexuella övergrepp är väldigt tabubelagt inom den egna gruppen. Det är därför som det är ett väldigt effektivt krigsvapen som också används brett över hela världen, just för att det slår så oerhört hårt. Jag välkomnar arbetet som regeringen gör, och jag tror att vi måste ta upp den här frågan i olika dimensioner. Det kan inte bara vara försvar som gäller. Om man bombar IS är det också risk för att de som är tillfångatagna blir bombade, så det är inte så lätt. Men självklart måste vi också använda militärt våld. Det är uppenbart, men jag tror inte att det är den enda lösningen. ","S"
"Margot Wallström","Herr talman! Tack till er alla för kommentarer som ytterligare belyser den här mycket svåra situationen som uppstår av Isils härjningar. Ni har också väl beskrivit det lidande och de metoder som Isil använder. Vi måste verka på flera olika spår parallellt. Jag har i mitt svar egentligen bara redovisat en liten del av alla de åtgärder som Sverige vidtar för att stärka kvinnors situation. För det första ingår mänskliga rättigheter och kvinnors deltagande som en väldigt central komponent i det utvecklingssamarbete som vi har med Irak. Där bidrar Sverige med 50 miljoner kronor per år 2013-2015. Genom det syriska civila samhället inriktat på mänskliga rättigheter och demokrati är en del av stödet också inriktat på att stärka kvinnors rättigheter och politiska deltagande i Syrien. Listan över åtgärder kan faktiskt göras lång. Kvinnoaktivister och deras organisationer får stöd genom Kvinna till Kvinna. International Media Support ger mediestöd med fokus på kvinnliga journalister och grävande journalistik. Stöd ges till syriska kvinnoaktivister med hjälp av en insats från Geneva Call, och stöd ges till kvinnliga syriska flyktingar i Libanon och så vidare. Vi kan faktiskt vara stolta över att Sverige är en så stor bidragsgivare till mycket konkreta projekt. Dessutom måste vi arbeta politiskt och följa det politiska spåret eftersom det är vad som långsiktigt kan åstadkomma stabilitet och förhindra Isils framfart. Vi stöder förstås fortfarande Staffan de Misturas ansträngningar. Vi arbetar i EU-kretsen för att se vad vi kan göra för att ytterligare ge honom uppbackning i hans ansträngningar - så svårt som det kan te sig i dagsläget, men det är den mest realistiska plan som finns för dagen. Vi ger, som sagt, det humanitära stödet. Vi har också beslutat att vi ska undersöka förutsättningarna för att föreslå riksdagen - det blir troligen en proposition - att svensk militär personal ska sändas till Irak för att utbilda trupper som strider mot Isil. Det är vårt sätt att bidra till koalitionen som strider mot Isil. Vi vill ju att det ska ske på folkrättsligt korrekta och stabila grunder. Vi ingår i den bredare koalitionen. Också där lyfter vi fram vikten av att kvinnor och barn skyddas. Det är en självklar del av vår hållning och vår politik. Precis som ni har påpekat är det i dialog med de drabbade som vi också kan få reda på mer, till exempel exakt hur behovet av skydd och inflytande ser ut. Vi vill också stärka kvinnornas roll i det förebyggande arbetet mot terrorism, till exempel att förhindra rekrytering av utländska stridande. Det är också viktigt. Jag talade med Mona Sahlin häromdagen. Hon sa att en imam hade berättat för henne att när han pratade med ungdomar som riskerar att värvas sa han att det inte alls är så att de kommer att dö som martyrer utan att de kommer att drunkna i sina mödrars tårar. Det är kanske en bra utgångspunkt. ","S"
"Amineh Kakabaveh","Herr talman! Tack, utrikesminister Margot Wallström och alla ni andra som har gjort inlägg! Låt mig kommentera frågan om militärt stöd. Det är enligt FN:s resolution 1820 viktigt att skydda kvinnor i konflikter så att de inte utnyttjas eller rövas bort, som faktiskt har skett i Nigeria, Irak och Syrien. Det innebär att FN inte har följt sina egna resolutioner. På den punkten är det viktigt att på kort sikt skydda kvinnor och barn. Det är de som är utsatta. Där militärer finns i ett land eller i en region råder inte brist på vapen, konflikter eller mördande. Jag tror att de flesta svenskar och kurder förväntar sig att Sverige ska agera för fred och säkerhet samt kvinnors och barns rättigheter. Där måste ske ett långsiktigt arbete. Vi avskyr alla militären, men ibland är den nödvändig. Staden Kobane har helt jämnats med marken. Det finns inget stöd till de kurdiska rebellerna, inte heller till den kurdiska regeringen. Allt bistånd i alla former från hela världen stannar i Bagdad. Det går inte direkt till Kurdistan. Riktade insatser är viktiga och bra, och jag hoppas att vi tänker på det långsiktiga arbetet. Självklart måste vi kunna använda FN:s resolution 1820 i det fallet. I går fick jag ett brev från gruppen Zhian i Kurdistan, som jobbar i Sinjarområdet i Shingal. Det finns många aktivister från Sverige och Norge som jobbar där frivilligt. Jag har mer än 1 500 kurdiska namn, och de vet vilka det handlar om. De har skrivit till mig och bett mig att ställa en fråga till den svenska utrikesministern. De har stora förväntningar eftersom Sverige är det enda landet som lyfter fram kvinnors rättigheter. De har hört att särskilt den rödgröna regeringen lyfter fram dessa frågor. De undrar om det är så svårt att tala om de 100 flickor - de är inte kvinnor - som har blivit gravida efter att de har blivit våldtagna. Ingen vågar tala om dem nu när de har blivit köpta tillbaka eller frisläppta. De undrar om inte Sverige konkret kan göra något för dem.  Gruppen skriver även om de 191 barn under tio år som är totalt föräldralösa och traumatiserade. Barnen har sett hur föräldrarna har blivit avrättade. De skriver att det inte går att hålla tillbaka sina tårar när barnen berättar om sina mammor. De har deltagit i ett seminarium i riksdagen via Skype och berättat om hur de arbetar. Tio organisationer deltog i seminariet. Ministern var också inbjuden, men det var dagen innan regeringsbildningen. Många organisationer, även S-kvinnor i Sverige, står bakom dessa frågor. De bygger på önskemål från olika håll och är inte bara mina egna frågor. Därför krävs lite mer konkreta svar på vad vi i Sverige vill göra. Jag lämnar gärna över gruppens brev senare. ","V"
"Fredrik Malm","Herr talman! Om de människor som IS förslavar, fängslar och plågar ska befrias måste det i slutändan ske genom att detta så kallade kalifat krossas militärt. Det går en lång front från östra Irak, Khanaqin nära Kirkuk, ända bort till i stort sett Kobane, drygt 100 mil. Det militära stödet syftar till att den fronten ska stå emot attackerna från IS. Jag blir lite förvånad, herr talman, eftersom interpellanten argumenterar utifrån att det är fråga om en FN-insats och resolution 1820. Så är det inte. I praktiken, Amineh Kakabaveh, agerar USA. Man behöver inte ett FN-mandat därför att Irak utsätts för en transnationell invasion av Islamiska staten. Därmed har Irak rätt enligt FN-stadgan att försvara sig - och USA agerar. Kobane ligger inte i Irak utan i Syrien. Där agerar man också med bombningar, och det är folkrättsligt lite rörigare. Men i praktiken har Bashar al-Asad eller Syriens regim inte protesterat mot detta. Då går frågan på något sätt tillbaka till interpellanten. Nu talar man om att skydda civilbefolkningen. Innan USA gick in med flygstöd till Kobane höll Kobane på att falla. Det var inte många dagar kvar. Islamiska staten hade kanske intagit 80-90 procent av Kobane. YPG-styrkorna var oerhört trängda, och Turkiet agerade på ett sätt som gjorde att hela enklaven höll på att falla. USA agerade med hjälp av en rad andra stater, vilket innebär att i dag kontrollerar de kurdiska styrkorna 80 procent av Kobane. Det hade varit omöjligt utan de amerikanska insatserna. Det vore bra, Amineh, att få ett besked om hur du ser på detta. Stöder du de amerikanska flygattackerna för att skydda civilbefolkningen och stärka de fronterna eller inte? ","FP"
"Hillevi Larsson"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Nu diskuterar vi den akuta situationen, men det är rätt intressant att titta tillbaka på vad som har hänt tidigare. IS var en betydligt svagare grupp från början, men den tillhörde rebellerna i Syrien som slogs mot den syriska regimen. Det är en fruktansvärd regim, och det finns ingen möjlighet att försvara den. Tyvärr gjorde konflikten att IS växte till sig, och nu har de mer och mer tagit över. Dilemmat var att det fanns många som tyckte att det var bra att man försökte störta den syriska regimen på grund av övergreppen mot den egna befolkningen, men samtidigt släpptes krafterna fram, som på kort tid har tagit över mer och mer. Det här visar bara att våld föder våld; i en våldsam situation sätter man sig över mänskliga rättigheter, och det sker ett rent slaktande. Tyvärr ger det ytterligare stöd åt dessa krafter. I det akuta skedet är det oundvikligt att använda våld mot IS när det handlar om att rädda människoliv, inte minst kvinnor och barn som är direkt hotade. Men i det långsiktiga perspektivet är det inte mer våld och mer krig som är lösningen. Man kan se att grupper som dessa snarast frodas i en miljö där det används väldigt mycket våld. Långsiktigt handlar det om mänskliga rättigheter, grundläggande välfärd och kvinnors rättigheter. Det är det som i det långa loppet motverkar denna typ av organisationer. Det kan man se i Afghanistan, där fruktansvärda krig har bidragit till kvinnoförtrycket. Det är viktigt att se inte bara det akuta skedet utan också mer långsiktigt, inte minst på jämställdhetsfrågorna. De måste fram i alla sammanhang i utrikespolitiken. ","S"
"Margot Wallström","Herr talman! Tack så mycket för kommentarerna! Jag kan bara upprepa att vi måste verka på alla dessa spår: både hantera den akuta situationen för att lindra det mänskliga lidandet och stödja den politiska processen via EU och FN och bidra till Staffan de Misturas arbete. Vi måste göra allt vad vi kan för att förebygga att Isil kan rekrytera utländska terroriststridande. Vi måste fortsätta med vårt omfattande humanitära stöd. Vi vill hjälpa till på marken, men vi måste göra det via de organisationer som har tillgång till och tillträde till dessa områden. Vi förbereder, som sagt, att skicka inte stridande trupp utan dem som kan hjälpa till att utbilda peshmergan i Erbil. Det är det som är inriktningen på vårt stöd - det är en utbildningsinsats - och det måste förstås förberedas väldigt noga. Vi ger trots allt vårt stöd till en militär insats, för det behövs också i detta läge. Men det rymmer alla dessa olika perspektiv och insatser både på kort och på lång sikt. Jag tror att det är en stor tillgång att vi har en samsyn i Sveriges riksdag både om analysen av situationen och om att vi fortsatt ska bidra med stora ekonomiska belopp och med den inriktning som vi har, med ett särskilt fokus på flickors och kvinnors situation. Vi har också uppmuntrat Staffan de Mistura att se till att engagera kvinnor i sitt arbete, i sin delegation och i de insatser som han gör. Sedan krisen utbröt i Syrien har Sverige bidragit med över 1,3 miljarder kronor. Vi är en av de viktigaste och största bidragsgivarna, så vi har ingenting att skämmas för - för att inte tala om att vi också tar emot och välkomnar så många flyktingar i Sverige. Det är ett otroligt viktigt bidrag. Där försöker jag förstås i EU-kretsen påpeka att detta ansvar bör tas av fler EU-länder för att det ska bli ännu bättre. Jag har också stort hopp om att det arbete som Mona Sahlin nu utför ska kunna hjälpa oss att inte minst förebygga rekrytering av terroriststridande. ","S"
"Amineh Kakabaveh","Herr talman! Tack, utrikesministern! Jag tror inte att Fredrik Malm hörde vad jag sade: Jag tycker att det är bra med kortsiktiga insatser som är riktade till kurderna i både Kobane och Irak. Det är viktigt. Men jag är en stark motståndare mot att vi ska bidra till långsiktigt krig. Det är Sveriges riksdag som bestämmer, men vi i Vänsterpartiet är för fred och säkerhet och tycker att det är viktigt att lyfta upp jämställdhetsaspekten. Jag håller fullständigt med Hillevi. Kriget i Syrien har varit en av orsakerna till att extremismen har spritt sig i olika delar av världen, och det berör också Sverige. Många regeringar i Mellanöstern stöder dessa terrorister, och Saudiarabien är en av dem. Vi har vapenexport till Saudiarabien, till den diktaturen, där de skär av ens huvud på gatan - en regim med könsapartheid. Det måste vi stoppa, och det är ett långsiktigt arbete, Fredrik Malm. Kriget i Syrien måste stoppas. Sverige måste ta initiativ mycket tydligare, mycket hårdare och mycket mer intensivt för att lösa den konflikten. Jag tror att konflikten i Irak också hänger ihop med detta. När det gäller jämställdhetsarbetet i det utrikespolitiska målet hoppas jag att utrikesministern och Sverige tar initiativ till en konferens och bjuder in de stater som systematiskt förtrycker kvinnor - det är länder som sitter i FN. I FN:s och Sveriges regi skulle vi kunna bidra med en konferens för att lyfta upp jämställdhet och kvinnors situation i konflikter i olika länder. Jag hoppas att vi kommer att göra det arbetet. ","V"
