"Åsa Regnér","Svar på interpellationer Herr talman! Margareta B Kjellin har i sin interpellation frågat mig hur jag avser att gå vidare med målet att minska antalet fallolyckor och vilken roll regeringen har i en sådan strategi. Vidare har Margareta B Kjellin frågat om kommuner och landsting kommer att tillföras specifika resurser för att arbeta med frågan och hur jag kommer att arbeta vidare utifrån det arbete som den förra regeringen inledde. Fallskador är ett stort problem som orsakar personligt lidande och stora kostnader för hela samhället. Med det sagt vill jag på nytt understryka att det är min och regeringens avsikt att verka för en kraftig minskning av antalet fallolyckor bland äldre. Regeringen har som tidigare aviserats för avsikt att ta fram en långsiktig kvalitetsplan för den svenska äldreomsorgen, och för närvarande pågår arbete med det. Hur det arbetet konkret kommer att se ut, vilket mål och vilken roll regeringen kommer att ha får jag återkomma om när det finns mer att presentera i frågan. Den budget som riksdagen har beslutat om har fått till följd att den ekonomiska ramen för äldrepolitiken under 2015 är betydligt mindre än den regeringen föreslog, vilket betyder att förutsättningarna för den offensiva äldrepolitik som regeringen vill föra har förändrats. Att det finns en samsyn och till och med politisk enighet i frågan är bra, och jag ser därför fram emot att fortsätta dialogen om detta med riksdagen. Jag ber att få återkomma i frågan när regeringen formulerat sin politik utifrån de rådande förutsättningarna. ","S"
"Margareta B Kjellin","Herr talman! I november gjorde statsrådet Regnér ett uttalande som jag tyckte lät väldigt spännande. Statsrådet sa att hon skulle arbeta för att fallolyckorna skulle minska drastiskt. Det lät fantastiskt, tyckte jag. Därför ställde jag interpellationen om vilka konkreta åtgärder regeringen avser att vidta och hur strategin ser ut. Uttalandet kan tyckas vara lite förhastat eftersom det av svaret framgår att statsrådet inte vet hur det ska gå till. Myndigheten för samhällsskydd och beredskap har utifrån statistik, som tagits fram tillsammans med patientregistret, sett att över 100 000 med fallskada fick vård på svenska sjukhus 2013. Det är dubbelt så många som syns enbart i slutenvårdsregistret. Det verkar som att cirka hälften av alla fallskador hamnar utanför vården. Då räcker det inte med att endast öka bemanningen inom vården. Enligt Myndigheten för samhällsskydd och beredskap är de vanligaste riskerna för fallolyckor bland äldre nedsatt balans, nedsatt muskelstyrka, medicinering, nedsatt syn och hörsel, dålig nutrition, nedsatta reflexer och den omgivande miljön.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Man vet att ett förebyggande arbete ger stora vinster inte bara för samhället utan framför allt för individen. Statens folkhälsoinstitut arbetar med att främja hälsan hos äldre personer i den så kallade tredje åldern, det vill säga den friska tiden efter ålderspensionen. Här tycker jag att vi ska vara tacksamma mot pensionärsorganisationernas arbete. De fyller en stor funktion genom att anordna många olika friskvårdsaktiviteter. Man vet i dag att promenader inte räcker för att behålla muskelstyrka och därmed balans. Det behövs faktiskt styrketräning för äldre. Alliansregeringen påbörjade redan 2006 ett stort arbete med att förebygga fallskador. En av de allra viktigaste åtgärderna var läkemedelsgenomgångarna. Många äldre människor har läkemedel som inte är anpassade för dem. För höga och onödiga doser av sömnmedel och andra orosdämpande läkemedel leder ofta till yrsel och förvirring. Till det kan läggas stora doser av blodtrycksmediciner och annat som också orsakar yrsel. Ett annat arbete som alliansregeringen tittade på gällde bättre nutrition. Alltför många äter för dåligt. Det ger också muskelsvaghet och orsakar förvirring. Flera forskningsprojekt under alliansregeringens tid har handlat om att ge mat i stället för läkemedel. Näringssmoothies med både frukt och grädde har förbättrat mångas hälsa under den tiden. Förutom insatser för bättre mat och bättre medicinering har alliansregeringen även initierat ett arbete med uppsökande verksamhet hos äldre personer som ännu inte behöver insatser av hemtjänsten, allt i syfte att hitta sådant i deras hemmiljö som ökar risken för fallskador. För att öka kvaliteten och minska riskerna inom äldreomsorgen registreras mycket i Senior alert, som är ett nationellt kvalitetsregister för förebyggande vård och omsorg. Undernäring, fall- och tryckskador är viktiga områden för vårdtagare inom såväl sluten vård och omsorg som inom primärvård, hemsjukvård och kommunal äldreomsorg. Syftet med Senior alert är att skapa en bra infrastruktur och systematik för det förebyggande arbetet. ","M"
"Catharina Bråkenhielm","Herr talman! Margareta B Kjellin tar i sin interpellation upp en viktig fråga. Det är en fråga som historiskt inte har varit särskilt högt rankad, inte heller under de senaste mandatperioderna. När vi sitter och arbetar med budget, såväl i regioner och kommuner som på riksnivå, bedöms andra saker vara betydligt viktigare. De åtgärder som Margareta B Kjellin föreslår för att minska fallolyckorna håller vi naturligtvis med om. Den kunskapen och kompetensen finns på ett par ställen, men den används alldeles för lite. Det satsas stora resurser på att minska dödligheten i trafiken, 43 miljarder kronor. Man har en nollvision, man har strategier och man har mål. Det har varit mycket lyckosamt. Antalet trafikdödade har minskat kraftigt. Men fallolyckorna, som är fem gånger så många, har blivit styvmoderligt behandlade. Där finns ingen nollvision, ingen riktig handlingsplan, och framför allt tillförs inga stora resurser. Runt 3 miljarder är den blygsamma summa man kunnat lätta plånboken med.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Trots att det ser ut på det sättet, och trots att man borde ha en nollvision, har några krafttag inte tagits. Våra gamla fortsätter att i allt högre grad ramla - och de dör av det. Vi har endast sett spridda skurar av insatser de senaste mandatperioderna. Många av de åtgärder som skulle minska fallolyckorna handlar inte enbart om pengar. Margareta B Kjellin räknar också upp sådana åtgärder. Det är saker som vi egentligen vet. Nattfastan är för lång; man ramlar av det. Man skulle kunna få mer hjälp att fallsäkra sitt hem. Det kan gälla enkla saker som mattor, sladdar och sladdlös telefon. Det handlar inte så mycket om pengar där. Många kommuner har haft tjänster som Fixar-Bettan för hjälp i hemmen. Det är en ganska billig tjänst som har tjänats in mångdubbelt. Man har fått hjälp med vardagliga saker som att byta gardiner och glödlampor - samt lite sällskap också. Detta har dessvärre dragits ned i alltför många kommuner. I min grannkommun Stenungsund var det första man gjorde när man bytte styre och ledning att man drog in den här tjänsten, trots att man vet att den varit till hjälp. Jag undrar vad detta egentligen beror på. Kan man kanske skriva det på kontot kunskapsbrist hos våra kommunpolitiker? Det finns en rad tekniska hjälpmedel som gör livet betydligt lättare för de äldre. Men där har det hänt väldigt lite. Utvecklingen har gått framåt, men man använder de tekniska hjälpmedlen i väldigt liten utsträckning. Det finns fallsensorer som man kan bära på kroppen som äldre. När kroppen börjar svaja går en signal till en larmcentral, som ringer upp. Kan man då inte svara på grund av att man fallit kommer en person snabbt ut. Ju snabbare man får hjälp desto fortare kan man komma tillbaka till det vanliga livet efter till exempel ett lårbensbrott. Det går även att sätta sensorer i sovrummet. Som äldre går man oftast upp ett par gånger på natten för att gå på toaletten. Då sker många fall. Sensorerna signalerar om man inte kommit tillbaka inom den stipulerade tiden. Det finns även tekniska skärmar som gör att man inte behöver väckas. Men ofta är det mycket gammaldags. Man använder i dag de gammaldags larmen som man har runt handleden. Dem får man oftast under kroppen, eller så slår man i huvudet. Nu har jag en fråga. Kan den låga prioriteringen dölja en åldersdiskriminering månntro? ","S"
"Åsa Coenraads","Herr talman! Jag vill tacka Margareta B Kjellin för att hon tagit upp den väldigt viktiga frågan om fallolyckorna bland äldre i sin interpellation till statsrådet. Vi är en alltmer åldrande befolkning, och det ställer nya krav på samhället. Vi studerar längre än vi gjort tidigare. Vi arbetar allt längre än tidigare. Vi arbetar även längre upp i åldrarna, vilket är positivt. Men när vi sedan slutar vårt arbetsverksamma liv lever vi också allt längre. Detta medför att politiken för äldre måste hålla ihop hela vägen. Det blir allt viktigare med förebyggande åtgärder för att vi ska kunna arbeta längre eller arbeta deltid när vi blir äldre men också kunna leva ett värdigt liv som äldre. Vi vill klara oss så länge som det går i det egna hemmet, och det ställer krav på att den nya hemmiljön är så bra som möjligt.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer En av de vanligaste orsakerna till onödiga kostnader inom kommun och landsting är de fallskador som inträffar allt oftare och blir värre och värre för äldre människor ju längre upp i åldrarna de kommer. Denna kostnad är helt onödig. Fallskadorna medför dessutom för människor ett extra lidande som inte skulle behöva hända om vi kunde arbeta mer preventivt med just fallskadorna. Man behöver jobba preventivt, strukturerat och långsiktigt för att komma till rätta med detta. Jag kommer från Landstinget i Västmanland. Vi har tagit ett beslut om att ingå i Senior alert. Vi har gjort 2 500 riskbedömningar sedan vi gick med. Det gör vi därför att det är viktigt att arbeta långsiktigt och bygga kunskap på den erfarenhet som man får genom insamlade data, vilka används på olika sätt runt om i Sverige. Insamlade data har till exempel använts i den äldreutredning som alliansregeringen tillsatte tidigare. Nu lade dessvärre regeringen ned denna utredning under hösten. Jag tycker att det är beklagligt att all den kunskap som man har samlat in och som utredningen har jobbat med numera är bortkastad kunskap. Regeringen har valt att kasta skattebetalarnas pengar i sjön. Ministern talar om att vi behöver breda och långsiktiga lösningar för att komma framåt. Men för att hitta de breda politiska lösningar som vi alla kan diskutera är det viktigt att vi vet vad dessa lösningar ska baseras på. Ministern säger att hon ska komma tillbaka när regeringen är överens. Det här var någonting som vi varnade för förra våren: Är man inte förberedd så är man oförberedd, och då tar det tid. Den tiden skadar våra äldre. Ju längre tid regeringen dröjer med att komma med sin utredning, desto fler äldre kommer att falla och skada sig. ","M"
"Hillevi Larsson","Herr talman! Det här är en väldigt viktig fråga. Jag tror att en anledning till att denna fråga inte debatteras så brett i politiken och samhällsdebatten är att den framför allt berör en viss grupp. Det är klart att fallolyckor är ett problem i hela samhället för alla åldersgrupper, men det är speciellt de äldre som är drabbade. Även om man kan halka som yngre brukar inte konsekvenserna bli så fatala som om man är äldre och kanske redan har sjukdomar. Det är också övervägande kvinnor som är drabbade. Detta är därför ett väldigt viktigt jämställdhets- och jämlikhetsproblem utifrån åldersdiskriminering. Det är klart att det delvis har att göra med hur mycket resurser man lägger. Det gäller att se till att de som behöver hemtjänst får det. Bara därigenom kan man förebygga fallolyckor i hemmet. Fixar-Bettan, Fixar-Malte eller vad man nu kallar det kan vara otroligt värdefullt. Visst är det en kostnad, men jag tror inte att det är en speciellt stor kostnad i förhållande till det mänskliga lidande man sparar samt de uteblivna kostnaderna för sjukvården och hela samhället. När det gäller fallskyddsinventering är det en väldigt låg kostnad i förhållande till vad man vinner på det. Det är något som man kanske bara behöver göra en gång, eller möjligtvis återkommande men med långa mellanrum. Det behöver inte generera någon större kostnad, utan det handlar om enkla saker som halkskydd under mattorna och information till äldre om hur man ska göra för att undvika olyckor.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det är väldigt vanligt att människor prövar på sådant som de egentligen inte borde göra. Det gäller även i yngre åldersgrupper, som i den här klassikern med mannen - det finns väl kvinnor också, men oftast är det en man - som klättrar upp på hustaket för att \"fixa själv\" men ramlar ned och bryter benet. Det är väldigt viktigt i sammanhanget att ge information om vad man bör be om hjälp med och se till att den hjälpen också finns att tillgå. Det som folk kanske känner till bäst är utomhusproblemet med halkolyckorna. Det gäller inte minst vid denna tid på året, när det är is och snö. Visserligen är det en mindre del, för fallolyckorna är betydligt vanligare i hemmen, men det är ändå en viktig del. Halkolyckorna går att förebygga. Det förekommer på sina håll att man delar ut broddar till äldre gratis, vilket är väldigt bra. Det är en kostnad, men jag ser det mer som en investering, för man undviker jättestora kostnader i vården om man förebygger fallolyckor. Det är effektivare att förebygga än att komma och försöka hjälpa till när olyckan väl har skett. Sedan är snöröjningen ett problem. Det finns såklart stora skillnader över landet i hur mycket snö och is det finns, men det finns även skillnader i hur man sköter snöröjningen. Det är väldigt viktigt att man tänker inte bara på vägtrafiken utan även på fotgängare och cyklister. Man ska inte glömma att det faktiskt finns många äldre som cyklar. Det är jättepositivt för hälsan, men det kan få fatala konsekvenser om man ramlar av cykeln. Det är viktigt att se till att både gång- och cykelbanor är ordentligt röjda. Varför blir då fallolyckorna så fatala? En orsak är benskörhet. Vi har väldigt många som lider av benskörhet men inte ens vet om det. Det är väldigt viktigt att både förebyggande och efter en olycka se till att rätta till det genom näringstillskott. Tyvärr brister detta på många håll i landet i dag. ","S"
"Åsa Regnér","Herr talman! Detta är en fråga som engagerar, och den engagerar även mig. Den berör både kvinnor och män, men det är en kvinnofråga på det sättet att kvinnor är klart överrepresenterade. Det är också en jämlikhetsfråga. Det finns siffror som tyder på att i kommuner där man har mycket social utsatthet finns också betydligt fler fallskador. Som tidigare har påpekats är det 65 000 fall om året inomhus och 10 000 fall utomhus. En sådan här dag kanske man mest tänker på snö och is som problem, och det är det förstås. Men den stora faran är att vistas hemma under vissa förutsättningar, som jag är helt övertygad om att vi kan hjälpa till att förbättra genom att förebygga. Den här frågan är på många sätt ganska konkret. På andra sätt behövs mer kunskap och mer långsiktiga satsningar. Regeringen vill göra tre saker. Vi diskuterade frågan tidigare. Frågan ställdes redan före jul, och svaret kom efteråt. Det har funnits en budgetprocess däremellan, beslut och allt det som vi känner till. Det regeringen nu avser att göra är definitivt inte att slänga några pengar i sjön. Vi använder förstås de medel vi har på bästa sätt och enligt budgetbeslut. Vi vill framöver satsa på bemanning, som vi hade sagt från början. Det får vi nu göra lite mer långsiktigt och i flera etapper. Vi är övertygade om att bemanning är en lösning för den här frågan.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det handlar om närvaro, koll på läkemedel och stöd vid måltider. Läkemedel mot depression som säkert skrivs ut med goda avsikter har visat sig vara en bov i dramat helt enkelt därför att det många gånger inte passar bra ihop med en person som har lätt för att falla. Det finns många olika saker. Ni har nämnt praktiska saker som sladdar och annat. Framför allt har det mycket att göra med måltider, läkemedel, yrsel och så vidare och att förebygga det. Vi tror att närvaro och högre grad av bemanning är väldigt viktigt. Den satsningen vill vi fortsätta att bygga på. Vi vill ha en långsiktig kvalitetsplan, som jag redan har redogjort för. Många av frågorna i Äldreutredningen kommer att ingå i den. Men vi vill också redan nu börja på en strategi mot fallolyckor just för att det är så viktigt. Där kommer vi att bygga på erfarenheter som redan finns. Under de åtta åren med Alliansen ökade fallolyckorna. Det leder oss till att tro att vi måste undersöka vad som fungerade i de insatser som gjordes och vad som inte fungerade. Det finns en del kommuner som lyckades väl. Men på det stora hela gick utvecklingen åt fel håll. Det vi är överens om är att jobba hårt med detta. Vi kommer därför att jobba med en strategi som vi börjar med nu, en långsiktig strategi och ökad bemanning. ","S"
"Margareta B Kjellin","Herr talman! Jag vill gå tillbaka till Senior alert, som jag tror har haft väldigt stor betydelse. Statsrådet säger att antalet fallolyckor ökar. Vi har registrerat olyckor som tidigare aldrig registrerades som fallolyckor. De finns i dag registrerade tack vare att vi har detta kvalitetsregister. Det har väldigt stor betydelse. Det är där man kan dra slutsatser och hitta grunden för att just detta fall inträffade. Vi vet som tidigare att läkemedel har en väldigt stor betydelse. Av de fall som tas in på akuten beror 30 procent på felaktig medicinering. Det mest livsfarliga för en äldre människa som finns är att komma in på akuten. Det är där de ligger på en brits och får trycksår. Det är där som de får en kateter, för ingen hinner följa dem till toaletten. Det är där de får ett dropp i stället för mat, för det finns inte på akuten. Det är där de får vänta länge. Vi ska försöka se till att äldre människor slipper komma till akuten. Det var ett arbete som ingick i Sammanhållen vård och omsorg om de mest sjuka äldre i överenskommelsen mellan regeringen och Sveriges Kommuner och Landsting. Där skulle man minska vårdskador, och fallolyckorna var där en viktig del. Det är ett väldigt viktigt arbete att fortsätta. Man måste se att kommuner och landsting har ett gemensamt ansvar att se till att man får en kontinuitet och minskar risken för fallolyckor. Ett annat problem i sammanhanget är kvarboendet i hemmet. Det infördes som begrepp 2002. Det är klart att om man frågar en äldre människa: Vill du bo kvar hemma? säger den självklart ja. Jag vill inte bo borta. Men problemet är att det hem som jag har bott i länge väldigt sällan är anpassat för hur jag befinner mig som äldre. Därför är det väldigt viktigt att man framåt tittar på mer av trygghetsbostäder, kanske gamla tidens ålderdomshem. Det handlar om att själv kunna välja att flytta till ett bra ställa där jag kan bo bra som äldre.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag har en annan fundering. I Alliansens budget finns 75 miljoner avsatt för Måltidslyftet. Syftet var att förbättra kosten inom äldreomsorgen. När jag tittar i regleringsbrevet till Socialstyrelsen finns summan, men instruktionen för hur pengarna ska användas är mycket luddig. Det står att pengarna disponeras av Livsmedelsverket efter beslut av regeringen. Men det finns inga kriterier. Hur ska kommunerna veta att pengarna finns att söka när det inte ens finns ett kriterium för hur de ska fördelas eller användas? Eller är det tänkt att de bara ska glömmas bort och inte komma de äldre till del? Det är en fundering man får. Vi vet att maten är väldigt viktig. Det finns en annan del som också är viktig att ta lärdom av och bygga vidare på. Det gäller att hitta de mötesplatser där äldre människor som fortfarande befinner sig i kvarboende i hemmet kan träffa andra äldre, skapa nätverk, träna friska funktioner och på det sättet leva ett liv som är värt att leva hela livet. Det är där de möter människor, lär sig spela bowling och styrketräna. Det kanske finns hantlar och annat sådant. De promenader som vi lovar våra äldre väldigt ofta i värdighetsgarantier och annat hjälper för välbefinnandet. Men de räcker inte för att stärka musklerna för att förebygga fallolyckor. ","M"
"Catharina Bråkenhielm","Herr talman! Margareta B Kjellin och jag är inte alls oense om vilka insatser som ska göras. Det handlar om de resurser som man har dragit in från kommunerna. Det handlar mycket om att det har blivit färre i personalen ute och stressigare, och då hinner de inte jobba med dessa saker. De har heller inte fått någon vidareutbildning. Det saknas oerhört många utbildningar inom dessa områden, och vi vet att man har stor personalomsättning. Man tar in personal i hemtjänst som inte är utbildad. Då kan de inte de här frågorna, och då blir det förödande konsekvenser. När det gäller det Margareta B Kjellin tar upp om att äldre drabbas på akuten ska äldre inte komma till en vanlig akut. Man ska försöka se till att det finns separata akutmottagningar för de äldre. Det är de som står för 80 procent av besöken. De behöver en annan omvårdnad när de kommer dit och är 80 år, och de behöver mat. Det är otroligt viktigt. Det finns många saker att göra. Det handlar också om utbildning om mediciner. Vi vet att läkarnas medicinkunskap är mycket låg. Ibland finns den nästan inte alls. Mediciner som människor ska ta till natten skriver de ut att tas på morgonen, och så vidare. Det är klart att människor faller. Det finns en sak som jag vill slå ett slag för när det gäller pengarna för mat. Det är att laga mat hemma hos de äldre. Det har slagit väl ut. Vi vet att maten är otroligt viktig. Mat ska vara god, och man har ganska dålig aptit när man är äldre. Det måste också till kunskap så att det är riktig och god mat. Jag är glad att vi nu har en regering som tar tag i detta och gör det skyndsamt. Vi behöver inte dra frågan i så långa utredningar, utan kunskapen finns. Nu gäller det att sätta fart så att vi verkligen får ned antalet olyckor, för de har ökat. ","S"
"Åsa Coenraads"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Jag får tacka för svaret från ministern så långt. Det är viktigt att se över vad fallskadorna beror på för att kunna förebygga och arbeta långsiktigt mot detta. Trots det har vi fortfarande en regering som har avslutat Äldreutredningen utan att ersätta den med någonting nytt. Vi har också en regering som har avslutat satsningen Matlandet Sverige. Matlandet Sverige är någonting som ligger mig varmt om hjärtat. Det var ett omfattande projekt som hade många olika delar. Den del jag skulle vilja lyfta fram här är den offentliga maten och vikten av rätt mat till rätt person vid rätt tillfälle. Alla människor är olika och individuella, och all typ av mat passar inte alla. Vissa vill ha mat i hemmet, vissa vill ha mat i boendet och vissa vill kanske helt enkelt gå ut och äta på restaurang eller få hjälp att laga mat tillsammans med andra. Av alla de fallrelaterade olyckor som har skett i Landstinget Västmanland ser vi att maten spelar en allt viktigare roll för de äldre. Om man mår bra och känner sig mätt och lycklig är också risken för fallolyckor mindre, har det visat sig. Maten spelar en allt större roll i det förebyggande arbetet. Nu när Matlandet Sverige har lagts ned undrar jag hur ministern kommer att påverka sina kolleger i regeringen för att lyfta fram just vikten av nutrition - bra mat och rätt mat - för att förebygga fallolyckor. ","M"
"Hillevi Larsson","Herr talman! Jag tycker att Åsa Regnér är tydlig när hon säger att regeringen vill verka för att minska fallolyckorna. Men detta hänger också allmänt ihop med hur de äldre har det överlag. Vi har varit inne på det i diskussionen. Det handlar om undernäring, felaktig medicinering och sådana frågor. Det hänger alltså ihop med den allmänna omsorgen om de äldre. Det har också ett samband med bemanningen, inte minst inom äldreomsorg inklusive hemtjänst. Risken är att de äldre prövar på att göra saker som de egentligen borde få hjälp med när personalen inte hinner med eller när det dröjer länge tills personalen inom hemtjänsten, till exempel, kommer. Om man kan se till att det finns tillräcklig bemanning kan man också förebygga fallolyckor. Det finns tyvärr alltför många fall där äldre har legat länge - i flera timmar och ibland ännu längre - efter att ha ramlat. De kommer inte upp igen. Jag kommer ihåg när jag praktiserade på MAS, Allmänna sjukhuset i Malmö, som det kallades på den tiden. Där fanns bland annat en kvinna som var alldeles blå över den ena halvan av ansiktet. Hon hade legat i flera timmar, och hon var fullständigt förstörd av detta. Det är såklart en fruktansvärt traumatisk upplevelse att ligga i flera timmar utan att komma upp och inte veta om och när man kommer att få hjälp. Detta problem minskas om man har ordentlig bemanning i äldreomsorgen och ser till att äldre inte ska behöva ligga så här länge. Trygghetslarm är viktigt i sammanhanget, men ibland kan det ändå fallera. Jag tycker att dessa saker hänger ihop allmänt med äldreomsorgen. Det handlar om resurser, och det är viktigt att vi jobbar för det. Vi har en politik för detta - att tillföra mer resurser för alla äldres bästa. ","S"
