"Mehmet Kaplan","Herr talman! Ewa Thalén Finné har frågat mig om jag avser att föreslå ändringar i plan- och bygglagen för att återigen möjliggöra kommunala särkrav. I Sverige har vi nationella byggregler som alla nya byggnadsverk måste uppfylla. Det är ett bra system eftersom det skapar förutsägbarhet och tydlighet för den som ska bygga. Det är dock både tillåtet och möjligt att bygga med högre standard än den som följer av byggreglerna, då dessa endast utgör lägsta godtagbara standard.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Bra byggregler ska skydda människor och miljö. Byggreglerna behöver dock förenklas för att snabba upp byggprocesserna. När det gäller byggnaders energianvändning vet vi att det i dag är möjligt att bygga extremt energisnåla hus, vilket också görs på många håll. Detta är en utveckling som jag ser positivt på, eftersom den byggda miljön står för en stor del av landets energianvändning. Regeringen eftersträvar ambitiösa nationella mål när det gäller energiförbrukning och ser positivt på innovativt bostadsbyggande. Boverket har ett uppdrag att tillsammans med Energimyndigheten föreslå kvantitativa riktlinjer för energihushållningskrav avseende så kallade nära-nollenergibyggnader. Uppdraget ska redovisas den 15 juni 2015 och kan, beroende på vad myndigheterna kommer fram till, påverka hushållningskraven som ställs i de nationella byggreglerna. Det är viktigt att komma ihåg att frågan om vilka tekniska krav som bör ställas på byggnadsverk är komplex. I dag finns det nio olika tekniska krav. Dessa syftar till att säkerställa en god säkerhet, beständighet och andra grundläggande aspekter. På detta sätt har kraven olika syften. Samtidigt finns det en tydlig samverkan dels mellan kraven, dels mellan de krav som ställs och byggnadsverkens tillstånd ur miljö- och hälsosynpunkt. Vid bedömningen av vilka krav som bör kunna ställas gäller det därutöver att se på byggnadsverken ur ett livscykelperspektiv. Sammanfattningsvis är det därför av största vikt att de krav som ställs på nya byggnader sammantaget ger ett gott resultat. Jag följer därför utvecklingen noga. I dagsläget är inga lagändringar aktuella. ","MP"
"Ewa Thalén Finné","Herr talman! Jag börjar med att tacka statsrådet för svaret. Det är mycket bra att statsrådet, i sista meningen, kommer fram till att det i dagsläget inte ska göras några lagändringar. Anledningen till att jag ställde frågan var den oro jag kände när det gällde signalvärdet. Jag tyckte att statsrådet på en direkt fråga på en konferens slirade på svaret, att det är mycket bra när man går före. Skälet till den proposition som alliansregeringen lade fram var att Byggkravsutredningen var mycket tydlig med att kommunala särkrav på energianvändning och tillgänglighet driver upp kostnader, fördyrar projektering och försvårar industriellt byggande. Det var den viktigaste anledningen till att vi ville ta bort de kommunala särkraven. Med detta sagt är det självklart positivt när byggherrar och enskilda villaägare, eller vilka det nu kan vara, går före och vill bygga nollenergihus och annat. Det är en skillnad i vad kommunen säger i planeringsskedet och vad man själv vill. Att vissa går före är inget problem, men problemet är när kommunerna går före. Jag vet att det finns kritik i kommunerna mot det, men samtidigt vill vi från Alliansens sida att det ska byggas mycket och billigt. Jag är tämligen säker på att också regeringen vill det. Ytterligare ett skäl till att jag kände stor oro över ministerns uttalande var förstås att Miljöpartiet, Socialdemokraterna och Vänsterpartiet var emot lagförslaget när riksdagen beslutade om det. Därför tyckte jag att det var viktigt att vi tydliggjorde dessa delar. Att vi får nya nationella krav tror jag alla här tycker är positivt. Jag skulle dock önska att ministern än en gång kunde tydliggöra att grundvärdena - att få igång en bred projektering, att den projektering som används i en kommun också kan användas i en annan, att få igång industriellt byggande - är väldigt väsentliga för att vi ska få fram mer billigt byggande.  ","M"
"Lars Eriksson"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Jag tycker att det är viktigt att ge rätt historiebeskrivning i debatten. Till slut kom Ewa Thalén Finné fram till det som jag gissar att hon skulle säga, nämligen att det var tre partier som hade synpunkter på det lagförslag som regeringen lade fram i början av sommaren, innan vi tog ledigt inför valrörelsen. Det var fler som hade synpunkter på det, vilket jag tycker är viktigt att påminna om. Många kände oro över signalvärdet, sa Ewa Thalén Finné. Ja, det gjorde de. Det var många som kände oro inför det lagförslag som den tidigare bostadsministern lade fram. Jag ska peka på några saker. Det är bra att den nuvarande bostadsministern gör klart att inga lagändringar är aktuella. Vi ska komma ihåg att den tidigare regeringen stötte på hårt motstånd från många av sina egna kommunpolitiker runt om i landet när det gällde den här diskussionen. Jag minns särskilt ett möte som vi hade mellan civilutskottet och företrädare för SKL. Jag kan säga att det nog inte var den gladaste stunden för de borgerliga riksdagsledamöterna när de borgerliga kommunpolitikerna gjorde klart hur de såg på och vilken oro de kände inför det lagförslag som höll på att tas fram. Men man ska komma ihåg att Alliansen här i Stockholm inte hade mycket till övers för den nya lagen. Det tidigare finansborgarrådet i Stockholm, Sten Nordin, skrev i Svenska Dagbladet 2013: \"Den så kallade byggkravsutredningen, där förslaget ingår, går ut på att en 'stoppbestämmelse' ska införas i plan- och bygglagen. Det skulle förhindra att Sveriges kommuner får ställa egna krav på till exempel en byggnads energikonsumtion. - - - Byggkravsutredningen missar dock målet genom att föreslå lösningar utan bevislig effekt, samtidigt som den underminerar Stockholms miljöarbete och riskerar att bromsa tillväxten i Stockholmsregionen.\" Sten Nordin skrev också att en stoppbestämmelse \"skulle ha omöjliggjort de världsberömda miljöstadsdelarna Hammarby Sjöstad och Norra Djurgårdsstaden. Utan Hammarby Sjöstad skulle Stockholm inte ha blivit utsedd till Europas första miljöhuvudstad.\"  Sveriges Kommuner och Landsting har yttrat sig om detta genom en debattartikel som dåvarande och nuvarande ordföranden Anders Knape skrev tillsammans med Skanskas vd. Det kan vara bra att komma ihåg att byggindustrin inte har varit helt enig i sina synpunkter på detta. De skrev: \"Det finns inget samband mellan kommunernas energikrav och att det byggs för få bostäder.\" De pekade också mycket riktigt på att kommunernas krav på att flerfamiljshus ska bli mer enhetliga är någonting som vi är överens om, vilket jag tycker är en annan sak. SKL och Skanska tillhör alltså dem som hade synpunkter på detta och som också hade jobbat för att man borde ställa krav. I debattartikeln skriver man att regeringen borde stimulera kommunerna \"till att i dialog med byggbranschen skapa en hållbar färdplan för morgondagens energi- och kostnadseffektiva bostadsbyggande\".  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det har alltså förts en diskussion kring detta. Ministern visar i sitt svar på att det är en komplex fråga. Jag tycker att ministern svarar på ett balanserat och bra sätt. ","S"
"Mehmet Kaplan","Herr talman! Jag vill tacka interpellanten och Lars Eriksson så mycket. Ewa Thalén Finné tycker att det är bra med tydlighet. Jag tycker att det är oerhört viktigt. När jag satt i riksdagen förra mandatperioden som gruppledare hade jag att försöka sy ihop olika överenskommelser med den dåvarande regeringen. Då uppfattade jag de statsråd som försökte vara tydliga som mer konstruktiva. Även jag försöker vara tydlig. När lagar antas i riksdagen är det oerhört viktigt att det inte sker lättvindigt och att inte förutsättningarna ändras snabbt. I det här fallet handlar det om fastigheter och bostadsmarknad. Aktörerna ska kunna räkna med att den lag som antas kommer att gälla framöver, trots att det kanske sker med en relativt liten majoritet. Herr talman! Jag vill lyfta upp något som också Lars Eriksson var inne på. Vi vet att många kommuner har uppfattat de nya reglerna som ett hinder i omställningsarbetet för ett hållbart samhälle. Antagligen är sju av åtta partier i den här kammaren överens om att alla aktörer måste vara med och ställa om vårt samhälle. Jag har försökt lyssna in varför kommuner uppfattar det här som ett hinder. De uppfattar Boverkets byggregler som alltför milda. Vi har satt igång ett arbete för att skärpa dessa, men fortfarande anser många att kraven inte går tillräckligt långt, huvudsakligen eftersom de inte går så långt som vad som i dag är möjligt. Innanför den ram som lagen stipulerar finns det en möjlighet för myndigheten att gå lite längre. Men det är ingenting som vi som regering har för avsikt att pusha på, utan det är framför allt myndigheten själv som måste titta på detta. Det är viktigt att känna till att det inte heller tidigare var tillåtet för kommunerna att ställa egna krav på tekniska egenskaper, även om det inte var särskilt tydligt i regelverket. Lagbestämmelserna har således huvudsakligen funktionen att de förtydligat rättsläget. Det tycker vi är bra. ","MP"
"Ewa Thalén Finné","Herr talman! Jag ska börja med att kommentera lite av det som Lars Eriksson och delvis också statsrådet lyfte. Jag är väl medveten om att det fanns kommuner där man hade en negativ syn på den här lagstiftningen och att SKL hade det. Men jag är inte förvånad. Det är ganska vanligt att kommuner inte gillar när staten ställer förtydligande krav. Jag tycker inte att det är så konstigt. Ja, kommuner har säkerligen upplevt den nya tydligheten i lagstiftningen som ett hinder. Det kan jag ha respekt för att man gör. Men samtidigt vet vi att det har varit otroligt krångligt för byggbolagen, framför allt kanske för de mindre. Först ska man bygga i en kommun med en sorts regler och krav man ska leva upp till. Sedan tänker man bygga i en annan kommun, men den kommunen har andra regler. Det har gjort att man måst göra om hela projekteringsarbetet då man inte kan använda samma grundmaterial som tidigare. Det fördyrar och fördröjer processen. Vi har en oerhört lång och tidskrävande planeringsprocess.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag tycker att det är utmärkt att Boverket nu har i uppdrag att göra en utredning om nära-nollenergihus. Jag väntar med spänning på att den utredningen kommer, för jag tycker att det är viktigt att staten går före och är tydlig och att vi ställer de möjliga tekniska egenskapskrav som vi har kunskap till. Sedan är det viktigt att man inte ändrar detta alltför ofta. Det kan vara svårt för framför allt mindre byggare att hänga med i ändringarna. Framför allt när det gäller det industriella småhusbyggandet behöver de kanske kunna använda sina maskiner under en längre tid än ett år. Att vi skärper regelverken tycker jag alltså är utmärkt. Jag tycker också att det är väldigt viktigt att vi har enhetliga regelverk och att vi är tydliga med att kommuner inte ska kunna ställa de här kraven. Sedan kan man alltid ha dialoger och diskussioner. Om ett byggföretag vill gå före finns det självklart inga hinder för det, precis som det står i svaret. Det är ingen nyhet på något sätt. Men när olika kommuner ställer olika krav ställer det till problem för de små byggarna. Som sagt är långsiktighet A och O inom det här området. Därför är det bra med den här diskussionen. ","M"
"Lars Eriksson","Herr talman! Jag förstår att det är väldigt bekvämt att kunna säga att det var Socialdemokraterna, Miljöpartiet och Vänsterpartiet som var emot det här. Det är väldigt bekvämt att slippa konstatera att det moderatstyrda Sveriges Kommuner och Landsting faktiskt reste sig som en man i den här frågan och hade väldigt starka synpunkter på den lag som kördes fram i slutet av den förra mandatperioden. Jag kan inte direkt påstå att den togs fram i brett samförstånd efter en dialog, som Ewa Thalén Finné själv önskade, utan det var som med alla andra förslag som togs fram under den förra mandatperioden. Förslagen kördes bara fram av regeringen, och så utgick man från att Sverigedemokraterna skulle stödja dem i den här kammaren. Det var inte direkt så att vi som satt i civilutskottet möttes av en stor dialog och samförståndsanda. Det är nu väldigt bra med den nya regeringen. Den försöker få till dialog och samförstånd i frågor och försöker att sträcka ut händer. Det skulle riksdagen må väldigt bra av. Jag vet att svenska folket längtar efter en sådan utveckling. Det är viktigt att komma ihåg att Sveriges kommuner hade väldigt starka synpunkter på detta. Det har också uttryckts i ett antal debattartiklar. Det är inte svårt att hitta de synpunkter som fanns. Ministern pekar i sitt svar på att det är en väldigt komplex fråga. Det finns goda förhoppningar om att den oro som fanns ute i kommunerna ska kunna hanteras på ett bra sätt med en regering som är beredd att lyssna och ta ansvar för en dialog om hur lagen ska genomföras i Sverige. ","S"
"Nina Lundström","Herr talman! Osäkerhet vid bostadsbyggande föranleder att det finns en riskpremie. Frågan handlar inte minst om dem som bygger. Det gäller inte bara dem som sätter upp reglerna utan dem som faktiskt bygger. Tidigare talare har sagt att det har funnits kritik. Det har också funnits väldigt många aktörer som påtalat vikten av att vidta åtgärder för att det ska gå att bygga och inte minst utveckla industriellt byggande. Jämförelsen brukar ofta tas med bilar. Om bilproducenterna skulle fungera likadant som byggbranschen skulle man få bygga om bilen kanske uppemot 290 gånger, eftersom det inte gick att köra den över en kommungräns.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Industriellt byggande förutsätter att det finns någon form av regelverk som man kan luta sig emot. Det var också ett skäl till att lyssna in aktörernas kritiska synpunkter på att det var svårt att produktutveckla. Det var ett väldigt viktigt beslut, och sedan fanns det synpunkter. Jag brukar personligen framhålla att vi ska komma ihåg att kommunerna som har haft synpunkter också är stora fastighetsägare. Det har aldrig hindrat en kommun att i egenskap av fastighetsförvaltare ställa väldigt höga krav, vilket många kommuner har gjort i egenskap av fastighetsförvaltare. Jag kommer ihåg att en av de offentliga utredningarna påtalade att på tio-i-topp-listan över fastighetsägare i Sverige är sju kommuner bland de största ägarna. Det finns ett stort ansvar man kan ta utöver att agera som myndighet. Att göra någonting åt regelverket har varit viktigt. Det är inte entydigt med att inte värna energieffektivitet, tvärtom. I samband med detta fattades också viktiga beslut för att vässa regelverket. Vi har alla ett intresse av att vi inte ska elda för kråkorna. Vi ska se till att vi får ett energieffektivt system även för bostadssektorn. Det är viktigt. Det finns en sak i statsrådets svar där jag blir väldigt osäker på vad det betyder. Det är meningen som handlar om livscykelperspektiv. Min fråga till statsrådet är: Vem eller vilka är det som avgör livscykelperspektivet? Det brukar bland många vara ett perspektiv som handlar om långsiktig förvaltning och att man väger in en rad olika frågeställningar som inte bara handlar om produktionen, att bygga huset, utan också om att förvalta huset. När statsrådet tar upp det perspektivet blir jag fundersam: Vems ansvar är det ytterst? Är det en fråga för fastighetsägarna, de som äger fastigheter eller producerar dem? Anser statsrådet att man behöver återkomma med förslag om att stärka det i egenskap av lagstiftning så att myndigheter får ett större inflytande? Det är ändå en ganska stor fråga. Det vore intressant att få höra lite grann mer om det. Jag tror ändå att de beslut som fattades, även om inte alla partier i riksdagen var med på det, var viktiga. Det gäller att följa upp besluten. Jag hoppas för bostadsproduktionens skull att det industriella byggandet kan tillföra en ökad byggtakt utöver det som vi redan ser i dag. Framför allt hoppas jag på att inte nya förslag ska hämma den utveckling som vi nu ser och att vi verkligen arbetar för långsiktiga spelregler. Jag ser fram emot att få ett förtydligande om frågan om livscykelperspektiv. ","FP"
"Mehmet Kaplan","Herr talman! Tack också till Nina Lundström, som nu deltar i debatten. Den är kanske delvis föranledd av en tolkning av det jag sade på hållbarhetskonferensen Building Sustainability. Det är väldigt bra att vi fick den här möjligheten att diskutera frågan. Jag börjar bakifrån med Nina Lundströms funderingar och fråga. Byggkostnaderna påverkas av många olika faktorer. Det är riktigt att enhetliga och samordnade krav generellt har betydelse för att hålla kostnaderna nere. Byggmarknaden kanske inte direkt liknar bilmarknaden eller andra marknader, men här är det oerhört viktigt.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Därför är de nationella byggreglerna en viktig grundprincip som vi ska slå vakt om. Det finns många andra faktorer som påverkar byggkostnaderna. Det är markkostnader, konkurrensen på byggmarknaden och kreditgivningen, som en av interpellanterna tog upp. När det gäller kostnaderna för att bygga är det viktigt med en helhetssyn där man beaktar byggnadens energianvändning i det långa perspektivet, det som Nina Lundström tar upp som livscykelperspektiv. För den som ska bo i byggnaden bör det var den totala kostnaden som är det väsentliga. Det är både kostnaden för att uppföra byggnaden och kostnaderna för den löpande driften. Det tänket finns inom många andra områden. Utan att göra några andra jämförelser köper vi ibland varor där det ingår en del värden i det vi har köpt som är till för att kompensera för det långa perspektivet. På den direkta frågan kan jag svara att alla aktörer har sitt ansvar. I det här fallet har producenter, byggföretagen, ett ansvar. Men staten och regeringen kan möjligtvis gå in med miniminivåer. Om man ska göra översättningen till det Ewa Thalén Finné var inne på kan man titta på vad den förra regeringen jobbade med när det gäller miljöbilspremier, till exempel. Där har man vissa nivåer som man försöker peka ut. För att leda det i svar handlar det inte bara om byggnadstillfället per se. När det gäller byggindustrins förutsättningar vill jag passa på att lyfta upp ett antal frågor. Min företrädare på posten tog många bra initiativ för att göra byggandet enklare och billigare. En del av de utredningar som sattes igång håller på att landa på vårt bord. Vi ska ta upp en av de frågorna senare i en annan interpellationsdebatt. Min uppfattning i den dialog som jag har med företrädare för branschen är att man i hög grad utgick från byggindustrins sätt att formulera problemet. Det kan man tycka är bra. Det är den som är en aktör. Men det är en av flera aktörer. Självklart är det viktigt att skapa goda förutsättningar för byggföretagen. Det ska vi fortsätta att jobba med. Ett av de arbeten som vi sjösatte handlade om stadsmiljöavtalen. Där ger vi möjlighet till att det byggs mer för att på så sätt få byggföretagen in i matchen igen. Det är också viktigt att det inte får ske på bekostnad av övergripande mål som klimatanpassning och behovet av en god stadsmiljö för alla. Här måste vi vara överens om att det är flera värden i de olika vågskålarna. När vi tittar på att det ska vara lättare att bygga och bygga mer måste vi också ta i beaktande att det alltid måste vara i balans med klimatanpassningen och den goda stadsmiljön. ","MP"
"Ewa Thalén Finné","Herr talman! Jag tackar statsrådet. Jag tycker emellanåt att diskussionerna blir väldigt intressanta, för det är väl i grunden självklart att vi måste ha med oss perspektivet om klimatvänligt och miljövänligt. Jag tror inte att det finns någon - ja, kanske någon - i Sveriges riksdag som inte tycker att vi ska bygga klimatvänligt i dagsläget. För mig är frågan i grunden självklar. Som vi var inne på tidigare tillsatte den förra regeringen utredningen om hur vi kan få bättre energikrav och nära-noll-byggande. Det tycker jag är utmärkt. Men i grunden handlar det om vem som ställer kraven. Är det myndigheten, kommunen, i samband med planering? Nej, det har lagen slagit fast att det inte är, och det har också statsrådet gjort. Det tycker jag är utmärkt.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag är säker på att vi kommer att ha många diskussioner och debatter om vart vi kommer att komma med de olika regelverken. Jag sa detta när vi hade budgetdebatten, och statsrådet har varit inne på det också. Det är viktigt med långsiktighet och stabila regelverk, för de som bygger gör mycket stora investeringar, och det man bygger ska stå under mycket lång tid. ","M"
"Nina Lundström","Herr talman! Jag vill tacka för svaret om livscykelperspektivet. Man kan nämligen känna en oro för var politiken griper in och vad som är fastighetsägarnas eget ansvar. Ett typexempel när man gör någon form av livscykelanalyser ur ett fastighetsägarperspektiv skulle kunna vara att man gör avvägningar. Politikens intresse av att se till att få med så mycket som möjligt ur ett livscykelperspektiv är kanske inte alltid fastighetsägarnas intresse eftersom de också har exempelvis hyresgäster. Man kanske måste göra vägval ibland eftersom hyresnivåerna, till exempel, påverkas om man vidtar omfattande åtgärder. Jag tycker att det är viktigt att fastighetsägarna ska kunna ta det ansvaret i sin förvaltning. Ambitionerna på nationell nivå kan handla om att se helheten och se till att så många som möjligt gör så många goda insatser som möjligt så att det påverkar klimatet och miljön i de breda perspektiven. Jag tycker fortfarande att statsrådet är lite otydlig med på vilket sätt han och regeringen är beredda att gripa in. För att återgå till kommunerna och ambitionsnivåerna är det bra att kommunerna vill tävla om att vara bäst och att man har sina strålande projekt att marknadsföra. Men det är klart att den som sitter i kommunen ser sitt eget perspektiv, medan man på aggregerad nivå ser totalen på 290 kommuner. Därför tror jag ändå att det är viktigt att hålla fast vid denna bild: Om man ska klara av det industriella byggandet måste kommunerna också någonstans samverka kring detta. Jag tackar som sagt för svaret. Det finns anledning att återkomma till vad som är statens ansvar och vad som är fastighetsägarnas ansvar, även om vi alla har ambitionen att fastighetsmarknaden ska fungera på ett bättre sätt. Ytterst handlar det om bostadskonsumenternas möjligheter att efterfråga bostäder. ","FP"
