"Annika Strandhäll","Fru talman! Elisabeth Svantesson har frågat mig vilka konsekvenser jag tror att regeringens förslag om borttagande av den bortre gränsen kommer att få vad gäller antalet personer i långa sjukskrivningar och i sjuk- och aktivitetsersättning. Hon frågar även hur jag ska säkerställa att effektiviteten i rehabiliteringen inte påverkas när den bortre gränsen tas bort. Slutligen frågar hon om Arbetsförmedlingens program Arbetslivsintroduktion kommer att upphöra. Finn Bengtsson har frågat mig varför Socialdemokraterna så radikalt har ändrat inställning år 2014 jämfört med positionerna i regeringsställning år 2006. Han frågar även - med hänvisning till Anna Hedborg - om jag tror att min tidigare parti- och regeringskollega var helt fel ute med analyserna och förslagen i sin utredning.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Slutligen frågar han om jag är beredd att ta konsekvenserna av en slopad bortre tidsgräns i sjukförsäkringen om effekten skulle bli den som vi har anledning att frukta av historiska erfarenheter i närtid, det vill säga ett raskt ökat ohälsotal som hotar statsbudgetens utveckling, och i så fall vilka alternativa åtgärder för att hindra en skenande kostnadsutveckling jag vill föreslå. Dessutom frågar han vilka rehabiliteringsinriktade och arbetsmarknadspolitiska åtgärder jag avser att erbjuda människor som befinner sig i ett bidragsberoende för försörjning som enbart bygger på passiv ersättning utan andra kontrollmekanismer och vilket stöd utanför Försäkringskassans domän som kan garanteras individen. Låt mig först konstatera att under åren 2010-2013 har drygt 75 000 personer utförsäkrats från sjukförsäkringen. Detta har i många fall medfört oerhört lidande för enskilda drabbade. Många har fått vidkännas betydande ekonomiska förluster, och antalet personer i behov av stöd från kommunernas socialtjänst har ökat radikalt. Samtidigt som antalet utförsäkrade har varit mycket stort har vi kunnat konstatera att sjukpenningtalet har stigit med 50 procent för kvinnor och med 36 procent för män sedan 2010 och att det fortsätter att stiga, trots att den bortre tidsgränsen ännu finns kvar. Denna har således inte varit effektiv när det gäller att minska sjukfrånvaron på arbetsmarknaden. Regeringens politik syftar till att återupprätta det grundläggande syftet med sjukförsäkringen och till att göra sjukförsäkringen mer human och förutsägbar. Sjukförsäkringen är till för att ge trygghet, och ersättning ska lämnas den tid det tar för individen att återfå arbetsförmågan. Människor ska erbjudas rehabilitering och stöd för omställning när så behövs. Utgångspunkten är naturligtvis att snabbt kunna komma tillbaka till arbete igen. Den bortre tidsgränsen har inneburit att Försäkringskassan och Arbetsförmedlingen har fått använda mycket resurser för att underlätta övergången från sjukförsäkringen till arbetsmarknadspolitiken, detta för människor som många gånger varit alldeles för sjuka för att kunna tillgodogöra sig några som helst arbetsmarknadspolitiska insatser. När den bortre tidsgränsen avskaffas ges myndigheterna möjlighet att fokusera på de individer som är i behov av och kan tillgodogöra sig arbetsmarknadspolitiska insatser. Genom denna fokusering kan insatser liknande dem som erbjöds inom Arbetslivsintroduktionen ges betydligt tidigare än efter två och ett halvt år. ","S"
"Elisabeth Svantesson","Fru talman! Jag hälsar socialförsäkringsministern välkommen till kammaren. Finn Bengtsson och jag har ställt olika frågor - jag tror att det är sammanlagt sex stycken - till socialförsäkringsministern därför att vi är bekymrade. Jag vill börja med att berätta om en kvinna i Örebro som heter Linnea. Hon är en av alla de personer som under väldigt lång tid var sjukskriven. Hon hade fastnat i de långa sjukskrivningarna, som vi såg tidigare. Det närmade sig uppåt tio år innan hon själv - jag pratade mycket med henne om detta - tog tag i situationen. Hon kände nämligen: Det är ingen som bryr sig om mig här hemma. Jag är institutionaliserad av min sjukskrivning.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Till slut kontaktade hon Försäkringskassan och Arbetsförmedlingen och sade: Jag vill få till ett samtal. Jag vill komma ut på arbetsträning. När vi senare förändrade sjukförsäkringsreglerna tog sig Linnea vidare, inte helt frisk men med mycket arbetsförmåga, till att studera. Hon studerade till socionom. Och på sommaren, när hon pluggade, började hon för första gången på nästan ett decennium att arbeta heltid. Att gå från den långa sjukskrivningen in i arbete var någonting nytt för Linnea. Någon frågade efter henne. Någon såg att hon behövdes. Det här är hela utgångspunkten för den sjukskrivningsreform som alliansregeringen tidigare införde. Jag ser en utmaning i det som nu är, vad jag kan se, socialförsäkringsministerns enda förslag i budgeten: att helt enkelt ta bort den bortre gränsen. Det finns en väldigt stor risk att människor återigen kommer att gömmas och glömmas i långa sjukskrivningar. Det har ju varit lite av Socialdemokraternas tidigare affärsidé för att lyckas uppnå sina arbetslöshetsmål. Men människor är för viktiga för att glömmas bort. I en budget som regeringen har lagt fram nämner man detta med bara några få meningar. Sedan kan man inte, inte ens i det här svaret, ge besked om vad det här de facto kommer att innebära för människor. Socialförsäkringsministern svarar att regeringen vill återupprätta det grundläggande syftet. Men vad menas med det? Är det tiden före 2006 som ministern vill tillbaka till? Är det grundläggande syftet med sjukförsäkringen att människor inte ska få rehabilitering? Är det grundläggande syftet att det inte ska finnas tydliga gränser som faktiskt hjälper människor och som tvingar myndigheter att sätta människor i fokus? Är det grundläggande syftet att man ska kunna vara, som Linnea, i sjukförsäkringen i princip hur länge som helst utan att någon bryr sig? Jag menar att ALI och de arbetsmarknadspolitiska insatser som personer får som lämnar försäkringen har varit grundläggande och centrala. 10 procent av dem som har lämnat har gått till jobb. Det är 40 procent i arbetsmarknadspolitiska insatser. När man möter de här personerna berättar de det som Linnea berättar: att de har blivit sedda och att de har kommit vidare. Andra går tillbaka till sjukförsäkringen.  Regeringen beskriver detta som ett stort svart hål. Men det händer någonting efter de här två och ett halvt åren. Väldigt många har andra typer av ersättningar, även om de inte är kvar i sjukförsäkringen. Jag menar att det här svaret inte lämnar tydlighet om vad regeringen vill. Man vill ta bort en gräns. Det deklarerar man. Man vill återupprätta ett grundläggande syfte, men man förklarar inte vad det är. Det väcker många fortsatta frågor som jag hoppas att socialförsäkringsministern kan reda ut i interpellationsdebatten. ","M"
"Finn Bengtsson","Fru talman! Sverige är ett fantastiskt land att leva i. Vi kan väl säga att Sverige är ett land där man också är väldigt frisk och blir gammal. Vi blir bland de äldsta i världen. Under det senaste halvseklet har folkhälsan förbättrats radikalt.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Vi kan titta tillbaka blott lite drygt tio år. Hur såg det då ut med den friska svenska befolkningen? Den var allra mest sjukskriven i förhållande till hur det var i alla jämförbara länder. Det var inte bara det att man var sjukskriven i väldigt stor omfattning. Man var dessutom sjukskriven dubbelt så länge som i andra länder där folkhälsan inte var bättre. Någonting var väldigt fel. Toppåret 2002/03 hade Sverige 220 000 helårssjukskrivna. Det var 550 000 med förtidspension 2006, när alliansregeringen tog över. I genomsnitt var alltså en person i arbetsför ålder sjukfrånvarande 40 dagar per år. Ungefär en av fem i arbetsför ålder försörjdes av sjukförsäkringen. Det fanns dessutom geografiska skillnader i sjukskrivningarna som inte motiverades medicinskt. Hur kunde detta komma sig? Ja, det undrade dåvarande statsminister Göran Persson, som fick en vision av att det här var helt sjukt. I förhållande till 2002 skulle man halvera ohälsotalen fram till 2008, skrev han i budgetpropositionen 2002/03. Det var visionärt. För att åstadkomma detta tillsatte han en utredare, den tidigare socialdemokratiska socialförsäkringsministern Anna Hedborg, som fick i uppdrag att bland annat se om det inom den svenska socialförsäkringen saknas en bortre gräns. Anna Hedborg levererade så småningom sin gedigna utredning 2006. I denna rapport kan man bland annat läsa: \"I de allra flesta länders sjukförsäkringar är den tid under vilken individen kan uppbära sjukpenning begränsad. Det gör att alla vet att det är viktigt att åtgärder sätts in snabbt. Den svenska sjukförsäkringen präglas av motsatsen. Alla tycks vänta på alla utan att något sker.\" Sedan förlorade Socialdemokraterna regeringsmakten, och denna gedigna utredning gick över till alliansregeringen, som i allt väsentligt effektuerade de önskemål som Anna Hedborg hade ställt upp i sin utredning. Detta är någonting som den nuvarande regeringen, Socialdemokraterna tillsammans med Miljöpartiet, vill riva upp. Man vill backa tillbaka till en situation som vi i närtid såg som helt sjuk, det vill säga att en befolkning som var bland de friskaste i världen hade de allra längsta sjukskrivningstiderna för alldeles för många. Det här kommer att få dramatiska konsekvenser, inte minst i budgeten. Och när man tittar på den budgetprognos som är lagd på utgiftsområde 10 ser man inga förstärkningar som tar någon höjd för sådana ohälsotal som vi hade när den bortre tidsgränsen inte fanns. Det är också intressant att LO i sitt remissvar med anledning av Anna Hedborgs utredning förslog att man skulle ha 15 månader som den maximala tiden för att ha rätt att uppbära sjukpenning - det var innan Alliansen tog över regeringsmakten. Nu vet vi att när Alliansen införde den bortre gränsen var det dubbelt så lång tid - 30 månader. Det är ganska skrämmande att se hur Socialdemokraterna nu har vänt på kuttingen och tänker sig tillbaka till en tid då man i den förra regeringen inte kunde hantera detta. Nu ser man till att vi äventyrar människors hälsa genom att låsa in dem i långtidssjukskrivningar som ofelbart leder till förtidspensioneringar. Det gör man i stället för att bidra med aktiva åtgärder för att hjälpa folk tillbaka till en arbetsmarknad och ett arbete. Jag vill gärna ha svar på hur den nuvarande socialförsäkringsministern tänker, givet detta historiska perspektiv. ","M"
"Lotta Finstorp"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Tidsgränsen har gett den enskilde ett verktyg för att kunna ställa krav på myndigheterna. Tas den bortre gränsen bort tappar den enskilde incitament för kravställande och för att få stöd i tid för sitt friska jag. Att passivt förvisas till utanförskap, där inte ens någon undrar hur man mår, är destruktivt även för en frisk person. Låt mig berätta om Eva. Hon blev förtidspensionerad som 22-åring. I dag är hon 30 år och arbetar 25 procent efter år av utanförskap. Hon försökte under de här åren att få arbetsträna, men det var ingen som ville lyssna på det, för hon var förtidspensionerad. Hon var liksom avbockad, som en person som inte längre behövde få någon hjälp. Det var exakt därför som den bortre tidsgränsen kom till. Hedborgs utredning 2006 visade tydligt på de negativa effekterna av ett flytande förhållningssätt gentemot långtidssjukskrivna. Det var det alliansregeringen tog fasta på när den S-tillsatta utredningens slutsatser kom fram. Och då gjorde alliansregeringen reformen generösare än vad som var föreslaget i utredningen. Före Alliansens reform glömdes människor bort i tystnad. De fick inte adekvat rehabilitering eller effektivt arbetsmarknadsstöd. Dessutom försvann de ur statistiken. S-regeringen har som mål att Sverige år 2020 ska ha lägst arbetslöshet i EU. Under Göran Perssons tid som statsminister var målet 4 procent. Men det infriades aldrig, inte ens i högkonjunktur. Trots att förtidspensionerade, långtidssjukskrivna och personer i arbetsmarknadspolitiska åtgärder togs bort ur statistiken gick det aldrig att uppnå det målet. Jag hoppas verkligen att det inte finns någon koppling mellan regeringens arbetslöshetsmål och förslaget om att ta bort den bortre tidsgränsen. Jag undrar därför, fru talman: Hur kan den enskilde ställa krav på stöd, effektiv rehabilitering och arbetsmarknadspolitiska insatser om den bortre tidsgränsen tas bort? ","M"
"Phia Andersson","Fru talman! När jag lyssnar på interpellanterna känner jag att det behövs en lite mer nyanserad bild för att kunna få en bra diskussion. Under tio års tid arbetade jag med rehabilitering för långtidssjukskrivna. Jag såg vad som hände när man peakade, och jag var med när man gjorde utredningar för att titta på orsaken. Väldigt mycket hände på arbetsmarknaden under 90-talskrisen. Man slimmade organisationer, och många människor slogs ut. De hade inget att gå tillbaka till. Ingen frågade efter dem på arbetsmarknaden. Det var lätt att ersätta personen med en ny. Det där tog vi krafttag emot rent politiskt med samverkan, Finsamförbund och så vidare, där man samlade alla resurserna för att kunna fokusera på att personen skulle kunna komma tillbaka. Precis de berättelser som Elisabeth Svantesson talar om har jag i mitt bagage också. Det hände inte efter 2006. Det hade hänt innan. Det var på väg, och det hade faktiskt även svängt. Någon form av balans i diskussionen måste vi ha så att ingen tror att allt har hänt efter 2006. Så är det inte. Jag vet det. Jag var själv delaktig i att se den ena efter den andra gå tillbaka i arbete. Vi pratar här om 10 procent. Jag jobbade i en verksamhet där 60 procent av de långtidssjukskrivna och långtidsarbetslösa kunde gå tillbaka, eftersom man samordnade.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det finns så mycket bra och beprövade saker som vi kan göra tillsammans för människor. Att kasta ut barnet med badvattnet bara för att man byter på det sättet är helt fel. Den bortre parentesen har gjort människor illa. Jag har följt de här frågorna, eftersom jag har varit besjälad av dem i så många år, och jag har sett vad som har hänt när människor har blivit utförsäkrade. Det handlar inte om att gömma dem tidigare; de är lika gömda nu i försörjningsstöd, fas 3 och andra verksamheter. Någon balans i den här diskussionen tycker jag att alla de som är långtidssjukskrivna förtjänar. De förtjänar inte att bli fattiga för att de är sjuka. Åtgärder behöver sättas in mycket tidigt. Jag var med om att sätta in rehabplaner redan efter fyra veckors sjukskrivning. Där det inte var möjligt var man beredd att komma tillbaka när det var möjligt. Det var oerhört viktigt att ha en dialog hela vägen. Nu pratar jag om tiden före 2006. Låt oss inte tro att bara för att man satte en bortre parentes så började en massa saker hända. De hade faktiskt börjat hända tidigare. Därför tycker jag att vi ska ha den kunskapen med oss och ta vara på de goda exemplen och av det se framåt och se vad vi behöver göra, speciellt nu när sjukskrivningarna ökar igen. Varför gör de det? Hur ser arbetsmarknaden ut nu? Påverkar det på något sätt? Vad kan vi göra tillsammans? ","S"
"Fredrik Lundh Sammeli","Fru talman! De flesta av oss har förmånen att vara friska och ha ett arbete att gå till en stor del av livet. Andra råkar ut för ohälsa och arbetslöshet eller någonting annat som leder till en längre eller kortare tid i en situation när vi inte kan jobba. Ingen av oss kan på förhand veta hur livet kommer att bli, och det är också därför som det är så viktigt att ha en generell välfärd och en bra sjukförsäkring. Under de senaste åren har stödet för en gemensamt finansierad socialförsäkring ökat samtidigt som tilliten till sjukförsäkringen kraftigt har minskat. Det är inte så konstigt, eftersom över 75 000 människor har utförsäkrats - inte på grund av att de blev friska och fick den hjälp de behövde, utan trots att de fortfarande är sjuka. De har passerat en tidsgräns som den tidigare moderatledda regeringen fastslagit. Det låter bra med en arbetslinje och en rehabiliteringskedja. Men verkligheten är någonting annat. Det räcker inte med att kalla det rehabiliteringskedja och därmed ge bilden av att sjuka människor får den hjälp de behöver för att komma tillbaka till arbete. Verkligheten är att det har blivit en kedja med fastslagna tidsgränser som i många fall leder ut i fattigdom. För mig som socialdemokrat är det viktigt att sjukförsäkringen är en brygga till återgång i arbete, att sjukförsäkringen ger rehabilitering och ekonomisk trygghet under sjukdomstiden. Jag kan förvånas över att interpellanterna tar en fajt för den reform med en bortre tidsgräns som har så många avigheter. Det är väl bättre att se vad som är problemet i dagens sjukförsäkring. Den brister när det handlar om rehabilitering, och vi har en bortre tidsgräns där väldigt många människor tvingas ut från sjukförsäkringen trots att de fortfarande är sjuka.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Låt oss därför diskutera hur vi kan göra detta bättre. Hur kan vi samarbeta för att säkerställa att människor får den rehabilitering de behöver? Hur kan tidsgränserna i sjukförsäkringen bli en garant för mig som sjuk och mina krav och rättigheter utan att bli en gräns för när jag har passerat något som politiken fastslår: Till den här dagen kan du vara sjuk, men bortom det handlar det om det egna engagemanget, för då är det inte längre rimligt. Jag hoppas därför att debatten i sakfrågan framöver under den här perioden verkligen kan handla om hur vi gör dagens sjukförsäkring ännu bättre. Hur säkerställer vi rehabilitering? Hur kan vi förändra och ta bort den bortre tidsgränsen som så tydligt har baksidan att sjuka människor inte längre har tillgång till vår generella välfärd? ","S"
"Annika Strandhäll","Fru talman! Jag kan inledningsvis konstatera att jag till del håller med våra interpellanter. Det sista vi vill är att komma tillbaka till en situation där människor förtidspensioneras från arbetsmarknaden och glöms bort. Det har Sverige inte råd med. Vad vi behöver är att ta ansvar för och se till att skapa förutsättningar för att ta vara på människors förmåga till arbete och att stärka de insatser som leder till att människor kommer tillbaka till arbete. Jag håller också med Fredrik Lundh Sammeli. När det gäller den delen av sjukförsäkringen som handlar om den bortre tidsgränsen tror jag inte att effekten har blivit som ni förväntade er. Vi kan konstatera att väldigt många människor utförsäkras från sjukförsäkringen. Detta sker dagligen och stundligen. Detta innebär mycket lidande för de enskilda. Vi kan också konstatera att väldigt många som utförsäkras kommer tillbaka till sjukförsäkringen igen. Det är ca 60 procent av dem som utförsäkrades första gången. Av dem som håller på att återförsäkras för andra gången är det 70 procent. Väldigt många av dem är dessutom kvinnor. Bara för att man börjar räkna från noll betyder det ju inte att sjukdomsperioden har blivit kortare. Man blir inte heller friskare för att man utförsäkras. Jag har en bakgrund där jag under ganska många år har följt utvecklingen inom det här området. I början av 2000-talet, när det rådde höga sjukskrivningstal, var jag bland annat vice ordförande och ansvarig för att samordna arbetsmiljöarbetet bland tjänstemännen i Göteborgs stad. De senaste åren sedan 2010, när vi har sett sjukskrivningstalen återigen öka, har jag varit förbundsordförande för ett av de stora fackförbunden på svensk arbetsmarknad som organiserar främst kvinnor inom just tjänstemannasektorn. Vi måste se svängningarna, och de har varit återkommande, när det gäller sjukskrivningar. De fanns också i mitten av 90-talet. Vi har varje gång sett att det till stor del har handlat om kvinnor. Många gånger har vi sett som en röd tråd att det handlar om psykiska diagnoser. Vad som behövs är ett resonemang om hur vi åstadkommer en bättre rehabilitering i sjukförsäkringen, hur vi åstadkommer bättre förutsättningar när det gäller tidiga åtgärder för att få tillbaka människor till jobb. Vi vet att när man har gått sjukskriven i två och ett halvt år är man långt gången i sin sjukskrivning. Åtminstone är min erfarenhet att man då också är passiviserad.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag har blivit glad när jag har hört de exempel som flera av interpellanterna har lyft upp här. Det är solskensexempel. Sådana vill vi också se i framtiden. Naturligtvis ska vi ha en sjukförsäkring som också ger människor möjlighet att komma tillbaka. Flera utredningar finns på området. Jag kommer gärna tillbaka till dem i ett senare inlägg där jag också kan redogöra för de kraftfulla insatser som regeringen vill göra för att stärka rehabiliteringen. Vi ser gärna en dialog över blockgränserna. ","S"
"Elisabeth Svantesson","Herr talman! Dessa två interpellationer handlar först och främst om konsekvenser av borttagandet av gränsen. Det här är inte en allmänpolitisk debatt om sjukförsäkringssystemet, även om vi gärna kan ha en sådan också, men den kan vi ta vid ett annat tillfälle. Det här handlar om synen på gränsen. Det är klart att det hänger ihop med hela reformen. Min grundfråga i min interpellation handlade om konsekvenser och risker. Jag ställer mig fortfarande frågan om socialförsäkringsministern ser några som helst risker med att ta bort gränsen eller om det bara är en blå himmel över att göra detta. Vi vet att olika bedömare är tveksamma. Eva Nordmark har uttryckt att TCO ställer sig frågande till att ta bort tidsgränsen för sjukpenningen och att man inte vill se en tillbakagång till tiden före 2008.  Inspektionen för socialförsäkringen varnar också för att borttagande av tidsgränserna kommer att leda till att vi snabbt åter är i ett sådant läge som det var förr. Det är välkänt att Jan Rydh, utredare och före detta landshövding, som återfinns på både Karolinska Institutet och Danderyds sjukhus, konstaterar att bara om taket för försäkringen höjs och den bortre gränsen tas bort kommer statens, och kanske också arbetsgivarnas, kostnader för sjukfrånvaron att på nytt öka. Det finns all anledning att anta att också sjukfrånvaron mätt i antal frånvarodagar kommer att öka. Det är en hel del experter som oroar sig för detta, och det är vad denna fråga handlar om. Min fråga till socialförsäkringsministern rör konsekvenserna. Finns det inga risker? Är det bara en blå himmel över detta förslag? Det är intressant att ta del av hur socialförsäkringsministern ser på ALI. När man lyssnar på ministern får man bilden att fram till den dagen får man inte hjälp eller stöd. Avstämningspunkterna betyder inte någonting, och man har inte heller kontakt med Arbetsförmedlingen. Gemensam kartläggning inträffar ofta inom två och ett halvt år. Det fanns en anmärkningsvärd mening i statsrådets svar, nämligen att Försäkringskassan och Arbetsförmedlingen har fått använda för mycket resurser för att underlätta övergången från sjukförsäkring till arbetsmarknadspolitik. Man har fått använda för mycket resurser för att underlätta övergången! Jag kan ställa upp på att ministern och jag inte delar bilden av om pengarna används på rätt sätt, men att säga att för mycket resurser har använts för att underlätta övergång ställer jag mig frågande till. Jag vill gärna höra vad socialförsäkringsministern egentligen menar. Fokus måste väl ändå vara på att människor ska komma tillbaka.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Hur ska samarbetet med Arbetsförmedlingen se ut? Just nu är det många frågor och få svar. Människor undrar. Det finns alltid en oro hos sjukskrivna människor om vad som händer efter de två och ett halvt åren. Många upplever när de kommer till Arbetsförmedlingen att de får stöd och hjälp. Jag är absolut beredd att diskutera. Jag tycker att vi ska göra det här. Hur kan vi fortsätta att utveckla en reform? Vad kan förbättras? Hur kan människor få hjälp tidigare? Vad är det som gör att just borttagandet av gränsen är det absolut första och viktigaste steget till att underlätta för människor att komma i arbete? Det är för mig en gåta. Jag tycker inte att ministerns skriftliga svar eller hennes muntliga svar på min interpellation har visat på de fantastiskt positiva konsekvenserna, och jag tycker inte heller att ministern kan redogöra för några som helst risker. Därför ställer jag mig frågan om regeringen verkligen har funderat igenom de ekonomiska konsekvenserna för staten och framför allt för individen av borttagandet av gränsen. ","M"
"Finn Bengtsson","Herr talman! Jag tycker precis som Elisabeth Svantesson att vi ska fokusera på frågan som handlar om borttagandet av den bortre gränsen.  Eftersom det har vittnats så mycket om egna yrkeserfarenheter av försäkringskassa och så vidare vill jag också vittna lite grann om mina erfarenheter som sjukskrivande läkare. Detta var jag i början av 2000-talet. Jag kan beskriva hur det var när patienterna kom in. Det första de började diskutera var inte den sjukdom de hade utan hur de skulle få en sjukskrivning. Det fanns alltså ett helt orimligt tryck på den sjukskrivande läkaren. De krävde sin rätt att få ut en sjukskrivning innan det ens hade fastställts en diagnos. Det var den verklighet som ledde till att hela sjukförsäkringen löpte amok. Åren 2002-2003 fick Försäkringskassans tjänstemän en bonus för att efter ett års sjukskrivning flytta över folk i förtidspension. Det kunde gälla människor som var under 18 år. Det var något fullständigt sanslöst. Den verklighetsbeskrivningen ska vi ha med oss. Låt oss tala om den bortre gränsen. Vad gäller i dagens regelverk? Visst! Här talas om 75 000 som har lämnat sjukförsäkringen. Det är faktiskt 100 000 som når den bortre gränsen. 25 procent har undantag från den bortre gränsen enligt nu gällande regelverk. Det glöms ofta bort. 25 procent går direkt vidare utan någon bortre gräns. Men för 75 procent finner man inte någon anledning till detta. De går därför ut i det som heter arbetslivsintroduktion. Ministern nämnde att 60 respektive 70 procent återvänder till sjukförsäkringen. Jag har lite andra siffror. Jag fick de allra senaste från delårsrapporten från Försäkringskassan. 55 procent går tillbaka till sjukförsäkringen och 45 procent går inte tillbaka till sjukförsäkringen. Nota bene att även om vi tar ministerns siffror på 60 och 70 procent innebär det 40 respektive 30 procent som inte återvänder till sjukförsäkringen med en garanti att hamna i förtidspension. Det var det gamla problemet. Därför finns det en hel del värden. Vad har de människor som inte går tillbaka att vinna personligen? Om de förtidspensioneras får de ökad risk för följdsjukdomar, till exempel depression, social isolering, förlorat självförtroende, sänkt livskvalitet, missbruk, till och med självmord. Förtidspensionärer har dessutom en ökad konsumtion av hälso- och sjukvård som tränger undan behov för övriga som kan behöva sjukvård.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Sedan kommer det allra viktigaste, nämligen att forskningen visar att risken att dö i förtid ökar upp till sju gånger för den som har förtidspensionerats, inte minst troligt som ett resultat av förtidspensioneringen i sig. Det är den slutsats som forskarna drar. Glädjande nog befinner sig några av de ledande forskningsgrupperna i Sverige. Med de siffrorna kan man undra hur humant det är att låta någon bli förtidspensionär i stället för att prova möjligheten att komma in på arbetsmarknaden. Bland dem som inte går tillbaka till sjukförsäkringen är det mer än 10 procent som har fått ett arbete. Vi debatterade denna fråga förra mandatperioden i kammaren. Då sade Socialdemokraterna att det var fråga om någon procent. Alliansen hade siffror som belyste att det var många fler. Socialdemokraterna vägrade att räkna dem som hade stöd i sin anställning, det vill säga lönebidrag. Snacka om att vara inhuman! Det är viktigt att konstatera att vi inte själva har tagit fram dessa siffror. Den 17 november lämnade analyschefen på Försäkringskassan, Laura Hartman, en intressant rapport som i princip styrker allt det jag säger nu. Jag vill för säkerhets skull få fört till kammarprotokollet och inpränta i mitt avslutande inlägg att det är hennes ord, som får anses vara trovärdiga ord från en analyschef med högt renommé inom myndigheten. ","M"
"Lotta Finstorp","Herr talman! I ministerns svar står det att läsa: \"När den bortre tidsgränsen avskaffas ges myndigheterna möjlighet att fokusera på de individer som är i behov av och kan tillgodogöra sig arbetsmarknadspolitiska insatser.\" Den meningen är besynnerlig. Försäkringskassan och Arbetsförmedlingen har under de senaste åren utvecklat en modell tillsammans med den enskilde som handlar om gemensam kartläggning. Dessutom har man i många fall - jag vågar nog påstå i de allra flesta fall - i mycket god tid före de 30 månaderna börjat arbeta för att successivt slussa ut den som är sjukförsäkrad, sjukskriven, till arbetsträning etcetera. Jag förstår inte den meningen, och det vore bra om ministern kunde vidareutveckla den. Jag har tre frågeställningar, och jag upprepar den som jag hade i mitt första anförande. Hur kan den enskilde ställa krav på stöd och effektiv rehabilitering om tidsgränsen tas bort? Hur kan Arbetsförmedlingen och Försäkringskassan bli effektivare när de inte har en tidsgräns att arbeta emot? Hur ser konsekvensanalysen på individnivå ut om den bortre gränsen tas bort? ","M"
