"Landsbygdsminister Sven-Erik Bucht","Herr talman! Håkan Svenneling har frågat mig vad jag avser att göra för att landsbygden i hela Sverige ska leva, i vilken utsträckning regeringen anser att marknaden ska lösa landsbygdens utmaningar och vilka åtgärder som jag avser att vidta för att kunna lyfta fram landsbygden utan ett eget departement. Regeringens övergripande målsättning är att Sverige ska ha lägst arbetslöshet i EU år 2020. För att nå målet behövs en livskraftig och aktiv landsbygd. Regeringen kommer att bedriva en politik som utvecklar landsbygdens näringsliv och möjligheten för kvinnor och män att bo och verka i hela landet genom förbättrad infrastruktur, ökad integration, tillgång till bredband och mobilnät, närhet till högskolor och forskning samt ett stöd för att förbättra tillgången till butiker och samhällsservice. Regeringen vill även stärka turism och skapa en långsiktig livsmedelsstrategi. Vidare vill regeringen skapa ett långsiktigt strategiskt arbete för att skogen ytterligare ska bidra till utvecklingen av en biobaserad ekonomi. Dessa satsningar kommer att bidra till att förbättra förutsättningarna för att hela Sverige ska leva. Vi återkommer mer konkret i dessa frågor framöver.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Landsbygdspolitiken och politiken för regional tillväxt syftar till att stärka utvecklingskraften och skapa förutsättningar för att kunna bo och verka i hela landet. De lokala och regionala förutsättningarna skiljer sig åt. Arbetet sker på lokal, regional och statlig nivå och görs exempelvis inom ramen för landsbygdsprogrammet och regionalfondsprogrammet. Regeringen anser att många av landsbygdens utmaningar i första hand ska hanteras på marknadsmässiga villkor. Men landsbygdens förutsättningar varierar, och politiken ska ta hänsyn till detta. Offentliga aktörer behöver bidra med olika typer av insatser. Därför behövs en god samverkan mellan politik, näringsliv, akademi och arbetsmarknadens parter. Ett viktigt område är service, som är en grundläggande och central förutsättning för att möjliggöra en hållbar regional tillväxt och utveckling. Att säkra tillgången till service, inte minst i gles- och landsbygd, är därför viktigt framöver. De gröna näringarna är en viktig bas för landsbygdens utveckling och omfattar i dag över 200 000 arbetstillfällen i hela landet. Med ett långsiktigt arbete är min bedömning att det finns en stor potential för fler jobb i de gröna näringarna. Regeringen kommer därför bland annat att ta fram en livsmedelsstrategi för att skapa förutsättningar för tillväxt i hela livsmedelskedjan, öka matproduktionen i Sverige, inte minst miljöinriktad sådan, och därmed stödja en ökning av andelen svenskt och ekologiskt i konsumtionen av livsmedel. Genom att sammanföra Landsbygdsdepartementet med Näringsdepartementet skapar vi förutsättningar för en mer kraftfull och sammanhållen politik för landsbygdens utveckling. Många av de frågor och utmaningar som är viktiga för landsbygdens framtid kommer därför att knytas närmare varandra. Växtkraften i entreprenörskap och småföretagande på landsbygden är avgörande för hela Sverige. Mitt arbete som landsbygdsminister har just börjat. Utmaningarna är stora, men regeringen har också höga ambitioner, och vi kommer att kunna göra skillnad. Det ska vi göra genom en aktiv landsbygdspolitik. Där marknaden inte förmår leverera lösningar ska samhället gå in och skapa förutsättningar för att hela landet ska leva, och vi ska göra det på ett välorganiserat och effektivt sätt. ","S"
"Håkan Svenneling","Herr talman! Min interpellation handlar om hur vi ska få landsbygden i hela Sverige att leva och i vilken utsträckning som marknaden kan lösa dess problem. Jag vill börja med att tacka statsrådet för svaret. Precis som landsbygdsministern själv konstaterar i sitt svar är det en stor utmaning för regeringen att skapa en positiv känsla på landsbygden, få en positiv utveckling och ta bort den där känslan av att landsbygden håller på att avvecklas, som i dag är den dominerande för många som bor och verkar på landsbygden. Nyheten om att Landsbygdsdepartementet och Näringsdepartementet kommer att slås ihop från och med nyår slog ned som en blixt från klar himmel i regeringsförklaringen. Och trots denna interpellation och många frågor till landsbygdsministern i medierna känner jag fortfarande inte att ministern har svarat på frågan varför han tar bort Landsbygdsdepartementet.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer När det gäller min fråga om de så kallade marknadsmisslyckandena, som sker i dag på landsbygden, ger ministern klart motstridiga svar. Du säger att många av landsbygdens utmaningar i första hand ska hanteras på marknadsmässiga villkor. Men du säger samtidigt: Där marknaden inte förmår att leverera de lösningarna ska samhället gå in och skapa förutsättningar för att hela landet ska leva, och vi ska göra det på ett effektivt och välorganiserat sätt. Om jag tolkar ditt svar, ministern, på ett välvilligt sätt tänker jag mig att det betyder att du i första hand vill se det just som att marknaden ska ordna lösningarna, även på landsbygden. Men om så inte sker är du beredd att från statens sida ge det stöd som behövs eller ställa de krav som krävs på marknadens service för att det ska fungera i hela Sverige. Jag undrar, ministern: Tolkar jag dig rätt? Vidare tar du upp landsbygdsprogrammet och det regionalfondsprogram som finns runt om i Sverige som exempel på åtgärder som syftar just till att skapa goda förutsättningar i hela landet. Låt mig då påpeka för ministern att dessa två program faktiskt är tydliga exempel på hur den tidigare regeringen inte tagit ansvar för landsbygdens utveckling. Man har tvingat landsbygdens utveckling att hänga upp sig på projektmedel inom två program med snåriga regelverk och med flernivåstyrning från olika håll. Det är också två program vars finansiering den tidigare regeringen skjutit långt framför sig, och nu har flera år gått förlorade. I stället för att skapa en väl fungerande övergång mellan programperioderna, den som slutade 2013 och den som började 2014, har man skapat ett glapp som för många organisationer snarare inneburit ett stup. Och när det gäller flera av de åtgärder som finns i programmet kommer staten inte att göra några ekonomiska utbetalningar förrän tidigast 2016, vilket gör att både 2014 och 2015 blir mellanår där landsbygdsutvecklingen i Sverige kraftigt avstannar. Jag förstår att ministern inte i ett slag kan lösa alla dessa problem som den gamla regeringen har lämnat efter sig, men här behöver viktiga åtgärder vidtas snarast om vi ska få en kraftfull landsbygdspolitik. Låt mig avsluta där. Vänsterpartiet är vänsteralternativet i svensk politik. Vi står upp för landsbygden, och vi vill att landsbygden i hela Sverige ska leva. ","V"
"Fredrik Malm","Herr talman! Detta är en mycket viktig interpellation. Den nya regeringen har inte direkt rivstartat på området, får det konstateras, när det första man gör är att lägga ned Landsbygdsdepartementet. Det är en signal om någon till stora delar av Sverige om att det här inte är så viktigt: Det här slår vi ihop med ett annat departement, och så skickar vi in ministern och enheterna dit. Det är klart att det har en enormt stark signalverkan på svensk glesbygd och landsbygd att man lägger ned departementet som första åtgärd. Men samtidigt är det förstås så, herr talman, att inte allting i detta handlar om själva organisationen på Regeringskansliet, utan det handlar framför allt om substansen i den politik man bedriver. Om landsbygdsministern har höga ambitioner för att hela Sverige ska leva är det väldigt märkligt att man med andra handen klipper till med en fordonsskatt och med hot om nedläggningar av en rad regionala flygplatser och bedriver en arbetsmarknadspolitik som innebär att det blir dyrare att anställa och där det blir mer regleringar, vilket givetvis kommer att slå extra hårt mot de regioner i Sverige som kanske inte är lika dynamiska som till exempel Stockholmsregionen är. Det blir väldigt märkligt när ambitioner inte går hand i hand med faktiska politiska förslag.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Däremot vill jag säga att jag verkligen delar Vänsterpartiets ansats i detta, att marknaden inte löser alla problem. Jag är den förste, som liberal, att också erkänna detta. Men det är viktigt i det sammanhanget, herr talman, att inte bara se till den dimension som rör stad-land. Även inom väldigt urbana områden, som den här regionen, finns det nämligen betydande socioekonomiska skillnader. Det kan behövas omfördelning till områden runt Stockholmsregionen eller runt andra stora städer som är väldigt tätbefolkade men som har väldigt stora sociala utmaningar, inte minst. Men jag ska återgå till det centrala när det gäller detta med landsbygden. Frågan är hur den här regeringen ska kunna återfå förtroendet hos landsbygden när man nu har beslutat att lägga ned departementet och dessutom införa en rad politiska åtgärder, skattehöjningar, regleringar och nya avgifter som kommer att slå väldigt hårt mot den regionala tillväxten och jobben. Det blir intressant att lyssna på hur landsbygdsministern ska kommentera detta. ","FP"
"Magnus Oscarsson","Herr talman! Jag vill med anledning av interpellationen ställa en fråga som gäller just en levande landsbygd. En stor utmaning för att behålla en levande landsbygd handlar om att det finns lantbrukare som odlar mark och håller djur som betar i hagar och på ängar. Just nu är vi inne i den, som det verkar, tuffaste och djupaste kris som våra mjölkbönder har varit med om. Vi vet att på tio år har antalet mjölkbönder halverats, och nu slutar en mjölkbonde per dag. Varför? Mjölkpriset är nere i 3,10 per kilo. För att en bonde ska ha plus minus noll ska priset ligga någonstans vid 3,60-3,70 per kilo. Tyvärr är botten inte nådd ännu. Man pratar om prissänkningar ned till 2,50 kronor per kilo. Det är förstås en fullständig katastrof. Det är precis som landsbygdsministern sade under torsdagens frågestund: Vi har en dålig självförsörjandegrad redan nu. Det är helt sant. Den ligger på mellan 40 och 50 procent. Min fråga till landsbygdsministern är: Vad tänker landsbygdsministern göra, innan det är för sent, för att vi ska ha kvar en mjölkproduktion i Sverige? ","KD"
"Isak From","Herr talman! Jag vill börja med att gratulera Sven-Erik Bucht till att ha blivit utnämnd till landsbygdsminister, en av de absolut viktigaste ministerposterna i mitt tycke. Jag vill också stryka under att jag delar uppfattning i mycket av det som Håkan Svenneling lyfte fram i sin interpellation. Vi har i dag en situation där det är landsbygden som till stora delar har fått betala priset för den borgerliga regeringens jobbmisslyckande. Det är på landsbygden det syns tydligast, men det är inte bara arbetslöshet. Det är också kompetensbrist ute i landet. Det finns jobb, men det finns inte kompetens att få tag i på alla ställen.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det här kunde den borgerliga regeringen ha mött genom utbildningssatsningar under lågkonjunkturen, men det valde man att bortse ifrån. I dag har vi en ganska stark tillväxt på många håll i landet, men det saknas människor som har rätt utbildning. Därför tvingas människor söka sig bort från de mindre orterna för att söka jobb. Vi socialdemokrater vill ha en politik där vi samlas för att utveckla vår samhällsmodell, och det ställer krav på en ny politik där det inte är vi och de, utan <em>vi</em>, där vi tillsammans tar vara på de styrkor som finns ute i landet och där vi tillsammans delar de utmaningar som finns i hela landet. För att klara detta behövs en ny näringspolitik. Det är därför den nya regeringen har gjort bedömningen att vi inte kan ha ett låtsasdepartement. Från början tyckte man ute i landet att det var jättebra med ett landsbygdsdepartement, men efter hand och ju längre åren gick kom man fram till att det här var ett låtsasdepartement utan egentligt inflytande. Och det är därför som Stefan Löfven har gjort bedömningen att dessa frågor måste lyftas in i ett större sammanhang, tillsammans med övriga näringslivsutvecklingsfrågor. Det är nog en riktig bedömning. Regeringen har dock bara suttit några få veckor. Det finns mycket kvar att göra. Det finns en växtkraft, ett entreprenörskap att ta till vara i småföretagandet på landsbygden, och det är avgörande för att hela Sverige ska leva. Offentliga upphandlingar kan också stärkas för att faktiskt öka efterfrågan på mjölk och höja priset. I många av de upphandlingar som görs i dag är det andra företag som tar det och pressar priserna. Då ska mjölk transporteras flera hundra mil från mitten av Europa till norra Sverige. Det är en utveckling som vi vill bryta, och det är för att få en ökad efterfrågan som vi vill stärka upphandlingarna hos kommuner och landsting. Herr talman! Det krävs en ny politik för landsbygden för att hela Sverige faktiskt ska leva. Jag ser att det finns en insikt hos landsbygdsministern att vi måste jobba hårt med det här. Jag önskar landsbygdsministern lycka till i sitt arbete, för han har verkligt mycket arbete framför sig. ","S"
"Kristina Yngwe","Herr talman! Jag vet att jag inte var den enda som kände en stor klump i magen när jag fick höra att Landsbygdsdepartementet kommer att läggas ned. Precis som tidigare har sagts är det en otrolig signal ut till landsbygden att man tappar i värde, i prioritering och i den nya regeringens anseende. Ur ett perspektiv finns det en fördel att vi lägger lantbruk och de gröna näringarna under Näringsdepartementet. Jag är själv lantbrukare, och jag är positiv när jag hör att ni lyfter upp de gröna näringarna som en viktig del av vårt näringsliv i hela landet. Men landsbygd är inte bara näringspolitik. Vi ser tyvärr ett Sverige där klyftorna mellan stad och land bara ökar och ökar. Det finns väldigt många frågor som inte bara berör näringspolitiken utan som handlar om infrastruktur, it, integration, utbildning och bostäder på landsbygden. I den allra bästa av världar hade landsbygden funnits som ett integrerat perspektiv i regeringens hela politik. De här två veckorna har vi dock sett exempel på att så fungerar det uppenbarligen inte. Vi har fått förslag om handelsgödselskatt och kilometerskatt. I stället för att ha en samhällsplaneringsminister har man en stadsutvecklingsminister. Det är oklarheter när det gäller nedläggningen av Bromma, vilket kommer att slå hårt emot många ute i landet.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Att kalla det för ett låtsasdepartement tycker jag därför är väl kraftfullt sagt, för vi behöver uppenbarligen ett departement som tar ett helhetsgrepp på det här perspektivet. Jag skulle därför vilja fråga landsbygdsministern hur han tänker säkerställa att det blir ett helhetsgrepp för landsbygden, inte bara ur ett näringsperspektiv utan ur perspektivet att hela landet verkligen ska leva. Jag var inte riktigt nöjd med tydligheten där. ","C"
"Börje Vestlund","Herr talman! Jag måste säga att jag är lite fundersam över denna låtsasdebatt, för om det handlar om vilka departement som finns och inte finns har väl alla regeringar som kommit och gått - åtminstone så länge jag har arbetat politiskt i Sverige, och det kanske är lite för lång tid, enligt vissa - alltid gjort någon omorganisation av de olika departementen. Jag har suttit i näringsutskottet i åtta år, och jag vet inte hur många gånger jag har träffat lantbrukarnas organisationer. De har alltid har sagt en och samma sak: Vi betraktas som en speciell näring och inte som vilken näring som helst. Men vi vill vara en del av näringspolitiken. Det är precis det som landsbygdsministern står här och säger: Vi vill arbeta för att landsbygdsfrågorna inte ska särskiljas som en liten grupp för sig, utan de ska integreras i många andra politikområden. Här har nämnts trafikpolitiken när det gällde flygplatserna. Man kan prata om vägar. Man kan prata om mycket annat. Men de frågorna har aldrig varit på Landsbygdsdepartementet. Vi kan prata om utbyggnaden av bredband. Det handlar inte ett dugg om Landsbygdsdepartementet. Tvärtom är det så att förutom jordbruks- och fiskepolitiken är det ytterst få frågor som har hanterats inom Landsbygdsdepartementet. Jag tycker att vi ska se det som en framgång för Sveriges regering att vi ser skogs- och lantbruksfrågorna som en näring bland andra, och jag gratulerar dem för det. Det andra jag vill säga rör Magnus Oscarssons inlägg om mjölkbönderna. Den debatten har vi nog följt allihop, och det finns väldigt mycket att säga i den debatten. Men det finns en sak som inte kom fram i det Magnus Oscarsson sade, och det är att när det gäller detta har bland annat Fredrik Malm och jag suttit, jag vet inte hur många fredagar, i EU-nämnden och lyssnat på företrädare från alliansregeringen som bestämt sig för att: Nej, vi ska inte ha fler subventioner till mjölkbönderna, utan vi ska ha en inre marknad även för mjölk. Det är ju det som är problemet: subventionerna och den inre marknaden. I dag kommer det in väldigt många mjölkprodukter utifrån, vilket gör att mjölkbönderna får mindre att göra. Såvitt jag har uppfattat det - någon kan gärna gå upp och rätta mig - har vi aldrig haft några oenigheter i Sveriges riksdag om detta. Jag tror att alliansregeringen, Socialdemokraterna, Vänsterpartiet, Miljöpartiet och också Sverigedemokraterna - men det kanske någon annan kan svara på vid något annat tillfälle - har varit överens om den frågan: Vi ska inte ska ha fler subventioner, och vi ska ha en inre marknad även för jordbruksprodukter.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Den diskussionen förstår jag alltså inte. Är det någon ny linje som Kristdemokraterna plötsligt har intagit? Den är i så fall helt och hållet ny för den här mandatperioden. ","S"
"Landsbygdsminister Sven-Erik Bucht","Herr talman! En växande landsbygd med goda förutsättningar för jobb och välfärd är grunden för att få tillväxt på landsbygden. Utan jobb och service blir folkmängden mindre. De gröna näringarna är en oerhört viktig del i detta. De gröna näringarna är inget särintresse. Jag har lyssnat på Isak From och Börje Vestlund. De har förstått. Det gäller att kraftsamla. It-frågorna finns på Näringsdepartementet. De handlar om bredband och mobiltelefoni. Bostadsfrågorna finns på Näringsdepartementet. Infrastrukturfrågorna finns på Näringsdepartementet. Handelspolitiken, bland annat exporten, har flyttats dit. Berör inte de frågorna de gröna näringarnas möjligheter? Det handlar om att kraftsamla och skapa en politik för svensk landsbygd som också skapar förutsättningar för nya jobb. Nej, man tar inte alltid ansvar, som Håkan Svenneling tar upp. Då ska vi vara med. Den tidigare regeringen kanske lämnade för mycket till marknaden, inte minst när mobiltelefonin inte fungerade. Det behövs också politik som är med och påverkar och driver frågan. Håkan Svenneling tar upp programförseningar. Det ansvaret kan inte jag ta, men vi kommer inte att försena programmet ytterligare. Det är viktigt att det kommer igång så att utbetalning kan ske. Om det inte kommer igång riskerar många företag att drabbas av stora svårigheter. Sedan kan justeringar göras under programperioden, men det får bli en senare sak. Fredrik Malm gör en utvärdering efter två och en halv vecka. Det är bra att du ställer höga krav på oss. Det finns en utvärdering som rör åtta år som också kan behövas. Den får vi ta vid ett senare tillfälle. Vad gäller mjölkbönderna har vi ett stort problem. Det här är inte bara ett svenskt problem, utan det är ett globalt problem. Mjölkpriserna i våras var höga. När det nu globalt finns fler mjölkproducenter dippar priset. Den ryska blockaden gör också att priset sjunker. Det är ett stort problem globalt i Europa och i Sverige. Vårt grannland Finland och de baltiska länderna har stora problem eftersom de är stora exportländer till Ryssland. Vad ska göras? Det kan behövas marknadskompletterande insatser. Det handlar också om att styra upphandlingen till svenska produkter och även till ekologiska produkter. Det finns möjligheter att ta tag i problemet, men jag är inte beredd att <em>i dag</em> säga exakt hur vi ska hantera problemet. Isak From tog upp frågan om kompetensbristen. Det är viktigt att få en aktiv arbetsmarknadspolitik och att det går att genomgå högre utbildning ute i landet, nära landsbygden. Utan högre utbildning kan Sverige inte konkurrera. I den globala konkurrensen ska landsbygden också vara med. ","S"
"Håkan Svenneling","Herr talman! Det är bra att Sven-Erik Bucht inte väljer att debattera huruvida vi ska ha ett landsbygdsdepartement eller inte. Det är faktiskt politikens innehåll som är det viktiga. När han säger att det sker en kraftsamling blir det lite lugnare i mitt hjärta. Då känner jag att det faktiskt handlar om vad vi ska göra annorlunda i politiken. Den gamla regeringen lämnade över det mesta till marknaden. Det har lett till en inriktning som pekar mot att göra något åt mobiltelefonin och bredbandsutbyggnaden, som inte funkar som de ska på landsbygden.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag var för några år sedan på en konferens om staden. Trots att jag arbetat nästan hela mitt arbetsliv med frågor om landsbygden hamnade jag på en konferens om staden. Där var man missnöjd med att landsbygden hade en minister - men inte staden. Jag kan konstatera att i den nya regeringen har staden fått en stadsutvecklingsminister. Det intressanta blir hur den nya regeringen kommer att arbeta med politiken inom Näringsdepartementet och hur man kommer att jobba med frågor om att kraftsamla för landsbygden. Bredbandspolitiken ligger fortfarande inte på statsrådets bord utan på it- och stadsutvecklingsminister Mehmet Kaplans bord. Det är då vi måste se att den nya regeringen gör en kraftsamling och tar tag i de frågor som berör hela Näringsdepartementet, inte bara de frågor som är avgränsade till landsbygdsministerns bord. Då kanske vi kan få en politik som verkligen gör skillnad för landsbygden, som gör slut på Centerns uppfattning att marknaden kan lösa allt - en politik för hela landet.  Vi kan byta politik, vi kan ta ansvar från statens sida och vi kan vara en aktiv del i att utveckla landsbygden. Då får vi en bättre politik för hela Sverige. ","V"
"Fredrik Malm","Herr talman! Det är mycket riktigt så som Börje Vestlund säger, nämligen att varje gång det kommer en ny regering ändras en del i organisationen på Regeringskansliet. Men i hundra års tid har regeringar kommit och gått i Sverige, men Jordbruksdepartementet har bestått - ända fram till nu. Det kan <em>kallas</em> Landsbygdsdepartementet och så vidare, men i grund och botten är det samma kluster av frågor som har funnits på departementet i 100-115 år. Om man använder statsministerns egna uttryck att det som ingångsvärde är viktigt att ha höga ambitioner för landsbygden, och det första man gör, herr talman, är att lägga ned Landsbygdsdepartementet, är det klart att det sänder en signal till de människor som lever utanför storstäderna att frågorna inte är så viktiga. Om Utbildningsdepartementet läggs ned finns det nog en och annan i skolvärlden som undrar vad som pågår. Låt oss titta på substanser i politiken. Om man säger att hela Sverige ska leva, och sedan klämmer till med först en kilometerskatt så att det blir dyrare att köra på vägarna, och sedan lägger ned eller hotar att lägga ned flygplatser så att det blir dyrare att flyga, är frågan om man ska hejda utflyttningen från glesbygden genom att helt enkelt omöjliggöra att människor tar sig därifrån. Om vi värnar tillväxt och utveckling i Sverige, men det ska bli dyrare att åka bil, dyrare att flyga, dyrare att anställa och fler regleringar, blir slutligen frågan vilka levnadsvillkor som finns i hela Sverige. Vi från Folkpartiet delar landsbygdsministerns höga ambitioner, och det är därför viktigt att politiken möter de höga ambitionerna. Det ska inte vara så att vi har höga ambitioner men att vi sedan gör det omöjligt att upprätthålla ett livskraftigt näringsliv på landsbygden i Sverige. ","FP"
