"Sven-Erik Bucht","Herr talman! Sten Bergheden har frågat mig om arbetet med att ta fram en livsmedelsstrategi har påbörjats än, vilka direktiv som har givits och vilka livsmedelsområden som kommer att behandlas i livsmedelsstrategin. Låt mig börja med att säga att jag välkomnar möjligheten att få prata om just den här frågan i kammaren. Jag vill medverka till att ta fram en bred livsmedelsstrategi. En långsiktig livsmedelsstrategi ska tas fram för att öka matproduktionen i Sverige och stödja ökad svensk och miljöinriktad matkonsumtion. En offensiv satsning på ekologisk produktion och konsumtion genomförs. En sådan strategi ska omfatta hela värdekedjan, från primärproduktion till konsument. Avsikten är att åstadkomma en långsiktig strategi som överlever såväl riksdagsval som koalitioner.  I arbetet med strategin kommer åtgärdsförslag från Konkurrenskraftsutredningen att beaktas. Jordbruksnäringens utveckling och produktion kommer att vara central, men övriga delar av kedjan är avgörande för möjligheten att skapa jobb och hållbar tillväxt. Livsmedelsstrategin ska också bidra till regeringens övergripande målsättning att Sverige ska ha lägst arbetslöshet i EU år 2020. Andra viktiga delar är en innovativ och exportinriktad livsmedelsindustri och hur konsumenternas intressen tas till vara. Jag kan lämna trygga besked om att arbetet har börjat. I regeringen arbetar vi intensivt med detta. Jag kommer den 5 mars att utlysa en formell start på strategiarbetet och hälsar riksdagen välkommen att delta i det startskottet.  ","S"
"Sten Bergheden"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Tack för svaret, landsbygdsministern! Jag började med att ställa en skriftlig fråga till ministern i november månad, för att stämma av om arbetet hade kommit igång. Då fick jag till svar att det var på gång och att man skulle besluta om en projektplan före årsskiftet. Min första till ministern är: Beslutades den projektplanen före årsskiftet, som ministern skrev i det tidigare svaret? Anledningen är denna. Jag har känt att när ministern åker runt i landet hänvisar han ofta till att livsmedelsstrategin ska lösa alla framtidens bekymmer när det gäller svenskt lantbruk och svensk landsbygd i övrigt. Men jag har inte sett någon handling när det gäller själva arbetet med att verkligen få igång livsmedelsstrategin. Herr talman! Det är positivt att ministern i dag talar om mötet den 5 mars, som jag också känner till. Då ska Alliansens konkurrenskraftsutredning presenteras, och mötet ska vara en uppstart på arbetet med livsmedelsstrategin. Det står i svaret att ministern har tänkt göra vissa uppdelningar av arbetet och återkomma med avrapporteringar. Då är min andra fråga: När kommer avrapporteringarna, och vilka uppdelningar kommer man att göra i det vidare arbetet? Som välkänt för många har vi en mjölkkris i Sverige. Svensk livsmedelsproduktion minskar. Man har också av ministern begärt lättnader i fråga om skatter och regelverk. Men detta har än så länge avvisats helt av ministern. Jag skulle gärna vilja ha besked. Om man kommer vidare med livsmedelsstrategin måste det väl finnas ett visst intresse av att lantbruket klarar sig tills livsmedelsstrategin får genomslag, kanske efter våren 2016, och sedan efter eventuella ytterligare beslut, med något halvår innan propositioner och annat ligger på bordet. Därför vore det bra om ministern även lyssnade in den akuta kris som finns i svenskt lantbruk, framför allt på mjölksidan. Jag blir rädd när jag läser Socialdemokraternas egen livsmedelsstrategi. Det är rätt många sidor. Den innehåller nya skatter, nya pekpinnar, nya avgifter och en ökad satsning på enbart ekologisk produktion. Läser jag dessutom Miljöpartiets livsmedelsidéer ser jag att det är en hundraprocentig ekologisk produktion i Sverige som man tänker gå vidare med. Då vill jag för det tredje fråga: Är det ett helt nytt omtag nu, när vi försöker komma överens brett mellan partierna, eller är det Socialdemokraternas egen livsmedelsstrategi och förslag på skatter och idéer som ligger till grund för ministerns fortsatta arbete? Har det givits några direktiv om att man vill ha med detta på något sätt i livsmedelsstrategin? Vill man ha in nya köttskatter och förändringar av gårdsstödet? Kommer gårdsförsäljning av öl och vin att finnas med i livsmedelsstrategin? Kommer strandskyddet, som ministern ofta talar sig varm för runt om i landet, att finnas med i livsmedelsstrategin eller i landsbygdsidéerna? Hur blir det med lastbilsskatt, konstgödselskatt, dieselskatt, köttskatt och avgifter?  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Är detta ett villkor i livsmedelsstrategin, eller är ministern beredd att avvara alla de här sakerna och lägga fram ett blankt papper för att titta vidare på hur vi ska lösa svensk livsmedelsproduktion och svenskt lantbruks överlevnad? ","M"
"Stina Bergström","Herr talman! Jag vet inte om jag vågar ställa några mer frågor till landsbygdsministern. Han fick så många av Sten Bergheden att han kanske inte hinner svara på några fler. Jag tycker att det är jättehäftigt att startskottet för arbetet med den svenska livsmedelsstrategin går på torsdag. Vi har sedan tidigare en inbjudan, i alla fall till miljö- och jordbruksutskottet och nu även till andra utskott, att få vara med på den här eftermiddagen. Det ska bli spännande av flera skäl. Precis som ministern nämnde kommer en viktig del i arbetet att handla om åtgärder för att öka den svenska ekologiska matproduktionen. Det är viktigt av flera skäl. Det handlar om folkhälsa och miljö, men det handlar också om tillväxten av den svenska jordbrukssektorn. Ser vi i dag på vad det är som växer, vad de svenska konsumenterna köper mer och mer av, ser vi att det är ekomaten. Nyligen presenterade Ekoweb siffror som visar att försäljningen av ekologiska livsmedel i Sverige har exploderat. Under 2014 ökade värdet på den svenska ekomarknaden för livsmedel från 11,2 miljarder till 15,5 miljarder. Om det inte hade rått brist på ekologiska livsmedel, bland annat på svenska ekoägg och svenskt ekokött, hade försäljningen troligen kunnat öka ännu mer. Enligt Ekowebs prognos kommer försäljningen i år att öka med hela 20 procent. Den siffran hade kunnat vara ännu högre, om det inte hade varit för den låga omläggningstakten i den svenska jordbrukssektorn från konventionell till ekologisk odling. Jag tycker att det är positivt, för det visar på en efterfrågan på ekologiska livsmedel och stora möjligheter för den svenska bonden och för landsbygden. I en situation där jordbrukssektorn under lång tid har rört sig mot alltmer storskalig produktion med fokus på att pressa priserna ser vi att efterfrågan på ekologisk mat ger en möjlighet att i stället konkurrera med kvalitet. Ekologisk produktion är även mer arbetsintensiv och skapar alltså både fler jobb och en mer levande landsbygd. Vi kan gå till vårt grannland Danmark. Där har man kommit mycket längre i detta. Vi köper också mycket dansk ekomat i Sverige, och det är bra, men det är lite synd att inte våra svenska bönder kan dra nytta av den stora ekovågen. I Danmark är ekokonsumtionen dubbelt så stor, och det finns en gemensam strategi för att öka den ekologiska produktionen och exporten från Danmark. Organic Denmark har lyckats samla hela kedjan från livsmedelsproducenter till detaljhandel, och den strategiska planen för ekomaten i Danmark är tryckt på det danska jordbruksdepartementets papper. Det är glädjande att i ministerns svar höra att det finns sådana tankar även här i Sverige om att göra denna kraftsamling när vi talar om vår livsmedelsstrategi.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag är därför lite nyfiken på om landsbygdsministern skulle kunna utveckla hur vi i Sverige i arbetet med den svenska livsmedelsstrategin skulle kunna ta till vara erfarenheterna från det danska arbetet med att öka ekologisk produktion, konsumtion och export.  ","MP"
"Ulf Berg","Herr talman! Jag börjar med att fundera lite över vad Stina Bergström sa. Hon lyfte fram danskt jordbruk som ett mönsterjordbruk, åtminstone när det gäller ekodelen. Det tror jag att man ska fundera lite över. Vi har ett mycket bra konventionellt jordbruk i Sverige. Om vi ska ställa om det enligt MP:s önskemål till ett ekojordbruk kommer vi snart inte att ha så många bönder kvar. Ekojordbruk fungerar mycket väl men ska regleras av marknaden och efterfrågan. Att tvingas ställa om kommer inte att fungera väl. Då kommer nämligen vårt konkurrensläge och vår konkurrenskraft att försämras kraftigt.  Vi moderater har i ärlighetens namn alldeles nyligen gjort en omvärdering av vår politik i denna del. I samband med att jag blev landsbygdsansvarig fick jag god hjälp av Anna Kinberg Batra när det gäller att vi ska svänga i frågan om en livsmedelsstrategi. Vi var motståndare till en sådan, men i dag är vi för och har insett vikten av en livsmedelsstrategi.  Jag tillhör även dem som tycker att den här kammaren under 20 års tid har haft en mycket snäv syn på jordbrukande som företagande. Vi har en hel del särregler som drabbar svenskt jordbruk. Det är ingen tvekan om att svenska bönder är mycket effektiva. Jag såg några siffror i förra veckan om att grisproducenter kan producera svenskt kött till lägre priser än Danmark och andra, mycket beroende på att vi har en väldigt god djurhälsa, liten antibiotikaanvändning och så vidare. Däremot är våra priser på smågrisar något för höga.  Detta tycker jag är en bra grund för att vi i framtiden ska kunna få en mycket bra livsmedelsexport. Jag brukar likna svenskt jordbruk vid Volvo. Vi ska ha en stark hemmamarknad, och vi ska vara goda exportörer. Men då kan vi inte ha särregler som fungerar som kvarnstenar runt detta företagande, som i och med att vi gick med i EU för 20 år sedan är utsatt för global konkurrens. Det måste vi en gång för alla lära oss.  Hur ser marknaden ut? Jo, den ser fantastiskt god ut, inte bara för att svensk mat är god. Det finns de som har tittat på hur mycket mat som vi ska producera under kommande 40 år, och vi ska producera lika mycket som vi har producerat under 8 000 år tillbaka.  Hur kan det komma sig? Det finns naturligtvis betydligt fler människor på vår planet, men det finns också en betydligt högre levnadsstandard som gör att mat kommer att vara efterfrågad på ett helt annat sätt. Det är naturligtvis mycket positivt. Om vi då kan skapa ytterligare sysselsättning i svenskt jordbruk är det fantastiskt bra. En sak som man inte kan göra är att flytta åkern till Sergels torg. Den finns där den finns, och den ska brukas där den är. Då får vi också se till att vi får god sysselsättning.  Jordbruket genererar arbetstillfällen runt omkring. Man brukar säga att en svensk mjölkbonde skapar tre, fyra eller fem jobb. Därför vill jag ställa en fråga till landsbygdsministern: Hur kommer färdriktningen att se ut med den nya livsmedelsstrategin? ","M"
"Sven-Erik Bucht"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Jag ska först vända mig till Stina Bergström när det gäller frågan om Danmark. Jag tror att det är viktigt att vi lyssnar in hur andra länder har gjort, oavsett vilket land det är som jobbar med en livsmedelsstrategi.  Jag var i december i Finland och bekantade mig med den finska livsmedelsstrategin, och jag tror att det finns anledning för oss att titta på hur andra länder har klarat av detta jobb.  Därefter ska jag vända mig till Sten Bergheden. Det gamla sättet, att det är någon som där uppifrån ska säga hur det ska vara och att vi nu ska börja jobba tillsammans, tror jag inte funkar. Vi måste ha ett betydligt modernare sätt att ta fram något så viktigt som berör hela nationen, nämligen vår livsmedelsförsörjning och vår livsmedelsproduktion. Det måste ske i en dialog där alla finns med. Jag ser verkligen fram emot det, och jag välkomnar Sten Bergheden och alla andra att komma med. För mig finns det ingen prestige. I detta arbete borde vi lägga lite mer av den partipolitiska prestigen åt sidan. Detta är en alldeles för viktig fråga.  Jag ser att det finns ett enormt intresse för denna fråga från hela branschen, från intresseorganisationer och från politiken. Det finns ett stort intresse från politiken nationellt, regionalt och lokalt. Det är 250 personer som kommer den 5 mars. Detta ska vi ta till vara och försöka ha en bra dialog.  Det handlar om hela värdekedjan. Det handlar om primärproduktionen - jordbruket, trädgårdsnäringen, fisket. Men det handlar också om livsmedelsindustrin, den stora och den lilla livsmedelsindustrin. Det handlar om handeln som är en jätteviktig del i detta. Det handlar även om akademin och innovation. Det handlar om att skapa starka svenska varumärken som bygger på svenska råvaror och om att öka vår export. Här har vi mycket att göra. Det gäller då också att man vågar och blir mycket bättre på att lyfta fram de svenska mervärdena och klimatet. Vi har vatten och mycket odlad areal. Vi har ett miljötänk som är i världsklass. Vi har djurvälfärd som är i världsklass och en mycket liten antibiotikaanvändning. Varför inte lyfta fram detta mycket tydligare? Jag tycker att det var en bra liknelse som Ulf Berg nämnde när han jämförde Volvo med svensk livsmedelsindustri. Jag brukar också jämföra den med Volvo. Då brukar jag till dem som vill förändra och ta bort de svenska mervärdena säga: Ta inte bort krockkuddarna från Volvo. Den blir svår att sälja då.  (forts.) ","S"
"Sten Bergheden"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Då återupptar vi interpellationsdebatten om vad livsmedelsstrategin skulle kunna tänkas innehålla.  Jag ställde några frågor i mitt tidigare inlägg, men jag noterade att jag inte fick något svar på just de frågorna. Däremot upplyste ministern om att han kommer att titta på hur andra länder har jobbat med livsmedelsstrategin, vilket jag tycker är bra. Det är bra att ta in den omvärldsbevakningen. Han vill också ha en underifråndialog och inte en uppifråndialog, fru talman, och jag välkomnar även det. Jag tror att det är jättebra.  Vidare sa ministern att det finns ett väldigt stort intresse för livsmedelsstrategin och att det finns förväntningar på att man ska komma fram till någonting. Det är en av anledningarna till att vi har den här interpellationsdebatten; vi har från både Moderaterna och Alliansen en stor förväntan på att det mynnar ut i någonting som kan vara långsiktigt, och att överenskommelsen framåt i så fall självklart ska sträcka sig över så många partier som möjligt.  Fru talman! Jag fick som sagt inget svar på frågan om projektplanen togs i december, som ministern sa tidigare i ett svar, om den har tagits nu eller om den kommer att tas. Jag frågade också vilka delområden ministern hade tänkt dela in detta i. Interpellationen handlar nämligen om vad livsmedelsstrategin ska innehålla, så vilka delområden har ministern tänkt dela in den i? När ska delrapporterna i så fall komma? Det tycker jag att man borde kunna lämna besked om. Är det så att det inte finns något svar på detta tycker jag att det är märkligt att det i så fall har tagit fem månader att förbereda ett blankt papper för det som ska börja nu på torsdag. Jag utgår ifrån att det ministern säger är korrekt, alltså att man har jobbat hårt redan, och då borde det finnas någonting om vad man har gjort hittills. Det ska sätta fart efter den 5 mars.  Fru talman! Även om vi jobbar med en livsmedelsstrategi vill jag också gärna ha reda på hur ministern ser på det faktum att vi har en mjölkkris i närtid. Det finns även krav på att förändra beteskraven. Vi vet att vår lagstiftning och de regler vi i dag har när det gäller beteskraven till och med kan innebära att det går åt mer antibiotika än det skulle göra om bonden själv kunde välja när han ska släppa ut sina djur på bete och om han kunde välja både väderlek och hage på ett helt annat sätt än han måste göra i dag.  Jag skulle också gärna vilja ha en kommentar om att Socialdemokraterna har en egen livsmedelsstrategi och att Miljöpartiet har några tankar om det hela, fru talman. För några dagar sedan kom Naturskyddsföreningen och ville införa en köttskatt på 25 kronor per kilo. Tror ministern att det blir bättre konkurrenskraft om vi börjar lägga på nya skatter? Framför allt handlar det om att det hela tiden kommer ut förslag på nya skatter. Det är handelsgödselskatter och lastbilsskatter, och det är köttskatter på 25 kronor. Det skulle i så fall innebära 20 miljarder in på den konsumtion av kött vi har i Sverige.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Detta oroar självklart lantbruket där ute. Man vet inte vilka spelregler som gäller. I detta pressade läge vill man åtminstone ha långsiktigt starka spelregler. Det vore alltså bra om ministern kunde vara tydlig på den punkten och säga \"Det blir inga köttskatter, och det blir inga handelsgödselskatter. Vi kommer inte att höja dieselskatten.\" Någonting borde ministern kunna lämna till Sveriges lantbrukare för att få tillbaka en del av den framtidstro som behövs. Fru talman! Jag tror också att det vore bra om han, precis som det står i interpellationen, kunde redogöra lite mer för vad livsmedelsstrategin kommer att innehålla.  ","M"
"Ulf Berg","Fru talman! Det är ett intressant projekt som börjar nu, och det är ingen tvekan om att det är viktigt att det blir ett bra resultat. En garanti för ett bra utfall på det jobb som ska börja med livsmedelsstrategin är att S gör upp med Alliansen. Då slipper vi förmodligen köttskatt och lite annat som är rena sänken för svenskt jordbruk.  Som jag sa i mitt inlägg före pausen tillhör jag de stora optimisterna när det gäller svenskt jordbruk. Jag ser också den tekniska utveckling som finns inom området. Om vi håller oss till klimatsidan kan man nu via gps och satelliter mycket effektivt se till att man lägger rätt gödningsgiva på rätt del av åkern, och man kan se var man ska lägga olika antal kilon. På vissa ställen växer det nämligen bättre, och på så sätt kan grödan tillgodose sig gödningen på ett helt annat sätt.  Det här är ju vägen fram för att vi ska få ett mer klimatsmart jordbruk. Det ska inte vara ytterligare skatter och avgifter, utan vi ska fortsätta den utveckling som finns och lämna över det här till de duktiga företagare som finns. Vår roll är att se till att det finns förutsättningar för alla duktiga bönder att klara den globala konkurrensen. Där ligger vårt ansvar.  Jag är övertygad om att det kommer att bli riktigt bra om landsbygdsministern gör upp med Alliansen i den här frågan. Annars kommer vi att bli ett ännu större högskattesamhälle, vilket kommer att drabba svenskt jordbruk. Det kommer då att exportera sig självt till andra länder för produktion. ","M"
"Sven-Erik Bucht","Fru talman! Det finns en detaljerad projektplan. Vi ska bland annat ut i landet, och vi kommer att ha dialogmöten på sex olika orter. Nu har jag dock inte tidpunkterna och orterna i huvudet.  Vi kommer också att jobba tillsammans med länsstyrelserna i de län vi går till. De får ett ansvar att bjuda in såväl näring och intresseorganisationer som alla riksdagsledamöter som finns i dessa och omkringliggande län, för att skapa så stor delaktighet som möjligt i detta. Sedan kommer det naturligtvis att finnas en så kallad nationell grupp, där branschföreträdare och Lantbruksakademin kommer att vara representerade. Vi ska även försöka få en parlamentarisk grupp, så att man känner delaktighet.  Det här är inget gammaldags sätt att jobba där statsråd ska stå och diktera villkoren. Det är ärligt och uppriktigt en dialog där jag välkomnar alla att vara med. Jag vet inte hur jag ska uttrycka det så att ni tror mig, men det är min absoluta tanke kring detta.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Konkurrenskraftsutredningen kommer att presenteras på torsdag, i samband med det event vi har på Nalen, och den kommer att vara en del i processen kring en livsmedelsstrategi. En del kommer vi även att plocka från projektet Matlandet Sverige; det finns säkert bra grejer där som man kan ta till sig.  Jag ska säga några ord om mjölkkrisen, som jag glömde att kommentera. Vi ska komma ihåg att mjölkkrisen inte är någonting som enbart finns i Sverige. Jag träffar ju alla jordbruksministrar i EU 28, och det är precis samma sak där ute. Det är precis samma sak trots att de har en annan dieselskatt och kanske inga beteskrav. Man kan inte förenkla mjölkkrisen på det sättet och tro att den sitter i en dieselskatt eller ett beteskrav. Det är att göra det väldigt enkelt för sig.  Grunden för mjölkkrisen är den globala situationen när det gäller mjölkproduktion. Mjölkpriset rusade 2012-2013, och det var all-time-high-priser i februari mars 2014. Sedan gick luften ur. Under denna tid byggde man upp en global produktionskapacitet. Nya Zeeland ökade med över 14 procent, Brasilien med nästan 9 procent och USA med 6-7 procent. Europa byggde upp sin produktionskapacitet med 5,6 procent. Till och med Sverige ökade med över 2 procent under denna tid. Vi fick en överproduktion. Det är grunden för mjölkkrisen. Sedan kom Rysslandskrisen som toppen på ett isberg. Den påverkar oss givetvis. Men det är framför allt de baltiska länderna och Finland som har exporterat en stor del av sin produktion till Ryssland. För de baltiska länderna handlar det om drygt 20 procent, och för Finland hela 25 procent. Det är klart att dessa länder har drabbats hårt.  Det flödar in mjölkprodukter från det hållet men också från världen i övrigt. Det är grunden för mjölkkrisen. Ska den lösas måste vi konsumenter välja det närproducerade när vi går och plockar i affärshyllorna. Det kan vända utvecklingen snabbt. ","S"
"Sten Bergheden","Fru talman! Jag tackar för svaren, som var lite närmare interpellationen. Det finns en bra ansats hos landsbygdsministern, och jag hoppas att vi kan landa i något. Jag håller med Ulf Berg om att om vi ska kunna få en långsiktig livsmedelsstrategi handlar det nog mer om att Socialdemokraterna gör upp med Alliansen än med Vänsterpartiet och Miljöpartiet i denna fråga. Jag är rädd för den syn som finns i både Socialdemokraternas och Miljöpartiets livsmedelsstrategi: att det är det ekologiska som ska gynnas. Men en satsning på det får inte ske på bekostnad av det konventionella lantbruket, för det är bärande för hela vår infrastruktur vad gäller slakterier, mejerier och annat. Vi måste ha volymer för att kunna hålla en produktion igång. Det vore bra om ministern tydligt talar om att det inte kommer att bli några nya skattehöjningar. Det är inte mindre pengar svenskt lantbruk och svensk matproduktion behöver utan mer så att de vågar göra investeringar och satsa på framtiden. Det gör man inte genom att lägga på lantbruket ytterligare skatter eller försöka beskära delar av den produktion som fortfarande finns kvar.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Även om det ekologiska efterfrågas är det från en låg nivå. Det ekologiska som efterfrågas i dag är utländskt ekologiskt. Det är allvarligt om man hellre köper utländsk ekologisk mat än svensk mat, som ju borde vara minst lika bra med tanke på den lilla användningen av konstgödsel och bekämpningsmedel som vi har i det konventionella lantbruket. Jag hoppas att ministern skaffar sig bättre rådgivare än Miljöpartiet och Naturskyddsföreningen i denna fråga, och jag hoppas på en bra dialog framdeles. ","M"
"Sven-Erik Bucht","Fru talman! Den globala situationen för livsmedel är ansträngd och på ett sätt hotfull. Det finns många rapporter, bland annat från FN-organ, som visar på ett dramatiskt behov av livsmedel i världen. En rapport visar att det till 2030 behövs 70 procent mer. Samtidigt har vi klimatoro i världen som slår ut stora skördar. Sverige har en låg självförsörjningsgrad. Vi lever faktiskt lite farligt. Vi måste öka vår livsmedelsproduktion för att få inhemska livsmedel i större omfattning men också för att kunna exportera.  Vi borde ha haft en livsmedelsstrategi långt tidigare. Det är inte en dag för tidigt. Att ha en politik som riktar sig än hitåt, än ditåt och där ingen vet vart man ska är lite som när Alice i <em>Alice i U</em><em>nderlandet</em> kommer fram till katten och frågar: Hur tar man sig härifrån? Katten frågar Alice: Vart är du på väg? Alice svarar: Jag vet inte. Då säger katten: Då spelar det ingen roll vart du går. Det är detta det handlar om. Genom en kraftfull vägvisning ska vi öka svensk livsmedelsproduktion och hålla fram de mervärden som svenska livsmedel har. Det gör vi tyvärr inte så ofta. Jag delar Ulf Bergs uppfattning. Man kan jämföra Volvobilar och svenska livsmedel. Men plockar man bort krockkuddarna får man nog inte så mycket betalt för Volvon. Det är inte säkert att svenskar vill ha en bil utan krockkuddar, och jag är övertygad om att de vill ha högkvalitativa livsmedel.  Tack för en bra debatt! ","S"
