"Gabriel Wikström","Fru talman! Sten Bergheden har frågat om regeringen avser att göra någonting för att underlätta för landsbygdsföretag som vill bedriva gårdsförsäljning av lokalt producerad alkohol i Sverige och om gårdsförsäljning av öl och vin kommer att finnas med i den livsmedelsstrategi som statsrådet tänker genomföra. Interpellationen har överlämnats till mig. När det gäller gårdsförsäljning av alkoholdrycker har regeringen beslutat att inte gå vidare med de förslag som lämnades av Utredningen om vissa alkoholfrågor (SOU 2010:98).  Däremot är lokalt producerade och småskaliga drycker möjliga att beställa till valfri butik i hela landet via Systembolagets webb eller i butik. Det innebär att ca 600 lokalt producerade drycker från nästan 100 olika producenter är tillgängliga för kunder i hela landet. Systembolaget har även lanserat en mobilapplikation med vilken det är möjligt att söka efter närmaste butik eller ombud och bland annat få information om öppettider.  Systembolaget har även förbättrat sina rådgivningsmöjligheter genom att utöka utbildningen för Systembolagets personal till att även omfatta de lokalt producerade dryckerna. Ett aktivt landsbygdsföretagande är av betydelse för hela Sveriges tillväxt. Framtagandet av en svensk livsmedelsstrategi är en viktig del i arbetet för att främja företagandet inom hela livsmedelskedjan, inte minst för aktörerna på landsbygden. Arbetet med livsmedelsstrategin har påbörjats. Regeringens ambition är att strategin ska omfatta hela värdekedjan, från primärproduktion till konsument. Regeringen avser att få till stånd en långsiktig och väl förankrad strategi som överlever såväl riksdagsval som koalitioner. ","S"
"Sten Bergheden","Fru talman! Tack, ministern, för svaret, även om jag hade hoppats att landsbygdsministern skulle svara på frågan om utvecklingen av landsbygdsföretag! Vi får väl ta debatten om gårdsförsäljning eller icke gårdsförsäljning på landsbygden. I svaret kom det fram att livsmedelsstrategin skulle gälla värdekedjan, från primärproduktion till konsumentled. Då är min första fråga: Kommer gårdsförsäljningen att ingå i livsmedelsstrategin? Jag har inte fått något riktigt svar av landsbygdsministern. Jag hoppas att statsrådet här kan svara på den frågan. Fru talman! För att ge en bakgrundsbild av vad som har hänt de senaste tio åren kan jag säga att vi i dag har över 100 vingårdar och 70 lokala bryggerier i Sverige. Vingårdarna och bryggerierna skapar jobb och tillväxt i miljöer ute på landsbygden. De bidrar framför allt till att skapa ökad turism. Trots att gårdsförsäljning har utretts och diskuterats länge har man inte kommit fram till något beslut än. Däremot har man gjort en utredning, som diskuterades i den förra interpellationsdebatten. Lokal produktion av öl och vin skulle kunna ge en ökad tillväxtpotential - självklart. Nu väntar man på att detta ska kunna öppnas upp för landsbygden. Jag har tidigare motionerat om att jag tycker att man borde införa någon form av prövoperiod för några områden i Sverige: Skåne, Öland och mitt hemområde Skaraborg. Jag tycker att det vore bra att inhämta den kunskapen för att sedan kunna gå vidare, om man vill permanenta det fullt ut. Jag vill gärna ha svar på frågan: Skulle ministern kunna tänka sig att titta på detta och inte bara tycka saker och ting utan att kanske egentligen ha kunskap om hur det här skulle slå fullt ut? Jag är helt övertygad om att EU skulle godkänna en försöksverksamhet. Man skulle också kunna föra en dialog med EU under tiden om huruvida detta sedan skulle kunna permanentas. Men viktigt i detta sammanhang är att man vill det. Då måste nästa fråga till ministern vara: Vill ministern att det ska vara möjligt med gårdsförsäljning i Sverige, om det går att förena med monopolet, som ministern tog upp tidigare? Fru talman! Den fråga som jag vill fortsätta med är: Hur vill ministern skapa jobb på landsbygden om vi inte får använda oss av vissa delar? Vi får inte ha ölförsäljning, och vi får inte ha gårdsförsäljning av vin. Man diskuterar dessutom skatter på lastbilstransporter. Man pratar om handelsgödselskatter. Man pratar om flygskatter för att turismen inte ska komma hit till landet. Är det någonting som ministern kan göra för att underlätta för turism- och landsbygdsutveckling i stället för att bara säga nej, nej, nej till en rad olika saker som faktiskt är tillåtna och beprövade i hela Europa? Tror ministern att gårdsförsäljning skulle vara positivt för landsbygden? Är det någonting som skulle kunna bidra i den delen? Jag vill också ställa en fråga rakt ut till ministern: Har ministern själv varit nere i södra Europa eller någon annanstans och varit på någon vingård och där köpt med sig någon flaska eller någon öl som han tagit med sig hem eller använt senare? Det skulle vara intressant att få veta det. Jag stannar där så länge. ","M"
"Boriana Åberg","Fru talman! Själva det faktum att Sten Berghedens interpellation besvaras av folkhälsoministern och inte av landsbygdsministern visar vilken syn regeringen har på frågan om gårdsförsäljning. Det blir inte en näringsfråga, utan plötsligt blir det en fråga om folkhälsa. I den tidigare interpellationsdebatten antydde ministern att vinstintresset hos de små producenterna på något sätt skulle äventyra folkhälsan. Då vill jag säga: Det är ganska svårt, eftersom de små producenterna konkurrerar med hög kvalitet, och därmed måste de ta ett högt pris. Det gör att det inte är så lätt att tjäna pengar på det. Det krävs en volym, som till exempel Systembolaget har, för att det ska bli vinster. Det har Systembolaget. Om ministern är orolig för folkhälsan borde ministern se till att stoppa alkoholsmugglingen. Det kan inte vara en hemlighet för ministern att det smugglas stora mängder sprit bland annat från Danmark, Polen och Tyskland. De mängderna brukar sedan säljas vidare till bland annat minderåriga. Att stänga möjligheten för små producenter av öl och vin att sälja sina produkter på den egna gården är att säga nej till utveckling av landsbygden, nej till en växande turism- och besöksnäring och nej till flera arbetstillfällen. Det går stick i stäv med de saker som regeringen har proklamerat, i alla fall när den tillträdde. Ministern tror väl inte att ungdomar som vill ta sig en fylla en lördagskväll, eller någon annan som vill stilla sitt akuta alkoholbehov, ska resa flera mil ut på landsbygden och köpa en dyr kvalitetsprodukt? Jag tycker inte att gårdsförsäljning är något hot vare sig mot det svenska alkoholmonopolet eller folkhälsan, och jag tror att de flesta svenskar är fullt kapabla att avgöra vad de ska köpa och dricka även när det gäller alkohol. Men det kanske beror på att jag som moderat har en annan syn på människor. ","M"
"Åsa Coenraads","Fru talman! Vi har diskuterat livsmedelsstrategier och mat både på produktionsnivå och exportnivå i den här kammaren många gånger, så även nu i denna debatt kring gårdsförsäljning och livsmedelsstrategin. Alliansregeringen lanserade någonting som kallades för Matlandet Sverige, något som varit väldigt positivt för den svenska matexporten. I förra veckan lanserade landsbygdsminister Bucht sin livsmedelsstrategi med buller och brak. Den dagen presenterade ministern även vin, sprit och andra lokala drycker som ett bidrag till den svenska livsmedelsexporten. Det skulle då kunna ingå i livsmedelsstrategin. Det handlar om mervärden, om att kunna stärka den svenska landsbygden och om den svenska exporten som är bra för vår bnp. I den tidigare debatten om gårdsförsäljning här i kammaren nämnde ministern gårdsförsäljning som en pseudodebatt om just alkoholmonopolet. När vi nu diskuterar livsmedelsstrategin undrar jag om ministern fortfarande tycker att det här är en pseudodebatt om alkoholdebatten när det handlar om produktionen i Sverige. Jag undrar också om ministern vet hur många arbetstillfällen som berörs av ett förbud mot gårdsförsäljning. Kommer ministern att ta reda på hur många arbetstillfällen som skulle kunna bli till om vi tillåter gårdsförsäljning och dessutom gör det väldigt lukrativt som en del av livsmedelsstrategin? Fru talman! Vi tävlar inom Europeiska unionen med andra länder där vi måste kunna slå oss för bröstet och berätta hur bra den svenska maten är. Vi vill kunna erbjuda fler människor att komma till vårt land och ta del av våra kulturupplevelser. I kulturupplevelsen kopplad till mat ingår även dryck. Jag tycker att det är olyckligt att höra ministerns svar på den här interpellationen. ","M"
"Gabriel Wikström","Fru talman! Det var många frågor. Jag ska försöka besvara dem alla. För att börja med den sista frågan från Åsa Coenraads, om jag kommer att ta reda på hur många arbetstillfällen som en eventuell gårdsförsäljning kan skapa, är mitt svar att det tycker jag i det här sammanhanget är ointressant, eftersom utgångspunkten är att värna den svenska folkhälsan och i det syftet värna det svenska detaljhandelsmonopolet när det gäller alkohol. Det är i det syftet som vi måste föra kvällens debatt, och det är också därför som jag står här och inte Sven-Erik Bucht. Regeringens bedömning är nämligen att huvudfrågan i interpellationen ändå rör gårdsförsäljning och regeringens syn på detta. Jag fick en fråga från Sten Bergheden om gårdsförsäljning kommer att ingå i livsmedelsstrategin. När det gäller gårdsförsäljning enligt det förslag som utredningen tog fram och som därmed, enligt vår bedömning, skulle hota det svenska detaljhandelsmonopolet är svaret att den typen av gårdsförsäljning inte kommer att ingå i strategin. Det motsäger å sin sida inte att det finns en strategi för lokala producenter av olika typer av alkoholdrycker som också kan arrangera till exempel provsmakning på plats om man har erforderliga tillstånd. Men just en försäljning som hotar detaljhandelsmonopolet kommer vi som tidigare sagts inte att gå vidare med. Det är i det syftet som vi inte vill försöka oss på någon prövoperiod, eftersom risken är att det av EU-domstolen skulle uppfattas som att vi har frångått det svenska detaljhandelsmonopolet. Därmed skulle vi kunna få en dom emot oss som omöjliggör ett fortsatt monopol, och då undandras själva grunden för den svenska alkoholpolitiken. Jag fick också en fråga som jag inte riktigt vet hur den hör hit, men jag kan besvara den i alla fall. Frågan gällde om jag själv har besökt och inhandlat alkohol vid någon vingård eller liknande inrättning i södra Europa. Jag kan inte påminna mig om att jag har gjort det, och även om jag hade gjort det så hade det förmodligen inte ändrat min inställning i just den här frågan. Jag tycker nämligen inte att det handlar om näringspolitik eller besöksnäring i första hand, utan vår bedömning utgår ifrån att värna det svenska detaljhandelsmonopolet och därmed i förlängningen folkhälsan. Boriana Åberg pratar om vinstintresset hos små producenter och frågar mig hur det skulle kunna hota detaljhandelsmonopolet. Men det är inte vinstintresset hos dessa producenter i sig som är problemet, utan problemet är som sagt att förekomsten av försäljning från producenter - hur små de än må vara - riskerar att hota detaljhandelsmonopolet. Därmed riskerar vi att få en dom emot oss som förstör själva grundbulten i den svenska alkoholpolitiken, och som jag har sagt tidigare vill jag inte medverka till någonting sådant. Jag är dock glad att man lyfter upp alkoholsmugglingen som ett problem. Det tycker jag också att det är, och jag tror att vi behöver göra insatser på det området. Men det är inte någonting som vi ska göra i stället för att upprätthålla detaljhandelsmonopolet, utan vi ska göra det som ett komplement till att upprätta hålla detaljhandelsmonopolet. Jag tror att jag har besvarat de flesta frågorna. I annat fall får ni återkomma. ","S"
"Sten Bergheden","Fru talman! Jag tror att ministern har svarat på en del av frågorna i alla fall, även om det inte var de svar jag ville höra. Men ministern har väl gjort det utifrån sin ståndpunkt. Den fråga som jag inte riktigt fick svar på handlar om ministern skulle vilja att det vore möjligt att ha detta i Sverige om EU godkände det. Fru talman! I den andra delen tror jag att vi rätt snabbt får svar av EU. Om vi ansöker om att få genomföra en försöksperiod kommer de omedelbart att säga om de ställer sig positiva till detta eller inte. Släpper de oss att genomföra en försöksperiod har vi ändå visat att det finns en öppning någonstans i EU. Det är därför jag återigen vill påminna om att det är viktigt att vi vågar ta det första steget och fråga EU: Skulle vi kunna ha en försöksperiod och testa detta? Jag garanterar att det skulle finnas en majoritet för detta i riksdagen om vi vill testa och därigenom ge landsbygdsföretagarna möjlighet att kunna växa. Då skulle vi se hur det fungerar på vissa premisser i olika delar och län och sedan kunna göra en utvärdering innan vi går vidare. Detta tycker jag är ett bra kompromissförslag för att komma vidare med frågan, så jag tycker att ministern bör ta med sig det. Fru talman! Det handlade också om hur vi ska stärka landsbygdsföretagen. Jag fick då svaret att den här delen inte kommer att ingå i livsmedelsstrategin. Det var precis det jag misstänkte. Det är säkert många fler grejer som kommer att plockas bort under resans gång, men svaret i dag är i alla fall att den delen inte kommer att vara med. Däremot talar ministern om att man kan tänka sig strategier för produktion av öl och vin. Då blir nästa fråga, lite nyfiket, vad en sådan strategi kommer att innehålla, om man nu går vidare i regeringen med att ta fram en gårdsförsäljningsstrategi. Det borde ju vara nästa steg i arbetet med gårdsförsäljning. Fru talman! Det finns ytterligare en sak. Finland införde och godkände gårdsförsäljning tidigt. Det som är möjligt att göra i Finland borde vara möjligt även här i Sverige. Jag ägnade mig lite kort åt att räkna på de förslag som finns i utredningen om vilka mängder alkohol som måste säljas på landsbygden. Det handlar om att sälja 10 000 liter vin per gård. Det låter rätt mycket. Det framgår att en person inte får köpa mer än tre liter. En gård behöver alltså ha över 3 000 besökare per år för att komma upp i den kvoten. Det betyder i så fall minst en busslast besökare i veckan året runt för att titta på gårdsförsäljningen. Man kommer alltså inte att komma upp i dessa kvantiteter. Det kommer självklart att bli en viss kvantitet, men inte alls i närheten av dessa kvantiteter.  Fru talman! Om ministern verkligen vill göra någonting åt folkhälsoproblemen, vilket han ofta lyfter upp, är det nog ännu mer drastiska åtgärder ministern behöver ta till. Då är det nog fråga om att stänga ned Öresundsbron, införa motbok och lite annat för att sänka alkoholintaget. Mycket av vår konsumtion kommer från annat håll. Den kommer sig inte av gårdsförsäljning eller inköp från lokala bryggerier. I stället kommer alkoholen in från våra grannländer. Det är nog ett större problem både skattemässigt och för folkhälsan än om gårdsförsäljning vore tillåten. ","M"
"Boriana Åberg","Fru talman! Här i kammaren är vi alla eniga om att hela Sverige ska leva, både stad och landsbygd. Men när det kommer till handling väljer regeringen att fatta beslut som slår undan benen på de småföretagare som skapar nya jobb, bland annat på landsbygden där jobben behövs som mest. Jag skulle vilja rekommendera ministern en bok som heter <em>Tjugo skånska vingårdar</em>. Boken handlar om entusiaster som trotsar vårt kalla klimat, lägger ned oerhört mycket arbete och följer sina drömmar. Ingen av dem kommer upp i en produktion av 10 000 liter vin. Det är omöjligt. Att odla vindruvor och producera vin i Sverige är ingen verksamhet som hotar folkhälsan. Däremot hotar folkhälsoministerns inställning jobb och utveckling på landsbygden. ","M"
"Åsa Coenraads","Fru talman! Folkhälsoministern säger här i debatten att han tycker att det är ointressant att diskutera svenska mervärden, och han tycker att det är ointressant att diskutera svenska arbetstillfällen. Det är ytterst tragiskt eftersom det är arbetstillfällen som debatten handlar om.  Arbetstillfällen är också vad mycket av valrörelsen handlade om när ministern och hans partikamrater kom till makten. De kom till makten tillsammans med ett annat parti och kallar sig för samarbetsregering. Den här debatten får mig att tro att det kanske inte är ett sådant gott samarbete i regeringen, trots allt, eftersom man får lite olika budskap från olika ministrar.  I det här fallet tycker jag mig ana två olika ståndpunkter från två ministrar från samma parti. Landsbygdsministern säger å ena sidan att svensk livsmedelsexport ska ökas, att svenska mervärden ska värnas och att svenska arbetstillfällen på landsbygden ska värnas. Å andra sidan säger folkhälsoministern, genom att stänga dörren för ökade svenska mervärden med hjälp av gårdsförsäljning, att detta inte alls ska ske. Den region jag kommer från i Västmanland är också den region som folkhälsoministern kommer från. I den här regionen finns inte så många vinproducenter, men det finns många mikrobryggerier av öl. Den här debatten ger ett tråkigt besked för alla de entusiaster som finns i vår region som nu inte får ökade mervärden i form av fler arbetstillfällen och inte kan bidra till mer kunskap om alkoholens påverkan på människor och på sätt förebygga folkhälsoproblem. Kommer ministern att arbeta för eller emot ökade mervärden i livsmedelsstrategin? ","M"
"Jan R Andersson","Fru talman! Jag kunde inte riktigt hålla mig. Jag har suttit här och följt två debatter, och vi får ett tydligt intryck av att statsrådet Wikström anser att det viktigaste skälet till att inte införa gårdsförsäljning är hotet från EU, det vill säga att EU:s domstolar ska lägga sig i och försöka förstöra vår svenska alkoholpolitik. Ofta när EU används som ett retoriskt argument i en debatt handlar det om en bakdörr eller något främmande långt bort som bestämmer över oss. Jag får snarare intrycket att en expertutredning har gett stöd för att det finns en möjlighet att införa gårdsförsäljning. Finland har haft gårdsförsäljning i 20 år, och där har man varit så fräck att man faktiskt har vågat. Det har gått 20 år med gårdsförsäljning i Finland utan att EU-domstolen har lagt sig i, utan att kommissionen, efter viss kommunikation, har haft några synpunkter. Är det verkligen EU som är problemet? Är det EU som gör det så svårt för oss att behålla ett statligt alkoholmonopol när andra länder har lyckats göra det? Nej, fru talman, jag tror inte att det är vad det handlar om. Jag tror inte att det är fråga om lagstiftningen i Sverige eller i EU, utan jag tror att det handlar om politiken.  Man vill inte. Man lyssnar på fel personer. Man lyssnar på nykterhetsrörelsen, som tycker att varje centiliter såld alkohol är en centiliter för mycket. I stället borde man lyssna mer på folket. Lyssna på de människor som försöker utveckla vår landsbygd. Lyssna på de hundratals vingårdsägare som finns i Sverige som kämpar för att skapa någon form av lönsamhet. Jag kan också garantera statsrådet Wikström att de vinodlare som i dag försöker sälja sina produkter är duktiga på de administrativa åtgärder som finns i den omfattande regleringen. Jag har pratat med en vinodlare på Öland som säger att de kommunicerar med ungefär 20 myndigheter, och de gör detta på ett bra sätt. Om något i kedjan av myndigheter klickar går det inte att fortsätta att producera vin. Fru talman! Jag avslutar min del i debatten med att säga att om man vill så går det, men jag tror inte att man vill. ","M"
"Gabriel Wikström","Fru talman! Inläggen från de moderata riksdagsledamöterna ger intrycket att inte bara den svenska landsbygden utan också hela det svenska näringslivet står och faller med möjligheten till gårdsförsäljning. Om det är sant lämnar åtta år med en borgerlig regering ett mycket dåligt betyg efter sig. Tack och lov har det inte gått så illa med Sverige, men det har gått illa nog. Från att ha tagit över 2006 med löftet att sänka arbetslösheten lämnade den moderatstyrda regeringen efter sig en arbetslöshet som var högre än vid tillträdet åtta år tidigare. Trots att man gav löften om att underlätta för småföretagare lämnade man efter sig ett facit där många småföretagare upplever att krånglet har ökat. Trots att man lovade att skapa nya möjligheter har vi snarare sett ett land som inte riktigt håller ihop, där stad och landsbygd ställs mot varandra. Det är ett mycket dåligt betyg för den tidigare moderatstyrda regeringen, om än inte så dåligt att näringslivets och landsbygdens väl och ve står och faller med förslaget om gårdsförsäljning. Gårdsförsäljning handlar i första hand om folkhälsopolitik. Det handlar om våra möjligheter att värna det svenska detaljhandelsmonopolet, som i sig är en grundbult i den svenska alkoholpolitiken. Jag är inte beredd att experimentera med detta detaljhandelsmonopol, och jag är inte beredd att öppna dörren för gårdsförsäljning ens i försöksverksamhet eftersom jag tror att risken för att vi får en dom mot oss i EU-domstolen är mycket stor. Det är en annan bedömning än den som utredaren gjorde, men det här är ett område där olika bedömningar är möjliga att göra eftersom EU-rätten är snårig och eftersom vi vet att EU-domstolens beslut kan vara svåra att förutse. Jag tycker inte att det är som Åsa Coenraads påstod i sitt inlägg - att det finns en diskrepans mellan de uttalanden som jag har gjort och de uttalanden som Sven-Erik Bucht har gjort. Sven-Erik Bucht har talat om villkoren för företag på den svenska landsbygden. Han har talat om att alkoholhaltiga drycker kan spela en roll i detta och att vi också kan ha export av dessa. Han har däremot inte talat om att tillåta gårdsförsäljning enligt utredningens förslag, och det är just det förslaget som jag har stängt dörren för. Jag tror att det finns många möjligheter inom ramen för en ny livsmedelsstrategi men också inom ramen för regeringens övriga landsbygds- och näringspolitik - för att inte tala om utbildningspolitik, välfärdspolitik och i stort sett alla områden - att utveckla den svenska landsbygden. Vi kan se till att skapa förutsättningar för jobb. Vi kan se till att man kan bo och leva på landsbygden och att man har tillgång till kommunikationer, till utbildning och till andra former av välfärdstjänster, kultur med mera. Men jag tror inte att lösningen ligger i att tillåta gårdsförsäljning, i hur liten skala det än skulle ske. Risken är alldeles för stor att vi hotar det svenska alkoholmonopolet, att vi hotar en grundbult i folkhälsopolitiken. ","S"
