"Peter Hultqvist","Herr talman! Mikael Oscarsson har frågat mig när jag tänker tillsätta den utredning som sanktionerats i riksdagen gällande Marinens musikkårs framtid. Försvarsmusiken omfattar i dag tre musikkårer. Det är Arméns musikkår och Livgardets dragonmusikkår i Stockholm och Marinens musikkår i Karlskrona. Totalt omfattar dessa tre musikkårer 113 heltidsanställda musiker. Utöver detta har hemvärnet 26 musikkårer. Regeringen styr Försvarsmaktens verksamhet bland annat genom myndighetens instruktion, regleringsbrev och enskilda regeringsbeslut. Försvarsmakten ska enligt sin instruktion - förordningen (2007:1266) med instruktion för Försvarsmakten - medverka i statsceremonier. Detta innebär bland annat att försvarets musikkårer ska spela vid högvaktsavlösningen och annan statsceremoniell verksamhet. Ett annat exempel är musikkårernas deltagande vid riksdagens öppnande. I bilaga 1 till förordningen med instruktion för Försvarsmakten framgår det att Försvarsmusiken är en enhet under Livgardet. Regeringen har på detta sätt hittills bestämt ramarna för försvarsmusikens verksamhet. Regeringens inställning är att verksamhetens inriktning och omfattning, med bland annat tre musikkårer, i allt väsentligt ska fortsätta som i dag. Denna inriktning har förtydligats i Försvarsmaktens regleringsbrev för budgetåret 2015. Därmed ser jag inget behov av att tillsätta en utredning. ","S"
"Mikael Oscarsson","Herr talman! Jag tackar försvarsministern för svaret. Låt mig först ge en liten bakgrund. Marinens musikkår är landets näst äldsta orkester. Musikkåren har anor sedan 1680 och är en viktig del av det svenska kulturarvet och en central del i världsarvet Karlskrona. Musikkåren är alltså 335 år gammal. Marinens musikkår genomför en mängd olika uppdrag för Försvarsmakten, statsledningen och allmänheten. Musikkåren är ett levande kulturarv som sprider god pr åt Försvarsmakten på förband och regementen i hela landet, gör regelbundna framträdanden på internationella arenor och finns ofta med vid statsceremonier i Stockholm. Musikkåren är inte minst ett viktigt föredöme för framtidens musiker och har rönt stora framgångar internationellt. Marinens musikkår har, som herr talmannen och försvarsministern vet, varit ifrågasatt ett antal gånger. Den senaste debatten slutade med att dåvarande försvarsministern sa att det skulle göras en utredning för att gå till botten med hur det ska organiseras. Det ska tilläggas att det har varit ett stort engagemang för detta. Ett stort antal namnunderskrifter har skickats in. Människor från musikhögskolor, orkestrar och akademier har engagerat sig och även allmänheten. Det har funnits en oro för vad som skulle hända om musikkåren försvinner. Samtliga har ansett att regeringen måste ta sitt ansvar och tillsätta en efterlängtad utredning. Utredningen skulle vara bred och se till Marinens musikkårs lydnadsförhållande och till försvarsmusiken som kulturarv. Låt mig ge försvarsministern en eloge för att musikkåren är räddad. Det är ett viktigt besked, och jag hoppas att det gäller för hela mandatperioden. Men när man bygger ett hus, herr talman, är det viktigt att ha en grund och tänka långsiktigt. Nu är detta en musikkår med långa anor som står på en fast grund. Men jag tror att problemen kommer att komma tillbaka igen som ett slags gummiboll till politiken, om man inte tar ett fast tag. Jag tycker att det finns anledning att titta på omvärlden. I Norge har man exempelvis valt att lägga försvarsmaktens sex musikkårer, fästningar och museer i en egen organisation. Jag tror att man behöver något slags kombination där Kulturdepartementet och Försvarsdepartementet tar ett gemensamt ansvar. Jag tror att en mix skulle vara en framkomlig väg. Jag skrev min interpellation i början av december. Vi skulle ha haft debatten före jul, men det blev ändrade planer. Nu har beskedet kommit att musikkåren är räddad i nuläget, men jag skulle önska att försvarsministern visade handlingskraft, tillsatte en utredning, tittade på en långsiktig lösning och tog vara på det kulturella värde som finns. När man har gjort en utredning har vi alla blivit klokare. Sedan kan vi fatta ett beslut och få en långsiktig lösning på denna viktiga fråga. ","KD"
"Magnus Manhammar","Herr talman! Det är bra att vi har denna debatt om Marinens musikkår och försvarsmusiken i dag. Det är mycket viktigt. Framför allt är det otroligt bra att regeringen och försvarsminister Peter Hultqvist har säkrat musikkårens framtid genom att skriva in den i regleringsbrevet. Regeringen förtjänar ett stort beröm för detta. Marinens musikkår är en nationell angelägenhet och genomför årligen över 100 framträdanden genom medverkan vid officiella statsbesök, kungliga audienser, högvakter, förbandsspelningar och konserter. Musikkårens verksamhet är inte bara statsceremoniell, utan den har också många andra viktiga uppgifter. En är att musikkåren utgör ett stöd till svenska förband både i Sverige och utomlands. Musikkåren har deltagit vid utlandsmissioner i bland annat Bosnien, Kosovo och Afghanistan. Den har deltagit med såväl ceremonimusik som musikunderhållning i personalvårdande syfte. En annan viktig uppgift är att musikkåren har en betydelsefull kulturell roll i Sverige, både historiskt, genom att vara Sveriges näst äldsta musikkår, och i musiklivet i dag. Den har en viktig del i världsarvsstaden Karlskrona och har funnits där i över 300 år. Herr talman! Musikkåren har ett mycket högt anseende i den internationella blåsmusiksfären och är också förebild för såväl professionella som amatörmusiker. Att musikkåren finns är otroligt viktigt för att denna musikgenre kan komma också framtida generationer till godo. Marinens musikkår är verkligen en unik resurs för Sverige men har tidigare flera gånger fått se sin framtid hotad vid budgetförändringar inom Försvarsmakten. Detta har skapat en osäkerhet för verksamheten. Genom att regeringen nu har skrivit in Marinens musikkår i regleringsbrevet är dess existens räddad, och det är mycket bra. Tyvärr ser vi trots detta redan tecken på att Försvarsmakten har för avsikt att kringskära Marinens musikkårs uppgifter och minska dess möjligheter att verka. Från Försvarsmaktens sida låter det ofta som att det är det statsceremoniella som är musikkårens enda uppgift. Men som jag redan beskrivit i mitt tal har musikkåren väldigt många fler och viktiga uppgifter än att spela vid slottet, även om det såklart också är viktigt. Därför vore det, trots den föredömliga handlingskraft som regeringen och försvarsministern har visat genom regleringsbrevet, värdefullt om regeringen kunde göra en översyn av försvarsmusikens uppgifter som helhet inför framtiden. ","S"
"Åsa Lindestam","Herr talman! Jag är väldigt glad att vi får det här tillfället att tala om Marinens musikkår. Jag har själv njutit av tonerna från dem några gånger, och jag tycker att de har en stor roll hos oss. Jag tänker inte gå in på alla uppgifter de har, för det har tidigare talare gjort, utan jag vill diskutera detta med utredningar. I dag samlades försvarsutskottet igen för att titta på krisberedskap, och jag häpnade över alla de utredningar som fanns med i papperen. Att den förra regeringen tillsatte så många utredningar upplevde jag som ett svar på hur politik ska föras. Däremot saknas beslut. Vår nuvarande regering, med försvarsministern i spetsen, tog direkt till sig vad som skulle göras och fattade beslutet att musikkåren ska vara kvar. Jag tycker att det tyder på beslutskraft men också på en väldig styrka från regeringen. Vi kan inte bara lägga pengar på att utreda saker hela tiden och aldrig komma till skott. Den förra regeringen har suttit här i åtta år. Vi har diskuterat musikkåren och behovet av den många gånger. Inte en enda gång har vi kommit till beslutet att den ska vara kvar. Den nuvarande regeringen har haft makten i några få månader och har genast fattat detta beslut. Jag tycker att det är väldigt bra. Musikkåren har hotats av nedläggning under dessa åtta år och har varit på tapeten flera gånger. Vi har stått här i talarstolen och diskuterat, och vi har haft möten med musikkåren. Hela tiden har orosmolnet hängt över oss, men nu har vi ett beslut. Den ska finnas kvar. Det tycker jag är bra. Men vi kan inte hålla på år ut och år in och utreda allt som ska göras, när vi vet vad vi vill. Försvarsministern och regeringen har fattat ett klart beslut, och jag tycker att det är väldigt bra. ","S"
"Peter Hultqvist","Herr talman! Det är den politiska viljan som är avgörande för om olika verksamheter överlever eller om de förändras. Vår politiska vilja är att de tre musikkårerna ska finnas kvar. Därför har vi markerat i regleringsbrevet att Försvarsmakten ska bedriva försvarsmusikverksamhet med i allt väsentligt samma inriktning och omfattning som i dag. Detta innebär att verksamheten ska fortsätta med den inriktningen. Det ger inte utrymme för några större förändringar i verksamheten, utan det är en tydlig signal till myndigheten i fråga. Vi har fört resonemang och förklarat innehållet i regleringsbrevet för Försvarsmakten. Om man utgår från att regeringen har en politisk vilja som ska effektueras är det ett sätt att peka rätt ordentligt när man går in i ett regleringsbrev och tydligt talar om. Om vi tillsätter en utredning öppnar vi upp fältet för en massa olika typer av konstruktioner och finansieringsmöjligheter. Man ska ha klart för sig att ekonomin ligger i intervallet 10-12-15 miljoner. Det är alltså ingen stor post i statsbudgeten. Med den summa pengar detta kostar tror jag att man med en tydlig politisk vilja i sammanhanget kan garantera att verksamheten i allt väsentligt fortsätter med den inriktning och omfattning den har i dag. Jag tycker inte att en utredning behöver tillsättas när vi ändå vill ha musikkåren kvar. Det är inte det ultimata sättet att demonstrera någon sorts handlingskraft. I så fall är det bättre att vara tydlig och säga att orkestern ska vara kvar, punkt slut. Då har man i alla fall varit tydlig i den politiska viljan. Jag har en lång bakgrund i både kommun- och länspolitik, och jag har varit med om rätt många olika konstruktioner för att finansiera verksamheter i stiftelser med samfinansiering från många olika intressenter - näringsliv, folkrörelser, kommuner, landsting och allt vad det nu kan vara - för att klara en ekonomi. Erfarenheten från detta är att det inte är säkert att det är det mest stabila sättet att klara en verksamhets långsiktiga överlevnad. Det blir alltid relaterat till viljan att åter gå in med pengar varje år. När någon svajar och sviktar i finansieringen börjar nästa också göra det. Sedan är man ute på ett gungfly, och då blir kanske verksamheten som helhet ifrågasatt. Att gå in i den typen av finansieringsmodeller är inte med någon självklar logik en lösning på problemet. Men om staten nu anser att man ska ha en statsceremoniell verksamhet inom ramen för Försvarsmakten och att man också ska driva övrig verksamhet inom denna kan det däremot vara tydligare och enklare att reda ut problemet för alla genom att säga att den ska vara kvar. Sedan får man stå för det i budgeten. Frågan är egentligen vad som leder till stabilitet och framgång. Jag tror att en politisk vilja som man uttalar leder till bättre stabilitet än om vi startar utredningsarbete som syftar till en mångfasetterad finansiering. Vi har redan sagt: Vi vill att detta ska vara kvar. Vi har reglerat det i regleringsbrevet. Det är vår politiska vilja, och det kommer vi att försöka jobba för även i framtiden. ","S"
"Mikael Oscarsson","Herr talman! Det var ett viktigt besked att musikkåren ska vara kvar. Det förtjänar du och ditt departement beröm för. Men jag tror att man kan klara av att göra två saker samtidigt. Jag tror att det är viktigt att se frågan långsiktigt. Det blir i längden svårt att tro att Försvarsmakten kan ta ansvar för den kulturella biten. Då tror jag att risken är att bara det statsceremoniella kommer i fokus. I Norge har man organiserat på ett annat sätt. Jag vill hålla fast vid att det är en viktig fråga hur vi löser detta långsiktigt. Ska musikkåren långsiktigt behålla den yttersta klassen av musiker är det viktigt att det känns att det finns en långsiktighet. Musikerna har nu erfarenhet av att det går och att musikkåren blir räddad - det har varit så flera gånger - men sedan blir det en ny kris, och så är man hotad igen. Så fortsätter det. Det är bra att musikkåren har överlevt alla dessa år - det är jätteviktigt. Men det vore viktigt att lösa frågan långsiktigt. Därför hoppas jag få gehör för min önskan om en utredning. Det finns ett beredningskrav. Det uttalades en tveksamhet kring utredningar. Jag håller med om att man inte ska begrava alla frågor i utredningar, och det har ju inte regeringen gjort i den här frågan. Men man kan samtidigt titta långsiktigt på hur man på ett maximalt sätt kan få en mix med både det kulturella, som är Kulturdepartementets ansvar, och Försvarsmakten och Försvarsdepartementet. Den frågan finns kvar att titta på. Samtliga partier har uttryckt stöd för att tillsätta en utredning. I den förra interpellationsdebatten på försommaren deltog flera socialdemokrater. Det var Agneta Gille från mitt eget län, Kerstin Haglö, Peter Jeppsson och Gunilla Carlsson. Det var även deltagare från de borgerliga partierna. De menade att det behövs en utredning, och dåvarande ministern kom också sent omsider fram till samma hållning, vilket var bra. Argumenten finns kvar. Det är ett viktigt besked som nu har kommit om att staten fortsätter ge stöd till verksamheten och att den kommer att leva kvar. Men den långsiktiga frågan kräver fortfarande sitt svar. ","KD"
"Magnus Manhammar","Herr talman! Det är en intressant och viktig diskussion. Själv har jag på olika sätt haft kontakt med Marinens musikkår i hela mitt liv. Jag ser mig som ganska insatt i dess verksamhet och är glad över det försvarsministern säger, herr talman. Det känns lyckosamt att vi nu har säkrat framtiden. Men redan den här veckan har jag fått ny information som visar att det redan finns planer från Försvarsmakten att skära ned budgeten just för Marinens musikkår - även för de andra delarna av försvarsmusiken men framför allt på Marinens musikkår. Det kommer att innebära att det enbart är det statsceremoniella som Marinens musikkår kommer att fortsätta med. Men är det bara det statsceremoniella som blir uppgiften för Marinens musikkår kommer det inte att vara så många professionella musiker som söker sig dit, för det är inte bara det som är det intressanta för en musiker. Jag har själv spelat en hel del och vet vad det innebär, för man vill utvecklas musikaliskt. Därför är det otroligt viktigt att vi har en långsiktig finansiering så att det finns pengar till hela verksamheten, både det kulturella, det för allmänheten och kulturarvet, och det statsceremoniella. Det ska finnas en bred verksamhet för Marinens musikkår. Nu pratar vi om Marinens musikkår, men detta gäller såklart alla tre musikkårerna, också Arméns musikkår och Livgardets dragonmusikkår. Det är egentligen därför jag är uppe och talar om detta. Vi har räddat Marinens musikkår. Det är mycket bra och förtjänar allt beröm. Men vi måste också ha en långsiktig lösning. Exakt hur den översynen ska gå till eller hur vi gör detta kan jag inte svara på här. Men jag vill att vi fortsätter den diskussionen och ser till att vi slipper ha den här diskussionen i framtiden - att det finns ett långsiktigt och stabilt sätt att finansiera Marinens musikkår. ","S"
"Åsa Lindestam","Herr talman! Det här är förstås ett gemensamt ansvar. Men politik är att vilja, och nu vet vi att detta ska vara kvar i allt väsentligt. Det betyder för den skull inte att det ska vara absolut lika. Vi kommer att stå här om ett par månader och diskutera hela försvaret och dess framtid. Det kommer inte att bli en lätt diskussion - det tror väl ingen av oss. Vi vet ju att hela Försvarsmakten borde rustas, men det kostar väldigt mycket. Jag är glad över det fattade beslutet och vet också att hemvärnet har en mängd musikkårer. Det finns många i Sveriges land som tycker om musik och tycker om att spela, till och med tillsammans. Jag vill bara säga igen: En utredning är inte svaret på frågan. En utredning leder inte till att detta ska vara kvar. Den kan lika gärna leda till att det blir en nedläggning. Det måste vi ha klart för oss. Men det beslut som nu är fattat om att musikkåren i allt väsentligt ska vara kvar är ett rejält och kraftfullt beslut. Det betyder att vi kommer att få ha den här musikkåren i en framtid och att den kommer att spela för oss. Det är jag mycket glad för och vill tacka för. ","S"
"Peter Hultqvist","Herr talman! Jag vill bara erinra om några saker. I den förra debatten i kammaren om den här frågan var det ett reellt nedläggningshot som låg över musikkåren. Att kräva en utredning var då ett sätt att hitta en tidsfrist och på det sättet försöka finna en lösning för att garantera någon form av överlevnad. Vårt parti förde från oppositionsrollen diskussioner med den dåvarande regeringen, och ur de diskussionerna kom förslaget om utredning. Sedan blev det ett valutslag som gjorde att det blev en ny regering. Då ansåg jag och andra att det enklaste kanske ändå är att reda ut frågan på ett tydligt sätt och göra slut på den gungflysituation som fanns. Det var att göra en styrning genom regleringsbrevet, och det tycker jag är en rätt stark markering. Man ska alltså komma ihåg den historien. När det krävdes utredning tidigare var det från en helt annan utgångspunkt och med en helt annan hotbild. Detta är kanske en fråga som borde ha varit löst tidigare. Vi hade en annan regering i åtta år som representerade bland annat det underlag som Oscarsson företräder här. Den lyckades inte skapa någon stabilitet och tog inte initiativ till att göra någon reglering i regleringsbrev. Jag kan bara konstatera detta. Ur detta kanske det sedan har skapats den osäkerhet kring framtiden som man nu ska reda ut. Men jag tycker att vi har rett ut den genom att vi i regleringsbrevet har tydliggjort hur det ska se ut. Sedan måste jag markera och upprepa: Tro inte att alternativa finansieringar och olika typer av finansieringskonstruktioner är höjden av stabilitet och leder till att man med automatik klarar finansieringen. Det kan vara en värld som är vansklig att ge sig in i, om detta ska fungera. Om man ska tala om det ur stabilitetssynpunkt är det en ganska stark markering att göra det i ett regleringsbrev. Inte alla verksamheter inom den statliga sektorn omfattas av den typen av markeringar. Åsa Lindestam har väl en poäng i att vi senare under våren kommer att diskutera hela bredden i Försvarsmakten och alla behov som finns. Vi har underskott i personalförsörjningen, materiella behov av stort slag och den militära förmågan som måste öka. Vi har en lång rad saker att ta tag i. Det finns alltså en försvarspolitisk bredd. Och det är där tyngdpunkten i den framtida diskussionen måste ligga. Ett sätt att nå en koncentration på de områdena och att lägga tyngdpunkten i diskussionen där är bland annat att reglera en sådan verksamhet på ett tydligt sätt, så att man har nått stabilitet i den delen. Därmed kan man också ägna kraft och eventuell utredningskapacitet åt den typen av saker. Jag menar att vi ska lösa den här frågan och då kan använda de utredningsresurser som vi har på ett annat sätt. Det är också fråga om ett strategiskt val. Nu säger alla i debatten här att det är bra att vi har gjort regleringen. Och vi kommer att stå fast vid den. Hur andra regeringar kommer att göra i framtiden kan jag inte svara för, men jag kan konstatera att vi hade en regering som satt i åtta år och inte gjorde motsvarande sak. ","S"
"Mikael Oscarsson","Herr talman! Jag tycker att det som försvarsministern var inne på på slutet visar att det blir tokigt när vi sätter trumpeter mot kanoner. Då säger Försvarsmakten såklart att de måste få kanonerna. Därför finns det en finess med den norska modellen. De har gjort en egen avdelning där de har lagt museerna, fästningarna och musikkårerna - som för övrigt är sex stycken i stället för tre. Vi hade sex musikkårer även i Sverige för inte alltför många år sedan. Men tre har lagts ned. Nu har vi minst antal musikkårer per capita i Norden. Vi är nere på lägstanivå. När det gäller utredningar beror det helt och hållet på vilka direktiv som ges, Åsa Lindestam. Om det ges direktiv om att man nu ska spara pengar och eventuellt lägga ned blir det på det sättet. Men om det ges direktiv om att man inte ska lägga ned men att man ska titta på en långsiktig lösning får man en sådan sak. Det är ganska elementärt. Jag vill också tacka för ett mycket bra inlägg av Magnus Manhammar som hade information som är viktig att ta med i debatten. Det går alltså redan rykten om att Försvarsmakten gör ändringar som är neddragningar. Det är ett exempel på att det blir fel när vi sätter trumpeterna mot kanonerna. Därför behöver man titta på en långsiktig lösning. I den här kammaren vet vi att allting inte snurrar kring Sverige och Stockholm, även om vi ofta vill tro det. Vi har anledning att titta på omvärlden. Norge tycks ha hittat någonting som fungerar över mandatperioderna på ett imponerande sätt. Jag vill tacka för beskedet och för debatten. Men det behövs fortfarande en utredning. ","KD"
