"Morgan Johansson","Svar på interpellationer Herr talman! Beatrice Ask har frågat mig om jag och regeringen avser att skärpa straffen för gromning, är beredda att kriminalisera identitetsstöld och i så fall när samt kommer att kriminalisera grovt fordringsbedrägeri. Hon har även frågat mig hur jag och regeringen avser att modernisera det straffrättsliga skyddet mot näthat.  Att förebygga och bekämpa sexuella övergrepp är en högt prioriterad fråga för regeringen. Det har visat sig att tillämpningsområdet för straffbestämmelsen om kontakt med barn i sexuellt syfte - det vi brukar kalla gromning - är mycket snävt och att utrymmet att ingripa innan ett fysiskt möte med barnet äger rum i praktiken blir mycket litet. Genom att bestämmelsen begränsats till skydd för barn mot sexuella övergrepp vid fysiska sammanträffanden har dess praktiska betydelse också kommit att bli marginell. Jag är därför angelägen om att bestämmelsen ses över.  En annan viktig fråga för regeringen är att säkerställa att det finns ett fullgott straffrättsligt skydd mot hot och kränkningar oavsett om de sker på nätet eller annars. Framväxten av internet har inneburit positiva förändringar för yttrandefriheten och den demokratiska debatten. Utvecklingen har emellertid också medfört att hot och andra former av kränkningar av den personliga integriteten har tagit nya former. Det straffrättsliga skyddet för den personliga integriteten måste därför vara anpassat till samhällsutvecklingen och den moderna tekniken.  Som Beatrice Ask vet har en utredare i uppdrag att se över straffbestämmelsen om gromning. En annan utredare har i uppdrag att göra en bred översyn av det straffrättsliga skyddet för enskildas personliga integritet, särskilt när det gäller hot och kränkningar. Respektive utredare ska se över om det straffrättsliga skyddet på dessa områden är lämpligt utformat eller om det bör förändras och i så fall föreslå de ändringar som behövs. Uppdragen ska redovisas i juni 2015 respektive i januari 2016. Jag vill inte föregripa arbetet utan inväntar utredarnas förslag. Däremot kan jag försäkra Beatrice Ask om att när förslagen väl har lämnats är jag beredd att återkomma med de förslag till lagändringar som är nödvändiga.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer När det sedan gäller identitetsstölder leder sådana till stora problem för den som får sin identitet stulen. Trots detta är det - förutom i vissa speciella fall - i dag inte straffbart i sig att olovligen använda en annan persons identitet. Problemet med stöld av identiteter har vuxit under senare år och är i dag tveklöst något som måste åtgärdas. Även förekomsten av blufffakturor har under senare år blivit ett växande samhällsproblem som drabbar många, både privatpersoner och företag. Brottslighetens upplägg och omfattning ställer också rättsväsendet inför särskilda utmaningar. Det är därför angeläget att ytterligare flytta fram positionerna på dessa områden. Egendomsskyddsutredningen har föreslagit en särskild kriminalisering av både identitetsstölder och systematiska fakturabedrägerier. Utredningens förslag har remitterats, och många remissinstanser är positiva till förslagen. Samtidigt lämnar remissinstanserna också en rad synpunkter som vi noga måste överväga i den fortsatta beredningen. Också i dessa delar avser jag att återkomma med de förslag som behövs. När det gäller identitetsstölder avser regeringen att lägga fram ett förslag till kriminalisering redan under våren. ","S"
"Beatrice Ask","Herr talman! Tack, justitieminister Morgan Johansson, för svaret! Men samtidigt beklagar jag att regeringen uppenbarligen behöver mycket tid på sig för att få fram förslag, även om de är viktiga. På något annat sätt kan man inte tolka svaret. Det är bra att vi är överens om att man ska se över gromningslagstiftningen. Det är förfärligt att den inte fungerar trots att den bara är tre år gammal. Men det beror ju delvis på att förövarna har ändrat beteende. Att personer använder nätet för att ta kontakt med barn och utnyttja dem sexuellt är naturligtvis ett stort och allvarligt problem som vi måste agera emot och det skyndsamt. Det som bekymrar mig lite är att Morgan Johansson antyder att han inte bara ska vänta på den översyn som pågår utan också på Integritetsutredningen. Den utredningen ska presenteras i januari 2016. Med sex månaders remisstid och beredning på departementet kommer det inte att bli någon förändring av skyddet för barn förrän 2017. Hur många barn ska falla offer för sexuella, virtuella övergrepp innan dess? Vilken integritet är det egentligen som är hotad när vi pratar om barn som blir utnyttjade sexuellt? Jag begriper inte det. Sedan får vi också veta att det ska komma ett förslag om kriminalisering av identitetsstölder, och det är väldigt bra. Det här är en brottslighet som ökar lavinartat. Jag har sett siffran 48 procents ökning när det gäller att sätta in bedrägerispärrar hos UC under det senaste året. Detta är en ökning som sker väldigt snabbt. Enligt andra rapporter handlar det om kostnader på 2,7 miljarder för bedrägerier, bland annat med hjälp av identitetsstölder. Egendomsutredningen kom med sitt förslag i december 2013. Remissarbetet var slutfört innan ni tillträdde, och ändå lägger ni inte fram propositionen förrän i vår, och det så sent att vi inte hinner behandla den i riksdagen förrän till hösten. Det tar alltså väldigt lång tid för den här regeringen att arbeta.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Sedan förstår jag också av svaret att ni inte vill göra något åt bluffakturorna. Det är grova fordringsbedrägerier som vi skulle behöva göra något åt för att komma åt de kriminella som går ut och \"fiskar\" med tusentals falska fakturor för att lura människor. Den frågan lyfter ni inte ens.  Jag förstår inte riktigt vad det är som skulle vara så svårt. Detta skulle ju också öka effektiviteten i rättsväsendet. I dag är man tvingad att pröva varje enskilt ärende. Med det nya brott som är utrett och som det finns ett färdigt förslag om kan man ju stoppa dessa brott i god tid. Jag förstår inte vad det är som vi ska vänta på. Det är bara bedragarna som vinner på det här, Morgan Johansson. Vad är det som är så svårt med att införa brottet grovt fordringsägarbedrägeri? Jag konstaterar att internet har otroligt många fördelar. Men det är alldeles uppenbart att vår lagstiftning inte riktigt har hängt med. Det är på det här området som brotten kraftigt ökar och kränker människor på många sätt. Därför måste regeringen ligga i framkant för att modernisera lagstiftningen. Regeringen verkar inte ha hängt med. Ni hade en hel del ganska färdiga förslag, och ändå får vi inte propositioner och därmed möjlighet att fatta beslut så snabbt som jag tycker att frågorna förtjänar. ","M"
"Finn Bengtsson","Herr talman! Tack, Beatrice Ask, för en väldigt viktig interpellation och tack, Morgan Johansson, för ett utförligt och i alla stycken bra svar! Jag måste säga att jag är glad att Beatrice Ask på detta sätt jagar ministern. Vi är nog inte så oeniga i sak som det framstår här. Frågan är snarast vad som händer i Regeringskansliet när det gäller att komma framåt och beivra grov brottslighet, inte minst på internet. Morgan Johansson bemöter mycket riktigt alla de förslag som Beatrice Ask för fram, men det finns ett som han inte nämner i sitt svar - det är därför jag ger mig in i debatten - och det är när Beatrice Ask i sin interpellation säger att det närmast är en epidemi av ungdomar som testat och i många fall skadats av droger inköpta via internet. Frågan är hur vi ska komma åt droger på internet. Det är utgångspunkten för mitt resonemang med justitieministern. I en interpellation den 2 december gällde frågan nya droger och klassificering av nya narkotikapreparat. Justitieministern sa då att vi i Sverige har en unik möjlighet genom den så kallade förstörandelagen som infördes 2011. Den hjälper naturligtvis till genom att tullen vid gränsen kan stoppa droger innan de blivit narkotikaklassade som hälsovådliga eller allmänfarliga. Samtidigt säger ministern att man från regeringssidan snabbat upp handlingsrutinerna för att slutligen kunna narkotikaklassificera. Tyvärr räcker det inte, menar jag. Det finns helt andra rörelser i andra delar av världen. Något som jag gärna framhåller är det som man gjort i USA. Där tog man 2012 ett intressant grepp för att snabbare kunna narkotikaklassa preparat genom att utgå från att en viss grundstruktur hade en så kallad farmakologisk verkan, alltså en effekt farmakologiskt. Det skulle vara grunden för att kunna klassificera en påverkan på ens mentala funktioner, som det vanligtvis rör sig om. Det gjorde att man fick en federal narkotikalagstiftning, controlled substances act, och som i det fallet byggde på att snabbt kunna få syntetiska cannabisliknande substanser klassificerade. Det har man inte kommit vidare med i Sverige. Man har utrett det fram- och baklänges i alla år men inte tagit till sig den forskning som bland annat amerikanerna förlitar sig på när de gör så kallade gruppklassificeringar av narkotika. Det finns enligt senare tids forskning möjlighet att göra en så kallad verkansbaserad definition för narkotikaklassificering. Då skulle man i lagstiftningen möjligtvis kunna undanta de substanser som vi vill ha en viss verkan av.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Låt oss säga att vi vill narkotikaklassa olika morfin- eller opiatpreparat. De flesta är redan klassificerade, men vi vill samtidigt kunna ha dem som läkemedel inom sjukvården. Då kan man undanta specifika produkter samtidigt som man kan verkansbasera klassificeringen av andra, syntetiska, produkter som tas fram. Det skulle påskynda möjligheten att kriminalisera det som förs in via internet och där förstörandelagen inte är tillräckligt snabb för att kunna komma åt detta gigantiska problem. Min fråga till justitieministern är om han kan tänka sig att överväga att droghanteringen över internet kan påskyndas i narkotikaklassificeringen genom att ha en så kallad verkansbaserad klassificering som undantar de substanser som vi behöver inom bland annat sjukvården. ","M"
"Hillevi Larsson","Herr talman! Den nuvarande regeringen har inte suttit vid makten särskilt länge. Samtidigt har vi en före detta justitieminister som suttit vid makten i åtta år. Man hinner mer på åtta år än på några månader. Jag tycker därför att vi ska ge regeringen en chans och inte säga att absolut ingenting händer. När man väl har tillsatt utredningarna vill man se resultatet. Det vore olyckligt att hasta fram en lagstiftning om det sedan kommer ett utredningsförslag som går stick i stäv med den och det kanske visar sig att regeringen har missat viktiga delar. Det utredningen syftar till är ju att man ska gå till botten med frågan och inte missa något väsentligt i sammanhanget. Därför tycker jag att man bör följa utredningarna. Morgan Johansson visar tydligt att även om det finns utredningar som jobbar kommer regeringen att agera. Det är inte det som det handlar om utan om att få fram väl genomtänkta förslag när man väl agerar. En sak som ministern utlovar är att det redan under våren ska komma förslag mot identitetsstöld, vilket jag tror är viktigt. Det har ökat enormt. Tyvärr räcker det att någon får tag i ett personnummer; det kan av någon anledning ligga ute på nätet eller en brottsling råkar fånga upp det i något sammanhang. Då kan man genomföra en identitetsstöld. Det innebär att man kan beställa saker i någons namn, man kan ta lån, man kan göra stora affärer. Det kan få långtgående konsekvenser för den drabbade. Det som kan göra brottet ännu allvarligare är att man ändrar uppgifter i folkbokföringen, ändrar adress. Om man tecknat ett avtal får man ofta ett brev hem från banken, men då hamnar det i fel brevlåda. Risken finns att den drabbade inte ens får veta vad som har hänt. Annars finns chansen att så snabbt som möjligt stoppa det hela. Det är skrämmande att det inte är olagligt att kapa någons identitet. Sedan kan det som görs efter kapningen vara olagligt. Att någons identitet stjäls är såklart väldigt tråkigt. Dessutom öppnar det upp för att fler ska begå brottet eftersom det är näst intill riskfritt. Sådana ärenden brukar inte ens följas upp för att få fast den som stulit någons identitet, såvida det inte hunnit begås mycket allvarliga brott.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Detta hänger ihop med bluffakturor, det som också kallas bedrägeri med fakturor och fordringsbedrägeri. Det är ett problem som ökat under många år. Det intressanta är dock att det minskat något under de senaste åren, framför allt 2014. Anmälningarna har minskat. Man menar att det beror på att polisen blivit bättre på att bekämpa den typen av brott. Polisen har gått in snabbare. Så fort det kommer en signal om att det pågår fakturaskojeri börjar fallen utredas. Genom att börja tidigt kan man nämligen ofta komma åt många fall. Det handlar om massutskick. Det skickas ut hundratals eller tusentals bluffakturor. Det är helt uppenbart att påföljden behöver bli hårdare. Det föreslår också utredningen, men regeringen får såklart titta på utredningens förslag, remissvaren och så vidare. Det är intressant att se att när myndigheten agerar snabbt och på rätt sätt kan man komma åt bedrägerierna, vilket är viktigt. Det handlar inte bara om lagarna utan också om hur man arbetar. ","S"
"Morgan Johansson","Herr talman! Jag måste säga att jag är lite förvånad över Beatrice Asks kritik när det gäller tidpunkterna och de utredningar som är tillsatta. Det är hon själv som har tillsatt utredningarna. Det är inte jag som har gjort det. Det är Beatrice Ask och den förra regeringen som gjort det. Det är en välkänd fysikalisk princip, skulle jag vilja säga, att ju fortare man börjar med någonting desto fortare blir man klar. Hade man startat utredningen lite tidigare skulle kanske till och med den förra regeringen ha kunnat gå i land med ärendet. Men nu måste vi jobba med de förutsättningar som den tidigare regeringen skapat. Det gör vi så gott vi kan. Vi har till och med speedat upp jobbet lite. Jag säger i dag att vi redan i vår går fram med frågeställningen om identitetskapningar i form av en lagrådsremiss. När det gäller straffet för gromning, när vi nu ska se över det och skärpa synen på gromning, får vi utredningen om detta i juni. Det var den förra regeringen som skapade den lagstiftningen, men den har visat sig vara undermålig, skulle jag vilja säga. Jag är tacksam över att vi får utredningen så att vi så fort som möjligt kan gå vidare med konkreta förslag till riksdagen. Samma sak gäller grovt fordringsbedrägeri. Det finns ett förslag. Vi har begärt in kompletterande underlag om fakturabedrägeriernas omfattning. Vi får in det i september. Så fort vi har ett lagförslag som är färdigberett kommer vi med det till riksdagen. När det slutligen gäller det straffrättsliga skyddet mot näthat är situationen densamma. Också där jobbar vi med en utredning som den förra regeringen tillsatte. Så fort vi får ett underlag kommer vi att gå vidare med ett förslag till riksdagen. Att lägga skulden på den nuvarande regeringen, som suttit tre månader, för att vi ännu inte löst de här problemen, när den förra regeringen satt i åtta år, tycker jag inte håller. Den kritiken kan jag ta ganska lätt på. Finn Bengtsson tar upp narkotikafrågan och förstörandelagen. Det där är egentligen en annan diskussion. De interpellationsfrågor jag har fått handlar om gromning, identitetsstöld, fordringsbedrägeri och näthat. Det är därför vi svarar på det sätt vi gör. Vi hade en diskussion före jul om vilka initiativ vi kan ta för att öka takten när det gäller hur man klassificerar olika narkotika, och den processen ligger på Socialdepartementet. Jag följer den väldigt noga. Som jag sa då är vi från regeringens sida öppna för att försöka hitta effektivare metoder, också sådana som Finn Bengtsson pekar på.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag vill säga några ord till om näthatet, som är en väldigt viktig sak att klara ut. Den lagstiftning vi har när det gäller ärekränkning och förtal tillkom i en tid när man tog sikte på muntliga ärekränkningar, skvaller på byn så att säga. Då utformades den typen av lagregler. Nu är situationen en helt annan. Man kan sprida bilder på nätet. Man kan sprida mycket elakartat skvaller och förtal. Och du kan aldrig flytta från nätet. Du kan flytta från byn, men aldrig från nätet. Folk kan glömma skvaller till vardags, men på internet blir man så att säga aldrig glömd. Det gör att dessa frågeställningar får en helt annan vidd. Det var därför den förra regeringen tillsatte den här utredningen. Som sagt ser jag det som väldigt viktigt att vi får ett underlag och går vidare till riksdagen med åtgärder som stärker skyddet också i det här avseendet. Här har någonting fundamentalt annorlunda skett under senare tid. ","S"
"Beatrice Ask","Herr talman! Justitieministern är ledsen för att jag kritiserar honom för att det tar för lång tid. Hillevi Larsson rycker ut till undsättning och säger att man måste ge en regering en chans. Ja, gärna! Men när det finns färdigutredda och remissbehandlade förslag som ligger på regeringens bord förstår jag inte varför man låter det hela vänta. Det verkar ta en evinnerligt lång tid för regeringen att komma fram till huruvida man ska lägga fram ett förslag som handlar om gromning. Justitieministern lägger in en brasklapp i svaret. Man ska invänta Integritetsutredningen, vars slutdatum ligger så sent att vi först 2017 kan ha ett förslag som gäller och som kan komma åt de virtuella våldtäkterna. När det gäller Egendomsskyddsutredningens förslag om identitetsstölder, som också är färdigutredda, kritiserade jag det faktum att man inte lägger det lite tidigare under våren. Men uppenbarligen behöver Socialdemokraterna och Miljöpartiet minst ett halvår på sig för att landa i frågan om huruvida man ska förbjuda identitetsstöld eller inte. Jag tycker att det är otillständigt. Precis som Hillevi Larsson säger är detta ett lavinartat och allvarligt problem. Det gäller inte bara allt som kan hända med identitetsstölderna, utan det är även ett stort elände för dem som drabbas att försöka reda upp det hela. Man kan anmäla en bedrägerispärr om man upptäcker att någon är ute med ens egen identitet, men då har man en väldigt inskränkt situation i sin egen privatekonomiska integritet. Man kan inte agera - inte ta lån, inte använda sina kort och allt vad det nu kan vara. Det blir väldigt besvärligt att leva. Det här är alltså ett jättebekymmer som växer. Då tycker jag att det är otroligt viktigt att vi här i riksdagen så snabbt som möjligt kan fatta ett beslut. Jag kritiserade inte regeringen för att den inte lagt fram nya förslag, utan konstaterade att det redan finns färdigutredda förslag. Det finns stöd i remissvaren. Det finns ett underlag. Detta borde gå att hantera någorlunda snabbt. Sedan finns det faktiskt inte i Morgan Johanssons svar något besked om grova fordringsbedrägerier. Hillevi Larsson säger att bluffakturorna har minskat därför att man har gjort så mycket. Nu är det dessvärre inte statsmakterna som har gjort tillräckligt mycket, utan det är framför allt företagarorganisationerna som har bedrivit ett väldigt effektivt upplysningsarbete och lärt många småföretagare att bestrida fakturor. Kronofogden, som jag kan ge en eloge, hjälper aktivt människor att inte vara rädda för kronofogden och de hot som den här typen av bedragare använder sig av.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Problemet är att vi behöver en effektivare lagstiftning när vi ska lagföra bedragarna. En lag om grovt fordringsbedrägeri är ett sätt att komma in tidigare och fånga de lurendrejare som skickar ut mängder av material och försöker fiska bland medborgarna. I stället för att behöva bevisa att var och en har blivit missnöjd kan man då fånga och lagföra bedragare i tid. Det tycker jag vore väldigt bra. Det är också så att många människor som blir lurade av de här skojarna skäms så hemskt över att de varit naiva att de tar på sig skulden själva och inte anmäler brottet. När polisen utreder de här ärendena får man ringa hem till en massa människor som det hänvisas till i bedragarnas räkenskaper och fråga: Ursäkta, men du har möjligen inte blivit lurad? Det är därför det här nya brottet är så viktigt. Men där fick jag inget besked, och det är därför jag frågar: Vad är det som är så svårt? Jag tycker att det är ganska självklart att vi ska göra något åt det här. ","M"
"Finn Bengtsson","Herr talman! Ja, Morgan Johansson, man kan naturligtvis hävda att regeringen har haft kort tid på sig sedan tillträdet för att åtgärda alla de viktiga frågor som Beatrice Ask lyfter fram i sin interpellation. När det gäller problematiken med nätdrogerna, som jag frågade om, konstaterade justitieministern att det är en fråga som är föremål för Socialdepartementets uppmärksamhet och att han följer den noga. Ja, det går bra att följa en fråga som mig veterligt inte har någon styrfart framåt på Socialdepartementet just nu. Därför ville jag lyfta frågan i samband med den här interpellationsdebatten om nätfrågorna. Droger är generellt givetvis i mycket ett medicinskt problem och därmed också ett ansvar för sjukvårdsministern. Men det är också så att till exempel förfalskade läkemedel berör justitieministern och Justitiedepartementet och åligger dem att bekämpa. Regeringen fattar kollektiva beslut. Jag vill lyfta fram frågeställningen, så att justitieministern kan ta med sig den till någon form av öppnande dialog med sjukvårdsministern. Jag kommer säkert att ställa en interpellation om den här frågeställningen till sjukvårdsministern. Då kan det vara bra att veta att det finns juridiska komponenter i detta som bland annat berör nätet. Jag tror inte att Socialdepartementet är så skickligt som Justitiedepartementet på att väga frågeställningar om integritet visavi narkotikaklassning och illegala substanser. Men det är ett samverkansprojekt som vi inte kan se slutet på. Vi måste se hängrännorna mellan departementen när det handlar om nätet och drogsubstanser. Ett exempel är att det finns substanser som heter fentanyler. Det finns ungefär 1 400 sådana substanser som påverkar hjärnan på ett negativt sätt. Av dem har 220 syntetiserats och 30 påträffats, men det är bara 10 av dem som har nått narkotikalagstiftningen, eftersom vi har en gammaldags narkotikalagstiftning. Det är dags för en ny verkansbaserad narkotikalagstiftning. ","M"
"Hillevi Larsson"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Jag tycker att justitieministern har varit tydlig med att alla frågor som tas upp i interpellationen är väldigt viktiga att göra någonting åt. Det finns alltså en tydlig ambition. I något fall finns det en färdig utredning som remissinstanserna lämnat in sina synpunkter på. Då går det snabbare att göra någonting. Ministern utlovar också att identitetsstöld ska förbjudas redan under våren. I andra frågor jobbar utredningar tillsatta av förra regeringen, som ministern nämner. Det vore slöseri med resurser att strunta i de utredningarna. Man ska låta dem slutföra det de håller på med innan man gör någonting. Det finns frågeställningar som absolut inte får tappas bort angående nya typer av brott. Det är just på nätet som brotten växer. Allt mer koncentreras till nätet. Det är viktigt att man kollar ordentligt på förslagen innan man lägger fram dem, så att man inte missar någonting. Ett exempel är gromning, där lagen tyvärr har blivit väldigt tandlös. Det måste vi göra någonting åt. Risken är att man får en tandlös lagstiftning också mot näthat. Det man kunnat se med gromning är till exempel att det krävs väldigt mycket för att man ska kunna kalla det gromning. Dessutom kan det vara svårt att få fram ip-nummer, eftersom det ofta krävs en hög straffsats för att komma åt dem. Det kommer att vara samma problem med näthat. Jag kan ta ett konkret exempel som man ändå får beteckna som näthat. En tidigare bekant till en ung tjej utnyttjade information som han hade om henne med allt från bh-storlek till tidigare pojkvänner, det vill säga allt i deras privatliv, och skapade ett konto i hennes namn. Hon fick tusentals förslag från äldre män och fick byta telefonnummer och allting. Den här typen av handlingar måste också förbjudas. Vi måste täcka in det. ","S"
"Morgan Johansson","Herr talman! Jag vill för klarhetens skull säga följande. För det första: Det finns inget färdigutrett förslag om gromning som ligger på regeringens bord. Det finns en utredning som den förra ministern Beatrice Ask var med och tillsatte och där hon själv satte vilket datum den skulle vara färdig, det vill säga i juni. När vi får in det underlaget kan vi gå vidare till riksdagen. Det gör vi också. Jag tycker att frågan är väldigt viktig. Jag tänker inte vänta till 2016, 2017 eller vad det nu var Beatrice Ask spekulerade att vi skulle vänta till. Den här frågan är viktig, och den måste vi klara ut. Precis som Hillevi Larsson säger är det en lagstiftning som inte har fungerat och som den gamla regeringen är skyldig till och drev igenom, och den har inte fungerat som det var avsett. Vi trodde kanske också att den skulle fungera bättre än vad den gjorde. Nu har vi en utredning för att se hur man kan effektivisera lagstiftningen. Utredningen kommer i juni, och det är Beatrice Ask själv som har tillsatt den. För det andra: Det finns heller inget färdigutrett förslag om näthat. Det finns inget förslag som ligger. Det finns ett utredningsuppdrag som ska vara färdigt i januari 2016. Det är inte jag som har tillsatt den utredningen. Det är Beatrice Ask själv som har gjort det och som också har satt vilket datum som den ska komma. Jag kan försäkra att när vi får ett underlag från den utredningen kommer vi också att vara beredda att gå vidare med den. Som jag sa i mitt tidigare inlägg betraktar jag det som en väldigt viktig fråga. När vi ser på förtals- och ärekränkningsbrotten är de allvarligare nu. Man kan inte flytta från internet och bli glömd på internet. Man kan inte flytta ifrån detta utan kommer ständigt att påminnas om det som läggs ut på nätet.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer För det tredje: Det finns ett förslag om id-kapningar på regeringens bord. Det går vi fram med i vår i en lagrådsremiss, och vi kommer till riksdagen så fort som möjligt. För det fjärde: Det finns ett förslag om grovt fordringsbedrägeri. Där har remissutfallet varit något blandat. Vi behöver göra ytterligare en studie och får ett nytt underlag i september. Sedan går vi vidare också med det så fort vi bara kan. Jag har lite svårt att förstå anklagelserna från den tidigare regeringen om att den nya regeringen som bara suttit i några månader inte har jobbat tillräckligt fort när vi jobbar enligt den tidtabell som den gamla regeringen satte upp. Slutligen vänder jag mig till Finn Bengtsson om frågan om narkotika. Det är utmärkt att vi fortsätter att följa den frågan. Den lämpligaste formen är att göra det i en interpellationsdebatt med det ansvariga statsrådet. Det fungerar så i regeringen att det alltid är ett departement som är ansvarigt för att bereda ett förslag. Sedan kommer också Justitiedepartementet att kopplas in i de diskussionerna. Men det är alltid ett departement och ett statsråd som är ansvarig för frågan. ","S"
"Beatrice Ask","Herr talman! Justitieministern behöver inte berätta för mig vilka utredningar jag har tillsatt eller när de kommer. Jag har heller inte påstått att de utredningar som finns skulle vara färdiga. Det är de naturligtvis inte. När jag läser svaret från ministern ser jag däremot att man tänker sig att det inte räcker med Gromningsutredningen när den landar. Man lägger till Integritetsutredningen i formuleringen, vilket för mig innebär att man kommer att ytterligare försena möjligheten att lägga fram ett skarpt förslag. När det gäller identitetsstöld och grovt fordringsbedrägeri finns det färdigutredda förslag, och de har remissbehandlats. Nu säger justitieministern att det finns lite invändningar mot förslaget om grovt fordringsbedrägeri. Det är möjligt. Men med tanke på hur det ser ut får man nog ärligt talat skynda på där. Vad gäller identitetsstöld hade regeringen kunnat lägga fram ett förslag något tidigare så att man inte hade fallit för den stupstock som finns i riksdagen och tvingat oss att vänta ända tills i höst med en behandling. Vi får väl försöka fundera över om vi kan ha sommararbete i riksdagen eller någonting. Jag tycker att det är oerhört angeläget att få stopp på den typen av kriminalitet. Det är en födko för grovt kriminella. Det dras in hur mycket pengar som helst. Vi måste komma till skott med dessa stölder av människors identitet. Vi måste också stoppa bluffakturorna i bred mening. Vi kan inte förlita oss på alla de åtgärder som andra kan vidta. Det är för kostsamt i processerna att driva varje enskilt ärende. Det vore en fördel om vi så att säga kunde ta brottet och lägga det något tidigare i lagstiftningen. Det är poängen med grovt fordringsbedrägeri. Jag vet att saker och ting tar tid. Så är det. Näthat har jag inte lyft fram eftersom jag är väl medveten om svårigheterna. Men det utvecklingsarbete som pågår är oerhört angeläget. Jag koncentrerade mig på två saker som är färdigutredda. Det jag kan läsa mig till är en försening av något som är oerhört angeläget, nämligen att stoppa övergreppen mot barn. ","M"
