"Anna Johansson","Fru talman! Anders Åkesson har frågat mig på vilka grunder regeringen agerar när man bromsar arbetet för tyngre och längre fordon och när regeringen avser att lägga fram ett förslag som möjliggör för tyngre och längre lastbilar att köra på det svenska vägnätet. Välfungerande och hållbara transporter i hela Sverige är en prioriterad fråga för regeringen. Vårt mål är att minska transportsektorns klimat- och miljöpåverkan. Vi behöver fortsätta effektivisera transportsystemet och öka säkerheten. Regeringen bromsar inte arbetet för tyngre och längre fordon på det svenska vägnätet. Tvärtom, jag är positiv till att Transportstyrelsen och Trafikverket fick i uppdrag att utreda möjligheterna att tillåta tyngre lastbilar på det allmänna vägnätet. Även om många remissinstanser var positiva till förslagen från Trafikverket och Transportstyrelsen fanns det också farhågor från flera om att tyngre och längre lastbilar skulle kunna innebära en överflyttning av gods från järnväg till lastbil med risk för ökade koldioxidutsläpp som följd. Som jag tidigare sagt i kammaren är det viktigt att se till hela transportsystemet, inte bara enskilda trafikslag. Vi vill därför särskilt pröva om eventuella höjda bruttovikter eller längre lastbilar leder till en oönskad överflyttning av gods från järnväg till väg. En höjning av högsta tillåtna bruttovikt till 74 ton kan dessutom, beroende på utformning, innebära ganska stora investeringar i vägnätet, vilket kräver en lämplig finansieringslösning. ","S"
"Anders Åkesson"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Tack för svaret, statsrådet! Om vi ska vara ärliga mot varandra, statsrådet och jag, kan väl ingen av oss vara särskilt nöjd med svaret. Låt mig ge lite bakgrund till problematiken. Vi vet båda att det finns stora samhällsekonomiska vinster och miljövinster att göra genom att möjliggöra för i synnerhet tyngre fordon att köra på det svenska vägnätet. Utvecklar vi det ett snäpp till vet vi vad som händer om vi ökar bruttovikten för lastbilar. Vi nyttjar ledig kapacitet på det svenska vägnätet. Vi får ökad säkerhet eftersom vi sannolikt minskar mängden fordon. Vi minskar energiåtgången med mellan 10 och 25 procent. Följden blir att utsläppen av koldioxid och andra klimatpåverkande gaser minskar i motsvarande grad. Konkurrenskraften ökar för stora delar av landets industri. Sammantaget, fru talman, förbättras konkurrenskraften och samhällsekonomin, och vi minskar miljöpåverkan från transportberoende näringar. För att kunna tillvarata alla dessa samhällsnyttor och möjliggöra transporter med tyngre fordon, alltså tillåta lastbilar med en bruttovikt på upp till 74 ton, tillsatte alliansregeringen en utredning. Således finns det ett gediget förarbete att använda. När jag lyssnar på statsrådet Johanssons svar på interpellationen anar jag ett generellt motstånd mot att effektivisera transportsektorn, men jag noterar också att svaret byggs upp kring ett par felaktigheter eller felaktiga iakttagelser. Det första missförståndet är risken för överflyttning av gods från järnväg till väg med anledning av att vi tillåter en ökad bruttovikt. Landets godstransporter på väg, eller på gummihjul, består i all huvudsak av kortare transporter för byggindustri och skogsvaruindustri, ofta med en snittlängd på under 95 kilometer. Som statsrådet och säkert alla andra förstår finns det inga förutsättningar för en överflyttning av trafik från järnväg till väg vid dessa två mycket dominerande typer av gummihjulstransporter. Byggindustri, anläggningsindustri och skogsindustri står för tre fjärdedelar av vägtransporterna. Det andra missförståndet är att en höjd bruttovikt förutsätter stora investeringar i vägnätet. Som statsrådet väl känner till har vi redan i dag med 60 tons bruttovikt tidvisa bärighetsbegränsningar i det svenska vägnätet. Utredningar som gjorts visar att ca 70 procent av det svenska vägnätet klarar 74 tons bruttovikt. Inventeringar ger vid handen att ca 16 000 broar behöver säkras. Så många som 70 procent av broarna tål den högre bruttovikten 74 ton. Vi skulle alltså hamna på en begränsning i runt 30 procent av det svenska vägnätet. Givet att inte statsrådet hittar investeringsmedel för dessa resterande 30 procent skulle vi alltså kunna klara oss med en mycket begränsad kostnad för att skylta om den tidvisa begränsning som fordras. Om vi då alltså, fru talman, kan avfärda risken för överflyttning från järnväg till väg och även konstatera att problemen med bärighet är begränsade återstår frågan på vilka grunder regeringen egentligen agerar när man aviserar att arbetet med att ge ökad konkurrenskraft till Sveriges näringsliv och samtidigt bidra till lägre klimatpåverkan bromsas.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman och statsrådet Anna Johansson! Vilken är den egentliga orsaken till saktfärdigheten i det svenska Regeringskansliet? Varför kan man inte omedelbart effektuera någonting som bransch, samhälle, bedömare och myndigheter är så överens om vore väldigt värdefullt? ","C"
"Karin Svensson Smith","Fru talman! Diskussionen om klimat och transporter kännetecknas nog inte av saktfärdighet utan snarare av eftertanke. Gör man någonting ska man veta att man gör rätt, och då bör man tänka efter innan man gör det. Jag försöker lägga mig vinn om att ta del av den forskning som finns i Sverige. Vi har ganska hög kvalitet på transportforskningen. När jag har funderat på frågorna i interpellationen har jag tillgodogjort mig två olika rapporter. Den ena är <em>Godstrafik på järnväg </em>av Oskar Fröidh på KTH. Den andra är <em>Effektiva gröna godståg</em> av Bo-Lennart Nelldal. Det är också en rapport från KTH. Om vi ska klara av klimatbetinget för godstransporterna handlar det om att varje transportslag måste bli effektivare, men också om att hitta rätt kombinationer av väg, järnväg och sjöfart för godstransporterna. Det måste vi nog inse. Den förra regeringen tillsatte många utredningar. En av dem ledde till slutbetänkandet <em>Fossilfrihet på väg</em>. Där konstateras att man måste byta bränsle; bensin och diesel måste ersättas av förnybara bränslen. Men för att klara målet måste man också se till att använda mindre energi i transportsystemet. Man måste planera på ett annorlunda sätt, så att varje transportslag blir så energisnålt som möjligt. För att hitta rätt kombination av transporter vill jag insistera på att man tittar på vad det är som avgör hur mycket energi en transport behöver. Det är friktionen, rullmotståndet - gummihjul mot asfalt jämfört med stålhjul mot räl eller skrov mot vatten - som avgör hur mycket energi varje transport behöver. Den slutsats jag drar av de här två rapporterna är att vi inte bara behöver titta på de segment där lastbilen inte har något alternativ. Det är klart att man ska titta på vad som är en effektiv storlek på en lastbil. Men man måste också titta på hur vi kan få längre tåg. Hur kan vi använda järnvägens och för all del också sjöfartens fördelar optimalt? För att man ska förstå och kunna besvara frågorna i interpellationen kan det vara intressant att jämföra olika länder. I USA ligger järnvägsgodsets andel på över 50 procent. Men där får lastbilarna inte väga mer än 36 ton. Det är rätt så troligt att det finns ett samband mellan hur hög andel järnvägen har och hur tung lastbilen får vara. Nu är det inte den enda faktor som avgör, men det är en ganska viktig faktor. Jag är väldigt bekymrad, inte bara över hur vi ska få lastbilstransporterna av gods att nå de transportpolitiska målen, utan också över det faktum att järnvägstransporterna av gods faktiskt minskar. Det är mycket bekymmersamt. Jag har besökt Trelleborg, som ligger i min valkrets. Där har man tittat på godset som kommer in via Trelleborgs hamn, och järnvägstransporterna har minskat med 75 procent sedan 2003 medan lastbilstransporterna ökat med 75 procent. Ska vi fundera på vad som är effektiva lösningar med minimal klimatpåverkan för de godstransporter vi behöver måste vi titta på såväl lastbilar som järnväg och sjöfart. ","MP"
"Edward Riedl"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Min allianskollega Anders Åkesson från Centerpartiet gav en bra redogörelse. Men jag kände ändå att jag ville komma upp i debatten, för jag oroas lite när jag hör ministern prata om att hon inte riktigt vet vad hon tycker och tänker om att svensk åkerinäring skulle bli mer miljövänlig och mer kostnadseffektiv. Det var nämligen precis vad ministern sa. Hon var inte riktigt säker på om hon var positiv till att vi ökar konkurrenskraften för svensk åkerinäring. Om varje lastbilschaufför kan transportera mer gods får vi högre produktivitet och lägre utsläpp från det vi ska transportera. Då säkrar vi jobb i Sverige. Vi säkrar också ett fortsatt högt löneläge för svensk åkerinäring. Jag skulle gärna vilja att ministern utvecklade sin syn på det här. Inte tänker väl regeringen jobba emot hela den åkerinäring vi har i Sverige genom att göra den mindre effektiv? ","M"
"Anna Johansson","Fru talman! Nej, regeringen har inte för avsikt att motarbeta effektiva och hållbara transporter. Regeringen har heller inte för avsikt att försvåra för en bransch som är viktig för att Sverige och dess exportindustri ska kunna fungera. Däremot är regeringen angelägen om att det är just hållbara transportsystem vi utvecklar för framtiden. Det handlar då om hållbarhet ur alla tre perspektiv: ekonomiskt, ekologiskt och socialt. I denna ekvation har naturligtvis transportpolitiken en viktig roll. Även om merparten av lastbilstransporterna sker på kortare sträckor innebär inte det att det inte finns en risk för överflyttning från järnväg till väg om de långa transporterna relativt sett blir för billiga. De senaste åren har vi sett att fler och fler transporter sker med lastbil och färre och färre med tåg. Vi kan nog ändå vara överens om att tåg är ett mindre miljöbelastande sätt att transportera människor och varor än bil. Därför vill vi säkerställa att de förändringar vi gör får precis alla de positiva effekter som Åkesson redogjorde för från talarstolen, men utan att få de negativa effekter som det faktiskt finns en viss risk för. Det är regeringens ambition när vi ska lägga fram förslag om vilka vikter som ska vara tillåtna på det svenska vägnätet. I detta arbete behöver det göras en ordentlig inventering av vilka vägsträckor som behöver en bättre bärighet för att tåla de högre vikterna. Det är inte på de långa sträckorna på Europavägarna som vi vill ha vägtrafiken, utan från skog till fabrik, det vill säga för skogsindustrins behov. Då är det naturligtvis viktigt att utreda vilka investeringsbehov som finns på de vägsträckorna innan vi går till beslut. Det handlar inte om att motverka eller förhala något, utan om att se till att göra rätt från början. Det är regeringens absoluta ambition i den här frågan. ","S"
"Anders Åkesson","Fru talman! Tack för svaret! I politiken och även i andra sammanhang talar man ibland om lågt hängande frukter. Då menar man oftast de åtgärder som mycket snabbt ger en för många områden positiv och god effekt. Vi har väl sällan, fru talman och ministern, sett en sådan så lågt hängande frukt som att snarast genomföra 74 tons bruttovikt för det svenska vägnätet och lastbilarna som vi ser nu.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer I kväll finns det i sammanhanget skäl att nämna två nuvarande regeringskolleger till statsrådet Anna Johansson. Så sent som för drygt ett år sedan, den 14 januari 2014, skriver de en debattartikel i Dagens Industri. Rubriken var \"Tillåt tyngre lastbilar\". \"För att klara jobben och få ned arbetslösheten är det centralt att vi har en konkurrenskraftig skogs- och basindustri. Transporter utgör en betydande del av industrins kostnader. - - - Utvärderingen visar att möjligheten att lasta tyngre sänker företagens transportkostnader med upp till 20 procent. Dessutom minskar utsläpp av såväl koldioxid som andra miljöföroreningar med upp till tio procent per transporterat ton. Samtidigt har de modifierade lastbilarna varken medfört högre vägslitage eller försämrad trafiksäkerhet. Svenska åkerier får dessutom möjlighet till ökad specialisering och stärkt konkurrenskraft. Socialdemokraterna har vid upprepade tillfällen motionerat i riksdagen om att förändra lagstiftningen så att tyngre lastbilar blir en möjlighet - utan att få gehör. Den svenska regeringen väljer att rulla tummarna. Andra regeringar visar emellertid handlingskraft. Från den 1 oktober 2013 är det i Finland tillåtet med tyngre lastbilar av den typ som utvärderats i Sverige. Man har helt enkelt tittat på de svenska studierna och skridit till verket. Sverige har en god möjlighet att genom en enkel regelförändring stärka den svenska industrins konkurrenskraft och samtidigt minska utsläppen från godstransporterna på våra vägar. Den möjligheten bör regeringen ta vara på. Vi sträcker ut en hand - och kommer att stödja ett förslag om att tillåta både längre och tyngre lastbilar om regeringen lägger fram det.\" Den här debattartikeln, fru talman och Anna Johansson, var undertecknad av Magdalena Andersson, numera finansminister, och Anders Ygeman, numera inrikesminister. Jag kunde inte ha uttryckt det bättre själv. Vad är det då som har hänt? För ett år sedan mötte vi en mycket välvillig inställning från det i dag regeringsbärande partiet Socialdemokraterna. Men i dag är det kalla handen från samma parti i en regering som tillsammans med Miljöpartiet tar ansvar för att leda landet. Jag ställer därför om frågorna till statsrådet Anna Johansson. Jag väljer då att initialt citera de nuvarande finans- och inrikesministrarna: Den svenska regeringen väljer att rulla tummarna. Andra regeringar visar emellertid handlingskraft. Vad är den egentliga orsaken till den saktfärdighet vi nu ser prov på? Är det så att Miljöpartiet som regeringskollega i denna liksom i en rad andra liknande frågor agerar stoppboll för Anna Johansson? Om det inte är så att Miljöpartiet blockerar frågans snara lösning, vad är det då egentligen som hindrar statsrådet från att lägga fram förslag som möjliggör för tyngre lastbilar att snarast börja trafikera? Statsrådet talar om säkerställda åtgärder innan beslut, och det är bra. Men när kan vi förvänta oss ett beslut, statsrådet? ","C"
"Karin Svensson Smith"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Att Alliansen värnar om svensk åkerinäring framgår. Men det gör faktiskt också vi på den rödgröna sidan. Av den anledningen har vi bejakat förslagen om åtgärder mot cabotage, att tillåta klampning och att försöka effektivisera och göra konkurrensen i åkerinäringen sund. Det handlar om att på sikt se till att man har samma avgiftssystem så att även utländska åkerier får betala det som svenska åkerier får. Så värnar man om en näring. Men varför är Alliansen så blind för utredningsförslagen i den utredning som ni själva tillsatte, <em>Fossilfrihet på väg</em>? Där talar man kraftfullt om kombinationer av transporter där Sverige har unika möjligheter med en lång kust, 52 hamnar och ett järnvägssystem som har kapacitet för gods. Jag vill referera till den forskningsrapport jag nämnde förra gången jag var i talarstolen av Bo-Lennart Nelldal. Där visar man på olika system för kombitransporter. Man nämner till exempel Megaswing. Jag skulle rekommendera allianspartierna att besöka det företaget. Det är en unik metod för att flytta gods mellan väg och järnväg. Man borde inse att alla transportslagen behövs. I rapporten konstaterar man också vad de så kallade HCT-bilarna är bäst på. Det är fjärrtransport. De får motsatt effekt när det gäller kombitrafiken. Den får svårare att konkurrera på korta avstånd. En viktig fråga är således om HCT-bilar kan användas för matartransporter. Det har man diskuterat i kombination med järnväg och funnit att det är ett av de stora problemen för att utnyttja järnvägen till det den är bäst på och lastbilarna till det de är bäst på. Jag vill återvända till att det framför allt är skogsindustrin där det finns en ganska logisk fundering kring om man kan effektivisera lastbilstransporterna. Men för motorvägsnätet är vi inte så intresserade av att ha fler lastbilar. ","MP"
"Edward Riedl","Fru talman! Politik handlar väldigt ofta om att välja. Om det inte vore så att vi ställdes inför svåra val och ibland oförenliga val vore politikens uppgift ofta väldigt enkel. Ministern säger sig vilja göra lastbilstransporter både dyrare och mer miljöbelastande än vad de egentligen behöver vara. Hon säger det givetvis för att blidka det samarbetsparti man har i regeringen, Miljöpartiet, med motiveringen att flytta över gods på järnväg. Vi förstår ju att det är på det sättet det förhåller sig. Ni har ändrat era ståndpunkter före valet till efter valet i fråga efter fråga i diametralt annan riktning. Jag tror egentligen att Anna Johansson är väldigt positiv till detta. Samtidigt försöker hon låta positiv till tyngre lastbilar. Men i slutänden är dessa båda ståndpunkter oförenliga. Man kan inte göra både och samtidigt. Om Finland tillåter tyngre lastbilar än Sverige, vilket man har gjort, försämras konkurrenskraften för till exempel den svenska skogsnäringen. Då hotas jobb och höga lönenivåer i Sverige för att denna regering är alltför saktfärdig och inte följer med i sin tid. Det vore olyckligt, fru talman. ","M"
"Anna Johansson"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Det är naturligtvis så att politik alltid är att ställas inför svåra val och svåra prioriteringar. Men i just den här frågan är det egentligen inte så vansinnigt svårt. Vad det handlar om är att vi vill ha de goda effekterna av att flytta över mer miljöpåverkande lastbilstrafik till mindre miljöpåverkande lastbilstrafik utan att samtidigt skapa incitament för att flytta över ännu mindre miljöpåverkande trafik från järnväg till väg. Svårare än så är det inte. Vi vill se till att utforma de förslag som vi lägger fram på ett sådant sätt att vi får både de positiva miljöeffekterna och de ekonomiska effekterna utan att få de negativa effekterna på köpet. Jag noterar att allianspartierna inte en enda gång har berört de farhågor som flera av remissinstanserna lyfte fram i sina remissvar. De handlade just om att det finns en risk att gods flyttar över från järnväg till väg. Jag tolkar det som ett genuint ointresse för att den risken skulle kunna bli verklighet. Vi är beredda att ta ansvar för hela Sveriges utveckling också på transportområdet. Men vi ska se till att det vi gör blir rätt från början. Då är det i det här sammanhanget inte bara att trycka på en knapp och säga att nu får alla köra 74 ton var som helst. Man behöver först och främst ta reda på var det är möjligt, vilka åtgärder som krävs för att det ska vara möjligt där det är önskvärt och vilka åtgärder som behöver vidtas för att inte få de negativa effekterna. Det arbetet pågår. Så fort det är färdigt kommer riksdagen att ställas inför möjligheten att fatta beslut i frågan. Men vi ska se till att det blir rätt beslut - inte fel beslut. ","S"
"Anders Åkesson","Fru talman! De grunder för att avstå den mycket lågt hängande frukten - 74 tons bruttovikt på svenska vägar - som statsrådet har framfört saknar relevans. Dock blir jag, Johansson, lite hoppfull. Jag anar mig till en vilja från statsrådets sida att i alla fall överväga att höja bruttovikten på svenska vägar. Då är frågan: När kommer det att ske? I sitt svar upprepar Johansson att det är risken för överflyttning av gods från järnväg till väg och rädslan för omfattande bärighetsbegränsningar som avhåller regeringen från att omedelbart besluta om höjd bruttovikt. Jag hävdar att detta ställningstagande i bästa fall bygger på missförstånd och i värsta fall bygger på ovilja. Risken för överflyttning för den dominerande typen av gummihjulstransporter eller vägtransporter finns inte, eftersom det framför allt handlar om kortare transporter för bygg- och anläggningsindustrin och transporter med en medeltransportlängd av 95 kilometer för skogsindustrin. Det är de dominerande transportlängderna och transporttyperna i vårt land, och där kommer ingen överflyttning att ske. Det andra missförståndet om bärighet har jag redan rett ut. 70 procent av det svenska vägnätet skulle redan i dag kunna klara de vikter på 74 ton som vi talar om. Då är det fråga om att Johansson måste ställa några få miljoner till Trafikverkets förfogande för att skylta om. Det är med förvåning jag ser att regeringen har försatt sig i en situation av handlingsförlamning, att inte göra någonting. Det innebär att man blundar för en massa vinster för miljön, som vi inte på något vis bortser från, och företagens utveckling. Men tack för debatten, Anna Johansson! Vi fortsätter den. ","C"
