"Landsbygdsminister Sven-Erik Bucht","Herr talman! Anders Ahlgren har frågat mig hur min vision ser ut för hur Sverige ska få en tydlig nationell strategi för tillväxt och grundläggande service i hela landet. Låt mig inleda med att säga att regeringen anser att det behövs fler jobb och hållbar tillväxt i alla delar av landet. Hela landet ska bli bättre att leva i. Att fler kvinnor och män finner ett jobb är avgörande för att hålla ihop Sverige. Dessutom är växtkraften i entreprenörskap och småföretagande avgörande för hela Sveriges utveckling. Med fler jobb skapas också förbättrade förutsättningar att utveckla skola, vård och omsorg samt en välfärd att vara stolt över. Regeringen bedriver en modern och aktiv regional tillväxtpolitik, landsbygdspolitik och näringspolitik för hela landet. Regionerna ska ges möjligheter att växa och utvecklas efter sina förutsättningar, såväl i städer och tätorter som på landsbygden. Ju fler regioner som är starka och expansiva, desto bättre. Den bästa kunskapen om vad som behövs för att utveckla landets regioner och landsbygd finns på plats ute i landet. Därför ligger också huvudansvaret för de regionala tillväxtresurserna hos länen. Tillgängligheten till olika typer av service är en viktig förutsättning för att skapa attraktiva miljöer där människor vill bo och verka. Därför lyfts just servicen fram som en viktig del av prioriteringarna inom den regionala tillväxtpolitiken. Regeringen vill även gå vidare och utveckla servicepunkter på landsbygden. Det handlar till exempel om livsmedelsbutik, apotek, postservice och bensinmack. Även tillgång till bredband och ett väl fungerande transportsystem är viktigt. Inom landsbygdsprogrammet möjliggör regeringen exempelvis en betydande satsning för att utveckla lokal service. Medlen för service ska användas dels till projekt som utvecklar lokal service i gles- och landsbygd, dels till investeringsstöd för dagligvarubutiker och drivmedelsanläggningar. Regeringen avser att i början av nästa år återkomma med en nationell strategi för regional tillväxt och attraktionskraft. Här avser vi att tydliggöra regeringens prioriteringar för regional tillväxt fram till 2020. Sammanfattningsvis vill jag säga att tillsammans med länens egna prioriteringar och insatser skapar regeringens satsningar inom den regionala tillväxtpolitiken, landsbygdspolitiken, näringspolitiken och andra politikområden mycket goda förutsättningar för hållbar regional tillväxt i alla delar av landet. ","S"
"Anders Ahlgren","Herr talman! Jag ska börja med att tacka landsbygdsministern för svaret på interpellationen. Det känns angeläget att vi uppmärksammar den snabba omställning som nu sker i vårt land. Urbaniseringen går allt snabbare. Därför är det också intressant att höra minoritetsregeringens idéer om hur man löser tillväxtfrågor i hela landet, särskilt efter att i riksdagen under flera år ha lyssnat till nuvarande regeringsledamöter som alla har haft klara uppfattningar om hur frågor ska lösas. Människors möjlighet att bo, leva och arbeta utanför de större städerna, det vill säga i landsorten, förutsätter att det finns jobb. Då måste vi ha en politik som gynnar skapande av jobb i nya och växande företag och en miljöpolitik som ger förutsättningar för en hållbar tillväxt. Det kan framstå som helt logiskt, men vi är alltför få som driver en sådan politik. Sverige utanför de stora städerna har en stor potential. I de små företagen skapas många nya jobb, ofta i Småortssverige och på landsbygden. Men om jobben ska bli fler måste vi helt enkelt underlätta för dem som skapar jobben, det vill säga företagen. I landsbygdsministerns svar utlovas detta: \"Hela landet ska bli bättre att leva i. Att fler kvinnor och män finner ett jobb är avgörande för att hålla ihop Sverige. Dessutom är växtkraften i entreprenörskap och småföretagande avgörande för hela Sveriges utveckling.\" Samtidigt kan vi konstatera att minoritetsregeringens framlagda budgetförslag har en annan inriktning. Jag tar några exempel. Det föreslås en kilometerskatt på 14 kronor per mil, så kallad skatt på avstånd. Vem drabbas hårdast när timmerbilarna kommer att kosta 280 000 kronor mer om året att köra eller när kostnaden för varudistributionsbilen kraftigt ökar? Det kommer att drabba många av landsortens exportföretag, som får ökade kostnader och sämre konkurrenskraft. Man föreslår slopade ungdomsbonusar, det vill säga höjd arbetsgivaravgift för unga. Jag ska be att få ta två exempel från mitt eget område. Sälenfjällen rekryterar just nu 2 300 säsongsanställda. Merparten är under 26 år. Om vi räknar ut vad detta innebär kan vi räkna med 20 000 kronor i månadslön för ungefär 2 000 ungdomar i sex månader, det vill säga att turistnäringen i Sälenfjällen får betala 36 miljoner kronor till per år för att skapa dessa jobb. Det handlar om ökad beskattning av privatpersoner, sänkta gränser för statlig skatt och avtrappning av jobbskatteavdrag. Efterfrågan kommer att minska när det gäller jobb efter en särskild löneskatt på de äldre som har fyllt 65 år. I dag kom en rapport om hur detta drabbar sjukvården. Jämtlands läns landsting får en ökad kostnad på 7,2 miljoner om året på grund av detta. Vi kan göra listan lång. Jag vill avsluta med att fråga landsbygdsministern: På vilket sätt förbättrar alla dessa kostnader för människor och jobbskapande företag den regionala tillväxten och utvecklingen? ","C"
"Daniel Bäckström","Herr talman, ärade ledamöter och minister! Att jobba med lokal utveckling och med fokus på tillväxt och landsbygdens framtid är både viktigt och angeläget i en tid som denna. Oerhört många människor engagerar sig, och man gör många ideella insatser för att få en hållbarhet och en framtidstro i stora delar av landet. Det är ett oerhört viktigt arbete som behöver ingå i det nationella, det regionala, det lokala och det kommunala arbetet. Jag har tagit del av svaret när det gäller ambitioner och strategi för framtiden. Landsbygdsministern nämner att regeringen för en aktiv och modern landsbygdspolitik. Jag skulle vilja få mer konkret beskrivet vad det är som är modernt med regeringens landsbygdspolitik. Var finns de nydanande recepten? Var finns förslagen som ger bygderna större frihet att driva konkreta utvecklingsprojekt? Var finns de flexibla möjligheterna och modellbyggandet? Var finns de angreppssätt som skulle kunna räknas till ett modernt sätt att driva landsbygdsfrågor? Var finns engagemanget i att koppla ihop det lokala perspektivet med det regionala, som ministern nämner, i det viktiga tillväxtarbetet för att få fart på alla regioner? Hållbar tillväxt är oerhört viktigt. Jag tycker att det är görviktigt att prata så konkret som möjligt för att nå resultat. Det är vi vana vid. En daglig utmaning är jobben, som ministern tar upp. Metalls ombud nämner i den senaste dagstidningen att det sedan finanskrisen 2008 har blivit 3 500 färre jobb inom Metalls område för Värmlands del. Och alltsedan 2012 är det 1 000 färre jobb inom det verksamhetsområdet. Senast i går kom det också ett varsel om ytterligare 127 tjänster som ska bort från Rolls Royce i Kristinehamn.  Det är förändringar som vi lever med och exempel på hur det kan se ut i en region i landet i dag. Det handlar om många jobb och om många familjers möjlighet till framtida försörjning. Det handlar inte minst om tillväxten för regionen framöver. Hur kommer ministern tillsammans med sina kolleger i regeringen att aktivt verka för att vända den bilden och konkret skapa de jobb som han nämner i sitt svar? Jag tänker på ytterligare ett område, nämligen den pågående översynen av det utökade strandskyddet som kammaren har beslutat om och som nu verkställs. Snart är det en månad kvar för samtliga länsstyrelser att bli klara med uppgiften. Ambitionen var att utveckla möjligheterna för attraktivt boende. Ministern nämner i sitt svar att de goda miljöerna och möjligheterna att bo attraktivt är viktiga samt att det är viktigt att stärka en region och en bygd genom att folk har möjlighet att bygga. Tyvärr föreslås det på flera sträckor rejäla ökningar i stället för minskningar. Man har tidigare ökat strandskyddet från 100 till 150 meter, och nu föreslås det till 300 meter. Ofta går det inte att se särskilt tydliga motiveringar till utökningarna. Och detta sker i en tid då vi behöver gå åt andra hållet och erbjuda möjligheten att bygga i attraktiva lägen åt fler. Vilken inställning har ministern till det pågående arbetet? Avser ministern att konkret följa upp respektive länsstyrelses arbete för att möjliggöra attraktiv utveckling i strandnära lägen? ","C"
"Anders Forsberg","Herr talman! Jag vill tacka landsbygdsministern för svaret. I svaret har landsbygdsministern angett att regeringen kommer att återkomma nästa år med en nationell strategi för regional tillväxt och attraktionskraft. I den avser man att tydliggöra regeringens prioriteringar för regional tillväxt. Som de tidigare debattörerna har lyft fram är det mycket teori här men dessvärre lite praktisk politik. Jag tror att de som bor ute på landsbygden verkligen vill se att någonting händer i verkligheten. I dag verkar det som att det politiska etablissemanget, nästan från höger till vänster, har bestämt sig för att vända landsbygden ryggen. Det tycker Sverigedemokraterna är oacceptabelt. För oss är landsbygden mer än vackra ord. Och vi omsätter det i praktisk politik. Vi kan till exempel diskutera milersättning för reseavdrag. I vår budget föreslår vi bland annat att den höjs med 4 kronor. Det fanns ett gammalt förslag från Centerpartiet som har förvunnit någonstans; jag vet inte var. Det ska inte vara ett straff att bo på landsbygden. Man ska väl inte behöva betala för att man inte har tillgång till exempelvis kollektivtrafik och så vidare? Vi talar också om det svenska djurskyddet och om näringspolitiken generellt. Men framför allt verkar det vara ett slags tyst samförstånd att lämna landsbygden i sticket. Jag vill återigen fråga: Är det landsbygdsministerns ambition att vi kommer att få se praktisk politik och inte teoretiska övningar? ","SD"
"Landsbygdsminister Sven-Erik Bucht","Herr talman! Det är viktigt att kunna bo och leva i hela landet. Landsbygden har för lite jobb, och jobb är en förutsättning för att man ska kunna bo och verka där. Men ibland kan man kanske också pendla. I så fall måste man även ha god service. Det är två jätteviktiga saker när det gäller att kunna bo, leva och verka på landsbygden. Det handlar om jobben men också servicen. Urbaniseringen i Sverige är starkast i Europa, Anders Ahlgren. Under era åtta år har 15 000 jobb försvunnit på landsbygden, inte bara inom jordbruket; massor av livsmedelsbutiker har också försvunnit. Det fanns 2 900 då. Nu är de 1 200. Mobiltelefoner som fungerade tidigare fungerar inte, och bredbandet är inte utbyggt. Det finns alltså jättemycket att ta tag i, oerhört mycket. När miljarden till kommunerna, som är de som ska svara för servicen, skulle fördelas ställde sig Centerpartiet också i ledet och fördelade pengarna till de tio rikaste kommunerna. Det var inga landsbygdskommuner. Utmaningarna är alltså väldigt stora. Vi tillsätter nu en parlamentarisk kommission som ska titta på och även komma med förslag på effektiva åtgärder för landsbygden. Jag hoppas att också Centerpartiet kommer att delta aktivt i den. Det är jätteviktigt att vi hittar förslag som vi kanske kan enas om över partigränserna. Livsmedelsstrategin är en annan åtgärd som är oerhört betydelsefull för landsbygdsutvecklingen i förlängningen. De gröna näringarna - produktionen inom jordbruk, trädgård, livsmedelsindustri, förädlingsindustri och även handel och export - är också viktiga instrument för att vända utvecklingen. Sedan har vi också strukturmiljarderna, 16 miljarder, som fördelas regionalt. Det är Strukturpartnerskapet runt om i landet som ska prioritera hur de pengarna ska fördelas. Vi har också det nya, Lokalt ledd utveckling, där det finns ungefär 2 miljarder för att lägga ut utvecklingen på den lokala nivån och där man kan få pengar från alla fyra program. Det är det nya. Det kommer alltså en massa saker som är förutsättningar för att vi ska kunna vända den här utvecklingen. När det gäller det utökade strandskyddet fanns det väl direktiv från någon annan? De här direktiven har inte kommit på sju och en halv vecka, eller har de det? Jag har en bild som visar det tudelade Sverige. Jag ska visa den för ledamöterna efter debatten. Det är en bild från den här stora staden, Stockholm, där man bygger ute långt ute i vatten. Men jag har också bilder från Arjeplog med 9 000 sjöar och 3 000 invånare. Där ligger inget nära vatten. Det ser alltså lite olika ut i det här landet. Jag hoppas att vi kan förändra det här tillsammans. ","S"
"Anders Ahlgren","Herr talman! Det är en bra eftermiddag när vi får tala om regionalpolitik här i kammaren. Det sker alltför sällan. I mångt och mycket tror jag att vi har en samsyn i sättet att se på svensk landsbygd. Jag skulle till och med vilja säga svensk landsort, det vill säga allting utanför de stora städerna. Då blir det regionalpolitik. Vi ska alltså inte förminska frågan utan verkligen titta på hur det ser ut. När det gäller strandskyddet handlar mycket om tillämpning och att vi får ett rimligt sätt att hantera det ute i våra länsstyrelser. Det är klart att det vore önskvärt att ha en differentierad syn på strandskyddet. I dag pågår en process i alla era länsstyrelser där man tittar på ett utökat strandskydd. Därför är det också viktigt att vi engagerar oss i den frågan, regionalt och lokalt. Jag förväntade mig i dag att få en beskrivning i svaret av de åtgärder som landsbygdsministern har beskrivit så väl som riksdagsledamot under de fyra år som har gått. Jag tittade i systemet hur många gånger ministern hade talat om till exempel mobiltäckning. Det var 82 gånger. Ministern hade också talat om bredband 87 gånger och servicepunkter 5 gånger. Ministern är väldigt kunnig på områdena, och det hade varit intressant om det hade funnits en åtgärdsplan i det lite mer vidlyftiga svar som ministern har lämnat. Jag ska beskriva lite mer vad som händer på landsbygden, eller i landsorten som jag föredrar att kalla det. Sverige klyvs, mönstret håller i sig och urbaniseringen fortsätter. Det gäller inte bara landsbygd utan också landsort, det vill säga Sverige utanför de större städerna. Alldeles nyligen kom SCB med statistik över 2013 där man kan läsa att det flyttar drygt 3 000 per dag, vilket betyder att 1,2 miljoner flyttar under ett år. Var sjätte person som flyttar lämnar sitt län. Vilka är det då som flyttar? Jo, det är unga vuxna, och det är barnfamiljer. Snittåldern är 31 år. Norrlandslänen tappar som vanligt, men problemet har krupit söderut till Värmland, Dalarna och också till Småland. Den berör också län som Gotland, Örebro, Blekinge, Gävleborg, Norrbotten, Västernorrland, Jämtland, Västerbotten, Jönköping och Kalmar. Störst nettoutflyttning har Kronobergs län. År 2013 hade 13 av 21 län ett negativt flyttnetto. Nära 60 procent av Sveriges 290 kommuner har ett negativt inrikes flyttnetto, det vill säga 174 kommuner tappar till följd av flyttning. Vinnarlänen är som vanligt storstadsregionerna som Stockholm, Göteborg och Malmö men också län som Halland, Västmanland, Uppland, Östergötland och Sörmland. Innebär detta att vi långsiktigt inte kommer att klara att förse landsbygdens viktiga exportindustri med arbetskraft? Innebär detta att vi långsiktigt inte heller kommer att klara av att förse landsortens kommuner med personal till skola, vård och omsorg? Detta skulle jag vilja att vi diskuterade. Min fråga till landsbygdsministern är: Vilka initiativ kommer ministern att ta för att vända trenden så att landsorten inte töms på sin befolkning? ","C"
"Daniel Bäckström","Herr talman! Det är alltid lätt att se bakåt och tänka på vad andra hade kunnat göra bättre eller annorlunda. Men nu är vi här för att diskutera målbilden, och vi har fått ett svar om att regeringen tänker presentera en strategi inför 2020. Det är tämligen kort tid kvar till 2015, och det skulle vara väldigt intressant utifrån ministerns tidigare engagemang som jag har följt att få konkret beskrivet hur regeringen kommer att driva dessa frågor för att verkligen stärka landsbygden. Vi måste ned på lokalplanet nu. Vi kan inte prata övergripande och referera till olika strukturtänk. Det handlar inte om kommissionen; det handlar om här och nu. Vi ser hur en jordbruksnäring med mjölkproduktion är väldigt prövad, vilket betyder oerhört mycket för det lokala näringslivet runt om i bygderna i Sverige. Vi ser hur befolkningsstrukturerna förändras och fortsätter att förändras. I takt med att jobben försvinner också inom industrin, vilket drabbar småorterna, behövs det konkreta insatser här och nu. Det är oerhört viktigt med den kopplingen mellan landsbygd och näringsdepartement som nu har blivit att faktiskt presentera de konkreta åtgärderna och insatserna. Därför hoppas jag verkligen att ministern kan redogöra för detta och också än en gång utveckla vilket perspektiv han ser när det gäller att konkret kunna underlätta för byggnationer i strandnära lägen. Vi kan inte leva med utökade strandskydd som i den senaste revideringen för nästkommande 40 år. Det kommer att släcka möjligheterna för en väldigt stor del av nyproduktionen av hus i stora delar av landet. ","C"
"Isak From","Herr talman! Tack, landsbygdsministern, för svaret och tack till interpellanten för en väldigt viktig interpellation. Jag hälsar Centerpartiet välkommet tillbaka till kammaren för att diskutera dessa viktiga frågor. Ni har ju varit försvunna i åtta år. Vi har haft en moderatledd regering under åtta års tid som inte har prioriterat hela landet. Ett av de första beslut som den moderatledda alliansregeringen tog var att införa fri etableringsrätt för myndigheter, vilket har gjort att i den här stan står myndigheterna staplade på varandra medan de har flyttat ut från landsbygden. Det handlar många gånger om myndigheter som är viktiga för att företag och medborgare ska kunna få den service som de så väl behöver. Låt mig ta ett konkret exempel. Västerbottens inlandskommuner är alla stora flyktingmottagare. När man kommer som nyanländ till Sorsele måste man ha ett personnummer. Skattemyndigheten som utfärdar personnummer finns i Umeå. Då får den nyanlända åka 60 mil tur och retur för att skaffa sig personnumret. Det är en sådan där konkret fråga som man hade kunnat lösa genom att ha ett samarbetskontor tillsammans med Arbetsförmedlingen och Försäkringskassan, placerat i Sorsele. Det hade gått att lösa om direktivet och intresset fanns. Men det finns det inte, utan nu sysslar man många gånger med navelskåderi som gör att man flyttar om och ser om sitt eget hus. Då blir det oftast väldigt få servicepunkter kvar i småkommunerna. Den förra regeringen privatiserade bilprovningen för att det skulle bli fler bilprovningar ute i landet. Det kanske det har blivit på sina håll. Men ett faktiskt konkret exempel är att det blev färre bilprovningar där man kan besiktiga sitt fordon för första gången, när man ska göra en registreringsbesiktning på sitt släpfordon och när företagaren ska besiktiga sitt timmersläp. Av sådana blev det färre. En företagare i Västerbotten fick vänta i sex månader. Det är liksom förutsättningarna, och det är klart att då är det inte helt lätt att bedriva sin verksamhet. Det finns många frågor att ta tag i. Maud Olofsson stod här i kammaren och presenterade Inlandsinnovation, som skulle innebära rock'n'roll i inlandet för alla företag. Vad man glömde att berätta var att man skrev regelverket så tajt att vanliga företagare inte kommer åt pengarna. Ett snickeri, till exempel, som hyvlar hyllplan till Ikea får inte låna pengar, eftersom de befinner sig i Gargnäs. Bankerna och finansinstituten föreslår att om företaget flyttar till en större stad, till exempel Umeå eller Skellefteå vid kusten, då går det säkert bra att låna pengar till rimliga kostnader. Det finns alltså en mängd olika saker att ta tag i, och därför är det hjärtligt välkommet att Centern har vaknat upp och börjat prata landsbygdsfrågor. Det var bra att ni släppte Stureplan. Nu får vi se om vi gemensamt kan göra någonting bra så att vi faktiskt kan bo och leva i hela landet, för det är det vår nya regering har som ambition. ","S"
"Landsbygdsminister Sven-Erik Bucht","Herr talman! Det var intressant att Anders Ahlgren har studerat riksdagsprotokollen och sett att jag har talat om mobiltelefontäckning 82 gånger. Det är klart att jag gjorde det, för det är så viktigt. Det fungerar ju inte, och det interpellerades många gånger. Det centerpartistiska tidigare statsrådet sjöng då marknadens lov och sade varje gång att det här fixar marknaden. Jag har informerat nuvarande ansvarig minister Mehmet Kaplan om att det finns en lag om elektronisk kommunikation, där det sägs att staten har rätt att ställa krav på yttäckning när man auktionerar ut sina frekvenser. Just nu har vi dessa frekvenser inlåsta i vissa avtalsperioder. Tyvärr ställde inte den tidigare regeringen dessa krav, och då blev det som det blev med mobiltelefonin för svensk landsbygd. Var det 77 gånger jag hade nämnt bredband? I strukturfondsprogrammet finns det 1,6 miljarder under programperioden för bredband. I landsbygdsprogrammet tror jag det är 3,2 miljarder. Det är inte så långt ifrån 5 miljarder totalt, så det finns ju en ambition att göra någonting med bredbandet. Det fanns alltså en anledning till att jag talade om bredband 77 gånger. Var det 12 gånger som jag sade \"servicepunkter\"? Jag hann inte skriva ned siffran. Var det bara 5? Men ändå, det har hänt mycket när det gäller servicepunkter. Vi anslår 400 miljoner mer till landsbygdsprogrammet som bland annat berör landsbygdsbutikerna. Det gör 2,8 miljarder under programperioden. Vi har i dag ett stöd till landsbygdsbutiker som i vårt tycke har varit alldeles för lågt. Det har varit 50 miljoner, något år 65 miljoner. Vi har nu en ambition att kraftigt utöka det. Under er tid minskade antalet lanthandlare från 2 900 till 1 200. Det är en katastrofal situation. Det är dålig lönsamhet för många av lanthandlarna, och det är ofta gamla människor som driver dem och som inte kan ta ut löner på mer än 5 000-6 000 kronor. Det är klart att ingen ung person tar över en sådan verksamhet. Här måste vi se till att det blir en förändring. Det är därför vi anslår pengar i budgeten, som ni har aviserat att ni ska rösta emot. Vi får se den 3 december. Anders Ahlgren pratar om förlorarlän och vinnarlän. Men vilka fick miljarden? Var det förlorarlänen som fick den moderata miljarden? Ni gav den till de tio rikaste länen. Inte stod ni upp för landsbygden. Jag gläds, precis som Isak From. Välkommen till modershuset! Nu är ni på G, och det finns en partner att samverka med för att utveckla landsbygden. Ett viktigt område är jordbruket ute på landsbygden. Jordbruket ger också många av basjobben på landsbygden. Det gäller inte bara jordbruksföretaget, utan det är även alla företag som genereras runt om jordbruket. Jag vet inte om ni lyssnade på den tidigare interpellationsdebatten, men vi berörde bland annat förgröning och kompensation. Det är viktiga saker för att få landsbygdsutvecklingen att vända, så att det finns ett kraftfullt jordbruk som kan ta fram nya produkter och komma ut på exportmarknaden. Isak From tog upp en viktig sak, nämligen tillgången till kapital. Vi kommer att lägga fram förslag om att se över hur vi hanterar det statliga riskkapitalet. Det är viktigt för de mindre företagen på den svenska landsbygden. ","S"
"Anders Ahlgren","Herr talman! Jag har varit med i riksdagen några år, och jag känner mig som en tjatig lantis i de debatter jag har deltagit i. Det är klart att vi hoppas att många kan få vara det. Urbaniseringen började inte under de åtta åren, Isak From. Den började på 60-talet när dina socialdemokratiska föregångare betalade flyttningsbidrag för att ni skulle kunna tömma landsbygden så fort som möjligt till storindustrin i de stora städerna. Det var så det startade, och det pågår fortfarande. Vi har skapat 340 000 nya jobb, och vi har skapat 200 000 nya företag. Många av dem finns i landsorten och på landsbygden i små företag. Däremot säger ni själva i ert budgetförslag att med de skattehöjningar som nu kommer att presenteras kommer takten i jobbökningen att avta. Det kan vi citera direkt. Det står rakt av i budgetförslaget. Att det skulle finnas 400 miljoner kronor mer i landsbygdsprogrammet än i Alliansens program stämmer inte. Däremot är det lika högt nu, landsbygdsministern. Ni är på samma nivå. Det är intressant att notera att ni har krupit dit. Om vi talar om pengar som tas från landsbygden kan vi ta ett annat exempel, nämligen Förbifart Stockholm. Trafikverket säger att det är fråga om ungefär 4 miljoner om dagen i borttappade pengar. Hopräknat under den här perioden blir det ungefär 1 050 miljoner. Det är nästan exakt lika mycket som Dalarna får i sin länstransportplan för elva års verksamhet. Det är inte något litet belopp för min del. Utgångspunkten är att landsbygden producerar mycket. Vi levererar mycket råvaror till de stora städerna. Jag har en avslutande fråga om återföring av resurser till kommunerna och bygderna som levererar trä, metaller, energi och så vidare. Är ministern beredd att jobba för återföring? ","C"
