"Margot Wallström","Fru talman och ärade ledamöter! Hans Wallmark har frågat statsministern om vilka reaktioner denne fick på den nya regeringens ställningstagande mot ett svenskt Natomedlemskap och för militär alliansfrihet under besöket i Estland, Lettland och Litauen. Interpellationen har överlämnats till mig för besvarande. Låt mig först säga att svenska säkerhetspolitiska vägval enligt lång tradition bygger på en bred politisk samsyn och förankring. Det manifesterades så sent som i maj förra året genom Försvarsberedningens rapport <em>Försvaret av Sverige</em>.  Den svenska säkerhetspolitiska linjen ligger fast. Den svenska militära alliansfriheten tjänar alltjämt vårt land väl. Den skapar en god grund för ett aktivt ansvarstagande för såväl vår egen som andras säkerhet. Sverige ska inte söka medlemskap i Nato. Regeringen har varit tydlig med att Försvarsberedningens arbete, som sex av åtta riksdagspartier står bakom, gäller. I Försvarsberedningens rapport konstateras att hot mot freden och vår säkerhet avvärjs bäst i gemenskap och samverkan med andra länder. Sverige är inte med i någon militär allians. Det går inte att se militära konflikter i vårt närområde som skulle påverka endast ett land. Sverige kommer inte att förhålla sig passivt om en katastrof eller ett angrepp skulle drabba ett annat EU-medlemsland eller nordiskt land. Vi förväntar oss att dessa länder agerar på samma sätt om Sverige drabbas. Sverige ska därför kunna ge och ta emot civilt och militärt stöd. Regeringen ser goda möjligheter till fördjupade säkerhets- och försvarspolitiska samarbeten. Svensk säkerhetspolitik byggs på ett ökat samarbete inom Norden, Östersjöområdet, EU och FN. Vår första prioritet är att utveckla det fördjupade bilaterala samarbetet med Finland. Regeringen anser att samarbetet med Nato ska fortsätta att utvecklas inom ramen för det svenska partnerskapet. Sveriges samarbete med Nato begränsas ytterst av att vi inte åtar oss försvarsförpliktelser. Jag vill också betona att regeringen anser att situationen i närområdet understryker vikten av att påskynda förstärkningen av Sveriges försvarsförmåga. Som en omedelbar åtgärd beslutade riksdagen i höstas på förslag från regeringen om en ökning av försvarsanslaget. Det möjliggör en utvecklad övningsverksamhet som höjer förbandens förmåga i närtid. Att statsministern som sin första internationella resa valde att besöka Finland samt Estland, Lettland och Litauen var ett viktigt uttryck för de goda och nära relationerna våra länder emellan och för värdet Sverige fäster vid dessa.  Samtalen var mycket goda och visade på den enighet i analysen som råder beträffande det försämrade säkerhetsläget i vår region, Rysslands aggression i Ukraina och dess utmanande uppträdande i närområdet. Vi är överens om vikten av att EU upprätthåller sanktionerna och kritiken mot Ryssland och att vi försvarar grundläggande folkrättsliga principer.  Besöken bekräftade att vi har en bred samsyn om det säkerhetspolitiska samarbetet. ","S"
"Hans Wallmark","Fru talman! Stort tack för svaret, fru utrikesminister! Min interpellation till statsministern väcktes i början av november, och sedan överlämnades den till utrikesministern. Det är först i dag, den 3 februari, som vi på grund av diverse olyckliga omständigheter kan ta debatten. På det hela taget gör det ingenting därför att frågan är ständigt aktuell, men det har tillkommit en del saker sedan interpellationen väcktes. Låt mig inledningsvis säga att jag tycker att det är bra att vår nye statsminister, och därmed Sverige, visar ett intresse för just vårt närområde. De första resorna gick till Finland, Estland, Lettland och Litauen. Andra länder i vårt närområde som vi finner viktiga, till exempel Polen och Tyskland, kan adderas. Det är bra. I den delen uttrycker jag min högaktning för de val av resmål statsministern gjorde. Då kommer vi in på det som har skett under hela 2014, och det fortsätter in mot 2015, nämligen att tröskeln för våld i vårt närområde har sänkts. Det har vi sett genom den illegala annekteringen av Krim. Det ser vi dagligdags med de bilder som med rätta upprör oss över strider som utkämpas på ukrainskt territorium. Vi ser också hur övningsverksamheten har ökat och olika former av incidenter. Senast för någon dag sedan rapporterades det om avancerade bombplan utanför Norges kust. Vi ser också kränkningar av luftrum i Polen, i Sverige, i Estland och i Finland. Detta gör att det finns skäl att uttrycka sig med viss oro över det som sker i vårt närområde och den nya normalbild som växer fram. Vi har en solidaritetsförklaring som inte minst Estland, Lettland och Litauen brukar ställa frågor om. Det som delvis låg i min fråga till statsministern var vilka resonemang som fördes i de tre huvudstäderna när det gällde relationen mellan solidaritetsförklaring och ett eventuellt Natomedlemskap. Jag har förstått att estländska medier rapporterade när statsministern var på plats i Tallinn att han hade fått en fråga om vad Sverige skulle göra om Ryssland anföll Estland. Då avfärdades frågan som hypotetisk av statsministern. Ja, det kan man säga. Samtidigt ser vi en helt ny normalbild växa fram, och vi ser en oro växa fram hos politiker i Estland, Lettland och Litauen över det tryck de utsätts för från inte minst rysk sida. Utrikesministern får gärna utveckla sin syn på hur hon menar att vi ska fylla solidaritetsförklaringen med innehåll i händelse av krig eller katastrof, men om den ska ha någon mening handlar det om att träna, öva och i övrigt integrera sig för att kunna ge stöd och ta emot stöd. Jag tycker att det långsiktigt mest naturliga är ett svenskt Natomedlemskap. Nu vinnlägger sig regeringen om att påminna om en lång tradition av bred politisk samsyn och förankring. Jag delar den bedömningen. Dock vill jag ändå hävda att det man har slagit fast i regeringsförklaringen, nämligen att den svenska militära alliansfriheten alltjämt tjänar vårt land väl och att Sverige inte ska söka medlemskap i Nato, är direkta positionsförflyttningar. De har inte antagits i bred samsyn eller med politisk förankring. Man avvisar tanken på en Natoutredning, vilket jag också finner än mer beklagligt. Jag kan förstå att man utifrån sina kongressbeslut än så länge säger blankt nej till medlemskap, men att över huvud taget säga nej till kunskap finner jag lite mer sorgligt. Jag undrade i min interpellation vilka reaktioner Stefan Löfven fick på den nya regeringens ställningstagande mot ett svenskt Natomedlemskap och för en militär alliansfrihet. Tyvärr ger utrikesministerns svar inte någon som helst vägledning på den punkten. ","M"
"Hillevi Larsson","Fru talman! I en orolig tid kan det bli så att man söker sig till någon stark som ska hjälpa till att beskydda oss. Men jag vill ändå att man ska komma ihåg riskerna. Nu lyfts fördelar med Natomedlemskap fram, men det finns också nackdelar.  Jag minns när det var aktuellt med en invasion av Irak. Det var Nato med USA i spetsen som drev på där FN sa att man måste avvakta tills bevis fanns för att det sker tillverkning av massförstörelsevapen i Irak. Trots att man inte fick fram bevisen forcerades invasionen av Irak, och det har visat sig i efterhand att bevisen saknades. Det är det som kan bli olyckligt om vi går med i Nato. Då skulle vi kunna hamna i sådana här situationer, där USA och kanske några andra länder är drivande och vi hänger på. Jag är inte säker på att det skulle förbättra säkerheten i världen eller förbättra läget för svensk del. Vi har en lång tradition av alliansfrihet, som när man ser i backspegeln har varit bra både för Sverige och inte minst för världen. Det har tidigare varit spänningar, inte minst mellan Sovjetunionen och USA, och det är såklart en annorlunda situation i dag. Men Ryssland är ju ett hot - även om det är ett annat styre i dag är det en del av situationen. Jag frågar mig varför vi denna gång ska hoppa på Natotåget när vi tidigare inte har gjort det. Vi har samarbeten som det finns all anledning att utveckla, i Norden, kring Östersjön och i vårt närområde. Vi är också med i EU, och det vi förbinder oss till inom EU-medlemskapet är att om något av länderna i EU attackeras eller det blir en jättestor katastrof av något slag där ska vi hjälpa till enligt en solidaritetsklausul. Det finns ingenting om att vi måste använda vapen eller militärt våld, men vi ska visa solidaritet. Det kan handla om att skicka sjukvårdsmaterial och tält eller att släcka bränder. Bara fantasin sätter gränser för vilken situation som skulle kunna uppstå som är ett katastrofläge. Jag upplever att det är en bättre ingång, för där har vi ett naturligt samarbete inom EU. Precis som utrikesministern säger i sitt svar skulle vi inte stå totalt passiva om något land i EU blir attackerat eller det blir en stor katastrof. Där har vi ett naturligt samarbete att bygga på. Men detta är inte i strid med FN på det sätt som ett Natomedlemskap skulle kunna bli. Det har varit vår tradition i Sverige att vi agerar på FN-mandat. Vi har till och med skickat stridande trupper till konfliktområden, men det har varit tydliga FN-mandat i de situationerna. Det har varit frivilligt, inte tvingande, och vi väljer själva hur vi vill göra. Jag tror att den här vägen är bättre både för oss i Sverige och för säkerhetsläget i världen. Hur kan vi vara så säkra på att Nato alltid kommer att välja rätt inriktning för att minska konflikterna i världen? Det kan tvärtom bli så att man ökar konflikterna. I fråga om Irak måste vi se att det har haft stora nackdelar. Det kanske går att se någon fördel för någon, men det har nackdelar - väldigt många civila har dött. Även om Saddam Husseins styre naturligtvis var fruktansvärt - han var diktator i en hemsk regim - kan man inte se att allt har varit frid och fröjd efter invasionen där, utan det har kostat väldigt många människoliv, inte minst civila liv. ","S"
"Christian Holm","Fru talman, utrikesministern och ledamöter! Även jag måste börja med att uttrycka min uppskattning av att statsministern valde att förlägga sin första resa till våra viktiga grannländer i öst. Jag har möjligtvis en annan uppfattning kring svenskt Natomedlemskap - jag har under lång tid varit positivt inställd till det. Nu var Hillevi Larsson uppe och uttryckte risker, och hon tog upp Estland, Lettland och Litauen. Med det resonemanget kan man fråga sig: Tycker Hillevi Larsson även att det var fel att Estland, Lettland och Litauen närmade sig Nato och blev medlemmar? Jag tror att det vore bra för Sverige att bli medlem i Nato. Men det handlar också om att vi uttrycker att vi vill göra en undersökning för att se förutsättningarna för ett svenskt Natomedlemskap. För min del handlar det om att förhålla sig till den ena eller den andra sidan i ett läge där det finns två sidor. Man tog tidigare upp Sovjetunionen versus väst. Nu har vi Ryssland och det som sker där, och vi ser att allt i det närmaste går i fel riktning. Jag tycker att det är viktigt att vi har en tydlig politik gentemot det. Men för svensk säkerhet och svensk försvarsförmåga tycker jag också att det är viktigt att Sverige närmar sig Nato. Vi har ett bra samarbete med Nato i dag, men genom att vi står utanför är det lite grann som innan vi var med i EU. Det är som för norrmännen och EU: Man är mycket med, men man har inte möjlighet att vara på insidan och vara med och påverka. Med ett medlemskap är vi med på ett annat sätt och påverkar. Vi valde från svensk sida en annan väg för väldigt länge sedan - långt innan jag satt i riksdagen och långt innan jag var född. Men det var en annan tid, och att vi har gjort ett val en gång behöver inte innebära att vi måste göra samma val nästa gång. Jag tycker att det är viktigt att vi står upp för det som är rätt, för demokrati och mänskliga rättigheter, trygghet och säkerhet. Därmed tror jag att Nato är en bra garant för detta. Sedan innebär inte det att Sverige måste delta överallt i alla lägen. Om Sverige hade varit medlem i Nato när Irakkriget pågick hade vi inte varit tvungna att skicka trupp. På samma sätt hade Sverige kunnat delta om vi hade velat även om vi inte var medlemmar. För min del handlar det om att vi ger en tydlig signal: Vi är med och samarbetar, vi är med och påverkar och vi stärker svensk försvarsförmåga. Jag tycker att det är viktigt att vi poängterar det från svensk sida. ","M"
"Margot Wallström","Fru talman och ärade ledamöter! Tack för synpunkterna! För två veckor sedan hade vi en större tematisk säkerhetspolitisk debatt här i kammaren, och vi hade den utifrån det försämrade världsläge som vi ser efter den ryska aggressionen i Ukraina. Vi ska inte upprepa allt det som sades där. Jag kan beträffande denna fråga börja med att säga att flera av kollegerna och jag har valt att först resa just till Baltikum för att demonstrera vår solidaritet med dessa länder, som ska känna att vi är på deras sida, att vi finns där som partner och att vi är för ett samarbete som också uttrycker solidariteten. Vi har valt det som resmål, liksom att tidigt åka till Tyskland och andra länder i vårt grannskap som är viktiga partner. Det råder en bred samsyn, som också manifesterades under den tematiska debatten, om det försämrade omvärldsläget. Det är bra att vi är enade, precis som ni har sagt, i de frågorna. Vi vet alla att det ryska uppträdandet runt Östersjön inte sällan är utmanande och i vissa fall rent provocerande. Det har inte minst de baltiska länderna fått känna på. Då ökar förstås osäkerheten i vårt närområde. Det ligger i vårt intresse att långsiktigt och så gott det går bidra till avspänning och säkerhet i vår del av världen. Tillsammans med grannländerna runt Östersjön agerar vi för att stärka det samarbetet. Vi är inte alls ensamma - tvärtom. Vi kan själva välja våra samarbeten. Vi gör det utifrån en bra position, med respekt för vårt land och vårt ställningstagande och utifrån en situation där den militära alliansfriheten har tjänat oss väl i 200 år. Det har inte varit oföränderligt. Vi har ständigt sett till att arbeta också med de begreppen och den positionen. Vi har sett till att engagera oss i en rad olika samarbeten i EU, med de nordiska länderna, runt Baltikum och faktiskt också med Nato - det gjorde vi så tidigt som 1994. Begreppet har formats och knådats genom åren och utifrån omvärldssituationen, och det är väldigt viktigt. Men det har kombinerats med en annan viktig fråga, och det handlar om att vi har upprätthållit ett starkt försvar. Det har varit en grundpelare som militär alliansfrihet vilar på: Vi demonstrerar vår vilja och vår kapacitet att försvara vårt territorium och vår territoriella integritet. Nu hävdar partier och företrädare att Nato är svaret på de frågorna och att Nato kommer att komma till vårt beskydd, samtidigt som man under åtta år har sett till att verkligen rusta ned vårt försvar - till den nivån att en moderat försvarsminister avgick därför att han tyckte att det var orimligt. Man säger dessutom att vi säger nej till kunskap. Det gör vi inte alls. Men i stället för att begrava frågan i en utredning tänker vi föra ut den till debatt och bred folklig förankring. Det är det som krävs om vi ska kunna fortsätta att hävda att vi har en god säkerhetspolitik. Regeringen ska inte heller svaja, utan den ska stå fast i en orolig tid och ska ange vägen framåt. Den går via samarbete och en fortsatt militär alliansfrihet.  ","S"
"Hans Wallmark","Fru talman! Precis som utrikesministern konstaterade hade vi för ungefär två veckor sedan en aktuell debatt om säkerhetsläget - på moderat initiativ, dessutom. Den brutala verkligheten är väl den att vi återkommande kommer att få ha den typen av meningsutbyten. Det är en ny normalbild som har etablerat sig; det är en serie av händelser som nu utspelar sig som vi måste förhålla oss till och som det finns anledning att vara djupt bekymrad och oroad över. Det faktum att Europas gränser för mindre än ett år sedan ritades om med hjälp av vapenmakt och hot om vapenmakt är extraordinärt och förändrar förutsättningarna. Det finns ett Europa före Krimannekteringen, och det finns ett Europa efter Krimannekteringen. Jag tror att det kommer att leda till konsekvenser för försvaret. Det måste det göra, och det hoppas jag att det gör. Det handlar om olika former av vår incidentberedskap i närtid. Det handlar om hur vi långsiktigt ska möta hot i luften, på vattnet och under vattnet. Det handlar om fördjupad övningsverksamhet, och det handlar om en tydlig närvaro i Östersjöområdet. När utrikesministern nu hävdar att vi har nedrustat vill jag bara påminna om en sak. Jag deltog i valrörelsen 2010 och hade då att möta ett rödgrönt valmanifest där ni gick till val på neddragningar av försvarsanslag med 2 miljarder. Det var verkligheten. Men jag är glad över att Socialdemokraterna har gjort en positionsförflyttning och nu närmat sig oss. Jag hoppas att vi kan göra positionsförflyttningar också när det gäller ett kommande försvarsbeslut. När det gäller frågan om Nato finns det en fara i att bli abstrakt och stå långt bort. För mig handlar det om Europa. Man kan måla ut väldigt konstiga bilder av vilka konsekvenser ett eventuellt Natomedlemskap skulle få. Då är min retoriska fråga, fru talman: Gäller detta Norge? Gäller detta Danmark? Har de avhänt sig alla sina egna förmågor, all sin diplomatiska status? Nej, så är det inte. Jag tror att utrikesministern kan vidimera, bekräfta, att länder som står nära oss och som aktivt deltar i det internationella arbetet inom EU, inom FN och i andra forum är just länder som Danmark och Norge - två Natostater. Allianslösheten som förordas av Socialdemokraterna tror jag att man måste ställa i kontrast till frågan: Vad bidrar långsiktigt till säkerhet - att vi deltar sida vid sida med länder som Norge, Danmark, Polen, Tyskland, Estland, Lettland och Litauen eller att vi avstår från det, precis som ni vill? Min grundläggande fråga, som jag fortfarande inte har fått svar på, är: Vad sa man i Estland, Lettland och Litauen? Vilka reaktioner fick statsministern på den nya regeringens nya ställningstagande mot svenskt Natomedlemskap och för militär alliansfrihet? Avslutningsvis, fru talman, kan man ställa frågan till utrikesministern: Estland, Lettland och Litauen blev alla medlemmar i Nato och EU 2004 - tror vi att det har medverkat till ökad säkerhet eller försämrad säkerhet för dem? Jag är helt övertygad om att merparten av alla medborgare och alla politiker vi träffar i Tallinn, Riga och Vilnius kommer att säga att det har medverkat till ökad säkerhet. Jag är så ödmjuk att jag förstår att Socialdemokraterna inte här och nu kommer att öppna för medlemskap, men jag tycker att man åtminstone kunde ha öppnat för det naturliga att vi utreder det. Där finns ju goda exempel. Vad fick det för konsekvenser i Estland, Lettland och Litauen? Hur gjorde man rent praktiskt? Den typen av kunskap vill inte jag avvisa, och jag tycker att det är tråkigt, fru talman, att Socialdemokraterna fortsätter att göra det. Kunskap är inte farlig. ","M"
"Hillevi Larsson","Fru talman! Det är ändå ett faktum att man är mer bunden av ett Natomedlemskap än av ett EU-medlemskap när det gäller försvarsförpliktelser. Det blir också svårare att försvara att vi inte kan ställa oss bakom sådant som till exempel invasionen av Irak. Då hade vi bestämt att linjen var att följa FN: Om man hittade massförstörelsevapen kunde man gå in. Man hittade inga - ändå gick man in. Det hade varit väldigt svårt för oss att kritisera detta om vi hade varit med i Nato. Man kan säkert rikta mycket skarp kritik mot regimen i många länder, men om Nato ska bli en världspolis som kan gå in här och var utan FN-mandat kommer det att försvaga FN. Risken finns att säkerhetssituationen i hela världen försvagas på det sättet. Att vi inte är med i Nato innebär ju inte att vi inte kan samarbeta med Nato. Vi väljer själva hur vi vill samarbeta och hur långtgående det samarbetet ska vara. Skillnaden är att vi kan säga stopp i de fall då vi anser att något inte är bra för den internationella freden, för säkerheten i världen eller för Sverige. Som Natomedlemmar kommer vi att bli bakbundna. Där finns en allvarlig risk. Jag tror också att man i den här diskussionen kanske inte bara tänker på att säkerhetsläget skulle försvåras utan också tar ekonomiska hänsyn: Vi har inte råd med ett försvar - då skulle vi kunna gå in här. Då gör man det väldigt enkelt för sig, och då tror jag att vi förlorar mycket av vår självständighet. Jag tror att det är alldeles fel väg att gå. Vi ska ha ett starkt försvar, och vi ska samarbeta i närområdet. Vi ska ha den roll som vi har haft under de senaste 200 åren och bidra så långt det går till god säkerhet, både i världen och i Sverige. ","S"
"Christian Holm","Fru talman! För att kommentera det som Hillevi Larsson säger: Jag vidhåller att vi inte blir hundraprocentigt bakbundna av ett Natomedlemskap. Vi får en möjlighet att vara med och påverka. Nato är ingen världspolis och ska kanske inte vara det heller. Det är i så fall upp till oss som medlemmar att ta ställning till detta. Vi kan givetvis kritisera också en organisation där vi är medlemmar om den organisationen fattar beslut som vi tycker är felaktiga. Vi är medlemmar i EU, och jag kan kritisera EU varje dag om det är så - även om jag i grunden är väldigt positiv till institutionen som sådan. Det togs också upp att vi ska agera som vi har gjort de senaste 200 åren. Skillnaden är att världen har utvecklats de senaste 200 åren. Läget ser inte likadant ut. Inte heller den politiska situationen ser likadan ut. Förr fanns det givetvis olika former av regeringar, men i dag är det en socialdemokratisk och miljöpartistisk regering med stöd av Vänsterpartiet. Traditionellt sett har Vänsterpartiet hållits mycket längre ifrån regeringsmakten. Det är ett parti som inte bara är emot Nato - både Miljöpartiet och Vänsterpartiet är tydligt emot Nato - utan dessutom, för inte speciellt länge sedan, var för motståndarna på andra sidan Östersjön. Det tycker jag är allvarligt. För att återgå till baltstaterna och till Hans Wallmarks fråga i interpellationen: Jag är ofta och mycket i de baltiska staterna. Det är tydligt att de är oerhört lyckliga över att de själva är medlemmar i Nato. Men de är oroade över att Sverige inte är det och även över att Finland inte är det. De skulle känna ökad trygghet av att ha hela området runt omkring sig som medlemmar även i den sammanslutningen. Jag skulle alltså vilja veta: Vad var svaret? ","M"
"Margot Wallström","Fru talman! Det är ju nackdelen med att svara åt någon annan: Jag kan inte redovisa exakt vad som sas på varje möte. Men jag kan återge från mina egna besök i de baltiska länderna och samtal med företrädare för regeringarna där att de har den allra största respekt för vårt ställningstagande och vår position, som ju är densamma som Finlands. De har mycket stor respekt för vår hållning, och det skulle nog inte falla dem in att försöka påverka oss. Vart och ett land har skyldighet att fatta beslut och inta en position som innebär att man känner sig trygg med sin säkerhetspolitik och sitt säkerhetspolitiska ställningstagande. I det här fallet har vi aldrig mött annat än stor respekt för vår hållning. Det gäller också Baltikum. Dessutom är det ju inte alls så att vår politiska inställning har varit oförändrad. Den har utvecklats över tid. Vi är djupt engagerade i EU-sammanhang och EU-samarbetet. Vi har ändrat på formuleringar också i den säkerhetspolitiska plattformen och doktrinen över åren. Vi har ett fördjupat samarbete med Nato. Frågan skulle kanske egentligen gå i den andra riktningen: Vad är det vi <em>inte</em> kan göra tack vare vår militära alliansfrihet? Eller tror ni att räddningen är att Nato nu ska komma och försvara oss? Vi är rädda för ryssen, och då ska Nato komma och försvara oss - är det det som är inställningen? Alliansens statsminister, på den tiden, sa ganska nyligen att för att det skulle ändras skulle man ha en folklig förankring. Man skulle ha en majoritet i riksdagen, och man skulle göra det samtidigt med Finland. Vi har ju också ett djupt samarbete med Finland. Alla länder agerar utifrån sin egen historia. Vi kan inte jämföra oss med Norge och Danmark, som faktiskt också deltog i andra världskriget, eller de baltiska länderna, som har stått under ryskt inflytande under alldeles för lång tid och vet vad det innebar. De har sin historia, och vi har vår, och jag tror som sagt att vi fortfarande åtnjuter mycket stor respekt och beundran för våra ställningstaganden. Det ligger inte i deras intresse att försöka påverka oss att gå i en viss riktning, utan vi ska fortsätta samtala. Det handlar om avspänning och samarbete med andra partner som har en viktig roll i vårt närområde och inför framtiden och dessutom att bredda hela det säkerhetspolitiska begreppet, för det är naturligtvis mycket mer än vad som händer just nu i vårt närområde. Varför förmådde ni inte att ta itu med att utreda detta själva under åtta år? Varför är det nu plötsligt som om någonting nytt skulle ha kommit upp? Vi säger alldeles tvärtom: Låt oss diskutera Nato i ett sammanhang som är säkerhetspolitiskt och som innefattar alla de element som måste in i en bedömning av både vårt grannskap och av omvärlden. Låt också folk i hela landet få vara med i en diskussion om Nato. Låt argumenten höras, både för och emot, och låt det ingå i en diskussion om både utrikes- och säkerhetspolitik i framtiden. Vi ska fortsätta med våra djupa och förtroendefulla samarbeten, inklusive med Nato, men vi ska behålla vår unika position också när det gäller att förespråka militär alliansfrihet och samarbete, både i EU och med grannländerna. ","S"
"Hans Wallmark","Fru talman! Jag måste ge utrikesministern rätt och fel. Det är rätt att Norge och Danmark är formade av sina historiska omständigheter. Dock är det fel att beskriva det som om de deltog i andra världskriget - de ockuperades. Det här är mer än semantik. Det tror jag också är förklaringen till att man just så brett, inklusive hos de socialdemokratiska partierna i Norge och Danmark, förstår värdet av Nato och de bindande försvarsförpliktelserna. Utrikesministern konstaterar att hon naturligtvis inte kan svara för allt vad statsministern har fört samtal om i Tallinn, Riga och Vilnius. Det har jag full förståelse för, och jag tycker att utrikesministern har hanterat frågeställningen väldigt bra hittills. Dock kan det, fru talman, vara en uppmaning till statsministern att nästa gång jag väcker en interpellation till honom så kan han komma hit själv och exakt berätta hur de här samtalen har varit. Hillevi Larsson tar argument långt borta. Hon är i Irak och på andra ställen. Det har egentligen i grunden ingenting med den typen av bindande försvarsförpliktelser att göra. Irak är inte en medlem av Nato. Hillevi Larssons argumentering visar därför, fru talman, på behovet av kunskap om Nato och hur ett Natomedlemskap fungerar. Jag tillhör dem som tycker att man ska fundera igenom hur man ger stöd och hur man tar emot stöd. Då är det så att om vi tittar tillbaka på svensk historia sedan andra världskriget har vi det som Mikael Holmström beskrev i en bok för några år sedan: den dolda alliansen. Sverige har genomgående planerat, försvarsplanerat och krigsplanerat med andra Natoländer för att det stöd vi räknar med i en orostid just ska komma från länder som Norge och Danmark, och jag vill synliggöra den dolda alliansen som egentligen är ett faktum. Hillevi Larsson nämnde att en solidaritetsförklaring skulle kunna innebära sjukvårdsmateriel och att man släcker bränder om det kommer krig och ofärd. Fru talman, detta bekräftar väl vårt behov av djupare och starkare hjälp än att någon kommer hit och släcker bränder! ","M"
