"Ylva Johansson","Herr talman! Anders Ahlgren har frågat landsbygdsministern på vilket sätt statens minskade service till landsbygden i form av nedläggning av AF-kontor och geografisk begränsning för den statliga banken SBAB kommer att främja den regionala tillväxten och utvecklingen. Arbetet inom regeringen är så fördelat att det är jag som ska svara på interpellationen. Den första delen av frågan gäller Arbetsförmedlingen. Precis som Anders Ahlgren framför i interpellationen behövs ett förändringsarbete inom Arbetsförmedlingen. Myndigheten behöver hitta nya och flexibla sätt att förmedla kontakter mellan arbetssökande och arbetsgivare och möta nya utmaningar. Regeringens utgångspunkt är att det ska finnas en likvärdig tillgång till statliga myndigheters service i hela landet. Det är dock upp till myndigheterna själva, i det här fallet Arbetsförmedlingen, att utforma sin egen organisation. Förändringarna i Arbetsförmedlingens kontorsstruktur är en del av ett större utvecklingsarbete på myndigheten. Arbetsförmedlingen ska vara tillgänglig för arbetssökande och arbetsgivare. Arbetsförmedlingens service, vare sig på landsbygden eller i andra delar av landet, ska inte minska utan förbättras. Den andra delen av Anders Ahlgrens fråga gäller SBAB. Finanskrisen har bland annat visat på vikten av finansiell stabilitet baserad på ett sunt och rimligt risktagande. SBAB är en relativt liten aktör inom företagskundssegmentet. Bolaget har tre företagskundskontor i Stockholm, Malmö respektive Göteborg med sammanlagt mindre än 40 anställda. SBAB saknar därmed den lokalkunskap som krävs för att göra individuella riskbedömningar av bostadsrättsföreningar på orter där inte alla lägenheter kan säljas eller av ägare till flerbostadshus på orter där vakansgraden är hög. Detta innebär att risken blir högre för SBAB än för en bank med lokal närvaro och kunskap. Denna riskbedömning är en operativ fråga och därför ett ansvar för bolagets styrelse och ledning, vars uppgift det är att balansera risk och lönsamhet. ","S"
"Anders Ahlgren","Herr talman! Först vill jag tacka arbetsmarknadsministern för svaret på min interpellation. Det känns angeläget att uppmärksamma den snabba omställning som nu sker i vårt land. Urbaniseringen går allt fortare. Därför är det extra intressant att höra minoritetsregeringens idéer om hur man löser tillgänglighetsfrågorna i hela landet. Avsikten med min interpellation har inte varit att diskutera Arbetsförmedlingen eller SBAB specifikt utan att mer belysa hur det på område efter område skapas allt sämre och ojämlikare service runt om i landet.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer När Arbetsförmedlingens generaldirektör Mikael Sjöberg aviserar att 100 av myndighetens 320 lokalkontor ska läggas ned kommer detta naturligtvis att påverka enskilda personer, men också företag som är i behov av samarbete med Arbetsförmedlingen när det gäller att rekrytera nya människor, vid permitteringar och verksamhetsförändringar. Centerpartiet välkomnar en förändring av Arbetsförmedlingen - den har vi efterlyst. Men att staten plockar ned skylten utan att det finns alternativ på plats är ansvarslöst och kommer att få förödande konsekvenser, främst för dem som har behov av särskilda insatser. Den statliga banken SBAB vill inrikta sin kreditgivning till storstadsregioner och större tillväxt- och högskoleorter. Företagskunder på mindre orter har fått beskedet att de ska söka sig till nya banker eller acceptera betydligt högre kostnader och sämre service. SBAB vill lägga fokus på företagskunder i södra Sverige. Allt norr om Dalälven ska nedprioriteras framöver. Människors möjlighet att bo, leva och arbeta utanför de större städerna, det vill säga i landsorten, förutsätter att det finns jobb. Då måste vi ha en politik som gynnar skapande av jobb i nya och växande företag. Det är i de små företagen som många nya jobb skapas, ofta i Småortssverige och på landsbygden. Men om jobben ska bli fler måste vi underlätta för dem som skapar jobben, alltså företagen. Då kan vi inte försämra samhällets service och stöd. Båda dessa statliga verksamheter är exempel på det som pågår inom många områden och som kommer att försvåra den regionala utvecklingen. Min fråga till regeringens företrädare, oavsett vilken minister som väljer att svara, löd: På vilket sätt kommer statens minskade service på landsbygden i form av nedläggning av arbetsförmedlingskontor och geografiska begränsningar för den statliga banken SBAB att främja den regionala tillväxten och utvecklingen? Det fanns inget svar på den frågan i ministerns skriftliga svar. Däremot säger man att det ska finnas likvärdig tillgång till statlig service i hela landet. Organisationerna ska själva bestämma över hur detta ska utvecklas. Lite längre ned i svaret kan man läsa att Arbetsförmedlingens service inte ska minska, vare sig på landsbygden eller i andra delar, utan förbättras. Jag vill gärna att statsrådet utvecklar denna del av svaret, för trots att hon skriver att det är upp till Arbetsförmedlingen att forma sin organisation utlovar arbetsmarknadsministern att Arbetsförmedlingens service inte ska minska utan förbättras. Vad kan vi förvänta oss av likvärdig eller förbättrad service från Arbetsförmedlingen efter nedläggning av en tredjedel av dess lokalkontor? Berätta gärna detta! ","C"
"Ylva Johansson","Herr talman! Låt mig först säga att Anders Ahlgrens interpellation tar upp mycket viktiga frågor. Det är oerhört viktigt att vi har en utveckling som kommer hela landet till del. Vi har betydande utmaningar i de delar av landet som har ett minskande befolkningsunderlag. En myndighet som Arbetsförmedlingen, som har ett samhällsuppdrag, har självklart till uppgift att säkerställa att det finns god service i hela landet. Man får inte agera så att man till exempel missgynnar orter i glesbygd. Hur detta ska uppnås är däremot myndighetens sak att avgöra.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer I den dialog jag har med myndigheten har man inte pekat ut att det är kontor i glesbygd som löper risk att läggas ned. Vad det handlar om är att myndigheten ser över hur man på bästa sätt kan förbättra sin service, särskilt kontakten med arbetsgivarna för att ge dem bättre möjlighet att rekrytera rätt personer till de lediga jobben. Arbetsförmedlingen har självklart ett uppdrag att säkerställa god service i hela landet. Som framgick av tidigare interpellationer är jag inte nöjd med hur Arbetsförmedlingen fungerar i dag. Stora förändringar och utvecklingsarbete behövs. Minskningen av resurser i förhållande till regeringens budget som blir resultatet av riksdagens beslut har naturligtvis försenat och försvårat Arbetsförmedlingens utvecklingsarbete. Det kommer att ske ändå, men inte riktigt i den takt som man hade kunnat ha om man hade haft tillgång till de resurser regeringen vill avsätta till myndigheten. SBAB är en bank som agerar på en konkurrensutsatt marknad och på marknadsmässiga villkor. SBAB har inget samhällsuppdrag. Där är det alltså andra villkor som gäller. SBAB har dock att följa de regler och den policy för styrning som regeringen vill att de statliga bolagen ska ha. De statliga bolagen bör i vissa avseenden gå i täten, till exempel när det gäller transparens i de beslut och överväganden som ligger till grund för att man exempelvis höjer avgiften eller ändrar prissättningen på lån. SBAB har nu visat föredömlig transparens genom att i förväg tala om på vilka grunder man kommer att ändra sin prissättning. Det normala på bankmarknaden är dessvärre att banker omvärderar riskerna i sina åtaganden eller att kapitaltäckningsreglerna förändras så att prissättningen på lån måste justeras - utan att man kommunicerar detta till kunderna. SBAB agerar på statens uppdrag på det sättet att man har transparens i sina beslut, men SBAB har inte ett samhällsuppdrag. SBAB är inte en fullteckningsbank. Det är alltså inte en bank som tillhandahåller alla de olika tjänster som en normal bankkund behöver. Det är ganska få produkter som SBAB tillhandahåller. Det är banken själv som har att fatta marknadsmässiga beslut om risker och lönsamhet, men man agerar som man ska genom att ha transparens i dessa beslut. ","S"
"Anders Ahlgren","Herr talman! Att säga att Sverige klyvs är ingen överdrift just nu, när vi ser den kraftiga avfolkning som sker. Mönstret håller i sig - aldrig tidigare har urbaniseringen i Sverige gått så fort som nu. Men det är inte bara landsbygden - eller glesbygden, som ministern kallar den - som töms utan också landsorten, det vill säga Sverige utanför de större städerna. Var sjätte person som flyttar lämnar sitt län. Vilka är det som flyttar? Jo, unga vuxna och barnfamiljer. Snittåldern är 31 år. Norrlandslänen tappar som vanligt, men problemet har krupit söderut till Västmanland, Värmland, Dalarna och Småland, liksom till Gotland, Örebro, Blekinge, Gävleborg, Norrbotten, Västernorrland, Jämtland, Västerbotten, Jönköping, Kalmar och Kronoberg. Listan kan göras hur lång som helst.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer I 150 av Sveriges 290 kommuner minskar befolkningen. Vinnarlänen är som vanligt storstadsregionerna Stockholm, Göteborg och Skåne men också län som Halland, Uppsala, Östergötland och Södermanland. Enligt Framtidskommissionen finns det i dag tre kommuner i landet där de som är utanför arbetsför ålder är fler än de som är i. År 2050 förväntas 40 procent av landets kommuner befinna sig i denna ytterst bräckliga befolkningssituation. Klarar kommuner som tappar i befolkning personal- och kompetensförsörjningen? Innebär detta att vi långsiktigt inte kommer att klara att förse landsortens företag och den för Sverige så viktiga exportindustrin med arbetskraft? Min fråga till arbetsmarknadsministern är: Vilka initiativ kommer ministern att ta för att underlätta för landsortens näringsliv och offentliga sektor när det gäller att förse dessa verksamheter med personal i framtiden? ","C"
"Annika Qarlsson","Herr talman! Centerpartiet välkomnar ett förändringsarbete inom Arbetsförmedlingen. Men att staten plockar ned skylten utan att alternativen är på plats anser vi är ansvarslöst. Det kommer att få förödande konsekvenser. Anders Ahlgren har belyst dem ur ett regionalpolitiskt perspektiv. Det finns ett antal parametrar som Arbetsförmedlingen inte har förstått eller har valt att ignorera. Det intrycket fick man när man läste artikeln och när man hörde generaldirektören när han var hos oss i arbetsmarknadsutskottet. För det första: Det finns 320 förmedlingskontor runt om i landet. Tillsammans med polis, vårdcentral, apotek och annan grundläggande samhällsservice är närheten till förmedlingsaktörer en förutsättning för att människor ska kunna bo och verka i hela landet. Det är inte direkt kontoren i Stockholms innerstad som är nedläggningshotade. Det beskedet fick vi av Mikael Sjöberg, generaldirektör för Arbetsförmedlingen. Som så ofta förr centraliseras myndigheter, och landsbygden får betala priset. Vi känner stor oro inför den försämrade service som detta kommer att innebära för både arbetssökande och arbetsgivare. Det kan inte vara rimligt att behöva åka 15-20 mil för att träffa sin närmaste förmedlare. För det andra kommer det att få förödande konsekvenser för integrationen. Ett av Arbetsförmedlingens viktigaste uppdrag är att inom ramen för etableringsreformen påskynda och underlätta nyanländas etablering i arbetslivet. Många av de ställen som nyanlända kommer till är inte Stockholms innerstad. Många småkommuner har stor mottagning. En del i Arbetsförmedlingens förnyelsearbete är att utveckla myndighetens e-tjänster och digitala kanaler. Det kan tyckas vara lite sent påkommet, men det är välkommet. Problemet är bara att nyanlända inte kan söka hjälp på nätet i samma utsträckning som andra arbetssökande. Oftast är det de som har särskilt behov av prioriterade insatser och som mest behöver stöd i form av förmedlare med god kännedom om den lokala arbetsmarknaden.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer För det tredje finns det inte något alternativ på plats. När det gäller e-tjänsterna beräknas de vara på plats 2017. Att lägga ned vart tredje förmedlingskontor utan att ha en tillfredsställande lösning på plats anser jag är ansvarslöst och oförståndigt, särskilt när det sker till en sådan liten besparing att det nästan blir ett skämt. Enligt generaldirektör Mikael Sjöberg är besparingen 30 miljoner brutto och 20 miljoner netto - i en budget på 500 miljoner kronor - för att lägga ned en tredjedel av Arbetsförmedlingens kontor. Det vi från Centerpartiet skulle vilja se är att man öppnar upp för andra typer av aktörer och inför en jobbpeng. Det är en långsiktig lösning som vi gärna skulle vilja gå i riktning mot. Oavsett det ser vi att det finns ett behov av insatser, åtgärder och förändringsarbete här och nu, och det välkomnar vi. Men att göra det på det sätt som har förespråkats tycker vi är olyckligt, och det är tufft mot många delar som kommer att förlora kontakten med Arbetsförmedlingen. ","C"
"Helena Lindahl","Herr talman! Jag kan inte låta bli att citera Patrik Björck. Han sade tidigare att Socialdemokraterna nu ska ställa svensk arbetsmarknad till rätta, och ministern sade också att den nuvarande regeringen vet vad man vill göra med Arbetsförmedlingen. Innebär det att ni stöder Arbetsförmedlingens generaldirektör, i hans planer på att lägga ned 100 lokala arbetsförmedlingskontor? Vad blir i så fall konsekvensen? Generaldirektören har ju inte direkt pekat ut exakt vilka kontor det är. Det är många runt om i landet som är oroade. Jag har varit i kontakt med den lokala arbetsförmedlingen i mitt län Västerbotten - jag bor i Robertsfors kommun. Där är man oroad över att deras kontor ska läggas ned, precis som på många andra ställen. Jag tänker speciellt på en utsatt grupp, människor med funktionshinder. Det kan vara människor som har Aspergers syndrom eller ett fysiskt funktionshinder eller kanske - som en kille jag är bekant med - inte ser, alltså är blind. Han har nu genom Arbetsförmedlingen fått sitt första jobb, vilket är fantastiskt. Det är en grupp av människor som inte så lättvindigt kan åka 14 mil. Då pratar jag till exempel om Robertsfors, där närmaste arbetsförmedling skulle vara i Umeå eller Skellefteå. Tur och retur är det 14 mil dit. Det skulle gå åt en halv dag för att ta sig dit och hem, dessutom kanske om man ska ta bussen, för vi har inte direkt några snabbtåg eller någon tunnelbana i den delen av landet. Det är en grupp människor som ofta är ganska tyst, som inte alltid har egna röster. Då är min stora oro: Vad händer med den gruppen? Oftast litar man på en person som man har på Arbetsförmedlingen. Det är jätteviktigt att man har en specifik kontakt. Den personen har också ofta god kännedom om lokala företag och möjligheter. Detta kommer naturligtvis att försvinna, om verksamheten kommer att centraliseras. Mina kolleger var tidigare inne på nyanlända. Även om Arbetsförmedlingen pratar om att man ska ha etjänster och börja med digitalisering i större utsträckning undrar jag: Om du är nyanländ och knappt känner till hur det svenska samhället fungerar och du inte har språkkunskaperna, hur ska du då kunna använda dig av etjänsterna? Då är det viktigt att kunna ha en lokal kontakt, för alla hamnar inte i större städer.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Min fråga är: Vad skulle beslutet om att lägga ned 100 kontor innebära för arbetsmarknaden i hela landet, exempelvis i norra Sverige, där jag bor och där de långa avstånden finns? Är det acceptabelt att man ska åka 14 mil för att besöka sin lokala arbetsförmedlare? ","C"
"Ylva Johansson","Herr talman! Låt mig först säga: Anders Ahlgren tycker jag på ett bra sätt beskriver den stora utmaning och de stora risker som den kraftiga urbaniseringen innebär. Det är stora delar av vårt land som har betydande problem med att klara kompetensförsörjningen och har en krympande befolkning. Det är naturligtvis mycket allvarligt om servicen försvinner. Jag delar den uppfattningen. Myndigheter ska verka för att hela Sverige ska ha likvärdig service. Det är ett uppdrag för myndigheterna, och det är också ett uppdrag för Arbetsförmedlingen. Anders Ahlgren frågar mig vilka initiativ regeringen tänker ta för att tillgodose kompetensförsörjningen i hela landet. De är betydande. Men tyvärr har en del av dem röstats ned här i kammaren. Stora satsningar på till exempel Arbetsförmedlingen och utbildningssektorn har regeringen föreslagit. Vi står också inför en utveckling där många nya invånare kommer till Sverige och får uppehållstillstånd i Sverige. Då är det viktigt med en förnyad politik för etablering så att den kompetens som nu kommer till Sverige kommer hela Sverige till del och att människorna kan få en god chans att etablera sig på ett snabbt och effektivt sätt i hela landet och bidra till kompetensförsörjningen. Det står mycket högt på min och hela regeringens agenda. Med detta sagt, herr talman, måste jag få kritisera lite. Annika Qarlsson raljerar över att Arbetsförmedlingen har en betydande utvecklingsskuld, om jag får uttrycka mig så. Väldigt mycket hände <em>inte</em> med Arbetsförmedlingens utveckling under de åtta år då Centerpartiet ingick i regeringen. Till exempel har man stora behov när det gäller utveckling av it-tjänster och etjänster, och det ansvarar naturligtvis inte den här regeringen för utan den tidigare regeringen, som i åtta år lät utvecklingen ske och också styrde i den riktningen på Arbetsförmedlingen så att man har dessa betydande utvecklingsskulder. Annika Qarlsson säger också att Centerpartiet egentligen vill ha en helt annan politik för Arbetsförmedlingen än den som den regering som Centerpartiet ingick i ansvarade för. Ja, friheten i opposition är att man kan inta alla möjliga ställningstaganden, men den regering som Centerpartiet ingick i förde ju en annan politik än den som Annika Qarlsson förespråkar nu. Jag delar Helena Lindahls uppfattning att det är oerhört viktigt att människor, inte minst personer med funktionsnedsättning eller stora behov på arbetsmarknaden, har en närhet till sitt kontor och framför allt en närhet till service och kan få ett personligt bemötande. Därför avreglerar regeringen Arbetsförmedlingen, så att man på ett bättre sätt ska kunna ägna sig mindre åt att administrera och ha mindre regelstyrning och i stället kunna fokusera på det som är Arbetsförmedlingens huvuduppdrag, nämligen att matcha personer mot lediga jobb. Men om jag vore Helena Lindahl skulle jag vara mer bekymrad över konsekvenserna av att man nu har röstat igenom en budget som ger mer än en halv miljard kronor mindre just till Arbetsförmedlingens kontor och vad det kommer att göra med Arbetsförmedlingens möjligheter att tillhandahålla duktiga arbetsförmedlare som kan ha dessa kontakter.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer I jämförelse med regeringens budgetförslag ska nu Arbetsförmedlingen dra ned 550 miljoner kronor på sin kontorsverksamhet och på sina anställda. Det riskerar tyvärr att få konsekvenser. ","S"
"Anders Ahlgren","Herr talman! Mina erfarenheter av statens uttåg från landsbygden sträcker sig ganska lång tid tillbaka. Jag har erfarenhet både som kommunstyrelseordförande och regionordförande och har sett bland annat hur Försäkringskassan lämnar många orter. Jag har också sett effekter av polisens omorganisation och hur den regionala styrningen trappas av. Jag är rätt övertygad om att vi kommer att få se samma effekt också när det gäller Arbetsförmedlingen, om statsrådet lämnar det vind för våg och säger att det är upp till Arbetsförmedlingen att styra sin egen organisations utveckling. Då blir jag orolig, för jag tror inte att det gynnar svensk landsort. När det gäller den regionala samordningen i form av länsstyrelser finns det snart inget kvar att samordna av den statliga verksamheten. Ingen av dem är ju längre länsorganisationer utan enmyndigheter. Vi har precis släppt loss ett stort antal nya regioner, där uppgiften är att utveckla regionerna. Deras likvärdighet kommer inte att vara på samma sätt, om Arbetsförmedlingens närmaste samordnande chef sitter 50 mil från länet där verksamheten ska utvecklas. Sitter man i Göteborg och har verksamheten i Dalarna är det inte så himla enkelt att leda den verksamheten. Integration av nyanlända har vi pratat om. Kunskapen om det lokala arbetslivet, näringen, kommer naturligtvis att försämras på det här sättet. Landsbygdsministern pratar sig varm för regional tillväxtpolitik och servicepunkter. Det är lite intressant att höra om ministern har samma syn som jag har när det gäller den långsiktiga utvecklingen av Arbetsförmedlingens närhet också i det regionala perspektivet. ","C"
"Annika Qarlsson","Herr talman! Jag kan konstatera att arbetsmarknadsministern hellre sprider skit än svarar på frågan. Jag tar därför frågan en gång till och hoppas att jag får svar i hennes sista inlägg. Generaldirektören konstaterade i en artikel i DN i höstas, med anledning av att man skulle göra ett förändringsarbete, att man ska stänga ned 100 av 320 kontor runt om i landet. På en direkt fråga till honom i utskottet svarade han att det kanske var något kontor som var centralt beläget som skulle läggas ned men att det huvudsakligen är landsbygd, glesbygd och små orter som blir av med sina kontor.  Detta gör man innan det finns utbyggda e-tjänster, oavsett vems fel det är. Besparingen är nästan ett skämt. Det handlar om 30 miljoner brutto av en budget på 500 miljoner, oavsett vilken budget som antogs i höstas.  Är det rätt förfarande? Ska vi stänga ned en massa kontor innan det finns ett alternativt arbetssätt på plats? Tycker arbetsmarknadsministern att det är ett bra förfarande? ","C"
"Helena Lindahl"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Jag kan säga till arbetsmarknadsminister Ylva Johansson att Alliansen också har ökat anslaget till Arbetsförmedlingen, men inte lika mycket som ni gör. Dock återstår ett faktum. Att man drar in 100 lokala kontor hjälper knappast till att förbättra den offentliga servicen i hela landet. Återigen verkar det som att landsbygden får betala ett högt pris.  Jag kan notera att ministern inte svarade på min fråga om det är okej och rimligt att man måste åka 14 mil för att göra ett ärende på Arbetsförmedlingen.  ","C"
