"Per Bolund","Herr talman! Mats Persson har frågat mig om jag kommer att ta initiativ till en konsekvensanalys av nedläggningen av forskningsprogrammet för finansmarknadsforskning och ompröva min inställning till finansmarknadsforskningen i ljuset av vad en sådan analys kommer fram till. Vidare har Jonas Jacobsson Gjörtler frågat mig vilken grund jag och regeringen har för påståendet att finansmarknadsforskningen kan fortsätta i relevant omfattning efter att den statliga delfinansieringen fasats ut om jag och regeringen är beredda att ompröva förslaget att fasa ut anslaget om det visar sig att finansmarknadsforskningen påverkas negativt av utfasningen av den statliga delfinansieringen  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer hur jag ser på vikten av forskning på finansmarknadsområdet, bland annat med tanke på den omfattande banksektor vi har i Sverige och de risker vi vet att den kan medföra. Jag svarar på båda interpellationerna i ett och samma svar. I samband med finanskrisen vidtogs en rad åtgärder för att främja stabilitet på finansmarknaderna. Den mest väsentliga åtgärden var att ta fram ett ramverk för finansiell stabilitet i bred politisk samverkan, där de viktigaste delarna var stärkta regelverk, förbättrad tillsyn, effektivt krishanteringssystem och förstärkt insättningsgaranti. En del av initiativen var av långsiktig karaktär och en del av temporär karaktär med varierande längd på utfasningsperioden. Det inrättade finansiella stabilitetsrådet är ett viktigt forum för regeringen att avhandla frågor om finansiell stabilitet, behovet av åtgärder för att motverka uppbyggnaden av finansiella obalanser och, i händelse av en finansiell kris, behovet av åtgärder för att hantera en sådan situation.  En av åtgärderna i samband med finanskrisen var därför ett skyndsamt genomförande av en satsning på finansmarknadsforskning. Verket för innovationssystem, Vinnova, fick därför i uppdrag att finansiera en sådan satsning. Ett nytt anslag inrättades i statens budget för finansmarknadsforskning med en ram på 30 miljoner kronor per år. I övrigt finansieras en betydande del av forskningen i Sverige genom statliga forskningsfinansiärer, till exempel Vinnova och Vetenskapsrådet. Medlen fördelas ut efter ansökan i konkurrens mellan olika intressenter inom olika samhällsområden. Därutöver finns en omfattande forskningsfinansiering från näringslivets sida. En viktig målsättning för genomförandet av programmet för finansmarknadsforskning har varit att den privata finansmarknadsbranschen skulle bidra med hälften av de totala insatserna. Samverkan och samfinansieringen fungerar väl, och den privata finansmarknadsbranschen har tagit ansvar för att utveckla forskningen. Detta bör medföra att det även framöver bör finnas goda förutsättningar att bedriva en bra forskning. För att säkerställa en fortsatt högkvalitativ finansmarknadsforskning kan det dock finnas anledning att ge Vinnova i uppdrag att lämna en redovisning till regeringen med en konsekvensanalys av de ändrade förutsättningarna för forskningen. Mot bakgrund av resultatet av en sådan analys bör sedan förnyade överväganden i saken göras. ","MP"
"Mats Persson","Herr talman! Det är trevligt att höra att finansmarknadsminister Per Bolund här i kammaren i dag är så pass öppen för ett omvärderande av beslutet, men jag är inte helt nöjd med svaret ändå. Initiativet att skapa ett program för finansmarknadsforskning togs i ljuset av den globala finansiella krisen 2008/09. Ökad kunskap om hur banksystem och finansiella marknader påverkar den verkliga ekonomin, hur kriserna uppkommer, vilka följdeffekterna blir och hur hushållen påverkas är viktiga frågeställningar. När programmet initierades av alliansregeringen var det tydligt att horisonten var en tioårsperiod. Per Bolund säger att verksamheten inte har utvärderats. Det är fel i sak eftersom Vinnova själv har utvärderat den verksamhet som finns i Stockholm, Göteborg och Lund och givit verksamheten gott betyg.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer På de lärosäten där denna forskning bedrivs har det funnits en inriktning att den ska fortsätta i flera år till. I det läget kommer den rödgröna regeringen med ett drastiskt besked och beslut i budgetpropositionen som innebär att det för 2015 tas bort 10 miljoner kronor och att stödet dras bort helt från 2016, vilket i sak betyder en nedläggning av detta program. Det argument som finansmarknadsministern anger om privat medfinansiering bygger på tanken att det i grunden finns en statlig grundforskning, en statlig finansiering. Det är grunden för att privata intressenter utöver det ska addera pengar till forskning. Vi var många som blev överraskade av beslutet att så drastiskt och mitt under tioårsperioden dra undan pengarna. Nu sker en öppning i den meningen att Per Bolund säger att regeringen avser att konsekvensbeskriva detta. Men det saknas fortfarande pengar för 2015, och inför 2016 är det i den budgetproposition som ligger på bordet aviserat att pengarna försvinner helt och hållet. Konsekvensbeskrivningen borde ni ha gjort för länge sedan. En normal beslutsfattare samlar först in ett underlag avseende om det är en bra eller dålig verksamhet och om verksamheten klarar sig med mindre pengar eller mer. Men ni har direkt, utan att göra det, bestämt att dra undan pengarna och lägga ned verksamheten. Nu flaggar ni för att ni är beredda att konsekvensutreda detta, vilket jag välkomnar. Jag vill dock veta vad nästa steg är rent konkret. Avser regeringen att skjuta till pengar? Har vi att vänta en tilläggsbudget till våren där pengarna säkerställs långsiktigt? Vad händer med pengarna för 2015? Det här var ett drastiskt, ogenomtänkt och oansvarigt beslut. Det är bra att regeringen flaggar för ett omtag, men jag vill ha ett förtydligande av vad som sker med pengarna för både 2015 och 2016 och av hur finansmarknadsministern långsiktigt ser på denna verksamhet. ","FP"
"Jonas Jacobsson Gjörtler","Herr talman! Det var med viss förvåning vi noterade detta förslag som var nästan insmuget i budgeten, för det annonserades inte på något tydligt sätt. I regeringens budget fanns det dock med att man plötsligt skulle avveckla anslaget till finansmarknadsforskningen, och det skulle ske ganska drastiskt och snabbt. Utfasningen börjar redan under innevarande år. I den höständringsbudget som vi ska behandla finns en neddragning på drygt 1 miljon. Sedan fortsätter detta 2015, och 2016 är anslaget helt borta, enligt regeringens förslag. Jag har suttit i finansutskottet tillsammans med nuvarande finansmarknadsminister Per Bolund och hört honom, som jag uppfattat det, vara ärligt bekymrad över det som kan hända på finansmarknaden när det inte fungerar som det ska. Det har gällt många frågor, allt från hushållens skuldsättning till större frågor om banksektorn och finanssektorn. Jag hade därför förväntat mig att Per Bolund skulle vara lite mer försiktig än att stå bakom en budget som gör ett sådant drastiskt ingrepp. Det finns många problem med detta förslag. Ett rent principiellt problem är att det innebär att staten bryter ett långsiktigt åtagande. Staten har gått in och gjort utfästelser om ett tioårigt åtagande gentemot denna forskning, vilket staten i så fall ensidigt bryter. Det är problematiskt. Det handlar inte om bara finansmarknadsforskningen i sig, utan det är ett generellt problem för hur staten uppfattas som part i olika sammanhang.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Dessa förpliktelser går dessutom åt båda håll. Som jag ser det kan staten inte ensidigt ta bort anslaget och sedan utgå från att den privata sidan behåller sin finansiering. Båda sidor har ett ansvar att stå för det man har sagt. Detta riskerar statens trovärdighet som part, och det är allvarligt. Det riskerar att skada Sveriges rykte när det gäller internationell forskning. Det uppfattas dessutom som ganska oseriöst. Jag har förstått att det finns exempel där man fick besked om anslag till sådan här forskning så sent som i september. Några veckor senare kom det nya besked från Vinnova när de sett budgetpropositionen där regeringen drar ned anslaget kraftigt för 2015 och tar bort det helt för 2016. Denna typ av ryckighet kan man inte ha i verksamheten, och det tror jag att finansmarknadsministern förstår. Finansmarknadsforskningen, med centrum i Stockholm och i samarbete med universiteten i bland annat Göteborg och Lund, håller mycket hög kvalitet. Vinnova har utvärderat detta, vilket nämndes tidigare. Denna utvärdering hoppas jag att finansmarknadsministern har fått ta del av och läst. Det man har byggt upp är en plattform, en infrastruktur, ett center för att kunna bedriva seriös forskning av internationell toppklass. Det borde vi vara stolta över i Sverige. Man kan också se det som att staten betalar en liten försäkringspremie i och med denna satsning, för vi vet vad som kan hända om denna sektor inte fungerar. Det kan ställa till stora problem i hela samhällssektorn. Per Bolund svarade inte riktigt på de konkreta frågor jag ställde. Jag ber därför Per Bolund att kika på de frågor jag ställde i interpellationen och komma med ett litet förtydligande. ","M"
"Per Bolund","Herr talman! Jag tackar interpellanterna för att de har ställt sina frågor så att vi kan ha denna diskussion. Det är värdefullt. Vi vill gärna ha en dialog med riksdagen om alla förslag som finns i budgeten, så jag välkomnar denna diskussion. Det är också bra att interpellanterna ställer sig positiva till den forskning som utförs. Det gör regeringen också. Det är viktigt att utforma ett bra system för forskning så att vi har en gedigen grund att stå på, till exempel inför kommande finansiell instabilitet och oro. Regeringens frågeställning avser att man valde en ganska ovanlig lösning när man avsatte pengar till ett specifikt område via statsbudgeten. Då är det rimligt att se om det finns andra möjligheter att finansiera denna typ av forskning. Forskning är viktigt. Jag har själv en bakgrund inom forskning, och regeringen är självklart inte kritisk till forskning. Det finns dock mycket forskning på annat håll som inte är finansierad via denna specifika forskningssatsning. Denna forskning kommer alltså inte att försvinna helt och hållet, vilket det har låtit som i debatten, utan det finns forskning inom andra institutioner som inte är finansierad genom just denna 30-miljonerspott.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Regeringen ser positivt på den forskning som har bedrivits, och vi ser att den har ett värde. Ambitionen har aldrig varit att denna forskning skulle upphöra eller försvinna, utan den har varit att se om man kan hitta finansiering från andra håll. Det normala sättet att finansiera forskning är att man har forskningsråd och forskningsstiftelser och att man ansöker i konkurrens. Att man har konkurrens i forskningen och väger olika forskningsområden mot varandra borde vara ett system som även passar de borgerliga ledamöterna i riksdagen. Anledningen till att vi är tvungna att göra olika typer av besparingar är att vi har ett väldigt bekymmersamt budgetläge. Vi har statsfinanser som i år går med 2 procents underskott, och det är klart att vi inte kan fortsätta att ha den situationen framöver. Det skulle göra att vi frångår det finanspolitiska budgetramverket och aldrig kan nå överskottsmålet. Där har regeringen en ambition och ett ansvar att se till att vi kan gå tillbaka till starkare statsfinanser. Detta motsvarar 90 miljarder kronor som successivt måste fyllas under årens lopp, och då måste vi i regeringen vara beredda att titta på alla områden och se vilka möjligheter som finns till besparingar. Om vi inte hade gjort den här typen av insatser hade vi inte kunnat göra de förstärkningar vi nu kommer med i budgeten, till exempel att förstärka trygghetssystemen, genomföra stora och viktiga satsningar på klimat och biologisk mångfald och göra de stora satsningar på till exempel skolan som finns med i den budget som kommer att hanteras här i riksdagen under hösten. Självklart måste vi försöka se olika möjligheter att finansiera detta vidare. Vi har dock tagit till oss den oro som finns hos interpellanterna men även hos andra och sett att det är värt att göra en konsekvensanalys. Där kan vi titta på om det finns möjligheter att finansiera forskningen på andra sätt, genom privata eller offentliga insatser. Konsekvensanalysen ska göras skyndsamt så att vi får ett underlag så snabbt som möjligt. Avsikten är att Vinnova ska få uppdraget inom kort och redovisa resultaten under våren 2015. Det kommer alltså att vara en skyndsam hantering av denna fråga. Utifrån det underlag som kommer in via konsekvensanalysen får vi i regeringen göra en förnyad bedömning av situationen. ","MP"
"Mats Persson","Herr talman! Finansmarknadsministern! Ökad kunskap om de finansiella marknaderna är inte oviktigt, inte minst i Sverige eftersom vi är ett av de länder i Europa som har en banksektor som utgör en stor del av vår ekonomi. De fyra stora bankerna i Sverige är systemkritiska för hela det svenska finansiella systemet. Hur de utvecklas och hur det finansiella systemet i Sverige och internationellt ser ut är viktigt för hela den svenska ekonomin. Det var mot den bakgrunden som alliansregeringen tog det speciella initiativet att långsiktigt titta på de här frågorna och att strategiskt satsa på ett särskilt program för dem med säte i Stockholm, Göteborg och Lund. Syftet var att öka kunskapen om frågorna.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Vinnova har gjort en utvärdering - man kan kalla det en halvtidsrapport. En av mina frågor till ministern är: Vad är det i Vinnovas utvärdering som regeringen inte är nöjd med, och vad är det man tror att man kommer att hitta i konsekvensanalysen som skiljer sig från Vinnova? En annan del handlar om att när ni nu mycket försiktigt öppnar upp för att titta på frågan kvarstår oron, Per Bolund. Vad händer med finansieringen 2015? Kommer det att ligga 10 miljoner kronor, eller kommer en tredjedel av verksamheten att behöva dras ned 2015? Kommer man att leva i ovisshet om vad som händer till 2016? Min konkreta fråga till Per Bolund är: Avser ni att avsätta pengar till verksamheten för 2015 och även för 2016? Min andra fråga är: Vad är det i Vinnovas utvärdering som regeringen inte är nöjd med? Den har uppenbarligen inte varit tillräcklig ur ert perspektiv eftersom ni väljer att lägga ned verksamheten. ","FP"
"Jonas Jacobsson Gjörtler","Herr talman! Jag tackar finansmarknadsministern för svaret och utvecklingen av svaret. Det är inte någon slump att utformningen av den här delen av forskningen är som den är. Som jag nämnde tidigare handlar detta mer om att skapa en plattform, ett center och en infrastruktur för att kunna bedriva forskning i världsklass på det här området. Det blir därför inte riktigt relevant när finansmarknadsministern nämner att det vore bättre att hitta en annan modell där man har någon form av konkurrens inom forskningen. Det har man ju. Man måste söka pengar för att bedriva forskning på precis samma sätt som man gör i andra sammanhang. Det fungerar redan så. Det här handlar mer om att se till att plattformen finns så att man kan bedriva detta på ett seriöst sätt. Om plattformen inte finns kan forskning inte bedrivas, och då spelar det ingen roll om man försöker hävda att det finns pengar någon annanstans i systemet. Om man drar undan plattformen kommer det att begränsa möjligheterna. Jag uppfattar det inte som riktigt seriöst att man försöker hävda att det här är en del av ett bekymmersamt budgetläge och att man ska genomföra någon form av budgetsanering där man drar undan hela anslaget på 30 miljoner för finansmarknadsforskningen. Per Bolund vet att det är ett väldigt litet anslag i det stora sammanhang som statsbudgeten är - vi pratar om 900 miljarder. Detta handlar om 30 miljoner. Jag tycker att man kan se det som en i sammanhanget väldigt billig försäkringspremie från statens sida där man investerar en liten slant i att säkerställa att vi kan ha spjutspetsforskning på området för att undvika att hamna i problem, vilket vi annars skulle kunna riskera att göra om den finansiella sektorn inte fungerar som den ska. Vi har en stor banksektor och en stor finanssektor. Det är viktigt för oss att de fungerar i Sverige, och där tycker jag att staten bör kunna dra sitt strå till stacken. Då är det extra allvarligt att staten går in i ett åtagande som man sedan är beredd att bryta med så här kort varsel. Det riskerar statens trovärdighet som part. Men det är inte nog med det. Utöver att den allmänna forskningen bedrivs drar staten nytta av resurserna på annat sätt. Såväl Finansinspektionen och Riksbanken som Finansdepartementet och såvitt jag förstår även AP-fonderna använder sig av resultat från forskningen och har alltså nytta av att den finns. Staten får nog igen en hel del av detta på fler sätt än vad finansmarknadsministern kanske har uppfattat.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det som jag också tycker är allvarligt i ett mer demokratiskt sammanhang är att ingen kunde förutse detta. Det var ingenting som Miljöpartiet eller Socialdemokraterna berättade för väljarna före valet. Om vi vinner valet ska vi spara pengar i statens budget genom att dra in anslaget för finansmarknadsforskning - det har inte stått någonstans, Per Bolund, inte i era budgetmotioner under era år i opposition och inte i era program som ni gått till val på. Ingen visste detta, utan det har dykt upp efter valet. Jag tror att det är ganska uppenbart för de flesta att någon har sett att det finns ett anslag som man lite lätt - har man trott - bara kan plocka in. Jag tycker inte att det är seriöst. Nu är ändå signalen från finansmarknadsministern lite positiv. Han säger att man vill se över det här och göra någon form av analys eller utvärdering. Men egentligen behöver detta inte analyseras eller utvärderas. Det finns en analys av verksamheten, och vi vet att den är bra. Vad som händer om man drar undan pengarna behöver vi ingen analys av heller. Vi vet att om man drar undan pengarna försvinner verksamheten. Jag tycker att det vore bättre om finansmarknadsministern kunde lova här i dag att han ska göra vad han kan för att redan i vårändringsbudgeten säkerställa att anslaget återställs på det sätt som staten en gång har åtagit sig att det ska vara. ","M"
"Per Bolund","Herr talman! När vi tillträdde som regering fick vi bistra besked från Finansdepartementet om hur allvarligt budgetläget var. Det var information vi inte hade innan vi kom i regeringsställning, och det är djupt bekymmersamt hur det ekonomiska läget ser ut. Vi har därför känt oss tvungna att genom principen många bäckar små hitta finansiering för att göra de reformer Sverige behöver för att kunna säkra till exempel skolsystemet och bedriva ett aktivt miljö- och klimatarbete som vi vet behövs för att vi ska kunna undvika andra typer av kriser. Det finns inte bara finansiella kriser i vår värld utan även andra sorters kriser som vi behöver hantera och motverka. När jag talade om ansökningar i konkurrens pratade jag snarare om konkurrensen mellan forskningsfält. Där är det ganska ovanligt att regeringen går in och pekar ut ett speciellt fält som ska ha speciell finansiering. Så brukar man inte göra i vanliga fall. Det är en intressant fråga om det är den principen som ska gälla framöver. Om den sittande regeringen till exempel skulle utpeka att 30 miljoner kronor ska skickas till klimatforskning, kan jag då räkna med herrar interpellanternas stöd för att det ska fortsätta under en tioårsperiod eller liknande? Det är i så fall en lite ny princip som införs när det gäller forskningsfinansiering. När det gäller frågan om finansiella risker är jag, precis som Jonas Jacobsson Gjörtler var inne på, bekymrad över de risker som finns. Jag ser stora behov av att hantera riskerna för att vi på nytt hamnar i finansiell oro. Det ser jag som en av mina absoluta huvuduppgifter som finansmarknadsminister.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Den sittande regeringen har redan haft möten med Finansiella stabilitetsrådet och de myndigheter som är ansvariga för att tillgodose att vi har en finansiell stabilitet. Efter det mötet har en av myndigheterna - Finansinspektionen - föreslagit ett amorteringskrav som skulle kunna göra att vi minskar riskerna för att hushållen har en skuldsättning som kan medföra finansiella kriser. Redan efter de första veckorna har den här regeringen agerat ganska kraftfullt på det området. Det är vi såklart beredda att göra även fortsättningsvis, att fortsätta verka för att vi ska se till att ha en finansiell stabilitet. Jag fick också en fråga kring Vinnovas tidigare konsekvensanalys, den analys som har gjorts av forskningen. Den har vi tittat på. Jag håller med om att det är en mycket bra granskning som har gjorts, och den ger en inblick i en forskning som bedrivs med hög kvalitet. Jag återupprepar att regeringens ambition aldrig har varit att den forskningen skulle upphöra, utan det handlar snarare om att se om man kan finansiera den med andra metoder. Den konsekvensanalys som ni nu föreslår gäller att titta över vilka konsekvenser en förändring av finansieringen får för verksamheten, och det är ett helt annat fokus. Det är inte samma typ av analyser som vi diskuterar. Vi har föreslagit att det ska göras en konsekvensanalys, och den kommer att göras skyndsamt. Där kommer vi att få en analys från den ansvariga myndigheten, Vinnova, om vilka effekter en sådan neddragning kan få och om det finns möjligheter att hitta finansiering från andra källor, privata eller offentliga. Vi kommer att avvakta när den konsekvensanalysen utförs och se vilka förslag som kommer med i en sådan analys. Därefter kommer vi att göra en förnyad analys av behovet av att komma med ytterligare politiska åtgärder. Nu låter vi den processen verka, och sedan återkommer vi med besked i frågan. ","MP"
"Mats Persson","Herr talman! När man lyssnar på finansmarknadsministern kan man få intrycket att staten aldrig har gett långsiktigt stöd till forskning och att tioåriga stöd till forskning är något ovanligt. Men så är det inte. Jag tror att finansministern och de flesta i kammaren är helt införstådda med att framgångsrik forskning bygger på att man har långsiktiga förutsättningar för att undersöka, vrida och vända på frågeställningar och framför allt har tid att analysera resultaten och på det sättet kan föra ut kunskapen i samhället som helhet. Det är inte minst viktigt när det handlar om frågor om hur den finansiella marknaden påverkar ekonomin som helhet. Det rimliga i min värld när man går in i ett budgetarbete är att man för de förändringar som man avser att göra funderar över: Finns det verksamheter som är dåliga? Finns det verksamheter som är bra? Om man ska göra förändringar, vad blir då effekten om man lägger ned verksamheter som är bra? Då finns det en bra grund i den utvärdering som Vinnova har gjort. Det handlar om en verksamhet som håller hög kvalitet och som bidrar till forskning som är viktig för samhället. Då säger Per Bolund att man nu, i detta skede, ska börja göra en konsekvensanalys av hur det blir om man drar undan pengarna.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Vi kan redan nu se konsekvenser för forskning som bedrivs i Stockholm, Göteborg och Lund, som nu riskerar att läggas ned. Det är verksamhet som man har börjat bygga upp eftersom man har fått en signal från den ansvariga myndigheten att verksamheten håller hög kvalitet. Vi kan alltså egentligen redan nu se konsekvenserna av en osäkerhet som en oansvarig rödgrön regering skapar i och med det här beslutet och i och med budgetpropositionen. Jag upprepar min fråga, eftersom jag inte har fått något svar på den frågan: Avser ni med tanke på detta att avsätta pengar för 2015 och 2016 till den här verksamheten, så att den kan fortsätta? Och varför gör man en konsekvensanalys först efter fattat beslut? Borde man inte göra tvärtom? ","FP"
"Jonas Jacobsson Gjörtler","Herr talman! Som jag har uppfattat det, finansmarknadsministern, har vi genom de senaste åren haft ett mycket brett stöd generellt sett i Sverige för det arbete med att skapa finansiell stabilitet som har bedrivits. Jag har inte uppfattat att det har varit några politiska skiljelinjer här, i varje fall inga större fast ibland i några detaljer. Generellt har jag sett att det har funnits en bred samsyn kring hur de här frågorna ska hanteras, eftersom vi alla har uppfattat det som viktigt för Sverige med en stor finansiell sektor. Då blir det lite märkligt att anföra det som något slags argument. Du får det lite grann att låta som om Socialdemokraterna och Miljöpartiet skulle ha varit emot de här satsningarna, men så har det inte varit. Ni har aldrig lagt något annat förslag i någon budgetmotion, och ni har inte heller inför valet berättat att ni var beredda att göra den här neddragningen. Uppenbarligen är det en omprioritering som ni har gjort, och det har ni gjort utan att berätta i förväg att den var på väg. Jag tror att det handlar om att ni har varit lite dåligt förberedda. Är man inte förberedd är man oförberedd. Ni har förmodligen inte varit överens om var ni ska hitta de pengar som ni har tyckt att ni behöver. Är man inte överens är man oenig. En regering som är oenig och oförberedd riskerar att skapa osäkerhet och otydlighet. Det är precis vad vi ser det inom det här området. Vi har tidigare sett det på en rad andra områden, och nu kommer det på finansmarknadsforskningsområdet. Jag tycker att det är mycket olyckligt, och det riskerar att skada statens trovärdighet som långsiktig part. Jag vill upprepa frågan till Per Bolund och hoppas att du tar tillfället i akt i ditt sista inlägg att ge ett besked: Är regeringen beredd att ompröva förslaget att fasa ut det här anslaget, om det visar sig att den här forskningen påverkas negativt av utfasningen av den statliga delfinansieringen? ","M"
"Per Bolund","Herr talman! Anledningen till att vi har hamnat i det läge där vi är nu - där vi har varit tvungna att hitta besparingar och finansiering för våra reformer, när vi nu lägger en fullt finansierad budget - är att vi har tagit över efter den tidigare regeringen, som har bedrivit en ganska oansvarig ekonomisk politik, där man har drivit statsfinanserna med stora underskott för att genomföra skattesänkningar.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det är en politik som vi inte är beredda att fortsätta, utan vi vill föra en ansvarsfull ekonomisk politik där vi ser till att finansiera våra reformer fullt ut och steg för steg närmar oss överskottsmålet och de mål som finns i det budgetpolitiska ramverket. Det handlar om att föra en ansvarsfull politik. Då måste man gräva ganska djupt. Man måste vända på alla stenar för att se om det finns möjlighet att hitta resurser som gör att vi kan göra viktiga satsningar som helt enkelt måste utföras för att Sverige ska bli det land som vi alla vill att det ska vara, med väl fungerande utbildning och trygghetssystem som alla kan lita på och som även gör att vi lämnar över en planet i hållbart skick till våra barn och barnbarn. Jag tycker att det är lite tråkigt när man i en sådan här debatt säger att motparten inte svarar på frågor. Jag har svarat på de frågor som har ställts vid ett flertal tillfällen. På frågan om vi avser att avsätta pengar har jag till exempel tydligt sagt att vi nu gör en konsekvensanalys och sedan avvaktar och ser vilket resultat det blir och vad analysen säger. Därefter är vi beredda att göra en ny prövning av frågan, just för att kunna se om det finns möjligheter att hitta finansiering från annat håll eller om vi måste skjuta till pengar i framtiden. Men innan den analysen är gjord är det dumt att svara på den frågan, tycker jag, utan då är det bättre att vänta på analysen och återkomma. Det är också svaret på Jonas Jacobsson Gjörtlers fråga som han har ställt. Det rimliga är att vi nu, som jag har sagt i svaret, gör en konsekvensanalys, tar del av den analysen och därefter återkommer med förslag på åtgärder. Målet från regeringens sida är såklart att fortsätta med den här forskningen. ","MP"
