"Åsa Regnér","Herr talman! Lars-Arne Staxäng har ställt flera frågor. Varför lägger statsrådet ned Äldreutredningen? Vilka initiativ kommer statsrådet att ta före årsskiftet för att ta itu med utmaningarna kring framtidens äldreomsorg? Hur kommer statsrådet att garantera att äldres inflytande och självbestämmande inom äldreomsorg stärks framöver? Vad kommer statsrådet att göra för att Sverige ska få en mer effektiv äldreomsorg där kvalitet sätts i centrum, där ny teknik tas till vara och där biståndsbedömningarna förenklas? Hur kommer statsrådet att arbeta för att kommuner och landsting ska samverka mer vad gäller vård och omsorg av äldre? Vad kommer statsrådet att göra för att säkerställa att kvaliteten i omsorgen inte bara höjs utan också mäts och följs upp i relation till äldres individuella behov? En grundläggande uppgift för en nytillträdd regering är att överväga vilka utredningsbehov som finns. I det ingår att pröva om redan tillsatta utredningar motsvarar de behov som finns. Äldreutredningen läggs ned för att regeringen avser att ta fram en nationell kvalitetsplan med ett bredare uppdrag och med en bredare representation. I regeringsförklaringen den 3 oktober 2014 aviserade statsministern att en långsiktig kvalitetsplan för den svenska äldreomsorgen ska tas fram i bred samverkan. Regeringen har i budgetpropositionen för 2015 aviserat en tydlig inriktning för arbetet med äldrepolitiken. Viktiga utgångspunkter för det arbetet är jämlikhet, trygghet, delaktighet och inflytande. Naturligtvis ska kvaliteten i samhällets omsorg för äldre vara god. Därför har regeringen valt att satsa 2 miljarder kronor per år under 2015-2018 på en kraftfull insats för stärkt bemanning i äldreomsorgen. Äldre kvinnor och män ska kunna lita på att det finns tillräckligt med personal med lämplig utbildning och erfarenhet. En basal förutsättning för att god kvalitet ska kunna uppstå är att det finns personal - personal med tillräcklig kunskap och erfarenhet och som har sådana övriga förutsättningar i arbetet att de kan utföra sina arbetsuppgifter på ett professionellt sätt. Det ger förutsättningar för att de anställda ska kunna stanna kvar i yrket och utveckla en omsorg med allt högre kvalitet. Det ger en äldreomsorg där arbetet skapar god effekt och kan bedrivas på ett effektivt sätt. Samverkan mellan kommunerna och landstingen är naturligtvis avgörande för att den vård och omsorg som den enskilde behöver ska fungera så bra som möjligt. Regeringen följer här utvecklingen nära och kan återkomma med åtgärdsförslag om det bedöms nödvändigt.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Den långsiktiga utvecklingen inom äldreområdet behöver stödjas och vägledas av en äldrepolitik som på ett verkningsfullt sätt kan föra Sverige in i den framtid där allt fler av oss är äldre. Vi måste också bättre uppmärksamma att äldre kvinnor och män inte utgör en homogen grupp, utan alla har rätt att livet igenom bli bemötta som individer med olika behov och önskemål. Det behövs nya mål och en ny inriktning för äldrepolitiken. För den långsiktiga utvecklingen av äldrepolitiken utgör uppföljning och utvärdering viktiga instrument. Det är bland annat mot denna bakgrund viktigt att en nationell kvalitetsplan tas fram. ","S"
"Lars-Arne Staxäng","Herr talman! Jag får först tacka för svaret. Även jag vill passa på att gratulera statsrådet till det viktiga uppdraget. Men jag måste tyvärr säga att jag inte är riktigt nöjd med svaret. Jag ska försöka förklara varför. Detta är en av de allra viktigaste utredningarna framöver. Jag säger det inte minst av demografiska skäl. Vi vet att vi kommer att få en fördubbling av antalet äldre över 80 år. Vi vet också att när människor blir över 80 år behöver de hjälp av sina närmaste och även av samhället på olika sätt. Den här utredningen - det är intressant när man läser direktivet till utredningen - hade en ganska tydlig styrning i fråga om just de viktiga frågor som vi har framför oss inom det här området. Därför förstår jag inte varför man tar bort utredningen, där det sitter 21, 22 av våra allra duktigaste inom området, och varför man inte inväntar svaret när utredningen faktiskt har jobbat ett år av två. Det var meningen att man skulle kunna få fram det här till den 15 december 2015. Utredningen kan knappast beskyllas för att vara ideologisk i den meningen att det finns stora skiljaktigheter i synen på att förbättra för äldre nu och i framtiden. I så fall har jag missuppfattat saken helt och hållet. Här är huvuddragen i kommittédirektivet - de är viktiga att komma ihåg: Det handlar om att utveckla förutsättningarna för kommunernas och landstingens förebyggande arbete så att det kan bli en mer integrerad uppgift i vård och omsorg om äldre. Vad betyder detta? Jo, det är en jättegammal konflikt. Det är en sak som inte har fungerat optimalt, nämligen att vi har flera huvudmän. Ibland är det staten. Ibland är det kommuner och landsting. Det här fungerar inte optimalt. Det skulle man titta på. Det handlar om att säkerställa att dagens regelverk för biståndsbedömning är det bästa. Vi vet att det är en gammal käpphäst. Det finns mycket att förbättra där. Det handlar om att säkerställa att insatser, metoder, teknik och inte minst utbildning är på bästa sätt för att omsorgen ska bli så bra och effektiv som möjligt. Det här borde vara saker som det är jätteviktigt att få fram om vi ska kunna klara en bra äldreomsorg.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Även våra pensionärsorganisationer har varit jätteangelägna om att den här utredningen skulle tillsättas. De är naturligtvis också nyfikna på resultatet, vad som kommer fram. Svensk vård står inför minst sagt betydande utmaningar de närmaste åren. Det är viktigt med patientinflytande, trygghet och självbestämmande. Det går inte att vrida tillbaka klockan till den tid då allt bestämdes över huvudet på de vårdbehövande. Ni har i er budget gjort en skattelindring för en del av pensionärerna, men ni har plockat tillbaka de pengarna genom en löneskatt som vi ska debattera senare. Ni har infört en höjning i högkostnadsskyddet inom äldreomsorgen på 224 kronor, som ni har plockat in motsvarande statsbidrag för. Det är också ett slopande av investeringsstödet till särskilt boende och trygghetsboende. Alla de här sakerna gör att Äldreutredningen om möjligt är ännu mer angelägen för att man ska kunna se konsekvenserna av helheten och för att man ska kunna hantera situationen de närmaste 20-30 åren. Det handlar om hur vi ska hantera de här frågorna. ","M"
"Margareta B Kjellin","Herr talman! Statsrådet Åsa Regnér har svarat på Lars-Arne Staxängs interpellation om den nedlagda Äldreutredningen utan att egentligen besvara flera av de frågor som har ställts. Det är väldigt tydligt att anledningen till nedläggningen är att man vill förändra de nuvarande målen för äldrepolitiken. I stället ska regeringen ha en långsiktig kvalitetsplan för den svenska äldreomsorgen. I det läget blir det naturligt att sätta de mål som fanns mot vad som är tänkt att bli. Vi kan då gå tillbaka till de nuvarande målen, som alliansregeringen lade fram för äldrepolitiken. Där säger man att äldre ska kunna leva ett aktivt liv och ha inflytande i samhället och över sin vardag. Äldre ska kunna åldras i trygghet och med bibehållet oberoende, bemötas med respekt och ha tillgång till god vård och omsorg. Då har jag en fråga till statsrådet. Om de målen ska tas bort och ersättas med jämlikhet, trygghet, delaktighet och inflytande blir min fundering: Hur ska kvaliteten kunna öka för den enskilde? Jag funderar på om regeringen inte tycker att det är rimligt att äldre ska kunna leva ett aktivt liv och ha inflytande över sin vardag. Är det mot den bakgrunden som regeringen väljer att ta bort möjligheten för äldre att bland annat välja hälsocentral? Blir det jämlikt om man i ett landsting som har LOV kvar ska få välja men inte i andra? Är det jämlikhet? Hur stämmer de nya målen? Finns det mot denna bakgrund en tanke om delaktighet och inflytande? Herr talman! Statsrådet säger naturligtvis att kvaliteten ska vara god och att man uppnår det med mer personal. Jag vet, som vårdlärare, att personalen är otroligt viktig i en god omvårdnad. Men den ska vara anpassad efter den enskildes behov. Det är faktiskt inte bara numerären som är viktig. Det är viktigt att personalen gör rätt saker på rätt sätt. För att man ska kunna uppleva trygghet är bemötandet ytterst betydelsefullt. Att man ska bemötas med respekt är tydligen ett av de mål som statsrådet vill ta bort. Äldreutredningen hade tydliga och välmotiverade uppdrag. Vi vet att vi står inför en framtid där 30 procent av Sveriges befolkning är över 65 år. För att behovet av insatser inte ska bli för tungt för kommunen är det otroligt viktigt att skjuta upp åldrandet så långt som möjligt. Det var en av de frågor som Äldreutredningen hade att besvara. Det handlar inte bara om en kvalitetsplan. Det handlar om hur vi ska förebygga åldrandet i framtiden.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Vi har erfarenhet från dagens biståndsbedömning. Vi inser att insatser för äldre behöver anpassas till framtidens äldre. Det var också ett av uppdragen som Äldreutredningen hade. Man skulle se över detta. Det handlar om de äldres bästa och om kommunens möjlighet att utveckla nya arbetssätt. Det skulle vara bra för båda, och det skulle Äldreutredningen belysa. Mot bakgrund av att det kommer att finnas många äldre framöver fanns det ett uppdrag att se över att insatserna görs kostnadseffektivt. Det kan till exempel handla om hur kommuner och landsting ska samarbeta så att inte dubbelarbete utförs. Det skulle Äldreutredningen också belysa. Herr talman! Jag önskar att statsrådet tydliggör hur statsrådet ser på nuvarande mål för äldrepolitiken i förhållande till den nya regeringens ambitioner. ","M"
"Åsa Regnér","Herr talman! Tack för gratulationerna! Det här är stora och viktiga frågor som berör många. Det som är absolut viktigast är att de äldres vårdbehov finns i centrum för alla insatser som görs och alla initiativ som tas. Regeringen tillskjuter i budgeten 2 miljarder per år till äldreomsorgen. Det är 8 miljarder under mandatperioden, och det är nästan dubbelt så mycket som Alliansen har i sitt förslag. Det är 2 miljarder till äldreomsorgen per år, och de pengarna ska gå till bemanningsinsatser men inte bara det. De här medlen ska följas av en bred kommission, kan vi kalla det för. Direktiven är ännu inte fastställda, men jag kallar det för en kvalitetskommission så länge. Kvalitetskommissionen ska vara inkluderande. Den ska ha de äldres behov i centrum. Den ska ta in synpunkter, och organisationer som representerar äldre ska vara delaktiga. Den ska ha bred förankring i politiska partier liksom hos parterna, som har mycket engagemang i och erfarenhet av den här frågan, Sveriges Kommuner och Landsting och så vidare. Vi tror att dessa 2 miljarder, tillsammans med äldrekommissionen, kommer att fokusera äldreomsorgen i Sverige på kvalitet och kompetens med de äldres behov i fokus. Naturligtvis är det otroligt viktigt för oss att jämlikhet, inflytande, deltagande, bra bemötande och så vidare är centralt i detta. Jag vill till och med lägga till jämställdhet; vi vet faktiskt att kvinnor och män inte får samma bedömningar när det gäller hemtjänstinsatser och äldreomsorgsbehov, trots att kvinnor utgör den stora majoriteten av dem som behöver tjänsterna. Vi har med dessa 2 miljarder förstås även ambitionen att det ska skapas goda arbetssituationer för personalen i äldreomsorgen. Jag håller helt med om att personalen är en nyckelgrupp i detta, och en trygg personal som har goda arbetsvillkor och känner att de kan erbjuda närvaro och stöd till de äldre är en förutsättning för att helheten ska bli bra. ","S"
"Lars-Arne Staxäng"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Jag har hört vad statsrådet har anfört, men jag blir om möjligt ännu mer fundersam över svaret. Om man verkligen vill förbättra för de äldre i framtiden funderar jag nämligen på varför man lägger ned denna utredning.  Vi har hört statsrådet - man plockar fram argumenten. Vartenda ett av de här argumenten, som är vackra ord jag till stor del kan hålla med om, finns dock i direktiven. Det var precis detta Äldreutredningen skulle plocka fram, med några av landets bästa experter. Varför gör man inte till exempel en komplettering? Varför lägger man ned och börjar om på en helt ny sida? Dessutom talar man mycket luddigt om att vi ska göra kvalitetsplaner, i princip utan att tala om hur detta ska gå till. Precis som jag sagt tidigare känner pensionärsorganisationerna också en stor oro över varför man gör det här. De hade med stor tillfredsställelse sett fram emot att ta del av svaren, som kanske skulle ligga till grund för deras fortsatta arbete med påtryckningar när det gäller vad vi behöver i framtiden - vad kommuner och landsting behöver hjälp med, vilken utbildning vi ska satsa på och så vidare. Alla de sakerna fanns faktiskt med, plus en sak till: På s. 5 i direktiven står en sak statsrådet har tagit upp, nämligen att vi ska ha en kommission för fallolyckor. Det är ett tydligt uppdrag som ingick i Äldreutredningen.  Jag håller verkligen med om att det här är angelägna uppgifter, men det är inga nya uppgifter. Många av kommunerna ute i Sverige är jätteduktiga på detta, och det gäller att lära sig av dem som redan har påbörjat det arbete kommissionen är tänkt att sätta igång med. Men varför lägger man ned för att sedan sätta igång en ny kommission, när arbetet påbörjades redan för ett år sedan? Det är det jag inte förstår.  Jag förstår att man naturligtvis vill ha en fortsättning av äldreutredningar och att man vill ha kommissioner, kvalitetsuppföljningar och så vidare. Men varför lägger man ned från början? Alla vet ju att det blir en fördröjning på ett halvår eller ett år innan arbetet kommer igång igen. Jag är också väldigt fundersam över varför man har lagt ned just denna utredning. Finns det några bakomliggande skäl? Är det utredaren man inte är nöjd med, eller är det personerna som har legat bakom? Vad är anledningen? Jag förstår inte riktigt det. Jag får därför, som Margareta B Kjellin var inne på tidigare, ta till ett gammalt uttryck som många har använt: Tänk om, tänk rätt! Jag tror att det skulle vara värdefullt för alla - för den politiska debatten och för att vi ska få ta del av de resultat vi beräknas få om ett år. ","M"
"Margareta B Kjellin","Herr talman! Statsrådet sa i sitt svar att den nya kvalitetsplanen ska ha ett bredare uppdrag och en bredare representation. Då blir jag väldigt fundersam och måste ställa frågan om statsrådet på allvar har satt sig in i direktiven eller om hon endast avfärdar detta för att det kommer från fel regering. Sedan funderar jag över vad en bredare representation innebär. I Äldreutredningen skulle samråd nämligen ske med Socialstyrelsen, Folkhälsomyndigheten, Myndigheten för samhällsskydd och beredskap, Vinnova, Sveriges Kommuner och Landsting, Famna, Vårdföretagarna, pensionärsorganisationerna och andra berörda ideella organisationer. Vilka fler måste vara med för att det ska bli tillräckligt brett?   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Sammanfattningsvis undrar jag om inte alla de här frågorna måste få sitt svar innan statsrådet kan göra den långsiktiga planen. I så fall undrar jag vilken av Äldreutredningens frågor det är statsrådet inte vill ha svar på.  Herr talman! En annan fundering jag har är om självstyret för politiken är viktigare än människors egen makt. Det politiska uppdraget må vara viktigt, men allra viktigast är faktiskt de människor på vilkas uppdrag vi har fått förtroendet att sitta i regering och riksdag. Jag tycker att det är den bilden man alltid måste ha framför sig. Varför är jag här? Varför gör jag det här? Det kanske inte alltid är för att byta ett ord mot ett annat. I stället handlar det om att se en helhet där människan är i centrum och där vi tittar på kvaliteten. De mål som fanns i Äldreutredningen var inte särskilt politiska.  ","M"
"Veronica Palm","Herr talman! Debatten handlar om Äldreutredningen - den utredning där regeringen nu, precis som statsrådet tydligt har redovisat, tar ett bredare ansvar. Det är helt nödvändigt. Efter åtta år av högerpolitik i det här landet är det helt nödvändigt att man tar ett större ansvar.  Jag måste säga att jag uppskattar att våra moderata kolleger tar upp diskussionen, för den är viktig. Det är dock väldigt magstarkt att vara så stursk i debatten. Det vore lite klädsamt med ett något lägre tonläge. Vi står inför att om mindre än en vecka rösta om en budget där den rödgröna regeringen tillsammans med Vänsterpartiet föreslår ytterligare 2 miljarder för ökad kvalitet i äldreomsorgen. Det avser de borgerliga att rösta nej till. Jag vill bara bedriva lite konsumentupplysning för dem som finns i kammaren och för dem som ser detta på tv. Det är där konflikten står - mer eller mindre resurser till äldreomsorgen. Det finns en överenskommelse mellan regeringen och Vänsterpartiet om att få bort de hutlösa vinster av skattepengar som läcker ut ur välfärden. Pengar avsedda för äldreomsorg ska gå till äldreomsorg, inte till vinster i aktiebolag. Där säger oppositionen nej. Det är här politiken finns. Det här är magstarkt dagen efter att fyra borgerliga partier, lite tjurigt och buttert, valde att lämna pensionsgruppens arbete. De valde att gå ut ur rummet. Det är oansvarigt, inte mot den socialdemokratiskt ledda regeringen utan mot landets två miljoner pensionärer - och sju miljoner blivande pensionärer. Landets pensionärer har rätt till en tryggare bild av hur landet ska styras. Vi behöver fler människor i arbete, så att pensionerna inte sänks, och vi behöver en bättre äldreomsorg. Vi behöver ansvariga politiker som inte tjurar och lämnar en så viktig överenskommelse som pensionsöverenskommelsen. Jag vill därför ta tillfället i akt och ställa en fråga till de borgerliga kollegerna. Känns det inte lite pinsamt att efter åtta år med sänkta pensioner, ökade skatteklyftor och sämre kvalitet i välfärden stå och ha en debatt mot en äldreminister som tar ett större ansvar? ","S"
"Åsa Regnér"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Jag har här tydligt hört att det finns ett starkt stöd för att jobba med bra kvalitet i äldreomsorgen. Därför antar jag att det verkligen är goda nyheter att regeringen lägger 2 miljarder i sin budget, alltså nästan dubbelt så mycket som oppositionen, just till äldreomsorgen. Det är 8 miljarder under mandatperioden. Den nya utredningen är en bred utredning med ett brett deltagande och med de äldres behov i centrum. Det är också viktigt att den nya utredningen fokuserar på de 2 miljarderna för bemanning. När det gäller till exempel fallolyckor har de dessvärre ökat kraftigt under senare år. Det är förstås en fråga som den nya utredningen behöver behandla, eftersom närvaro av mer personal sannolikt är viktigt för att förebygga fallolyckor. Lugn och ro vid måltider, att någon har koll på hur mycket läkemedel man får i sig, hur det ser ut med sladdar och trösklar i hemmet där den äldre befinner sig är alla sådana frågor som handlar om de äldres kvalitet i sina liv. Att förebygga skador är förstås en väldigt viktig fråga för den nya utredningen. Jag träffar också äldreorganisationer, pensionärsorganisationer, företrädare för äldre och företrädare för personal inom äldreomsorgen. De är väldigt glada för 2 miljarder i stället för drygt hälften. De tycker att det är en tydlig seriös satsning och har hittills visat stort intresse för att delta i de här samtalen. Här i veckan var det äldreomsorgsdagar. Det var en väldigt positiv stämning eftersom personer som jobbar i äldreomsorgen och de äldre tycker att 2 miljarder är bättre än drygt hälften. De vill delta i ett samtal om hur detta på bästa sätt kan öka kvaliteten i äldreomsorgen, ställa de äldres behov i centrum, skapa bra arbetsplatser med fokus på deltagande, jämlikhet och jämställdhet. ","S"
"Lars-Arne Staxäng","Herr talman! Jag får nog göra en sammanfattning. Nej, jag är inte nöjd med svaret. Veronica Palm kom in här på slutet och skulle försöka stötta med stor retorik och hög svansföring men med väldigt tomma lador, för att använda ett modernt uttryck. Om man räknar ihop det som jag redovisade förut, om man tar bort kostnader och nya utgifter för de äldre - 224 kronor i kommunerna, löneavgifter och bostadssubventioner till byggande - är det ungefär jämnt skägg mellan våra budgetar. Men det är inte detta som vi egentligen har som huvudfråga i dag. Därför är retoriken helt fel, Veronica. Även pensionsgruppen är en fråga som ligger vid sidan om. Men du kan få det direkta svaret: Det har aldrig hänt tidigare på 20 år att sittande regering gör saker som inte är förankrade i pensionsgruppen. Nu går vi tillbaka till den fråga vi ska debattera. Även om det är som statsrådet säger, att uppgifterna ska lösas på annat sätt, blir det betydligt mer spretigt och dåligt sammanhållet jämfört med den tänkta utredningen. Så ser jag det tills ni visar en ny utredning, men det tar tid i så fall. Det blir lite grann som att lappa och laga ett otätt skepp i stället för att komma med mer långsiktiga lösningar. Så ser jag på det i dag. Jag vill ändå tacka för debatten. Och jag lovar statsrådet att jag i olika sammanhang ska komma tillbaka med de här frågeställningarna för att förbättra äldrepolitiken, för det tror jag är vårt gemensamma mål. ","M"
"Veronica Palm"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Då vill jag bara upplysningsvis för kammaren tala om att vad det handlar om är en tydlig politisk inriktning. Att regeringen tar ett ansvar för att göra en bredare översyn av den kritik som finns mot kvaliteten i äldreomsorgen är inte ett problem. Det är bra; det är att ta ansvar. Men det finns två hot mot landets pensionärer, och de är ganska tydliga. Det ena är att vi har en högeropposition och ett femte högerparti som i riksdagens kammare väljer att säga nej till sänkt pensionärsskatt, väljer att säga nej till höjda bostadstillägg för landets pensionärer och väljer att säga nej till kvalitetssatsningar på 2 miljarder kronor i äldreomsorgen. Det är där konflikten ligger. Det är det som det handlar om. Det andra hotet är att vi efter åtta år av hög arbetslöshet har en situation där bromsen i pensionssystemet slår till och landets pensionärer får sänkt pension. Det är på grund av att den tidigare borgerliga regeringen inte klarade av att hantera arbetslösheten. Det är så pensionssystemet fungerar. Det är inte bara så att arbetslösheten är ett gissel för dem som är arbetslösa. Det betyder också att landets pensionärer får sänkt pension. Att man nu dessutom väljer att äventyra pensionsöverenskommelsen är ett hot. Hotet är en borgerlig oppositions gamla regeringspolitik och att landets pensionärers framtid äventyras, inte att regeringen tar ansvar för att se över kvaliteten i äldreomsorgen. Det behövs. ","S"
