"Ardalan Shekarabi","Herr talman! Per Åsling har frågat mig varför jag och regeringen har valt att lokalisera ännu en myndighet till huvudstaden utan att väga in de fördelar som en lokalisering på annan ort skulle ge ur såväl ett kostnadsmässigt och ett verksamhetsmässigt som ett tillväxtpolitiskt perspektiv. Regeringen har i budgetpropositionen för 2015 (utgiftsområde 2, Samhällsekonomi och finansförvaltning) bland annat uttalat att utgångspunkten för nya myndigheter är att de i första hand bör lokaliseras utanför Stockholms län. Alla beslut om hur förvaltningen ska organiseras vägleds av att förvaltningens organisation ska vara tydlig, ändamålsenlig och kostnadseffektiv. Myndigheterna ska ges goda förutsättningar att bedriva sin verksamhet på ett effektivt och rättssäkert sätt. För att uppnå detta kan myndighetsstrukturen behöva förändras. Det kan ske genom att befintliga verksamheter ombildas.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer När en myndighet bildas genom överföring eller sammanslagning av uppgifter från andra myndigheter måste regeringen, vid beslut om var myndigheten ska lokaliseras, naturligtvis ta hänsyn till befintliga verksamheter. Det handlar bland annat om att ta till vara den befintliga personalens kompetens och erfarenhet så att myndighetens kompetensförsörjning inte äventyras. Upphandlingsstödet inordnades i Konkurrensverket under 2014. Regeringen anser dock att det finns flera fördelar med att separera upphandlingsstödet från tillsynsverksamheten och bilda en ny fristående myndighet för upphandlingsstöd. Regeringens målsättning är att förändringen ska ske med minsta möjliga återverkningar på verksamheten. Vid organisationsförändringar finns det ett arbetsrättsligt regelverk som reglerar hur anställningarna hanteras. Bestämmelserna i 6 b LAS ska i det sammanhanget beaktas. I syfte att säkerställa den kompetens som byggts upp i den nuvarande organisationen ska myndigheten vara lokaliserad i Stockholm. Genom att lokalisera den nya myndigheten till Stockholm skapar regeringen således förutsättningar för myndigheten att bedriva sin verksamhet på ett effektivt och rättssäkert sätt. ","S"
"Per Åsling","Herr talman! Jag tackar statsrådet för svaret. Riksdagen har vid ett flertal tillfällen under många år uttalat vikten av statliga myndigheters närvaro i olika delar av landet. Att den statliga närvaron har en stor betydelse för arbetsmarknaden liksom för regioners utveckling och tillväxt har stöd i både forskning och praktisk erfarenhet. Dessutom är detta positivt för den statliga verksamheten. Erfarenheter från hela landets vardagsliv ger en mer kompetent, vidsynt och accepterad statlig förvaltning som kan utföra sin centrala uppgift att väga olika perspektiv mot varandra på ett bättre sätt. Trots den starka uppslutning som under decennier funnits här i riksdagen bakom dessa utgångspunkter, där riksdagen uttalat att nybildade myndigheter i första hand ska lokaliseras utanför huvudstadsområdet, har detta gett väldigt små uttryck i praktisk handling. De allra flesta myndigheter har med både socialdemokratiska och borgerliga regeringars goda minne förlagt sin verksamhet till Storstockholmsregionen. Antalet statliga myndigheter är fortsatt starkt snedfördelat runt om i landet. Andra staden Göteborg har i dagsläget bara en handfull myndigheter. Låt mig konstatera att det är viktigt att den statliga lokaliseringspolitiken betraktas med tillväxtpolitiska utgångspunkter snarare än att statliga jobb ska ses som en kompensation. Med det sagt vill jag nämna min egen residensstad Östersund som ett exempel där en stor del av de lokaliserade myndigheterna efter en garnisonsnedläggning klart har bidragit till regional utveckling, till att den offentliga verksamheten har stärkts med god kompetensförsörjning och till att myndighetschefer har fattat beslut som innebär att betydligt fler jobb än vad det dåvarande regeringsbeslutet innebar har förlagts till just Östersund.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Nu senast har vi sett en positiv utveckling när det gäller Statens servicecenter, vilket är mycket glädjande. Liknande effekter kan uppvisas på andra platser där staten medverkat till att flytta uppgifter. Låt mig konstatera, herr talman, att en modern lokaliseringspolitik ska verka för att statliga myndigheter, funktioner och verksamheter placeras med hela landet som utgångspunkt, gärna i mindre orter. Nya myndigheter bör regelmässigt placeras utanför Stockholmsområdet. Med den utgångspunkten är det klart att jag beklagar regeringens beslut att förlägga upphandlingsmyndigheten till Stockholm. Jag vill be statsrådet att förtydliga motiven. Jag upprepar det jag sa i min interpellation: Varför väljer regeringen att lokalisera myndigheten till Stockholm utan att väga in de fördelar som en lokalisering på annan ort skulle kunna ge ur såväl ett kostnads- och verksamhetsmässigt som ett tillväxtmässigt perspektiv? ","C"
"Monica Green","Herr talman! Jag hälsar statsrådet Ardalan Shekarabi välkommen. Det ska bli trevligt att ha statsrådet som svarar på interpellationer här i kammaren. Jag vill passa på att framföra en hälsning från många som är intresserade av upphandlingsfrågor. Det intresset växer väldigt i hela Sverige, inte minst - tror jag - för att statsrådet har ett så stort engagemang i frågan. Många vill vara med, och de känner att de kan påverka mycket mer än vad de trodde innan. Det går att ställa helt andra krav än vad man tidigare tänkt. Vi välkomnar det, liksom den nya lagstiftning som nu ska jobbas fram. Jag vill dessutom passa på att berätta en annan sak, nämligen att jag har träffat på personer som blev väldigt glada när regeringsförklaringen lästes upp och det blev klart att upphandlingsdelarna skulle lyftas ut ur Konkurrensverket. De tycker att det var det bästa statsrådet kunde göra. Med en bra rivstart visas att upphandlingsfrågorna är så viktiga att det behöver vara en särskild myndighet och att kompetensen behövs, eftersom detta växer nu. Jag träffade Upphandlingsdialog från Dalarna i veckan, och de sa att de jublade över beskedet. Det tycker jag är bra, och jag ville framföra det till statsrådet. Jag välkomnar debatten om lokalisering. Jag är glad över att Centerpartiet är lite självkritiskt och att Per Åsling ganska tydligt skriver att vi inte ska gå i gamla hjulspår. Då läser jag förstås in att den borgerliga regeringen inte var särskilt duktig på att decentralisera eller lokalisera ute i landet. Vi vet att urbaniseringen ökade lavinartat under den borgerliga regeringens tid. Vi får dra lärdom av det och se hur vi fortsättningsvis ska kunna vara med och både vända urbaniseringen och hjälpa till från statens sida när nya myndigheter tillsätts. I övrigt har jag ingenting att tillägga. ","S"
"Ardalan Shekarabi","Herr talman! Jag tackar för synpunkterna från båda interpellanterna. Jag tror att vi alla tre är överens om att vi måste jobba med att hela Sverige ska växa. Vi har Europas högsta urbaniseringstakt. Det innebär stora utmaningar för politiken och samhället, och staten måste ta ansvar för att skapa förutsättningar för tillväxt och ekonomisk och social utveckling i hela landet. Då är aspekter som utlokalisering <em>en</em> del av arbetet. Vi tar väldigt allvarligt på och kommer att jobba med det.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Men det är viktigt att vi använder den offentliga marknaden som ett instrument för att få tillväxt och ekonomisk utveckling i hela landet. Offentliga upphandlingar kan användas som ett verktyg för strategisk samverkan mellan den offentliga och den privata sektorn. Vi har en stolt tradition kring detta. Backar vi till 1900-talet ser vi många goda exempel där staten, kommunerna och landstingen jobbade tillsammans med den privata sektorn och skapade förutsättningar för utveckling och innovationer. Det är viktigt att vi fortsätter med detta - viktigt att vi använder de 600 miljarder som man upphandlar för årligen i Sverige för att se till att staten, kommunerna och landstingen har en strategisk samverkan med näringslivet också ute i landet. Vi ska åtminstone inte missgynna de små och medelstora aktörer som finns i vårt land och som vill delta i de offentliga kontrakten. Vi ska se till att inte missgynna de små och medelstora aktörer som finns inom jordbruket och livsmedelsproduktionen. De är viktiga delar i vårt samhälle och vår ekonomi. Då är det viktigt att offentliga upphandlingar genomförs på ett professionellt sätt och att offentliga upphandlingar genomförs på ett sätt som inte exkluderar små och medelstora aktörer. Då är upphandlingsstödet viktigt. Den förra regeringen valde att samla upphandlingsstödet i Konkurrensverket. Det innebar att anställningar för människor flyttade från bland annat Kammarkollegiet och Miljöstyrningsrådet till Konkurrensverket. Dessutom har Konkurrensverket nyanställt många människor som arbetar med upphandlingsstöd. Poängen är att de människorna ska ge stöd till bland annat kommunerna och landstingen, så att de genomför bättre offentliga upphandlingar, och ta fram riktlinjer och stöd, så att vi kan använda det här verktyget för att få bättre tillväxt och utveckling i hela vårt land. Vi menar då att det vore fel att skapa en svår situation för dem som arbetar i Konkurrensverket i dag med upphandlingsstödet. Om de precis har börjat sitt arbete i Konkurrensverket och gör ett väldigt bra jobb - många kompetenta, intresserade och engagerade tjänstemän - ger vi dem bättre förutsättningar om den nya myndighet som tar hand om upphandlingsstödet är lokaliserat till Stockholm. De har precis flyttat in till Konkurrensverket, och det skulle bli en ännu en förändring. Då är det bättre att säkerställa att den kompetens som finns på Konkurrensverket i dag kan fortsätta i den nya, fristående upphandlingsstödsmyndigheten, så att det därmed blir ett bättre stöd och en bättre samverkan med kommunsektorn. Det kan leda till betydligt större samverkan mellan kommunerna och den privata sektorn, och det är precis vad vi behöver för att få fart på tillväxten och den ekonomiska utvecklingen i hela vårt land. ","S"
"Per Åsling","Herr talman! Tack, statsrådet! Det är bra utgångspunkter att se hela landet och se behovet av tillväxt och utveckling i hela landet och nyttja den offentliga sektorns stora upphandlingskraft i form av de 600 miljarder som årligen handlas upp.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Men det riskerar att bli tomma ord om resonemanget bakom regeringens ställningstagande och beslut bygger på att verksamheter inte ska kunna lokaliseras utanför Stockholm. Att fortsätta rada upp frågor på det sättet gör att verksamheten liksom andra verksamheter riskerar att ständigt bli kvar i Stockholm, oavsett om vi pratar om ny eller befintlig verksamhet. Det får inte vara så att verksamhet lokaliseras till Stockholm därför att det är lättast. Man faller lätt in i ett tankemönster som tidigare. Det gäller politiska beslutsfattare och ansvariga för myndigheters lokalisering, men det gäller också myndighetschefer. Det är värdefullt att regeringen i budgetpropositionen uttalar att utgångspunkten ska vara att myndigheter i första hand ska lokaliseras utanför Stockholm. Nu hade man första chansen, men den tog man inte. Det är också bra att statsrådet i svaret konstaterar att myndigheter ska ha goda förutsättningar att bedriva sin verksamhet på ett effektivt och rättssäkert sätt. Vi har samma uppfattning på den punkten. Men det får inte vara liktydigt med att verksamheten måste befinna sig i Stockholm. Jag tycker också att det är bra att statsrådet i svaret lyfter fram behovet av bra kompetensförsörjning och att verksamheter kan behöva omlokaliseras. Men när det gäller kompetensförsörjningen får det inte vara liktydigt med att verksamheten ska förläggas till Stockholm. Vi vet hur det har varit när myndigheter på grund av regeringsbeslut har fått i uppdrag att flytta. Jag vill återgå till det exempel som jag tog upp i mitt förra anförande. Det var ett rabalder om Folkhälsoinstitutet - verksamheten skulle inte kunna bedrivas om den flyttade till Östersund och Jämtland. Den myndighetschef som uttalade de orden, när regeringsbeslutet fattades, bad sedan om ursäkt och kunde konstatera att förutsättningarna för att bedriva Folkhälsoinstitutets verksamhet var goda i Jämtland. Jag kan också dra mig till minnes att när den dåvarande regeringen för cirka ett år sedan fattade beslut om att Diskrimineringsombudsmannen skulle titta på möjligheterna att flytta till Tensta eller Rinkeby var det likadant där: Några kilometer i Stockholm sa man var omöjligt - verksamheten skulle inte kunna få rätt kompetensförsörjning. Med de här exemplen vill jag bara säga: Det är så lätt att hamna i gamla hjulspår och fastna i samma argument som tidigare. Statsrådet! Tänk om, tänk Östersund! Ändra upphandlingsmyndighetens lokalisering till Östersund! ","C"
"Monica Green","Herr talman! Så trevligt att det är så många intresserade ungdomar på läktaren! Det är härligt med ungdomar som är intresserade av politik och Sveriges riksdag. Nu diskuterar vi upphandlingsfrågor och hur man i kommuner och landsting ska kunna påverka så att vi ser till att kommuner och landsting kan köpa in mer ekologisk mat, mer närodlad mat och så vidare till våra äldre, våra barn och våra skolor. Den kompetens som har lyfts ut från Konkurrensverket har nyligen lyfts ut - det gjordes under våren 2014. Jag kan alltså förstå att det just i det här fallet kan bli svårt att bara tre månader efteråt säga: Nu ska ni flytta till Skövde. Jag kan ju tänka mig att man lokaliserar myndigheter även till Skövde och inte bara till Östersund, som Per Åsling pratar om. Det kan ju lika gärna handla om Skövde.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag kan förstå att man inte kan göra så, och nu vill vi inte tappa tid och flytta, för det är dyrbar tid när vi ska komma i gång med ett mycket viktigt arbete. Jag vill avsluta med att säga, eftersom det är mitt sista inlägg, att det ska bli intressant att följa upphandlingsfrågorna och hur vi ska sätta fart på detta. Dessutom vill jag hälsa statsrådet välkommen till Skövde. Jag tror att det finns mycket att titta på där, och det kan vara intressant att utveckla detta när vi ska diskutera frågorna om upphandling för kommuner och landsting. ","S"
"Börje Vestlund","Herr talman! Inte heller jag kunde låta bli att gå upp i den här frågan, som brukar engagera riksdagen mycket. Man kan väl säga: Varje opposition tycker att detta är en viktig fråga. Man tycker dock inte att den är lika viktig när man kommer i regeringsställning. Det tror jag att vi kan ena oss om här i kammaren. Det är ett antal nya myndigheter som har kommit till under de åtta borgerliga åren. Det är klart att några naturligt har kunnat förläggas utanför Stockholm. Havs- och vattenmyndigheten är ett exempel på detta. Det kanske inte hade varit så smart att lägga den myndigheten mitt inne i Stockholm. Den skulle ju hantera havet, och det kanske inte finns så mycket hav i innerstaden i Stockholm, även om vattnet här mynnar ut i ett hav. Det finns alltså en naturlig förklaring till det.  Efter att exempelvis Socialstyrelsen delades upp i två delar kan man ställa frågan: Var ligger de olika delarna nu? Båda ligger kvar i samma lokaler vid Rålambshov. Varför gör de det? Ställde Centerpartiet krav på att de skulle flyttas utanför Stockholm?  Sedan kan jag säga att Östersund i alla fall har myndigheter. Det måste Per Åsling erkänna. Men hela Kalmar län har inte en enda statlig myndighet. Därför kanske det är deras tur den här gången, om vi skulle vara lite rättvisa i dessa sammanhang.  Jag tror helt enkelt att den här frågan alltid har funnits på riksdagens dagordning och att vi alltid kommer att få diskutera den.  Som stockholmare ska jag säga en sak. En gång i tiden var ambitionen av många olika skäl att allting inte skulle ligga i Stockholms innerstad. När man tog det beslutet var det väl mest för att det inte fanns så mycket plats. Men med tiden har myndigheterna flyttat in till innerstaden igen. Många myndigheter som låg utspridda i till exempel Solna, Vällingby och på många andra håll är i dag inflyttade till Stockholms innerstad. Alla vi som har varit på Vattenfall vet att de hade flera kvarter i Råcksta. I dag är det borta helt och hållet, och Vattenfalls huvudkontor ligger vid Stureplan.  Jag tycker att detta är en oroande utveckling, det vill säga när myndigheterna fattar dessa beslut själva.  När vi tog upp de här frågorna med den förra regeringen sade man att myndigheterna själva också måste ha rätt att besluta om var de ska vara utifrån det behov som de har. Jag tror att vi kan vara helt eniga om att alla myndigheter som finns någon annanstans i landet måste ha åtminstone några kontorsrum i huvudstaden för att kunna hantera till exempel kontakter med regeringen och andra. Det tror jag att vi kan vara helt överens om.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Men det som är komplicerat i denna fråga är var detta ska ligga och vem som ska bestämma. Ska Sveriges riksdag bestämma det, eller ska man göra det i samband med att man har etablerat denna myndighet? Det är det som är den stora frågan.  ","S"
"Ardalan Shekarabi","Herr talman! Jag tror att det finns en bred enighet om dessa frågor i Sveriges riksdag, och jag tror att vi har goda förutsättningar att ha ett samarbete mellan regeringen och Centerpartiet i denna typ av frågor eftersom detta är ett bredare perspektiv.  Myndigheterna är en aspekt, och när det gäller dem har vi varit tydliga med att de ska vara lokaliserade utanför Stockholms län om förutsättningarna finns. Det är så att säga huvudregeln, och det kommer vi att arbeta med. Detta är ett viktigt perspektiv för regeringen. Vi arbetar med detta redan nu. Statens servicecenter, som är en myndighet som finns lokaliserad bland annat i Gävle och Östersund, kommer att få ett större ansvarsområde. Verksamheten där kommer att byggas ut. Det innebär fler arbetsplatser i bland annat Östersund och Gävle. Detta är en utveckling som regeringen tror på.  Men när det gäller upphandlingsstödet för jag dagligen samtal med kommunpolitiker, inte minst centerpartistiska kommun- och landstingspolitiker, som efterlyser ett starkare upphandlingsstöd och en upphandlingsmyndighet som tydligare kan ta fram riktlinjer och rekommendationer, så att vi kan använda upphandlingar strategiskt bland annat genom att inte missgynna små och medelstora företag. Om detta underlag och detta stöd inte finns kan vi inte använda offentliga upphandlingar som ett strategiskt verktyg för att få tillväxt i hela landet.  Den förra regeringen har nyligen omorganiserat upphandlingsstödet, och människor har flyttat in från olika myndigheter till en ny myndighet som har fått ta över ansvaret. Dessutom har nyanställningar gjorts.  Nu ska vi återigen omorganisera eftersom vi inte tror på den modell som i dag finns i Konkurrensverket, där samma myndighet har hand om tillsyn och frågor om upphandlingsstöd. Då måste man bedöma denna fråga utifrån bakgrunden att vi vill behålla denna kompetens och utveckla upphandlingsstödet. Det är också en skyldighet som vi har gentemot de kommun- och landstingspolitiker som efterlyser detta stöd.  Här måste vi göra bedömningen att det ändå är mer ändamålsenligt att den här verksamheten fortsätter att bedrivas i Stockholm, så att människor med denna kompetens som precis har flyttat in i Konkurrensverket kan fortsätta sitt arbete och erbjuda bland andra kommuner och landsting upphandlingsstöd.  Men vi ska jobba med dessa frågor. Regeringens ambition är, som sagt, att nya myndigheter som huvudregel ska vara lokaliserade utanför Stockholms län.  Det är viktigt att säga att av de ca 244 förvaltningsmyndigheter som vi i dagsläget har i Sverige är närmare 100 lokaliserade på annan ort än Stockholm. Vi har alltså redan en utlokalisering av myndigheter. Det är rätt. Som Per Åsling var inne på är det bra för effektiviteten och verksamhetsutvecklingen i våra myndigheter. Det är viktigt som en metod för att utveckla den statliga förvaltningen att ha en utspridning och en mångfald av olika geografiska orter när det gäller lokalisering av myndigheter. Det ställer sig regeringen bakom.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag ser fram emot ett närmare samarbete mellan regeringen och bland annat Centerpartiet i denna typ av frågor. Jag tror att vi kan hitta en hel del konkreta frågor som vi kan samlas kring och samarbeta om.  ","S"
"Per Åsling","Herr talman! Egentligen är det tillväxtfrågor som vi diskuterar. Det var min utgångspunkt när jag lyfte fram frågan om var myndigheter ska lokaliseras.  Det är viktigt att slå fast att grunden för tillväxt och utveckling i hela landet och i alla regioner är företag som startar upp, som anställer och som växer. Företagen är grunden för sysselsättning och därmed skatteintäkter.  Men den offentliga verksamhetens lokalisering kan underlätta för att det skapas ett bättre näringslivsklimat och kan underlätta försörjningen av personal. Om det är fråga om omlokalisering och om att människor flyttar är det ofta två personer som ska ha ett jobb.  Jag ser ett antal klusterbildningar runt om i landet som har uppstått när verksamheter har flyttat. Det är positivt, och min utgångspunkt är att klusterbildningar ska fortsätta att byggas upp.  Det är också viktigt att man ser möjligheten att flytta delar av offentlig verksamhet runt om i landet som med fördel kan placeras på mindre orter. Detta säger jag utifrån ett samhällsekonomiskt perspektiv. Det är summan av våra regioners ekonomiska verksamhet och tillväxt som ger den samhällsekonomiska kaka som vi har att fördela i landet.  Jag tackar statsrådet för svaret, och jag vill återigen uppmana honom att titta på Östersund. Statsrådet är hjärtligt välkommen att besöka länet och den fina verksamheten där.  ","C"
"Börje Vestlund","Herr talman! Jag tror att alla riksdagsledamöter vid något tillfälle måste kräva att de får någon verksamhet till sin egen region. Jag tror att det ligger i sakens natur. Jag tror att vi ska vara glada att vi har den ordningen. När man kommer till kammaren är det ens skyldighet att man ser till att man gynnar sin egen region, annars hade man inte blivit vald. Så är det.  Jag kan konstatera att vi är överens om mycket, men den här frågan diskuterades ju lika mycket under alliansregeringen när man lokaliserade myndigheter till Stockholm. Det var en ständigt pågående debatt, och den kommer nog alltid att pågå därför att vi aldrig kommer att bli överens. Vi sliter åt olika håll, och jag tror att det är naturligt. Men det är viktigt att man har den diskussionen hela tiden. ","S"
