"Mehmet Kaplan","Herr talman! Jag tackar Ola Johansson för interpellationen. Det handlar om nya riktvärden för buller för att möjliggöra fler små bostäder, som rubriken lyder. Ola Johansson har frågat mig vad min och regeringens definition av \"så fort som möjligt\" är och vilken inriktning man kan förvänta sig att regeringen har när det gäller behovet av att förenkla bostadsbygganden genom enklare regler för beräkningar av bullernivåer från trafik och verksamhet vid bostadsbyggande. Min och regeringens inställning är att samordnade och tydliga regler för hur buller ska hanteras vid planering och byggande av bostäder kan ha stor betydelse för möjligheten att förenkla bostadsbyggandet i tätorter. Även om de lagändringar om buller som träder i kraft den 2 januari står på egna ben, är det mot den bakgrunden viktigt att en förordning kan beslutas så fort som möjligt. Det är just begreppet \"så fort som möjligt\" som vi nog kommer att debattera nu. Herr talman! I samband med remitteringen av förslaget till förordning om riktvärden för trafikbuller vet vi - och det vet också oppositionen - att ett stort antal synpunkter har inkommit till Regeringskansliet. Det är av stor vikt att de synpunkter som inkommit tas på största allvar. Det pågår därför ett intensivt arbete inom Regeringskansliet med att ta fram en förordning som beaktar alla inkomna remissynpunkter. Jag är naturligtvis medveten om att det är många som väntar på en bullerförordning, och jag kan försäkra Ola Johansson och den övriga oppositionen att arbetet med att bereda frågan fortsatt har en hög prioritet. ","MP"
"Ola Johansson","Herr talman! Jag tackar statsrådet för svaret. Det är möjligt att det inte är så lätt att svara på min något retoriska fråga om vad som är att betrakta som så fort som möjligt - hur långt är ett snöre? Frågan tar sin utgångspunkt i Caroline Szybers skriftliga fråga som besvarades i slutet av november.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Nu har det gått två månader sedan dess. Det har visserligen varit helger, men den aktuella lagstiftningen har sedan dess trätt i kraft. Byggbranschen, kommunerna, myndigheterna och inte minst de bostadssökande befinner sig i limbo mellan en ny lag och gamla regler och eventuella riktvärden som ska regleras i en författning som vi väntar på och frågar efter. Vi har hört ministerns svar: Tydliga regler kring buller kan ha stor betydelse för möjligheten att bygga och förtäta. Det är så långt vi kommer i vår strävan att få svar på huruvida detta är någonting som regeringen vill åstadkomma eller inte. Jag håller inte med statsrådet. Det har <em>absolut</em> betydelse för bostadsbyggandet i tätorter huruvida bullerreglerna är restriktiva eller tillåtande, om de är motstridiga eller enhetliga och om de är lätta eller svåra att tolka. Är det ett riktvärde eller ett gränsvärde, och ska man kunna medge att exempelvis studentbostäder eller små lägenheter har ett högre riktvärde än vad en vanlig bostad har utifrån det sätt som studentbostaden förväntas användas? Jag har också läst igenom remissammanställningen. Jag kan likt ministern konstatera att ett stort antal synpunkter har kommit in. Det brukar vara så. Det är de förväntade synpunkterna som har kommit in. Några myndigheter och domstolar vill helst inte ändra något, medan byggbranschen, de flesta kommuner och studentbostadsföretagen välkomnar förordningen men har synpunkter bland annat på semantiken. Det är såklart av stor vikt att synpunkter tas på allvar. Men det hindrar inte att man arbetar med frågan och att man levererar. Remisstiden gick ut i slutet av september. Och riktvärdena, som vi nu diskuterar, borde ha gällt sedan den 2 januari i år. Mot slutet av svaret får jag en försäkran om att arbetet med att bereda frågan har hög prioritet. Det kan låta betryggande, men vad vi också vill veta är vilken inriktning regeringen har. Ett tydligt svar på den frågan skulle säkert lugna dem som nu väntar på att få skrida till verket med planläggning av nya bostäder i bullerutsatta miljöer, nära kollektivtrafik och nära verksamheter. Det handlar om studenter, bostadssökande och asylsökande. Det handlar om människor som behöver en bostad på grund av förändrade familjeförhållanden eller på grund av att de har blivit äldre och vill flytta ifrån sin villa. Alla dessa väntar nu på bostäder och planläggning både i storstäder och i småorter. ","C"
"Andreas Norlén","Herr talman! Jag vill tacka interpellanten för en viktig fråga. Jag vill tacka statsrådet för svaret så här långt. Det här är en viktig fråga också för mitt hemlän, Östergötland. Linköping är Sveriges första och största flygindustristad och också en expansiv del av Östergötland. Det är nu mycket viktigt att genom en bullerförordning ta det sista steget för att undanröja den konflikt mellan olika regelverk som har skapat en helt onödig konflikt mellan flyget och staden Linköping. Det framstår som särskilt angeläget nu när Ostlänken ska byggas och en ny generation JAS 39 Gripen ska utvecklas. Det är två projekt som betyder mycket för Linköping, hela Östergötland och hela Sverige. Men för att de ska kunna få maximalt positiv effekt krävs det att flygbullerfrågan får en snar lösning genom en förordning.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Bakgrunden är bekant för debattörerna men möjligen inte för alla åhörare. I en proposition från 1996/97 angav regeringen riktvärden för acceptabelt buller från trafik i områden med bostadsbebyggelse. Det har länge rått stor oklarhet om hur de här riktvärdena ska tillämpas mot bakgrund av å ena sidan bestämmelserna i miljöbalken och å andra sidan bestämmelserna i plan- och bygglagen. Boverket och Naturvårdsverket har tagit fram allmänna råd för hur riktvärdena ska tillämpas, men de har varit motstridiga. Naturvårdsverkets allmänna råd används vid miljöprövning av flygplatser enligt miljöbalken, medan Boverkets allmänna råd används vid planering och bygglovsprövning av nya bostäder där plan- och bygglagen tillämpas. I och med att de här råden inte är kompatibla har det uppstått en konflikt och en situation med stor rättsosäkerhet för kommuner, byggföretag och, konkret, Saab, som bygger Gripen. Alliansregeringen gjorde därför en mycket viktig insats när den genom propositionen <em>Samordnad prövning av buller enligt miljöbalken och plan- och bygglagen </em>lade fram förslag till lagändringar i både miljöbalken och plan- och bygglagen i syfte att förbättra samordningen av lagarna för att underlätta planering och byggande av bostäder i bullerutsatta miljöer. De här lagförslagen trädde som bekant i kraft den 2 januari. Det är nu viktigt att ta nästa steg och i förordning slå fast vilka riktvärden som bör gälla vid prövningar av detaljplaner och bygglov enligt plan- och bygglagen. När man tar det sista steget blir det nämligen slut på en normering som byggt på uttalanden i propositionen från 1996 och ristats i sten genom myndigheternas allmänna råd. Då skulle vi få en tydlig och rättssäker situation. Det är alltså mycket angeläget att regeringen dels fattar beslut om att utfärda en förordning med riktvärden för buller, dels fastställer gränsvärden som i allt väsentligt är i enlighet med det remitterade förslaget, som Alliansen lade fram i juni förra året. Det måste bli rätt till både form och innehåll. Alla riksdagsledamöter i Östergötland träffade i går Länsstyrelsen i Östergötland. En fråga som länsstyrelsen då lyfte var just bullersamordningsförordningen eller, rättare sagt, bristen på förordning. Det är ju, i och med att det saknas en förordning, fortfarande okänt vilka kravgränser för buller som ska gälla vid planläggning av bostadsbebyggelse, vilket innebär att tidigare osäkerhet kvarstår när kommunerna ska göra sina detaljplaner och bevilja bygglov. Länsstyrelsens planerade utbildningsinsatser för till exempel stadsarkitekter fördröjs. Planprocesserna fördröjs. I Linköping och i andra städer påverkas också planeringen av Ostlänken, som är ett mycket stort projekt som ställer stora krav på den kommunala planläggningen och som alltså inte kan fullföljas förrän vi vet vilka gränsvärden som ska gälla. ","M"
"Caroline Szyber","Herr talman! Jag vill börja med att tacka Ola Johansson för att han följt upp min skriftliga fråga om buller med denna interpellation. Även om jag fick ett svar kan jag säga att jag kanske inte blev så mycket klarare över vad regeringens ståndpunkt är i frågan. Därför kände även jag ett behov av att delta i denna interpellationsdebatt.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer I Sverige råder en stor brist på bostäder. Behovet av nya bostäder, som dessutom kan ligga i nära anslutning till befintliga kommunikationer och potentiella arbetsplatser, stimulerar förtätningen i våra städer. Det gör att även bullerutsatta bostadsmiljöer är intressanta för bostadsproduktion. Planeringen av bostäder i dessa miljöer försvåras emellertid av en svåröverblickbar lagstiftning. Dynamiken i plan- och bygglagen harmoniserar dåligt med krav på skyddsåtgärder i miljöbalken. Till detta kommer också statliga och kommunala regler samt myndighetstolkningar. Jag fick berättat för mig av förra bostadsministern hur han under förra mandatperioden samlade olika aktörer i ett rum och att i princip alla där hade olika definitioner och tolkningar av befintliga regler. Det tycker jag kanske också ska vara vägledande. Eller det kanske är ett tips för hur ministern ska gå vidare. Det här är inte enkelt, och det kommer alltid att tolkas på olika sätt. Men därför kanske också en förordning är nyckeln för att gå vidare. Nu ska jag ta upp ytterligare problem. Kostnader kan tillkomma vid ett upplevt obehag, och verksamheters omfattning kan begränsas - allt på grund av en hög osäkerhet som skapats av oklara och icke samordnade regler. Sommaren 2014 beslutade, som känt, riksdagen om att samordna bullerhanteringen enligt plan- och bygglagen med motsvarande enligt miljöbalken. De nya reglerna skulle ha trätt i kraft den 1 januari 2015. Syftet med de nya reglerna är att öka förutsägbarheten i planering av bostäder. När de nya reglerna träder i kraft ska de bullervärden som fastställts i planskedet även gälla i efterföljande tillsynsärenden enligt miljöbalken. Det här var ett första och viktigt steg i en bättre hantering av buller. Nu väntar bostads- och byggbranschen på nästa steg, och det är att de nya riktvärdena för buller ska hanteras på förordningsnivå. Dagens riktvärden vilar på en infrastrukturproposition från 1997 och är inte fastställda i förordning. Med bullervärden på förordningsnivå blir hanteringen tydligare och mer förutsägbar. Med de höjda riktvärden som alliansregeringen föreslog skulle antalet smålägenheter i exempelvis Stockholm kunna öka radikalt. Enskilda projekt visar på en 40-60-procentig ökning av antalet ettor och studentlägenheter, då problemet med att ordna den tysta sidan elimineras i de allra flesta fall med det förslag som var ute på remiss. Flera kommuner, bland annat Stockholms stad, har vid flera tillfällen lyft fram bullerhanteringen som ett av de enskilt största hindren för planering av nya bostäder i en förtätad stadsmiljö. Då syftet var att de nya riktvärdena skulle träda i kraft den 1 januari vill jag ställa en fråga till statsrådet. Så fort som möjligt, sas det i svaret. Det gör att frågan fortfarande kvarstår. När ämnar regeringen besluta om nya riktvärden för buller? ","KD"
"Nina Lundström","Herr talman! Här har vi ytterligare ett område som påverkar bostadsbyggandet vad gäller hinder, och det är just hur hanteringen av bullerregelverket har sett ut. Det här är en fråga som har funnits med oss väldigt länge, och det var väldigt glädjande att vi också fick ett genomslag för förändringar i lagstiftningen. Den förordning som nu diskuteras i debatten är väldigt viktig.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer SKL genomförde en enkät i kommunerna för att undersöka hur de såg på att bygga bostäder och problematiken med hur bullerreglerna påverkade detta. Tre av fyra kommuner angav att bullerregelverket var ett hinder för bostadsbyggandet. Därför är det väldigt viktigt att försöka hitta åtgärder, och förhoppningarna har varit väldigt stora på att få en förordning. Den fråga jag ställer mig utifrån statsrådets svar är inte bara när en förordning kan tänkas komma utan vilken inriktning den kan tänkas ha. Vad avser statsrådet och regeringen att återkomma med? När vi hade debatterna här i kammaren förra sommaren kring dessa frågeställningar kunde jag notera att Miljöpartiet var ett av de partier som var väldigt skeptiska och angav folkhälsoskäl till varför man egentligen inte ville medverka till en förändring av riktvärdena och dessutom ville ha ett annat sätt att mäta dem för att också få ett tak på dem. Jag tror att det här är en väldigt viktig fråga som många ute på marknaden ställer sig. Inte minst handlar det om de mindre bostäderna, där den klassiska diskussionen om tyst sida har varit levande. Vi mäter ju bullret utanför, och redan i dag har vi fastigheter ute i vår stadsmiljö. Med ny teknik och ny kunskap kan vi faktiskt bygga bättre inomhusmiljöer än vad man kunde göra tidigare. Då blir det väldigt beklagligt om man stoppar viktiga bostadsprojekt. En fråga man ofta ställer till ungdomar är var de vill bo. Svaret är oftast, eller alltid, kollektivtrafiknära i de täta stadsmiljöerna där det också är en bullrigare miljö. Många kommuner kan vittna om projekt som har stupat på tolkningen av regelverket. Det kan vara ett äldreboende som har hamnat för nära en järnväg. Det kan vara flerbostadshus där man vill bygga många mindre bostäder men som också måste stoppas på grund av att inte minst verksamhetsutövarna är väldigt oroliga för att de i nästa skede kan bli tvungna att vidta åtgärder när hyresgästerna eller de boende flyttar in om man släpper fram och inte överklagar en detaljplan. Detta är orimligt Därför är det verkligen viktigt att få ett klargörande både med vilken inriktning statsrådet avser att återkomma med förslag kring förordningen eller fatta beslut om det, och också när i tid så att inte de här viktiga bostadsprojekten stoppas i onödan. ","FP"
"Lars Eriksson","Fru talman! Ola Johansson skriver några månader efter att en ny regering har tillträtt en interpellation och undrar hur fort bullerfrågan kan komma att hanteras. Jag måste säga att Ola Johansson är en riksdagsledamot med en portion humor, eftersom han efter att ha tillhört den tidigare regeringsalliansen skriver en interpellation där han är orolig för att det inte går tillräckligt fort när det gäller bostadspolitiken. Efter åtta år med en borgerlig bostadspolitik som helt har gått ut på att marknaden ska lösa alla problem, och det har tagit en oändligt lång tid att komma fram med förslag som skulle kunna ha någon form av verkan, hade i alla fall väljarna svårt att hålla sig för skratt. Det var ju ett av skälen till att den tidigare regeringen faktiskt röstades bort i det senaste valet.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag tror att man måste ha lite perspektiv på detta när man pratar om att det inte går tillräckligt fort. Den nya regeringen har inte suttit speciellt länge, och vi vet alla hur den här hösten såg ut och vad det hade för effekter på det politiska arbetet. Regeringen behöver lite tid på sig för att komma framåt i frågan, och jag tycker att man måste ha lite sans och balans i sin argumentation när man oroar sig över detta i det tonläge som jag tycker att det har varit i den här frågan. Ola Johansson oroar sig också för att detta påverkar takten för att komma fram med ett ökat byggande av studentbostäder. Men den tidigare regeringen hade väl knappast bästa record när det gällde bostadsbyggande. Ni gjorde själva ett nummer av propositionen <em>Fler bostäder åt unga och studenter</em> i våras, och där redovisas hur magert byggandet av studentbostäder faktiskt har varit under era åtta år. Man ska komma ihåg att den här regeringen bara har suttit i tre månader, och därför tycker jag att tonläget är otroligt högt i den här debatten. Man oroar sig, och det är liksom ingen hejd på de hårda orden. Caroline Szyber som är ordförande för det utskott här i riksdagen som hanterar dessa frågor oroar sig, precis som Ola Johansson. Men Kristdemokraterna har prenumererat på att vara bostadsministerparti i den borgerliga regeringen under åtta år, och då kan man undra: Varför kom ni aldrig framåt i de här frågorna på åtta år? Nu har ni ett väldigt högt tonläge mot regeringen efter bara två tre månader. Ni hade ändå åtta år på er att göra en analys av frågorna och ta fram förslag och förverkliga dem. Jag tror nästan att det har funnits en längtan inom borgerligheten efter att det ska komma en regering som man kan få skylla på för det som man själv inte klarade av att lösa ut under sin tid. Jag tycker att vi kan ha lite sans och balans och ödmjukhet i den här debatten utefter att regeringen faktiskt inte har suttit speciellt länge. ","S"
"Mehmet Kaplan","Fru talman! Tack så mycket, interpellanten och alla som deltar i den här debatten! Det är en oerhört viktig debatt, för det handlar i grunden om det som Lars Eriksson också var inne på, nämligen vad som går att göra och vad som har gjorts. Jag har suttit i riksdagen i åtta år. Under dessa åtta år har jag aktat mig väldigt noga för att skylla till exempel den ekonomiska krisen i omvärlden på sittande regering. Jag har ibland hört ledamöter göra det, men jag tycker att den typen av retorik oftast slår tillbaka. Detta är i grunden ett område där vi, som Ewa Thalén Finné lyfte fram tidigare, är beroende av breda lösningar. Under föregående mandatperiod kändes det ibland som om man med nöd och näppe försökte driva igenom ett antal frågor. Ibland lyckades man, ibland gick man bet. Jag skulle vilja lyfta upp två saker, eftersom flera av debattörerna har tagit upp remissinstanserna. Vi vet att en majoritet av remissinstanserna betonar att de är positiva till att regelverket förtydligas, att samordningen ökar och att det är bra med riktvärden i en förordning.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag tar upp detta därför att det kan vara intressant för dem som lyssnar på debatten att se vad det är för typ av invändningar som har kommit. Det har kommit väldigt många synpunkter. Jag kan inte hålla med interpellanten om att det är rätt så vanligt att det kommer så många. Jag kommer inte exakt ihåg hur orden föll, men det ser faktiskt olika ut beroende på vad det är för typ av förslag. Ibland är det väldigt många synpunkter. Ibland är det få synpunkter. Ibland är synpunkterna relativt samstämmiga. Ibland är synpunkterna väldigt spretiga. Här var det mycket synpunkter, både på helheten och i mindre detaljer. Detta varierade förstås beroende på vad det var för typ av remissinstans. Kommunernas synpunkter handlade mycket om behovet av förtydliganden. Många länsstyrelser förordar dagens system med avsteg för centrala och kollektivtrafiknära lägen. Sedan har vi specialister som är noga. Det kanske går att göra sig lustig över detta, men akustikkonsulter tar upp de tekniska detaljerna, vilket är nog så viktigt. De som är kritiska mot förslaget i sin helhet anser att det här innebär en generellt ökad acceptans för mer buller, även i befintlig miljö. Inom andra miljö- och hälsoområden brukar förändringar innebära att det blir tvärtom, alltså en skärpning av acceptabla nivåer, inte att man luckrar upp befintliga nivåer. De mest kritiska remissinstanserna lyfter även fram att forskning på senare år visat att buller som hälsoproblem generellt sett är underskattat och kan leda till bland annat hjärt-kärlsjukdomar, som ökar väldigt mycket i vår del av världen. Mot den bakgrunden uppfattas förslaget som svårbegripligt och som att det går emot den senaste hälsoforskningen inom området - hälsoforskning som kanske inte var aktuell då man började med ett embryo till förslaget. Som argument används här att den forskning som åberopas har konstaterat hälsoeffekter vid bullerexponering i äldre, befintliga bostäder och att de resultaten även kan överföras till exponering för buller i nya bostäder som är anpassade till det omgivande bullret. Flera av de kritiska instanserna ifrågasätter också huruvida förslaget är förenligt med Världshälsoorganisationens riktlinjer och intentionerna i EU:s bullerdirektiv. Detta är oerhört viktigt. Jag ska återkomma med fler ingångar på detta område. ","MP"
"Ola Johansson","Fru talman! Tack, alla ni som har gett er in i den här angelägna diskussionen! Det är bland andra Lars Eriksson, som säger att retoriken slår tillbaka. Ja, det är väl det som Lars Eriksson och Mehmet Kaplan upplever just nu - nu slår retoriken tillbaka med full kraft! Det var det som vi fick utstå under förra mandatperioden. Sverige har en tillväxt och en samhällsutveckling som har sina upp- och nedsidor. Och man ska vara ärlig med att bristen på bostäder i våra tre storstäder är ett problem. Sverige är ett land som växer befolkningsmässigt, och det ska det göra - vi är glada för det. Den sittande bostadsministern kan också glädja sig åt att byggandet har ökat kraftigt och nu ligger på en nivå över de 40 000 bostäder per år som har diskuterats. Det byggs, men det byggs inte i alla stycken rätt sorts bostäder på rätt ställe. Planprocesserna är fortfarande besvärande långa, och fallgroparna är många.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Centerpartiet vill se fler regelförenklingar än dem vi nu diskuterar på bullerområdet, och vi får väl anledning att återkomma till den frågan lite senare. Byggbranschen utvecklas, och i dag kan man bygga även i bullerutsatta miljöer - vid trafikleder, järnvägar, hamnar, industriverksamhet av olika slag och flygplatser. De flesta av problembeskrivningarna som vi ser i de remissvar som tas upp här i debatten är sådana som branschen har svar på. Då menar jag byggbranschen, men det kunde lika gärna ha handlat om fordonsbranschen, flyget eller kollektivtrafikens olika aktörer. Jag tror att minister Kaplan håller med om att det viktigaste vi har att ta tag i är att åtgärda miljöproblemen vid källan, men jag är osäker på om vi är överens om hur. Jag har noterat att hans titel numera är stadsutvecklingsminister. Det antyder väl att syftet är att regeringen ska jobba aktivt med just stadsutveckling. Men betyder inte det då att vi ska kunna kombinera kollektivtrafik och miljövänliga fordon med bostäder av olika storlek, för olika behov och för människor med olika ekonomiska förutsättningar? Detta har också betydelse i mindre orter. I våras besökte jag Frövi i Lindesbergs kommun med 2 500 invånare. Där kan de inte bygga små pensionärslägenheter i ett trygghetsboende därför att länsstyrelsen har ställt krav på en tyst sida som är skyddad från ljud som kan uppstå när ett godståg några gånger om dagen passerar dessa bostäder. Där bor för övrigt gamla järnvägsanställda på äldre dagar. Jag minns att Socialdemokraterna, trots retoriken från Eriksson här, ställde sig positiva till samordningen av bullerregler mellan miljöbalken och plan- och bygglagen men att Miljöpartiet var kritiskt när vi behandlade detta i somras. Kan det vara så att ni i regeringen har svårt att komma överens om detta? Det är i så fall inte första gången. Jag upprepar mina frågor: När kommer förordningen, och vilken är er inriktning? Jag noterar också Lars Erikssons indignation. Han kritiserar regeringen för brist på initiativ när det gäller studentbostäder. Ja, men det är ju just ett sådant initiativ som vi nu diskuterar här! Den tidigare regeringen beräknade att denna förordning skulle kunna träda i kraft den 2 januari. Den sittande regeringen borde, oavsett det kaos man har lyckats ställa till för sig själv, kunna processa en sådan här sak så att vi får en förordning på plats. Därmed skulle de olika lagstiftningar som vi har fattat beslut om i relativt stor enighet, dessutom med socialdemokratiskt stöd, kunna träda i kraft som vi tänkte oss. Jag har fortfarande två frågor till Mehmet Kaplan. Vad menas med \"så snart som möjligt\"? Slutligen är frågan, utifrån de olika remissvar som har kommit: Vilken är inriktningen? Vilka remissvar ska man gå till mötes? ","C"
"Andreas Norlén","Fru talman! Som jag påpekade i mitt förra inlägg leder regeringens oförmåga att leverera en bullersamordningsförordning till konkreta problem för både länsstyrelser och kommuner. Det är någonting som ministern måste ta på största allvar. Där sitter tjänstemän i sin vardag och försöker tillämpa de nya bestämmelser som gäller från den 2 januari, men de saknar den vägledning som behövs genom en bullerförordning.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det är självfallet viktigt att ha en noggrann beredning. Det är grunden för allt regeringsarbete. Men det är också viktigt att nå resultat. Det är centralt att understryka det som har sagts tidigare, nämligen att alliansregeringen hade en tydlig ambition att ha en förordning på plats samtidigt som lagstiftningen skulle träda i kraft den 2 januari 2015. Ett förslag till förordning remitterades i juni, och remisstiden gick ut en bit in på hösten. Sedan fanns det tid fram till årsskiftet för att slutföra arbetet. Det är naturligtvis beklagligt att så inte har skett. Men det är också viktigt att ministern uppfattar den tydliga signalen att detta behöver komma fram, inte för vår skull, för oss riksdagsledamöter i allianspartierna, utan för alla dem som arbetar med frågorna och behöver vägledning. Det är centralt att framhålla. Jag blir lite orolig när ministern anför en del problem med buller. Det är väl känt att buller är ett folkhälsoproblem. Samtidigt är just syftet med förordningen att skapa en balans mellan de olika intressen som finns. I Linköpings fall, som jag nämnde, är det att kunna både fortsätta att bygga och provflyga Gripen och utveckla staden med många nya bostäder. Jag hoppas att ministern inte backar nu och tänker ha alltför stränga krav i sin förordning, som jag hoppas kommer snart. ","M"
"Caroline Szyber","Fru talman! Hur länge kan man vara ny på jobbet? Jag ställer mig den frågan när jag lyssnar både på ministern och på socialdemokraten som deltar i debatten. Jag tror inte att det är någon som skrattar för att det här tar tid, utan det är bara ett bevis på vad som händer när man kommer oförberedd. Det är svaret på Lars Erikssons fråga. Vad tycker Socialdemokraterna? Det kanske jag kan få svar på i nästa inlägg. Vad tycker egentligen Miljöpartiet? Är det det som Jan Lindholm tog upp i debatten i juni? Om jag ska sammanfatta hans inlägg var det väldigt tydligt att Miljöpartiet vill skärpa bullerkraven. Är det det som är linjen? Faktum kvarstår: Är det där skon klämmer, att man inte är överens? Det sades att vi har ett högt tonläge. Ja, när man har fattat beslut och alla bara väntar på en förordning, när en tidsplan redan har spruckit sedan ett antal månader och tiden går, när studenter tvingas tacka nej till studieplatser för att det inte finns bostäder till dem - ja, då tror jag att väljarna vill att man har ett högt tonläge och är tydlig med vad man vill. Det är det som vi vill veta här i dag: Vad vill regeringen? Ministern talade i den förra interpellationsdebatten mycket om att det är viktigt att man är tydlig och konstruktiv. Lars Eriksson talade i den förra interpellationsdebatten om utsträckta händer. Vi sätter oss gärna och pratar om bostadspolitiken. Jag tror att det vore väldigt bra för alla. Men då måste man också veta vad man vill prata om. Det är det som är så tydligt: Man var inte förberedd. Det är tydligt att det är det som är problemet för denna regering. Tills vidare undrar jag bara: Vad vill ni? Och vad säger ministern till alla studenter som måste tacka nej till studieplatser för att det i dag inte är möjligt att bygga fler studentbostäder? ","KD"
"Nina Lundström"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Jag blev något mer osäker på vad statsrådet egentligen avser med förordningen efter det senaste inlägget. När statsrådet går in på folkhälsoproblem väcker det en diskussion om de konflikter som har funnits i frågan. Jag vill vara tydlig: Vi är inte intresserade av att skapa boendemiljöer som skulle vara ohälsosamma. Det tror jag inte att någon i Sveriges riksdag är, utan det handlar om hur vi kan utforma ett regelverk som gör att man med dagens byggteknik kan skapa god boendemiljö inomhus och även bygga täta städer nära kollektivtrafik. Att vi har bullrig miljö utomhus är ett dilemma i täta städer. Man ska naturligtvis bekämpa bullret där det alstras, men det är inte alltid möjligt. Även i dag, med dåtidens byggteknik, bor det ju personer i täta städer. Men det är inte på något sätt ett argument för att frångå det viktiga med bullerdebatten. Det viktiga är vad ambitionsnivån är. Det är någonting man får förhålla sig till - det är vågskålar med folkhälsa kontra att kunna bygga bostäder så att folk har någonstans att bo. Jag är personligen helt övertygad om att vi med dagens byggteknik kan uppnå de goda miljöerna. Men jag är genuint osäker på dels om det kommer en förordning, dels vilken inriktning den kommer att ha. Är regeringens ambition att det ska bli lättare att bygga, eller är det något annat som kommer att väga in? Jag tror att den här frågan är jättestor för byggbranschen, för kommunerna och inte minst för alla bostadssökande. ","FP"
