"Ylva Johansson","Herr talman! Katarina Brännström har frågat mig vilka specifika satsningar jag ämnar genomföra för att leva upp till det ambitiösa målet om nyanländas sysselsättning inom två år. Regeringens övergripande politiska prioritering är full sysselsättning. Arbete är den främsta vägen in i det svenska samhället, och alla människors färdigheter och kompetens ska tas till vara. Regeringen anser därför att alla steg i mottagandet av nyanlända ska syfta till att tillvarata individens drivkrafter och kompetens samt till att rusta individen för arbetsmarknaden. Grunden i etableringsuppdraget ligger fast, men vi ser brister i insatserna för nyanländas etablering. För att på sikt uppnå ambitionen att fler nyanlända ska komma i arbete eller utbildning under etableringstiden krävs en omläggning och förnyelse av politiken, inte minst eftersom antalet deltagare i etableringsuppdraget har ökat och prognoserna pekar mot en fortsatt ökning de närmaste åren. Etableringsinsatserna behöver därför effektiviseras och utvecklas, både utifrån målgruppens behov och förutsättningar. Regeringen vill avskaffa systemet med etableringslotsar. I dag används en stor andel av medlen för etableringsinsatser till etableringslotsar, men systemet med lotsar fungerar inte ändamålsenligt och kostnadseffektivt. Regeringen anser att resurserna som för närvarande används för etableringslotsar bör kunna användas på ett mer effektivt sätt för att påskynda nyanländas arbetsmarknadsetablering. För att korta tiden för etablering på arbetsmarknaden eller i utbildning behöver formerna för samverkan mellan olika aktörer stärkas och förbättras, bland annat när det gäller samverkan mellan Arbetsförmedlingen och kommunerna. För dem som beviljats uppehållstillstånd är bosättningen i en kommun ett viktigt led i processen för etablering på arbetsmarknaden. Även kommunernas möjligheter att erbjuda insatser behöver utvecklas. Också andra aktörer kan spela en större roll för nyanländas etablering, inte minst arbetsmarknadens parter. Regeringen vill ta till vara den utbildning och den yrkeserfarenhet som de nyanlända har med sig. Vår ambition är inte bara att man ska få <em>ett</em> jobb, utan att man ska få <em>rätt</em> jobb. Fler individer behöver kunna få sin kompetens validerad. Regeringen avser därför att införa ett sammanhållet, nationellt och permanent system för validering. Alla dessa satsningar kommer på sikt att öka förutsättningarna för att fler nyanlända ska komma i arbete eller utbildning under etableringstiden. ","S"
"Katarina Brännström","Herr talman! Jag vill börja med att tacka arbetsmarknadsministern för svaret, även om det inte innehöll några konkreta åtgärder som svar på min fråga hur alla nyanlända ska komma i arbete inom två år, något som ministern själv har uttalat vid flera tillfällen. Det är självklart bra att en regering har höga ambitioner. Men finns det mer än bara vackra ord? Och i så fall: Var är dessa förslag? Det är glädjande att man avser att fortsätta med etableringsreformens grunder som alliansregeringen införde. Jag delar också Ylva Johanssons syn att arbete är främsta vägen för en bra integration in i det svenska samhället. Alla mår bra av arbete, och alla behövs. Är det något som har präglat Alliansens arbetslinje är det just detta. Trots kris och lågkonjunktur lyckades vi få 300 000 fler i arbete än 2006. Det är ett mycket lyckat resultat. Det enda konkreta i Ylva Johanssons svar till mig är att regeringen avser att införa ett nationellt och permanent system för validering. Det är bra, men också oerhört svårt att genomföra. Det är ju en droppe i havet när det gäller alla som förväntas komma till Sverige. I år är prognosen ca 100 000. Många har inte gått i skola, och många har inte arbetat. Särskilt kvinnorna kommer att bli en stor utmaning eftersom många av dem aldrig har varit i arbete. En regering som kallar sig feministisk borde väl åtminstone ha något förslag om hur dessa kvinnor ska komma i utbildning eller arbete, men jag ser ingenting av det i ministerns svar. Det har visat sig vara mycket svårt att få många av de nyanlända i jobb. År 2014 var det 26 procent som efter 90 dagar var i någon form av sysselsättning eller utbildning. Det vore intressant att höra hur regeringen ska klara av 100 procent inom två år utan att i dag kunna säga hur. Det är många som kommer hit, och många av dem har traumatiska upplevelser. Det kan vara svårt att komma in på svensk arbetsmarknad med de problem som man har med sig. Man vill också slopa etableringslotsarna. Vad ska komma i stället? Det vet vi ingenting om. Insatserna ska effektiviseras, säger Ylva Johansson, men hur? Det får vi inte heller veta. Jag kan förstå att det inte kan finnas färdiga förslag, men det vore ju klädsamt med ett enda exempel på hur regeringen ska klara sitt mycket höga mål om att alla ska komma i arbete, och inte i vilket arbete som helst. Det ska vara rätt arbete, säger ministern, vad det nu kan vara om man inte har någon utbildning och när regeringen inte vill ha några låglönejobb. Frågan är: När ska målet om att alla nyanlända ska få jobb vara uppnått? Hinns det ens med under den här mandatperioden? Det politiska högmod och höga tonläge som har präglat Ylva Johansson under den senaste tiden när det gäller att tala om hur människor ska komma i jobb är naivt och till och med anmärkningsvärt. Ingenting sägs om hur detta ska gå till. Även alla unga ska få sysselsättning, säger ministern. Men vi har ännu inte sett ett enda jobbförslag från regeringen. Med höjd arbetsgivaravgift för unga och med höjda skatter för företagare är det tvärtom svårt att se hur nya jobb ska komma till. Har regeringen inga konkreta svar? Och hur ska integrationen kunna bli bättre eller jobben bli fler när vi i dag, en bit in på den här mandatperioden, ännu inte har hört om någon enda idé om hur det ska gå till? ","M"
"Hanif Bali","Herr talman! Det här är en väldigt viktig fråga. Det som gör mig speciellt orolig i arbetsmarknadsministerns svar är - förutom fina ambitioner och luddiga mål - att det ska skapas en nationell, sammanhållen och permanent modell för validering. De utrikesfödda som kommer till Sverige har i stor utsträckning en svag utbildningsbakgrund. Andelen ligger under utbildningsbakgrunden hos den inrikes födda befolkningen. Att tro att man på två år ska få 100 procent i arbete baserat på den 30-procentiga andelen som har en utbildning som går att validera är helt enkelt inte realistiskt. Det som behövs för att få fler utrikesfödda och nyanlända i arbete är en växande tjänstesektor. Vi vet att den växande tjänstesektorn är extremt beroende av hur mycket det kostar att anställa. Lönekostnaden är den absolut största kostnaden för dessa företag. Det går inte ihop med att öka lönekostnaderna och öka skatterna på tjänsteproduktion och samtidigt förvänta sig att det ska skapas fler arbeten. Det är helt enkelt inte realistiskt. Man kan ha synpunkter på Alliansens arbete och på hur Socialdemokraterna har betett sig, men bara i år kommer ca 50 000 människor att få asyl och skrivas in i mottagningsprogram. Sedan tillkommer även deras anhöriga. Så det är såklart en väldigt akut situation. Det kräver självklart realistiska lösningar här och nu. Då undrar jag: Vad är regeringens förslag? Vilka är regeringens reformer för att se till att det skapas arbeten i sådan takt att samtliga som kommer till Sverige i år är i arbete om två år? Det är den ambition som arbetsmarknadsministern och regeringen offentligt har deklarerat. Då är det rimligt för förtroendet för det politiska systemet att man formulerar realistiska mål som går att uppfylla och som inte undergräver förtroendet för det politiska systemet. Jag skulle helt enkelt vilja höra från arbetsmarknadsministern: Vilka är de reformer som kommer att skapa hundratusentals jobb inom sektorer som de nyanlända kan ta? ","M"
"Eva-Lena Jansson","Herr talman! Jag har inte deltagit i någon interpellationsdebatt sedan före valet 2014. Det som nu är slående är de moderata tappade sugarna. Det är förvånansvärt att man inte tror på människors drivkraft och inte på att människor ska kunna ta sig ut i arbete om de bara får en rimlig förutsättning och inte blir inlåsta i fas 3. När det gäller systemet med etableringslotsar har ju både Katarina Brännström och Hanif Bali med flera varit med och lyssnat på Riksrevisionen och dess granskning av ett fullständigt horribelt system. Jag tror aldrig att jag har varit med om en så brutal sågning någon gång under mina åtta år i riksdagen som den Riksrevisionen gjorde i sin granskning av etableringslotssystemet. Jag antar att de borgerliga tycker att det var ett väldigt bra system. Det är viktigt att man tittar på de personer som kommer till Sverige. Men jag har en fråga till både Katarina Brännström och Hanif Bali utifrån personers utbildningsbakgrund: Är det bara låglönejobb som ska lösa arbetslösheten för personer som kommer till Sverige? Är det bara tillbakapressade löner och sänkta skatter som skapar jobb? Tidigare arbetsmarknadsminister Elisabeth Svantesson sa: Det är inte politiker som skapar jobb. Politiker skapar förutsättningar för jobb. En sak som man kan göra är att se till att människor kan ta lediga jobb. Om man satsar på utbildning och investering i människor, då skapar man också förutsättningar för att de ska kunna ta de jobb som redan finns. Att låsa in människor i fas 3 och bara säga att de ska ha låga löner löser ingenting. Så svara gärna på frågan: Hur blir det fler jobb genom att ni sänker lönerna? ","S"
"Ylva Johansson","Herr talman! Man kan säga att det är kaxigt och det är klart att det är en stor utmaning att se till att alla nyanlända kommer i arbete eller i utbildning inom två år. Jag är medveten om att det är en mycket stor utmaning. Samtidigt har jag svårt att se att vi ska ha någon annan ambition. Tid är en väldigt viktig faktor. Varje extra månad i arbetslöshet är skadlig. Det är viktigt att så snabbt som möjligt komma ut i arbete eller utbildning. Det finns naturligtvis människor som kommer till Sverige som är sjuka, som kanske är traumatiserade och som behöver rehabilitering eller vård. Det är klart att det då kanske kommer att ta längre tid än två år. Under förutsättning att man inte har den typen av hinder att inträda på arbetsmarknaden har jag svårt att se att man kan ha en annan ambition än att det ska klaras på två år. Etableringsreformen är riggad för två år, annars överlämnar vi till kommunerna att stå för försörjningen. Jag tycker inte att det är en rimlig politik. När man lyssnar på debatten kan det låta som om majoriteten av dem som ska etablera sig i Sverige vore lågutbildade. Så är det inte. Det är en kraftigt sjunkande andel som har låg utbildning. Det finns en stor grupp med låg utbildning, men andelen är kraftigt sjunkande. Majoriteten har en bra utbildning. Andelen som har en högskoleutbildning längre än två år är kraftigt ökande. Vi har alltså en sammansättning av dem som ska etablera sig på arbetsmarknaden som rimligen borde vara ganska gynnsam, eftersom vi också har stora rekryteringsbehov på svensk arbetsmarknad. Det är inte särskilt förvånande att Katarina Brännström och Hanif Bali tycker att vi ska fortsätta med de skattesänkningar som den tidigare regeringen införde. Det förvånar mig inte. Däremot måste jag säga att det inte fungerade. Den politik som ni var ansvariga för har resulterat i att de som arbetar med etableringsuppdraget på Arbetsförmedlingen i dag är uppe i ett hundratal nyanlända per handläggare; den tidigare regeringen sa att det skulle vara 30 nyanlända per handläggare. Av dem som ingår i etableringsuppdraget får 4 procent del av vuxenutbildning. Med tanke på att det trots allt är en betydande grupp som har låg utbildning är det en mycket låg andel. De allra flesta har en etableringslots som de träffar i genomsnitt tre och en halv timme - i månaden! Jag besökte etableringskontoret i Göteborg förra veckan och talade med handläggarna som jobbar där. Jag frågade: Hur ofta träffar du som handläggare inom etableringsuppdraget dina klienter, de som är nyanlända och ska etableras? Jag fick svaret: I genomsnitt två gånger, en gång när de skrivs in och en gång två år senare när de skrivs ut. Med de insatserna måste jag säga att det är en bedrift att 29 procent kommer i utbildning och arbete efter två år. Jag ser alltså att det finns betydande möjligheter att förbättra resultaten, men det krävs en rejäl omläggning av politiken. Det kommer regeringen att återkomma till. Det kommer jag inte att redovisa helheten av här i dag. ","S"
"Katarina Brännström","Herr talman! Det är intressant att lyssna på arbetsmarknadsministern för nu sjönk plötsligt nivån på målet och kraven på vad det ska vara för något. Nu heter det sysselsättning, och där ingår även utbildning. Statsrådet har faktiskt sagt \"jobb\" två gånger, i Svenska Dagbladet och i <em>Agenda</em>, under januari månad. Det finns en tidningsartikel med rubriken \"Så ska alla unga komma i arbete\". Jag kontrollerade vad som sas i <em>Studio E</em><em>tt</em>. Där sas att det ska ta högst två år för nyanlända att komma in på arbetsmarknaden. Jag förstår väl att man kan ha folk i sysselsättning av olika slag, det är ingen konst, men det ministern har talat om är jobb och arbetsmarknad. Det är därför jag har ställt interpellationen. Ursäkta mig, statsrådet, men det är inte riktigt seriöst att gå ut och säga så i medierna och sedan stå i kammaren och tala om sysselsättning och hur svårt det kan vara och dessutom inte kunna presentera ett enda förslag, inte en enda idé. Jag har inte efterfrågat ett fullödigt program. Jag förstår mycket väl att man inte kan ha det. Dessutom kvarstår frågan: Varför löste inte den socialdemokratiska regeringen problemet med arbetslösheten förra gången ni hade makten? Ni hade tolv år på er. Då var det högkonjunktur, och likväl var det en hög arbetslöshet. Förutom det utanförskap som blev av förtidspensioneringar och långtidssjukskrivningar kom inga hållbara jobbförslag. Jag räknar inte in plusjobben, för det var inga hållbara jobb. Det var inga riktiga jobb. Det hjälpte säkert människor under en viss tid, och det ska man inte förakta, absolut inte, men eftersom arbetsmarknadsministern och andra socialdemokrater så ofta i denna kammare talar så illa om fas 3 vill jag säga att det är fullt jämförbart med plusjobben. Frågan hur alla dessa människor ska komma i jobb kvarstår. Det gäller inte bara alla nyanlända utan också alla ungdomar. Simsalabim, plötsligt ska det tydligen bara fixa sig. När ska det målet vara uppnått? Det hade varit trevligt att få veta. Innan man uttalar sig så kaxigt kanske man borde ha någon idé att presentera. Vi som suttit vid makten i åtta år vet hur otroligt svårt det är, och det lär inte bli lättare när vi vet att antalet nyanlända ökar och många människor är traumatiserade. Jag tycker att man ska ta väldigt seriöst på frågan. Det är människor med många gånger stora svårigheter, inte bara med språket utan också på annat sätt, som ska komma in på arbetsmarknaden. Ylva Johansson säger att de inte bara ska ha ett jobb, utan de ska ha rätt jobb. Så sägs i svaret till mig i dag. Är inte det att ta i alldeles för mycket? Vad är rätt jobb för dem som inte har någon utbildning eller som aldrig har haft ett arbete och som kommer till Sverige med de problem de har i bagaget och till de utmaningar de möter här? Vad är rätt jobb när ni inte vill ha några låglönejobb? Alla kan ju inte bli akademiker ens i Socialdemokraternas Sverige. ","M"
"Hanif Bali","Herr talman! När man får jobbiga frågor bygger man en halmgubbe och attackerar den. Det var precis vad Socialdemokraterna gjorde här. Jag frågar socialdemokraterna vilka deras reformer är och de börjar skälla på våra skattesänkningar. Låt oss säga att våra skattesänkningar är för jävliga. Okej, gör dem inte! För all del, ta tillbaka dem, varenda en. Vad är er plan, Ylva Johansson? Vad vill ni göra? Det är frågan. Det har ni inte något svar på. Ni talar om låglönejobb. Vem har talat om låglönejobb här? Jag frågar: Hur ska ni få in folk i tjänstesektorn? Är det identiskt med den växande servicesektorn? Betyder det låglönejobb för en socialdemokrat? Låglönejobb definieras enligt de statistiska modeller som finns till spannet 15 000-20 000 kronor. Det är ett låglönejobb enligt den svenska standarden. En lokalvårdare tjänar i snitt 22 000. En lokalvårdare kommer alltså över låglönejobbtröskeln. Fixa för all del inte fram låglönejobb. Fixa fram sjysta, bra jobb. Hur ska ni göra det? Det är det jag frågar, och det har ni inte svar på. Däremot är ni kaxiga. Det är bra att vara kaxig ibland, men man ska också kunna realisera sin kaxighet på något sätt. Annars framstår det som ganska fartblint. Att lova brett, lova i ett högt tonläge, vara starkt kritisk mot alla andra människor, framställa sig själva som något slags välsignare över svensk arbetsmarknad och svensk politik och sedan ställa sig i kammaren med sin ministerportfölj och inte ha ett enda svar och inte kunna redovisa en enda idé om hur man ska nå målen det är inte seriöst. ","M"
"Eva-Lena Jansson","Herr talman! Till Hanif Bali vill jag säga att det var Katarina Brännström som sa att regeringen inte vill ha låglönejobb, alltså skapa en låglönejobbsmarknad. Som jag uppfattade det handlar det om helt andra löner än de som Hanif Bali nämnde. Vi talar inte om kollektivavtalslöner. Om man hela tiden sätter press och ska sänka lönerna, för det är det som den borgerliga politiken har handlat om, får man en helt annan lönesituation. Sedan vill jag säga följande till Katarina Brännström: Om Katarina Brännström efter åtta år inte har förstått skillnaden mellan plusjobb och fas 3 - läs på! Plusjobben innebar kollektivavtalsenlig lön. Du hade semester och möjlighet att få ett riktigt jobb. Fas 3 är en passiv förvaring där du kan ha socialbidrag och lägsta a-kassa. Det är inte alls samma sak. Det trodde jag att Katarina Brännström visste, för hon har suttit i arbetsmarknadsutskottet tidigare. Det som blir tydligt i den här debatten är att man inte tror på människors inneboende kraft. Man tror inte på deras förmåga. Dessutom kritiserar man att vi har en regering som har ambitionen att få människor i jobb inom två år. Vad är Moderaternas ambition? Är det tre år, fyra år, fem år eller kanske åtta år? Jag har ingen aning, men tydligen har de inte ambitionen att människor ska komma i jobb inom två år. Att tro att människor, som tagit sig till Sverige från svåra situationer, inte har kraft och förmåga, och dessutom tro att alla är lågutbildade, är att göra det väldigt dystert för sig. ","S"
"Fredrik Schulte","Herr talman! Eva-Lena Jansson har stått här i riksdagens kammare och gång efter annan påstått att Alliansens politik handlar om att sänka lönerna. Vi har haft den högsta reallöneökningen i hela Europa i Sverige. Vi har till och med stått här uppe med stora planscher med kurvor och försökt illustrera det. Men argumenten upprepar sig gång på gång, så det är nog inte lönt att diskutera med Eva-Lena Jansson. Sverige är ganska dåligt på att få människor med utrikes bakgrund in i sysselsättning jämfört med övriga Europa. Om man jämför olika länder utifrån olika parametrar är det kanske här vi kommer sämst ut. I dag handlar det om att en person som har kommit hit som flykting tar ungefär sju åtta år på sig att komma in på arbetsmarknaden. När man säger att tiden ska minska från sju åtta år till två år är det ganska kaxigt och ganska offensivt, och då borde man rimligen också ha några vettiga förslag. Orsaken till att Sverige är så dåligt på denna punkt i jämförelse med omvärlden är att vi har få jobb som är första foten in på arbetsmarknaden. Även om man har en akademisk examen och är högutbildad när man kommer till Sverige men inte kan språket och det tar ett tag att anpassa sig kan det vara värt att få jobbet som är första foten in och ger chans till en vidareetablering på arbetsmarknaden. Mitt favoritexempel är min tidigare granne, som på 70-talet flydde från Tjeckoslovakien och kom hit. Han hade en doktorsexamen inom något tekniskt område. Han började som vaktmästare på Linköpings universitet, och han pensionerades som huvudprofessor på maskintekniska sektionen. Det var den resa han gjorde. Han kunde inte räkna med att ta det stora karriärklivet på direkten. Dessa jobb som är första foten in på arbetsmarknaden behövs. Anledningen till att Sverige har få sådana jobb är att vi har höga skattekilar. Därför var det en målmedveten strategi från Alliansens sida att arbeta på att få ned de trösklarna. Det var RUT och ROT, sänkning av momsen inom restaurangsektorn, jobbskatteavdrag för att öka drivkrafterna till arbete, nystartsjobb och instegsjobb för att på olika sätt ge stimulanser till företag att anställa dem som stod långt ifrån arbetsmarknaden. Ylva Johansson stod här i talarstolen och talade om att denna politik inte fungerade. Sanningen är den att sedan 1984, för 30 år sedan, har det skapats en halv miljon nya jobb. Av den halva miljonen nya jobb skapades 360 000 under den senaste åttaårsperioden trots att vi hade den största och värsta globala ekonomiska lågkonjunkturen sedan andra världskriget. Om du inte tycker att det är en framgångsrik politik, Ylva Johansson, får du gärna beskriva vilka visioner du har och på vilket sätt du hoppas att din tid under denna mandatperiod ska vara ännu mer framgångsrik. De svar vi har fått höra än så länge är inte särskilt rogivande. Den politik som Socialdemokraterna däremot går fram med är att nagga allt det vi har gjort, alla våra reformer, i kanten. Man presenterar inte ett enda konkret förslag för hur man ska förbättra politiken. Man pratar om att våra åtgärder är ineffektiva och att man ska ta bort dem, och sedan kommer ingenting i stället. Man höjer skatterna och satsar på massiva bidragsutbyggnader för dem som inte arbetar. Det här går inte ihop, Ylva Johansson. ","M"
"Ylva Johansson","Herr talman! Jag ska svara på Fredrik Schultes fråga: Tycker jag att politiken de åtta senaste åren med en alliansregering har varit framgångsrik när det gäller arbetslösheten? Svar nej - det tycker jag inte. Det tyckte inte väljarna heller. Det var därför ni fick lämna. Nu är det dags för en ny politik som kan nå bättre resultat. Jag vill säga till Katarina Brännström att jag tror att det är en farlig inställning att se människor som problem och tro att människor har så oerhört stora svårigheter att etablera sig på arbetsmarknaden. Vi ska inte blunda för att det naturligtvis finns individer som har särskilda svårigheter att komma in på arbetsmarknaden. Men grundinställningen från denna regering är att varje människa är en tillgång. Ett av de stora problemen och en av bristerna med den politik som har förts hittills är att man inte tillräckligt har tagit till vara den kompetens, den förmåga och den drivkraft som människor har som kommer till Sverige och som vill och ska etablera sig här. Jag ska inte skylla allt på den gamla regeringen. Det har också funnits brister hos tidigare regeringar i detta. Det är dags att vi ändrar på det och börjar ta till vara människors kompetens. När jag säger att folk ska komma till rätt arbete är det för att jag är medveten om att vi har betydande problem med personer, särskilt människor som har kommit från andra länder till Sverige, som arbetar i jobb långt under deras kompetensnivå. Det är ett slöseri att vi inte använder den utbildning och den kompetens som människor har med sig när de kommer hit. Om vi är lite smartare och duktigare på det blir det en vinst för individen, en vinst för samhället och en vinst för arbetsmarknaden. Det är det som är regeringens inställning: Vi ska ta till vara de kompetenser som man har med sig. Där är det stora brister i dag när det gäller både validering och möjlighet att komma ut på en arbetsplats i ett tidigt skede där man har möjlighet att få använda den kompetens man har med sig, vare sig det är en högskoleutbildning eller en yrkeskompetens som man har förvärvat genom praktiskt arbete. Här kommer regeringen att återkomma med konkreta förslag. ","S"
