"Aida Hadzialic","Fru talman! Jag vill börja med att tacka Tomas Tobé för interpellationen. Tomas Tobé har frågat mig varför jag avser att genomföra en reform som för Tomas Tobé framstår som verkningslös för att komma till rätta med de utmaningar som gymnasieskolan står inför. Tomas Tobé har också frågat vad det kostar att göra gymnasiet obligatoriskt för alla elever och hur reformen ska finansieras samt hur jag och regeringen ska samla ett parlamentariskt stöd för vårt förslag att göra gymnasiet obligatoriskt. Utbildning är den enskilt viktigaste faktorn för att unga ska komma i arbete. Arbetslösheten bland unga som inte avslutat en gymnasieutbildning är ungefär dubbelt så hög som bland dem som har en gymnasieutbildning. Avsaknaden av en gymnasieutbildning riskerar att leda till att människor hamnar utanför arbetsmarknaden även på lång sikt. Enligt betänkandet <em>Ungdomar utanför gymnasieskolan - ett förtydligat ansvar för stat och kommun</em> (SOU 2013:13) lämnar fler än 30 000 ungdomar gymnasieskolan i förtid varje år. En gymnasieutbildning har nära nog blivit en förutsättning för att få ett arbete och för att klara sig i ett alltmer kunskapsintensivt samhälle. Vi bör inte lura våra unga att tro att de klarar sig utan gymnasieutbildning. En gymnasieutbildning är ett kvitto på att man har utvecklat kunskaper och förmågor som är viktiga både i arbetslivet och för vidare studier. En politik för lägre arbetslöshet och fler i arbete förutsätter kraftfulla åtgärder för att unga ska genomgå gymnasieutbildning. Samhället behöver ta ett större ansvar för att alla unga människor ska få en sådan utbildning. Regeringen avser nu att analysera möjliga åtgärder för att i princip alla ungdomar som inte fyllt 18 år ska gå en gymnasieutbildning. Jag ser framför mig att det behövs olika åtgärder, inklusive sådana som leder till att gymnasieskolan kan stödja och motivera våra ungdomar att slutföra sin gymnasieutbildning.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag delar inte Tomas Tobés syn att detta är en verkningslös reform. Jag tror att åtgärder som gör att alla ungdomar går en gymnasieutbildning har ett viktigt signalvärde som också kommer att påverka avbrotten efter att eleverna fyllt 18 år. Regeringen tror också mycket på möjligheten att identifiera olika framgångsrika metoder, i Sverige och i andra länder, för att fler ska fullfölja en gymnasieutbildning. Tomas Tobé har också frågat mig om kostnaderna för att alla ungdomar ska gå en gymnasieutbildning. Frågan om kostnaderna är viktig, och kostnaderna för olika åtgärder bör noga analyseras. Samtidigt måste samhällsekonomiskt effektiva åtgärder som leder till att alla ungdomar kan fullfölja sin gymnasieutbildning kunna övervägas. Att investera i utbildning för unga är en klok och bra investering för samhället. Fler unga ges möjlighet att komma in på arbetsmarknaden, och färre hamnar i arbetslöshet. Tomas Tobé har slutligen frågat mig om hur regeringen ska samla ett parlamentariskt stöd för att alla ungdomar ska gå en gymnasieutbildning. Vi bör komma ihåg att när den allmänna grundskolereformen genomfördes var det många som hade invändningar mot detta. I dag ses den reformen som en självklarhet. Socialdemokraterna och Miljöpartiet har bildat en samarbetsregering med en hand utsträckt till de andra partierna. Jag är övertygad om att flera partier i kammaren är beredda att verka för att alla unga ska kunna fullfölja en gymnasieutbildning. En gymnasieutbildning är en nödvändig förutsättning för ett deltagande i arbetslivet. ","S"
"Tomas Tobé","Fru talman! Låt mig gratulera vår nya gymnasie- och kunskapslyftsminister till sitt viktiga uppdrag. Jag vill också hälsa henne varmt välkommen till kammaren. Fru talman! Jag vill vara väldigt tydlig med att Nya moderaterna och Alliansen tycker att det är helt centralt att många ungdomar får en fullgod gymnasieutbildning. Det är ofta helt centralt för möjligheten att komma ut på arbetsmarknaden. Det är av den anledningen som Alliansen under de senaste åren har genomfört stora förändringar av svensk skola. Mycket har handlat om att vi ska bryta den vänta-och-se-mentalitet som vi har sett i den svenska skolan och få in mer av tidigt stöd och lärarledd undervisningstid. Det är också därför som vi försökt skapa mer övergångar till arbetsmarknaden med lärlingsutbildningar men också genom att sänka kostnader för att anställa ungdomar. Fru talman! Den nya vänsterregeringen har tyvärr börjat med att försvåra ungdomars möjligheter att kunna få ett första jobb. Det har skett genom att man ökat kostnaderna för att anställa och nu också genom att börja i fel ände när det gäller skolan. Jag är helt övertygad om att talet om en obligatorisk gymnasieskola är väldigt vackra ord. Men det bygger i grunden inte på en seriös analys av gymnasiets utmaningar. Tittar vi på vad Skolverket noterar ser vi att den stora utmaningen snarare är avhoppen och i synnerhet avhoppen i årskurs 3.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Mönstret går igen även om man tittar på de ungdomar som har utmaningen att läsa på gymnasiet i kanske fyra fem år. Ett förslag om att göra gymnasiet obligatoriskt till 18 års ålder löser på inget sätt den utmaning vi ser med att väldigt många hoppar av efter 18 års ålder i gymnasiet. Det är helt andra frågor som blir relevanta. Det är klart att det är intressant att vi nu i kammaren egentligen diskuterar ett tvåårsgymnasium. Vi har tidigare haft långa diskussioner om ett ettårsgymnasium, som de vet som hängt med i skolpolitiken ett tag. Jag vill ställa en fråga till statsrådet, eller rättare sagt tre, om jag ska vara tydlig. Vad är det som har gjort att regeringen, som kallar sig för en samarbetsregering, väljer att som det första skolpolitiska beskedet lägga fram ett förslag som den vet att stora delar av kammaren motsätter sig och som vi haft en valrörelse om? Vad är det för signal från en samarbetsregering att det är det första beskedet? Den andra frågan är följande. Vi har nu haft en tid med väldigt många skolreformer. Vi behöver inte bara ha lugn och ro i de svenska klassrummen. Vi behöver också ha lugn och ro i vilka skolreformer vi ska prioritera framåt. Jag noterar att vi har ganska stor samsyn mellan Alliansen, Socialdemokraterna och Miljöpartiet om många av de skolreformer som ligger på plats. Det är väl alldeles utmärkt. Men varför väljer den nya regeringen att prioritera en reform som i sak inte verkar kunna ge sig i kast med de utmaningar vi ser i gymnasiet? Den tredje frågan är: Hur mycket kommer en sådan reform att kosta, och på vilket sätt ska det finansieras? Det är en omfattande förändring av svensk skola jämfört med vad som har gällt tidigare. ","M"
"Annika Eclund","Fru talman! Mycket är sagt av min allianskollega i utbildningsutskottet från Moderaterna. Jag Annika Eclund från Kristdemokraterna har fortfarande frågor om förslaget om obligatorisk gymnasieskola. Som i ett trollslag har plötsligt den nya regeringen förlängt skolplikten med fyra år. Det är obligatorisk förskoleklass och tre år på ett obligatoriskt gymnasium. Alltså har skolplikten förlängts från nio till 13 år. Därmed tror regeringen att den har löst problemet med att elever hoppar av sin gymnasieutbildning. Ni vill med tvång lösa problemet med avhopp från gymnasiet. Det visar att man har ganska lite kontroll och lite kontakt med verkligheten och de individer det handlar om. Hur ska ett tvång kunna skapa studiemotivation hos eleverna? Inte sällan är det så att de som hoppar av också har en annan problematik som psykisk ohälsa eller kanske dåliga hemförhållanden. På vilket sätt ska en lag hjälpa de eleverna? Här måste man väl i stället sätta in resurser för att hjälpa eleverna och stötta dem genom att ge dem det stöd de behöver både från lärare, speciallärare och från elevhälsan i stället för att göra dem till brottslingar ifall de stannar hemma från skolan. Det gäller också om de skulle välja en annan väg, ett studieuppehåll eller att läsa in gymnasiet på en folkhögskola senare i livet när de har hittat tillbaka till sin motivation och sig själva. De allra flesta som hoppar av gymnasiet gör det under det tredje året, precis som min kollega sade, och då är de myndiga. Hur kan man tvinga en myndig person att stanna i skolan? Vad ska politiker göra, eller är det kanske poliser som ska rycka ut? Vad ska man göra om eleverna inte infinner sig i skolan? Vi har redan i dag en nioårig skolplikt, och vi har problem med så kallade hemmasittare som inte går till skolan.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Inte heller där ser vi att vi har verktygen att sätta in mot dem som bryter mot lagen. Tänk om eleven hoppar av och Gud förbjude försörjer sig själv ett tag. Ska det bli olagligt, eller ska det bli ett fall för de sociala myndigheterna? Nej, tvång löser inte problemet. Skoltrötthet och bristande motivation kan inte mötas med lagstiftning utan genom stöd och hjälp att klara skolan. Man kan inte lagstifta fram studiemotivation. Jag ser fram emot att gymnasieministern utvecklar resonemanget om dessa frågeställningar ännu mer.  ","KD"
"Lena Hallengren","Fru talman! Detta är en viktig debatt som förtjänar minst lika mycket uppmärksamhet som den som handlade om flygplatsernas betydelse för tillgänglighet, jobb och tillväxt i Sverige. Detta handlar verkligen om tillväxt, jobb och utveckling för Sverige. Det gäller att fundera seriöst och konstruktivt om hur vi får dagens unga att fixa gymnasiet. Vi bestämmer inte själva i denna kammare vilka krav arbetsmarknaden ska ställa. Jag tänker inte bli så långrandig. Det är bra att det finns ett stort engagemang. Det är väldigt positivt att vi har en gemensam frustration över situationen som finns i dag. Några av oss som ingår i utbildningsutskottet har i dag fått träffa en OECD-delegation som är här för att titta på den svenska skolsituationen. Den är inte så himla positiv och smickrande, utan vi har rätt mycket att göra. Vi måste ta oss samman, ha konstruktiva idéer och föra ett samtal som leder framåt snarare än att försöka måla upp skillnader som jag har svårt att se. Det handlar om hur vi ska hantera den situation som innebär att unga människor hoppar av gymnasiet. En del börjar inte ens. Det är väldigt allvarligt att så många hoppar av och därmed lämnar den svenska skolan och tonåren utan att egentligen ha några kvalifikationer som arbetslivet kräver. Jag har ändå en stor förhoppning om att vi ska kunna fatta beslut i ganska stor konsensus om vi bestämmer oss för det Jag tänkte komplettera med en fråga till statsrådet. Det finns så mycket mer att göra. Den här interpellationen handlar om obligatorisk gymnasieskola, men det finns så mycket mer. Jag är nyfiken på vilka åtgärder i övrigt regeringen har för avsikt att vidta för att ge unga bättre förutsättningar att lyckas på arbetsmarknaden. Vi måste sätta det i ett mycket större sammanhang för att se helheten. ","S"
"Aida Hadzialic","Fru talman! Jag vill tacka Tomas för gratulationen. Jag vill likaså tacka Annika och Lena för de frågeställningar som ni har framfört. Det som är viktigt att ta med sig i denna debatt är vår gemensamma ambition framåt, vilken är att så många som möjligt i Sverige ska ha ett arbete att gå till.  Det har enligt all forskning och all statistik visat sig att en av de viktigaste nycklarna för att få tillträde till arbetsmarknaden är att ha gymnasiekompetens. Vi vet exempelvis att chansen att få ett jobb är dubbelt så stor om man har gymnasiekompetens än om man saknar den sortens utbildning.  I vår samarbetsregering, med Socialdemokraterna och Miljöpartiet, har vi inte på något sätt låst fast oss vid någon modell. Det vore mycket olyckligt om vi i denna kammare fastnade i en formfråga i stället för att diskutera vägen framåt och det som är huvudsyftet, det vill säga att alla elever i Sverige ska få den kompetens som den moderna och konkurrenskraftiga svenska modellen faktiskt kräver.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Med tanke på det parlamentariska läget i Sverige tror jag att vi bör ta ett gemensamt ansvar för att se till att denna sorts reformer kommer fram. Det är ändå därför som det svenska folket har valt oss, alltså för att ta ansvar för riket och att se till att vi prioriterar dessa viktiga frågor, det vill säga jobbfrågan och skolfrågan.  För mig och regeringen är det oerhört naturligt att gifta ihop dessa frågor på ett klokt sätt.  Jag vill också säga att det naturligtvis inte råder någon motsättning när det gäller frågan om att någon skulle få ett jobb och därmed vara tvungen att avsäga sig den sortens sysselsättning för att fortsätta att utbilda sig. Vi ser på intet sätt att en sådan motsättning kommer att råda, utan vi vill på alla sätt som det går se till att kontaktytorna mellan skolan och utbildningen samt arbetsmarknaden och näringslivet förtätas.  Vad gäller kostnaden för utredningen, som Tomas Tobé talade om, får vi återkomma till den delen. Det viktiga är att vi nu tar tag i frågeställningen och ser till att vi utreder den och hittar en modell framåt. Sedan kan vi börja svara på frågorna hur detta ska ske. Det viktiga är att vi konstaterar vad som ska ske, det vill säga att vi vill tillhandahålla Sveriges ungdomar en gymnasiekompetens som är en nyckel för att de ska kunna etablera sig på arbetsmarknaden.  Annika Eclund adresserar frågan om tvång. Vi vill inte tala om tvång. Vi ser snarare att det är att lura ungdomar om man säger till dem att de kommer att klara sig i arbetslivet och resten av livet utan denna sorts kompetens. Vi vill inte gå den vägen, utan vi säger att detta är så pass viktigt att de måste få denna kompetens för framtiden.  ","S"
"Tomas Tobé","Fru talman! Jag tackar statsrådet för detta inlägg.  I grunden tror jag också att det är viktigt att vi ska bygga på mycket av den samsyn som kan finnas och mycket av den politiska ambition som finns på detta område. Det finns det kring många politiska förslag nu, till exempel att det ska vara mindre klasser i lägre åldrar, att vi behöver ha fler speciallärare och att vi måste se till att höja attraktiviteten i läraryrket. Men det är just därför som vi från Nya moderaterna och Alliansen blev så förvånade när vi såg att just obligatoriskt gymnasium var det förslag som man från den nya regeringen valde att presentera. Jag upplever ändå att det inte är ett otydligt förslag. Man kan ha olika åsikter om det. Men det är ändå rätt tydligt. Man vill gå fram med ett förslag som innebär skolplikt till 18 års ålder.  Nu säger statsrådet: Låt oss inte låsa oss kring detta.  Det är möjligt att det i så fall kan vara en öppning att överge detta förslag. Det skulle vi i så fall varmt välkomna.  Jag vill passa på att ställa en fråga om det innebär att det också kan finnas en öppenhet att överge andra förslag som handlar om att man ska se till att alla gymnasieprogram måste vara högskoleförberedande. Det är också någonting som gör oss oroliga för att det skulle kunna slå ut en hel del ungdomar och som inte kommer igenom den svenska gymnasieskolan.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Om statsrådet fortfarande känner sig övertygad om att obligatoriskt gymnasium är en god idé vill jag ändå påminna denna kammare om att vi är i ett läge där 98-99 procent av eleverna går vidare till ett gymnasium. Den stora utmaningen ligger alltså inte där. Skulle vi sitta med helt andra siffror skulle jag ha mycket större förståelse för att man skulle gå fram med ett sådant förslag.  Jag ställer mig också lite frågande till vilka andra länder det är som har gått fram med denna modell eftersom man känner sig så övertygad om att detta vore en bra idé. Jag känner inte till särskilt många länder som har gått fram med en skolplikt ända upp till 18 års ålder.  När det gäller kostnaderna var jag inte orolig för själva utredningskostnaden. Min oro gällde i stället vad en sådan reform kommer att kosta. Det som jag har noterat än så länge är att även om vi kan vara överens om väldigt många skolsatsningar har ni valt att finansiera detta med att höja skatter på ungdomsjobb och höja skatter för breda löntagargrupper. Detta menar vi är en jobbfientlig politik. Då blir jag orolig när vi ser att nya reformer utlovas. Då undrar jag vilka ytterligare skatter som regeringen i så fall behöver höja för att finansiera sina reformer.  Fru talman! Min fråga till statsrådet blir återigen: Varför väljer ni att prioritera denna reform som ert första besked? Är man en samarbetsregering borde man ha kunnat notera att det finns väldigt många skolpolitiska förslag som vi är överens om. Låt oss då arbeta med dem här i parlamentet för att säkerställa att vi får mer av tidigt stöd, att lärarna kan få bättre lönevillkor och att vi ser till att det blir mer undervisningstid. Det är reformer som på riktigt kan betyda någonting för att höja svenska kunskapsresultat.  ","M"
"Annika Eclund","Fru talman! Jag tackar gymnasieministern för svaret. Vi är helt överens om att en slutförd gymnasieutbildning är en förutsättning för att våra unga människor ska få en framtid på arbetsmarknaden. Men frågan är om det är ett obligatoriskt gymnasium som gör att man uppnår detta.  Jag skulle vilja återvända till dem som hoppar av gymnasiet. Vilka är det egentligen? Gymnasieministern ska få två exempel från verkligheten.  Elev A har med nöd och näppe klarat grundskolan och kommit in på ett nationellt gymnasieprogram. Hon har varit skoltrött under hela högstadietiden och har också tampats med alla de problem som hör till de mest kritiska tonårsåren. Hon älskar de praktiska ämnena som hon får på sitt program men behöver hjälp med en del teoretiska ämnen. Under andra året på gymnasiet drabbas hon av depression, och något stöd hemifrån finns inte att uppbringa. Hon stannar hemma från skolan och hamnar i något slags vacuum i livet. Hur kommer en lagstiftning om obligatoriskt gymnasium att hjälpa henne? Vore det inte bättre att lägga resurserna på elevhälsan och individuellt stöd för att hon ska klara skolan? Elev B blir otroligt skoltrött under tredje året på gymnasiet. Han hoppar av och börjar jobba i sin pappas företag. Det känns skönt med ett avbrott. Men det är ingenting som han vill fortsätta med. Efter ett år har han hittat tillbaka till motivationen och har tillräckligt med energi för att avsluta sin utbildning.  Jag skulle vilja att gymnasieministern berättar hur ett obligatoriskt gymnasium skulle förbättra situationen för de elever från verkligheten som jag just har berättat om.  ","KD"
"Lena Hallengren"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Jag konstaterar att en annan fråga dök upp i debatten och som Tomas Tobé väckte. Den handlar om huruvida alla gymnasieutbildningar verkligen ska ge vidare behörighet. Det kan förvisso fordra en helt egen debatt. Men det är verkligen väsentligt. Det är inte så att det riskerar att slå ut unga, utan det är snarare det som vi har sett blir konsekvensen när man inte har högskolebehörighet för yrkesprogrammen. Vi har sett en dipp som är total när det gäller antalet ansökningar till yrkesprogrammen. Det måste vi verkligen vända. Låt oss fortsätta denna diskussion.  Hur minskar vi avhoppen? Det vore intressant om det fanns någonting att säga i de kommande inlägg alliansföreträdarna ändå har. Det är nämligen precis det samarbetsregeringen önskar möta och som jag läser in i det förslag vi talade om i valrörelsen.  Är gymnasieskolan obligatorisk handlar det ju inte bara om kraven det ställer på den enskilda eleven utan också om vilka signaler det skickar samt vilka krav det faktiskt ställer på huvudmannen, alltså på kommunen. Det är precis det Annika Eclund beskriver - vilka krav ställer det, och vilken typ av insatser måste man sätta in för att eleverna ska klara gymnasiet? Då kan vi alltid diskutera och vrida och vända på vilket som kommer först. Kan det vara ett obligatorium som gör att man anstränger sig extra för att se till att eleverna lyckas? Det är absolut en diskussion jag tycker är värd att följa. Jag vill upprepa min fråga till statsrådet; jag förstår att du inte riktigt hann svara på den i ditt förra inlägg. Vilka åtgärder i övrigt avser regeringen att vidta för att se till att unga får förutsättningar att lyckas etablera sig på arbetsmarknaden? ","S"
"Aida Hadzialic","Fru talman! Jag vill börja med att konstatera att det på intet sätt råder en motsättning mellan det Tomas Tobé och Annika Eclund talar om och det Socialdemokraterna talar om. Alla satsningar på att vi ska få fler lärare, investera i elevhälsan och skapa diverse incitament för eleverna att gå kvar i skolan och fullfölja sin gymnasieutbildning omfamnar vi på alla sätt och vis.  Jag ska besvara Lena Hallengrens fråga om vad vi avser att göra i övrigt för att skapa incitament för eleverna att gå kvar i gymnasieskolan. Vi vill bland annat se över lagstiftningen som reglerar elevens rätt till särskilt stöd i skolan. Vi vill se över de nationella målen kring vad som kan göras för att vi ska minska avhoppen. Vi vill föra partssamtal om hur vi kan göra så att elever på olika sätt inser varför det är relevant att ha en gymnasieutbildning och gärna förstärka kopplingen mot arbetsmarknaden och näringslivet. Vi vill även förstärka yrkesutbildningarna, där vi tyvärr ser att eleverna i många fall saknar tillräcklig motivation för att gå klart programmen - eller ens börja läsa dem. Det råder alltså på intet sätt en motsättning mellan alla de incitamentförslag riksdagsledamöterna talar om och det vi talar om, utan den tanke ni presenterar kan såklart kopplas ihop med vår tanke om att se till att så många som möjligt går klart sin gymnasieutbildning.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Låt mig upprepa: Vi har på intet sätt bundit oss fast vid någon tanke om ett obligatorium. Vi socialdemokrater hade den tanken när vi gick in i valrörelsen, och nu är vi en regering och presenterar en regeringslinje som vi ska fullfölja. Det innebär att vi har en ambition om att så många som möjligt ska gå klart sin gymnasieutbildning, och vägen framåt ska utredas. I utredningen kommer det att framkomma vad reformen ska kosta. Likaså kommer vi att titta på vilka andra länder som har genomfört motsvarande modeller eller något liknande, för att besvara Tomas Tobés frågeställning. Låt mig dock än en gång säga att det viktiga är att vi gemensamt tar ansvar för Sveriges utveckling och att vi inte ger upp ens om den där enda procenten som inte har gymnasieutbildning och som kommer att ha svårt att klara sig i livet. Vi ska i stället säga till dem: Även ni ska med. Vår devis om att alla ska med ska vi fullfölja inom många olika politiska områden, och så även inom skolans område. Min motfråga är vad allianspartierna avser att göra för att motivera eller se till att alla unga fullföljer sin gymnasieutbildning och på så sätt får en nyckel in på arbetsmarknaden. ","S"
"Tomas Tobé","Fru talman! Statsrådet säger att alla ska med. Jag vet att mitt parti har uttryckt det som att alla behövs, och det går säkert att mötas någonstans där mitt emellan.  Det är väl en alldeles utmärkt idé att fokusera mycket på hur vi ska klara av att lyfta alla dem som inte får en fullgod gymnasieutbildning. Vi tror för vår del att det handlar väldigt mycket om det vi gör i grundskolan. Vi måste alltså få ned mycket av stödet mycket tidigare för att eleverna ska vara förberedda och också känna motivation. Det är nämligen i grunden vad den här frågan handlar om - hur säkerställer vi att eleverna får mer studiemotivation?  Jag ställer mig mycket tveksam till att detta skulle gå att lagstifta fram, utan jag tror att det handlar om andra insatser. Det är därför vi har ställt oss kritiska till ett obligatoriskt gymnasium. Jag tror också att det kan handla om andra reformer, vilket jag hoppas att gymnasieministern kan återkomma om. Det handlar om hur vi ska höja kvaliteten också på de olika gymnasieprogrammen och hur vi ska stärka den introduktion många elever som inte har tillräckligt mycket kunskaper med sig från grundskolan kommer till i dag.  Jag får ändå tacka statsrådet för vad jag upplever nästan verkar vara ett besked om att man i någon mening backar från vad jag har uppfattat som ett ganska tydligt förslag från regeringen, nämligen att man ville gå fram med ett förslag om ett obligatoriskt gymnasium. Det verkar inte alls låst kring att man vill ha en skolplikt till 18 års ålder. Det är i så fall mycket välkommet, och jag ser fram emot att föra fortsatta samtal i den riktningen. ","M"
