"Aida Hadzialic","Fru talman! Jan Björklund har frågat mig varför jag avser att genomföra en reform som riskerar att leda till fler avhopp från gymnasieskolan. Roger Haddad har frågat mig vilka åtgärder jag avser att vidta för att förebygga avhopp i gymnasieskolan. Roger Haddad har också frågat mig vilka slutsatser jag drar av underlag som visar att nästan 40 procent av yrkeseleverna som lämnar gymnasieskolan gör det utan ett slutbetyg. Ida Drougge har frågat mig hur obligatorisk gymnasieskola motverkar skoltrötthet och hur elever som vill ta ett utbytesår eller på annat sätt gå sin egen väg ska kunna göra det med en gymnasieskola som är obligatorisk. Ida Drougge har även frågat mig hur jag tänker få stöd för obligatorisk gymnasieskola i riksdagen. Eftersom frågorna är närliggande har jag valt att besvara interpellationerna i ett sammanhang. En gymnasieutbildning har nära nog blivit en förutsättning för att få ett jobb och för att klara sig på en alltmer kunskapsintensiv arbetsmarknad. Att ha slutfört en gymnasial utbildning är ett kvitto på att man har utvecklat förmågor som är viktiga både i arbetslivet och för vidare studier. Arbetslösheten bland unga som inte avslutat en gymnasieutbildning är ungefär dubbelt så hög som bland dem som har en gymnasieutbildning. Lägre arbetslöshet och fler i arbete förutsätter att unga genomgår en gymnasieutbildning. Vi får helt enkelt inte lura våra ungdomar att de inte behöver detta. Samhället måste i stället ta ett större ansvar för att alla unga människor ska få gymnasieutbildning. Utvecklingen med en minskande andel elever i yrkesprogram i gymnasieskolan riskerar att få negativa konsekvenser för kompetensförsörjningen och matchningen på arbetsmarknaden. Frågan om ett program ger grundläggande behörighet till högskolestudier är av stor betydelse för elevernas val av utbildning. De förändringar av yrkesprogrammen som den förra regeringen drev fram kan ha medverkat till att yrkesprogrammen framstått som mindre attraktiva för många ungdomar. Regeringen anser att alla nationella program i gymnasieskolan måste ha en bred gemensam kunskapsbas som ger grundläggande behörighet till högskolestudier. Det handlar inte om att alla ska bli akademiker. Det handlar om rusta individen, underlätta för den enskilda individen att eventuellt skola om sig i framtiden, trygga den framtida kompetensförsörjningen och framför allt gynna den svenska konkurrenskraften. Roger Haddad har frågat mig vilka slutsatser jag drar av att nästan 40 procent av yrkeseleverna som lämnar gymnasieskolan gör det utan slutbetyg.  För att kunna lämna rätt förslag på åtgärder är det viktigt att särskilt analysera varför elever på vissa program i större utsträckning än andra inte får slutbetyg. Det är rimligt att utgå från att en av de viktigaste åtgärderna för att motverka avhopp är att öka elevernas motivation att slutföra sin utbildning. Regeringen vill höja kvaliteten i yrkesprogrammen genom ett ökat branschinflytande i så kallade yrkescollege. Vi tror att en närmare koppling till arbetsmarknaden ökar elevernas motivation att fullfölja sin utbildning. En ambitionshöjning för gymnasieskolans yrkesprogram ger vinster för såväl arbetsgivare och utbildningsanordnare som elever. Ida Drougge har frågat mig hur en obligatorisk gymnasieskola motverkar skoltrötthet och hur elever som vill ta ett utbytesår eller på annat sätt gå sin egen väg ska kunna göra det med en gymnasieskola som är obligatorisk. Det kommer att krävas stora insatser för att alla unga ska slutföra en gymnasieutbildning. Eleverna ska få det stöd de behöver för att klara detta efter sina förutsättningar. Lagstiftningen rörande elevers rätt till särskilt stöd i gymnasieskolan bör av denna anledning ses över. Regeringen vill att en särskild utredare ska se över alla de frågeställningar som interpellanten berör för att på olika sätt se till att vi klarar av de utmaningar som pekas på. Den slutliga frågan är hur vi ska kunna få stöd för detta i riksdagen. Vi är en samarbetsregering. Vi hoppas att andra partier i riksdagen ska vilja ta ansvar för Sverige och rusta Sverige genom att vi kan göra det tillsammans och uppnå ambitionen.  ","S"
"Jan Björklund","Fru talman! Tack för svaret, statsrådet! Obligatorisk gymnasieskola med ett krav att alla ska läsa in högskolebehörighet är en modell som regeringen nu har aviserat som inte har prövats i något annat land i hela världen. Det har säkert övervägts, men alla har avstått. Det är ett djärvt steg som regeringen vill ta. Frågan är vilket problem det löser. Om det vore så att vi genom att stifta en lag kunde göra alla i hela Sveriges befolkning universitetskompetenta vore det enkelt. Det ni säger är att alla, 100 procent, ska bli universitetskompetenta. Ni vill att alla ska gå i gymnasiet och att alla ska tvingas läsa in högskolebehörighet. Inget annat land har uppnått det. Det kan nås. Genom att man sänker kraven för högskolebehörighet ganska kraftigt blir naturligtvis alla högskolebehöriga. Man kan sänka kravet på gymnasiestudierna ganska kraftigt så att alla går igenom utan problem. Då når man det också. Men om man ska bibehålla kravnivåerna är det en väldig utmaning. Det statsrådet inte nämner är att en tredjedel i varje årskull i dag inte fullföljer gymnasiet. Antingen hoppar de av eller så går de i och för sig färdigt men når inte målen och får underkända betyg i alltför många ämnen. En tredjedel i varje årskull når inte målen. Är det så enkelt som att lagstifta så når de målen och går kvar? Jag tror att man måste inse att ungdomar är olika. En del vill läsa teoretiska högskolestudier. En del vill gå vidare till universitetet och en del vill gå ut i yrkeslivet. Och man har olika färdigheter, förmågor och talanger. Ni verkar tro att det enkelt skulle låta sig göras att stöpa alla i samma form så att alla rustas för livet och Sveriges konkurrenskraft ökar - och allt som står i interpellationssvaret. Ni verkar tro att det bara sker om vi lagstiftar om detta. Då borde vartenda land ha gjort det. Men ingen har gjort det, eftersom det inte fungerar i verkligheten. För att ta studentexamen och bli universitetsbehörig krävs det både studiemotivation och studiedisciplin. Och det går inte att lagstifta fram. ","FP"
"Roger Haddad","Fru talman! Jag vill först tacka statsrådet Aida Hadzialic för svaret och samtidigt gratulera till det viktiga uppdraget som gymnasieminister. Jag har ställt ett par frågor till statsrådet, bland annat om att fyra av tio elever i det gamla gymnasiesystemet - alltså våren 2011 - lämnade yrkesprogrammet efter tre år. Man kan säga att resultat av den socialdemokratiska gymnasiepolitiken alltså var att ungefär 40 procent lämnade skolan utan slutbetyg. De gick rakt ut i utanförskap och arbetslöshet. Statsrådet har totalt missat varför den nya gymnasieskolan reformerades så sent som hösten 2011. Precis de argument som statsrådet redogör för i svaret, koppling till näringslivet, närmare kontakt, ökat branschinflytande och motivation, konstaterades i Anita Ferms utredning som förklaring till varför staten och Sverige behövde reformera yrkes- och lärlingsprogrammen men också gymnasieskolan. Den första årskullen som lämnade denna gymnasieskola gick ut i våras, 2014. Nu står statsrådet och säger att som ett av sina första initiativ i regeringen vill hon riva upp hela det arbetet. Det är lite oansvarigt. Man ser över huvud taget inte till bakgrunden till reformen. Jag blir också illa berörd av att statsrådet säger att vi lurar ungdomar att tro att de inte behöver slutföra gymnasieutbildning. Hela vår skolpolitik bygger på att en bättre grundskola ska leverera bättre resultat och ska rusta elever för att bättre klara av gymnasiet. Huvudförklaringen till att gymnasieelever hoppar av gymnasiet är dåliga förkunskaper från grundskolan. Statsrådet Aida Hadzialic säger ingenting om det i svaret. Frågan om yrkescollege berörs som en förklaring till hur statsrådet och regeringen resonerar. Jag har sett exakt samma text i en artikel av Ibrahim Baylan i februari 2013 som jag visar upp här i kammaren. Där står det just att man vill satsa på yrkescollege. Min fråga blir då: Om ni nu på allvar vill öka branschinflytandet - det låter snarlikt Folkpartiets förslag om branschlärlingar - innebär det då att branschen ska styra över innehållet? Det står så i er artikel, och det framgår indirekt i statsrådets svar. Om maskinbranschen, CNC-operatörerna och restaurangbranschen vill ha yrkesskickliga, duktiga tjejer och killar från gymnasiet utan de teoretiska momenten, kommer statsrådet då att säga: Okej, vi utformar den typen av yrkescollege - eller vad man nu vill kalla det? Det är det intressanta. Innebär det att branschen får ett reellt inflytande? Eller kommer regeringen ändock att gå vidare med förslaget att åter teoretisera yrkesprogrammen som har bidragit till att Sverige har mycket stora avhopp på gymnasiet och att vi har en ungdomsarbetslöshet som är bland de högsta i Europa? ","FP"
"Ida Drougge","Fru talman! Jag vill tacka Aida Hadzialic för svaret.  Jag tror att jag förstår hur du, Aida Hadzialic, och Socialdemokraterna har tänkt. I Sverige har vi stora kunskapsutmaningar framför oss. För att kunna konkurrera med omvärlden behöver vi fortsatt utveckling och en bra ekonomi. Då behöver vi också leverera i kunskap. Kunskapen är jätteviktig. Det förstår jag mycket väl. Vad jag inte förstår är hur ni tror att gymnasiet som tvång blir lösningen. Det handlar inte om att jag är naiv och inte tror att fler behöver gå eller att fler inte ska behöva gå i gymnasiet. Det är klart att det vore jättebra ifall fler fullföljer gymnasiet. Frågan är hur tvånget och inte innehållet ska vara lösningen. I ditt svar formulerar du dig mer som om innehållet i gymnasieskolan är det som är viktigt. Fler elever ska få stöd, fler elever behöver få hjälp och kvaliteten behöver höjas. Det är jättebra. Men ditt förslag och det som vi debatterar här i dag handlar framför allt om själva tvånget och hur ni tror att tvång löser studiemotivationen. Många studenter och elever löser det själva i dag genom att se över sin gymnasietid. De kanske känner att de inte är särskilt motiverade nu och tar ett uppehåll och åker på utbytesår. Det utbytesåret och de kunskaper de får under året får de oftast inte tillgodoräkna sig. De kanske går i skola, men den kunskap de får och de kurser de tar kan de inte tillgodoräkna sig i Sverige. På papperet har de alltså inte gått i skolan utan har åkt på en lång resa och lärt sig jättemycket. De har fått erfarenheter och språkutveckling som är superbra, men de har inte gått svensk gymnasieskola under det året.  Det leder också till många andra frågor som vi behöver fundera på. Ska det gå att ta andra typer av uppehåll? Ska det gå att söka jobb? Om man får ett jobb, ska man få ta det då? Och ska man kunna göra andra längre resor? Var går gränserna? ","M"
"Aida Hadzialic","Fru talman! Jag börjar med att adressera Jan Björklunds frågeställningar och kommentarer. Jag drar mig till minnes att Jan Björklund ofta talar om att ställa krav är att bry sig. Det är en viktig och bra uppmaning. Det är också precis det som den nya regeringen har tagit till sig och vill framhäva i frågan om att alla ungdomar ska få gymnasiekompetens. Vi anser nämligen att det är så instrumentellt för att de ska få jobb, klara sig på arbetsmarknaden, kunna försörja sig själva och i slutänden bygga Sverige starkt för framtiden. Jag vill ändå tro och hoppas att alla partier här i kammaren har samma ambition för Sverige.  Vi vet exempelvis att ungdomar som inte har gymnasiekompetens löper dubbelt så stor risk att hamna i arbetslöshet än de som har gymnasieutbildning. Då ska vi fråga oss själva: Vill vi ge upp om de här ungdomarna? Vill vi i princip lura dem och säga att de minsann kommer att klara sig ändå? Jag tror att ambitionen framåt måste vara att alla ska ha gymnasiekompetens. Men låt oss se över formen tillsammans. Vi kommer att tillsätta en utredare som ska titta på detta. Roger Haddad undrar om branscherna ska få vara med och utforma yrkesprogrammen, yrkescollege med mera. Ja, det tycker jag. Jag ser det som centralt i den politik som vi ska föra. Jag vill se bredare och fler kontaktytor mot näringslivet och mot arbetsmarknaden. Teknikcollege kan användas som ett bra exempel på hur det här har utformats.  Som ny gymnasieminister kommer jag absolut att bejaka att branscherna och parterna på alla sätt och vis ska vara med i utformningen av de här utbildningarna. Det handlar alltså absolut inte om att riva upp någonting utan snarare om att bygga på, konsolidera och se till att det blir ännu starkare framöver. Slutligen talade Ida Drougge om att man inte kan tvinga fram studiemotivation. Jag håller helt och hållet med! Därför ska vi börja med tidiga insatser redan i grundskolan och höja läraryrkets attraktivitet. Vi ska se till att vi får mindre skolklasser och fler lärare så att varje lärare får än mer tid för varje elev. Vi vet nämligen att kunskapsöverföringen sker mellan läraren och eleven. Kan läraren väcka entusiasm vet vi också att det leder till att studiemotivationen kommer. Vi har talat om en utredning. Frågan om hur alla ungdomar ska få gymnasiekompetens ska utredas. Vi har talat om ett obligatorium tidigare, men vi säger nu: Låt oss inte bli fastlåsta vid själva formen! Vi sträcker ut en hand till kammaren, för det här ska ändå göras ur det perspektiv som är bäst för Sverige. Låt oss fråga oss: Hur kan vi gemensamt ta ansvar för Sverige och på så vis lösa de problem som Ida Drougge talar om? Det är viktiga frågeställningar hon pekar på, och jag ser gärna att de på olika sätt kommer in i utredningen. ","S"
"Jan Björklund","Fru talman! Statsrådet undslapp sig en mening som väcker frågor: \"Vi har talat om ett obligatorium tidigare, men vi säger nu\" och så vidare. Backar statsrådet från förslaget om obligatoriskt gymnasium? Är det beskedet? Står inte regeringen längre för detta? Det skulle jag såklart välkomna, för jag tror att det är fel tänkt. Det är ett riktigt felskär. Ska det uppfattas så? Det behöver statsrådet klarlägga efter detta uttalande. Jag tycker att vi ska titta på de länder som riktigt lyckas med yrkesutbildningar. Sverige hör absolut inte till dem. Vi har stora problem med yrkesutbildningar. De som lyckas är Österrike, Tyskland, Nederländerna och Danmark. Stora delar av Västeuropa lyckas riktigt väl med yrkesutbildningar. Det finns ett par gemensamma faktorer de har som Sverige inte har. De har lärlingssystem. Ingen av dem har tänkt tanken att detta skulle vara obligatoriskt. Ingen av dem har tänkt tanken att man skulle kräva att alla ska läsa in akademisk behörighet. När vi var kolleger frågade jag den socialdemokratiska utbildningsministern i Österrike, ett av de länder som har den lägsta ungdomsarbetslösheten i Europa, vad han ansåg om tanken att alla skulle tvingas läsa in universitetsbehörighet. Han bara skakade på huvudet och förstod inte vad jag pratade om. Sverige har misslyckats med de yrkesutbildningar vi har, måste man säga, och ni vill vandra vidare. En av orsakerna till misslyckandet är att de är alltför skolifierade och alltför teoretiserade. Därför har vi mycket höga avhopp från dessa utbildningar. Precis som statsrådet säger är de inte speciellt attraktiva. I stället för att gå ännu längre på den vägen och fortsätta att teoretisera och akademisera dem, eller uppfinna en helt egen modell, borde vi titta på de länder som lyckas. Det kunde vara en vettig idé. Flera av dessa länder har socialdemokratiska regeringar. I flera fall har de sedan årtionden och generationer tillbaka ett lärlingssystem som fungerar mycket väl. Precis som Roger Haddad säger är branscherna inne och styr och tar ett mycket mer långtgående ansvar. I några av länderna har samhället - stat och kommun - ganska lite inflytande över yrkeslärlingssystemen. Men de fungerar, och ungdomarna får en bra yrkesutbildning. Det ingår såklart teoretiska ämnen också, men inte så att alla blir universitetsbehöriga. Det får man välja om man vill, men det är inget krav. Man får en bra yrkesutbildning, och man får jobb efteråt, vilket är det helt avgörande. Sverige har, måste vi erkänna, under både socialdemokratiska och borgerliga regeringar haft högre ungdomsarbetslöshet än många jämförbara länder. Jag skulle säga att det sätt vi har lagt upp yrkesutbildningar på i Sverige är en viktig delförklaring till den högre ungdomsarbetslösheten. Vi skapar system som tvingar in alla i en mall som är mycket teoretiserad på yrkesutbildningssidan, men även om vi inte skulle önska det är ganska många ungdomar i 17-18-årsåldern väldigt trötta på att gå i skolan. Vi kommer inte att lösa det genom att lagstifta om förbud mot skoltrötthet. Det går inte. Som statsrådet säger måste vi hitta former där alla kan gå färdigt en utbildning och bli godkända, få jobb och känna sig lyckade. Vi ska inte tvinga in alla i en utbildning där många känner sig misslyckade därför att de inte nått målen. Titta på de länder som lyckas med ungdomsarbetslösheten! Inget av dem har valt den modell som den svenska regeringen nu är på väg in i. ","FP"
"Roger Haddad","Fru talman! Jag har egentligen inte fått svar på mina frågor, mer än möjligen, om jag ska vara snäll, svaret att regeringen ska analysera varför ungefär 40 procent av yrkeseleverna lämnar gymnasiet efter tre eller fyra år utan slutbetyg. Detta behöver inte analyseras och utredas. Statens skolinspektion, som ligger under statsrådets eget departement, kom i somras med en rapport som pekar ut de fem program som har störst problem med avhopp, där var fjärde elev inte slutför sin utbildning inom tre år. Det är bland annat industritekniska programmet, hotell- och turismprogrammet, fordons- och transportprogrammet och barn- och fritidsprogrammet. Det behövs inga utredare, Aida Hadzialic! Det behövs ingen analys. Statsrådet tillhör ett parti som brukat prata om att det sker för mycket, att man ska ta det lugnt, att det som görs är hafsverk och förhastat och att man ska ge arbetsro i skolan. Men det första utspel det nya statsrådet gör handlar om att den gymnasieskola som bara har funnits i tre år ska rivas upp. Det är totalt oansvarigt, och det är långt borta från den verklighet som vi som jobbat med frågan i 12 eller 13 år har noterat. Jag har stor respekt för gymnasieministerns ambitioner, men stå inte och säg att Folkpartiet inte vill att man ska lämna grundskolan med fullständiga betyg och att Folkpartiet inte vill att man ska gå ut gymnasiet med slutbetyg! Alla är överens om att man måste ha gymnasieutbildning. Vi ska angripa de faktiska problemen. Jag vill, statsrådet, att du talar om för mig hur många som inte påbörjar gymnasiet över huvud taget, eftersom ditt första utspel som statsråd gällde detta. Hur många går inte över till gymnasieskolan? Det vill jag gärna få reda på. Varför vill jag veta den siffran? Jo, för att det finns ett problem som är ännu mer akut, nämligen att 10 000 gymnasieelever hoppar av gymnasiet varje år i Sverige. Det sämsta resultatet på kommunal nivå, fru talman, är att bara ungefär 40 procent av eleverna lämnar gymnasiet med slutbetyg. Sex av tio lämnar alltså generellt sett gymnasiet utan slutbetyg. I en annan kommun kan det ligga på 90 procent med slutbetyg. Jag tycker att det är väldigt bekymmersamt att 60 procent av eleverna i vissa svenska kommuner lämnar gymnasiet efter tre år utan slutbetyg. Det bekymrar mig extra mycket att 40 procent av yrkeseleverna lämnar gymnasiet utan slutbetyg. Statsrådet säger att hon vill ha vår hjälp i kammaren att åter teoretisera gymnasiets yrkesprogram. Vi kritiserade er regering i tolv år för detta innan vi hamnade i regeringsställning och ändrade på det. I den nuvarande regeringen, som har 38 procents stöd, möjligen 43, vet man snart inte vad man tycker. Jag tycker att jag får lite olika besked om det här med obligatorium. Yrkescollege, teknikcollege och vård- och omsorgscollege är väldigt bra verksamheter. Men det är inte lika med att branschen kan få ut yrkesutbildade elever utan krav på teoretisk behörighet till högskolan. De teoretiska momenten i gymnasiet brukar ta i anspråk tid från praktiska yrkesnära ämnen. I den delen vill jag fortfarande ha svar. Kommer man att kunna få ut yrkesutbildade elever utan det kravet? ","FP"
"Ida Drougge","Fru talman! Statsrådet sade att hon inte tror på tvång och att tvång inte gör att färre elever blir skoltrötta. Det gör mig glad att statsrådet säger så, och jag välkomnar det. Men varför är det då detta som är förslaget? Jag fick till svar att många av alla dessa problem ska utredas. Men om ni på riktigt tror på obligatoriskt gymnasium, hur kommer det sig då att ni inte utreder att obligatoriet ska sträcka sig över hela gymnasieperioden, utan endast till den dag man fyller 18 år? Det är i dag väldigt få elever som har läst hela gymnasiet när de är 18, utan det gör man oftare på tre år och även efter att man fyllt 19. Jag tyckte mig höra att ni ändrar er lite grann, framför allt i statsrådets inlägg nyss, men även i interpellationssvaret. Det låter nästan lite grann som i den interpellationsdebatt då Monica Green omformulerade 90-dagarsgarantin och sade att den inte längre är en garanti utan ett mål. Jag skulle vilja ha ett förtydligande. Är det så även på det här området? Har förslaget om ett obligatorium blivit till ett förslag om ett mål om att alla ska gå i gymnasiet? Det tror jag i så fall vore mycket bra. ","M"
"Aida Hadzialic","Fru talman! Jan Björklund! Backar vi? Nej, men vi säger att frågan om hur alla ungdomar ska få gymnasiekompetens ska utredas. Vi vill inte fastna i formen. Att det kanske blir ett obligatorium är en formmöjlighet, men i och med att utredningen ska ta fasta på frågeställningen på bredden kanske vi finner gemensamma vägar framåt tillsammans. Det är det beskedet som den socialdemokratiska och miljöpartistiska regeringen har givit. Socialdemokraterna talade om ett obligatorium inför valet. Märk väl: <em>Socialdemokraterna</em> talade om det. Vi ingår i en regering nu. Vi ser att vägen framåt är att utreda frågeställningen men att ambitionen, målsättningen, måste vara att alla ungdomar ska få gymnasiekompetens. Roger Haddad frågade hur många det är som inte påbörjar en gymnasieutbildning. Det talas om och jag har fått dokumenterat 2 procent, alltså drygt 2 000 elever, som inte påbörjar. Man kan diskutera siffran i sig, men 2 000 är 2 000 för många, framför allt om det leder till att de hamnar i arbetslöshet senare. Ida Drougge! Det handlar återigen om att alla de problem du lyfter fram ska utredas. Det är lite väl häftigt att be en nytillträdd regering att i detalj deklarera här och nu hur saker och ting kommer att vara utformade. Vi har i det budgetförslag som har lagts fram tydligt sagt att en utredning är aviserad. Vi vill återigen sträcka ut en hand till kammarens partier och tala om hur vi tillsammans når en väg framåt för att se till att alla ungdomar får nyckeln till arbete. Vad gäller frågan om högskolebehörigheten: Frågeställarna är säkerligen liksom jag väl medvetna om att Sveriges konkurrenskraft globalt sett har legat i att vi är en kunskapsnation, en nation som har legat i framkant vad gäller att vara innovativ och kunna placera produkter och tjänster på världsmarknaden. Ska vi göra det även i framtiden, framför allt när det gäller industrin och det som näringarna efterfrågar, måste framtidens arbetskraft ha de kunskaper som arbetsmarknaden - den nationella såväl som den globala - efterfrågar. Att 40 procent av yrkeseleverna går ut skolan utan slutbetyg är väl ett tecken på att den politik som fördes fram till nu inte fungerade. Andelen elever som sökte sig till yrkesprogrammen sjönk, och det är alldeles för många som inte fullföljer en gymnasieutbildning med slutbetyg. Vi måste göra något åt saken och inte fortsätta trampa i samma spår som visade sig vara ineffektiva. ","S"
"Jan Björklund","Fru talman! Jag blir inte klok på om regeringen står fast vid obligatoriskt gymnasium eller inte. I svaret sade statsrådet att alla ungdomar ska genomföra en gymnasieutbildning. Så sade statsrådet. Sedan säger hon så här: \"Obligatorium är en formmöjlighet.\" En formmöjlighet. Jaha? Antingen gäller det som sades i svaret och i regeringsförklaringen, eller också gäller detta - att det är en tänkbar formmöjlighet. Här behöver regeringen precisera sig. Jag menar att vi ser samma problem. Både regeringen och oppositionen ser samma problem: Det är för få som söker yrkesprogram på gymnasiet, och det är för få som fullföljer gymnasiet. Vi ser detta problem. Det som skiljer är vad vi vill göra åt problemet. Ni tror att om man lägger på ännu fler teoretiska och akademiska ämnen på yrkesutbildningarna och lagstiftar om att alla ska gå dem, då löser det problemet. Jag tycker att man ska lära av de länder som har lyckats. Inget av dem har valt den vägen. Stora, socialdemokratiskt styrda länder i Västeuropa har valt en annan modell, nämligen lärlingssystem. Jag vet inte om de är på väg att bli utkonkurrerade av oss. Eftersom det är så otroligt viktigt för konkurrenskraften att alla blir akademiker måste de snart bli utkonkurrerade av Sverige allihop. Men jag tror inte det. Jag tror på länder som har mycket bra yrkesutbildningar. Siemens i Berlin - jag besökte dem när jag var utbildningsminister - har en av Europas största lärlingsutbildningar för att utbilda medarbetare. Jag frågade: Vill ni att samhället tar över utbildningen? Vill ni att den ska vara obligatorisk? Vill ni att alla ska läsa in högskolebehörighet? De förstod inte vad jag pratade om. De kände inte att det var vad som saknades för deras konkurrenskraft. En tredjedel - det är den siffran vi ska fokusera på, för det är så många som inte fullföljer gymnasiet. Vi ska inte trampa på i samma gamla hjulspår. Det ska vi inte göra. Jag tycker inte att vår regering lyckades med yrkesutbildningarna, men det gjorde inte er förra regering heller. Det är lärlingsutbildningar som är svaret, inte att alla ska bli akademiker. ","FP"
