"Magdalena Andersson","Herr talman! Désirée Pethrus har frågat arbetsmarknadsministern vilka effekter hon bedömer att den planerade begränsningen av RUT-avdraget får för sysselsättningen och om hon avser att vidta åtgärder för att kompensera för ett eventuellt sysselsättningsbortfall samt om hon avser att ta initiativ till en analys av vilka effekter begränsningen av RUT-avdraget får för sysselsättningen bland Sveriges många nyanlända personer. Arbetet är så fördelat att det är jag som ska svara på interpellationen. Vidare har Olof Lavesson frågat mig vilka förändringar av RUT-avdraget jag avser att verka för samt vilka sysselsättningseffekter jag bedömer att dessa förändringar får. Helena Bouveng har frågat mig vilka besked om RUT-reformen jag kan ge till de företagare och kunder som i dag verkar i hemservicebranschen och som är oroliga för branschens utveckling. Regeringen avser att förändra RUT-avdraget så att det riktas mer till vanliga barnfamiljers och pensionärers behov av hushållsservice. Detta kommer inte att innebära någon skillnad för de allra flesta som i dag gör RUT-avdrag. Ett slopande av läx-RUT gör vidare att RUT-avdraget inte längre bidrar till ökade klyftor mellan elever. Dessa förändringar minskar orättvisorna och bedöms ha mycket begränsade effekter för kunder och företagare i RUT-branschen samt på sysselsättningen och de nyanländas situation på arbetsmarknaden. "
"Désirée Pethrus","Herr talman! Jag vill tacka finansminister Magdalena Andersson för svaret på interpellationen jag ställt angående RUT-avdragets framtid och konsekvenserna för jobben. Det är framför allt jobbkonsekvenserna som varit i fokus för mig. Finansministern säger i interpellationssvaret att regeringen avser att förändra RUT-avdraget så att det riktas till vanliga barnfamiljers och pensionärers behov av hushållsservice. Jag vet inte riktigt vilka de ovanliga barnfamiljerna och pensionärerna är som ministern menar använder RUT-avdraget i dag, men jag hör om många olika personer som använder det. Det kan även gälla ensamstående mödrar som vill ge sina barn läxhjälp, vilket beskrevs i ett radioinslag för inte så länge sedan. Den möjligheten ska nu försvinna, om regeringen får sin vilja igenom. Ministern säger i sitt svar att man ska slopa läx-RUT då det ökar klyftorna mellan elever. Hur kan det vara en dålig investering för samhället att hjälpa barn att klara sin skolgång? undrar jag. Finansministern säger vidare i sitt svar att förändringarna i RUT för de allra flesta inte kommer att innebära någon skillnad och att det inte kommer att påverka vare sig sysselsättning eller företagande i branschen. Det kommer inte heller att försämra arbetsmarknaden för de nyanlända, menar ministern. Men där tror jag, herr talman, att ministern gör ett trippelfel. Jag tror att det tyvärr kommer att bli sämre på alla dessa områden. Oavsett vem som köper tjänsterna kommer en halvering av avdragsrätten från 50 000 till 25 000 att innebära att färre tjänster köps, vilket kommer att påverka företagandet och sysselsättningsnivån i sektorn. Det tycker jag är ganska enkelt att räkna ut. Att ingenting skulle påverkas tror jag inte på. I min interpellation har jag beskrivit vad som hände i Danmark när de ändrade i sin motsvarighet till det som vi kallar RUT-tjänster. Där infördes RUT-tjänster 1994 - det kallas hemserviceavdrag - och från 1997 blev det permanent. För varje gång som danskarna ändrat sitt system har det fått stora konsekvenser vad gäller branschens utveckling. Man gjorde ändringar när systemet befästes 1997, och det tog ett och ett halvt år att ta igen de ökningarna. År 2000 ändrade man igen, och då minskade branschens omsättning avsevärt. År 2002 kom ytterligare en ändring i Danmark, och vips var man nere på 1994 års nivå vad avsåg omsättningen. Det var, som man själv tyckte, fråga om små ändringar i det danska RUT-avdraget, men det medförde mycket stora konsekvenser för hela branschen. Flera olika forskningsrapporter har visat att det är just förändringar i någon form som, även om de är väldigt små, slår hårt mot hela branschen. Det påverkar företagens vilja att nyanställa, att investera och att expandera. Det mesta läggs på is och kunderna börjar bli osäkra på vad det är som gäller. Därför tycker jag att det är allvarligt. Att regeringen tänker förändra RUT kan riskera många människors jobb. Därför ställer jag frågan: Varför måste man röra RUT? Det minsta lilla som man rör i RUT riskerar att slå mot hela branschen, mot arbetstillfällen för många människor som behöver just dessa arbetstillfällen. Tror ministern verkligen inte att det på något sätt kommer att slå mot jobben? "
"Olof Lavesson","Herr talman! Jag vill inleda med att tacka finansministern för det korta och koncisa svaret. Hon kommer strax att få tillfälle att utveckla det ytterligare. Införandet av RUT-avdraget har i allt väsentligt varit en lyckad reform. I dag används det av ca 600 000 svenskar, människor som genom reformen fått det lite lättare att få livspusslet att gå ihop. Anställda som arbetar vitt har kunnat se fram emot trygga anställningsvillkor och fungerande försäkringar på arbetsplatserna. De har kunnat vara med och bidra till vår välfärd genom att betala skatt och kunnat tjäna in till sin framtida pension. Många av dem som genom reformen fått jobb har tidigare stått långt från arbetsmarknaden. Siffror från Almega visar att var fjärde anställd är under 26 år, tre av fyra kommer från arbetslöshet och nära hälften är utlandsfödda. Nästan åtta av tio som arbetar inom städ- och hemservice är kvinnor, och sju av tio egenföretagare inom näringen är kvinnor. För staten har inkomsterna ökat genom att fler betalar skatt på sin lön, fler betalar moms på de varor och tjänster de köper och fler seriösa företagare betalar arbetsgivaravgifter för sina anställda. De senaste fem åren har RUT-branschen växt med i genomsnitt 20 procent årligen, och ännu finns inga tecken på avmattning. Finansministern aviserar stora förändringar i RUT-reformen. I budgetpropositionen för 2015 föreslogs en halvering av RUT-avdraget, borttagande av läx-RUT och slopat RUT-avdrag för matlagning. Det var förslag vilka, som väntat, mötte stark kritik. Den hemserviceenkät som Almega skickade ut 2014 visade att en halvering av RUT-avdraget skulle minska branschens omsättning med 23 procent. Det skulle beröra 3 400 anställda. Det ska läggas till de andra reformer som regeringen föreslagit och som ytterligare drabbar hemservicebranschen i form av chockhöjda arbetsgivaravgifter och ökade löneskatter för äldre. Tror inte finansministern att detta är förenat med kostnader? Och tror inte finansministern att de ökade kostnaderna får effekter? Ofta har RUT-reformen beskrivits som en reform bara för de rika, så även från Magdalena Anderssons håll. Vi ska inte finansiera hembiträden i Danderyd, har det hetat, som om det vore en rättvisereform att avdraget nu börjar demonteras. Sanningen är den att om vi tittar på var hemservicebranschen växer allra mest ser vi att det är i glesbygden. Det är i Kronoberg och i Norrbotten, i kommuner som Gällivare, Jokkmokk, Härjedalen, Arjeplog och Pajala. Där ökar tillväxten mest. Visst är det fråga om en rättvisereform, men den rättvisan uppnår man inte genom att demontera avdraget så att allt färre har möjlighet att ta del av tjänsterna eller att färre får möjlighet till en trygg och säker anställning. Var ligger rättvisan i kraftigt ökade kostnader för en bransch som huvudsakligen anställer kvinnor, unga, utrikes födda och arbetslösa? Finansministern talar, som nämndes tidigare, om vanliga barnfamiljer. De vanliga familjerna ska inte komma att beröras. Det är lite oklart vad det där vanliga är. Visst har finansministern en poäng i att familjer med två arbetande vuxna med sjysta inkomster fortfarande kommer att kunna göra avdrag på 50 000 kronor om året medan den ensamstående mamman, som redan har svårt att få ekonomin och livspusslet att gå ihop, drabbas ganska kraftigt av ett försämrat RUT-avdrag. Vari ligger rättvisan för henne? Vari ligger rättvisan för alla de tusentals egenföretagare och småföretagare som känner att mattan dras undan för dem? Och var ligger rättvisan i att tusentals unga riskerar att förlora sitt första jobb när läx-RUT avskaffas? Oron är stor både hos aktörer i branschen och hos de anställda och kunderna. Man undrar hur långt regeringen ska gå med sina försämringar. Regeringen har redan svikit tidigare löften när det gäller ROT-avdraget och påbörjat demonteringen även av det. Därför vill jag fråga finansministern: Vilket blir nästa steg i nedmonteringen av RUT? Avser finansministern att föreslå att avdragsrätten ska minskas ytterligare, ned till 30 procent, som man gjort med ROT-avdraget, eller kan ministern lova att detta är den sista försämringen av RUT-avdraget vi får se under den här mandatperioden? "
"Helena Bouveng","Herr talman! Tack, finansministern, för svaret! RUT-reformen har fått nya jobb att växa fram i en bransch som i mångt och mycket inte existerat i vårt land, i alla fall inte i vita sektorer och inte heller för vanligt folk. Jämför vi med andra länder inom EU har Sverige länge stuckit ut genom att just tjänstesektorn har legat långt efter. Historiskt sett har vi svenskar resonerat att det vi kan göra själva, det gör vi också själva. Detta har lett till att inte minst kvinnor i många stycken har varit dubbelarbetande. Ett resultat av detta är att många kvinnor, många barnfamiljer, haft det svårt att få vardagspusslet att gå ihop. Inför införandet av RUT-reformen gick vågorna höga bland röda politiker i den så kallade pigdebatten, och för inte så länge sedan kunde vi höra vänsterpartisten Ali Esbati i Sveriges Televisions jobbdebatt kalla dem som har ett RUT-jobb för tjänstefolk. Hans underliggande mening är att det skulle vara något slags överklass som köper dessa tjänster. Herr talman! Inget kan vara mer fel. Den största gruppen som köper tjänsterna är kvinnor 65-plus och barnfamiljer. I dag sysselsätter hemservicebranschen 20 000 svenskar. Svarta jobb har blivit vita, drygt hälften av branschens anställda är utlandsfödda och 25 procent är under 26 år. Unga människor får en språngbräda till ett nytt jobb. Dessutom kan vi se att fler kvinnor startar företag i Sverige, till stor del tack vare RUT-avdraget. Egenföretagarna inom städ och hemservice är till 71 procent kvinnor - kvinnor som nu får inflytande över både kapital och näringsliv. Nyligen kom Almega med rapporten <em>RUT 2015</em>, där man kunde bekräfta detta. De senaste fem åren har RUT-företagsbranschen växt i genomsnitt 20 procent årligen, och ännu syns inga tecken på avmattning. Bara under 2014 uppgick omsättningen till drygt 6 miljarder kronor, och antalet sysselsatta har nu som sagt nått 20 000. Det är mer än tre gånger så många som de aviserade traineejobben. Trots detta, herr talman, har finansministern aviserat stora förändringar av RUT-reformen. Regeringen föreslår, trots framgångssagan, en halvering av RUT-avdraget och borttagning av bland annat läx-RUT. Och får Ali Esbati och Vänsterpartiet som de vill, ja, då avskaffas väl avdraget helt. Det är förändringar och signaler som skapar stor oro och skadar hela branschen. Därför undrar jag varför finansministern, som säger sig företräda en regering som värnar jämställdhet, samtidigt lägger förslag som direkt motverkar kvinnors möjlighet att utveckla sitt företagande, som hindrar kvinnligt inflytande över kapital och näringsliv, som leder till att vita jobb blir svarta, som leder till att människor långt bort från arbetsmarknaden återigen blir kvar på perrongen och som leder till att en välbehövlig tjänstesektor som skapar fler arbetstillfällen stagnerar. "
"Finn Bengtsson","Herr talman! Tack, de tre interpellanterna, för viktiga interpellationer! Tack, finansministern, för ett väldigt kortfattat svar! Jag läser in i svaret att man egentligen inte vill problematisera förändringar av RUT-avdraget. Kloka argument har lagts fram här för hur RUT-avdraget i sin nuvarande konstruktion har gjort att svarta jobb har blivit vita, att utsatta kvinnor har fått en möjlighet till en arbetsmarknad - och att den arbetsmarknaden är vit - och att stressade barnfamiljer har fått hjälp samt för de här avdragens generellt positiva effekter på sysselsättningen. Det är omvittnat. Vid sidan av det som interpellanterna precis har nämnt vill jag ta upp den lite mer principiella frågan hur man resonerar på Regeringskansliet och inte minst på Finansdepartementet när man inför skattehöjningar, vilka detta de facto är. Det här måste ju ses som en skattehöjning. Vi hörde när vi införde de här avdragen att de var skattesänkningar. Då måste motsvarigheten vara att detta är skattehöjningar. Hur räknar man hem de effekterna? Finansministern anser att försämringarna av RUT-avdraget ger mycket begränsade effekter för kunder och företagare i RUT-branschen. Men precis som Désirée Pethrus sa kan minsta lilla förändring av RUT-avdraget påverka hela branschen. Då kommer frågan: Hur påverkar detta Sveriges finanser? Är det så att den här skattehöjningen ger exakt de intäkter som finansministern förväntar sig? Under frågestunden för knappt två veckor sedan var det visserligen ROT-avdraget som var uppe till debatt, men vice statsministern avfärdade oss frankt. Enligt de beräkningar man gjort på Regeringskansliet gör det här inte att vita jobb blir svarta fastän man sänker ROT-avdraget från 50 till 30 procent.  Då undrar jag: Hur tänker man på Finansdepartementet när man gör de här beräkningarna? Räknar man krona för krona med att varje skattehöjning man gör genom att försämra avdragen ger exakt lika mycket intäkter, eller finns det möjligtvis någon negativ balans i beräkningen som gör att det inte alls blir så? I den större kontexten är det ju faktiskt så att på de andra skattehöjningarna, de betydligt större skattehöjningar som också aviserats av den rödgröna regeringen, räknar man med att få intäkter precis krona för krona i paritet med de höjda skatterna. Är det inte så att man kan ifrågasätta om den typen av ekvation går ihop och att staten förlorar på detta vid sidan av alla de andra dramatiska effekterna såsom att fler svarta sektorer växer fram och vi får en dubbel ekonomi? Är detta ingenting som bekymrar socialdemokratin, som nu dessutom måste stödja sig på Vänsterpartiet för att få igenom sina kommande budgetar? Man kommer att ta in ännu mer av socialistisk skattehöjarpolitik som faktiskt inte går att räkna hem utan skapar fler svarta sektorer som i sin tur leder till sämre intäkter för staten, och så har man en nedåtgående spiral. Det är den här generella problematiken som dessa viktiga interpellationer om RUT-avdraget tangerar. Det skulle vara intressant att höra hur finansministern med sin fäbless för skattehöjningar resonerar i fråga om hur detta påverkar statens intäkter. "
"Hillevi Larsson","Herr talman! Man kan diskutera RUT-reformen som sådan, men egentligen handlar det här om de förändringar som har skett. Det är egentligen inte en gigantisk förändring. Man har sänkt gränsen för vad man kan dra av från 50 000 till 25 000. När man tittar på fördelningen av de här avdragen kan man se att det är få personer som drar av upp till den övre gränsen. Det är ett fåtal, och där kan man också tydligt se inkomstfördelningen. Det är inte låginkomsttagare som drar av så mycket de kan, utan det är höginkomsttagare. Man kan också se fördelningen över landet. I rika förorter som Danderyd där det är många som har RUT-avdrag drar man också av mer. Man kan nästan ha en hushållerska med de regler som hittills har funnits. Visst är det rätt många som har använt RUT-avdraget, även om man tydligt kan se att de som tjänar mest använder det mer. Men det är rätt vanligt att man använder det till flyttstädning, alltså som en engångskostnad. Detta berörs över huvud taget inte av den här förändringen. De allra flesta som har använt det kan fortsätta att använda det precis som förut. Enligt förslaget ska man också kunna dra av mer om man är över 65 år. Skulle det vara några äldre som har problem med att själva utföra all städning kan de alltså dra av mer. Man har också tagit bort de värsta avarterna som har funnits i systemet. Läx-RUT framställs som att det är fantastiskt, men det handlar om en skattesubvention för att gymnasieelever ska kunna få ett försprång framför sina klasskamrater. Det är tyvärr det som blir konsekvensen. Därmed ökar man segregationen i skolan. Det har redan tidigare varit möjligt med RUT-avdrag som en del av barnpassning, alltså för läxläsning för grundskoleelever. Men det som den förra regeringen tillförde var att även gymnasieelever eller deras föräldrar skulle kunna få den här subventionen. Det är ju mycket rimligare att man använder skattepengarna till att alla barn får läxhjälp på lika villkor, till exempel som en del av skolarbetet.  En annan avart har varit det man kallar avancerad städning. Det innefattar rengöring av inomhuspool, vilket har varit tillåtet enligt det nuvarande systemet. Nu tar man bort den möjligheten, och det sticker i ögonen. Den som har inomhuspool ska självklart kunna rengöra den. Man kan naturligtvis anlita någon som utför tjänsten om man inte själv vill göra det, men att detta ska subventionernas med våra skattepengar är väldigt märkligt. Detsamma gäller för bartendrar och avancerad matlagning, att man ska kunna ha en privat kock eller en privat bartender hemma. Därför tycker jag att man har rensat systemet på de avarter som har stuckit i ögonen. Man får inte glömma att detta är en skattesubvention. Vi måste vara försiktiga med vad vi använder våra skattemedel till. Det är klart att det blir lite fler jobb. Det är det nog ingen som ifrågasätter. Sedan kan man diskutera hur många fler det egentligen har blivit. Hade vi subventionerat en annan bransch hade det antagligen blivit jobb där också. Jobben har ju inte kommit från ingenstans, utan de har kommit från en skattesubvention som år 2014 kostade 17 miljarder kronor. Det är vad man har betalat ut till dem som har gjort RUT-avdrag, och jag ska nämna att ROT-avdragen också är med i den siffran. Men detta kostar alltså. Vi måste vara försiktiga med hur vi använder skattemedlen. "
"Magdalena Andersson","Herr talman! När man lyssnar på interpellanterna får man nästan intrycket att regeringen skulle avskaffa RUT-avdraget. Det är många uppräkningar om hur branschen har vuxit, vilket är helt korrekt, och hur människor som tidigare har jobbat svart har fått möjlighet att få en vit anställning. Det har varit en fantastisk utveckling som är väldigt bra, men det är också en bransch som anställer en del personer som har svag anknytning till arbetsmarknaden, vilket också är väldigt positivt. Allt detta är korrekt. Däremot är min bedömning att detta inte kommer att få de stora effekter som interpellanterna verkar vilja få oss att tro.  Ni hänvisar till det danska exemplet. Där tror jag att man ska vara lite försiktig, för i Danmark har man gjort ganska många olika förändringar som är betydligt större än den som regeringen nu föreslår. Désirée Pethrus frågar vilka de ovanliga hushåll är som kommer att påverkas av det här förslaget. Det handlar om någon procent av de hushåll som gör RUT-avdrag som skulle påverkas. Man ska dels slå i taket, alltså dra av mer än 25 000 kronor själv, dels inte kunna överlämpa något på sin partner. Det är om familjen sammantaget drar av mer än 50 000. Det är någon procent av dem som utnyttjar RUT-avdrag. Personerna i den gruppen har en genomsnittlig inkomst på 950 000 om året. Så ser de ovanliga familjerna ut. Det handlar alltså inte om att vanliga löntagare gör den här typen av mycket stora avdrag, utan det är naturligtvis personer som har lite större inkomst som kan göra det fulla avdraget med dagens system. Olof Lavesson sa att det är färre som får möjlighet att göra avdrag. Det är verkligen en sanning med modifikation. Det man nu gör är att rikta avdraget mer till vanliga familjers behov. Det kan handla om att man behöver hjälp med städning, fönsterputsning eller kanske med att hämta barnen från skolan ett par dagar i veckan. Man kan få hjälp med flyttstädning eller med att klippa gräsmattan. För de familjerna kommer detta inte att ha någon effekt över huvud taget.  Det handlar om personer drar av väldigt mycket - om man har hjälp med poolrengöring, hyr in en kock eller en bartender till 50-årsfesten berörs man av det här.  Olof Lavesson tog också upp de ensamstående föräldrarnas situation. Det är väldigt få ensamstående föräldrar som drar av ända upp till taket. Det är också färre ensamstående föräldrar som har goda inkomster. Om Olof Lavesson brydde sig mycket om de ensamstående föräldrarna kunde han kanske ge regeringen stöd när det gäller att höja underhållsstödet för ensamstående föräldrar, något vi föreslog i höstas men som tyvärr Alliansen röstade ned. Finn Bengtsson undrar hur vi räknar med dynamiska effekter. Här följer vi naturligtvis de beräkningskonventioner som finns på Finansdepartementet. De har överlevt olika regeringar. De beräkningskonventioner man använder i dag grundar sig i dem som togs fram efter budgetsaneringen på 1990-talet. Innan dess gjorde den tidigare borgerliga regeringen 1991-94, då man körde sönder statsfinanserna, betydligt mer dynamiska beräkningar, som visade sig inte vara särskilt bra för statsfinansernas långsiktiga hållbarhet. "
"Désirée Pethrus","Herr talman! Hillevi Larsson säger att det är små förändringar, och det säger också finansministern. Min poäng i mitt första inlägg var just att även i Danmark ansåg man att man gjorde väldigt små förändringar och att det här inte skulle få stora konsekvenser. Problemet var bara att ju mer man började röra i detta och ju fler områden man förändrade, desto större effekter fick det. Till sist var man tillbaka på 1994 års nivå. Därför tycker jag att detta är allvarligt. Regeringen tänker sig att i en trestegsraket och göra en förändring. Först tar man bort läx-RUT, sedan ska man halvera avdraget för personer under 65 år, och sedan tänker man sig ytterligare möjligheter att göra försämringar i RUT-systemet. Jag ställer mig tveksam till detta. Förändringarna i sig gör att hela branschen fryser nyanställningar och investeringar, och allting går i fel riktning. Jag reagerar också starkt på att Socialdemokraterna har allt fokus på kunden, alltså den som ska köpa tjänsterna. Varför har man inte i stället fokus på dem som har jobben och som faktiskt blir anställda? Alternativet är att de rika, som man säger att man är emot, sätter in sina pengar på konton eller kanske köper svarta tjänster. Var får vi då riktiga och bra jobb för många människor? Finansministern säger ju själv att detta handlar om människor som har stått långt ifrån arbetsmarknaden som nu får ett arbetstillfälle. Varför ska vi slå på dem som har det svårast att komma in på arbetsmarknaden?  Det är också intressant att Almegarapporten visar att den här branschen nu ökar ute i landet. Det är inte i Djursholm som jobben kommer, utan den största ökningen har man det senaste året sett i Kronoberg, Norrbotten och Skåne. Intressant är att Gällivare har ökat mest bland alla kommuner, från 63 kunder till 452 kunder. Det är en ökning med 617 procent i Gällivare. Då kan man inte gärna säga att det bara är rika som utnyttjar dessa tjänster - det är möjligt att det är rika i Gällivare också, men den person som köper RUT-avdrag är inte den person som Socialdemokraterna målar upp. Bara under 2014 ökade alltså antalet sysselsatta i den här branschen med 3 000 personer. Av dessa var två av fyra arbetslösa. Hälften var alltså arbetslösa eller uppsagda vid anställningstillfället. Detta tycker jag är jätteviktig information. Om vi börjar röra i RUT kommer vi att beröra dessa människors arbetstillfällen. Det svenska Konjunkturinstitutet, liksom danska och finska myndigheter, har räknat på vad detta ger samhällsekonomiskt. Alla är överens om att det är samhällsekonomiskt positiva effekter. Plusen ligger på ökade momsintäkter, ökade skatteintäkter från sysselsatta, lägre kostnader för arbetslösa och att de som köper tjänsten också kan öka sin förvärvsfrekvens i stället för att gå ned i arbetstid och kanske ta hand om hemmet. Varför, finansministern, vill ni slå mot alla dessa arbetstillfällen - mot dem som står långt från arbetsmarknaden och som i dag har fått en möjlighet till arbete? Jag vädjar: Rör inte i RUT, för det kan slå hårdare än finansministern någonsin tror! "
"Olof Lavesson","Herr talman! Finansministern talar om att det blir större möjlighet för de vanliga familjerna att få hjälp med just det de behöver för att få livspusslet att gå ihop. Det är inte de som tjänar mest som ska ha den här hjälpen. Låt oss då titta på vad de vanliga familjerna oftast behöver hjälp med. Det är städning. Det kan vara flyttning och annat. Men det är också att få hjälp med barnens studier. Just för dessa familjer är läx-RUT en fantastiskt bra reform. När man lyssnar på finansministern och Hillevi Larsson låter det dock som om läx-RUT i stället är lyx-RUT. Det är inte med sanningen överensstämmande. I stället skapar det möjlighet för att hjälpa de barn som inte trivs eller mår bra i skolan med att få relevant hjälp i hemmet. Det skapar också stora möjligheter för unga vuxna att få in en fot på arbetsmarknaden parallellt med sina studier. Mellan 1 och 2 procent av våra högskolestuderande jobbar i dag som läxhjälpare. Jag besökte för inte så länge sedan ett av Sveriges största läxhjälpsföretag, som har haft en kraftig expansion sedan avdraget för studiehjälp infördes. Under förra året nyanställde man ca 1 200 personer. Tre av fyra är födda på 1990-talet, och en tredjedel av kunderna tjänar under 40 000 i månaden. Det är inte de nivåer som finansministern talar om. När regeringen presenterade sitt budgetförslag i oktober stoppades all nyrekrytering, och flytten till större lokaler fick direkt avblåsas. Samma dag som regeringens budget föll satte man sig på bussen till KTH för att åter nyrekrytera. Men nu svävar man åter i limbo. De kan redan konstatera att de kommer att anställa ca 1 000 färre unga vuxna till följd av regeringens förslag. Enligt en undersökning gjord av Novus når sju av tio elever högre resultat med hjälp av privat läxhjälp. Varför inte se till att fler kan få den möjligheten? Familjer skulle till exempel kunna gå samman och få hjälp med att stötta sina barn. Hur ska man kunna göra den gränsdragning som finns i regeringens förslag? Hjälp med läxor ska bara kunna fås i ringa omfattning när man får hjälp med barnpassning. Vad är ringa omfattning? Skatteverket har självt pratat om gränsdragningsproblemen. Det är oerhört svårt att avgöra. Det är möjligen ca 6 minuter per timme. Sedan får man slå ihop böckerna och göra någonting annat även om det är läxor som behöver göras. Sedan är det bekymmersamt när man från regeringens sida räknar på de besparingar man gör och bortser från de samhällsekonomiska effekterna. De flesta bedömare är helt överens om att RUT-avdraget har bidragit positivt till statskassan och att försämringar skulle leda till rejäla kostnadsökningar. Konjunkturinstitutet beräknade 2005 att det svenska RUT-avdraget skulle bli en plusaffär för staten när branschen sysselsätter 10 000 personer. I dagsläget jobbar 20 000 personer med hemservice. Detta väljer finansministern konsekvent att bortse från. I stället väljer regeringen förenklandets princip och för in plakatpolitiken i lagförslagen. Med motiveringar om hembiträden, kocklandslag och inomhuspooler väljer man att nedmontera reformer som många människor i dag är beroende av och som sysselsätter allt fler. Jag skulle vilja fråga finansministern: Vilket samhällsproblem anser finansministern att man löser genom att slopa avdraget för rengöring av inomhuspool? Är det detta som svenska folket ligger sömnlöst över, och är det detta som dränerar statskassan? I vilken utsträckning anser finansministern att avdrag gjorda för cocktailpartyn och inhyrning av kocklandslag är så omfattande att det är där vi behöver sätta in de stora greppen? Sedan gäller det detta med att kunna heltidsanställa hembiträden. Om Hillevi Larsson tror att man kan heltidsanställa ett hembiträde med ett avdrag på 50 000 om året säger det mer om Hillevi Larssons syn på hur det fungerar på arbetsmarknaden än någonting annat. Det kanske är bättre i så fall att man ska kunna hyra en butler i tunnelbanan - jag vet inte. (Applåder) "
"Helena Bouveng","Herr talman! Tack, finansministern! I mitt förra inlägg pratade jag om oro. Även Désirée Pethrus har givit luft åt mycket oro. Och branschen är otroligt orolig. Man vågar inte utveckla. Man vet inte vad som händer i framtiden. Kommer detta att finnas kvar? Hur många måste jag säga upp? Vågar jag utveckla? Det är några av de frågor som jag får höra när jag träffar de här företagarna. Det är faktiskt inte bara företagarna som oroas, utan det är även kunderna - vad kommer att gälla? Detta bekräftas också av rapporter inom branschen i både Danmark och Finland. Här har man erfarenheten att trots att förändringar i RUT innebär direkta inkomstbortfall på det område som påverkas är det de facto systemförändringarna i sig som får större följder för branschens utveckling. Jag ska inte gå igenom hela Danmark igen. Men man kan titta just på Danmark, där man gjorde en förändring från 60 procent till 50 procent i reduktion. Man kan tycka att det var en ganska liten förändring vad gäller städtjänsterna - 70 procent var nämligen utförda städtjänster. Det kan man tycka är ett mindre ingrepp. Ändå minskade den branschens omsättning med en kvarts miljard danska kronor året därpå. Vi kan titta på Danmarks motsvarighet till vårt näringsdepartement. Man bedömde i sin rapport att jobben skulle minska, precis som finansministern ger uttryck för här i dag. Men man kunde aldrig förutspå att branschen aldrig skulle återhämta sig. Herr talman! Jag är orolig för att finansministern och hennes regering har gjort samma felbedömning som man gjorde i Danmark. Danmarks utveckling, eller snarare avveckling, visar att staplade förändringar leder till att branschen uppfattas som tillfällig och föränderlig. Företagens vilja att anställa, investera och expandera läggs helt enkelt på is. Kunder vet inte heller vilka tjänster som inkluderas. Min mamma, 85, börjar bli lite orolig: Vilka tjänster kan jag använda? Vad kan jag inte använda? Vad innebär en halvering i pris? Man blir helt enkelt orolig. Jag undrar om finansministern förstår branschens oro och även kundernas oro. Är det finansministerns önskan att hemtjänstbranschen ska få samma utveckling - eller ska vi säga avveckling? - som i Danmark? Sedan kunde inte jag heller i förra inlägget höra finansministern nämna någonting om det kvinnliga företagandet. 71 procent av de här företagarna är kvinnor. De har fått en möjlighet att vara med och påverka, delta i näringslivet och också få inflytande i näringsliv och kapital. Man säger sig värna jämställdhet. Det är en jämställd budget. Det ska vara en jämställd regering. Det ska vara en jämställd politik. Hur kommer det sig då att man lägger fram förslag som direkt motverkar kvinnors företagande och kvinnors inflytande i det svenska näringslivet? "
