"Ylva Johansson","Herr talman! Roger Haddad har frågat mig om jag och regeringen fortfarande avser att genomföra genomgripande reformer av Arbetsförmedlingen, som aviserades i regeringsförklaringen, och om aviserade och vidtagna åtgärder från regering och myndighetsledning kan förhindra eventuella genomgripande utredningsförslag, eller hur regeringen avser att hantera pågående utredning. Svar på interpellationer Regeringen avser att besluta att avsluta utredningen. Vi har presenterat en ny inriktning på arbetsmarknadspolitiken, och många av de frågeställningar som utredningen skulle analysera är sådant som hanteras i myndighetens utvecklingsarbete. Arbetsförmedlingen har en central roll i att framgångsrikt möta de utmaningar som vi ser på arbetsmarknaden. I vår budgetproposition föreslog regeringen bland annat att myndigheten skulle tillföras resurser för att genomföra föreslagna reformer och påbörja ett förändringsarbete. Förnyelsen av Arbetsförmedlingen är ett långsiktigt arbete som redan har påbörjats. Den beslutade budgeten gör det tyvärr svårare, men Arbetsförmedlingen kommer ändå att fortsätta att bedriva sitt utvecklingsarbete. Arbetsförmedlingen står inför stora utmaningar, och förtroendet för myndigheten är lågt. Det behövs ett fortlöpande och intensivt arbete för att Arbetsförmedlingen på bästa sätt ska kunna bidra till en väl fungerande arbetsmarknad. ","S"
"Roger Haddad","Herr talman! Tack, statsrådet Ylva Johansson för svaret på interpellationen, som inlämnades redan den 27 november. Folkpartiet är angeläget om att den av Alliansen tillsatta utredningen om översyn av Arbetsförmedlingen genomförs. Det var med intresse jag följde statsministerns regeringsförklaring, där han särskilt belyste reformeringen av arbetsmarknadspolitiken och Arbetsförmedlingen, som upptar lejonparten av den budget riksdagen har anslagit, drygt 70 miljarder. Under hand har vi förstått att något var på gång, genom statsrådets uttalanden och generaldirektörens presentation i arbetsmarknadsutskottet liksom av de till största delen organisatoriska förändringar som ska genomföras. Det rör sig om en it-plattform och om att ett antal lokalkontor ska ses över. Folkpartiet har i ett antal artiklar i medierna försökt få fram ett besked under november och december månader, men statsrådet och regeringen har inte velat ge något tydligt besked när det gäller utredningen. Vi noterade i början av december att statens utredare, Agneta Dreber, entledigades. När det tillträder en ny regering är det inte konstigt om man vill utse en ny utredare. Man kanske vill se över direktiven och möjligen fortsätta det viktiga reformarbetet. Men i dag har Folkpartiet skriftligt och muntligt här i kammaren fått bekräftat att regeringen avser att avsluta utredningen. Jag tycker att det är beklagligt.  Jag tycker att det är mycket allvarligt att regeringen på punkt efter punkt, både i regeringsförklaringen och i sin egen arbetsmarknadspolitik, tar steg tillbaka. Det började med ungdomsarbetslöshetspolitiken, sedan var det traineejobben och nu är det Arbetsförmedlingen som man inte längre vill reformera, i varje fall inte utifrån utredningens direktiv och intentioner. Jag vill ställa ett antal frågor till statsrådet Ylva Johansson som är ansvarig minister när det gäller Arbetsförmedlingen. Är du nöjd med Arbetsförmedlingens effektivitet och resultat? Är du nöjd med styrningen och organisationen av Arbetsförmedlingen, som är en väldigt stor apparat? Har du inte tagit till dig de interna och externa utvärderingar som visar på att det är en ineffektiv myndighet som inte levererar det riksdag och regering har sagt att den ska leverera? Den kostar dryga 70 miljarder kronor, och den hör tyvärr till de myndigheter som åtnjuter lägst förtroende bland allmänheten.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Därför anser jag och Folkpartiet att det är mycket dåligt hanterat av regeringen att slopa denna viktiga utredning som just skulle genomlysa varenda del i Arbetsförmedlingen, och det räcker inte med de uttalanden eller inriktningsbeslut som statsrådet har aviserat. ","FP"
"Elisabeth Svantesson","Herr talman! Tack för den här interpellationsdebatten! Under förra mandatperioden höll Socialdemokraternas dåvarande arbetsmarknadspolitiska talesperson, Ylva Johansson, den ena presskonferensen efter den andra för att berätta om Socialdemokraternas tre jobbförslag: traineeplatser, 90-dagarsgarantin och reformeringen av Arbetsförmedlingen.  Vad har det då blivit av dessa förslag? Ingenting. Nu ser vi det hända som vi varnade för före valet. Så blir det när man har tre rödgröna partier som är så sugna på makten att de var för sig lovar allt till alla men glömmer att berätta för väljarna hur de ska genomföra det. De glömmer också att fråga om någon egentligen vill ha de här förslagen. Det är helt enkelt så här det blir när man inte har en plan. Arbetsmarknadsministern har lovat 32 000 traineeplatser. Var är de jobben? Nu verkar det som om arbetsmarknadsministern retirerar från sina egna förslag, och statsministern är helt beredd att sälja ut det lilla som är kvar av traineejobben. Det blir helt enkelt ingenting. Arbetsmarknadsministern har lovat en 90-dagarsgaranti till alla arbetslösa unga. Det är en garanti som vi vet har prövats och dömts ut, men arbetsmarknadsministern verkar i alla fall tro på förslaget eftersom hon höll så många presskonferenser om det. Men vad har det blivit av garantin? Hittills är det ingenting. Ylva Johansson lovade också en reformerad arbetsförmedling. Här delar jag på många sätt arbetsmarknadsministerns problembild. Det är en myndighet som inte fungerar som den ska, med mycket lågt förtroende och där matchningen fungerar alldeles för dåligt. Därför är det viktigt att den översyn som Alliansen påbörjade också får göras klart. Det är helt enkelt anmärkningsvärt att man lägger ned en utredning på det här sättet. Det är som om man vill säga: Det behövs ingen översyn, för vår politik är så bra! Är det så vi ska uppfatta arbetsmarknadsministern? Man måste ge besked om vad man vill göra med en så pass central aktör inom arbetsmarknadspolitiken. Vi talar om en myndighet som förvaltar 35 miljarder av skattebetalarnas pengar. Lägger man därtill a-kassan med mera blir summan den dubbla. Det behövs en översyn av Arbetsförmedlingen. Den är central. Den är viktig. Och det är anmärkningsvärt att de tre jobbförslag som Ylva Johansson höll presskonferens efter presskonferens om nu helt enkelt verkar försvinna. Eller ska jag tolka arbetsmarknadsministern som att Socialdemokraternas och Miljöpartiets politik i sig är så bra att Arbetsförmedlingen nu kommer att fungera alldeles lysande, även om den inte har gjort det på över ett decennium? ","M"
"Désirée Pethrus"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! När jag hör arbetsmarknadsministerns svar på interpellationen från Roger Haddad blir jag väldigt förvånad. I regeringsförklaringen står det ordagrant: \"Arbetsförmedlingen reformeras i grunden.\" Då tänker man: Det här låter riktigt spännande. Vi ska få en reformering av Arbetsförmedlingen. Självklart undrar man hur det ska gå till med Socialdemokraterna och vad det är för typ av reformering de vill ha. Men det känns ändå som att det var viktigt att fortsätta med det arbete som pågår kring reformeringen av Arbetsförmedlingen och som alliansregeringen startade. Det behövs naturligtvis ett internt förnyelsearbete inom Arbetsförmedlingen - det tycker vi alla är bra. Det är sådant som alltid ska pågå i en myndighet. Men det utredningsuppdrag som gavs för ett år sedan, i februari förra året, innebar att utredaren under två år skulle utvärdera hur man kan reformera Arbetsförmedlingens arbete mer i grunden - det är egentligen det som ni efterfrågar. En annan fråga som fanns med när det gäller den utredningen rör kompletterande aktörer och deras verksamhet. Hur kan den tydliggöras? Hur kan man använda sig av kompletterande aktörer? Jag har en fråga till arbetsmarknadsministern. Man försöker inte bara ändra i direktiven till utredningen, utan man vill helt avsluta den. Är anledningen till det att man inte vill ha kvar några aktörer som kompletterar Arbetsförmedlingens nuvarande verksamhet? Vi kristdemokrater vill egentligen i grunden reformera Arbetsförmedlingen och utsätta Arbetsförmedlingen för konkurrens, men här får man i alla fall en känsla av att ministern inte vill se några kompletterande aktörer. Detta skulle jag gärna vilja ha ett svar på i dag. ","KD"
"Annika Qarlsson","Herr talman! Det är en bra interpellation som Roger Haddad har ställt. Det är ett lite sorgligt svar av arbetsmarknadsministern. Jag tror att det i grunden finns en gemensam problembeskrivning: Det finns bekymmer och problem på arbetsmarknaden. Det skulle behöva fungera bättre. Den uppfattningen delar vi, oavsett vilket parti vi kommer från. Däremot ser vi problemet på helt olika sätt. Det kan man konstatera när man läser arbetsmarknadsministerns svar. Regeringen beslutar att avsluta utredningen innan den fått chansen att redovisa något. Det handlar om ett antal förändringar som sker på arbetsmarknaden, och man kan se vad som fungerar eller inte fungerar. Det finns ingen tveksamhet om att myndigheten måste förändras. Men frågan är: Ska det gå tillbaka till hur det var förut, eller ska vi fundera på hur vi möter framtiden? Det man kan konstatera är att arbetsmarknaden förändras. Det vi kan se runt om i landet är att det skiljer mellan olika branscher. Det skiljer mellan olika regioner. Vi kan konstatera att det finns högkonjunktur och lågkonjunktur samtidigt. Det beror på vilken bransch eller vilken region man befinner sig i. Att då ha <em>en</em> myndighet med samma verktygslåda som gäller i Sorsele, Stockholm och Sollebrunn bedömer inte jag som ett trovärdigt alternativ. Det är inte en möjlighet att på det sättet möta framtiden. Man kan också konstatera att de som i dag står till arbetsmarknadens förfogande är många som tidigare ställdes i utanförskap av regeringen Persson. Det gör att det är helt andra personer som ska komma ut på arbetsmarknaden än tidigare.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Tittar man sig runt omkring i världen kan man konstatera att många andra länder har gjort stora förändringar. Man ser att man, för att kunna möta den förändring som sker på arbetsmarknaden och den förändring som sker i fråga om företagens behov av rekryteringar, måste ha ett mer snabbfotat och flexibelt arbetssätt som gör att man är det kitt som gör att arbetsmarknaden fungerar betydligt bättre. Vi kan se vad som är på gång. Generaldirektören på Arbetsförmedlingen har skrivit på DN Debatt. Han har också varit på besök hos oss i utskottet. Det man kan se är att det görs ett antal stora förändringar som rycker undan mattan för många av de mindre kommunerna runt om i landet när det gäller att kunna ha ett nära och bra samarbete. Man gör detta utan att ha de alternativa arbetssätten på plats. Jag tycker att det är ett mycket olyckligt sätt att ge sig på det här. Man gör det utan den här utredningen och utan det underlag som finns där men också utan öppningar för att titta på vad det finns för alternativa lösningar. Man väljer nu att koncentrera alltihop in-house. Det är hemma-hos-lösningar där man inte utsätts för konkurrens, där man inte vågar släppa in andra aktörer och där man inte låter andra drivkrafter finnas med i möjligheten att öppna upp för en bättre fungerande arbetsmarknad. Jag skulle gärna vilja höra lite mer än det här korta: att man avser att avsluta utredningen. Det finns ju ett antal områden som man nyligen har fått till sig. Är inte Arbetsmarknadsdepartementet och arbetsmarknadsministern intresserade av att följa upp detta och se hur de sakerna ser ut? Och hade det inte varit lämpligt, trots allt, att göra det i den här utredningen? ","C"
"Patrik Björck","Herr talman! Tack, Roger Haddad, för interpellationen! Och tack, arbetsmarknadsministern, för ett bra svar på interpellationen! Jag får också vända mig till Alliansen och lyckönska Alliansen till att ni nu är tillbaka i den roll där ni passar bäst. Ni är tillbaka i oppositionsrollen. Det är ganska fascinerande att höra, herr talman, att Annika Qarlsson, till exempel plötsligt ser problem på svensk arbetsmarknad. Under åtta års tid har jag debatterat arbetsmarknad med Annika Qarlsson. Hon har aldrig sett några bekymmer med någonting. Roger Haddad beskriver svensk arbetsförmedling som att den skulle stå inför utmaningar. Även här får man lyckönska Alliansen till att de nu plötsligt ser det de inte såg under åtta år. Och även här tror jag att svensk politik tjänar på det gamla klassiska talesättet att borgerligheten är som bäst i opposition. Vi socialdemokrater kan regera, så får borgerligheten opponera. Då är vi, så att säga, tillbaka där vi ska vara. Det blir tryggast för oss alla. Den här debatten visar väldigt tydligt skillnaderna i hur vi hanterar regeringsrollen. Roger Haddad, herr talman, vill utreda. Regeringen, via arbetsmarknadsministern, vill åtgärda brister. Roger Haddad och Alliansen drar ned på resurserna. Regeringen vill satsa. Roger Haddad frågar sedan om regeringen är nöjd med den ineffektiva myndighet med lågt förtroende som Roger Haddad och Alliansen lämnar efter sig efter åtta år. Det är väl närmast en straffspark. Eller ska man se den frågan som retorisk?  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Nej, det är klart att vi socialdemokrater är oerhört bekymrade över det man har ställt till med under de åtta borgerliga åren när man har satt svensk arbetsmarknadspolitik på undantag. Man har gjort Arbetsförmedlingen till en myndighet. När man går ut och träffar arbetsförmedlarna träffar man personal i myndigheten som är frustrerad. Vi träffar personal som vill göra det de ska göra, förmedla jobb, men som inte får det för Elisabeth Svantesson, arbetsmarknadsminister i den förra regeringen, eller för de tidigare arbetsmarknadsministrarna i den förra regeringen. Vi talar om en situation där de arbetslösa är 400 000 och där det finns ungefär 100 000 lediga jobb, enligt Svenskt Näringsliv. Alliansen har bakbundit Arbetsförmedlingen på ett sådant sätt att de har fått 17 miljarder, budgeterat, för att lösa den här missmatchningen. Men de regler som Roger Haddad och Alliansen ställde sig bakom omöjliggör för Arbetsförmedlingens lojala personal att faktiskt koppla ihop de 400 000 arbetslösa med de närmare 100 000 lediga jobben. Då frågar Roger Haddad om arbetsmarknadsministern och regeringen är nöjda. Det är väl fullständigt självklart att de inte är nöjda utan djupt bekymrade och djupt missnöjda med den politik som Alliansen har fört när det gäller arbetsmarknad. Det är det som vi nu ska åtgärda, och då måste man satsa. Då måste man åtgärda brister. Vi har inte tid att göra någonting annat nu än att omedelbart rätta till de problem som ni har ställt till, och det är det som vi ska ägna de närmaste fyra åren åt. Då kommer vi förhoppningsvis också att få mandat att fortsätta i ytterligare fyra år, och när vi sedan är tillbaka om åtta år och har ställt svensk arbetsmarknad till rätta och börjat leverera ordentligt ska det bli spännande att fortsätta den här debatten. Då kommer ni att återigen ha växt in i er oppositionsroll, och då kan det bli spännande här. Som sagt, vi vill åtgärda. Roger Haddad och Alliansen vill utreda. Där ser man skillnaden mellan Socialdemokraterna och Alliansen, herr talman. ","S"
"Ylva Johansson","Herr talman! Vi tar över i ett läge där vi har en arbetsmarknad med betydande problem efter åtta år med en borgerlig regering. Rörligheten är för låg, matchningen fungerar extremt dåligt och arbetslösheten är mycket hög. Särskilt svårt är det för nytillträdande på arbetsmarknaden. I ett läge när arbetsgivare efter arbetsgivare vittnar om att man inte bara är besviken på Arbetsförmedlingen utan många till och med har gett upp hoppet om att kunna få hjälp av Arbetsförmedlingen för att få tag i personer med rätt kompetens till de lediga jobben, när Svenskt Näringsliv anger att var femte rekrytering misslyckas och när vi har företag som vill växa men som inte klarar att göra det därför att man inte får tag i rätt personal - ska man då tillsätta en statlig utredning för att utreda hur Arbetsförmedlingen ska kunna förbättra sina kontakter med arbetsgivare? Eller ska man göra något åt problemet? Regeringen tänker göra något åt problemet. Arbetsförmedlingen har stora problem och mycket lågt förtroende, både hos de arbetslösa och hos arbetsgivarna. Det är mycket, mycket stora utmaningar för myndigheten. Det är inte läge att begrava dessa problem i en statlig utredning. Det är läge att agera.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Regeringen har stora ambitioner när det gäller vart vi vill nå när det gäller Arbetsförmedlingen och dess roll för en fungerande arbetsmarknad, och det kommer att kräva stora förändringar av myndigheten. Man har påbörjat det arbetet, men mycket mer behöver göras. Tyvärr röstade de borgerliga partierna tillsammans med Sverigedemokraterna nej till regeringens budget, vilket gör att arbetet nu har blivit försenat när det gäller att kunna förnya och utveckla Arbetsförmedlingens arbete. Mycket annat går också att göra. Regeringen har varit tydlig med att avreglera Arbetsförmedlingen. I det regleringsbrev som gäller har vi tagit bort två tredjedelar av regleringarna för att ge större möjlighet att fokusera på det som är huvuduppgiften. Vi har också klargjort vad som är huvuduppgiften för Arbetsförmedlingen, nämligen att matcha arbetslösa mot de lediga jobben så att arbetsgivare ska få tag i personal med rätt kompetens. Vi avser också att i en förordningsändring göra andra regelförenklingar för att man ska kunna fokusera på det som är huvuduppdraget, det vill säga minska de byråkratiska uppdragen för Arbetsförmedlingen så att man kan ägna sig åt sitt huvuduppdrag och inte alltför mycket åt byråkrati. Vi håller också på att förändra fokus så att man inte enbart ska fokusera på dem som står allra längst från arbetsmarknaden utan ha tydligare fokus på att få hela matchningen på arbetsmarknaden att fungera. Svaret till Roger Haddad är att jag inte är nöjd med Arbetsförmedlingens resultat, och det är just därför som regeringen inte har råd att begrava arbetet i en statlig utredning. Jag vill också säga att min och regeringens syn på hur vi styr våra myndigheter är att det finns många frågor som inte behöver utredas innan vi kan agera. Detta utesluter inte att man kan behöva göra extern genomlysning för att ytterligare förnya bilden av de problem som finns. Ett sådant uppdrag skulle till exempel kunna ges till Statskontoret. Men det hindrar inte att regeringen kan agera redan nu. Ska vi ha statliga utredningar till att utreda hur man säkerställer att regeringens politik får genomslag i myndigheten? Är det inte precis det som är regeringens kompetens, det vill säga att se till att man faktiskt får genomslag för sin politik hos de statliga myndigheterna? Samma sak gäller huruvida man ska ha en statlig utredning för att se hur man ska utforma ersättningssystemet till kompletterande aktörer. Som svar till Désirée Pethrus vill jag säga att regeringen ser positivt på kompletterande aktörer. Jag vill att man ska ha möjlighet att fördjupa och diversifiera samarbetet med kompletterande aktörer och inte se det som att alla måste göra samma sak. ","S"
"Roger Haddad","Herr talman! Samma parti som säkert innehar svenskt rekord i att tillsätta utredningar är plötsligt fientligt till statliga utredningar. Jag tror inte att det handlar om utredningen utan om grunden för regeringens politik, nämligen arbetsmarknadspolitiken. Jag håller inte med Patrik Björck och regeringen om att vi skulle gömma undan den här frågan. En utredare tillsattes för ett år sedan och fick ett fritt mandat att föreslå en helt ny myndighet om hon så ville. Ett vitt papper - varsågod! Det handlar om framtidens svenska arbetsmarknadspolitik, arbetsförmedling eller var nu de här viktiga frågorna ska ligga, herr talman. Det kan en utredare föreslå regeringen. Sedan kan regeringen göra vad de vill med förslagen. Men det är inte samma sak som att gömma undan och inte ta tag i och inte vilja göra någonting åt det.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det var alliansregeringen och Folkpartiet som tillsatte utredningen, Patrik Björck, inte Socialdemokraterna. Ni gjorde aldrig det under alla år som ni hade regeringsmakten. Ylva Johansson pratar om att man möjligen ska göra en extern granskning av Arbetsförmedlingen. Men det har man redan gjort som en del av den utredning som verkade under 2014. Låt mig bara läsa upp två meningar, herr talman, från den studien: Arbetsförmedlingen måste genomgå en genomgripande och uthållig förnyelseprocess. Ett annat konstaterande är: Arbetsförmedlingen har hamnat i otakt med såväl uppdraget som den verklighet man verkar i. Det kan inte bli tydligare, herr talman och statsrådet, att det behövs genomgripande insatser utöver de vällovliga förslag som statsrådet och för den delen generaldirektören har presenterat i arbetsmarknadsutskottet och i medierna. Det räcker dock inte. Låter man myndigheten utveckla sig själv finns det en stor risk att man inte vågar ta tag i de tunga ärendena. Det känner vi i kammaren till som har följt de här frågorna, några säkert dubbelt så länge som jag. Det finns en risk för att man inte vågar förändra sig tillräckligt. Man är angelägen om att hålla sig vän med alla delar av myndigheten, och då får vi inte den genomgripande förändringsprocess som alla studier pekar på behövs. Riksrevisionen, andra myndigheter, politiker och arbetsgivarna har alla framfört kritik, och jag håller med. Jag besöker Arbetsförmedlingen ett par gånger i månaden. Där finns duktiga medarbetare som vill ägna sig åt huvuduppdraget, men de känner att de inte kan göra det. Då är frågan om det finns ett behov av denna översyn. Ja, det gör det. Alliansregeringen genomförde socialförsäkringsförändringar 2008-2009, och då fick Arbetsförmedlingen ett nytt uppdrag. Folkpartiet och alliansregeringen genomförde i december 2010 etableringsreformen som innebar en samordning av integrationspolitiken under Arbetsförmedlingens tak. Det finns ett gigantiskt behov av att genomföra en översyn, och så säger statsrådet att de ska ändra fokus och satsa på dem som står närmast arbetsmarknaden. Det är dock bara retorik. Jag har läst regleringsbrevet. Det påminner väldigt mycket om hur regleringsbreven har sett ut tidigare. ","FP"
"Elisabeth Svantesson","Herr talman! Arbetsmarknadsministern radar upp problemen med svensk arbetsmarknad, även om jag inte helt delar den synen, eftersom jag tycker att det har kommit fram enormt många nya jobb under de sista åtta åren. Med alla dessa problem som arbetsmarknadsministern radar upp när det gäller Arbetsförmedlingen borde det verkligen vara berättigat med en genomlysning av denna myndighet. En sådan har inte gjorts på 20 år. Det är mycket bra att Statskontoret har tittat på hur man kan förbättra styrningen, men det är något regeringen gör med alla sina myndigheter. Tanken med utredningen var att vända på många stenar, alltifrån hur man bättre kan samarbeta med andra aktörer och vässa insatser till hur man kan lösa uppdraget att hjälpa fler till jobb. Allt detta behövs på lång sikt, men lika självklart förväntar vi i Alliansen oss att arbetsmarknadsministern här och nu tar tag i de problem som finns och jobbar på kort och på lång sikt.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Socialdemokraterna säger att Arbetsförmedlingen ska jobba med matchning. Ja, det är instruktionen, det vill säga det grunduppdrag Arbetsförmedlingen har haft i hur många år som helst. Problemet är att det inte har funkat. Då måste man på kort och på lång sikt göra något åt detta. Att lägga ned utredningen visar att man tror att man har alla svar på problemen, att man inte vill ta in experter eller forskare. En viktig utredning som välkomnades av alla parter grävs ned. Det är anmärkningsvärt. ","M"
"Désirée Pethrus","Herr talman! Jag ska egentligen inte debattera med Patrik Björck, men jag blir lite förvånad över påståendet att vi inte skulle ha ansett att det fanns några problem under Alliansens tid. Det är klart att vi aldrig skulle ha tillsatt en utredning om vi inte tyckte att det fanns problem. Det är en självklarhet att utredningen syftar till att förbättra verksamheten inom Arbetsförmedlingen och framför allt att få fler människor att känna förtroende för Arbetsförmedlingen. Arbetsmarknadsministern säger att Arbetsförmedlingen åtnjuter ett otroligt lågt förtroende. I nästa mening säger hon att regeringen anser att Arbetsförmedlingen själv ska lösa problemet. Riksrevisionen har i tidigare utredningar sagt att Arbetsförmedlingen måste jobba med internt utvecklingsarbete. Det är vi alla överens om. Det är en myndighets ständiga uppdrag. Utredningen ska redovisa hur styrningen i Arbetsförmedlingen kan förbättras. Sedan finns också uppdraget att ta fram hur kompletterande aktörer kan användas på ett bättre sätt än i dag. Vad är det som är så farligt med de olika punkterna i utredningen, ministern? Om ministern tycker att en eller två punkter i utredningen inte är relevanta går det att ändra i direktiven. Men nu läggs utredningen helt ned, och det är beklagligt att man hoppas att Arbetsförmedlingen ska lösa problemen internt utan att de redovisas i utredningen. Jag beklagar verkligen det. Vi behöver kompletterande aktörer, och vi behöver förbättra systemet med kompletterande aktörer. Vi är alla överens om att det finns förbättringspotential. Att lämna över allt till Arbetsförmedlingen ger en dålig prognos. Vad är det som är så farligt med utredningen? ","KD"
