"Magdalena Andersson","Herr talman! Jan Ericson har frågat mig hur jag avser att agera i de kommande förhandlingarna om Efsi för att minimera riskerna för att politiskt styrda investeringar i framtiden ska leda till kostnader för de svenska skattebetalarna. Först och främst vill jag framhålla att regeringen har välkomnat EU:s investeringsplan där Efsi ingår. Syftet är att öka investeringarna i EU och därigenom bidra till förutsättningar för fler jobb och högre tillväxt. Jag anser att investeringsplanen under de kommande åren kan bli ett komplement till de åtgärder som genomförs på nationell nivå för att stärka konkurrenskraft och tillväxt, förbättra investeringsklimatet och bidra till en hållbar utveckling. Beträffande urvalet av projekt kommer regeringen att fortsätta att verka för att Europeiska investeringsbankens roll blir central och att bankens autonomi inte inskränks. Det är angeläget att projekt granskas och bedöms och att finansiering beviljas på transparenta och objektiva grunder. Initiativets trovärdighet och därmed förmåga att attrahera privata investerare består i att urvalet av projekt inte politiseras. Jag bedömer att den styrning av Efsi som föreslås i förordningen som för närvarande förhandlas med Europaparlamentet tillgodoser krav på ett sådant oberoende och meritbaserat projekturval. Avslutningsvis vill jag framhålla att regeringen även fortsättningsvis kommer att värna att EU:s fleråriga budgetram för 2014-2020 respekteras. Regeringen ska arbeta för att de eventuella ökade risker för EU:s budget som investeringsplanen kan innebära minimeras och att eventuella tillkommande utgiftsbehov inte får leda till ökade medlemsavgifter utan ska hanteras genom omprioriteringar. "
"Jan Ericson","Herr talman! Jag tackar finansministern för svaret, men det stillar inte min oro. Föredragningen i finansutskottet den 10 februari av statssekreterare Karolina Ekholm visade på uppenbara risker kopplade till detta projekt. Det gäller inte minst brister i finansieringen, som kan utmynna i att Sverige i värsta fall i framtiden kan tvingas betala ytterligare pengar till EU-budgeten utöver redan beslutad avgift. De garantier från EU-budgeten som nämns i investeringsplanen är bara till 50 procent täckta med riktiga pengar. Inte mindre än 8 miljarder euro i garantier ställs ut utan annan täckning än tillkommande insatser från medlemsstaterna. I övrigt tas medel bland annat från forskningsområdet, vilket känns olyckligt med tanke på att forskningssatsningarna är ett av de områden som fungerar bäst i EU. EU:s egen revisionsrätt varnade dessutom häromdagen för att skattebetalarna i EU behöver garantier för att de inte ska behöva täcka förluster från olönsamma projekt inom Efsi. Om kommissionens investeringsplan hade känts som en stark, viktig och genomtänkt satsning för Europas framtid hade jag kanske kunnat acceptera den ekonomiska risken och omprioriteringarna. Men föredragningen i finansutskottet pekade på flera avgörande oklarheter där objektiva bedömningar av investeringsobjektens kvalitet och potentiella lönsamhet riskerar att få stå tillbaka för politiska intressen. För det första är det av EU politiskt beslutade prioriterade områden som ska styra vart investeringsfondens pengar ska gå. För det andra finns det starka krav och förväntningar från olika länder att pengarna ska komma alla medlemsstater till del och att detta ska väga tungt när pengarna fördelas. För det tredje finns det en stor risk för stora överbyggnader i form av en ny styrelse och mer EU-byråkrati och att det kommer att förbruka en del av pengarna. Det är inte heller någon direkt brist på kapital inom EU, inte ens på riskvilligt kapital. Problemet är snarare att hitta lönsamma investeringar som känns hållbara på sikt och som kan ge investerarna en god avkastning. I den mån sådana objekt erbjuds kommer de inte ha svårt att hitta finansiärer. Risken med Efsi är att fonden kommer att investera i sådant som professionella investerare väljer bort, vilket givetvis ökar risken för förluster i Efsi. Finansministern säger i sitt svar att regeringen ska fortsätta att verka för att projekt granskas, att finansiering beviljas på objektiva grunder och att urvalet av projekt inte politiseras. Jag vill till att börja med fråga finansministern hur hon konkret tänker verka för detta. Finansministern säger att regeringen vill verka för att EU:s budgetram ska respekteras, att de eventuella risker för EU:s budget som investeringsplanen kan innebära ska minimeras och att eventuella tillkommande utgiftsbehov inte får leda till ökade medlemsavgifter utan ska hanteras genom omprioritering. Finansministern flaggar alltså för att det finns vissa risker i projektet. Jag vill därför fråga finansministern om det är ett konkret löfte från henne och regeringen att Sverige kommer att vägra att betala en högre medlemsavgift till följd av eventuella förluster inom Efsi. Jag vill också gärna höra finansministerns åsikt om varifrån pengar som omprioriteras för att täcka eventuella förluster inom Efsi ska tas. Med tanke på det som kom i går från EU:s revisionsrätt vill jag slutligen fråga finansministern om hon anser att revisionsrätten visar en obefogad oro när det gäller riskerna för EU:s skattebetalare till följd av Efsi. "
"Börje Vestlund","Herr talman! Det är sant att det här är ett projekt som vi alla, oaktat parti, och även regeringen har känt en viss tveksamhet till. Men man har insett att investeringar i Europa är nödvändiga, inte minst i de länder som fått göra många försakelser och där vi vet att det finns stora problem med investeringar. Det är detta faktum som har föranlett det hela. Utifrån detta har vi skaffat oss en gemensam uppfattning i den här kammaren, alla åtta partier tillsammans. Sverigedemokraterna hade möjligen en avvikande uppfattning, men det var i alla fall sju partier. Man har fått justera lite åsikter och den svenska ståndpunkten, som det heter på EU-nivå, och man har försökt att hitta en lösning för att vi som <em>ett</em> parlament ska kunna gå fram och ställa nödvändiga krav. Det har gällt inte minst finansieringen, som varit det viktigaste för oss eftersom vi är nettobetalare. Jan Ericson sitter i finansutskottet, men jag såg ingen reservation i det granskningsbetänkande vi behandlade så sent som i förra veckan. Det förvånar mig. Jag ska inte höja temperaturen alltför mycket i debatten, men det är lite grälsjukt att komma när tåget har gått. Vi har granskat, vi har haft debatt i kammaren och vi har försökt vara hovsamma - Fredrik Schulte och jag har nog aldrig varit så artiga mot varandra i en debatt som då. Man kan inte säga annat än att vi har gått fram med en röst i det här sammanhanget. Även Moderata samlingspartiet stod bakom den svenska ståndpunkten efter att vi justerat den lite - i och för sig med betoning på lite, men det spelar ingen roll. Oaktat vem som förlorade har vi gått fram med en röst. Vi har varit överens, och vi har försökt hålla en linje där vi kan hålla ihop ett detta viktiga förslag. För det är utan tvekan viktigt, och det är stort. Vi brukar hålla ihop i den här kammaren när det gäller de stora förslagen på EU-nivå. Det har varit viktigt. Vi har velat skicka med vår regering ett mandat som så många som möjligt kan stå bakom i de stora, viktiga besluten. Sedan kan vi vara oeniga och ha avvikande meningar i andra beslut. I det här fallet började det lite skakigt, men vi var överens allihop. Det som förvånar mig är att det inte fanns några reservationer eller avvikande meningar i slutet av behandlingen. Vid ett tillfälle fick regeringen ändra sin ståndpunkt. Det måste man naturligtvis göra - annars har man inte lyssnat på överläggningarna vare sig i EU-nämnden eller i utskottet. I det här fallet gjorde man det, och jag förstår därför inte riktigt den kritik som kommer efter framläggandet. "
"Fredrik Schulte","Herr talman! Jag blev tvungen att begära ordet när Börje Vestlund gick upp och gav en lite felaktig bild av hur debatten var. Vi var överens när vi debatterade frågan för en vecka sedan, men det berodde mest på att Börje Vestlunds vänsterpartistiska samarbetskollega närmast pläderade, inte för den så kallade Junckerplanen, utan för den kommunistiska planen. Vi har varit väldigt skeptiska i frågan från början. Det är mycket lite som pekar på att den här typen av åtgärder ger en sådan effekt och så väsentligt mer lönsamma investeringar att det skapar många fler jobb. Detta är en fråga som kommissionen och tyskarna tycker är viktig därför att man vill avlasta den politiska press som finns i framför allt södra Europa, där man har tvingat fram tuffa besparingar och strukturreformer. Nu vill man komma med något som gläder den delen av Europa. Vi har inte motsatt oss det, även om vi har varit djupt skeptiska till effekterna av investeringsplanen. Börje Vestlund börjar glida mer och mer i argumentationen från att vi var överens och att de var skeptiska till att nu alltmer prata om att det är en viktig reform och plan för att ändra det ekonomiska klimatet i Europa. Det håller jag inte med om. Jag tror att den har väldigt liten effekt på den ekonomiska utvecklingen på vår kontinent. Det som vi har blivit alltmer oroade för inom den borgerliga alliansen och som har gjort att vi i slutskedet av frågans beredning har börjat resa frågetecken är att investeringarna ska leda till att EU inte klarar av att betala de åtaganden man gjort och att de sedan ska landa i vårt knä så att vi och de svenska skattebetalarna måste betala mer pengar till EU. Sverige är redan ett av de länder som betalar mest i medlemsavgift till EU. Vi är måna om att vi inte ska betala ännu mer. Vi har tvingat Magdalena Andersson att beröra den här typen av frågor. Man var inte särskilt intresserad av att diskutera oron för att detta skulle leda till högre medlemsavgifter, men vi tvingade fram frågan. Jag tycker att det är bra att Jan Ericson ställt denna interpellation. Efter det att vi godkände detta i EU-nämnden och riksdagen fattade beslut har det faktiskt hänt en hel del. Europeiska revisionsrätten har lyft ett varnande finger och pekat på att vi nu måste ta frågan på allvar. Detta kan mycket väl leda till att EU inte får ihop sin budget och att detta kommer att tvinga fram en lösning där medlemsstaterna betalar mer pengar. EU-parlamentet har bara kunnat peka ut en sak där pengar kan tas, nämligen projektet Horizon 2020 för forskning och innovation. Nu har dock samtliga partigrupper i Europaparlamentet kommit överens om att man inte ska ta pengar därifrån. Det är bra, för det är en av de få sakerna i EU-budgeten som verkligen gör positiv nytta. Men då infinner sig frågan: Var ska pengarna komma ifrån? Om man börjar diskutera jordbruksstödet vet vi hur fransoserna med flera agerar. Detta är därför en viktig fråga: Kommer vi att klara det ekonomiskt? "
"Magdalena Andersson","Herr talman! Jag tror att det är viktigt att ha processen klar för sig när man diskuterar den här frågan. Det här förslaget var ett initiativ från den nyvalda kommissionen, där Juncker kom med en investeringsplan för Europa med tre delar: fonden Efsi, en projektlista med förslag på möjliga investeringar men också övriga åtgärder för att stärka den inre marknaden och investeringsklimatet i Europa. De kom med detta när de var ganska nya. Sedan har jag varit i EU-nämnden och på Ekofin i Bryssel i flera omgångar under hela våren för att diskutera den här fonden. Alla synpunkter som Sverige har fört fram har vi förankrat i EU-nämnden, och där har det funnits en bred enighet om de ståndpunkter som Sverige har fört fram. Alla partier utom Sverigedemokraterna har stött regeringens linje och varit involverad i utformandet av linjen. Att tvinga mig, som du talar om, Fredrik Schulte, låter väldigt konstigt. Den förändring som blev i regeringens ståndpunkt vid förra eller förrförra mötet har jag absolut inga problem att acceptera. Däremot förde du till att börja med fram en annan ståndpunkt som var mer problematisk. Men den ståndpunkt som vi i EU-nämnden sedan landade i, efter ett gott samarbete över blockgränsen, var bra och gjorde att slutresultatet säkert blev bättre än det hade blivit annars. Det har varit mycket diskussioner och förhandlingar, och den här fonden har nu utvecklats under diskussioner mellan kommissionen och rådet. I rådet är vi klara med ett förslag som vi har skickat till Europaparlamentet, så just nu ligger frågan i Europaparlamentet och förhandlas där. I det förslag som har skickats är bedömningen från mig och också från EU-nämnden att det är något som vi har kunnat ställa oss bakom. Under resans gång har förslaget utvecklats så att man har tagit hänsyn till många av de ståndpunkter som vi har fört fram från Sverige. Det handlar till exempel om hur styrelsen för Efsi ska se ut. Först fanns det tankar om att väldigt många aktörer som lade in pengar i fonden skulle kunna få plats i styrelsen, vilket vi tyckte var lite konstigt, om utländska stater eller stora internationella pensionsfonder skulle kunna få plats i styrelsen. Så blir det inte nu, utan det är bara Europeiska investeringsbanken och kommissionen som kommer att vara representerade i styrelsen. Från svensk sida har vi förankrat ståndpunkterna i EU-nämnden hela tiden och hävdat att projekt måste granskas och godkännas på objektiva och tydliga grunder utan hänsyn till olika sektorer och geografisk fördelning. Det är också så det ser ut i det dokument som nu har skickats till EU-parlamentet. Jag måste säga att det är många länder som har fört fram den ståndpunkten, så det är inte en liten klick länder, utan det är ett brett stöd för just den ståndpunkten i finansministerkretsen. Sverige har hela tiden hävdat linjen att ökade risker för EU:s budget ska minimeras. Jag var tydlig på förrförra Ekofinmötet och uttalade att om det krävs ökade utgifter i EU:s budget måste det ordnas genom omprioriteringar och inte via öka medlemsavgifter för länderna. Det var jag tydlig med på Ekofin. Sverige har också drivit hårt att budgetramen ska respekteras, och vi har fått in en särskild beaktandesats där det står tydligt att Efsis verksamhet ska respektera den treåriga budgetramen. Vi har från svensk sida också drivit att det ska vara gröna, hållbara, resurseffektiva investeringar, och det har vi också fått in en beaktandesats om. Vi har också lyckats få fram att fonden inte ska kunna förlängas hur som helst utan att det ska ske en tydlig utvärdering, och sedan ska det vara ett aktivt beslut, om den ska förlängas. Vi har också lyckats få rådgivningshubben och projektlistan, som hänger ihop med fonden, att inte bli alltför administrativt tungrodd. Sammantaget har den här vårens behandling lett till ett förslag som ligger mycket mer i linje med den svenska ståndpunkten än det som ursprungligen kom från kommissionen. "
"Jan Ericson","Herr talman! Jag lämnade in min interpellation den 12 februari. Det har glädjande nog hänt en del sedan dess, en del steg i rätt riktning. Men jag blir lite fundersam. Börje Vestlund går upp och säger att anledningen till satsningen från EU:s sida är att man behöver göra investeringar i de länder som har drabbats hårdast av krisen. Men sedan går Magdalena Andersson upp och säger att inga sådana hänsyn ska få tas, som geografiska hänsyn, utan att det ska vara helt objektiva investeringsbedömningar. Men det kan inte hända samtidigt, både att man ska främst stötta länder med störst problem och att man ska göra objektiva investeringsbedömningar. Det är där som det klickar lite grann. Vi vet att det finns länder inom EU som är mycket måna om att pengarna ska fördelas geografiskt rättvist, så som de ser på saken. Revisionsrättens synpunkter kom så sent som i går, i alla fall i medierna. De var mycket oroliga över detta. Man kan väl konstatera att osäkerheten i projektet har ökat i samma takt som den svenska regeringen med stöd av Alliansen har flyttat fram Sveriges positioner i frågan. Men det känns som ett ganska svajigt projekt, måste man säga. Jag instämmer helt med Fredrik Schulte. Vi har varit skeptiska till detta hela tiden, även om vi har ställt upp på den svenska linjen. Men man kan ju ställa upp på en svensk linje utan att hylla projektet och tycka att det är helt fantastiskt. Jag är synnerligen tveksam till om detta verkligen är rätt sätt att gynna investeringar inom Europa. Risken är överhängande att man satsar på osäkra objekt som ingen annan vill satsa pengar i, som jag nämnde förut. Är det uppenbart lönsamma investeringar kommer det att lösa sig självt - det gör det alltid. Det finns alltid riskvilligt kapital då. Risken är att EU blir sittande med de dåliga investeringarna, som inte är lönsamma på sikt, och att det sedan kommer en räkning till skattebetalarna. Jag tycker att det viktigaste i det läge som vi är i nu helt enkelt är att regeringen följer upp vad som händer i de här frågorna efter hand, agera med kraft och återrapportera vad som händer och hur man agerar om man ser att det håller på att spåra ur. Tills vidare har jag inget ytterligare att tillföra mer än en kvarstående, stor oro för att detta förr eller senare slutar antingen med en räkning till Sverige eller med att andra viktiga ändamål i EU:s budget får stå tillbaka, därför att man får täcka för förluster. Jag tackar så mycket för debatten. "
"Börje Vestlund","Herr talman! Först om detta med att pressa regeringen, som Fredrik Schulte uttrycker det. Jag måste ha varit jävligt framgå. Förlåt mig! (FÖRSTE VICE TALMANNEN: Hyfsat språk!)  Jag ber om ursäkt - jag ska inte göra så mer! I så fall har jag varit väldigt framgångsrik i EU-nämnden tidigare, för då har jag pressat alliansregeringen många gånger. Men jag har inte kallat det för att \"pressa\", utan jag har kallat det att vi har ett bra samarbete med regeringen i de frågor där detta har skett. Det gäller bland andra Annie Lööf och de olika energiministrarna. Jag kallar dock detta inte att pressa, utan jag kallar det ett gott samarbete. Men det är möjligt att begreppen är olika. Beträffande geografiska hänsyn: Det fanns faktiskt förslag från ett antal medlemsländer om att man skulle fördela pengarna så att alla länder fick lika mycket i förhållande till befolkningen eller vad det kunde vara. Sådana förslag fanns det ganska långt in i förhandlingarna. Vi var överens om att definitivt säga nej till sådana saker. Det skulle aldrig användas. Vi ville inte ha det. Det revisionsrätten har anfört måste naturligtvis vägas in. Men det är väl ingen - jag betonar det - här i kammaren som har tyckt att detta har varit det allra bästa förslaget. Men vi tycker att om vi ska vara med, då måste vi vara med och påverka, och då kan vi inte bara säga nej. Det är ett argument som vi ofta använder i EU-frågor, därför att det är viktigt för Sverige att vara med hela vägen. "
"Fredrik Schulte","Herr talman! Jag tycker att påståendet gränsar till . (FÖRSTE VICE TALMANNEN: Det får finansministern i så fall ta upp i talarstolen. Det är inte jag som deltar i debatten.) Men det är en ordningsfråga. (FÖRSTE VICE TALMANNEN: Det kan inte vara en ordningsfråga vad som framförs från talarstolen. Det får finansministern i så fall ta med respektive ledamot. Jag uppfattar inte någonting som bryter mot reglerna i kammaren.) Det är bra att man får glida på sanningen hur mycket som helst enligt den moderate förste vice talmannen. Det är möjligt att man får det enligt andra talmän också. Ni är mycket mer erfarna än jag i riksdagen. (FÖRSTE VICE TALMANNEN: Jag rekommenderar finansministern att inte börja käfta med talmanspresidiet. Det är inte därför finansministern är här.) Herr talman! Jag talade med talmanspresidiet för att jag behövde hjälp från talmanspresidiet.  Jag tycker att det är lite svårt när det i debatten kommer påståenden som glider för mycket på sanningen. Det har jag tagit upp tidigare under eftermiddagens interpellationsdebatter.  Att säga att jag inte har tagit till mig detta är inte korrekt. Jag förde nämligen på Ekofinmötet i Bryssel fram precis det som vi var överens om i EU-nämnden om att jag skulle ta upp. Det var precis det som jag sedan också sa i kammaren.  Fredrik Schulte påstod också att vi har sagt: Lita på oss, det här kommer inte att vara några problem.  Det är inte heller korrekt. Jag har berättat för EU-nämnden precis hur uppbyggnaden av den här fonden ser ut och vilka risker som finns med den fonden. Jag har aldrig sagt att detta inte kommer att bli några problem och att ni kan lita på mig.  Jag tycker att det är problematiskt när man i kammaren kommer med den typen av påståenden som så att säga glider när det gäller vad som är korrekt och inte, särskilt som vi vet att det i en tidigare interpellationsdebatt har kommit rena lögner. Jag tror inte att det är bra för det politiska samtalet.  Revisionsrätten i Luxemburg har kommit med kritik mot denna fond, och jag tycker att det finns en hel del i den kritiken som är relevant. Jag kan dela Revisionsrättens oro när det gäller detta.  Något som är positivt är dock att en del av de saker som Revisionsrätten känner sig oroad över har förbättrats under projektets gång. Det tycker jag naturligtvis är mycket positivt. Det finns nämligen flera saker i den här fonden som har förbättrats under det arbete som har skett i Ekofinrådet och med ministrarna.  Det går inte att säga något annat än att det finns risker med detta projekt. Men vi i Sverige har gjort allt vi kan för att minimera dessa risker och för att försöka driva en tydlig linje, nämligen att om man överskrider de medel som är direkt avsatta och det behövs ytterligare resurser handlar det om omprioriteringar inom EU:s budget och inte om ytterligare resurser från medlemsstaterna. Det är en tydlig svensk ståndpunkt, och det finns en del andra länder i EU som driver en budgetrestriktiv linje liknande den som vi i Sverige har drivit under en längre tid. Det har funnits en mycket bred majoritet i riksdagen som står upp för att vi ska driva en budgetrestriktiv linje i EU, och det tycker jag är mycket positivt. Vi har haft ett bra samarbete kring budgetrestriktiviteten under våren när vi har jobbat med denna fråga. Den tidigare socialdemokratiska oppositionen stöttade också under fyra år den borgerliga regeringen i EU-frågor, och en del av oss kan säga att vi hade ett gott samarbete där. Men med ert ordval pressade vi regeringen i frågorna.  "
"Magdalena Andersson","Herr talman! Jag kan bara konstatera att när vi ställde frågor till statssekreteraren i finansutskottet i januari blev hon ganska ställd. Vi ställde frågan om hur mycket av dessa garantier som faktiskt fanns på riktigt, och vi ställde en del andra frågor som uppenbarligen var mycket besvärliga. Efter hand har insikten ökat, både hos oss och hos regeringen, om att det finns en hel del risker i detta projekt. Förhoppningsvis har vi någon form av samsyn i fråga om att vi behöver ha ordentlig koll på detta.  Men när finansministern säger att hon har koll på detta ärende känns det lite konstigt. Det var nämligen först när Alliansen ställde besvärande frågor i dessa sammanhang om de här garantierna som detta började röra på sig.  Jag kan konstatera att Alliansen i alla fall har fått regeringen att tänka i lite nya banor och inse att det finns en del risker i detta projekt, och det tycker jag är positivt.  "
"Jan Ericson","Herr talman! Regeringen har hela vägen drivit linjer i denna fråga som har varit förankrade i EU-nämnden. Det är bra att det i EU-nämnden finns ett brett stöd för att vi ska driva en budgetrestriktiv linje, och det har vi också gjort.  Sedan har vi naturligtvis utvecklat denna linje i takt med att vi har fått mer information om hur denna fond ska fungera. Hur fonden ska fungera har varit ett löpande arbete under den här våren. Vi har hela vägen pekat på behovet av att det inte ska leda till ökade medlemsavgifter. Vi har också pekat på behovet av att detta ska hållas inom EU:s budgetramar och att riskerna för EU:s budget ska minimeras.  Jag är mycket glad och tacksam över att det finns ett så brett parlamentariskt stöd för den linjen.  "
