"Magdalena Andersson","Fru talman! Jenny Petersson har frågat arbetsmarknadsministern om bevekelsegrunden till de höjda socialavgifterna för unga. Även Tina Ghasemi har frågat arbetsmarknadsministern om detta. Lotta Olsson har ställt en liknande fråga till närings- och innovationsministern. Motsvarande fråga har också ställts till mig av Jan Ericson. Arbetet inom regeringen är så fördelat att det är jag som ska svara på frågorna. Jag ger ett gemensamt svar på dessa fyra interpellationer. Ungdomsarbetslösheten är i dag över 20 procent, och antalet långtidsarbetslösa unga har ökat kraftigt jämfört med åren före krisen. Att bekämpa den höga ungdomsarbetslösheten är en av regeringens viktigaste utmaningar. Den tidigare regeringens nedsättning av socialavgifterna innebar att alla ungas anställningar subventionerades, oavsett om det gällde nya eller befintliga anställningar och oavsett om det kunde förväntas påverka arbetsgivarnas framtida rekryteringar eller inte. Därmed blev politiken kostsam och ineffektiv. Detta har en rad oberoende instanser också påtalat. Resonemanget är detsamma oavsett vilken näringsgren som analyseras. I budgetpropositionen för 2015 föreslås därför att nedsättningen av socialavgifterna för unga ska avvecklas och ersättas med åtgärder som är målinriktade och effektiva.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det som krävs är åtgärder som rustar unga för arbete, underlättar inträdet i arbetslivet och minskar riskerna för långvarig arbetslöshet. Regeringen föreslår därför investeringar i jobb, klimat och utbildning. Ingen ung människa ska behöva gå arbetslös i mer än 90 dagar. Fler unga behöver slutföra sin gymnasieutbildning. Därför föreslår regeringen ett utbildningskontrakt för unga. Regeringen föreslår också traineejobb. Där kan unga arbetslösa ges möjlighet att arbeta i välfärden, påbörja en relevant yrkesutbildning och få en väg in på arbetsmarknaden. Därutöver gör regeringen kraftfulla permanenta satsningar på yrkeshögskolan. Nedskärningarna inom högskolan stoppas. I stället sker en successiv ökning av antalet högskoleplatser, och antalet platser på folkhögskolans allmänna kurs utökas. Även de föreslagna klimatinvesteringarna bidrar till att skapa jobb åt unga.  I dag har arbetsgivare problem att hitta personal med rätt kompetens, vilket är mycket kostsamt. Genom de föreslagna reformerna kommer matchningen mellan arbetsgivare och arbetssökande att förbättras, vilket är ekonomiskt värdefullt för båda parter. En väl fungerande matchning är extra viktig för de många ungdomar som saknar egna nätverk och kontakter på arbetsmarknaden. Genom de reformer som föreslås i budgetpropositionen 2015 tar vi till vara ungas kompetens, kreativitet och vilja att arbeta, vilket gör Sverige starkare. Då Jenny Petersson, som framställt en av interpellationerna, på grund av ledighet från uppdraget som riksdagsledamot ej var närvarande vid sammanträdet medgav tredje vice talmannen att Hanif Bali i stället fick delta i överläggningen. ","S"
"Hanif Bali","Fru talman! Precis som Magdalena Andersson vikarierar för arbetsmarknadsministern - frågan är ställd till henne - vikarierar jag för Jenny Petersson som är föräldraledig. Frågan gällde helt enkelt att regeringen ska ta bort de nedsatta arbetsgivaravgifterna och den fördel ungdomar hade gentemot andra ålderskategorier. Det grundläggande problemet med den nordiska modellen i sin helhet är att ungdomar på grund av den komprimerade lönestrukturen har svårt att konkurrera på arbetsmarknaden gentemot till exempel någon med arbetslivserfarenhet som är äldre och har liknande lönekrav. I och med att det råder en komprimerad lönestruktur måste ungdomar hjälpas på traven att få jobb, det vill säga få lite fördelar så att de blir mer konkurrenskraftiga.  Vi kan vara eniga om att det icke är konstruktivt att slå siffran 25 procent arbetslösa ungdomar i huvudet på varandra. Vi vet att Sverige har en hög ungdomsarbetslöshet i statistiken på grund av hur vårt utbildningssystem är utformat, sommarjobbande och andra faktorer. Om vi ser på sysselsättningsgraden bland ungdomar har Sverige goda siffror i jämförelse med resten av Europa. Det ändrar inte det faktum att ungdomar har svårare att konkurrera. Mina enkla frågor till Magdalena Andersson är följande: Vad planerar regeringen att göra för att förstärka ungdomarnas konkurrenskraft på ett generellt plan? Det gäller inte de ungdomar som hamnar så pass långt ifrån arbetsmarknaden att de måste gå till Arbetsförmedlingen för att få specialdestinerade jobb inom äldreomsorgen eller välfärden. Hur ska regeringen på ett generellt plan se till att fler ungdomar kan vara konkurrenskraftiga på arbetsmarknaden? ","M"
"Lotta Olsson"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Min fråga till finansministern handlade om vilka fakta och analyser som ligger till grund för att det ska bli fler jobb i besöksnäringen med regeringens politik. Vi vet att besöksnäringen är en näring som har gått framåt mycket. Det är en av de positiva sakerna vi kan se på arbetsmarknaden. Här finns ett exportvärde på 105,7 miljarder. Det är plus 87,1 procent sedan 2005, och det är en bransch som alltså ökar i omfattning. När Europa har ont om pengar, och även svenskar har ont om pengar, ökar också den svenska turismen i Sverige. Både européer och många svenskar turistar i Sverige. Då är de anställda i besöksnäringen enormt viktiga. Vi vet att många anställda i branschen i Sverige är mellan 16 och 25 år gamla. Det är 51 366 personer som arbetar i den branschen. Branschen oroar sig för de höjda arbetsgivaravgifterna för unga. Det kommer att innebära att många kanske inte kan behålla sina jobb. I mitt län är 1 254 personer i den åldern. Det är precis den grupp som vi vill ska få jobb. Därför är det konstigt att jag fortfarande inte har fått svar på hur regeringens politik ska öka antalet personer som anställs i näringen. Jag kan inte se något som pekar åt det hållet, och jag vill gärna bli motsagd. I branschen totalt är 80 procent av alla anställda under 35 år. Personer som har jobbat i branschen säger att de ofta har fått sitt första jobb där. Det första jobbet är det absolut viktigaste jobbet, där man får ett cv, en referens och en arbetslivserfarenhet som sedan leder till ett annat jobb eller till att man vill utbilda sig. Det är alltså enormt viktigt. Det finns också en tendens att denna bransch kan öka ännu mer. Därför är jag jätteoroad när jag inte får något svar på frågan vilka fakta som kommer att leda till att det blir fler jobb i denna bransch. ","M"
"Jan Ericson","Fru talman! Svaret från finansministern i dagens interpellationsdebatt, i alla fall så här långt, är ganska uppseendeväckande. Maken till svartmålning av Sverige är det svårt att hitta. Påståendet att ungdomsarbetslösheten har ökat är till exempel inte korrekt. Finansministern säger själv i sitt svar att ungdomsarbetslösheten är runt 20 procent, enligt SCB:s sätt att räkna. Hanif Bali har redan påpekat att det inte riktigt speglar verkligheten. Det intressanta är att den var ännu högre 2006. Då var den 21 ½ procent om man räknar på samma sätt. Jag har en rapport om det som finansministern kan få läsa. På s. 3 finns den tabell som visar att ungdomsarbetslösheten var högre 2006. Sedan 2006 har Sverige har gått igenom en djup lågkonjunktur. Trots detta är alltså ungdomsarbetslösheten något lägre i dag. Sverige har dessutom i dag den näst lägsta långtidsarbetslösheten bland unga i hela EU. Vi har dessutom fått ned andelen unga som varken arbetar eller studerar, som vi brukar kalla NEET.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer En orsak till att ungdomsarbetslösheten inte har ökat under Alliansen trots den djupa krisen är rimligen att skatterna för att anställa unga har minskat. Det har bland annat gynnat handeln, besöksnäringen och omsorgssektorn, som är arbetsplatser där många unga arbetar. Vi har också sänkt momsen för restaurangsektorn och infört RUT-avdrag, och det har också skapat många nya arbetstillfällen, framför allt för ungdomar. Förutom alla nya jobb som Alliansens reformer skapat glömmer man ibland en annan sak, nämligen hur många jobb som har räddats under krisåren tack vare dessa skattesänkningar. Inte minst ser man hur många ungdomar som har sluppit bli arbetslösa tack vare att kostnaden för att anställa har minskat. Framför allt syns detta i restaurangsektorn, en sektor som normalt drar ned väldigt kraftigt i lågkonjunktur och där man ofta ser många konkurser. Under den senaste krisen påpekar till och med restaurangfacket att det är mycket färre konkurser. Faktum är att antalet anställda i restaurangsektorn ökade samtidigt som man i andra sektorer såg en normal minskning vid en lågkonjunktur. Kombinationen av sänkt restaurangmoms och sänkta arbetsgivaravgifter har gett en god effekt. Finansministern talar om att ersätta en nedsättning av socialavgifterna för unga med nya, mer målinriktade och effektiva åtgärder. Det är tyvärr väldigt svårt att se några sådana förslag från regeringen. Det handlar mer om vackra ord. Finansministern påstår också i sitt svar att antalet utbildningsplatser har minskat. Men enligt riksdagens utredningstjänst är andelen vuxna 18-64 år som är i studier på högskola, vuxenutbildning eller eftergymnasiala utbildningar högre i dag än 2006. Finansministern säger också att nedskärningarna inom högskolan ska stoppas. Jag undrar vilka nedskärningar hon menar. År 2006 fanns det 283 000 platser i högskolan. I år är platserna över 20 000 fler. På vilket sätt är en ökning av antalet högskoleplatser med 20 000 en nedskärning? Att fortsätta att successivt bygga ut yrkeshögskolan, folkhögskoleplatser och så vidare är vettigt och bra, och det är en konstruktiv åtgärd. Men om man tror att man minskar långtidsarbetslösheten bland unga genom att tillskapa fler högskoleplatser är man fel ute. De flesta långtidsarbetslösa har inte högskolebehörighet och kan inte börja på högskolan. Dessutom finns det många högskoleutbildningar där det i dag är gott om lediga platser. Att dessutom göra gymnasieskolan obligatorisk och samtidigt tvinga alla elever att läsa in högskolebehörighet är en återvändsgränd. Det kommer bara att öka avhoppen från gymnasiet när eleverna fyller 18 år, och det kommer i sin tur att öka ungdomsarbetslösheten i stället för att minska den. Jag upprepar det som har sagts tidigare under debatten: Före valet sade Socialdemokraterna en sak, och efter valet gör man en annan. Nu verkar regeringen till och med ha gett SCB nya direktiv om att inte längre följa upp sysselsättningsgrad och sysselsättningsutveckling. Jag vill passa på att fråga finansministern om detta är korrekt och varför man i så fall har gett nya direktiv till SCB att inte längre följa upp detta. ","M"
"Tina Ghasemi"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Jag vill tacka finansministern för svaret. Men jag ställer mig fortfarande frågande till förslaget om hur jobben kan bli fler. Min fråga löd: Hur kommer en så kraftig höjning av arbetsgivaravgiften för unga att bidra till fler jobb? I den budget som regeringen presenterade för några veckor sedan står det i er egen budgettext: \"De skatteförslag som lämnas och aviseras i denna proposition kommer att bidra till att sysselsättningen och BNP dämpas något.\" Vi har alltså en regering som avsiktligt försämrar jobbtillväxten. Ni säger att ni är en regering för jobb och företagande samtidigt som ni föreslår reformer som ni vet kommer att dämpa sysselsättningen. Det är allvarligt att regeringens skattehöjningar på jobb och arbetsinkomster är drygt 40 gånger så omfattande som era satsningar på företagande. Om man höjer skatten på ungdomsjobben och kostnaden för arbetsgivaren att anställa en ung och oerfaren blir densamma som att anställa en erfaren är valet för arbetsgivaren oftast rätt givet. Det kommer att slå hårt mot unga och försvåra för dem att få sitt första jobb och ett inträde på arbetsmarknaden. Det kommer att leda till ökad ungdomsarbetslöshet och slå hårt mot de ungdomsintensiva branscherna, till exempel besöksnäringen och detaljhandeln, som tidigare påpekats. Nästan hälften av de anställda i hotell- och restaurangbranschen och knappt en tredjedel av de anställda i detaljhandeln är under 26 år. Inom handeln motsvarar de höjda arbetsgivaravgifterna kostnaden för att anställa 14 000 personer. Dessutom är företag i dessa branscher inte sällan viktiga också utifrån en integrationsaspekt, då de utgör en viktig väg in på arbetsmarknaden för utrikesfödda och andra grupper som har svårare att få en anställning. I en rapport som kom tidigare i år från Handelns Utredningsinstituts forskningsavdelning redovisas en undersökning om effekterna av en höjning av arbetsgivaravgifterna. Slutsatsen är att effekterna av en höjning av avgiften är mycket större än vad som tidigare har framkommit. Rapporten visar att effekterna av en höjning är större än av en sänkning - de är med andra ord asymmetriska. En höjning av arbetsgivaravgiften är alltså mer skadlig än vad en sänkning av densamma ger i positiva effekter. I rapporten slås också fast att minst 16 000 jobb kommit till på grund av reformen. Det är betydligt fler än vad som tidigare framkommit. Det visar att regeringens förslag om en höjning av skatten kommer att leda till att tiotusentals ungdomsjobb förvinner när det per ung person blir 40 000 kronor dyrare för företag att anställa. Jag ställer återigen mina frågor till finansministern: Hur kommer en så kraftig höjning av arbetsgivaravgiften för unga att bidra till fler jobb? Hur kommer finansministern och regeringen att kompensera de stora ungdomsarbetsgivarna som tvingas säga upp ungdomar när ni nu höjer skatterna? ","M"
"Jasenko Omanovic","Fru talman! Tack, ministern, för svaret! Det här är en väldigt intressant debatt. Jag skulle vilja börja 2006, fru talman, när regeringen Reinfeldt tillträdde. Då hade man ungefär 70 miljarder i överskott, och det var en bra situation på arbetsmarknaden. År 2014, när man lämnade regeringsbyggnaden, lämnade man 90 miljarder i underskott. Då hade man sålt vår gemensamma egendom för 170 miljarder.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Nu undrar kanske fru talmannen vad detta har med den här debatten att göra. Jo, jag ville säga att den ansvarslösa politiken var ett signum för regeringen Reinfeldt. Sänkta socialavgifter är också en del av den ansvarslösa politiken. När man gjorde dessa sänkningar kom Riksrevisionen direkt och berättade om effekterna: 900 000 för att eventuellt skapa ett jobb. Samhället subventionerade alltså ungdomsjobb med 900 000 kronor. Det var väldigt kostsamt. Jag känner inte till om det finns någon 18, 19- eller 20-åring som tjänar 900 000 om året. Men så mycket fick vi betala. Så högt blev priset för den politiska åtgärden. Intressant är det också att man har angreppssättet att säga: Bara vi sänker kostnaderna för att anställa ungdomar blir de anställbara. Då undrar jag: Vart har produktiviteten tagit vägen? Betyder den någonting? Betyder kompetensen någonting i samband med rekrytering av ungdomar, eller är det bara ålder och sänkta kostnader som har betydelse? Det är ju de enda kraven för att kunna få jobb. Varför har vi, trots att vi subventionerar ett jobb med 900 000, fortfarande hög arbetslöshet? Finns det inte något samband där - att det inte fungerar, att åtgärden är ineffektiv? Jag skulle vilja säga att det är därför, fru talman, och det är intressant. Vad har man använt de 900 000 till? Vad har de pengarna gått till? När vi väl gör en åtgärd för att ta tillbaka pengarna vill vi göra investeringar. Vad är det med de långtidsarbetslösa ungdomarna? Varför kommer de inte ut på arbetsmarknaden? En av debattörerna här nämnde högskolan och sade att alla långtidsarbetslösa inte kan gå i högskola. Nej, det kan de inte. Därför satsar vi på kunskapslyft och på komvux för att höja kompetensen och göra dessa unga människor anställbara och gångbara på arbetsmarknaden. Det är det man behöver göra. Man ska inte sänka kostnaderna för redan anställbara så att de som inte är anställbara blir ännu mindre anställbara och får ännu färre möjligheter att komma in på arbetsmarknaden. Det är vad den här åtgärden har bidragit till, fru talman. ","S"
"Magdalena Andersson","Fru talman! Problemet med åtgärden med generellt sänkta ungdomsarbetsgivaravgifter är att man utgår från att alla ungdomar är likadana. Alla ungdomar får alltså samma stöd oavsett hur deras behov ser ut. Det är samma nedsättning av arbetsgivaravgifterna oavsett vilket stöd de enskilda ungdomarna behöver. Det är därför dyrt och ineffektivt. Huvuddelen av åtgärden går till ungdomar som hade haft ett jobb i alla fall och var anställda långt innan åtgärden var genomförd. Av tio ungdomar på arbetsmarknaden är två arbetslösa medan åtta har jobb. Det man gör med den här åtgärden är att lägga pengar på de åtta som har jobb och hade haft jobb i alla fall i förhoppning om att någon av de två arbetslösa ska få jobb via sänkta arbetsgivaravgifter för de åtta som har jobb. Hade det fungerat hade ungdomsarbetslösheten kraftigt minskat när man införde åtgärden. Då hade jag haft lite svårt att stå här i talarstolen och argumentera. Men det är ju inte riktigt det vi har sett.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Den här regeringen säger att i stället för att satsa pengar på de åtta som har jobb och hade haft jobb i alla fall är det bättre att satsa på de två som har svårt att komma in på arbetsmarknaden. Det är det vi gör i stället. Vi lägger resurserna på de ungdomar som behöver resurser, och de får stöd utifrån de behov de har för att komma in på arbetsmarknaden. Det är dumt och onödigt att lägga stora resurser på att nyutexaminerade handelshögskolestudenter eller läkare eller någon som har gått yrkesprogrammets elektrikerlinje ska få jobb. De får jobb i alla fall. Det är bättre att lägga samhällets gemensamma resurser på de ungdomar som har svårt att ta sig in på arbetsmarknaden och att anpassa stödet till individen. Människor ser olika ut, och olika ungdomar behöver olika stöd. Det är orsaken till att regeringen föreslår det här. Vi ökar generellt satsningarna på skolan så att fler får möjlighet till en bra gymnasieutbildning och möjlighet att gå på högskola. Vi gör också särskilda insatser för de ungdomar som har svårt att ta sig in på arbetsmarknaden. Det ifrågasattes om ungdomsarbetslösheten har ökat. I diagrammet från SCB som jag har framför mig <em>har</em> arbetslösheten ökat bland ungdomar. Har man skurit ned på högskolorna eller inte? Ja, antalet högskoleplatser per 1 000 unga, alltså chansen för ungdomar att komma in, har minskat rejält under de senaste åtta åren. Antalet högskoleplatser per 1 000 unga, andelen ungdomar som får högre utbildning, har sjunkit under åtta år av borgerlig regering. Besöksnäringen är en viktig och växande näring i Sverige där många ungdomar får sitt första jobb. Jag, till exempel, fick mitt första jobb i besöksnäringen - med full arbetsgivaravgift. Det anställs många ungdomar i den branschen. Det gjordes det före nedsatta arbetsgivaravgifter för ungdomar; det görs det naturligtvis också efter nedsatta arbetsgivaravgifter för ungdomar. Det finns stor potential för besöksnäringen - det ser jag också - både i den inhemska turismen, där det finns stor ytterligare potential, och i den utländska. Det finns möjlighet till ytterligare besökare från Europa, inte minst Tyskland och Nederländerna. Vi ser även potentialen i en växande medelklass i till exempel Kina och Indien. Regeringen genomför också ytterligare satsningar på att stärka turistfrämjandet utomlands, inte minst på nya marknader. Det finns också potential för ekoturism i Sverige. Jag ser alltså stor potential i besöksnäringen och turistbranschen. Det finns goda förutsättningar för Sverige att stå sig starkt i den konkurrensen. ","S"
"Hanif Bali","Fru talman! Det är intressant att effektivitet nämns här. Jag vill bara påminna om att IFAU, den myndighet som ansvarar för att mäta just effektiviteten i arbetsmarknadsåtgärder, har dömt ut det socialdemokratiska kunskapslyftet som skedde sent 1990-tal och tidigt 2000-tal som den mest ineffektiva och den dyraste arbetsmarknadspolitiken någonsin i svensk historia. Det är intressant att just kunskapslyft nämns här. 100-dagarsgarantin som regeringen Persson genomförde utdömdes också. Effekten av 100-dagarsgarantin jämfördes med att inte göra någonting alls. Skillnaden var noll. Det är alltså regeringens politik - att föra fram en metod som redan utdömts av experter och som inte ger någon effekt alls. På det lägger man ökade kostnader för att anställa ungdomar.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Exemplen du tar upp, Magdalena Andersson, är också intressanta. Det är inte så att många företag är helt mättade med arbetskraft. Om man har många ungdomar anställda och kostnaden för att ha ungdomar anställda dras ned, då kan man anställa fler tack vare det utrymme som skapas. Vi vet också att det finns en stor poäng med att arbetsgivaravgifter har hög elasticitet, nämligen att en sänkning leder till löneökningar ganska snabbt. Sänker man arbetsgivaravgiften stiger lönerna. Det är väl främst från IFAU:s rapport ni hämtar er kritik och siffran 900 000 kronor per jobb. Men i den finner IFAU också att pengarna till stor del går till löneökningar. Alternativet som ni bygger upp är att klimatinvesteringar och så vidare ska se till att ungdomar får jobb. Men de traineejobb ni föreslår, på vilket sätt ökar de ungdomars kompetens på det sätt du beskriver? Hur får ungdomar större möjlighet att komma in på arbetsmarknaden genom att de får en 75-procentig traineeplats som är helt statligt sponsrad och där de inte får utföra reguljära arbetsuppgifter mer än i begränsad skala samtidigt som de ska söka jobb och annat? Vi har provat den modellen. Det var ju 100-dagarsgarantin. Den kombinerad med plusjobb skulle få ungdomar i arbete. Men, som vi fick höra tidigare här, år 2006 när facit kom hade det inte gett några effekter. Ungdomsarbetslösheten var högre då än i dag. Trots att vi har ett mer omfattande ansvarstagande för till exempel flyktingar, trots att vi har haft en större kris och trots att vår omvärld fortfarande är i ganska stor gungning ser siffrorna bättre ut i dag. Ska ingen kredd ges för den förra regeringens arbete? Du drar upp Handelsstudenter som får denna rabatt. Det kan man tycka är ganska orättvist. Men det var därför den förra regeringen föreslog att åldersgränsen skulle dras ned. Det satte ni stopp för. Det var vi som vill dra ned åldersgränsen till 23 år i stället för 25 år. Ni får vara lite konsekventa i argumentationen.  ","M"
"Lotta Olsson","Fru talman! OECD har tittat på svensk ekonomi och sett att den har varit ett föredöme under finanskrisen. Men man ser att det fortfarande finns vissa utmaningar.  En av utmaningarna är att ingångslönerna för unga i Sverige är höga. Detta problem kan lösas på två sätt. Ett sätt är att man sänker ungdomarnas löner, vilket inte är en modell som vare sig jag eller ungdomar i Sverige vill förespråka. Ett annat sätt är att sänka arbetsgivaravgifterna för unga. Att arbetsgivaravgifterna för ungdomar tidigare sänktes har lett till att man har gjort det attraktivt att anställa ungdomar men också att ungdomars löner har kunnat upprätthållas, vilket är mycket viktigt.  I regeringsförklaringen talas det om att man ska stärka besöksnäringen. Men att 50 miljoner skulle stärka besöksnäringen när man samtidigt tar bort de sänkta arbetsgivaravgifterna för unga kan jag inte se är möjligt. Tvärtom kommer det att bli ökade kostnader för besöksnäringen. Det kan också bli ökade kostnader för statskassan, eftersom mycket av de inkomster som vi har från turismen kommer från besöksnäringen. Det handlar om stora skatteintäkter. Om 173 000 personer jobbar i dessa branscher, och många börjar där som unga, är det en stor bransch som faktiskt är hotad av ökade kostnader.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Man kan naturligtvis se på ekonomin på olika sätt och tala om att det är tomt i ladorna och att vi hade skulder. Exempelvis kan man se det på följande sätt:  Tidigare hade vi en stor fin bil som stod på garageuppfarten. Den var inte betald, och vi hade höga skulder. Nu har vi sålt bilen och betalat av en del på skulderna. Då ser det naturligtvis annorlunda ut. Men vi har en bättre och stabilare ekonomi.  Jag tror att man behöver se över många saker. Om det ska räcka med dessa 50 miljoner för att stärka besöksnäringen och höja avgifter och kostnader, då är jag allvarligt bekymrad för detta.  Många av våra studenter jobbar i dessa branscher under loven. Det är ofta så de finansierar sina studier. Många ungdomar, särskilt sådana som kommer från hem där man inte har så stor erfarenhet av långa utbildningar, oroar sig för höga studielån. Då är dessa sommarjobb enormt viktiga. Om dessa jobb minskar och om besöksnäringen i Sverige minskar, då ser jag även andra problem. För mig är det därför ofattbart hur man kan lägga pålagor på besöksnäringen när en stark besöksnäring har så många goda effekter.  ","M"
"Jan Ericson","Fru talman! Eftersom jag satt i utbildningsutskottet under den förra mandatperioden och hade ansvar för vuxenutbildningsfrågor och den typen av siffror har jag faktiskt tagit med en liten RUT-rapport som jag ska ge till finansministern om en stund.  Finansministern skryter om alla skolsatsningar som den här regeringen gör och motiverar skattehöjningarna med det. Men de allra flesta av dessa satsningar är vi helt överens om, och de finns med även i Alliansens budget. Vi klarar dessa satsningar utan skattehöjningar. Dessutom satsar vi faktiskt lite mer än regeringen på skolan. Det duger därför inte som motivering för dessa skadliga skattehöjningar.  När det sedan gäller vuxenutbildning och högre utbildning sade jag förut att det är en större andel av den vuxna befolkningen, både om man räknar dem som är 16-64 år och om man räknar dem som är 18-64 år, som finns i eftergymnasiala utbildningar och högskoleutbildningar i dag än 2006. Det är precis det som den här RUT-rapporten visar.  Jasenko Omanovic sade förut att de personer som är i fas 3 tidigare inte skulle ha haft någon chans till utbildning och att det är därför som man nu vill göra dessa förändringar. Men det stämmer inte riktigt. De personer som i dag finns i det som kallas fas 3, sysselsättningsfasen, har tidigare gått igenom alla tänkbara varianter i Arbetsförmedlingens tidigare steg och haft hur många möjligheter som helst att få olika typer av utbildningar, till exempel de motivationsutbildningar som vi införde på folkhögskolor för att kunna locka folk tillbaka till gymnasieskolan. De har alltså inte saknat chanser till utbildning.  Alliansen har faktiskt byggt ut alla utbildningssystem över huvud taget när det gäller vuxenutbildning och eftergymnasiala utbildningar. Alla utbildningar har fått fler platser under Alliansens tid än tidigare, och komvux har fått mer pengar.  Den här bilden av att Alliansen skulle ha rustat ned utbildningssystemet stämmer alltså över huvud taget inte.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jasenko Omanovic sade också något annat mycket intressant, nämligen att vi hade en väldigt stark arbetsmarknad 2006. Vi hade alltså nästan lika hög arbetslöshet mitt i en högkonjunktur 2006 som vi i dag har efter den djupaste krisen i Europa sedan 1920-talet. Det är en stark arbetsmarknad. I så fall har vi alltså en väldigt stark arbetsmarknad i dag också. Dessutom hade vi ytterligare 200 000 personer som gömdes i annan typ av statistik och i olika former av utanförskap och inte syntes i arbetslöshetsstatistiken. Vi hade inte en stark arbetsmarknad 2006, utan vi hade en väldigt svag arbetsmarknad.  Det sägs att vi hade ett överskott i statsfinanserna 2006 och att det är ett underskott 2014. Det är siffror för två enskilda år. Men man får titta på vad som har hänt under alla dessa åtta år. Då är det faktiskt så att Sverige är det enda landet i EU som kommer att minska sin statsskuld mellan 2006 och 2014. Sverige är det enda landet i hela EU som har lyckats med det.  På finansministern låter det också som om Alliansen närmast har avskaffat skatterna. Man får den bilden. Men vi har troligen fortfarande världens näst högsta skattetryck av alla länder. Varför skulle det inte räcka till välfärden om man prioriterar? Till slut ska jag upprepa min fråga till finansministern. Vilka direktiv har regeringen gett SCB? Stämmer det att man inte längre ska följa upp sysselsättningsutveckling och sysselsättningsgrad? Jag vill ha ett ja eller nej på den frågan. ","M"
