"Magdalena Andersson","Fru talman! Fredrik Schulte har frågat mig om jag anser att den svenska politiska debatten framöver bör utgå ifrån Europeiska kommissionens ekonomiska prognos - detta mot bakgrund av att kommissionens senaste prognos visade på att den föregående regeringen efterlämnat ett större underskott än vad som antas i budgetpropositionen för 2015. Kommissionen är en viktig bedömare av den ekonomiska utvecklingen, såväl i Sverige som i omvärlden. De publicerar tre prognoser per år, bland annat som underlag till övervakningen av medlemsstaternas ekonomier. Ett krav på jämförelse mellan medlemsstaternas och kommissionens prognoser ingår även i EU-direktivet för medlemsstaternas budgetramverk. Regeringen redovisar i budgetpropositionen sådana jämförelser. Med detta sagt är det dock viktigt att betona att regeringen gör självständiga bedömningar av den svenska ekonomiska utvecklingen. Kommissionen är i det sammanhanget en viktig bedömare bland många andra. Till exempel kan nämnas att även Konjunkturinstitutet, OECD och IMF gör prognoser för svensk ekonomi. Regeringen tar därmed intryck av en bred krets av bedömare, inte uteslutande av Europeiska kommissionen. Det är även naturligt att den svenska politiska debatten baseras på bred grund. ","S"
"Fredrik Schulte","Fru talman! Om man tittar tillbaka lite historiskt skulle man kunna säga att Sverige på 80-talet var Europas Grekland. Vi hade en enorm offentlig sektor med låg produktivitet, som var väldigt ineffektiv och som vi långvarigt inte kunde finansiera. Vi levde över våra tillgångar. Vi hade en ständigt ökande statsskuld. Detta gjorde att vi fick en kris på 1990-talet - en kris som Socialdemokraterna gärna vill skylla på Moderaterna. Sedan har Socialdemokraterna efter det byggt väldigt mycket av sin identitet på att man sanerade statsfinanserna.  Detta kom lite på skam när vi fick en alliansregering 2006, med Anders Borg i spetsen för Finansdepartementet, som vägledde Sverige genom den värsta globala, internationella krisen sedan 1930-talet genom att minska statsskuldens andel av bnp och genom att ha Europas starkaste offentliga finanser. Anders Borg blev själv utnämnd till världens bästa finansminister av New York Times. Samtidigt som detta hände hade vi en opposition - Mona Sahlin, Thomas Östros och Pär Nuder ett tag, sedan Håkan Juholt - vars ständiga budskap var: För lite och för sent! Mona Sahlin ville också komma till Saabs räddning och köpa upp det som ett statligt bolag. Detta gjorde att den socialdemokratiska trovärdigheten i fråga om att ta hand om de offentliga finanserna har naggats rätt rejält i kanten. Det var väldigt tydligt att Alliansen under den här tiden tog ansvar och såg till att ha budgeten i balans och skapa de stabilaste statsfinanserna i hela Europa, och Socialdemokraterna krävde hela tiden att få spendera mer. Detta gör att Magdalena Andersson nu har försökt återta lite av trovärdigheten i den här debatten. Hon försöker vid varje tillfälle hon kan låta påskina att alliansregeringen inte har skött sig. Vi har under hösten haft en debatt som har handlat om att Magdalena Andersson har sagt att ladorna skulle vara tomma. Hon tar varje tillfälle hon kan att understryka det. Det var en massiv debatt där hon blev väldigt kritiserad av i princip varje oberoende aktör, som påpekade just det jag nu har sagt, nämligen att Sverige har Europas starkaste offentliga finanser.  Två veckor efter att regeringen kom med sin prognos kom EU-kommissionen med en prognos där det ser lite värre ut för Sverige - skillnaden är 0,1 procentenheter eller något sådant. Den poäng jag vill göra är att Magdalena Andersson tar varje prognos som talar till hennes fördel till intäkt för att göra en poäng som är falsk, nämligen att Sveriges offentliga finanser skulle vara i dåligt skick. Svaret på den här interpellationen understryker just det. Regeringen gör en prognos i statsbudgeten. Två veckor senare kommer EU-kommissionen och lägger fram en prognos som är lite sämre. Genast är Magdalena Andersson på bollen för att framhålla att vi skulle ha misskött de offentliga finanserna när det egentligen är precis tvärtom. Jag undrar om jag måste ställa en specifik fråga till Magdalena Andersson - en specifik interpellation - på detta tema. Håller du med om att Sverige faktiskt har Europas starkaste offentliga finanser? ","M"
"Erik Andersson","Fru talman! Jag är relativt ny i riksdagen, vilket slår mig när vi hör talet om vilken historieskrivning som kommer från den rödgröna sidan.  Det jag först och främst tänker på är vem det är som betalar skatterna. Det är ju inte staten själv som kommer in med intäkter för att finansiera välfärden, utan det är hårt arbetande män och kvinnor där ute som försöker göra allt för att få tillvaron att gå ihop. Sedan har vi även företagen som betalar skatt. Under de borgerliga regeringsåren sänktes givetvis skattetrycket i det land som har nästan högst skattetryck i världen, men det resulterade ju i att vi fick in större skatteintäkter. Därför tycker jag att det är lite märkligt att man säger att ladorna är tomma.  Min fråga är: Med tanke på att ni kommer att höja skatterna väsentligt - inte minst på unga, med den höjda arbetsgivaravgiften för unga - tror ni att det kommer att bli fler i arbete? ","M"
"Mats Green","Fru talman! Jag har två frågor till finansministern, bland annat mot bakgrund av det som har sagts om att det är tomt i ladorna när det gäller den svenska ekonomin och att man numera hänvisar till Europeiska kommissionen.  Tidigare har Europeiska kommissionen nästan konstant sagt att Sverige har haft bland de absolut starkaste ekonomierna i Europa, för att inte säga i världen. Jag har också själv varit närvarande när finansministern har haft föredragningar där Sverige alltid har kommit högst när det gäller de ekonomiska bedömningarna. Man har alltid kommit bort från det faktumet. Jag skulle vilja fråga vilket land finansministern anser har hanterat ekonomin bättre än Sverige under den finanskris vi har haft under de senaste sex åren. Vilket land har hanterat detta bättre än Sverige? Vilket land är enligt finansministerns förmenande ett föredöme för oss? Min kollega Anette Åkesson var tidigare uppe i talarstolen och diskuterade välfärdens långsiktiga finansiering, och jag skulle vilja ha finansministerns inställning till en fråga som utan tvekan kommer att diskuteras mycket här senare - i synnerhet vad gäller Europeiska kommissionen och dess inställning till detta. Det finns ytterligare ett regeringsparti, nämligen Miljöpartiet, som fortfarande diskuterar arbetstidsförkortning och friår. Vi kan ju diskutera vad det skulle få för konsekvenser för välfärden, men är finansministern här och nu beredd att avfärda de diskussioner som har funnits om att korta arbetstiden och införa ett friår? Är finansministern beredd att lova att något sådant aldrig kommer att ske under ett socialdemokratiskt maktinnehav? Det är frågorna jag skulle vilja ha svar på.  ","M"
"Finn Bengtsson","Fru talman! Jag får tacka interpellanten för interpellationen och även finansministern för svaret på interpellationen.  Det är intressant att titta på en frågeställning som dyker upp i interpellantens formulerade ansats i de konkreta frågorna. Han ställer frågan till finansministern om kommissionens prognoser skulle vara mer tillförlitliga än regeringens egna. Sedan ställer han en lite ful fråga, kan tyckas, nämligen om det i stället helt enkelt är så att finansministern använder de siffror som för stunden gagnar hennes sak bäst.  Man kanske kan tycka att det är oförskämt att uttrycka sig så, men om man tittar lite djupare på det skriftliga svar som levererats av finansministern kan man läsa följande: \"Kommissionen är i det sammanhanget en viktig bedömare bland många andra. Till exempel kan nämnas att även Konjunkturinstitutet, OECD och IMF gör prognoser för svensk ekonomi. Regeringen tar därmed intryck av en bred krets av bedömare.\"  Jag har en fråga om detta. Under de åtta år Anders Borg var finansminister levererade bland annat Konjunkturinstitutet, OECD och IMF rapporter vilka regeringen tog djupt intryck av. De lämnade rapporter inte bara om utvecklingen av statsskulden utan även om utvecklingen av det statsfinansiella läget över huvud taget i Sverige. Jag vill minnas att man vid upprepade tillfällen i de rapporter som kom från många av de bedömare regeringen nu säger sig ta stort intryck av kunde läsa hur fantastiskt bra Sverige och Sveriges finansminister klarade av att hantera Sveriges ekonomi i den globala finanskris som då svepte över världen. Det är därför lite förvånande att man inte väljer att ta med sig dessa internationella, kompetenta bedömares intryck av hur Sverige skötte finanserna under de krisår som drabbade både oss och hela vår omvärld. Vi kom ut som den kanske starkaste ekonomin trots en så extrem lågkonjunktur. Jag kan då undra lite grann om det inte är just som interpellanten säger, nämligen att man när det passar finansministern använder bedömare för att lyfta fram de eventuella tillkortakommanden man kan hitta.  Det sammantagna omdöme som har lämnats av internationella bedömare är naturligtvis att Sverige har hanterat finanskrisen på ett fantastiskt förtjänstfullt sätt, vilket har gjort att vi har kunnat investera framåtsyftande med fortsatta reformer - något som i princip väldigt få andra länder över huvud taget har kunnat göra. När finansministern nu kommer och öppnar upp ladan och säger att den är tom tycker jag kanske att det vore på sin plats att ha ärligheten att säga att Sverige faktiskt har den fullaste ladan av alla länder när det gäller statsfinanserna. Det finns över huvud taget ett reformutrymme.  Sedan är det helt korrekt att Alliansen har ett mer försiktigt och ansvarsfullt förhållningssätt när det gäller hur man ska finansiera framtida reformer när det, som efterdyningar till den globala finanskris vi ännu inte är ute ur, fortfarande skakar i Europas finansiella grundvalar. Den nya, rödgröna regeringen slår på för fullt när vi i stället borde fundera på hur vi kan skydda oss mot eventuella bakslag och försöka fylla på ladorna på ett ansvarsfullt sätt.  Det är inte bidragsförsörjning och stöd till folk som inte arbetar som är den viktigaste åtgärden, utan det är att se till att fler arbetar och att investeringarna först riktas till kärnverksamheten i välfärden - det vill säga skola, vård och omsorg. ","M"
"Magdalena Andersson","Fru talman! Under de två och ett halvt år jag var ekonomisk-politisk talesperson för Socialdemokraterna och under de månader jag har varit finansminister har jag aldrig kritiserat den tidigare regeringen för hur den hanterade finanskrisen. Däremot har jag varit väldigt kritisk till hur man har hanterat ekonomin de senaste två åren, alltså att man har fortsatt att sänka skatten på lånade pengar efter att konjunkturen har förbättrats.  Resultatet av det är att vi nu har ett större underskott för innevarande år än vi hade under själva finanskrisen. Det är väl ändå lite bakvänd konjunkturpolitik att ha ett större underskott i bättre tider än man har i dåliga tider. När vi hade en stor kris i ekonomin hade vi en budget i det närmaste i balans, medan vi innevarande år har ett underskott på över 2 procent av bnp.  EU-kommissionen gör bedömningen att det strukturella underskottet motsvarar 1 procent av bnp, och det är för att de gör en annan bedömning av bnp-gapet än vad regeringen hade gjort. Det gör att Sverige har ett gränsvärde för hur stort strukturellt underskott man kan ha - det kallas MTO, medium term objective - som ligger på 1 procent. Det skick i statsfinanserna som den borgerliga regeringen lämnat efter sig innebär alltså att vi har ett strukturellt underskott på en hel procent av bnp - större än vad som är tillåtet enligt EU-reglerna. Det är klart att det inte är oproblematiskt, och det är svårt att säga att statsfinanserna är i ett mycket gott skick när vi bryter mot EU-regelverket. Nu är min bedömning att vi inte kommer att få problem med EU på grund av detta, och det beror på att regeringen lägger fram den mest ansvarsfulla budgeten sedan budgetsaneringen. Vi minskar det faktiska sparandet från 2 procent av bnp till 1 procent av bnp, och vi minskar det strukturella sparandet från enligt regeringens bedömning 0,9 procent av bnp till 0,4 procent av bnp. I och med den här budgeten gör vi alltså en stor både faktisk och strukturell åtstramning av de offentliga finanserna.  På Fredrik Schulte låter det som om det enda sättet att genomföra en ansvarsfull politik är att ha så låga offentliga utgifter som möjligt. Det kan ju möjligen förklara Moderaternas syn på välfärden - det handlar om att ha så en liten offentlig sektor som möjligt. Alla reformer som vi föreslår i den här budgeten finansieras krona för krona. Varenda utgiftsökning vi har finansieras också med en skattehöjning eller en besparing, och det är det som gör att vi kan lägga fram en så ansvarsfull budget. Problemet är att de senaste två åren, när konjunkturen hade vänt, har den borgerliga regeringen fortsatt att låna och låna till stora skattesänkningar. De har lånat så mycket att det nu bryter mot EU-regelverket. Enligt EU, som gör en mer negativ bedömning av bnp-gapet än regeringen, har vi ett strukturellt underskott på 1,5 procent medan vi bedömer att det strukturella underskottet är 0,9 av bnp. Där befinner vi oss. Det är i det strukturella sparandet ungefär 75 miljarder från det överskottsmål som vi alla är eniga om att vi bör leva upp till. ","S"
"Fredrik Schulte","Fru talman! Det saknas 175 miljarder, säger Magdalena Andersson. Svara då, Magdalena Andersson, på varför du ska sätta sprätt på 120 miljarder! Det är den största planerade utgiftsökningen sedan 80-talet.  Magdalena Andersson föreslår 120 miljarder över en mandatperiod. Det går inte ihop. Man kan inte både säga att man tar ansvar för de offentliga finanserna och sedan sätta sprätt på historiskt stora belopp för att finansiera det som i mångt och mycket är en utbyggnad av bidragssystemen. Magdalena Andersson försöker på något sätt antyda att Moderaterna skulle vilja minska den offentliga sektorn så mycket vi bara kan. Men under de åtta åren som vi styrde ökade vi omfattningen på välfärdens kärna. Vi ökade resursanslagen till vård, skola och omsorg. Vi lägger nu fram en budget där vi höjer skatterna, vilket ska sägas, och där vi använder dessa skattehöjningar för att finansiera välfärdssatsningar, precis som ni också gör. Ni höjer dock skatterna väsentligt mer för att sedan också massivt kunna bygga ut bidragssystemen genom att höja a-kassan och göra det mindre lönsamt att arbeta. Den som har relativt god inkomst och blir arbetslös får 5 000 kronor mer i månaden. Det kommer att innebära att den som jobbar till exempel som servitris kommer att få mindre pengar efter att skatten är betald och lönen insatt på bankkontot än vad advokaten som har blivit arbetslös får i bidrag för att inte arbeta. Detta är de satsningar som Magdalena Andersson menar är \"effektiva\" för att stärka Sveriges ekonomi. Magdalena Andersson anser att den borgerliga regeringen sänkte skatten för lånade pengar, men i opposition föreslog faktiskt Magdalena Andersson bidragshöjningar för lånade pengar. Det intressanta är att alliansregeringen och den socialdemokratiska oppositionen var helt överens om reformutrymmets omfattning, det vill säga hur mycket pengar som kunde spenderas. Det diffade lite; jag tror att ni föreslog 8 miljarder mindre under de tre sista åren av den förra mandatperioden, men det är i sammanhanget snudd på en droppe i oceanen. Sammantaget var vi överens om att Sverige skulle ha det budgetsaldo som vi nu har. Att Magdalena Andersson försöker påskina något annat är bara retorik, och jag tycker att det framkommer väldigt tydligt i hur Magdalena Andersson resonerar. Hon säger att ladorna är tomma, och EU-kommissionen understryker det. Sedan vet vi alla att EU-kommissionen framhåller Sverige som det goda exemplet i Europa med EU:s starkaste offentliga finanser. Jag var inne på detta tidigare i mitt anförande: Ska det krävas en interpellation med en direkt fråga för att Magdalena Andersson ska svara på vilket land hon anser har skött sina offentliga finanser bättre än Sverige i EU? Finns det något land som enligt hennes mening har gjort det? EU-kommissionen är överens med oss i Alliansen om att vi har Europas starkaste offentliga finanser, medan Magdalena Andersson tar deras prognos till intäkt för att försöka påskina att Alliansen skulle ha misskött sig. Kan det inte vara klädsamt att erkänna att vi har Europas starkaste offentliga finanser? ","M"
"Erik Andersson","Fru talman! Jag minns en tid när Magdalena Andersson inte var finansminister. Då kunde man höra i radio och tv att varje gång som Borg sade någonting sa hon tvärtom. I den ena sekunden var det satsa - då skulle man satsa mer. I nästa sekund var det bromsa - då skulle man satsa ännu mer. Därför undrar jag ibland om den socialdemokratiska ekonomiska politiken utgår ifrån något annat än de vedertagna ekonomiska teorierna. I januari 2006 var statsskulden 1 311 miljarder. I augusti 2014 var den 1 261 miljarder. Däremellan har den minskat, och sedan har den ökat lite till. Faktum är att det har skapats 56 miljarder mer till välfärden under de borgerliga regeringsåren. Och de 130 miljarderna i skattesänkningar som ni ondgör er över, var hamnade de pengarna någonstans? De hamnade ju inte ute i rymden eller någon annanstans, utan de hamnade hos medborgarna som kunde konsumera, spara eller något annat. Och det är väl välförtjänt att de får mer pengar kvar i plånboken när de arbetar så hårt. Den socialdemokratiska budget som kanske kommer att läggas fram tror jag inte kommer att innebära mer arbete. Det blir snarare dyrare att arbeta, och det skapar inte mer arbete. RUT- och ROT-reformerna, exempelvis, har gjort svarta jobb vita, och det har också skapat väldigt stora skatteintäkter. Till och med Skatteverket säger att attityden till svartarbete har förändrats tack vare den här reformen. Nu ska man dock halvera den, och det är en gåta för mig hur man kan gå fram med en sådan budget, som jag faktiskt tror riskerar att slita sönder Sverige, vilket är ett känt uttryck. ","M"
"Mats Green","Fru talman! Frågor ställs, och frågor måste besvaras. Jag skulle, återigen, vilja ha svar på frågan om vilket land finansministern anser ska tjäna som ett föredöme för Sverige vad gäller den ekonomiska hanteringen. Vilket land har en bättre hantering av statsskulden? Vilket land har en bättre hantering av arbetslösheten? Det vill vi ha svar på. Jag vill också ha svar, fru talman, angående konsekvenserna för exempelvis min gamla verksamhet, den kommunala hemtjänsten, där jag arbetade som vårdbiträde i min tidigare kommun Jönköping, om vi skulle införa de förslag som finns från Miljöpartiet när det gäller arbetstidsförkortning och friår, något som, för att uttrycka sig milt, ger helt obefintliga möjligheter att satsa på det som ändå brukar beskrivas som välfärdens kärna. Jag skulle vilja att finansministern gav ett utförligt svar vad gäller konsekvenserna för den svenska ekonomin men i synnerhet konsekvenserna för välfärdens kärna i Sveriges alla kommuner och landsting. Det handlar, återigen, om den verksamhet som vi alla är med och arbetar och betalar skatt för att kunna upprätthålla. Jag har alltså två enkla frågor: Vad blir konsekvenserna för välfärdens kärna med Miljöpartiets förslag om arbetstidsförkortning och friår? Vilket land anser finansministern ska tjäna som föredöme för Sverige och den svenska ekonomin? (forts.) ","M"
"Finn Bengtsson","Herr talman! Så här är det med det demokratiska spelet när man inte kommer väl förberedd. Då blir det andra möjligheter att sköta interpellationsinstrumentet. Jag hade tänkt ställa en fråga till finansministern eftersom hon hela tiden, inom ramen för den här interpellationen, upprepade sitt mantra att den tidigare regeringen lånade till skattesänkningar. Jag har tidigare frågat hur man, om man har världens högsta skattetryck, kan förutsätta att det inte finns någon möjlighet att sänka skatten. I stället blir man anklagad för att låna till det hela. I så fall finns det bara en väg, och det är att fortsätta att höja skatten. Det ligger lite grann implicit i den retorik som säger att alliansregeringen lånat till skattesänkningar. Jag har tidigare frågat finansministern hur det kan komma sig att man när Sverige under tidigare regerings maktinnehav har amorterat rätt rejält på sin statsskuld samtidigt kan påstå att vi lånat till skattesänkningar. Det är ju inte sant. Vi har faktiskt lägre statsskuld nu än när vi tog över regeringsmakten 2006. Det är någonting som den nuvarande regeringen har glädje av att administrera. Då säger finansministern att det beror på att vi har sålt ut statlig egendom. Men finns det något egenvärde i att äga en spritfabrik värd kanske 60 miljarder kronor? Varför ska svenska folket äga en spritfabrik? Varför ska vi äga ett kommersiellt flygföretag? Varför ska vi äga delar av Vattenfall som ger sig ut på en internationell marknad med mycket tveksamma miljöinvesteringar? Man måste väl kunna amortera eller sänka utgifterna för staten genom att bli av med sådan verksamhet som inte bör bedrivas i staten, såvida inte motiven finns. Då har man heller inte lånat till skattesänkningar. Det var det jag ville ta upp, men nu får jag inget svar av finansministern. ","M"
