"Mehmet Kaplan","Herr talman! Mats Green har frågat mig vilka konkreta bostadspolitiska åtgärder och satsningar jag hittills har tagit initiativ till och framför allt om det finns några planer från min sida på konkreta åtgärder och satsningar framöver. I budgetpropositionen för 2015 satte regeringen upp ett mål om att det fram till 2020 ska byggas minst 250 000 nya bostäder. Bostadsbyggandet har under en rad år legat på alltför låga nivåer. Sverige växer, och det finns ett underskott av bostäder till följd av att nyproduktionen av bostäder inte har hållit jämn takt med vare sig behov av eller efterfrågan på bostäder under en lång följd av år. Den generella bristen på bostäder gör det särskilt svårt för unga att etablera sig på bostadsmarknaden, och ett stort antal kommuner anger att de har brist på bostäder som unga efterfrågar. Medianåldern för flytten hemifrån ökar i storstadsregionerna, och det råder en utbredd brist på studentbostäder på universitets- och högskoleorter. Bostadsbristen riskerar framtidens tillväxt, minskar rörligheten och försvårar matchningen på arbetsmarknaden. Bostadsbristen behöver mötas med ett ökat bostadsbyggande. Det är särskilt angeläget att utbudet av alla slags hyresrätter, inklusive studentbostäder, ökar. Regeringen lyfte i budgetpropositionen för år 2015 fram nya tänkbara åtgärder, däribland frågan om att skapa lämpliga incitament såväl för byggande av små energieffektiva hyresrätter eller studentlägenheter som för de kommuner som står för ett ökat bostadsbyggande. Miljonprogrammets flerbostadshus behöver moderniseras på ett socialt och miljömässigt hållbart sätt. Regeringen föreslog därför i budgetpropositionen en stor satsning på ett stöd för renoveringar av flerbostadshus i miljonprogramsområdena som bland annat bidrar till energieffektivisering. Jag beklagar att denna viktiga satsning röstades ned av riksdagen. En viktig förutsättning för bostadsbyggandet är infrastruktur som ger människor möjligheter att snabbt och enkelt resa mellan bostad och arbetsplats. En annan är att också beakta behovet av att redan från början bygga hållbara bostäder och ett hållbart samhälle när man bygger nytt. Bostadsbyggandet är en del av stadsutvecklingen. Bra kollektivtrafik öppnar upp för nya, attraktiva lägen för bostadsbyggande. I budgetpropositionen för 2015 aviserade regeringen att 500 miljoner kronor per år avsätts till insatser för förbättrade stadsmiljöer 2015-2018 i form av statlig medfinansiering till lokala och regionala investeringar i kollektivtrafik i tätort. Regeringen har givit Trafikverket i uppdrag att utveckla ett ramverk för så kallade stadsmiljöavtal med fokus på hållbara transporter. Täta städer med goda möjligheter till cykel, gång- och kollektivtrafik samt god samhällsservice behövs dessutom för att fler ska kunna leva hållbart och för att man ska kunna bidra till att nå de nationella miljökvalitetsmålen.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag kan försäkra Mats Green om att det pågår ett intensivt arbete i Regeringskansliet med att skapa förutsättningar för ett ökat bostadsbyggande. ","MP"
"Mats Green","Herr talman! Det var tisdagen den 3 mars, alltså för exakt två veckor sedan, som statsminister Stefan Löfven, finansminister Magdalena Andersson och biträdande finansminister Per Bolund via en debattartikel i Dagens Nyheter klargjorde att man ville slopa överskottsmålet för statens finanser. Skälet till detta skulle enligt artikeln vara att man ville skapa utrymme för det som man benämner som offentliga satsningar och investeringar i bland annat bostäder. Gång på gång kan vi konstatera att bostadspolitiska besked eller förslag från regeringen - trots upprepade frågor, kan jag tillägga, från politiskt håll, från medialt håll och från intresse- och branschorganisationer vad gäller boende- och hyresgästorganisationer, fackliga organisationer och byggbranschen i stort - i stort sett helt lyst med sin frånvaro, herr talman. Då föranleder det här utspelet ett antal frågeställningar. Efter att man i förra veckan kritiserats i medierna för overksamhet i bostadspolitiken har man i dag skrivit en debattartikel med rubriken: Staten måste ta ekonomiskt ansvar för bostadsbyggandet. Där kommer man inte med ett enda besked eller med något konkret eget förslag över huvud taget. Frågan, herr talman, som jag har ställt till bostadsministern är alltså: Vilka konkreta bostadspolitiska åtgärder och satsningar har du hittills tagit initiativ till? Och, framför allt mot bakgrund av den debattartikel som jag tidigare nämnde, finns det några planer från din sida på konkreta åtgärder och satsningar framöver? Jag får även i den här interpellationsdebatten tacka för svaret, även om det kanske inte var något som i ärlighetens namn kan beskrivas som ett klargörande eller som något konkret eller verkligt innehåll i fråga om förekomsten av en bostadspolitik från regeringen. För det första hänvisar bostadsministern i sitt svar till att man satt upp ett rödgrönt mål om 250 000 nya bostäder till 2020. Då kan man bara konstatera att det är en ambitionssänkning i förhållande till Alliansens mål om 300 000 nya bostäder till 2020. Sedan tycker jag att man ska vara ärlig med, herr talman, att behovet är större än så. Men det sista vi behöver är en ambitionssänkning av en internt splittrad och handlingsförlamad regering. För det andra, herr talman, säger bostadsministern i sitt svar att bostadsbristen behöver mötas med ett ökat bostadsbyggande. Det instämmer vi från Alliansen i. Dock inställer sig då den alltför uppenbara frågan: Varför hade den rödgröna regeringen i sitt budgetförslag inte med ett enda förslag för ett ökat bostadsbyggande? Det var alltså inte ett enda regeringsförslag för ett ökat bostadsbyggande. Det enda man föreslog i det rödgröna budgetförslaget var symboliska budgetposter i form av två mindre stödbidrag. Det var ett för energieffektivisering och renovering av flerbostadshus i miljonprogramsområden. Och det var ett lika symboliskt bidrag till upprustning av skollokaler.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det enda man då föreslagit handlar ärligt talat om felriktade och i stort sett helt effektlösa nålpengar i fråga om befintliga, redan byggda, bostäder. Förslag om byggande av nya bostäder lyser, som sagt, helt med sin frånvaro. Det duger inte, herr talman. För det tredje avslutar bostadsministern sitt interpellationssvar med att säga att han kan försäkra mig om att det pågår ett intensivt arbete i Regeringskansliet med att skapa förutsättningar för ett ökat bostadsbyggande. Då är min fråga till bostadsministern: Om det nu skulle vara så, när tänker man presentera denna väldigt väl förborgade hemlighet för svenska folket? ","M"
"Nina Lundström","Herr talman! Mats Green har ställt en viktig interpellation. Det var många av oss som reagerade på artikeln, och mot bakgrund av att vi vet vad som stod i förslaget i budgetpropositionen från regeringspartierna delar jag helt Mats Greens uppfattning. Det var två olika typer av bidrag, och det var energieffektiviseringar och upprustning av skolor. Förslag och investeringsstöd som skulle bidra till nyproduktion fanns inte i budgetförslaget. Därför är det högst relevant i dag att ställa sig frågan vad det är som avses med den typen av artikel. Jag gläds dock åt vissa delar i svaret. Trots att statsrådet inte svarar på Mats Greens fråga kan jag nämligen konstatera att samplanering mellan kollektivtrafik och bostäder är en viktig faktor, det vill säga att bostäder är en förutsättning för att staten ska kunna bistå med investeringar i kollektivtrafik lokalt och regionalt.  Jag blir dock väldigt förvånad, herr talman, för i den föregående interpellationsdebatten kunde vi konstatera att statsrådet inte vill koppla ihop exempelvis Bromma flygplats med bostadsbyggandet. Men förutsättningen för de lokala investeringsmedlen är väl att det ska leda till ökat bostadsbyggande - antar jag. Jag skulle vilja ha en kommentar från statsrådet om vad som menas. Sedan är jag glad över att cykling nämns, och det måste jag framhålla. Den stora frågan är dock vad det innebär med statlig medfinansiering lokalt och regionalt om det inte är kopplat till bostadsbyggande. När det gäller de övriga åtgärder som skulle kunna beröras får man återigen bilden av att det är nationella pengar som ska lösa bostadskrisen. Jag vill än en gång ställa frågan till statsrådet vilka andra nog så viktiga åtgärder statsrådet kan tänka sig att återkomma till riksdagen med. En sådan viktig faktor som kunde konstateras vad gällde regelverket, krånglet och hindren för bostadsbyggande var att mindre krångel och hinder betydde kanske uppemot 15-20 procent av produktionskostnaden för de mindre hyresrätterna. Det finns alltså en annan väg att gå, och det är att jobba med att göra det lättare och enklare att bygga. Det är mina frågor: Hur ser statsrådet på kopplingen mellan statlig medfinansiering lokalt och regionalt kopplat till bostadsbyggande, och hur ser förslagen ut vad gäller att minska det regelkrångel och de hinder som faktiskt gör byggandet dyrare? ","FP"
"Ola Johansson","Herr talman! Jag tackar Mats Green och Mehmet Kaplan, återigen. Vi har diskuterat regelfrågor och regelförenklingar vid en tidigare debatt här i eftermiddag, och jag anser att den debatten är avklarad. Nu handlar det i stället om statens ansvar och statens inriktning.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Centerpartiets uppfattning är att staten ska satsa på sådana åtgärder som innebär att vi bygger Sverige starkt. Statens medel ska användas för att stärka människor och regioner. Det är genom satsningar på infrastruktur, utbildning och företagande i hela landet vi kan få bostadsbyggandet att ta fart, inte genom direkta subventioner och stöd till byggandet.  De mindre attraktiva lägen vi har blir inte attraktivare bara för att det byggs mer där, utan de måste göras till attraktiva A-lägen genom att vi satsar inte bara på bra trafiklösningar, ett fungerande civilsamhälle, fritidsaktiviteter, god kvalitet i skolorna och fler arbetsplatser lokalt utan också på möjligheter att transportera sig till de platser i närområdet där arbetstillfällena finns.  Vi har också fått höra i Mehmet Kaplans svar att han är ledsen över att det inte satsas 1,7 miljarder kronor på miljonprogrammet under fyra år. När vi räknar på det ser vi att det är pengar som räcker ungefär till en duschblandare och några tapetrullar i de 400 000 bostäder i miljonprogrammet som skulle behöva rustas upp och energieffektiviseras. Det kan man naturligtvis vara ledsen över, men jag tror att Mehmet Kaplan och byggindustrin ska vara väldigt glada över att det är just den budget Alliansen föreslog som vann riksdagens gillande.  Med den budget som föreslogs från regeringssidan skulle kostnaderna för byggindustrin nämligen öka med 2,4 miljarder årligen, enbart på grund av att regeringen hade för avsikt att dubbla arbetsgivaravgifterna för unga under 25 år. Med en byggindustri som har närmare 50 000 anställda som är under 25 år skulle kostnaderna för dessa 20 procent av de anställda sammantaget bli ca 2,4 miljarder. Om man skulle slå ut den summan på varje ny bostad som byggs under det här året, baserat på den statistik över det prognostiserade bostadsbyggandet vi har, har vi räknat ut att varje bostad skulle kosta 60 000 kronor mer med Socialdemokraternas budget än med Alliansens budget. Lägger vi då till och gör lite matematik av regeringens 1,7 miljarder under fyra år, och jämför det med kostnadschocken på 2,4 miljarder årligen, får vi alltså en minuspost på 9,2 miljarder med regeringens budget. Det blir en pluspost på 1,7 miljarder. Byggindustrin får alltså 2,5 miljarder högre kostnader med regeringens föreslagna budget än vad den har med den budget som nu gäller. Det är ju lite intressant när man talar om stöd till byggindustrin för att byggindustrin ska bygga mer bostäder. Man borde i stället titta på och diskutera hur mycket pengar staten och kommunerna tar ifrån byggbranschen.  Lägg fokus på rätt saker! Lägg det inte på att dopa byggföretag på den privata sidan. Är det så att man ogillar de privata alternativen i vård- och omsorgssektorn borde man i så fall ha samma attityd när det gäller de privata företag som agerar i byggsektorn. ","C"
"Hillevi Larsson","Herr talman! Ministern har själv presenterat det som behöver göras, och man kan i dag läsa på DN Debatt om sex punkter, tror jag att det var, med åtgärder. Jag tänkte fokusera på tre av dem. Det handlar om statens ansvar, om att snabba upp byggprocessen och om konkurrens. Det är inte därmed sagt att de andra punkterna är oviktiga, men jag börjar med de här.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer När det gäller statens ansvar har staten i praktiken inte haft något ansvar de senaste åren. I stället har det legat enbart på kommunerna, och det har varit en tuff uppgift för dem. Har man ett kommunalt byggbolag har man nämligen det verktyget, men i övrigt har man inte många verktyg i kommunen. Det är klart att man kan göra en bättre markprocess och att det finns mycket sådant, men när det de facto handlar om att sätta igång och börja bygga ligger det i byggbolagens händer.  Byggbolagen har prioriterat det som ger mest pengar. Det är lönsamt att bygga hyresrätter, men byggbolagen har bedömt att det är ännu mer lönsamt att bygga bostadsrätter och villor. De hyresrätter som ändå har byggts är framför allt fashionabla hyresrätter med höga hyror. Över hälften av landets kommuner uppger att de har bostadsbrist, och det är framför allt hyresrätter med rimliga hyror som behövs. Det är dock inte det byggbolagen vill bygga, och det är här staten kommer in. Genom ett statligt ansvarstagande kan man stimulera byggandet av det som behövs.  Det har tidigare gjorts stimulanssatsningar, och det har faktiskt fått effekt. Det har dömts ut som att det inte har fått effekt, men det är på grund av att det sattes in ganska sent. Där kan man vara självkritisk och säga att vi när vi var i regeringsställning borde ha satt in insatserna tidigare, men man såg definitivt att det fick effekt. Det byggdes fler hyresrätter med rimliga hyror på grund av stödet. Därför är det en bra väg. Av interpellanten kallas det ineffektiva subventioner, men det har bevisligen haft effekt där det har provats. Sedan kan man fråga sig vad vi kallar det stöd som finns till det ägda boendet, alltså framför allt villor men även radhus och till viss del bostadsrätter, även om det bara gäller den egna lägenheten och inte bostadsrättsföreningen.  ROT-avdraget kallas avdrag, men det är också en form av subvention. Detsamma gäller ränteavdraget. Man kan sänka sin skatt genom ränteavdraget på det lån man har på sin bostad. Inget av detta gäller för hyresrätter. Det finns dessutom en form av dubbelbeskattning på hyresfastigheter. Är inte dessa avdrag en form av subvention? Det viktigaste är inte vad man kallar det utan att det är en förmån. Vi kan se att skillnaden har vuxit mellan hyresrätt och ägd bostad när det gäller beskattningen. Det finns en skattemässig diskriminering, och den behöver vi rätta till. Det här med att snabba upp byggprocessen är en svår fråga, för det får inte hota rättssäkerheten. Men vi ska göra vad vi kan, och det pågår ett arbete. Bristande konkurrens är ett enormt problem som vi måste jobba vidare med, för det leder till dyrare byggande och i vissa fall till att det inte byggs alls. ","S"
"Mehmet Kaplan","Herr talman! Jag tackar Mats Green för den viktiga frågan och Nina Lundström, Ola Johansson och Hillevi Larsson, som tog upp viktiga aspekter på detta. En viktig bit av själva grundfrågan handlar om hur vi ser på vad som har hänt de senaste åtta åren. Vi kan luta oss tillbaka och tycka att det har varit en perfekt tid med väl avvägda förslag som har lett till att vi har ett fantastiskt läge där det knappt råder någon bostadsbrist.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag är inte av den åsikten att man ska skylla allt på tidigare regeringar, utan jag tror att vi måste vara konstruktiva och titta framåt. En del av min ansats i mitt svar handlar just om den konstruktiva hållningen. Det finns i dag en stor brist på hyresrätter och bostäder som vanliga människor har råd med. Bostadsbristen drabbar framför allt två grupper, unga och studenter samt människor som har en svag ekonomi. Hillevi Larsson redogjorde förtjänstfullt för detta. Efter flera decenniers bostadsbrist ser vi tydligt att marknaden inte ensam klarar av att hantera detta. Jag får därför inte ihop det när Ola Johansson helt enligt centerpartistisk tradition talar om att värna företagen och sedan i nästa mening säger att företagen nog inte behöver stöd. Jag får inte heller ihop det när Mats Green talar om två symboliska förslag i vår budgetproposition som röstades ned i kammaren. De 1,7 miljarderna och pengarna till skollokalsrenovering skulle, enligt Mats Green, vara små symboliska summor.  Å ena sidan tycker ni att det inte borde finnas några pengar till detta, å andra sidan tycker ni att det finns för lite pengar. Jag får ärligt talat inte ihop det, herr talman. Det är en dubbel negation. Antingen tycker Mats Green, Nina Lundström och Ola Johansson väldigt olika saker eller så framställer de det som att oavsett vad jag säger kommer jag att hamna på fel sida om den gräns de har satt upp. Damned if I do, damned if I don't. Den typen av logik har jag svårt att bemöta.  Vi har varit tydliga med att Sverige befinner sig i en svår situation med allvarlig bostadsbrist. Jag har räknat upp ett antal områden där vi har framfört idéer för hur vi ska få igång ett byggande som genererar fler bostäder.  Regeringens mål om 250 000 bostäder fram till 2020 ogillas av Mats Green. Om vi under slutet av denna mandatperiod har detta mål i sikte borde Mats Green och hans kolleger i oppositionen vara glada. Kan vi nå 300 000 fram till 2020 är det bara bra. Men hur man kan sätta upp ett vackert mål om 300 000 bostäder fram till 2020 och inte ha något annat aktivt bostadspolitiskt förslag än att lita på att marknaden ensam ska sköta detta med hjälp av regelförenklingar, som i och för sig är viktiga och bra, är för mig en gåta. ","MP"
"Mats Green","Herr talman! När vi stod här förra veckan och diskuterade motionsbehandlingen och det betänkandet konstaterade Centerns Ola Johansson att vi egentligen bara diskuterade Alliansens bostadspolitik av den enkla anledningen att det inte fanns något annat att diskutera.  Det är problemet. Ministern talar om en konstruktiv hållning. En konstruktiv hållning i min värld handlar om att göra något, inte bara prata. Det är det denna diskussion handlar om. Min uppfattning är att ministern verkar tro att hans uppdrag är att vara kommentator, att han ska kommentera och till vissa delar problematisera de bostadspolitiska utmaningarna rent allmänt. För en bostadsminister med ansvar för bostadsbyggandet är uppgiften inte att kommentera, herr talman. Uppgiften är att agera och leverera. Det är det all politik måste handla om.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Vidare kan jag inte tolka Hillevi Larssons inlägg på något annat sätt än att ni vill ta bort ränteavdraget. Jag skulle gärna vilja få ett klargörande i det. Återigen: Vad har regeringen för bostadspolitik? Det finns ju ingen, mina vänner.  Det statsrådet kallar en massiv satsning på energieffektivisering inom allmännyttan räcker snällt räknat till en duschblandare per lägenhet. Det är ingen massiv satsning.  Herr talman! Framför allt blir det inte en enda ny bostad i Sverige. Det blir bara nålpengar till redan befintliga bostäder. Det kommer inte att åstadkomma en enda ny bostad i någon del av Sverige för någon enskild människa. Det håller inte, mina vänner. Jag tycker inte att man ska slå sig för bröstet, för vi är alla överens om att vi har utmaningar som måste hanteras. Just därför är det förståeligt att vi inom Alliansen är ganska otåliga. Vi har ändå lyckats presentera ett stort antal förslag som regeringen har avvisat. Jag hade haft respekt för detta avvisande om ni hade haft ett alternativ, men ni har avvisat det utan att ha något eget alternativ över huvud taget. Herr talman! Att lägga stora samhällsutmaningar, som till exempel bostadspolitiken, och hanteringen av dem i malpåse är inte rätt väg för Sverige. Det är inte att visa respekt för de utmaningar enskilda människor står inför. Det är inte så utmaningar för enskilda människor och för Sverige i stort löses. Det håller inte. Ett statsråds uppgift är som sagt inte att kommentera. Ett statsråds uppgift är att agera och leverera, herr talman. ","M"
"Nina Lundström","Herr talman! Jag fick inte svar på min fråga om samplaneringen mellan kollektivtrafik och bostäder. Statsrådet sa i en tidigare debatt i kväll att han som statsråd inte ska lägga sig i hur många bostäder som byggs lokalt. Men om man ska gå in med medel för kollektivtrafik lokalt och regionalt har det i alla fall i Alliansens arbete varit viktigt att det också byggs bostäder, att det finns en samplanering. Jag kunde inte uttolka vad statsrådet menade. Apropå Hillevi Larssons diskussioner om prognoser och bostadsbyggande är Boverkets prognos för 2015 42 500 bostäder. För att göra en liten jämförelse var prognosen för 2005, då man anser att det byggdes väldigt mycket, 32 000 bostäder. Toppåret 2006 var det 35 000 bostäder. Mer än hälften av det som nu byggs - 42 500, enligt Boverkets prognos - är hyresrätter. Men vi är inte nöjda. Det kommer inte att räcka. Vi måste göra mer. Men rätt ska vara rätt - det har gjorts väldigt mycket åtgärder. Nu är den stora oron att vi inte vet vad regeringens politik innebär. Det är därför vi debatterar med statsrådet; det råder osäkerhet om vilken riktning bostadspolitiken ska ta. Vi har varit tydliga med att det handlar om långsiktiga spelregler och om att ta bort krångel och hinder. Det kostar pengar med långa processer. Det är orimligt att det i värsta fall tar tio år från idé till dess att huset står färdigt.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Osäkerheten gör att vi behöver diskutera frågorna. Osäkerhet är en risk, och det kostar pengar. Därför hoppas jag att statsrådet tar tillfället i akt att förklara om kollektivtrafik, ur statsrådets synpunkt, innebär att man också ska bygga bostäder. Varför ska man annars satsa? ","FP"
"Ola Johansson","Herr talman! Ja, vi lyssnar på företagen, ministern, och då hör vi dem säga: Vi önskar oss ingen finansiell dopning. Det gäller inte bara de privata fastighetsägarna och byggföretagen utan också allmännyttan. De önskar ingen finansiell dopning och inga fler subventioner. Nu vet vi inte var de eventuella miljarderna kommer att landa. Jag erkänner att finansieringen är en fråga som såväl byggindustrierna och Boverket som andra aktörer har lyft upp i debatten. Det är viktigt att komma till skott med den saken. Att ministern inte uttrycker sig tydligare än han gör tar oss inte närmare sanningen. Jag vill påstå att byggbranschen har ett eget ansvar för att se över sina kostnader. Det vore rent kontraproduktivt att utlova pengar till dem om ambitionen är att sänka byggkostnaderna. Kommunerna har ett ansvar för att ta fram planer som möjliggör ett bostadsbyggande som är anpassat efter det som behövs och där det behövs. Statens uppgift ska, som jag sa i mitt inledningsanförande, vara att investera i sådant som bygger Sverige starkt, nämligen infrastruktur, utbildning, civilsamhället, fritid, skolor och så vidare. Hillevi Larsson! Jag skulle vilja kommentera skattetrycket på byggandet. Det är en återhållande faktor. Skatter och avgifter utgör 35 procent av nyproduktionskostnaden för en bostad. Det är kanske i den ändan man ska börja i stället för att ställa olika boendeformer mot varandra. Det tjänar ingenting till. Den orättvisa beskattningen mellan olika upplåtelseformer är faktiskt något som Alliansen har tillsatt utredningar om. Dessa ligger nu på den nuvarande finansministerns bord, och vi väntar nyfiket och med spänning på konkreta förslag om hur hon vill utjämna beskattningen mellan olika boendeformer. På samma bord ligger också frågan om en kostnadschock på 2,4 miljarder för byggindustrin i samma ögonblick som arbetsgivaravgifterna höjs för unga under 25 år. 50 000 av dessa är anställda inom byggindustrin. ","C"
"Hillevi Larsson","Herr talman! Det är naturligtvis ingen självklarhet att gå på den skattemässiga diskrimineringen genom att ta bort de fördelar som finns för det ägda boendet. Man skulle i stället kunna angripa det från andra hållet och titta på vad vi kan göra för att minska den skattemässiga diskrimineringen av hyresrätten och på lång sikt kanske helt utradera den. Det ställer till stora problem att det är på det här sättet. Det här handlar inte om att gynna en viss boendeform. Det är ingen som säger att vi ska ha en omvänd skattemässig diskriminering där hyresrätten plötsligt ska gynnas på bekostnad av ägt boende. Vi behöver alla boendeformer. Den skattemässiga diskrimineringen i sig är orättvis och ställer dessutom till stora problem som drabbar de boende. När frågan utretts har man sett att en hyresgäst betalar mellan 11 000 och 40 000 kronor mer per år jämfört med den som bor i en ägd bostad. Det är ganska mycket pengar samtidigt som vi vet att många som bor i hyresrätt inte har så bra ekonomi.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag tror att det är viktigt att komma till rätta med det här, såväl för de enskildas skull - de som straffbeskattas och betalar extra - som för att komma igång med byggandet av hyresrätter och trycka ned hyresnivåerna så att fler har råd att bo i bostäder. Ett problem som har lyfts fram i den här debatten är att utmaningen inte bara är att bygga hyresrätter utan också att det måste finnas någon som har råd att bo i dem. Efterfrågan är viktig, och vi måste göra något. Man kan göra på olika sätt. Det har kommit många förslag som handlar om momsen vid byggandet, dubbelbeskattning - både bolagsskatter och fastighetsavgifter - och statligt stöd. Det finns alla möjliga varianter när det handlar om byggandet av hyresrätter. ","S"
