"Peter Hultqvist","Fru talman! Johan Forssell har frågat mig vad jag avser att göra för att ta fasta på slutsatsen i Utredningen om Sveriges internationella försvarspolitiska samarbetes rapport (Fö 2013:B), nämligen att en saklig prövning bör ske av vad ett svenskt medlemskap i Nato skulle innebära. Först och främst vill jag betona att den aktuella utredningen är ett välskrivet arbete samt att utredningen beslutades av min företrädare i den tidigare regeringen. Jag ser det också som viktigt att poängtera att utredningen, såsom utredaren själv framhållit, inte är en Natoutredning och att utredaren heller inte föreslår svenskt Natomedlemskap. Vi ser i dag ett försämrat omvärldsläge efter den ryska aggressionen i Ukraina och Rysslands utmanande uppträdande i närområdet. Vi måste i det här läget också vara realistiska när vi bedömer utvecklingen i närområdet. Vi måste vidare vara medvetna om att det även fortsättningsvis kommer att uppstå oförutsedda händelser. För att kunna hantera utvecklingen måste försvars- och säkerhetspolitiken medge ett flexibelt agerande. Vi måste kunna förekomma och hantera utmaningar och hot i Sverige och vårt närområde och, när det krävs, utanför vårt närområde.  En av de viktigaste frågorna vi har framför oss nu är att stärka den operativa förmågan hos det svenska försvaret för att höja tröskeln för den som skulle vilja angripa Sverige eller använda militära maktmedel för att utöva påtryckningar mot Sverige. Här blir försvarsbeslutet 2015 vägledande, då den ambitionsnivå Sverige visar där också utgör förutsättningen för våra internationella försvarspolitiska samarbeten. Den solidariska säkerhetspolitiken är grunden för den svenska försvars- och säkerhetspolitiken. Som Försvarsberedningen skriver omfattar den svenska unilaterala solidaritetsförklaringen EU-medlemmar samt Norge och Island. Hot mot freden och vår säkerhet avvärjs bäst i gemenskap och samverkan med andra länder.  Sverige är inte med i någon militär allians. Det går inte att se militära konflikter i vårt närområde som skulle påverka endast ett land. Sverige kommer inte att förhålla sig passivt om en katastrof eller ett angrepp skulle drabba ett annat EU-land eller nordiskt land. Vi förväntar oss att dessa länder agerar på samma sätt om Sverige drabbas. Sverige ska därför kunna ge och ta emot civilt och militärt stöd. Formerna för att realisera detta väljer vi tillsammans med våra samarbetspartner.  Regeringen ser goda möjligheter till fördjupade säkerhets- och försvarspolitiska samarbeten. Svensk säkerhetspolitik byggs på ett ökat samarbete inom Norden, Östersjöområdet, EU och FN. Vår första prioritet är att utveckla det fördjupade bilaterala samarbetet med Finland. Regeringen anser att samarbetet med Nato ska fortsätta att utvecklas inom ramen för det svenska partnerskapet.  Sveriges samarbete med Nato begränsas ytterst av att vi inte åtar oss försvarsförpliktelser. Förutsättningarna utvecklas exempelvis genom det nyligen undertecknade avtalet om värdlandsstöd (Host Nation Support) med Nato, vilket beräknas träda i kraft 2016 efter riksdagens behandling och efter att Sverige meddelat Nato att alla krav därmed uppfyllts. Även en väl fungerande transatlantisk relation är viktig för säkerheten i Sveriges närområde.  Sverige har nu anmälda förband till Natos snabbinsatsstyrkas (NRF) reservstyrkeregister NATO Response Forces Reserve Pool. Detta ger Sverige ökad interoperabilitet genom praktisk samverkan och tillgång till ytterligare standarder. Sverige har även erhållit möjligheter att utveckla vårt partnerskap med Nato med utgångspunkt i våra behov genom det så kallade Enhanced Opportunities Programme. Regeringen avser att återkomma till riksdagen med en redovisning av hur man avser att utveckla partnerskapet. En stor del av utredarens beskrivningar av de utmaningar vi står inför har också konstaterats av Försvarsberedningen. Vi har en lång tradition av bred politisk samsyn runt viktiga säkerhets- och försvarspolitiska vägval. Forumet för detta är Försvarsberedningen, och såväl statsministern som jag själv har varit tydliga med att Försvarsberedningens arbete, som sex av åtta riksdagspartier står bakom, gäller. Där tydliggörs att en begränsning som gäller för våra försvarspolitiska samarbeten är att vi inte åtar oss ömsesidiga försvarsförpliktelser.  Vi kommer inte att medverka till att riva upp eller underminera den överenskommelse som träffats i Försvarsberedningen, och därmed är det enligt vår mening inte heller aktuellt med en utredning avseende ett eventuellt svenskt Natomedlemskap. ","S"
"Johan Forssell","Fru talman och försvarsministern! Nato grundades 1949, och samma år myntade vi parollen om alliansfrihet i fred. Det syftade till neutralitet i krig och har följt med oss under många år sedan dess.  År 1949 var också året då Mao Zedong tog över Kina. Tage Erlander hade precis börjat sin statsministerperiod. Det svenska flygvapnet moderniserades och tillfördes det då hypermoderna Flygande tunnan, och i juni samma år upphörde vi faktiskt med den svenska köttransoneringen. Allt det där kan låta som en svunnen tid, och det är det också. Det är väldigt olikt den värld vi upplever i dag, 65 år senare, och jag tror inte att någon här inne skulle våga sätta likhetstecken mellan 1949 och 2014 - det räcker med att öppna en kartbok för att se att mycket har förändrats i sina grundvalar.  Trots alla förändringar är dock Sverige i dag, precis som 1949, militärt alliansfritt. Världen har förändrats på så väldigt många olika sätt, men vi utgår faktiskt mer eller mindre från ungefär samma karta som den vi hade 1949. Nu har vi dessutom en regering som har valt att ta ett ordentligt kliv tillbaka i tiden genom att i regeringsförklaringen säga att alliansfriheten inte bara har tjänat oss väl utan tjänar oss väl än i dag.  Det innebär att regeringen Löfven lämnar den överenskommelse den dåvarande regeringen Persson gjorde med de borgerliga partierna. Det beklagar jag. Vi ska nu tydligen tillbaka till det som gällde innan socialdemokratin moderniserades i de här frågorna, och ibland ställer man sig nästan frågan hur länge det dröjer innan vi återigen börjar tala om neutralitet. Fru talman! Jag vill tacka försvarsministern för svaret. Det är väl uppenbart att vi inte håller med varandra, men jag tycker också att svaret är fullt av motsägelser. Å ena sidan vill regeringen se mer av försvars- och säkerhetspolitiskt samarbete, vilket är bra. Å andra sidan får samarbetet inte ske med den enda organisation i världen som faktiskt har någon reell försvarspolitisk kapacitet. Dessutom får det bara ske i fredstid och alltså inte då man verkligen behöver ett försvarspolitiskt samarbete, nämligen i händelse av krig. Försök hitta logiken i det, den som kan. Vidare vill regeringen fördjupa samarbetet med Nato, och det är bra. Men om vi nu ska vara med och bidra med svenska soldater, svenskt försvarsmateriel och svenska skattepengar, varför då inte se till att vi också får tillbaka det allra viktigaste Nato kan erbjuda, nämligen säkerhetsgarantier? Vi ska inte heller åta oss ömsesidiga försvarspolitiska förpliktelser, håller regeringen som ett mantra. Det har vi dock redan gjort. Genom en solidaritetsförklaring har vi förbundit oss att försvara våra grannländer i händelse av krig. Den solidaritetsförklaringen har regeringen kvitterat i sin regeringsförklaring. Vi har alltså en regering som gärna åtar sig förpliktelser gentemot andra länder, men vi ska inte ta emot de förpliktelser vår omvärld vill åta sig gentemot oss. Det är mycket märkligt.  Återstår gör väl då argumentet att man inte ska utmana slutsatserna från Försvarsberedningen. Det står där att vårt samarbete med Nato ytterst begränsas av att vi inte åtar oss försvarsförpliktelser, vilket vi i och för sig alltså redan gör genom solidaritetsförklaringen.  Om nu beredningen är så avgörande vill jag gärna avsluta med en fråga. Det tog väl en vecka eller tio dagar från att den nya regeringen tillträdde till att Peter Hultqvist gick ut i medierna och talade om att återinföra värnplikten och att göra en utredning om det. Jag har läst igenom hela betänkandet från Försvarsberedningen, och det står ingenting om återinförd värnplikt där. Däremot står det på flera ställen om vikten av det frivilliga personalförsörjningssystemet.  Om försvarsministern inte vill utreda Nato med hänvisning till Försvarsberedningen, varför gick det då bra att kräva en utredning om återinförd värnplikt? ","M"
"Hans Wallmark","Fru talman! Jag tycker att det är en värdefull interpellation som väckts av Johan Forssell. Den handlar i grunden om den utredning det hänvisas till, nämligen Fö 2013:B. Det är en utredning om Sveriges internationella försvarspolitiska samarbeten gjord av Tomas Bertelman. Jag tycker att den är kolossalt intressant, och jag tycker att det är bra att den har kommit till stånd. Om man ska försöka sammanfatta de oerhört välskrivna sidorna kortfattat kan man säga att Bertelman pekar på att vi axlar ett stort ansvar. Vi har ingått många olika sorters förpliktelser, och vi är med i mycket. Vi saknar dock en väsentlig komponent: Vi har inte det skydd som finns i Natos artikel 5. Vi har inte den typen av bindande säkerhetsgarantier. Då skulle en tanke kunna vara att två länder som inte har den här typen av bindande säkerhetsgarantier men som bidrar med väldigt mycket, nämligen Sverige och Finland, tillsammans skulle utreda förutsättningarna för att gå vidare och ta nästa steg, exempelvis ett Natomedlemskap och vad det skulle kunna vara för för- och nackdelar med det. Själv tillhör jag ett parti, Moderaterna, som har ett partistämmobeslut om att det långsiktigt vore bra för Sverige om vi blev Natomedlemmar. Men jag har full respekt för att det finns de som har andra åsikter. Just därför tror jag att det kunde vara klokt om vi kunde mötas i ett samtal, en dialog och ett utbyte, gärna mellan Sverige och Finland, om hur Nato ser ut och vad vi skulle kunna få ut av ett Natomedlemskap. Sverige och Finland har ju likartade omvärldsvillkor och likartade utmaningar. Jag delar försvarsministerns bild som han beskriver i sitt svar på Johan Forssells interpellation, att vi ser ett försämrat omvärldsläge efter den ryska aggressionen i Ukraina och Rysslands utmanande uppträdande i närområdet och att vi i det här läget måste vara realistiska när vi bedömer utvecklingen i närområdet. Jag tror att det är helt korrekt att det är den nya normalbild som har uppstått. Vi ser det i form av ökad övningsverksamhet från flera länder. Vi ser det i form av ökad militär närvaro från flera länder. Vi ser det alldeles uppenbart i olika former av kränkningar, incidenter och annat i luften, på vattnet och under vattnet. Därför tycker jag att det skulle kunna finnas ett skäl att just nu, i ett läge där vi ser den här normalbilden och när vi har Bertelmans utredning, föra ett resonemang och fundera kring ett Natomedlemskap. Jag tror dessutom att vi har ett fönster av möjligheter nu. Som jag uppfattar det är många Natoländer, inklusive USA, fullständigt öppna för att Sverige och Finland skulle kunna ansluta sig. Vi har själva rådigheten över våra beslut. Och jag tycker att det är viktigt att vi markerar mot omvärlden att beslut om ett Natomedlemskap ska fattas i Sveriges riksdag i Stockholm och i Finlands riksdag i Helsingfors. Det är vi själva som ska fatta detta beslut. Johan Forssell berörde också detta med solidaritetsförklaringen. Något som är återkommande vid mina besök i Estland, Lettland och Litauen är att de frågar: Vad menar Sverige med solidaritetsförklaringen? Hur långt sträcker sig den? Ove Bring, vår folkrättsexpert, menar att det finns en folkrättsligt bindande klausul i solidaritetsförklaringen. Därför skulle det vara intressant att höra om försvarsministern delar den slutsatsen. Avslutningsvis: Jag känner försvarsministern också som en stor folkbildningsvän, och jag delar försvarsministerns syn att utredningen är ett mycket välskrivet arbete. Borde vi inte ha ett folkbildningsarbete nu om den här utredningen? Varför inte remittera den från Försvarsdepartementet till olika organisationer, förbund och andra som är intresserade av att delta i den svenska försvarsdebatten? Låt dem inkomma med remissvar, synpunkter och tankar på den! Det kommer säkert att finnas de som är positiva till det som är skrivet där, och det finns säkert de som är negativa. Jag tycker att vi kan vara stolta över folkbildningstraditionen, och vi hade kunnat vara stolta om vi hade haft en försvarsminister som hade velat medverka till den svenska folkbildningsandan. ","M"
"Jeff Ahl","Fru talman! Moderaterna har under åtta år degenererat vår försvarsförmåga till att enbart kunna försvara Sverige på en plats under en vecka - detta under förutsättning att EU14 är uppfyllt, vilket aldrig kommer att ske med Moderaternas verklighetsfrånvända försvarspolitik. Det visar återigen den budget ni har presenterat gemensamt med övriga borgerliga partier. Jag anser att Moderaterna bör börja i rätt ände och upprusta vår förmåga i stället för att utreda Natomedlemskap och därefter föra en diskussion om sådana frågor. Johan Forsell tar inte hänsyn till att vi ligger i Rysslands uttalade intressesfär. Vi har i dag ingen möjlighet att värja oss mer än maximalt några dygn vid en rysk aggression. Ändå vill Johan Forssell och Moderaterna fortsätta det hasardspel med svenska folkets säkerhet som man under åtta år har bedrivit. Ryssland har inget intresse av att Gotland ska bli en Nato-ö. Ryssland har visat att man är beredd att använda militärt våld för att försvara sina intressen. Ryssland har genomfört aggressioner mot två andra länder som flaggat för att gå med i Nato, först Georgien 2008, som för övrigt borde ha blivit en väckarklocka för alla, inklusive Socialdemokraterna, vilket inte skedde, och nu Ukraina, som även de har flaggat för att gå med i Nato. Svenska folket ska akta sig för Moderaterna och deras ansvarslöshet när det kommer till försvars- och säkerhetspolitik. Moderaterna har inget förtroendekapital kvar i försvars- och säkerhetspolitiska frågor. Vad vill då försvarsministern? Ska vi fortsätta med tandlösa fredstida samarbeten som inte ökar vår säkerhet mer än marginellt? Är det inte läge att åtminstone diskutera en försvarsallians med Finland, en försvarsallians som skulle ha tydliga defensiva intentioner? En majoritet av finska folket är för en sådan försvarsallians, och det finns finska försvarspolitiker som har uttryckt sig i den riktningen. Jag anser att det krävs en fördjupad diskussion och att vi inte enbart ska ha ett Natoperspektiv utan också ska se till vårt närområde och Finland, som i dag inte är med i Nato. Jag undrar vad försvarsministern anser om detta.   ","SD"
"Peter Hultqvist","Fru talman! Jag tackar så mycket för inläggen. Vi kan börja med att värdera det stora arbete som Försvarsberedningen gjorde. Där har man tittat på utvecklingen i USA, Kina, Asien, Ryssland, Ukraina, Europa, Oceanien - i stort sett alla delar av världen, också Mellanöstern. Därefter har man gjort en säkerhetspolitisk avvägning med, som jag tycker, både intressanta och relevanta prioriteringar. Det var inte så att Moderaterna i Försvarsberedningen reserverade sig mot detta i någon mening och förordade att vi skulle gå in i ett Natomedlemskap, utan där var även Moderaterna med och konstaterade att gränsen går vid kollektiva självförsvarsförpliktelser.  Så ser sanningen och verkligheten ut, och det här var i maj i år. Frågan är då: Gäller det som sades i maj också i november? Jag menar att det här är en lite bredare fråga än bara den rent partipolitiska. Här handlar det om att så småningom få ihop en bred majoritet i riksdagen för en inriktningsproposition som vi förväntas återkomma med någon gång i vår, efter att ha fört omfattande diskussioner tillsammans med de andra partierna. I Försvarsberedningen markerade vi att det svensk-finska samarbetet ska utvecklas på ett djupt och ordentligt sätt. Vi pekade till och med på möjligheten att utbyta information om försvarsplanering. Jag och min motsvarighet i Finland och försvarsmakterna arbetar nu tillsammans med att ta fram en omfattande rapport om hur detta samarbete ska kunna fördjupas. Det gäller luftlägesinformation, användande av gemensamma ankarplatser, användande av alternativa flygbaser, utbyte av personal, övning, utbildning - en lång rad saker. Gemensamma förband finns också med i sammanhanget. Perspektivet är då fredstida. Vi kommer också att se över vilka lagförändringar och regelförändringar som är nödvändiga för att fördjupa samarbetet. Nordefco är en annan sak som vi var överens om och som vi utvecklade. Jag tror att vi hade 130 projekt tillsammans där förra året. När det gäller partnerskapet med Nato, som vi ingick 1994, har vi nu tre stora utmaningar framför oss: Nato Responce Force, Host Nation Support-avtalet, värdlandsavtalet, som riksdagen ska ta ställning till 2016. Vi har också EOP, där vi tillsammans med Finland, Australien, Jordanien och Georgien utgör en särskild grupp länder. Det gäller att ta initiativ där och vara med och utveckla samarbetet. Vi har också EU och FN, och utöver detta har vi den transatlantiska länken. Detta är alltså en omfattande utmaning att ta tag i och driva på i olika dimensioner och på olika nivåer. Det är något som måste utvecklas genom ett återkommande arbete i vardagen med deltagande i övningar, aktiviteter och internationella operationer där man jobbar tillsammans med ett brett perspektiv. Det här är något som vetter framåt. Det här är inte 1949, utan det är 2014 och framåt. Det här sysslade vi inte med på den tiden, men det gör vi nu. Det här har vi varit överens om, och det är en linje som vi följer. Min fråga är: Varför gäller inte det som gällde i maj också i november? Varför svajar ni? ","S"
"Johan Forssell","Fru talman! Det är intressant att Jeff Ahl från Sverigedemokraterna talar om vad som ligger i Rysslands intresse. Jag föredrar att tala om vad som ligger i vår nations intresse. Jag tror att Putin själv klarar av att berätta vad som ligger i hans lands intresse, och jag är inte säker på att det som ligger i Rysslands intresse ligger i Sveriges intresse. Det är intressant i försvars- och säkerhetspolitiken. Vänsterpartiet och Sverigedemokraterna utpekar ofta varandra som motpoler i politiken, men när det handlar om dessa frågor ser vi att den politiska skalan inte är avlång utan cirkelformad.  När det handlar om försvarsfrågorna bildar Sverigedemokraterna och Vänsterpartiet något av en ohelig allians med isolationismen som främsta kännetecken. Vi såg prov på det i inställningen till Afghanistan, när det gällde insatsen i Libyen, när det gällde Nordic Battlegroup och så vidare. Man vill göra upp med den svenska tradition som har gjort vårt land starkt. Vi tar ansvar inte bara för det som händer inom vårt lands gränser utan också i omvärlden. Det vore beklagligt om vi släppte den idén. Jag vet inte om jag fick något riktigt svar från försvarsministern på min fråga om utredningar. Det tog kanske tio dagar så ville försvarsministern utreda värnpliktens återinförande, trots att han satte sin signatur under att det frivilliga personalförsörjningssystemet fungerar bra. Eftersom försvarsministern använde detta argument måste jag upprepa frågan: Varför går det bra att utreda det ena men inte det andra? Interpellationen handlar inte om ja eller nej till Nato. Den handlar om huruvida vi ska utreda och göra en saklig prövning av Natofrågan eller inte. Jag tror att vi behöver få svar på våra frågor. Hur skulle detta påverka Sverige? Det handlar inte bara om krigstid utan också om fredstid när det gäller rekrytering av soldater, ny materiel och övningsverksamhet. Här inryms en rad aspekter på hur detta skulle påverka Sveriges möjlighet att föra en självständig utrikespolitik, vilket vi ofta hör om i debatten. Jag hoppas att vi kan vara eniga om att kunskap är bra. Det undanröjer missförstånd, rätar ut frågetecken och gör att debatten kan handla om de politiska skiljelinjer som finns. Jag har deltagit i många debatter med försvarsministern. Hade jag fått tio kronor varje gång försvarsministern uppmanade andra att släppa skygglapparna, tala klarspråk och våga se verkligheten hade det blivit en stor summa pengar.  Jag hoppas att denna kloka inställning inte bara gäller i opposition utan också i regeringsställning, att det inte bara var tomma ord. Det är inte bra att tabubelägga sådana här viktiga frågor. Det skapar inte förtroende. Det är aldrig bra att sopa sådant här under mattan. Låt oss i stället ta vara på ambassadör Bertelmans synnerligen välskrivna och välmotiverade utredning och se till att vi får en ordentlig prövning av frågan. Sedan kan vi utifrån mer fakta och kunskap ta denna debatt. ","M"
"Hans Wallmark","Fru talman! I försvarsministerns förra inlägg pekade han på hur Försvarsberedningen funderat på en mängd olika områden. Han räknade upp i princip alla delar av världen och nämnde bland annat Mellanöstern. Det är alldeles riktigt. Vi har funderat och definierat hur det kan påverka rent säkerhetspolitiskt. Men ingenstans i Försvarsberedningens rapport kan vi läsa att man uttalar sig för ett erkännande av staten Palestina. Jag är dock inte förvånad över att S- och MP-regeringen framför detta. Det har varit ett kongressbeslut hos Socialdemokraterna, och det finns ett starkt vänstertryck från det regeringsunderlag denna regering vilar på.  Men vi kan inte i Försvarsberedningens rapport och analys av Mellanöstern läsa ut att man är för att erkänna staten Palestina, snarare tvärtom - i alla fall om vi hade frågat merparten av ledamöterna. Precis som Johan Forssell påpekar är det inte en fråga om ja eller nej till Nato just nu utan en fråga om att vi borde analysera, fundera och resonera kring det. Det finns goda skäl till att ta detta steg. Det ena är den nya normalbilden, som försvarsministern själv redogör för i sitt svar. Det andra är att vi har Bertelmans utredning som är ett alldeles utmärkt dokument och som det finns anledning att fundera vidare på. Det skulle som sagt vara i svensk folkbildningstradition att försvarsministern skickade ut denna från Försvarsdepartementet på bred remiss, förde en dialog och inhämtade synpunkter. Jag tycker att man också skulle kunna göra det i ett format tillsammans med Finland så att man kan definiera och fundera igenom. Vad gäller icke besvarade frågor finns det en kvar, och det är den om solidaritetsförklaringen. Vad betyder den egentligen? Om den är folkrättsligt bindande har vi redan iklätt oss olika former av förpliktelser. Då kan man lika gärna ha den typ av säkerhetsförpliktelser som Nato erbjuder. Min kollega Johan Forssell sade att det var intressant att man från riksdagens talarstol definierar svensk politik i relation till vad Ryssland tycker, tänker och känner. Johan Forssell är en mycket snäll person. Jag skulle använda orden \"ogillar\" eller \"direkt obra\". Svensk politik definieras i Sverige, inte i Moskva. ","M"
"Jeff Ahl","Fru talman! Man kan nästan tro att Moderaterna medvetet har nedrustat den svenska försvarsförmågan för att kunna föra denna typ av resonemang. Under åtta år valde ni att nedrusta Sveriges försvarsförmåga från dålig till ingenting.  Ni ska inte stå här och tala om att vi ska ta beslut i riksdagen när ni har tagit beslut som har gått rakt emot intentionen att stärka vår säkerhetspolitiska profil i Norden. Vi är i dag ett säkerhetspolitiskt svart tomrum i Norden. Vi bidrar till att skapa instabilitet, och vi riskerar våra grannars säkerhet genom den oansvariga politik som ni har bedrivit. Floskler och fina ord höjer inte vår försvarsförmåga, oavsett vad Moderaterna tror. Överfallet på Georgien 2008 borde ha varit en ögonöppnare för alla i kammaren, inklusive försvarsministerns socialdemokrater som 2010 föreslog en nedrustning i den skuggbudget man lade fram tillsammans med Miljöpartiet och Vänsterpartiet.  Låt mig återgå till frågan om försvarsallianser. Försvarsplanering och unilaterala, multilaterala och bilaterala solidaritetsförklaringar förstärker att vi redan har frångått vår alliansfrihet. Det är synd att försvarsministern inte vill fördjupa diskussionen om att ta klivet fullt ut och ingå en försvarsallians med Finland. Både vi och Finland har tydliga defensiva intentioner. Ett sådant steg skulle inte riskera att provocera fram en rysk aggression - något som Moderaterna inte har förståelse för att vi faktiskt kan göra. Gotland är en strategiskt viktig del i Östersjön, men ni tar inte hänsyn till det. Vi kan inte värja oss i dag med den nedrustade försvarsförmåga som ni har bidragit till. ","SD"
"Fredrik Schulte","Fru talman! Det råder ingen tvekan om att det försvarspolitiska läget har förändrats markant under det senaste året. Det föranleder att vi gör en del omprioriteringar i förhållande till vad som var fallet för bara några år sedan. Försvarsberedningen har konstaterat att det svenska försvaret behöver stärkas. Det gick vi i Alliansen till val på, och det satte försvarsministern sin namnteckning på i Försvarsberedningen. Det handlade om en anslagsökning på ungefär 4 miljarder under denna mandatperiod. Mot bakgrund av att det säkerhetspolitiska läget är mer oroande på grund av det som Putin håller på med i öst börjar vi på nytt få en situation i Sverige då vi på allvar börjar ifrågasätta i vilken utsträckning vi kan säkra vårt försvar. För två veckor sedan visade en opinionsundersökning att på grund av svenska folkets oro finns det för första gången sedan mätningarna började göras en majoritet för att Sverige ska ansluta sig till Nato. Detta föranleder att det bör göras en omprövning i frågan. Eftersom det finns en ny hotbild och ett folkligt stöd borde man ställa sig frågan om detta inte borde övervägas. Det är inte fråga om att ändra position gentemot Försvarsberedningens beslut, utan det handlar helt enkelt om att pröva förslaget. Jag ställer mig lite frågande till hur försvarsministern resonerar när han anklagar Moderaterna för att inte följa Försvarsberedningens överenskommelse. I överenskommelsen handlar det som sagt om upprustning på ungefär 4 miljarder, och om man tittar på den budget som försvarsministern lagt fram ser det ut som att vi når de målen. Men samtidigt föreslår finansministern i andra änden att man ska slopa den nedsatta ungdomsarbetsgivaravgiften. Eftersom försvaret håller på att bli en av Sveriges största ungdomsarbetsgivare handlar det om ganska omfattande belopp. Vi pratar om i runda slängar 300 miljoner som försvinner från Försvarsmakten och som den socialdemokratiska regeringen inte kompenserar för. Om det är någon i den här kammaren som har frånträtt den överenskommelse man hade i Försvarsberedningen är det Socialdemokraterna, som nu gör en indirekt och dold besparing på försvaret. Jag skulle vilja veta hur försvarsministern ställer sig till detta. Sedan vänder jag mig till Sverigedemokraterna, som jag tycker för en närmast löjeväckande argumentation. Om man tittar på inflationen och räknar på hur stor försvarsbudgeten är i dag mot hur stor den var 2006 ser man att vi ligger kvar på exakt samma nivå. Vi har moderniserat och gjort en omställning av försvaret som har gjort det mer dugligt och anpassat till en ny tid. Därmed är det inte sagt att det inte finns utmaningar. Den försvarsorganisation vi har haft som ambition att implementera har inte blivit implementerad ännu, men att påstå att det skulle ha skett några drakoniska besparingar på försvaret är bara just detta: löjeväckande. ","M"
"Peter Hultqvist","Fru talman! Den här debatten börjar spänna över väldigt breda fält och många dimensioner. Det är min bestämda uppfattning att det tog lång tid innan Moderaterna blev tvungna att acceptera världen som den såg ut. Jag kommer ihåg det starka motståndet från det partiet när vi började peka på utvecklingen i Ryssland - hur man rustade upp, hur man övade, hur man blev alltmer auktoritär och hur man betedde sig på olika sätt. Inte förrän det som skedde i Ukraina inträffade blev det någon sorts förändring och acceptans för en mer realistisk verklighetsbild. Ni har ett bagage att släpa på här. Jag blir lite kluven när jag nu hör om den förändrade normalbilden och så vidare. Det var svårt att driva fram er till den insikten, men verkligheten tvingade er väl att anpassa er till slut. Det var mycket skönmålning och många oövervägda beslut under er tid, när ni hade ansvar för den här typen av frågor, men vi lyckades på något sätt ändå komma överens i Försvarsberedningen. Om man säger att vi skulle ha frånträtt någonting med ekonomin är frågan: Hur räknar man i den ekvationen in att vi med omedelbar verkan blev tvungna att lägga en och en halv miljard i nya pengar för att klara av det hål som blev efter den uteblivna affären med Schweiz? Det här är inte bara politisk retorik utan också realiteter. Det var mycket pengar man blev tvungen att plocka fram för att klara av en akut situation och för att över huvud taget kunna gå vidare. Nu står vi inför inriktningsbeslutet. Där kommer prövningens stund för oss allihop, om vi nu kan samla ihop oss till en fortsatt strategi. Då kommer vi till hur vi ska finansiera personal och materiel och hur vi ska klara av de internationella samarbetena. Jag hoppas att det fortfarande finns en majoritet nästa vår för någonting genomförbart bland de sex partier som nu har sagt sig stå bakom Försvarsberedningen i denna kammare. Vi har i regeringsförklaringen gjort tydligt att Natomedlemskap och ansökan inte är aktuellt för oss. Det är ingen nyhet för någon. Det motsatta hade varit en nyhet. Om man har den grundståndpunkten blir det inte särskilt logiskt att börja utreda ett Natomedlemskap. Man ska ha klart för sig att bara det att man utreder innebär en grundläggande förändring av hållningen när det gäller försvars- och säkerhetspolitiken. Det är en signal som kommer att tas emot på olika ställen och som är början på någonting annat. Det jag har lagt upp på bordet och berättat om här - alla samarbeten och utmaningar, där partnerskapet med Nato ingår - innebär en oerhörd kraftansträngning att klara av. Det jag säger om Finland är heller inga småsaker, för det är en positionsförflyttning. Jag hoppas att det noteras att jag säger att vi är beredda att titta på lagar och regelverk för hur vi ska ta oss fram i denna svåra fråga. Det är nya positioneringar. Jag är inte en man som vill gå händelserna i förväg i detta sammanhang, men regeringen har i regeringsförklaringen markerat att den svensk-finska utvecklingen är väldigt viktig inför framtiden. ","S"
