"Anders Ygeman","Fru talman!  Beatrice Ask har frågat justitie- och migrationsminister Morgan Johansson om han och regeringen kommer att ta initiativ till skärpt lagstiftning i arbetet mot bostadsinbrott. Hon har även frågat ministern vilka ytterligare åtgärder han anser erforderliga för bättre lagföring när det gäller bostadsinbrott. Interpellationen har överlämnats till mig. Frågan om skärpt lagstiftning beträffande bland annat bostadsinbrott har behandlats av Egendomsskyddsutredningen i betänkandet <em>Stärkt straffrättsligt skydd för egendom</em>. Betänkandet har remitterats, och regeringen kommer under den fortsatta beredningen att ta ställning till om straffbestämmelserna för tillgrepp som sker efter intrång i bostad behöver ändras. Utgångspunkten är att straffsatserna inte är avgörande. För dem som blir drabbade av inbrott är det viktigaste att brotten utreds och klaras upp. I dag ligger uppklaringen på låga 5 procent för bostadsinbrott. För att bemöta brister när det gäller antalet bostadsinbrott som kan klaras upp bör de brottsbekämpande myndigheternas arbete stå i fokus. Den nyligen genomförda omorganisationen av polisen till en myndighet skapar nya möjligheter för att sprida resurser, information och underrättelser över landet. Det förbättrar möjligheten till samordning av ärenden, bland annat vid bostadsinbrott som begås av organiserade och kriminella ligor. Regeringen har i Polismyndighetens regleringsbrev för 2015 lyft fram behovet av att säkerställa att polisens brottsbekämpande verksamhet bedrivs underrättelsestyrt och utifrån identifierade problembilder samt i enlighet med polisens nationella utredningsdirektiv. Regeringen ser utvecklingen av dessa kärnprocesser som avgörande för polisens förmåga att bekämpa alla typer av brottslighet, inte minst bostadsinbrott. Utöver polisens arbete med att klara upp begångna brott är det viktigt att framhålla arbetet med att förebygga brott. Oavsett om brottet klaras upp eller inte består integritetskränkningen hos den som drabbas. Därför måste det förebyggande arbetet stärkas i syfte att öka upptäcktsrisken och därigenom förhindra att brott över huvud taget begås. Regeringen har för avsikt att under våren lägga fram nya förslag på det brottsförebyggande området. ","S"
"Beatrice Ask","Fru talman! Jag tackar inrikesministern för svaret, även om jag ställde frågan till justitieministern. Det är inte helt enkelt att reda ut vem som har ansvar för vad. Det är uppenbart att regeringen helst inte vill prata om det jag frågade om, nämligen påföljderna för att bryta sig in och stjäla i folks hem. Regeringen anser tydligen inte att straffsatserna har någon betydelse när det gäller bostadsinbrott. Jag delar inte den uppfattningen.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Förra året anmäldes 22 400 bostadsinbrott. Det är en ökning med 6 procent. Bakom statistiken ligger uppbrutna dörrar, fönster och altaningångar, försvunna ägodelar, sönderslagna hem och - för många - oro och ibland personliga tragedier. Inte minst många äldre och ensamma drabbas oerhört hårt av den kränkning som ett bostadsinbrott innebär eller om någon har varit och huserat i fritidshuset. En del vågar inte bo kvar, och andra blir sjuka, deprimerade och får ångest. Påföljder brukar svara mot hur allvarligt samhället ser på ett brott. Regeringen tycker tydligen inte att bostadsinbrotten är så allvarliga. Det går inte att tolka svaret på något annat sätt. I dag får ungefär hälften av dem som döms för bostadsinbrott villkorligt fängelse. Det blir liksom ingenting. Det finns undantag av alla möjliga slag som gör att resultatet av att tränga sig in i någons hem och förstöra någons liv nästan inte blir någonting. Detta är allvarligt därför att påföljderna spelar roll. Det problem jag tyckte att vi behövde diskutera är det faktum att lagstiftaren har varit väldigt fokuserad på värdet av stulna saker men inte på något sätt tagit intryck av den kränkning och de konsekvenser brottet får för de människor som drabbas. Det måste vi komma till rätta med. Att detta är allvarligt är skälet till att Alliansen förordar ett särskilt brott och vill ha skärpt lagstiftning. Vi menar att samhällets syn på denna typ av kränkning måste justeras. Inrikesministern tycker att det är viktigare att utreda och klara upp brotten. Jag ser inte någon konflikt mellan påföljd och önskemålet om effektivare utredning och lagföring. Tvärtom är det tyvärr så att poliser ofta överdriver betydelsen av vilken påföljdsnivå som finns när man ska prioritera ärenden. Man tycker inte att brott som leder till låga straff är särskilt viktiga. Det här är en signal in i polisorganisationen om hur allvarligt detta är. Det är riktigt att uppklaringen av bostadsinbrott är låg, men det finns stora variationer. Jag delar uppfattningen att det går att förbättra resultaten. Däremot förstår jag inte riktigt svaret. Anders Ygeman får gärna förklara lite grann om kärnprocesserna för mig och vad man tänker konkret när man skriver \"lyft fram behovet av att säkerställa att polisens brottsbekämpande verksamhet bedrivs underrättelsestyrt . i enlighet med polisens nationella utredningsdirektiv\". Vad är det en polis ska göra när någon har brutit sig in i en villa? Hur ska man angripa ett tiotal villainbrott på kort tid i Blekinge eller någon annan explosion av bostadsinbrott? De kommer liksom i skov. Jag blir bekymrad när man i det här sammanhanget börjar prata om brottsförebyggande åtgärder. Om det är något folk gör är det att brottsförebygga. Jag återkommer till det i mitt nästa anförande. ","M"
"Ellen Juntti","Fru talman, statsrådet! Som Beatrice Ask sa alldeles nyss tycker vi moderater att inbrottsstölder i bostäder är mycket allvarliga brott. Tyvärr klaras väldigt få brott upp, och för dem som klaras upp blir det mycket lindriga straff - i ungefär hälften av fallen blir det inte fängelse.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Som Beatrice Ask nämnde vill vi införa ett nytt brott, inbrottsstöld, och höja minimistraffet från sex månader till tolv månader. Vi tror att det ger en tydlig signal till poliserna att de ska prioritera detta brott. Vi tror att den lagändringen skulle vara förebyggande, med färre inbrottsstölder. Inbrottsstölder är ofta seriebrottslighet. Det betyder att man begår brott gång efter gång, inte bara en gång. Då behöver man bara använda lite sunt bondförnuft: Ju längre tid du sitter i fängelse, desto mindre möjlighet att begå dessa brott gång efter gång. Innan jag kom in i riksdagen 2010 jobbade jag som kriminalinspektör i Göteborg. Jag började på kriminalpolisen 1982. Det var för 33 år sedan. Jag började på stöldroteln. En av de första utredningar som jag hade gällde en gammal tant i 80-årsåldern som hade haft inbrott i sin lägenhet. Förhöret gick bra - det var inga krångligheter där. Sedan skulle hon hem. Men hon ville inte hem, för hon var så oerhört rädd. Det är 33 år sedan, och jag kommer fortfarande ihåg den gamla tantens rädsla. Hon ville inte hem. Jag tycker att vi ska göra allt vad vi kan för att så få 80-åriga tanter som möjligt blir drabbade av detta. Därför vill jag fråga statsrådet: Varför vill inte Socialdemokraterna skärpa straffen? Vill inte statsrådet att så få 80-åriga tanter som möjligt ska slippa vara rädda för att gå hem? ","M"
"Annika Hirvonen","Fru talman! Ellen Juntti pratar om de 80-åriga tanterna och om straffskärpningar som lösningen på dessa rädda människors problem. Men problemet är att straffskärpningar inte leder till färre inbrott. Av egen erfarenhet kan jag säga att det inte heller leder till minskad rädsla för den som väl har drabbats av brott. Det som däremot spelar roll är samhällets förmåga att förebygga att brott begås, att klara upp de brott som begås och att se till att de människor som vi har tagit fast och har inom kriminalvården inte återfaller i brott. Den forskning som finns visar att högre straff för än det ena, än det andra inte leder till något av dessa tre mål. Ni talar om att öka prioriteten för dessa brott. Min fråga till Moderaterna, efter åtta år i ledningen i Justitiedepartementet, är: Varför misslyckades ni då med de här frågorna? Om man höjer straffen för det här brottet - och de 35 andra brott som Moderaterna, Folkpartiet, Kristdemokraterna, Centerpartiet och Sverigedemokraterna sammanlagt föreslår straffskärpningar på - hur menar ni att det ska leda till att polisen kommer att prioritera bättre? Vilka brott är det polisen ska prioritera ned? Någonstans behöver vi landa i vad som faktiskt fungerar. Att högre straff för allt är det som kommer att leda till färre brott eller mer uppklaring bygger mer på önsketänkande än på fakta. ","MP"
"Anders Ygeman","Fru talman! Jag har en dålig nyhet för interpellanten och debattörerna från den moderata sidan: Det är inte alls 50 procent som får fängelse. Det är inte ens 25 procent som får fängelse av dem som begår inbrott. Efter åtta år med borgerlig regering är det nämligen 5 procent av bostadsinbrotten som klaras upp. Det innebär att 95 procent går fria och inte hamnar i fängelse - 95 procent! Under er tid vid makten höjde ni diverse straff. Ledde det till att uppklaringsprocenten ökade på det sätt som Beatrice Ask beskrev? Det finns ingen motsättning - man kan göra både och. Nej, uppklaringsprocenten sjönk under er tid vid makten. Det finns inget forskningsstöd för att strängare straff leder till vare sig lägre brottslighet eller högre uppklaring.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Vi har i dag den nivå på straff på bostadsinbrott som vi har haft under den borgerliga regeringen. Nu har det kommit en utredning. Vi ska se över frågan och se om det finns anledning att skärpa straffen på någon punkt - à la bonne heure. Men att tro eller vara så fräck att man förespeglar medborgarna att detta skulle leda till att en massa brott klaras upp eller att den gamla dam som du talar om, Ellen Juntti, skulle våga gå hem är att vara djupt oärlig. Ska vi ordna brottsuppklaringen är det helt andra åtgärder som måste till. Vi måste, som vi sade i debatten tidigare med Anti Avsan, ha långtgående förstahandsåtgärder. Vi måste ha brottsförebyggande verksamhet från polisen. Det måste finnas polisiär närvaro i lokalsamhället på de tider då brott begås så att man kan se till att brott inte begås och - om det begås brott - att gärningsmännen kan gripas. Vi måste ha tekniska undersökningar på plats när det görs bostadsinbrott. Vi måste utveckla våra metoder. Under den tidigare regeringens tid hade vi faktiskt ett framgångsrikt projekt i Stockholm som kallades Brålean på fikonspråk. Vad handlade det om? Jo, det handlade om bättre kanaler mellan dem som leder förundersökningen och poliser ute på fältet. Det ökade uppklaringen. Med verksamhetsutveckling långt ute, att låta poliserna vara poliser och att fokusera på sådant som forskningen säger hjälper, där det finns forskningsstöd för att klara att lösa fler brott och sätta fler bovar i fängelse, kanske vi kan komma över de 5 procent i uppklaring av bostadsinbrott som vi hade under åtta år med borgerlig regering, så att fler av de 95 procent som i dag går fria kan sättas bakom låt oss och bom. ","S"
"Beatrice Ask","Fru talman! Jag tycker faktiskt att vi ska prata om saker på rätt sätt. Det är inte så att påföljden klarar upp brott. Det är inte syftet. Påföljden har man för att få en konsekvens av ett brott. Det är väldigt viktigt. Påföljden signalerar med vilket allvar samhället ser på ett brott. Vi menar att synen på bostadsinbrott är för lindrig i förhållande till den kränkning som uppstår. Det har inte med uppklaring, polisens utredningsarbete eller något annat att göra. Det är en sammanblandning som egentligen är att förenkla till idioti. Däremot har sträng påföljd när det gäller bostadsinbrott betydelse. Man kan prata med vilken polis som helst. Om den lokala tjuven sitter inspärrad begås det färre bostadsinbrott. Så är det alltid. Vi har säsongsvariationer. Polisen vet ofta att när de släpper ut vissa återkommer de som lokala tjuvar vid inbrott; det finns ett samband. När det gäller påföljder och fängelsestraff är det många brottsoffer som känner sig lugnare när de vet att förövaren sitter inne. Det är ganska mänskligt att det är på det sättet. Men det är inte skälet till en lång påföljd. Påföljden ska enligt min mening spegla det allvar som samhället ser på brottet med. Jag tycker att det är sorgligt att Socialdemokraterna inte vill diskutera påföljderna och vilken betydelse de kan ha i det här sammanhanget. Men jag förstår att ni har fått lägga er platt för Miljöpartiet, som uppenbarligen inte har någon kompetens över huvud taget på området. Det är oseriöst att blanda ihop de här begreppen. Sedan hävdar man att man kan allt om all forskning i världen. Jag lovar att jag kan plocka fram forskning som visar att detta har en viss poäng också.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Varför misslyckades alliansregeringen? Så kan man inte heller ställa frågan. Bekämpningen av bostadsinbrott har utvecklats under senare år. I mitt inledningsanförande tog jag upp att vi ser ganska stora variationer i hur man lyckas klara upp bostadsinbrott, vilket leder mig till att man faktiskt kan förbättra en del. Däremot tror jag inte att vi någonsin kommer att nå 100 procents uppklaring, av det enkla skälet att bostadsinbrotten är besvärliga. Dels anmäler alla bostadsinbrott därför att man har sin hemförsäkring, dels går dessa brott mycket snabbt.  Jag tror inte att ens en socialdemokratisk och miljöpartistisk regering kommer att ha poliser som cirkulerar i villaområden på dagtid eller på andra tider när denna typ av bostadsinbrott begås i många olika sammanhang. Landsbygden är fylld av bostäder och fritidshus där det rimligen inte går att ha polisen på plats hela tiden för att på det sättet skydda människor från denna typ av inbrott. Likväl måste man göra någonting.  Jag tycker att det ska bli spännande att se vilka brottsförebyggande insatser som regeringen kommer att återkomma till konkret.  Det som jag gärna vill säga när det gäller bostadsinbrott är att medborgarnas brottsförebyggande insatser i detta sammanhang är enorma. De flesta av oss har lås på dörrarna, och företagen som säljer larm och övervakning går som tåget därför att väldigt många anser att de måste köpa denna typ av tjänster. Vi har mycket aktivitet kring grannsamverkan och mycket annat. Så nog görs det en hel del brottsförebyggande.  Men vi mäktar inte med både den lokala kriminaliteten och de kringresande och turnerande ligorna som specialiserar sig på bostadsinbrott runt om i landet. Det är komplicerande ärenden. Då hjälper inte alltid dessa åtgärder, utan det krävs naturligtvis också en helhetssyn. I det sammanhanget har påföljdsnivån faktiskt betydelse. Det går inte att fåna bort som om det skulle vara någonting som vi ser som den enda lösningen. Det är en del i ett viktigt arbete.  ","M"
"Ellen Juntti","Fru talman! I statsrådets svar till Beatrice Ask står det, som statsrådet nämnde, att utgångspunkten är att straffsatserna inte är avgörande och att det viktigaste är att brotten utreds och klaras upp. Ja, det är viktigt. Men jag tycker att det också är viktigt att inbrottstjuvarna inte kan göra nya inbrott gång efter gång. I och med att det är seriebrottslighet är det ofta så att dessa personer inte gör bara ett inbrott.  Det står också i svaret att bostadsinbrotten begås av organiserade och kriminella ligor. Det betyder också att de gör inbrott gång efter gång. Då är det självklart att om de sitter ett halvår längre i fängelse kan de i alla fall inte göra inbrott under det extra halvår som de sitter i fängelse. Alltså måste det naturligtvis påverka brottsligheten någonstans. Det behöver man inte så mycket forskning för att inse. Det räcker egentligen med sunt bondförnuft. Sedan inser jag att det inte är bara detta som löser allting utan att det behövs många olika åtgärder.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Statsrådet sade också att gärningsmännen måste gripas. Det tycker jag också. Men vad gör man sedan? Ska man bara släppa ut dem direkt? Då påverkar det verkligen brottsligheten. Jag tycker faktiskt att det ska vara riktiga och rejäla straff. Inbrottstjuvar som skadar människor förtjänar ett bra tag bakom lås och bom. Jag tänker bland annat på den gamla tant som jag har talat om och som fortfarande berör mig efter 33 år.  Min fråga till statsrådet är: Anser statsrådet på fullt allvar att längre fängelsestraff inte har någon effekt över huvud taget på brottsligheten? ","M"
"Annika Hirvonen","Fru talman! Vi lämnar nu bakom oss åtta år av ensidigt fokus på högre straff och hårdare tag, då uppklaringsprocenten har minskat i stället för att ha ökat.  Nu går Miljöpartiet och Socialdemokraterna tillsammans in med inställningen att vi ska se till att vidta de åtgärder som vi vet fungerar. Vi ska sätta fokus på att klara upp fler brott. Det är det allra viktigaste för att människor inte ska känna rädsla för bostadsinbrott.  Det är klart att Ellen Juntti har rätt i att man under den tid som man sitter i fängelse inte begår brott. Men om vi beaktar det faktum att det är bara 5 procent av dem som begår bostadsinbrott som åker fast och att förlängningen av straff ändå är förhållandevis liten jämfört med den tid som man sedan ska vara ute, tror jag att detta är helt fel fokus och att det är ett skäl som inte räcker för att höja straffen för än det ena och än det andra. Oppositionspartierna utom Vänsterpartiet vill skärpa straffen för totalt 35 olika brott.  Jag tror att vi verkligen behöver titta på den forskning som finns, och jag har redan efterfrågat Beatrice Asks omtalade rapporter som visar att skärpta straff faktiskt leder till färre brott. Jag har fortfarande inte fått dem, men jag ser fram emot att läsa dem och diskutera dem sakligt utifrån den kunskap som vi har, inte utifrån bondförnuftet.  ","MP"
"Anders Ygeman","Fru talman! Det finns, skulle jag vilja säga, en samsyn inom den kriminologiska forskningen att den upplevda upptäcktsrisken är betydligt viktigare än straffsatsen för att bekämpa brottsligheten. Den som vill läsa mer om det kan läsa vad amerikanen Daniel Nagin, som var förra årets Stockholmspristagare i kriminologi, har skrivit. Han har forskat mycket om detta.  Man kan försiktigt fråga sig om Moderaterna menar att straffsatsen för inbrott är alldeles för låg och att den är det främsta verktyget för att komma till rätta med bostadsinbrotten, som de i alla fall påstår sig vara väldigt upptagna av. Varför gjorde ni ingenting under de åtta år som ni hade regeringsmakten? Uppklaringen av bostadsinbrotten är 5 procent. 95 procent av inbrottstjuvarna går fria.  Jag kan lova Ellen Juntti att för dem som går fria och som aldrig upptäcks spelar det inte någon roll hur långa straffen är. De går ändå fria. Det är upptäcktsrisken och beivrandet som vi måste ta itu med om vi ska vara framgångsrika i fråga om bostadsinbrotten.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Ellen Juntti och Moderaterna säger att vi inte behöver forskning utan att vi behöver sunt bondförnuft. Jag har stor respekt för sunt bondförnuft. Men om man ska bekämpa brottslighet är det rimligt att man också ser vilka åtgärder som hjälper, annars kanske det blir så att man sitter i regeringsställning i åtta år, uppklaringen minskar, fler människor drabbas av bostadsinbrott och man försöker ordinera samma medicin om och om igen trots att medicinen inte verkar.  ","S"
"Beatrice Ask","Fru talman! Min interpellation syftade huvudsakligen till att vi skulle diskutera påföljden, inte som den främsta och enda metoden för att bekämpa bostadsinbrott utan därför att vi anser att man rent tekniskt underskattar den kränkning som bostadsinbrott innebär för individen. Nu tyckte regeringen inte att det var kul att diskutera. Justitieministern har tydligen inte med lagstiftningen att göra, så den frågan lämnar man därhän och ägnar sig åt allt möjligt annat. Detta är viktigt när det gäller uppklaring och mycket annat. Men den fråga som ställdes rörde faktiskt påföljden, och det tyckte jag var väsentligt. Därutöver finns helheten som är viktig.  Jag menar att påföljden är viktig. Den har betydelse, dels därför att den signalerar vilken inställning samhället har till kränkningen, dels därför att den har en allmänpreventiv effekt.  Just när det gäller bostadsinbrott är det ändå märkligt att det finns internationella ligor som turnerar i landet och som har som metodik att konsekvent byta ut en del av sina medlemmar därför att de då inte bedöms vara straffade tidigare i Sverige. Då får man ett antal kriterier som gör att straffnivån i princip blir ingenting. Samtidigt härjar dessa ligor här. Då är det någonting som är fel med påföljden.  Varför gjorde den förra regeringen inte någonting åt detta? Vi gjorde många andra saker. Men vi slutade inte att arbeta de sista åren, utan vi fortsatte att tillsätta utredningar och arbeta för att bedriva arbetet framåt.  Jag tror att det är dags, i dagens samhälle, att titta på integritetskränkningen som en aspekt av bostadsinbrott och överväga en skärpning av påföljden alternativt ett särskilt brott för den typ av inbrott som sker i människors hem eller fritidshus. Jag tycker att man är värd viss respekt för att man lyfter upp den frågan i riksdagens kammare. (forts.) ","M"
