"Åsa Romson","Herr talman! Solveig Zander har frågat mig vilka åtgärder jag och regeringen avser att vidta för att under flera år få en stabil finansiering av myggbekämpning i nedre Dalälven. Tomas Tobé har frågat mig varför jag vill begränsa den statliga finansieringen av myggbekämpningen i nedre Dalälven-området, hur jag ser på bekämpning med BTI och vad jag och regeringen avser att göra för att bidra till bekämpningen av mygg i nedre Dalälven-området. Jag vill inledningsvis understryka att jag och regeringen tar de problem som lokala koncentrationer av översvämningsmyggor för med sig på stort allvar. Vi anser likafullt, i likhet med den förra regeringen, att frågan i första hand ska hanteras på lokal och regional nivå. Jag övergår nu till att besvara frågorna rörande ekonomiskt stöd för bekämpning i nedre Dalälven-området. Därefter besvarar jag frågan om hur jag ser på bekämpning med BTI. Tomas Tobé och Solveig Zander hänvisar i sina interpellationer till regeringens skrivning i budgetpropositionen för 2015 om att finansiering av bekämpning av översvämningsmyggor bör hanteras på regional och lokal nivå. Solveig Zander påpekar vidare att alliansregeringen medverkat till att det satsats statliga pengar i myggbekämpningsprojektet vid nedre Dalälven. Ställningstagandet om finansiering i 2015 års budgetproposition är ingen nyhet. Alliansregeringen framförde i sina budgetpropositioner för 2010, utgiftsområde 19 och 23, respektive 2013, utgiftsområde 23, att verksamhet för att begränsa myggförekomst bör hanteras och finansieras på regional och lokal nivå.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Vad gäller alliansregeringens medfinansiering av myggbekämpning vid nedre Dalälven kan konstateras att denna var avsedd att vara tillfällig och att alliansregeringens hållning alltjämt var att ekonomiskt stöd för sådan verksamhet i första hand bör hanteras lokalt och regionalt. Förra miljöministern Lena Ek skrev i ett svar på en riksdagsfråga om översvämningsmyggor den 13 februari 2013 (fråga 2012/13:283) följande: \"Stöd till verksamheten\" - bekämpningen - \"bör i första hand prövas inom ramen för de samlade medel som finns tillgängliga regionalt och lokalt. Regeringen har dock avsatt medel för att inför sommaren 2013 säkra finansieringen av åtgärder för att begränsa massförekomsten av översvämningsmyggor i Nedre Dalälvsområdet. - - - Därutöver förutsätter regeringen att även kommunerna medfinansierar åtgärderna.\" Sammanfattningsvis anser jag och regeringen att frågan om finansiering av bekämpning av översvämningsmyggor bör hanteras på regional och lokal nivå. Vi avser därför att trappa ned medfinansieringen av bekämpningen vid nedre Dalälven. Vi avser inte att planera för en flerårig finansiering av bekämpningen då vi anser att det är av högsta vikt att det i stället vidtas alternativa hållbara lösningar och att dessa kommer fram i regional- och lokalsamhället. Jag kommer nu in på frågan om hur jag ser på bekämpning med medel innehållande bakterien BTI. Jag och regeringen anser att sådan bekämpning inte är en långsiktigt hållbar lösning. Vi ser i dag att bekämpningen inte påverkar myggförekomsten från år till år, och det är oklart vilka ekologiska effekter bekämpningen har. Inte heller denna inställning skiljer sig från alliansregeringens, som vid flera tillfällen uttalat att bekämpning inte är en långsiktigt hållbar lösning - se till exempel regeringens beslut den 16 april 2014, vid prövning av tillåtelse för bekämpning av stickmygglarver i Dalälvens översvämningsvåtmarker. Avslutningsvis vill jag understryka vikten av att det vidtas alternativa hållbara åtgärder för att hantera problemet med översvämningsmyggor - detta för att säkra en god livsmiljö för människor, djur och natur även på lång sikt. ","MP"
"Solveig Zander","Herr talman! Jag tackar ministern för svaret. Jag har givetvis lite funderingar om svaret, men innan jag går in på dem är det viktigt att vi förstår vad det är vi talar om.  Det handlar om ett område vid nedre Dalälven som av FN:s organ Unesco har utsetts till det tredje biosfärområdet i vårt land. Det är naturreservat och nationalpark. Det är ett unikt område som har kulturvärden och naturvärden utöver det vanliga.  Men människor kan inte vistas här på grund av för mycket stickmygg. \"För mycket\" är ett för litet uttryck för den enorma ansamling av mygg som finns där. Barn och djur kan inte vara ute eftersom det finns så enormt mycket mygg. Ändå säger ministern nej till att medfinansiera bekämpningen av myggen i nedre Dalälven. Förra miljöministern Lena Ek och alliansregeringen tog ett ekonomiskt ansvar för detta. Man sade att de samlade medlen på statlig och regional nivå innebar att staten var med tillsammans med kommuner och regioner. Detta gjordes via Landsbygdsdepartementets utskottsområde 23.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Men enligt nästa års budget har den rödgröna regeringen bara kommenterat ur miljöhänseende. Ser den nuvarande regeringen detta bara som ett miljöproblem? Varför i sådana fall? Ministern säger att man ska trappa ned medfinansieringen för bekämpningen och titta på alternativ. Kommer den praxis som den tidigare regeringen hade att via Naturvårdsverket och Kemikalieinspektionen årligen ge tillstånd att spruta och bekämpa myggorna inte att fortsätta? Ministern säger vidare att det ska finnas alternativa metoder för att bekämpa myggen. Hur ska det gå till? Låt mig höra ministerns förslag på vilka metoder som är bättre än att använda BTI? I dag vet vi att BTI gör nytta. Det visste också den förra regeringen, och den hade inga synpunkter på det. Vilka andra metoder än BTI ser ministern skulle vara gångbara i dagsläget? Dessa frågor är väsentliga för de personer som bor i området och som inte kan vistas ute. ","C"
"Tomas Tobé","Herr talman! Jag tackar klimat- och miljöministern för svaret på båda interpellationerna.  Låt mig vara öppen med att vi som är riksdagsledamöter från denna del av landet även bearbetade alliansregeringen hårt. Det glädjande var att vi till slut fick till en trygg och bra lösning. Vi kände att vi äntligen hade hittat ett sätt att arbeta framåt. Den 3 december ska vi fatta beslut om budget, och det finns skillnader i budgetarna. Enligt regeringen ligger ansvaret för att möjliggöra och genomdriva relevanta alternativa åtgärder på regional och lokal nivå. Alliansen tycker att det är beklagligt att regeringen skjuter ifrån sig ansvaret för bekämpningen och kräver att finansieringen och hanteringen ska skötas på regional och lokal nivå. Alliansen anser att det är viktigt att drabbade kommuner fortsätter att få stöd för bekämpning av översvämningsmygg. Här finns en uppenbar skillnad. Men jag vill inte att interpellationsdebatten ska handla om den konflikten, utan jag vill ärligt vädja till miljö- och klimatministern att tänka om och gärna ge beskedet att regeringen avser att fatta beslut om att ge statligt stöd till myggbekämpningen. Tidigare år har det handlat om ungefär 4 miljoner kronor, vilket är helt centralt för att vi ska kunna se till att få en effektiv bekämpning i området. Jag vet inte om miljö- och klimatministern haft möjlighet att vara i Österfärnebo under de här månaderna. Om inte har du en öppen inbjudan, Åsa Romson. Jag kan säkerställa att du får träffa dem som arbetar med myggbekämpningen, och du kan få träffa lokala politiker från området. Men om du har varit i området vet du hur det är. Själv blev jag inbjuden och fick uppleva en hel vardag där, och det önskar jag faktiskt ingen. Det var en fruktansvärd dag där man över huvud taget inte kunde gå utomhus. De placerade mig att äta lunch i ett extra myggtätt område, och det i sig var en upplevelse. Det är klart att det finns frågetecken kring BTI. Den diskussionen förs med alla som arbetar med frågan. Men nu ligger inga alternativ på bordet, och då kommer man ned till den grundläggande frågeställningen: Anser regeringen att vi ska kunna fortsätta att använda BTI för myggbekämpning eller inte?  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag tycker att detta i grunden handlar om att regeringen inte kan lämna människor i sticket på det sätt man nu gör i det besked som givits i budgeten. Jag hoppas verkligen att denna interpellationsdebatt kommer att sluta med att vi får ett lugnande besked om att även den nya regeringen är beredd att bidra till att vi kan se till att man får en dräglig vardag också i nedre Dalälven. ","M"
"Mikael Oscarsson","Herr talman! Anledningen till att jag är med i denna interpellationsdebatt är att det är en hjärtefråga även för mig att bevaka denna fråga. Bakgrunden är att det här är ett betydande problem. Så som togs upp i interpellationen besökte den förre miljöministern Kjell Larsson området i nedre Dalälven år 2000 och fick med egna ögon se vad som händer vid en mygginvasion. Det är just vad de människor som bor vid nedre Dalälven - det är många människor - får uppleva. Och det är inte bara <em>ett</em> år, utan det har visat sig att av de fjorton år som har gått sedan dess har tio varit år då man har blivit hemsökt av mygg och har fått göra bekämpningar. Precis som den föregående interpellanten vill jag fråga: Har miljöministern varit uppe i området under sommaren och själv erfarit detta? Om inte vill även jag understryka vikten av att miljöministern kommer ut i verkligheten och ser det. För ett par år sedan, 2012, tog jag initiativ till att bjuda riksdagsledamöter att besöka området. Vi var väl en åtta nio ledamöter, och en hel del medier hakade på oss. Det var olidligt. Jag har varit där uppe förut, men jag har aldrig i mitt liv sett så mycket mygg som den gången. Det räckte med att man öppnade munnen så fick man bokstavligen myggen i halsen. Det var bara en dag vi var där, och flera av interpellanterna var med. Men människorna där får vistas i den miljön dag ut och dag in, miljöministern. Det är ett olidligt problem. Vad ska man då göra? Ja, det fina är att det finns någonting att göra. Den bekämpningsmetod som nu används och som initierades av den förra miljöministern är BTI. Metoden används runt om i världen. Jag är säker på att miljöministern har varit på den franska Rivieran. Den skulle förmodligen få stänga ned om det inte vore för att man använder BTI. Det har forskats om detta, och det har visat sig att BTI inte har någon skadlig miljöpåverkan. Det är ett naturligt medel som används - en bakterie som finns i naturen och som stoppar invasionen. Nu kommer ett besked från regeringen att de ser framför sig att detta ska skötas lokalt. De vill skyffla över detta och säger att man ska titta på alternativa metoder lokalt. Då undrar jag, precis som sagts förut: Vad är det för alternativa metoder som miljöministern ser framför sig? Man pratar om kossor - jag vet inte om det är det miljöministern ser framför sig - fågelholkar, fladdermusholkar och slyröjning. Alla dessa är intressanta metoder. Problemet är bara att det har visat sig att de inte fungerar på stickmyggor. De kanske fungerar på andra typer av mygg - jag vet inte. Gasolfällor används på andra ställen. Det är ett mekaniskt bekämpningsmedel. I Deje i Forshaga har man i år samlat in 20 miljoner mygg, men det har inte gett ett dugg. Nu vill vi ha ett klart svar: Vad kommer regeringen att göra? ","KD"
"Ulf Berg"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Från ett problem till ett annat, i varje fall i södra Dalarna: Jag bor så pass nära att jag också drabbas när det är som värst. Jag är därför innehavare av en gasolfälla och brukar väl få en deciliter mygg per dygn. Jag är inte så säker på att det är den bästa klimatinsats man gör när gasolen står och brinner, men man försöker överleva. Det blir faktiskt lite bättre i närheten av den typen av fällor. Jag kan bara vidimera vad tidigare talare har sagt och tackar Mikael Oscarsson, som var den som tog initiativet. Vi var där på dagtid en solig dag, och myggen behagade verkligen gå till anfall. Man behöver nog inget proteintillskott om man bor i de trakterna, för om man öppnar munnen får man det vare sig man vill eller inte. Stickmyggan är lite speciell, för den kan kläcka flera gånger per år och är beroende av översvämningar. Nedre Dalälven och det område som har blivit nationalpark har fått den statusen just för att de har översvämningsängar som ger en mycket speciell natur. Förmodligen var det bättre förr när det fanns betande djur. Man har gjort insatser och tittat på olika saker, och de tuvor som blir när det inte brukats på länge påstås vara rena äggkläckningsmaskiner för den här typen av mygg. Det skulle alltså kunna underlätta om man fick bort sly och tog dit djur som åtminstone trampar sönder ägg och liknande. Jag är väl inte lika förtjust i vindkraft som jag tror att klimat- och miljöministern är, men Dalälven blir också reglerkraft. Det gör att vattennivån åker upp och ned på ett lite annat sätt. Eftersom jag bor så att jag kan se åtminstone när det blir större skillnader ser jag att det händer mycket med vattennivån. Jag tror inte att BTI är hela lösningen. Om det blir ett enda misslyckat år och myggen får lägga ägg finns de där i upp till tio år, sägs det. Det är väldigt svårt att se till att man får en permanent lösning. Jag tror inte att det är möjligt att utrota stickmyggorna i området, och det är kanske inte så bra för den biologiska mångfalden heller. Men vi måste hitta olika sätt att få det på en åtminstone acceptabel nivå. Jag efterlyser att man fortsätter arbetet, att Länsstyrelsen i Gävleborg gärna har ett fortsatt ansvar och att vi ser till att man har forskning som ligger lite utanför dem som sysslar med projektet. I dag har nedre Dalälvens förening ett stort ansvar. De är med och driver detta, och de behöver resurser från kommun, region och stat för att få det att gå runt. Jag tror på forskning som är helt fristående från projekten för att komma vidare men naturligtvis också på att fortsätta dialogen med ortsbefolkningen. Det är väldigt bra. Jag kan bara instämma i det Tomas Tobé sade. Jag är beredd att sträcka ut min hand, och jag hoppas att vi kan hjälpas åt att få det hela att bli acceptabelt i dessa områden. Nedre Dalälven är extra utsatt, men det finns också andra lokaler runt om i Sverige - i Värmland, och jag tror också här i trakterna runt Stockholm - där stickmyggen dyker upp ibland. Vi måste ha en beredskap, för det kan alltid finnas risk för att sjukdomar och annat sprids.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Gärna samarbete i frågan så att vi kan se att det går åt rätt håll långsiktigt! ","M"
"Åsa Romson","Herr talman! Jag tackar för en intressant debatt, som jag konstaterar röner om inte annat ett kanske ännu större engagemang från riksdagens ledamöter än den tidigare vargdebatten. Det är inte tu tal om att stickmygg är ett enormt problem. Redan vanliga mygg är ett problem för de allra flesta svenskar, och jag är väl medveten om att stickmyggen är etter värre - en bra bit. Jag har inte vistats en hel dag, intagit måltider och jobbat ute i denna atmosfär under den värsta säsongen, men jag kan ändå intyga att jag är medveten om de stora problem som finns, inte minst just i nedre Dalälven. Jag kan konstatera att även Värmland har dessa problem, bland annat i Forshaga. Jag blir lite förvånad över tonläget från oppositionspartierna här i riksdagen när det gäller det sätt som regeringen hanterar finansieringen på. Det är ju precis det sätt som den tidigare alliansregeringen ville hantera det på, det vill säga att man går ifrån ett ad hoc tillfälligt stöd till en viss metod och i stället lägger ansvaret på de ställen där man har varit framgångsrik i sitt sätt att kunna titta bredare på metodutvecklingen. Det var precis detta Ulf Berg förde fram här i sitt senaste inlägg. Länsstyrelsen i Gävleborg har redovisat förslag till långsiktigt hållbara metoder, bland annat hävd och slåtter, som har diskuterats här. Det är metoder som har utvecklats också i Värmland, och jag kan konstatera att man på den värmländska sidan aldrig har begärt någon särskild statlig finansiering av sin bekämpning av stickmygg. Där har man hanterat det inom de program som finns. Jag kan lugna riksdagens ledamöter med att säga att det finns statlig medfinansiering till åtgärder mot myggproblematik. Det finns alltjämt inom ramen för landsbygdsprogrammet. Det finns inga intentioner från den nya regeringen att ändra denna policy. Länsstyrelsen har tillsammans med kommunerna inom ramen för detta program finansiella möjligheter att ta tag i metodutvecklingen och gå vidare och genomföra de mer långsiktiga förvaltningsplaner som man lägger fast när man har utvärderat vilka metoder man tycker fungerar. Länsstyrelsen i Gävleborg har pekat på att förändringar av regleringen av Dalälven kan påverka myggförekomsten. De har redovisat ett regeringsuppdrag som gäller detta, vilket vi har mottagit och tittar vidare på för att se om det är ytterligare någonting där staten kan vara med i problemlösningen. Man kan dock inte se det som den enda hållbara vägen att vi från Stockholm och Rosenbad ska styra exakt vilken metod och exakt vilket tillfälle som statliga öronmärkta pengar ska gå till när det gäller att hantera översvämningsmyggen vid nedre Dalälven. Det tror jag inte är en hållbar situation för någon regering. Här handlar det om att få till program där länsstyrelserna och kommunerna i samverkan tittar på vad det är man kan göra både på kort och på lång sikt och där staten i övrigt bidrar med en strukturell pott. Det gör man via landsbygdsprogrammet, och det tänker man fortsätta att göra - precis som den tidigare regeringen gjorde.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Gärna samarbete i frågorna, men vi behöver också sortera ut regeringens budget och inte ha en särskild budgetpost i den statliga budgeten som handlar om bekämpning av stickmygg i nedre Dalälven. Vi måste se det här som en struktur där vi liksom i andra frågor lägger det hela inom ramen för landsbygdsprogrammet. ","MP"
"Solveig Zander","Herr talman! Ministern försöker slingra sig i frågan om långsiktighet och om statens inblandning i denna långsiktighet när det gäller att se till att man bekämpar myggen och kan vistas i dessa områden. Skälet till att alliansregeringen hade detta i landsbygdsdelen av budgeten var att man tydligt och klart uttalade där att pengarna också skulle användas till myggbekämpning. Det ska finnas ett tydligt bevis för att man vill vara delaktig och finansiera, vilket det inte gör från den nuvarande regeringen. Det finns forskare uppe i nedre Dalälven som tittar på exakt - nästan på minuten - när man ska använda bekämpningsmedel och exakt på metern var man ska spruta för att det ska få den mesta och bästa effekten. Detta är ett enormt område. Det är inte något litet område, som det i Värmland, utan detta är ett jättestort område. Jag förstår att det inte är lätt för ministern att veta och känna till detta. Det är det inte om man aldrig har varit där. Mitt hemlän är Uppsala län. Jag har, precis som Mikael Oscarsson, haft mångårig kontakt med kommunalråd och kommunala företrädare i kommunerna runt omkring. Jag kan lova att de inte har någon möjlighet att finansiera mer än de gör. När det gäller de forskare som finns där uppe via Neda medverkar alla nio kommuner och olika företag - jag tror att det är 17 stycken - för att man ska kunna bedriva forskning och utveckling. Man är väldigt noga med exakt vilken mängd man besprutar med och när man gör det. Landshövdingen i Gävleborg skriver följande angående det uppdrag man hade från regeringen, som bekostades av regeringen och som avslutades våren 2012: \"Besprutningen av BTI kan nu inte längre ses som en försöksverksamhet på regional nivå.\" Om man då har forskare där uppe måste de veta från år till år att de kan vara kvar. Det är därför det handlar om en långsiktig ekonomisk delaktighet från statens sida. Dessutom säger landshövdingen i Gävleborg: \"När landskapsstrategins långsiktiga åtgärder börjar få genomslag kan besprutningsinsatserna trappas ner, men nu behövs en stabil finansiering av myggbekämpningen och länsstyrelserna i de drabbade länen har som nämnts inga medel för detta ändamål.\" Därför vädjar jag till ministern och till den nuvarande regeringen: Medverka till att man ser tryggheten i att kunna bekämpa det som finns! Detta finns alltså inte med i landsbygdens utgifter. Jag undrar om det beror på att man nu har avvecklat Landsbygdsdepartementet. Finns det ingen som bevakar detta från det hållet? Det handlar som sagt inte bara om människor som bor i området. Detta är ett område för turism och för utveckling av företagande. Då måste staten blanda sig i detta. ","C"
"Tomas Tobé"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Miljöministern säger att det finns möjlighet till finansiering i landsbygdsprogrammet. Gott så! I och för sig säger hon i meningen därefter att det kanske mer handlar om långsiktiga förvaltningsplaner. Det vi talar om här handlar om de problem som vi behöver lösa här och nu. Det är sant att även den tidigare regeringen tillsatte tjänstemannagrupper som arbetade med frågan. Vi har lokalt från länsstyrelsen haft ett arbete, och det har tagits många initiativ för att hitta långsiktiga och alternativa lösningar. Det här handlar dock om lösningar för de kommande somrarna. Vad jag känner till - miljöministern får gärna överbevisa mig - finns det inte något annat alternativ till att gå in med myggbekämpning och att vi behöver använda oss av BTI. Visserligen kan man ha en diskussion om hur man formulerar sig i en budget. Men det ska vara tydligt för väljarna att det finns en skillnad här. Regeringen är väldigt tydlig med att ansvaret ligger på lokal och regional nivå. Alliansen är väldigt tydlig med att det behövs bidrag från statlig nivå. Jag upplever att det kanske finns en öppning i miljöministerns svar och vill därför återkomma till om vi kan tolka svaret som att miljöministern är öppen för att, genom landsbygdsprogrammet, bidra till myggbekämpning med BTI i nedre Dalälvenområdet. Ja eller nej? Jag utgår från att miljöministern känner till att Naturvårdsverket inte kan besluta om tillstånd eftersom detta ska ske i ett särskilt område. Länsstyrelsen kan inte heller göra det, och framför allt kan inte vi riksdagsledamöter göra det. Det är regeringen som måste fatta beslut om tillstånd för bekämpningen. Därför blir min andra fråga: Är miljöministern beredd att fatta beslut om tillstånd för den här bekämpningen? Avslutningsvis står inbjudan att besöka Österfärnebo eller andra områden öppen. Det vore klokt att göra det. Det skulle kunna leda till många intressanta samtal om vad som behöver göras här och nu, men det är också viktigt för att vi ska kunna hitta bra lösningar på lång sikt. ","M"
"Mikael Oscarsson","Herr talman! Miljöministern säger i sitt svar att finansieringen av bekämpning av översvämningsmygg bör hanteras på regional och lokal nivå. Hon säger också att man därför avser att trappa ned på medfinansieringen av bekämpningen vid nedre Dalälven och att regeringen inte avser att planera för en flerårig finansiering. Det här är helt fel väg att gå. Jag vill påminna om att staten är storägare till områden däruppe, där det produceras miljarder mygg. De sprids. Vi kan se framför oss att klimatförändringarna kan leda till att det blir ett problem i stora delar av landet. Då duger det inte att bortse från det här problemet. Om staten vänder sig bort från det här blir det en katastrof och kommer inte att fungera. Då tar regeringen på sig ett enormt stort ansvar, för de boende, för turismen och för företagsamheten. Det skulle vara att slå undan benen på bygden. Sedan 2002 har sittande regeringar gett tillstånd till bekämpning med helikopter. Vem som helst förstår att det inte går att bekämpa för hand när det gäller de här stora områdena. Helikopter är nödvändigt. Ännu en viktig fråga i sammanhanget är därför: Hur blir det med den saken? Det är viktigt att man får de beskeden nu. Vi kan tycka att myggen ligger långt borta nu när det är november och vi snart ska tända adventsljusen. Men tiden går fort. Och det här är en oro för befolkningen som gnager. Vi måste få besked; vi måste kunna planera och veta vad som gäller. Det gäller inte minst för personalen som är inblandad. Finns det en fortsättning på det här projektet som är så viktigt?  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Kom ihåg att människor är viktigare än mygg! ","KD"
"Ulf Berg","Herr talman! Det har sagts en hel del kloka saker här. Jag väljer också att tro att statsrådet verkligen vill att statliga pengar ska säkerställas kommande år och att arbetet kommer att fortsätta. Värmlandsexemplet är en betydligt mindre geografisk yta som kanske är lättare att jobba med på ett annat sätt. Det här är en nationalpark som man inte kan göra vad man vill med, och det är som sagt ett betydligt större geografiskt område. Det är många som inte tycker om mygg över huvud taget. Men skogsmyggan har, vilket jag var inne på tidigare, fördelen att den kläcks en gång, och sedan klingar det av. Det finns dock mycket som tyder på att klimatet kommer att ge oss fler översvämningar, och då kommer vi också betydligt oftare att få lägen då stickmyggan kläcks. För det behövs en översvämning, och det ska bland annat vara rätt vattentemperatur. Jag lever i utkanten av området och drabbas bara de värsta åren men har som sagt varit på besök. Och jag tror att efter ett besök på ort och ställe under ett myggår kommer klimat- och miljöministern att vara en av dem som verkligen strider för att man ska kunna bo och leva i de här områdena. Det handlar inte bara om oss människor. Jag hade en jämthund - tyvärr gick den bort alldeles för tidigt på grund av sjukdom - som helt plötsligt inte ville vara i hundgården över huvud taget. Efter ett tag drog jag slutsatsen att det berodde på att det var myggår och att han inte alls tyckte om att vara i hundgården då, vilket han hade gjort innan. Det är alltså inte bara vi människor som mår dåligt utan även våra husdjur. Jag tror även att många jordbrukare ser att deras boskap mår dåligt av detta. ","M"
"Åsa Romson","Herr talman! Det finns kanske en anledning till att vi diskuterar detta i november när det garanterat inte är myggsäsong. Då är det kanske lättare att hålla huvudet kallt och titta på hur vi ska ta oss an de här mycket svåra problemen, både på kort och på lång sikt. Det är uppenbarligen inte bara hundar som påverkas av myggförekomsten utan även människor, vilka påpekades som viktigast. Låt mig återigen förtydliga och förklara att regeringens hållning när det gäller hur vi ska hantera stora myggförekomster bygger vidare på tidigare regeringars politik. Man var tydlig med att det inte handlade om långsiktig finansiering utan en tillfällig finansiering. Med de uppdrag man gav, inte minst till länsstyrelsen och Naturvårdsverket, var man också tydlig med att utvärdera olika metoder. Det har konstaterats att BTI inte är en långsiktigt hållbar lösning. Bekämpningen har inte påverkat myggförekomsten i ett område från ett år till ett annat och kan inte heller hjälpa till att begränsa spridningen. Men BTI har haft verkan för stunden, varför regeringen och Kemikalieinspektionen har godkänt bekämpningsmetoden år från år när den har begärts och prövats. Den nya regeringen har ingen annan policy än den gamla regeringens, nämligen att detta kan vara en av de metoder som kan användas. Men vi är bekymrade över att man inte har tittat vidare på och utvecklat de långsiktigt hållbara lösningarna. Nu pratas det mycket om att det ska finnas långsiktig finansiering, men enbart för en metod som inte i sig är en långsiktigt hållbar lösning. Det är ett problem. Tidigare regeringar har lagt ut uppdrag som nu har redovisats för den här regeringen om det kan finnas ytterligare alternativa metoder och hur man kan komma igång med dem. Allt det arbetet är samlat så att den relevanta finansieringsmodellen från regeringen, precis samma modell som den förra regeringen byggde sin finansieringsmodell på, är från landsbygdsprogrammet. Där har länsstyrelserna möjlighet att tillsammans med kommunerna finansiera de åtgärder som man behöver för myggbekämpning.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag kan konstatera att det i dag inte finns någon ansökan från nedre Dalälven om att bekämpa mygg med BTI. Det finns det däremot redan från Forshaga. Ni som har kontakter och som är engagerade i frågan kan, om detta är en metod för kommande säsong, säkerställa att det kommer in en ansökan i tid så att den kan behandlas på samma sätt som under tidigare år. Det handlar om den formella behandlingen av ansökan om att använda BTI. Jag har som sagt var inget annat svar än att den kommer att behandlas på precis samma sätt som tidigare. Vi har talat mycket om finansieringen och om vilken modell vi i regeringen vill använda för att säkerställa att man också tar tag i utvecklingen av metoder för att i så stor utsträckning som möjligt långsiktigt begränsa problemet. Jag håller med Ulf Berg om att det kanske inte ska vara en total utslagning av stickmyggan även om vi är många som har lite svårt att se dess ekologiska relevans i systemet alla dagar, särskilt när den är som mest aktiv. Men vi vill säkerställa att vi begränsar den i den omfattningen att det är möjligt att bedriva verksamheter, inte minst för att fler människor ska upptäcka dessa fina områden. Jag har varit i området, dock inte under den värsta myggsäsongen. Det är fantastiska naturområden vid nedre Dalälven som på alla sätt verkligen pryder sin status som naturområde. Med detta hoppas jag att de ledamöter som är engagerade i denna fråga ser att regeringens politik bygger vidare exakt på de metoder som den tidigare regeringen har använt och som är långsiktiga. Vi kan inte ha enstaka ad hoc-lösningar från ett år till ett annat. Det skapar en stor osäkerhet, inte minst i den lokala förvaltningen. ","MP"
"Solveig Zander","Herr talman! Nu väljer jag att tolka ministern positivt. Det finns alltså pengar avsatta för nästa år till besprutning. Då vill jag ställa samma fråga som Tomas Tobé: Kan man lita på att regeringen kommer att begära att Naturvårdsverket och Kemikalieinspektionen får använda sig av BTI, att man får det tillståndet? Det ska, som sagt, komma från regeringen. Det är, precis som ministern sade, ett oerhört unikt och vackert område som skulle kunna ge inkomster till betydligt fler än i dag. Detta är ett glesbygdsområde, och det betyder - om jag har förstått det hela rätt - ett område som också Miljöpartiet värnar om för att man ska kunna bo och leva där. För att man ska kunna starta företag där uppe måste man veta att man kan driva det i flera år. Det finns campingplatser där man har försökt driva verksamhet. Det har fungerat i ett år, men året därpå har det funnits så mycket mygg att det inte har kommit dit ett enda tält, en enda husvagn eller en enda kanotist. Därför måste man veta att verksamheten kan fortsätta år från år. Då handlar det om att staten är tydlig.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag vill be ministern att tydliggöra att man ska kunna slippa myggor tack vare att staten tar ett ansvar för det. Det är också viktigt att hon möjliggör för Neda och de forskare som är där att fortsätta att utveckla andra metoder. Vi menar ju att det också ligger i långsiktigheten.   Jag undrar varför de rödgröna ledamöterna som tidigare här i kammaren har haft synpunkter på detta inte är med och driver på i frågan i dag. ","C"
